time,Memphis,pts.away,score,pts.home,New York
1:34.0,Offensive rebound by R. Hollins,,20-17,,
1:34.0,,,20-17,,Personal foul by J. Grant (drawn by R. Hollins)
1:34.0,R. Hollins makes free throw 1 of 2,1,21-17,,
1:34.0,V. Carter enters the game for C. Lee,,21-17,,
1:34.0,R. Hollins makes free throw 2 of 2,1,22-17,,
1:29.0,,,22-17,,Offensive foul by K. Seraphin
1:29.0,,,22-17,,Turnover by K. Seraphin (offensive foul)
1:24.0,Offensive foul by M. Barnes,,22-17,,
1:24.0,Turnover by M. Barnes (offensive foul),,22-17,,
1:05.0,,,22-17,,K. Seraphin misses 2-pt shot from 11 ft
1:04.0,Defensive rebound by M. Barnes,,22-17,,
0:57.0,M. Barnes misses 2-pt shot from 9 ft,,22-17,,
0:57.0,,,22-17,,Defensive rebound by L. Galloway
0:49.0,,,22-17,,K. Seraphin misses 2-pt shot from 1 ft
0:49.0,,,22-17,,Offensive rebound by K. Seraphin
0:47.0,,,22-17,,L. Galloway misses 2-pt shot from 6 ft
0:45.0,Defensive rebound by M. Barnes,,22-17,,
0:40.0,,,22-17,,Personal foul by S. Vujacic (drawn by J. Green)
0:40.0,J. Green makes free throw 1 of 2,1,23-17,,
0:40.0,J. Green makes free throw 2 of 2,1,24-17,,
0:34.0,,,24-17,,Shooting foul by J. Green (drawn by J. Grant)
0:34.0,,,24-17,,J. Grant misses free throw 1 of 2
0:34.0,,,24-17,,Offensive rebound by Team
0:34.0,,,24-18,1,J. Grant makes free throw 2 of 2
0:29.0,Offensive foul by R. Hollins,,24-18,,
0:29.0,Turnover by R. Hollins (offensive foul),,24-18,,
0:05.0,,,24-18,,J. Grant misses 3-pt shot from 25 ft
0:04.0,Defensive rebound by M. Barnes,,24-18,,
0:01.0,Turnover by M. Barnes (bad pass),,24-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,24-21,3,A. Afflalo makes 3-pt shot from 24 ft (assist by J. Grant)
11:23.0,J. Green misses 2-pt shot from 9 ft,,24-21,,
11:21.0,,,24-21,,Defensive rebound by K. Porzingis
11:02.0,,,24-23,2,D. Williams makes 2-pt shot from 6 ft
10:47.0,M. Barnes makes 2-pt shot from 9 ft,2,26-23,,
10:29.0,Personal foul by V. Carter (drawn by S. Vujacic),,26-23,,
10:29.0,M. Conley enters the game for M. Chalmers,,26-23,,
10:23.0,,,26-26,3,S. Vujacic makes 3-pt shot from 26 ft (assist by J. Grant)
9:57.0,J. Green makes 2-pt shot from 17 ft,2,28-26,,
9:32.0,,,28-26,,A. Afflalo misses 2-pt shot from 12 ft
9:32.0,Defensive rebound by M. Barnes,,28-26,,
9:16.0,J. Green misses 2-pt shot from 10 ft,,28-26,,
9:15.0,,,28-26,,Defensive rebound by K. Porzingis
9:03.0,,,28-29,3,S. Vujacic makes 3-pt shot from 26 ft (assist by J. Grant)
8:45.0,M. Barnes misses 3-pt shot from 25 ft,,28-29,,
8:45.0,,,28-29,,Defensive rebound by S. Vujacic
8:36.0,,,28-29,,D. Williams misses 2-pt shot from 2 ft (block by M. Barnes)
8:35.0,,,28-29,,Offensive rebound by D. Williams
8:21.0,,,28-31,2,A. Afflalo makes 2-pt shot from 15 ft
8:11.0,Memphis full timeout,,28-31,,
8:02.0,V. Carter misses 3-pt shot from 24 ft,,28-31,,
8:01.0,Offensive rebound by Team,,28-31,,
8:01.0,,,28-31,,Loose ball foul by D. Williams (drawn by R. Hollins)
7:50.0,R. Hollins makes 2-pt shot at rim (assist by M. Conley),2,30-31,,
7:50.0,Shooting foul by K. Porzingis (drawn by R. Hollins),,30-31,,
7:50.0,,,30-31,,R. Lopez enters the game for K. Porzingis
7:50.0,R. Hollins makes free throw 1 of 1,1,31-31,,
7:27.0,,,31-31,,A. Afflalo misses 2-pt shot from 9 ft
7:26.0,,,31-31,,Offensive rebound by J. Grant
7:20.0,,,31-31,,S. Vujacic misses 3-pt shot from 25 ft
7:19.0,Defensive rebound by R. Hollins,,31-31,,
7:11.0,V. Carter makes 2-pt shot from 1 ft (assist by M. Barnes),2,33-31,,
6:58.0,,,33-31,,Turnover by S. Vujacic (bad pass; steal by M. Barnes)
6:52.0,J. Green makes 2-pt shot at rim (assist by M. Conley),2,35-31,,
6:52.0,,,35-31,,New York full timeout
6:52.0,,,35-31,,J. Calderon enters the game for J. Grant
6:52.0,,,35-31,,L. Galloway enters the game for S. Vujacic
6:30.0,,,35-31,,Turnover by A. Afflalo (traveling)
6:14.0,Turnover by M. Conley (bad pass),,35-31,,
6:00.0,,,35-31,,Turnover by J. Calderon (bad pass; steal by V. Carter)
5:54.0,J. Green makes 2-pt shot at rim (assist by M. Conley),2,37-31,,
5:31.0,,,37-33,2,R. Lopez makes 2-pt shot from 15 ft
5:11.0,M. Barnes makes 3-pt shot from 25 ft (assist by M. Conley),3,40-33,,
5:02.0,,,40-33,,Shooting foul by J. Green (drawn by A. Afflalo)
5:02.0,,,40-34,1,A. Afflalo makes free throw 1 of 2
5:02.0,Z. Randolph enters the game for M. Barnes,,40-34,,
5:02.0,M. Gasol enters the game for R. Hollins,,40-34,,
5:02.0,,,40-34,,K. O'Quinn enters the game for D. Williams
5:02.0,,,40-35,1,A. Afflalo makes free throw 2 of 2
4:49.0,M. Conley makes 2-pt shot at rim,2,42-35,,
4:25.0,,,42-35,,J. Calderon misses 2-pt shot from 20 ft
4:24.0,Defensive rebound by V. Carter,,42-35,,
4:07.0,Shooting foul by K. O'Quinn (drawn by J. Green),,42-35,,
4:07.0,J. Green makes free throw 1 of 2,1,43-35,,
4:07.0,J. Green makes free throw 2 of 2,1,44-35,,
3:55.0,,,44-35,,L. Galloway misses 3-pt shot from 24 ft
3:54.0,,,44-35,,Offensive rebound by R. Lopez
3:49.0,,,44-35,,A. Afflalo misses 2-pt shot from 8 ft (block by M. Gasol)
3:48.0,,,44-35,,Offensive rebound by Team
3:42.0,,,44-37,2,K. O'Quinn makes 2-pt shot from 20 ft (assist by J. Calderon)
3:21.0,Z. Randolph makes 2-pt shot from 14 ft,2,46-37,,
3:11.0,,,46-37,,L. Galloway misses 2-pt shot from 19 ft
3:10.0,,,46-37,,Offensive rebound by R. Lopez
3:07.0,,,46-39,2,R. Lopez makes 2-pt shot at rim
2:43.0,M. Gasol makes 2-pt shot from 4 ft,2,48-39,,
2:20.0,,,48-39,,Shooting foul by M. Gasol (drawn by R. Lopez)
2:20.0,Official timeout,,48-39,,
2:20.0,T. Allen enters the game for M. Conley,,48-39,,
2:20.0,C. Lee enters the game for J. Green,,48-39,,
2:20.0,M. Chalmers enters the game for V. Carter,,48-39,,
2:20.0,,,48-39,,K. Porzingis enters the game for K. O'Quinn
2:20.0,,,48-40,1,R. Lopez makes free throw 1 of 2
2:20.0,,,48-40,,R. Lopez misses free throw 2 of 2
2:18.0,Defensive rebound by M. Gasol,,48-40,,
1:54.0,C. Lee misses 3-pt shot from 24 ft,,48-40,,
1:53.0,,,48-40,,Defensive rebound by R. Lopez
1:40.0,,,48-40,,K. Porzingis misses 3-pt shot from 25 ft
1:39.0,Defensive rebound by T. Allen,,48-40,,
1:32.0,C. Lee misses 2-pt shot from 14 ft,,48-40,,
1:31.0,,,48-40,,Defensive rebound by A. Afflalo
1:19.0,,,48-40,,J. Calderon misses 3-pt shot from 25 ft
1:18.0,Defensive rebound by Team,,48-40,,
0:57.0,M. Gasol misses 2-pt shot from 11 ft,,48-40,,
0:56.0,,,48-40,,Defensive rebound by R. Lopez
0:36.0,,,48-40,,R. Lopez misses 2-pt shot from 13 ft
0:36.0,Defensive rebound by M. Chalmers,,48-40,,
0:26.0,Z. Randolph makes 2-pt shot from 1 ft,2,50-40,,
0:19.0,,,50-40,,New York full timeout
0:04.0,,,50-40,,Turnover by R. Lopez (bad pass; steal by Z. Randolph)
0:00.0,Z. Randolph misses 3-pt shot from 29 ft,,50-40,,
0:00.0,Offensive rebound by Team,,50-40,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,50-40,,K. Porzingis misses 2-pt shot from 15 ft
11:38.0,Defensive rebound by M. Gasol,,50-40,,
11:21.0,Z. Randolph makes 2-pt shot from 19 ft (assist by M. Conley),2,52-40,,
11:07.0,Personal foul by M. Gasol (drawn by K. Porzingis),,52-40,,
10:53.0,,,52-42,2,J. Calderon makes 2-pt shot from 1 ft
10:33.0,M. Conley misses 3-pt shot from 24 ft,,52-42,,
10:32.0,,,52-42,,Defensive rebound by J. Calderon
10:20.0,,,52-44,2,K. Porzingis makes 2-pt shot from 7 ft
10:00.0,M. Conley misses 3-pt shot from 24 ft,,52-44,,
10:00.0,,,52-44,,Defensive rebound by J. Calderon
9:44.0,,,52-44,,Turnover by J. Calderon (bad pass)
9:22.0,Z. Randolph misses 2-pt shot from 13 ft,,52-44,,
9:21.0,,,52-44,,Defensive rebound by J. Calderon
9:08.0,,,52-44,,R. Lopez misses 2-pt shot from 10 ft
9:08.0,Defensive rebound by T. Allen,,52-44,,
8:46.0,M. Conley misses 2-pt shot from 6 ft,,52-44,,
8:45.0,,,52-44,,Defensive rebound by R. Lopez
8:27.0,,,52-44,,J. Calderon misses 2-pt shot from 1 ft
8:24.0,,,52-44,,Offensive rebound by R. Lopez
8:24.0,,,52-46,2,R. Lopez makes 2-pt shot at rim
8:05.0,M. Gasol misses 2-pt shot from 7 ft,,52-46,,
8:03.0,,,52-46,,Defensive rebound by K. Porzingis
7:44.0,,,52-46,,Turnover by Team (shot clock)
7:31.0,Turnover by M. Gasol (lost ball),,52-46,,
7:14.0,,,52-48,2,L. Galloway makes 2-pt shot from 4 ft (assist by J. Calderon)
7:14.0,Memphis full timeout,,52-48,,
7:00.0,M. Conley makes 2-pt shot from 13 ft,2,54-48,,
7:00.0,Shooting foul by L. Galloway (drawn by M. Conley),,54-48,,
7:00.0,M. Conley makes free throw 1 of 1,1,55-48,,
6:51.0,,,55-48,,L. Galloway misses 2-pt shot from 1 ft
6:50.0,Defensive rebound by M. Gasol,,55-48,,
6:40.0,M. Gasol makes 2-pt shot from 18 ft (assist by M. Conley),2,57-48,,
6:15.0,,,57-48,,A. Afflalo misses 2-pt shot from 17 ft
6:14.0,Defensive rebound by Z. Randolph,,57-48,,
6:04.0,M. Conley misses 2-pt shot from 2 ft,,57-48,,
6:03.0,,,57-48,,Defensive rebound by K. Porzingis
5:58.0,,,57-48,,L. Galloway misses 3-pt shot from 24 ft
5:57.0,,,57-48,,Offensive rebound by R. Lopez
5:57.0,Loose ball foul by Z. Randolph (drawn by R. Lopez),,57-48,,
5:57.0,M. Chalmers enters the game for M. Conley,,57-48,,
5:57.0,,,57-48,,J. Grant enters the game for L. Galloway
5:55.0,,,57-48,,Turnover by J. Grant (bad pass; steal by M. Chalmers)
5:44.0,C. Lee misses 2-pt shot from 19 ft,,57-48,,
5:43.0,,,57-48,,Defensive rebound by A. Afflalo
5:28.0,,,57-48,,J. Calderon misses 2-pt shot from 21 ft
5:27.0,,,57-48,,Offensive rebound by K. Porzingis
5:27.0,Personal foul by M. Chalmers (drawn by K. Porzingis),,57-48,,
5:03.0,,,57-51,3,J. Calderon makes 3-pt shot from 23 ft (assist by A. Afflalo)
4:43.0,Turnover by Z. Randolph (lost ball; steal by J. Grant),,57-51,,
4:37.0,,,57-53,2,J. Grant makes 2-pt shot at rim
4:18.0,,,57-53,,Personal foul by J. Grant (drawn by Z. Randolph)
4:18.0,R. Hollins enters the game for M. Gasol,,57-53,,
4:11.0,,,57-53,,Personal foul by J. Calderon (drawn by C. Lee)
4:00.0,Z. Randolph misses 2-pt shot from 1 ft,,57-53,,
4:00.0,,,57-53,,Defensive rebound by K. Porzingis
3:51.0,,,57-53,,Shooting foul by C. Lee (drawn by J. Calderon)
3:51.0,,,57-55,2,J. Calderon makes 2-pt shot at rim
3:51.0,M. Barnes enters the game for T. Allen,,57-55,,
3:51.0,J. Green enters the game for C. Lee,,57-55,,
3:51.0,,,57-56,1,J. Calderon makes free throw 1 of 1
3:32.0,M. Chalmers makes 2-pt shot from 9 ft,2,59-56,,
3:21.0,,,59-56,,J. Grant misses 3-pt shot from 24 ft
3:21.0,Defensive rebound by M. Barnes,,59-56,,
2:57.0,M. Barnes makes 3-pt shot from 25 ft (assist by Z. Randolph),3,62-56,,
2:39.0,,,62-58,2,K. Porzingis makes 2-pt shot from 1 ft (assist by J. Calderon)
2:25.0,M. Chalmers misses 2-pt shot from 2 ft (block by K. Porzingis),,62-58,,
2:23.0,,,62-58,,Defensive rebound by R. Lopez
2:08.0,,,62-58,,K. Porzingis misses 3-pt shot from 26 ft
2:06.0,Defensive rebound by J. Green,,62-58,,
1:54.0,J. Green misses 2-pt shot from 1 ft,,62-58,,
1:53.0,,,62-58,,Defensive rebound by J. Calderon
1:42.0,,,62-58,,Turnover by K. Porzingis (bad pass; steal by M. Chalmers)
1:36.0,M. Barnes misses 3-pt shot from 22 ft,,62-58,,
1:35.0,,,62-58,,Defensive rebound by A. Afflalo
1:30.0,,,62-58,,Shooting foul by M. Chalmers (drawn by A. Afflalo)
1:30.0,,,62-58,,New York full timeout
1:30.0,V. Carter enters the game for Z. Randolph,,62-58,,
1:30.0,,,62-58,,D. Williams enters the game for K. Porzingis
1:30.0,,,62-58,,S. Vujacic enters the game for J. Calderon
1:30.0,,,62-59,1,A. Afflalo makes free throw 1 of 2
1:30.0,,,62-60,1,A. Afflalo makes free throw 2 of 2
1:20.0,M. Chalmers misses 2-pt shot from 11 ft,,62-60,,
1:20.0,,,62-60,,Defensive rebound by Team
1:20.0,Loose ball foul by M. Barnes (drawn by S. Vujacic),,62-60,,
1:20.0,,,62-61,1,S. Vujacic makes free throw 1 of 2
1:20.0,,,62-62,1,S. Vujacic makes free throw 2 of 2
1:02.0,R. Hollins makes 2-pt shot at rim (assist by J. Green),2,64-62,,
0:41.0,,,64-62,,A. Afflalo misses 3-pt shot from 25 ft
0:41.0,Defensive rebound by M. Chalmers,,64-62,,
0:31.0,M. Chalmers makes 2-pt shot from 9 ft,2,66-62,,
0:31.0,,,66-62,,Away from play foul by A. Afflalo (drawn by R. Hollins)
0:31.0,R. Hollins makes free throw 1 of 1,1,67-62,,
0:06.0,,,67-62,,J. Grant misses 2-pt shot from 2 ft
0:05.0,Defensive rebound by J. Green,,67-62,,
0:01.0,V. Carter makes 2-pt shot at rim (assist by J. Green),2,69-62,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,V. Carter makes 2-pt shot from 20 ft,2,71-62,,
11:28.0,,,71-62,,S. Vujacic misses 3-pt shot from 26 ft
11:26.0,Defensive rebound by V. Carter,,71-62,,
11:05.0,J. Green misses 3-pt shot from 23 ft,,71-62,,
11:04.0,,,71-62,,Defensive rebound by Team
11:04.0,Flagrant foul type 1 by M. Chalmers (drawn by S. Vujacic),,71-62,,
11:04.0,,,71-63,1,S. Vujacic makes flagrant free throw 1 of 2
11:04.0,,,71-64,1,S. Vujacic makes flagrant free throw 2 of 2
11:03.0,M. Conley enters the game for M. Chalmers,,71-64,,
10:53.0,,,71-64,,D. Williams misses 2-pt shot from 2 ft (block by R. Hollins)
10:52.0,Defensive rebound by V. Carter,,71-64,,
10:31.0,V. Carter makes 2-pt shot at rim,2,73-64,,
10:17.0,,,73-66,2,K. Porzingis makes 2-pt shot from 10 ft (assist by S. Vujacic)
10:05.0,M. Barnes makes 2-pt shot from 1 ft (assist by R. Hollins),2,75-66,,
9:55.0,,,75-69,3,K. Porzingis makes 3-pt shot from 24 ft (assist by J. Grant)
9:33.0,V. Carter misses 2-pt shot from 1 ft (block by K. Porzingis),,75-69,,
9:32.0,,,75-69,,Defensive rebound by D. Williams
9:25.0,,,75-69,,Shooting foul by V. Carter (drawn by J. Grant)
9:25.0,,,75-70,1,J. Grant makes free throw 1 of 2
9:25.0,M. Gasol enters the game for R. Hollins,,75-70,,
9:25.0,,,75-71,1,J. Grant makes free throw 2 of 2
9:07.0,M. Barnes misses 2-pt shot from 2 ft (block by K. Porzingis),,75-71,,
9:06.0,,,75-71,,Defensive rebound by S. Vujacic
8:48.0,,,75-71,,K. Porzingis misses 2-pt shot from 7 ft
8:48.0,Defensive rebound by M. Conley,,75-71,,
8:36.0,V. Carter misses 3-pt shot from 26 ft,,75-71,,
8:35.0,Offensive rebound by J. Green,,75-71,,
8:23.0,,,75-71,,Personal foul by S. Vujacic (drawn by M. Gasol)
8:23.0,Official timeout,,75-71,,
8:23.0,,,75-71,,A. Afflalo enters the game for L. Galloway
8:23.0,,,75-71,,R. Lopez enters the game for D. Williams
8:23.0,,,75-71,,J. Calderon enters the game for J. Grant
8:15.0,M. Gasol misses 2-pt shot from 17 ft,,75-71,,
8:14.0,,,75-71,,Defensive rebound by S. Vujacic
7:51.0,,,75-71,,S. Vujacic misses 3-pt shot from 28 ft
