time,Philadelphia,pts.away,score,pts.home,Chicago
5:30.0,J. Okafor makes free throw 2 of 2,1,8-8,,
5:16.0,,,8-10,2,J. Butler makes 2-pt shot at rim (assist by P. Gasol)
4:54.0,R. Covington misses 2-pt shot from 1 ft,,8-10,,
4:53.0,,,8-10,,Defensive rebound by J. Noah
4:45.0,R. Holmes enters the game for R. Covington,,8-10,,
4:32.0,,,8-10,,P. Gasol misses 2-pt shot from 6 ft
4:31.0,Defensive rebound by J. Okafor,,8-10,,
4:18.0,J. Okafor makes 2-pt shot at rim,2,10-10,,
4:04.0,,,10-10,,Shooting foul by R. Holmes (drawn by J. Noah)
4:04.0,,,10-10,,J. Noah misses free throw 1 of 2
4:04.0,,,10-10,,Offensive rebound by Team
4:04.0,,,10-10,,D. McDermott enters the game for T. Snell
4:04.0,,,10-10,,K. Hinrich enters the game for D. Rose
4:04.0,,,10-11,1,J. Noah makes free throw 2 of 2
3:52.0,J. Okafor misses 2-pt shot from 14 ft,,10-11,,
3:51.0,,,10-11,,Defensive rebound by D. McDermott
3:44.0,,,10-13,2,J. Butler makes 2-pt shot at rim (assist by P. Gasol)
3:30.0,N. Stauskas makes 2-pt shot from 2 ft,2,12-13,,
3:14.0,,,12-13,,D. McDermott misses 2-pt shot from 1 ft (block by J. Okafor)
3:14.0,Defensive rebound by Team,,12-13,,
2:57.0,T. McConnell misses 2-pt shot from 7 ft,,12-13,,
2:56.0,,,12-13,,Defensive rebound by J. Noah
2:48.0,Personal foul by N. Stauskas (drawn by J. Butler),,12-13,,
2:48.0,,,12-13,,Chicago full timeout
2:48.0,J. Grant enters the game for J. Okafor,,12-13,,
2:37.0,,,12-15,2,J. Butler makes 2-pt shot from 5 ft
2:26.0,N. Stauskas makes 3-pt shot from 22 ft (assist by T. McConnell),3,15-15,,
2:09.0,,,15-17,2,J. Butler makes 2-pt shot from 2 ft (assist by P. Gasol)
1:58.0,Turnover by J. Grant (lost ball; steal by J. Noah),,15-17,,
1:49.0,,,15-19,2,P. Gasol makes 2-pt shot from 6 ft
1:49.0,,,15-19,,Shooting foul by R. Holmes (drawn by P. Gasol)
1:49.0,T. Wroten enters the game for T. McConnell,,15-19,,
1:49.0,,,15-20,1,P. Gasol makes free throw 1 of 1
1:37.0,Turnover by T. Wroten (bad pass),,15-20,,
1:37.0,,,15-20,,N. Mirotic enters the game for P. Gasol
1:37.0,C. Wood enters the game for R. Holmes,,15-20,,
1:21.0,,,15-20,,J. Noah misses 2-pt shot from 1 ft
1:20.0,Defensive rebound by H. Thompson,,15-20,,
1:11.0,H. Thompson misses 2-pt shot from 18 ft (block by J. Noah),,15-20,,
1:11.0,,,15-20,,Defensive rebound by J. Noah
1:00.0,,,15-20,,D. McDermott misses 2-pt shot from 2 ft
1:00.0,,,15-20,,Offensive rebound by J. Noah
1:00.0,,,15-22,2,J. Noah makes 2-pt shot from 1 ft
0:55.0,,,15-22,,Personal foul by J. Noah (drawn by T. Wroten)
0:50.0,T. Wroten makes 2-pt shot from 2 ft,2,17-22,,
0:37.0,,,17-22,,N. Mirotic misses 3-pt shot from 24 ft
0:36.0,Defensive rebound by T. Wroten,,17-22,,
0:35.0,,,17-22,,Personal foul by N. Mirotic (drawn by T. Wroten)
0:35.0,T. Wroten misses free throw 1 of 2,,17-22,,
0:35.0,Offensive rebound by Team,,17-22,,
0:35.0,J. Sampson enters the game for H. Thompson,,17-22,,
0:35.0,T. Wroten makes free throw 2 of 2,1,18-22,,
0:23.0,Violation by J. Grant (def goaltending),,18-22,,
0:23.0,,,18-24,2,J. Butler makes 2-pt shot from 4 ft
0:05.0,Shooting foul by K. Hinrich (drawn by J. Grant),,18-24,,
0:05.0,J. Grant makes free throw 1 of 2,1,19-24,,
0:05.0,J. Grant misses free throw 2 of 2,,19-24,,
0:03.0,,,19-24,,Defensive rebound by J. Noah
0:00.0,,,19-24,,J. Noah misses 3-pt shot from 42 ft
0:00.0,,,19-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,C. Wood makes 2-pt shot at rim (assist by J. Grant),2,21-24,,
11:27.0,,,21-27,3,D. McDermott makes 3-pt shot from 26 ft (assist by J. Noah)
11:18.0,R. Covington misses 3-pt shot from 24 ft,,21-27,,
11:17.0,,,21-27,,Defensive rebound by J. Noah
11:08.0,,,21-30,3,N. Mirotic makes 3-pt shot from 24 ft (assist by A. Brooks)
11:08.0,Philadelphia full timeout,,21-30,,
11:08.0,J. Sampson enters the game for R. Covington,,21-30,,
11:08.0,J. Okafor enters the game for C. Wood,,21-30,,
10:52.0,Shooting foul by D. McDermott (drawn by T. Wroten),,21-30,,
10:52.0,T. Wroten misses free throw 1 of 2,,21-30,,
10:52.0,Offensive rebound by Team,,21-30,,
10:52.0,T. Wroten makes free throw 2 of 2,1,22-30,,
10:36.0,,,22-30,,D. McDermott misses 3-pt shot from 24 ft
10:35.0,Defensive rebound by I. Canaan,,22-30,,
10:25.0,T. Wroten makes 3-pt shot from 25 ft (assist by J. Grant),3,25-30,,
10:07.0,,,25-30,,Turnover by N. Mirotic (bad pass; steal by T. Wroten)
10:04.0,T. Wroten makes 2-pt shot from 1 ft,2,27-30,,
9:49.0,,,27-30,,N. Mirotic misses 3-pt shot from 25 ft
9:49.0,Defensive rebound by J. Okafor,,27-30,,
9:49.0,,,27-30,,Personal foul by J. Noah (drawn by J. Okafor)
9:49.0,,,27-30,,D. Rose enters the game for K. Hinrich
9:34.0,T. Wroten makes 3-pt shot from 24 ft (assist by J. Grant),3,30-30,,
9:22.0,,,30-30,,A. Brooks misses 2-pt shot from 2 ft
9:21.0,Defensive rebound by T. Wroten,,30-30,,
9:08.0,J. Okafor makes 2-pt shot at rim,2,32-30,,
9:07.0,,,32-30,,Chicago full timeout
9:07.0,N. Stauskas enters the game for T. Wroten,,32-30,,
8:51.0,,,32-30,,D. McDermott misses 2-pt shot from 3 ft (block by J. Grant)
8:50.0,,,32-30,,Offensive rebound by Team
8:44.0,,,32-33,3,N. Mirotic makes 3-pt shot from 24 ft (assist by J. Noah)
8:24.0,J. Okafor makes 2-pt shot from 11 ft (assist by I. Canaan),2,34-33,,
8:11.0,,,34-35,2,A. Brooks makes 2-pt shot from 17 ft (assist by J. Noah)
7:52.0,J. Grant makes 2-pt shot from 2 ft,2,36-35,,
7:39.0,,,36-35,,J. Noah misses 2-pt shot from 1 ft (block by J. Grant)
7:37.0,,,36-35,,Offensive rebound by D. McDermott
7:31.0,,,36-35,,J. Noah misses 2-pt shot at rim (block by J. Grant)
7:30.0,Defensive rebound by N. Stauskas,,36-35,,
7:25.0,J. Grant misses 2-pt shot from 1 ft,,36-35,,
7:24.0,,,36-35,,Defensive rebound by D. McDermott
7:16.0,,,36-35,,A. Brooks misses 3-pt shot from 25 ft
7:15.0,Defensive rebound by Team,,36-35,,
7:00.0,I. Canaan misses 2-pt shot from 5 ft,,36-35,,
6:59.0,,,36-35,,Defensive rebound by D. Rose
6:54.0,,,36-35,,D. McDermott misses 2-pt shot from 1 ft
6:53.0,Defensive rebound by J. Sampson,,36-35,,
6:32.0,J. Sampson makes 2-pt shot from 3 ft (assist by I. Canaan),2,38-35,,
6:25.0,,,38-35,,Shooting foul by N. Stauskas (drawn by A. Brooks)
6:25.0,,,38-36,1,A. Brooks makes free throw 1 of 2
6:25.0,,,38-36,,P. Gasol enters the game for J. Noah
6:25.0,,,38-36,,J. Butler enters the game for D. McDermott
6:25.0,R. Covington enters the game for J. Grant,,38-36,,
6:25.0,,,38-37,1,A. Brooks makes free throw 2 of 2
6:07.0,N. Stauskas misses 3-pt shot from 22 ft,,38-37,,
6:06.0,,,38-37,,Defensive rebound by P. Gasol
6:00.0,,,38-37,,A. Brooks misses 3-pt shot from 23 ft
5:59.0,Defensive rebound by R. Covington,,38-37,,
5:48.0,J. Okafor makes 2-pt shot from 5 ft,2,40-37,,
5:41.0,,,40-37,,Shooting foul by J. Okafor (drawn by J. Butler)
5:41.0,,,40-38,1,J. Butler makes free throw 1 of 2
5:41.0,H. Thompson enters the game for J. Sampson,,40-38,,
5:41.0,R. Holmes enters the game for J. Okafor,,40-38,,
5:41.0,,,40-39,1,J. Butler makes free throw 2 of 2
5:27.0,R. Covington misses 3-pt shot from 26 ft,,40-39,,
5:26.0,,,40-39,,Defensive rebound by J. Butler
5:17.0,,,40-41,2,N. Mirotic makes 2-pt shot from 2 ft (assist by P. Gasol)
5:16.0,Philadelphia full timeout,,40-41,,
5:02.0,R. Holmes makes 2-pt shot at rim (assist by N. Stauskas),2,42-41,,
4:42.0,,,42-43,2,J. Butler makes 2-pt shot at rim (assist by P. Gasol)
4:42.0,,,42-43,,Shooting foul by R. Holmes (drawn by J. Butler)
4:42.0,,,42-43,,T. Snell enters the game for A. Brooks
4:42.0,,,42-44,1,J. Butler makes free throw 1 of 1
4:29.0,H. Thompson misses 3-pt shot from 25 ft,,42-44,,
4:27.0,Offensive rebound by R. Covington,,42-44,,
4:25.0,N. Stauskas misses 3-pt shot from 24 ft,,42-44,,
4:22.0,Offensive rebound by R. Holmes,,42-44,,
4:08.0,H. Thompson makes 3-pt shot from 25 ft (assist by R. Holmes),3,45-44,,
3:53.0,,,45-44,,Shooting foul by N. Stauskas (drawn by T. Snell)
3:53.0,,,45-44,,T. Snell misses free throw 1 of 2
3:53.0,,,45-44,,Offensive rebound by Team
3:53.0,,,45-44,,T. Gibson enters the game for N. Mirotic
3:53.0,T. McConnell enters the game for N. Stauskas,,45-44,,
3:53.0,,,45-45,1,T. Snell makes free throw 2 of 2
3:39.0,R. Covington makes 2-pt shot from 19 ft,2,47-45,,
3:24.0,,,47-45,,T. Gibson misses 2-pt shot from 1 ft
3:23.0,Defensive rebound by T. McConnell,,47-45,,
3:15.0,R. Covington misses 3-pt shot from 25 ft,,47-45,,
3:14.0,,,47-45,,Defensive rebound by J. Butler
3:03.0,,,47-47,2,P. Gasol makes 2-pt shot from 1 ft (assist by T. Gibson)
2:43.0,T. McConnell makes 2-pt shot from 15 ft (assist by H. Thompson),2,49-47,,
2:17.0,,,49-49,2,T. Gibson makes 2-pt shot from 6 ft (assist by J. Butler)
1:57.0,R. Covington makes 3-pt shot from 24 ft (assist by T. McConnell),3,52-49,,
1:39.0,,,52-51,2,J. Butler makes 2-pt shot from 18 ft (assist by D. Rose)
1:18.0,T. McConnell makes 2-pt shot from 2 ft,2,54-51,,
1:07.0,,,54-51,,Turnover by T. Gibson (traveling)
1:07.0,Philadelphia full timeout,,54-51,,
1:07.0,J. Okafor enters the game for R. Holmes,,54-51,,
0:52.0,J. Okafor makes 2-pt shot from 1 ft (assist by R. Covington),2,56-51,,
0:27.0,,,56-51,,Turnover by Team (shot clock)
0:04.0,T. McConnell misses 2-pt shot from 14 ft,,56-51,,
0:03.0,,,56-51,,Defensive rebound by T. Snell
0:00.0,,,56-51,,T. Snell misses 3-pt shot from 40 ft
0:00.0,,,56-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,T. Wroten misses 2-pt shot from 1 ft (block by P. Gasol),,56-51,,
11:38.0,Offensive rebound by Team,,56-51,,
11:34.0,R. Covington misses 3-pt shot from 23 ft,,56-51,,
11:33.0,,,56-51,,Defensive rebound by J. Butler
11:20.0,,,56-51,,Turnover by D. Rose (bad pass; steal by J. Okafor)
11:13.0,J. Grant misses 2-pt shot from 2 ft (block by T. Gibson),,56-51,,
11:13.0,Offensive rebound by Team,,56-51,,
11:05.0,Turnover by R. Covington (bad pass; steal by T. Gibson),,56-51,,
10:58.0,,,56-54,3,T. Snell makes 3-pt shot from 24 ft (assist by D. Rose)
10:30.0,T. Wroten misses 3-pt shot from 27 ft,,56-54,,
10:29.0,,,56-54,,Defensive rebound by T. Snell
10:20.0,,,56-56,2,D. Rose makes 2-pt shot from 11 ft
10:19.0,Philadelphia full timeout,,56-56,,
10:00.0,R. Covington misses 3-pt shot from 25 ft,,56-56,,
9:58.0,,,56-56,,Defensive rebound by T. Snell
9:51.0,,,56-56,,Turnover by T. Gibson (3 sec)
9:28.0,J. Okafor makes 2-pt shot from 22 ft,2,58-56,,
9:09.0,,,58-58,2,P. Gasol makes 2-pt shot from 2 ft (assist by J. Butler)
8:54.0,J. Okafor misses 2-pt shot from 17 ft,,58-58,,
8:53.0,,,58-58,,Defensive rebound by T. Snell
8:32.0,,,58-58,,Shooting foul by I. Canaan (drawn by T. Gibson)
8:32.0,,,58-58,,T. Gibson misses free throw 1 of 2
8:32.0,,,58-58,,Offensive rebound by Team
8:32.0,,,58-58,,T. Gibson misses free throw 2 of 2
8:29.0,,,58-58,,Offensive rebound by T. Snell
8:26.0,,,58-58,,T. Gibson misses 2-pt shot from 5 ft (block by R. Covington)
8:25.0,Defensive rebound by T. Wroten,,58-58,,
8:21.0,T. Wroten misses 2-pt shot from 3 ft,,58-58,,
8:20.0,Offensive rebound by J. Grant,,58-58,,
8:20.0,J. Grant makes 2-pt shot at rim,2,60-58,,
8:08.0,,,60-58,,J. Butler misses 2-pt shot from 1 ft
8:07.0,Defensive rebound by J. Okafor,,60-58,,
8:01.0,Turnover by I. Canaan (bad pass; steal by J. Butler),,60-58,,
7:48.0,,,60-58,,Shooting foul by I. Canaan (drawn by J. Butler)
7:48.0,,,60-59,1,J. Butler makes free throw 1 of 2
7:48.0,N. Stauskas enters the game for I. Canaan,,60-59,,
7:48.0,,,60-60,1,J. Butler makes free throw 2 of 2
7:36.0,Turnover by R. Covington (lost ball; steal by J. Butler),,60-60,,
7:34.0,,,60-60,,Shooting foul by N. Stauskas (drawn by T. Snell)
7:34.0,,,60-61,1,T. Snell makes free throw 1 of 2
7:34.0,,,60-62,1,T. Snell makes free throw 2 of 2
7:22.0,T. Wroten misses 2-pt shot from 3 ft (block by P. Gasol),,60-62,,
7:21.0,,,60-62,,Defensive rebound by P. Gasol
7:12.0,,,60-62,,J. Butler misses 3-pt shot from 23 ft
7:10.0,Defensive rebound by J. Okafor,,60-62,,
6:49.0,Turnover by J. Okafor (bad pass; steal by T. Snell),,60-62,,
6:46.0,,,60-64,2,T. Snell makes 2-pt shot at rim
6:45.0,Philadelphia full timeout,,60-64,,
6:45.0,T. McConnell enters the game for T. Wroten,,60-64,,
6:31.0,,,60-64,,Personal foul by D. Rose (drawn by T. McConnell)
6:31.0,H. Thompson enters the game for J. Grant,,60-64,,
6:17.0,R. Covington makes 2-pt shot from 11 ft,2,62-64,,
5:57.0,,,62-64,,Shooting foul by T. McConnell (drawn by D. Rose)
5:57.0,,,62-65,1,D. Rose makes free throw 1 of 2
5:57.0,,,62-66,1,D. Rose makes free throw 2 of 2
5:48.0,Turnover by T. McConnell (bad pass; steal by T. Snell),,62-66,,
5:44.0,,,62-68,2,T. Snell makes 2-pt shot from 1 ft
5:44.0,,,62-68,,Shooting foul by H. Thompson (drawn by T. Snell)
5:44.0,,,62-69,1,T. Snell makes free throw 1 of 1
5:26.0,Turnover by J. Okafor (lost ball),,62-69,,
5:06.0,,,62-69,,J. Butler misses 2-pt shot from 2 ft (block by R. Covington)
5:04.0,Defensive rebound by T. McConnell,,62-69,,
4:59.0,Turnover by N. Stauskas (lost ball),,62-69,,
4:40.0,,,62-69,,J. Butler misses 2-pt shot from 21 ft
4:39.0,Defensive rebound by T. McConnell,,62-69,,
4:30.0,R. Covington makes 3-pt shot from 25 ft (assist by H. Thompson),3,65-69,,
4:16.0,,,65-71,2,D. Rose makes 2-pt shot from 8 ft
4:04.0,R. Covington makes 3-pt shot from 22 ft (assist by H. Thompson),3,68-71,,
3:48.0,,,68-73,2,P. Gasol makes 2-pt shot from 6 ft (assist by J. Butler)
3:27.0,R. Covington misses 3-pt shot from 26 ft,,68-73,,
3:26.0,,,68-73,,Defensive rebound by P. Gasol
3:19.0,,,68-73,,Shooting foul by H. Thompson (drawn by J. Butler)
3:19.0,,,68-74,1,J. Butler makes free throw 1 of 2
3:19.0,R. Holmes enters the game for J. Okafor,,68-74,,
3:19.0,,,68-74,,K. Hinrich enters the game for D. Rose
3:19.0,,,68-74,,J. Noah enters the game for P. Gasol
3:19.0,,,68-75,1,J. Butler makes free throw 2 of 2
3:09.0,T. McConnell misses 3-pt shot from 24 ft,,68-75,,
3:08.0,,,68-75,,Defensive rebound by T. Snell
3:05.0,,,68-75,,Turnover by J. Noah (bad pass; steal by T. McConnell)
2:40.0,R. Holmes misses 2-pt shot from 1 ft,,68-75,,
2:38.0,,,68-75,,Defensive rebound by J. Noah
2:24.0,,,68-75,,J. Butler misses 2-pt shot from 5 ft
2:23.0,,,68-75,,Offensive rebound by T. Gibson
2:23.0,,,68-77,2,T. Gibson makes 2-pt shot at rim
2:03.0,R. Covington misses 3-pt shot from 25 ft,,68-77,,
2:02.0,,,68-77,,Defensive rebound by J. Noah
1:55.0,,,68-79,2,T. Snell makes 2-pt shot from 1 ft
1:55.0,,,68-79,,Shooting foul by R. Holmes (drawn by T. Snell)
1:55.0,,,68-79,,Chicago full timeout
1:55.0,,,68-79,,D. McDermott enters the game for J. Butler
1:55.0,J. Sampson enters the game for R. Covington,,68-79,,
1:55.0,J. Okafor enters the game for H. Thompson,,68-79,,
1:55.0,J. Grant enters the game for T. McConnell,,68-79,,
1:55.0,I. Canaan enters the game for R. Holmes,,68-79,,
1:55.0,,,68-80,1,T. Snell makes free throw 1 of 1
1:34.0,J. Okafor misses 2-pt shot from 12 ft,,68-80,,
1:33.0,,,68-80,,Defensive rebound by J. Noah
1:12.0,,,68-83,3,K. Hinrich makes 3-pt shot from 24 ft (assist by T. Gibson)
0:54.0,I. Canaan misses 2-pt shot from 16 ft,,68-83,,
0:53.0,,,68-83,,Defensive rebound by J. Noah
0:46.0,,,68-83,,T. Snell misses 2-pt shot from 2 ft (block by J. Grant)
0:44.0,Defensive rebound by J. Okafor,,68-83,,
0:27.0,N. Stauskas misses 3-pt shot from 26 ft,,68-83,,
0:26.0,,,68-83,,Defensive rebound by T. Gibson
0:10.0,,,68-85,2,D. McDermott makes 2-pt shot from 13 ft (assist by J. Noah)
0:05.0,,,68-85,,Personal foul by K. Hinrich (drawn by I. Canaan)
0:05.0,R. Covington enters the game for J. Sampson,,68-85,,
0:00.0,J. Okafor misses 3-pt shot from 25 ft,,68-85,,
0:00.0,Offensive rebound by Team,,68-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,68-88,3,N. Mirotic makes 3-pt shot from 25 ft (assist by D. McDermott)
11:28.0,Shooting foul by N. Mirotic (drawn by J. Grant),,68-88,,
11:28.0,J. Grant misses free throw 1 of 2,,68-88,,
11:28.0,Offensive rebound by Team,,68-88,,
11:28.0,J. Grant makes free throw 2 of 2,1,69-88,,
11:15.0,,,69-88,,D. McDermott misses 3-pt shot from 23 ft (block by J. Grant)
11:15.0,,,69-88,,Offensive rebound by Team
11:14.0,,,69-88,,Turnover by K. Hinrich (bad pass; steal by N. Stauskas)
11:03.0,R. Covington misses 3-pt shot from 24 ft,,69-88,,
11:01.0,,,69-88,,Defensive rebound by T. Snell
10:49.0,,,69-90,2,D. McDermott makes 2-pt shot from 10 ft (assist by J. Noah)
10:32.0,Turnover by N. Stauskas (bad pass),,69-90,,
10:32.0,T. Wroten enters the game for I. Canaan,,69-90,,
10:23.0,,,69-93,3,N. Mirotic makes 3-pt shot from 25 ft (assist by J. Noah)
10:22.0,Philadelphia full timeout,,69-93,,
10:22.0,J. Sampson enters the game for R. Covington,,69-93,,
10:22.0,H. Thompson enters the game for N. Stauskas,,69-93,,
9:58.0,T. Wroten misses 3-pt shot from 24 ft,,69-93,,
9:57.0,,,69-93,,Defensive rebound by N. Mirotic
9:49.0,,,69-93,,T. Snell misses 3-pt shot from 25 ft
9:49.0,,,69-93,,Offensive rebound by T. Snell
9:49.0,Personal foul by J. Grant (drawn by T. Snell),,69-93,,
9:41.0,,,69-93,,Turnover by N. Mirotic (bad pass; steal by J. Grant)
9:37.0,T. Wroten misses 2-pt shot from 2 ft (block by J. Noah),,69-93,,
9:35.0,,,69-93,,Defensive rebound by J. Noah
9:30.0,,,69-93,,N. Mirotic misses 2-pt shot from 15 ft
9:28.0,,,69-93,,Offensive rebound by D. McDermott
9:28.0,,,69-93,,D. McDermott misses 2-pt shot from 1 ft
9:27.0,,,69-93,,Offensive rebound by D. McDermott
9:27.0,,,69-93,,D. McDermott misses 2-pt shot from 1 ft
9:26.0,,,69-93,,Offensive rebound by D. McDermott
9:26.0,,,69-95,2,D. McDermott makes 2-pt shot from 1 ft
9:06.0,J. Sampson misses 2-pt shot from 7 ft,,69-95,,
9:05.0,,,69-95,,Defensive rebound by J. Noah
8:53.0,,,69-95,,D. McDermott misses 2-pt shot from 6 ft
8:51.0,Defensive rebound by J. Grant,,69-95,,
8:32.0,Turnover by T. Wroten (lost ball; steal by K. Hinrich),,69-95,,
8:16.0,,,69-95,,K. Hinrich misses 2-pt shot from 2 ft
8:15.0,,,69-95,,Offensive rebound by J. Noah
8:15.0,,,69-97,2,J. Noah makes 2-pt shot at rim
8:09.0,Philadelphia full timeout,,69-97,,
8:09.0,,,69-97,,E. Moore enters the game for K. Hinrich
8:09.0,I. Canaan enters the game for J. Grant,,69-97,,
8:09.0,T. McConnell enters the game for T. Wroten,,69-97,,
8:09.0,C. Wood enters the game for J. Sampson,,69-97,,
7:55.0,C. Wood makes 2-pt shot at rim (assist by J. Okafor),2,71-97,,
7:32.0,,,71-97,,D. McDermott misses 3-pt shot from 25 ft
7:30.0,,,71-97,,Offensive rebound by J. Noah
7:30.0,,,71-97,,J. Noah misses 2-pt shot from 1 ft
7:29.0,Defensive rebound by T. McConnell,,71-97,,
7:24.0,I. Canaan makes 3-pt shot from 25 ft (assist by T. McConnell),3,74-97,,
7:01.0,,,74-97,,Turnover by N. Mirotic (bad pass; steal by C. Wood)
6:44.0,C. Wood makes 3-pt shot from 22 ft (assist by I. Canaan),3,77-97,,
6:43.0,,,77-97,,Chicago full timeout
6:39.0,,,77-97,,Offensive foul by E. Moore
6:39.0,,,77-97,,Turnover by E. Moore (offensive foul)
6:26.0,T. McConnell misses 2-pt shot from 7 ft,,77-97,,
6:24.0,Offensive rebound by J. Okafor,,77-97,,
6:24.0,J. Okafor makes 2-pt shot from 1 ft,2,79-97,,
6:11.0,,,79-97,,E. Moore misses 2-pt shot from 5 ft
6:10.0,Defensive rebound by C. Wood,,79-97,,
6:00.0,C. Wood misses 2-pt shot from 4 ft (block by N. Mirotic),,79-97,,
5:58.0,,,79-97,,Defensive rebound by N. Mirotic
5:53.0,,,79-99,2,D. McDermott makes 2-pt shot from 2 ft (assist by J. Noah)
5:36.0,Shooting foul by J. Noah (drawn by J. Okafor),,79-99,,
5:36.0,J. Okafor makes free throw 1 of 2,1,80-99,,
5:36.0,J. Okafor makes free throw 2 of 2,1,81-99,,
5:25.0,,,81-102,3,N. Mirotic makes 3-pt shot from 25 ft (assist by J. Noah)
5:13.0,,,81-102,,Def 3 sec tech foul by J. Noah
5:13.0,I. Canaan makes technical free throw,1,82-102,,
5:13.0,J. Grant enters the game for C. Wood,,82-102,,
5:00.0,T. McConnell misses 2-pt shot from 2 ft,,82-102,,
4:59.0,,,82-102,,Defensive rebound by J. Noah
4:52.0,,,82-104,2,T. Snell makes 2-pt shot at rim (assist by D. McDermott)
4:38.0,H. Thompson misses 2-pt shot from 2 ft,,82-104,,
4:37.0,,,82-104,,Defensive rebound by D. McDermott
4:30.0,,,82-104,,N. Mirotic misses 3-pt shot from 24 ft
4:29.0,Defensive rebound by T. McConnell,,82-104,,
4:25.0,,,82-104,,Personal foul by E. Moore (drawn by H. Thompson)
4:25.0,,,82-104,,B. Portis enters the game for J. Noah
4:25.0,J. Sampson enters the game for I. Canaan,,82-104,,
4:25.0,R. Holmes enters the game for J. Okafor,,82-104,,
4:17.0,T. McConnell misses 2-pt shot from 20 ft,,82-104,,
