time,Sacramento,pts.away,score,pts.home,New York
7:36.0,D. Cousins misses 2-pt shot from 2 ft (block by R. Lopez),,7-4,,
7:35.0,,,7-4,,Defensive rebound by R. Lopez
7:31.0,Personal block foul by D. Collison,,7-4,,
7:22.0,,,7-4,,S. Vujacic misses 3-pt shot from 26 ft
7:21.0,Defensive rebound by D. Cousins,,7-4,,
7:10.0,D. Cousins misses 2-pt shot from 7 ft (block by K. Porzingis),,7-4,,
7:09.0,Offensive rebound by D. Cousins,,7-4,,
7:00.0,D. Collison misses 2-pt shot from 19 ft,,7-4,,
6:59.0,,,7-4,,Defensive rebound by A. Afflalo
6:42.0,,,7-4,,Offensive foul by A. Afflalo
6:42.0,,,7-4,,Turnover by A. Afflalo (offensive foul)
6:42.0,,,7-4,,L. Galloway enters the game for A. Afflalo
6:29.0,Turnover by R. Rondo (lost ball; steal by J. Calderon),,7-4,,
6:24.0,,,7-4,,Turnover by S. Vujacic (lost ball; steal by Q. Acy)
6:18.0,D. Collison makes 3-pt shot from 23 ft (assist by R. Rondo),3,10-4,,
5:57.0,,,10-4,,R. Lopez misses 2-pt shot from 13 ft
5:56.0,Defensive rebound by D. Cousins,,10-4,,
5:49.0,Turnover by R. Rondo (bad pass),,10-4,,
5:49.0,,,10-4,,New York full timeout
5:35.0,,,10-6,2,K. Porzingis makes 2-pt shot from 19 ft (assist by S. Vujacic)
5:21.0,Turnover by D. Cousins (bad pass),,10-6,,
5:06.0,,,10-6,,K. Porzingis misses 2-pt shot from 18 ft
5:05.0,Defensive rebound by D. Cousins,,10-6,,
4:52.0,D. Cousins misses 2-pt shot from 2 ft (block by R. Lopez),,10-6,,
4:51.0,,,10-6,,Defensive rebound by R. Lopez
4:45.0,,,10-6,,J. Calderon misses 2-pt shot from 21 ft
4:44.0,,,10-6,,Offensive rebound by S. Vujacic
4:31.0,,,10-6,,K. Porzingis misses 2-pt shot from 7 ft
4:30.0,Defensive rebound by R. Rondo,,10-6,,
4:24.0,R. Gay misses 2-pt shot from 1 ft (block by K. Porzingis),,10-6,,
4:23.0,,,10-6,,Defensive rebound by R. Lopez
4:16.0,,,10-6,,S. Vujacic misses 3-pt shot from 25 ft
4:15.0,Defensive rebound by D. Cousins,,10-6,,
4:09.0,D. Collison makes 3-pt shot from 24 ft (assist by D. Cousins),3,13-6,,
3:56.0,M. Belinelli enters the game for D. Collison,,13-6,,
3:56.0,O. Casspi enters the game for R. Gay,,13-6,,
3:56.0,,,13-6,,D. Williams enters the game for S. Vujacic
3:56.0,,,13-6,,J. Grant enters the game for J. Calderon
3:53.0,,,13-6,,L. Galloway misses 2-pt shot from 21 ft
3:52.0,Defensive rebound by Q. Acy,,13-6,,
3:37.0,O. Casspi makes 3-pt shot from 23 ft (assist by D. Cousins),3,16-6,,
3:10.0,,,16-8,2,L. Galloway makes 2-pt shot from 1 ft
3:07.0,Turnover by R. Rondo (bad pass),,16-8,,
2:56.0,,,16-8,,J. Grant misses 2-pt shot from 1 ft (block by D. Cousins)
2:55.0,,,16-8,,Offensive rebound by Team
2:55.0,Sacramento full timeout,,16-8,,
2:55.0,K. Koufos enters the game for Q. Acy,,16-8,,
2:55.0,,,16-8,,K. O'Quinn enters the game for R. Lopez
2:48.0,,,16-8,,D. Williams misses 2-pt shot from 17 ft
2:47.0,Defensive rebound by R. Rondo,,16-8,,
2:34.0,Shooting foul by K. Porzingis (drawn by M. Belinelli),,16-8,,
2:34.0,M. Belinelli makes free throw 1 of 2,1,17-8,,
2:34.0,M. Belinelli makes free throw 2 of 2,1,18-8,,
2:17.0,,,18-8,,K. Porzingis misses 2-pt shot from 1 ft
2:16.0,Defensive rebound by O. Casspi,,18-8,,
2:06.0,Shooting foul by K. O'Quinn (drawn by O. Casspi),,18-8,,
2:06.0,O. Casspi makes free throw 1 of 2,1,19-8,,
2:06.0,O. Casspi misses free throw 2 of 2,,19-8,,
2:05.0,Offensive rebound by D. Cousins,,19-8,,
2:01.0,D. Cousins makes 2-pt shot from 4 ft,2,21-8,,
1:37.0,,,21-10,2,J. Grant makes 2-pt shot from 1 ft (assist by L. Galloway)
1:25.0,D. Cousins makes 2-pt shot from 15 ft (assist by R. Rondo),2,23-10,,
1:13.0,,,23-10,,K. Porzingis misses 3-pt shot from 27 ft
1:12.0,Defensive rebound by D. Cousins,,23-10,,
1:03.0,D. Cousins misses 3-pt shot from 24 ft,,23-10,,
1:02.0,,,23-10,,Defensive rebound by D. Williams
0:53.0,,,23-10,,K. O'Quinn misses 2-pt shot from 20 ft
0:52.0,Defensive rebound by R. Rondo,,23-10,,
0:47.0,,,23-10,,Personal foul by D. Williams
0:42.0,K. Koufos makes 2-pt shot from 3 ft (assist by M. Belinelli),2,25-10,,
0:30.0,,,25-10,,Shooting foul by O. Casspi (drawn by D. Williams)
0:30.0,,,25-11,1,D. Williams makes free throw 1 of 2
0:30.0,,,25-12,1,D. Williams makes free throw 2 of 2
0:07.0,M. Belinelli makes 3-pt shot from 23 ft (assist by R. Rondo),3,28-12,,
0:02.0,,,28-12,,D. Williams misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by D. Cousins,,28-12,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,,,28-12,,Violation by Team (jump ball)
11:44.0,,,28-14,2,L. Galloway makes 2-pt shot from 18 ft (assist by L. Amundson)
11:21.0,Turnover by O. Casspi (lost ball; steal by L. Galloway),,28-14,,
11:19.0,Personal foul by M. Belinelli,,28-14,,
11:10.0,,,28-16,2,D. Williams makes 2-pt shot from 15 ft (assist by L. Amundson)
10:53.0,,,28-16,,Personal foul by L. Amundson
10:40.0,O. Casspi makes 2-pt shot from 4 ft (assist by D. Collison),2,30-16,,
10:22.0,,,30-16,,Turnover by L. Galloway (lost ball; steal by D. Collison)
10:14.0,R. Gay makes 2-pt shot at rim (assist by D. Collison),2,32-16,,
9:57.0,,,32-16,,L. Amundson misses 2-pt shot from 6 ft
9:56.0,,,32-16,,Offensive rebound by K. O'Quinn
9:52.0,,,32-16,,Shooting foul by R. Gay (drawn by K. O'Quinn)
9:52.0,,,32-17,1,K. O'Quinn makes free throw 1 of 2
9:52.0,,,32-18,1,K. O'Quinn makes free throw 2 of 2
9:38.0,D. Collison misses 2-pt shot from 19 ft,,32-18,,
9:37.0,,,32-18,,Defensive rebound by D. Williams
9:30.0,,,32-20,2,D. Williams makes 2-pt shot from 1 ft
9:14.0,R. Gay misses 2-pt shot at rim,,32-20,,
9:13.0,,,32-20,,Defensive rebound by K. O'Quinn
9:09.0,,,32-22,2,D. Williams makes 2-pt shot at rim
9:09.0,,,32-22,,Shooting foul by K. Koufos (drawn by D. Williams)
9:09.0,,,32-23,1,D. Williams makes free throw 1 of 1
8:50.0,R. Gay misses 3-pt shot from 22 ft,,32-23,,
8:48.0,Offensive rebound by O. Casspi,,32-23,,
8:48.0,O. Casspi makes 2-pt shot at rim,2,34-23,,
8:33.0,,,34-23,,D. Williams misses 2-pt shot from 14 ft
8:32.0,,,34-23,,Offensive rebound by K. O'Quinn
8:30.0,,,34-23,,K. O'Quinn misses 2-pt shot from 2 ft
8:29.0,Defensive rebound by K. Koufos,,34-23,,
8:21.0,Shooting foul by L. Galloway (drawn by D. Collison),,34-23,,
8:21.0,Official timeout,,34-23,,
8:21.0,,,34-23,,R. Lopez enters the game for L. Galloway
8:21.0,,,34-23,,J. Calderon enters the game for K. O'Quinn
8:21.0,D. Collison makes free throw 1 of 2,1,35-23,,
8:21.0,D. Collison makes free throw 2 of 2,1,36-23,,
8:06.0,,,36-23,,J. Grant misses 2-pt shot from 2 ft
8:05.0,,,36-23,,Offensive rebound by L. Amundson
8:00.0,,,36-23,,J. Grant misses 3-pt shot from 23 ft
7:59.0,Defensive rebound by O. Casspi,,36-23,,
7:53.0,M. Belinelli misses 3-pt shot from 25 ft,,36-23,,
7:52.0,Offensive rebound by Team,,36-23,,
7:44.0,R. Gay makes 2-pt shot from 17 ft,2,38-23,,
7:23.0,,,38-23,,Turnover by R. Lopez (lost ball; steal by O. Casspi)
7:18.0,Shooting foul by D. Williams (drawn by O. Casspi),,38-23,,
7:18.0,O. Casspi misses free throw 1 of 2,,38-23,,
7:18.0,Offensive rebound by Team,,38-23,,
7:18.0,,,38-23,,K. Porzingis enters the game for L. Amundson
7:18.0,,,38-23,,A. Afflalo enters the game for D. Williams
7:18.0,O. Casspi makes free throw 2 of 2,1,39-23,,
7:07.0,,,39-25,2,A. Afflalo makes 2-pt shot from 15 ft
7:07.0,,,39-25,,Shooting foul by O. Casspi (drawn by A. Afflalo)
7:07.0,,,39-26,1,A. Afflalo makes free throw 1 of 1
6:55.0,O. Casspi misses 3-pt shot from 25 ft,,39-26,,
6:54.0,,,39-26,,Defensive rebound by J. Grant
6:37.0,,,39-28,2,J. Grant makes 2-pt shot from 1 ft (assist by K. Porzingis)
6:22.0,Turnover by R. Gay (lost ball; steal by R. Lopez),,39-28,,
6:02.0,,,39-31,3,J. Grant makes 3-pt shot from 23 ft
5:58.0,Sacramento full timeout,,39-31,,
5:58.0,Q. Acy enters the game for O. Casspi,,39-31,,
5:58.0,D. Cousins enters the game for K. Koufos,,39-31,,
5:47.0,,,39-31,,Def 3 sec tech foul by K. Porzingis
5:47.0,M. Belinelli makes technical free throw,1,40-31,,
5:36.0,Q. Acy misses 2-pt shot from 19 ft,,40-31,,
5:35.0,,,40-31,,Defensive rebound by R. Lopez
5:22.0,,,40-31,,R. Lopez misses 2-pt shot from 3 ft
5:21.0,Defensive rebound by D. Cousins,,40-31,,
5:07.0,R. Gay misses 2-pt shot from 1 ft,,40-31,,
5:06.0,Offensive rebound by R. Gay,,40-31,,
5:05.0,R. Gay makes 2-pt shot at rim,2,42-31,,
4:47.0,,,42-33,2,K. Porzingis makes 2-pt shot from 12 ft
4:43.0,Turnover by Q. Acy (lost ball; steal by J. Grant),,42-33,,
4:30.0,,,42-33,,R. Lopez misses 2-pt shot from 5 ft
4:29.0,Defensive rebound by D. Collison,,42-33,,
4:06.0,D. Collison makes 3-pt shot from 25 ft (assist by Q. Acy),3,45-33,,
3:39.0,,,45-36,3,A. Afflalo makes 3-pt shot from 24 ft (assist by J. Grant)
3:26.0,M. Belinelli misses 2-pt shot from 20 ft,,45-36,,
3:25.0,,,45-36,,Defensive rebound by A. Afflalo
3:12.0,,,45-36,,K. Porzingis misses 2-pt shot from 2 ft
3:11.0,,,45-36,,Offensive rebound by R. Lopez
3:10.0,,,45-36,,R. Lopez misses 2-pt shot from 2 ft (block by R. Gay)
3:09.0,Defensive rebound by D. Collison,,45-36,,
3:03.0,D. Collison misses 2-pt shot from 1 ft (block by J. Grant),,45-36,,
3:02.0,,,45-36,,Defensive rebound by J. Calderon
3:00.0,,,45-36,,Offensive foul by R. Lopez
3:00.0,,,45-36,,Turnover by R. Lopez (offensive foul)
3:00.0,R. Rondo enters the game for M. Belinelli,,45-36,,
2:39.0,R. Gay misses 2-pt shot from 8 ft,,45-36,,
2:38.0,,,45-36,,Defensive rebound by K. Porzingis
2:31.0,,,45-36,,Turnover by J. Grant (lost ball; steal by D. Cousins)
2:27.0,,,45-36,,Personal foul by J. Grant
2:27.0,,,45-36,,New York full timeout
2:27.0,J. Anderson enters the game for R. Gay,,45-36,,
2:18.0,Q. Acy makes 2-pt shot at rim (assist by D. Cousins),2,47-36,,
2:18.0,Shooting foul by K. Porzingis (drawn by Q. Acy),,47-36,,
2:18.0,Q. Acy makes free throw 1 of 1,1,48-36,,
2:01.0,,,48-39,3,J. Calderon makes 3-pt shot from 25 ft (assist by J. Grant)
1:49.0,R. Rondo misses 2-pt shot from 1 ft,,48-39,,
1:48.0,,,48-39,,Defensive rebound by R. Lopez
1:36.0,,,48-41,2,K. Porzingis makes 2-pt shot from 10 ft
1:19.0,D. Collison misses 2-pt shot from 1 ft,,48-41,,
1:18.0,,,48-41,,Defensive rebound by R. Lopez
1:12.0,,,48-44,3,J. Grant makes 3-pt shot from 23 ft (assist by J. Calderon)
0:59.0,Turnover by R. Rondo (lost ball; steal by J. Grant),,48-44,,
0:49.0,,,48-44,,J. Grant misses 3-pt shot from 24 ft
0:48.0,Defensive rebound by D. Cousins,,48-44,,
0:39.0,D. Cousins misses 3-pt shot from 24 ft,,48-44,,
0:38.0,,,48-44,,Defensive rebound by A. Afflalo
0:22.0,,,48-44,,K. Porzingis misses 2-pt shot from 13 ft
0:21.0,,,48-44,,Offensive rebound by R. Lopez
0:19.0,Personal foul by Q. Acy,,48-44,,
0:19.0,,,48-44,,R. Lopez misses free throw 1 of 2
0:19.0,,,48-44,,Offensive rebound by Team
0:19.0,,,48-44,,C. Early enters the game for A. Afflalo
0:19.0,,,48-44,,S. Vujacic enters the game for K. Porzingis
0:19.0,R. Gay enters the game for Q. Acy,,48-44,,
0:19.0,,,48-45,1,R. Lopez makes free throw 2 of 2
0:09.0,R. Gay makes 2-pt shot from 18 ft (assist by R. Rondo),2,50-45,,
0:04.0,,,50-45,,R. Lopez misses 2-pt shot from 2 ft
0:03.0,,,50-45,,Offensive rebound by R. Lopez
0:03.0,,,50-47,2,R. Lopez makes 2-pt shot from 2 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,50-47,,A. Afflalo misses 3-pt shot from 23 ft
11:39.0,Defensive rebound by Q. Acy,,50-47,,
11:23.0,R. Gay misses 2-pt shot from 10 ft,,50-47,,
11:22.0,,,50-47,,Defensive rebound by J. Calderon
11:12.0,,,50-47,,S. Vujacic misses 2-pt shot from 19 ft
11:11.0,,,50-47,,Offensive rebound by R. Lopez
11:11.0,,,50-47,,R. Lopez misses 2-pt shot from 2 ft
11:10.0,,,50-47,,Offensive rebound by R. Lopez
11:10.0,,,50-47,,R. Lopez misses 2-pt shot from 2 ft
11:09.0,Defensive rebound by Q. Acy,,50-47,,
11:07.0,,,50-47,,Personal foul by S. Vujacic
10:48.0,D. Cousins misses 2-pt shot from 13 ft,,50-47,,
10:47.0,,,50-47,,Defensive rebound by S. Vujacic
10:30.0,,,50-47,,K. Porzingis misses 3-pt shot from 25 ft
10:29.0,,,50-47,,Offensive rebound by S. Vujacic
10:24.0,,,50-47,,Violation by R. Lopez (kicked ball)
10:14.0,,,50-47,,A. Afflalo misses 2-pt shot from 21 ft
10:13.0,Defensive rebound by Q. Acy,,50-47,,
10:04.0,R. Gay makes 2-pt shot from 7 ft,2,52-47,,
9:53.0,,,52-47,,J. Calderon misses 3-pt shot from 24 ft
9:52.0,,,52-47,,Offensive rebound by K. Porzingis
9:52.0,,,52-49,2,K. Porzingis makes 2-pt shot at rim
9:37.0,R. Gay makes 3-pt shot from 25 ft (assist by D. Cousins),3,55-49,,
9:14.0,,,55-51,2,R. Lopez makes 2-pt shot from 7 ft (assist by J. Calderon)
8:55.0,D. Collison misses 2-pt shot at rim,,55-51,,
8:54.0,,,55-51,,Defensive rebound by R. Lopez
8:48.0,,,55-51,,S. Vujacic misses 3-pt shot from 22 ft
8:47.0,,,55-51,,Offensive rebound by R. Lopez
8:47.0,,,55-53,2,R. Lopez makes 2-pt shot at rim
8:28.0,R. Gay makes 2-pt shot from 1 ft (assist by R. Rondo),2,57-53,,
8:12.0,,,57-53,,S. Vujacic misses 2-pt shot from 21 ft
8:11.0,Defensive rebound by D. Cousins,,57-53,,
8:02.0,Q. Acy misses 3-pt shot from 22 ft,,57-53,,
8:01.0,,,57-53,,Defensive rebound by A. Afflalo
7:43.0,,,57-53,,Shooting foul by D. Collison (drawn by R. Lopez)
7:43.0,,,57-54,1,R. Lopez makes free throw 1 of 2
7:43.0,,,57-54,,D. Williams enters the game for S. Vujacic
7:43.0,,,57-55,1,R. Lopez makes free throw 2 of 2
7:29.0,R. Rondo misses 2-pt shot from 21 ft,,57-55,,
7:28.0,Offensive rebound by Team,,57-55,,
7:28.0,,,57-55,,Loose ball foul by K. Porzingis
7:11.0,D. Collison misses 3-pt shot from 26 ft,,57-55,,
7:10.0,,,57-55,,Defensive rebound by J. Calderon
7:07.0,,,57-55,,Turnover by J. Calderon (lost ball; steal by R. Rondo)
7:05.0,R. Rondo makes 2-pt shot at rim,2,59-55,,
7:05.0,Violation by Team (jump ball),,59-55,,
6:43.0,,,59-55,,D. Williams misses 2-pt shot from 2 ft
6:42.0,Defensive rebound by D. Cousins,,59-55,,
6:28.0,D. Cousins misses 2-pt shot from 2 ft,,59-55,,
6:27.0,,,59-55,,Defensive rebound by Team
6:06.0,,,59-55,,R. Lopez misses 2-pt shot from 15 ft
6:05.0,Defensive rebound by D. Collison,,59-55,,
5:59.0,D. Cousins makes 2-pt shot from 5 ft (assist by D. Collison),2,61-55,,
5:38.0,,,61-55,,K. Porzingis misses 2-pt shot from 4 ft (block by D. Cousins)
5:37.0,,,61-55,,Offensive rebound by Team
5:37.0,,,61-55,,New York full timeout
5:37.0,,,61-55,,Shooting foul by R. Gay (drawn by K. Porzingis)
5:37.0,,,61-56,1,K. Porzingis makes free throw 1 of 2
5:37.0,,,61-56,,K. Porzingis misses free throw 2 of 2
5:36.0,Defensive rebound by D. Cousins,,61-56,,
5:19.0,D. Cousins makes 2-pt shot from 19 ft,2,63-56,,
5:04.0,,,63-58,2,K. Porzingis makes 2-pt shot from 7 ft
4:47.0,R. Gay misses 2-pt shot from 15 ft,,63-58,,
4:46.0,Offensive rebound by R. Rondo,,63-58,,
4:40.0,D. Cousins misses 2-pt shot from 19 ft,,63-58,,
4:39.0,,,63-58,,Defensive rebound by R. Lopez
4:20.0,,,63-60,2,R. Lopez makes 2-pt shot from 7 ft (assist by K. Porzingis)
3:55.0,Turnover by R. Gay (bad pass),,63-60,,
3:55.0,M. Belinelli enters the game for Q. Acy,,63-60,,
3:55.0,O. Casspi enters the game for R. Gay,,63-60,,
3:55.0,K. Koufos enters the game for D. Collison,,63-60,,
3:41.0,,,63-60,,Turnover by A. Afflalo (lost ball; steal by M. Belinelli)
3:35.0,Shooting foul by J. Calderon (drawn by O. Casspi),,63-60,,
3:35.0,O. Casspi makes free throw 1 of 2,1,64-60,,
3:35.0,O. Casspi makes free throw 2 of 2,1,65-60,,
3:13.0,,,65-60,,D. Williams misses 2-pt shot from 18 ft
3:12.0,Defensive rebound by K. Koufos,,65-60,,
2:56.0,M. Belinelli misses 3-pt shot from 25 ft,,65-60,,
2:55.0,Offensive rebound by O. Casspi,,65-60,,
2:52.0,O. Casspi misses 2-pt shot from 1 ft,,65-60,,
2:51.0,,,65-60,,Defensive rebound by R. Lopez
2:34.0,,,65-62,2,R. Lopez makes 2-pt shot at rim (assist by D. Williams)
2:34.0,,,65-62,,Shooting foul by R. Rondo (drawn by R. Lopez)
2:34.0,Sacramento full timeout,,65-62,,
2:34.0,,,65-62,,J. Grant enters the game for K. Porzingis
2:34.0,,,65-62,,L. Amundson enters the game for J. Calderon
2:34.0,,,65-63,1,R. Lopez makes free throw 1 of 1
2:11.0,O. Casspi misses 3-pt shot from 25 ft,,65-63,,
2:10.0,Offensive rebound by R. Rondo,,65-63,,
2:05.0,D. Cousins misses 2-pt shot from 1 ft,,65-63,,
2:04.0,Offensive rebound by D. Cousins,,65-63,,
2:03.0,D. Cousins makes 2-pt shot from 1 ft,2,67-63,,
1:41.0,,,67-63,,R. Lopez misses 2-pt shot at rim
1:40.0,,,67-63,,Offensive rebound by R. Lopez
1:40.0,,,67-65,2,R. Lopez makes 2-pt shot at rim
1:19.0,D. Cousins makes 2-pt shot from 13 ft (assist by M. Belinelli),2,69-65,,
0:56.0,,,69-65,,L. Amundson misses 2-pt shot from 2 ft
0:55.0,Defensive rebound by D. Cousins,,69-65,,
0:50.0,Turnover by K. Koufos (lost ball),,69-65,,
0:50.0,,,69-65,,L. Galloway enters the game for A. Afflalo
0:50.0,R. Gay enters the game for D. Cousins,,69-65,,
0:35.0,,,69-65,,L. Galloway misses 2-pt shot from 20 ft
0:34.0,,,69-65,,Offensive rebound by L. Amundson
0:34.0,,,69-65,,L. Amundson misses 2-pt shot from 1 ft
0:32.0,Defensive rebound by O. Casspi,,69-65,,
0:20.0,K. Koufos misses 2-pt shot from 2 ft (block by L. Amundson),,69-65,,
0:19.0,,,69-65,,Defensive rebound by L. Galloway
0:06.0,Personal foul by R. Rondo,,69-65,,
0:01.0,,,69-65,,J. Grant misses 2-pt shot from 17 ft
0:00.0,,,69-65,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,K. Koufos misses 2-pt shot from 1 ft,,69-65,,
11:38.0,Offensive rebound by K. Koufos,,69-65,,
11:38.0,K. Koufos makes 2-pt shot from 1 ft,2,71-65,,
11:15.0,,,71-65,,Turnover by J. Grant (lost ball; steal by D. Collison)
11:09.0,O. Casspi makes 2-pt shot from 1 ft (assist by D. Collison),2,73-65,,
11:07.0,,,73-65,,New York full timeout
11:07.0,,,73-65,,A. Afflalo enters the game for L. Amundson
10:46.0,,,73-67,2,K. O'Quinn makes 2-pt shot from 20 ft (assist by D. Williams)
10:23.0,O. Casspi makes 2-pt shot from 5 ft,2,75-67,,
10:08.0,,,75-69,2,D. Williams makes 2-pt shot from 1 ft
9:46.0,D. Collison misses 3-pt shot from 25 ft,,75-69,,
9:45.0,Offensive rebound by K. Koufos,,75-69,,
9:45.0,K. Koufos makes 2-pt shot at rim,2,77-69,,
9:30.0,,,77-71,2,J. Grant makes 2-pt shot from 1 ft
9:11.0,O. Casspi misses 3-pt shot from 26 ft,,77-71,,
9:10.0,,,77-71,,Defensive rebound by K. O'Quinn
9:04.0,Personal foul by O. Casspi,,77-71,,
8:46.0,,,77-71,,Turnover by Team (shot clock)
8:29.0,Turnover by R. Gay (bad pass),,77-71,,
8:18.0,,,77-71,,J. Grant misses 2-pt shot from 3 ft
8:17.0,Defensive rebound by R. Gay,,77-71,,
8:12.0,D. Collison misses 2-pt shot from 1 ft (block by D. Williams),,77-71,,
8:11.0,Offensive rebound by Team,,77-71,,
8:11.0,,,77-71,,R. Lopez enters the game for K. O'Quinn
8:11.0,D. Cousins enters the game for K. Koufos,,77-71,,
8:09.0,M. Belinelli makes 2-pt shot from 23 ft (assist by D. Collison),2,79-71,,
7:44.0,,,79-71,,R. Lopez misses 2-pt shot from 10 ft
7:43.0,Defensive rebound by M. Belinelli,,79-71,,
7:28.0,M. Belinelli misses 2-pt shot from 22 ft,,79-71,,
7:27.0,Offensive rebound by D. Cousins,,79-71,,
7:21.0,R. Gay misses 3-pt shot from 25 ft,,79-71,,
7:20.0,,,79-71,,Defensive rebound by D. Williams
7:14.0,,,79-71,,Turnover by D. Williams (lost ball)
7:01.0,D. Collison misses 2-pt shot from 2 ft,,79-71,,
7:00.0,,,79-71,,Defensive rebound by R. Lopez
6:56.0,,,79-71,,Turnover by J. Grant (lost ball; steal by R. Gay)
6:50.0,M. Belinelli misses 2-pt shot from 13 ft,,79-71,,
6:49.0,,,79-71,,Defensive rebound by R. Lopez
6:45.0,R. Rondo enters the game for O. Casspi,,79-71,,
6:45.0,,,79-71,,K. Porzingis enters the game for D. Williams
6:45.0,,,79-71,,J. Calderon enters the game for J. Grant
6:39.0,,,79-71,,L. Galloway misses 2-pt shot from 19 ft
6:38.0,,,79-71,,Offensive rebound by K. Porzingis
6:36.0,,,79-71,,Shooting foul by M. Belinelli (drawn by R. Lopez)
6:36.0,,,79-72,1,R. Lopez makes free throw 1 of 2
6:36.0,,,79-72,,R. Lopez misses free throw 2 of 2
6:35.0,,,79-72,,Offensive rebound by A. Afflalo
6:32.0,,,79-72,,A. Afflalo misses 2-pt shot from 7 ft
6:31.0,Defensive rebound by D. Cousins,,79-72,,
6:12.0,R. Gay misses 2-pt shot from 22 ft,,79-72,,
6:11.0,,,79-72,,Defensive rebound by L. Galloway
5:56.0,,,79-74,2,K. Porzingis makes 2-pt shot from 5 ft (assist by J. Calderon)
5:40.0,D. Cousins makes 2-pt shot from 16 ft,2,81-74,,
5:25.0,,,81-76,2,R. Lopez makes 2-pt shot from 12 ft (assist by L. Galloway)
5:07.0,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo),2,83-76,,
5:05.0,,,83-76,,New York full timeout
5:05.0,Official timeout,,83-76,,
4:44.0,,,83-76,,L. Galloway misses 3-pt shot from 24 ft
4:43.0,Defensive rebound by D. Cousins,,83-76,,
4:27.0,D. Cousins misses 2-pt shot from 5 ft,,83-76,,
4:26.0,Offensive rebound by D. Cousins,,83-76,,
4:25.0,Shooting foul by R. Lopez (drawn by D. Cousins),,83-76,,
4:25.0,D. Cousins makes free throw 1 of 2,1,84-76,,
4:25.0,D. Cousins misses free throw 2 of 2,,84-76,,
4:24.0,,,84-76,,Defensive rebound by K. Porzingis
4:04.0,,,84-76,,A. Afflalo misses 2-pt shot from 12 ft
4:03.0,Defensive rebound by M. Belinelli,,84-76,,
3:56.0,R. Gay misses 3-pt shot from 24 ft,,84-76,,
3:55.0,,,84-76,,Defensive rebound by R. Lopez
3:48.0,,,84-76,,J. Calderon misses 2-pt shot from 20 ft
3:47.0,,,84-76,,Offensive rebound by A. Afflalo
3:45.0,,,84-76,,Turnover by A. Afflalo (lost ball; steal by R. Gay)
3:43.0,,,84-76,,Personal foul by L. Galloway
3:43.0,,,84-76,,J. Grant enters the game for A. Afflalo
3:29.0,M. Belinelli misses 3-pt shot from 24 ft,,84-76,,
3:28.0,Offensive rebound by Team,,84-76,,
3:19.0,R. Gay makes 2-pt shot at rim (assist by M. Belinelli),2,86-76,,
3:00.0,,,86-78,2,J. Grant makes 2-pt shot from 4 ft
2:41.0,D. Cousins makes 2-pt shot from 21 ft,2,88-78,,
