time,Portland,pts.away,score,pts.home,Orlando
0:38.0,,,23-29,,A. Nicholson misses 2-pt shot from 4 ft
0:36.0,Defensive rebound by M. Harkless,,23-29,,
0:25.0,A. Crabbe makes 3-pt shot from 25 ft (assist by D. Lillard),3,26-29,,
0:06.0,,,26-29,,V. Oladipo misses 2-pt shot from 14 ft
0:03.0,Defensive rebound by D. Lillard,,26-29,,
0:00.0,A. Crabbe misses 3-pt shot from 24 ft,,26-29,,
0:00.0,Offensive rebound by Team,,26-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,M. Leonard misses 2-pt shot from 18 ft,,26-29,,
11:42.0,,,26-29,,Defensive rebound by J. Smith
11:28.0,,,26-29,,J. Smith misses 2-pt shot from 14 ft
11:27.0,,,26-29,,Offensive rebound by A. Gordon
11:17.0,,,26-29,,E. Fournier misses 3-pt shot from 26 ft
11:16.0,Defensive rebound by E. Davis,,26-29,,
11:07.0,Shooting foul by J. Smith (drawn by M. Harkless),,26-29,,
11:07.0,M. Harkless makes free throw 1 of 2,1,27-29,,
11:07.0,M. Harkless misses free throw 2 of 2,,27-29,,
11:07.0,,,27-29,,Defensive rebound by A. Gordon
10:56.0,,,27-29,,A. Nicholson misses 3-pt shot from 26 ft
10:54.0,Defensive rebound by A. Crabbe,,27-29,,
10:41.0,A. Crabbe misses 3-pt shot from 22 ft,,27-29,,
10:39.0,,,27-29,,Defensive rebound by A. Nicholson
10:24.0,,,27-29,,E. Fournier misses 2-pt shot from 5 ft
10:22.0,,,27-29,,Offensive rebound by A. Nicholson
10:15.0,,,27-31,2,V. Oladipo makes 2-pt shot from 16 ft
9:51.0,Shooting foul by A. Gordon (drawn by E. Davis),,27-31,,
9:51.0,E. Davis misses free throw 1 of 2,,27-31,,
9:51.0,Offensive rebound by Team,,27-31,,
9:51.0,E. Davis misses free throw 2 of 2,,27-31,,
9:50.0,Offensive rebound by E. Davis,,27-31,,
9:46.0,C. McCollum makes 3-pt shot from 25 ft (assist by A. Crabbe),3,30-31,,
9:20.0,,,30-33,2,J. Smith makes 2-pt shot from 21 ft (assist by V. Oladipo)
8:57.0,M. Harkless misses 2-pt shot from 2 ft,,30-33,,
8:56.0,,,30-33,,Defensive rebound by A. Gordon
8:40.0,,,30-33,,A. Gordon misses 2-pt shot from 20 ft
8:39.0,Defensive rebound by M. Leonard,,30-33,,
8:34.0,Turnover by M. Leonard (bad pass; steal by E. Fournier),,30-33,,
8:23.0,,,30-33,,Turnover by V. Oladipo (lost ball; steal by C. McCollum)
8:18.0,C. McCollum misses 2-pt shot from 2 ft (block by V. Oladipo),,30-33,,
8:16.0,,,30-33,,Defensive rebound by E. Fournier
8:11.0,,,30-33,,Turnover by V. Oladipo (discontinued dribble)
8:11.0,Official timeout,,30-33,,
8:11.0,,,30-33,,E. Payton enters the game for V. Oladipo
7:55.0,M. Leonard misses 3-pt shot from 25 ft,,30-33,,
7:54.0,,,30-33,,Defensive rebound by A. Gordon
7:48.0,,,30-33,,Shooting foul by M. Leonard (drawn by A. Gordon)
7:48.0,,,30-34,1,A. Gordon makes free throw 1 of 2
7:48.0,,,30-34,,C. Frye enters the game for A. Nicholson
7:48.0,,,30-34,,N. Vucevic enters the game for J. Smith
7:48.0,,,30-35,1,A. Gordon makes free throw 2 of 2
7:28.0,A. Crabbe misses 2-pt shot from 16 ft,,30-35,,
7:27.0,Offensive rebound by M. Leonard,,30-35,,
7:23.0,M. Leonard makes 2-pt shot at rim (assist by C. McCollum),2,32-35,,
7:05.0,,,32-35,,C. Frye misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by C. McCollum,,32-35,,
6:50.0,A. Crabbe makes 2-pt shot from 15 ft,2,34-35,,
6:36.0,,,34-35,,Shooting foul by C. McCollum (drawn by E. Payton)
6:36.0,,,34-36,1,E. Payton makes free throw 1 of 2
6:36.0,G. Henderson enters the game for A. Crabbe,,34-36,,
6:36.0,A. Aminu enters the game for M. Leonard,,34-36,,
6:36.0,M. Plumlee enters the game for M. Harkless,,34-36,,
6:36.0,,,34-36,,T. Harris enters the game for A. Gordon
6:36.0,,,34-36,,E. Payton misses free throw 2 of 2
6:34.0,Defensive rebound by E. Davis,,34-36,,
6:25.0,C. McCollum misses 2-pt shot from 15 ft,,34-36,,
6:21.0,,,34-36,,Defensive rebound by E. Payton
6:15.0,,,34-36,,Turnover by E. Payton (lost ball)
6:00.0,E. Davis misses 2-pt shot from 1 ft,,34-36,,
5:59.0,Offensive rebound by E. Davis,,34-36,,
5:59.0,E. Davis misses 2-pt shot from 1 ft,,34-36,,
5:56.0,,,34-36,,Defensive rebound by T. Harris
5:45.0,,,34-36,,N. Vucevic misses 2-pt shot from 9 ft
5:42.0,Defensive rebound by E. Davis,,34-36,,
5:35.0,C. McCollum makes 2-pt shot from 16 ft,2,36-36,,
5:20.0,,,36-36,,E. Fournier misses 3-pt shot from 24 ft
5:19.0,Defensive rebound by E. Davis,,36-36,,
4:57.0,M. Plumlee makes 2-pt shot at rim (assist by G. Henderson),2,38-36,,
4:28.0,,,38-38,2,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Fournier)
4:00.0,A. Aminu misses 3-pt shot from 25 ft,,38-38,,
3:58.0,Offensive rebound by M. Plumlee,,38-38,,
3:53.0,,,38-38,,Violation by C. Frye (kicked ball)
3:53.0,,,38-38,,Orlando full timeout
3:53.0,,,38-38,,V. Oladipo enters the game for E. Fournier
3:53.0,D. Lillard enters the game for C. McCollum,,38-38,,
3:51.0,Shooting foul by C. Frye (drawn by A. Aminu),,38-38,,
3:51.0,A. Aminu makes free throw 1 of 2,1,39-38,,
3:51.0,A. Aminu makes free throw 2 of 2,1,40-38,,
3:38.0,,,40-38,,V. Oladipo misses 2-pt shot from 17 ft
3:36.0,Defensive rebound by M. Plumlee,,40-38,,
3:29.0,Shooting foul by V. Oladipo (drawn by G. Henderson),,40-38,,
3:29.0,G. Henderson makes free throw 1 of 2,1,41-38,,
3:29.0,G. Henderson makes free throw 2 of 2,1,42-38,,
3:18.0,Personal foul by E. Davis (drawn by N. Vucevic),,42-38,,
3:09.0,,,42-40,2,N. Vucevic makes 2-pt shot from 16 ft (assist by E. Payton)
2:48.0,A. Aminu makes 3-pt shot from 24 ft (assist by D. Lillard),3,45-40,,
2:45.0,,,45-40,,Turnover by E. Payton (traveling)
2:45.0,Portland full timeout,,45-40,,
2:41.0,Shooting foul by C. Frye (drawn by E. Davis),,45-40,,
2:41.0,E. Davis misses free throw 1 of 2,,45-40,,
2:41.0,Offensive rebound by Team,,45-40,,
2:41.0,E. Davis makes free throw 2 of 2,1,46-40,,
2:27.0,,,46-40,,T. Harris misses 2-pt shot from 10 ft
2:25.0,,,46-40,,Offensive rebound by E. Payton
2:24.0,,,46-42,2,E. Payton makes 2-pt shot at rim
2:08.0,Turnover by E. Davis (bad pass; steal by V. Oladipo),,46-42,,
2:04.0,,,46-44,2,V. Oladipo makes 2-pt shot at rim
1:55.0,Turnover by G. Henderson (bad pass; steal by T. Harris),,46-44,,
1:52.0,,,46-46,2,T. Harris makes 2-pt shot from 1 ft
1:52.0,,,46-46,,Shooting foul by D. Lillard (drawn by T. Harris)
1:52.0,,,46-47,1,T. Harris makes free throw 1 of 1
1:27.0,M. Plumlee misses 2-pt shot from 14 ft,,46-47,,
1:26.0,,,46-47,,Defensive rebound by T. Harris
1:17.0,,,46-47,,Shooting foul by M. Plumlee (drawn by N. Vucevic)
1:17.0,,,46-47,,N. Vucevic misses free throw 1 of 2
1:17.0,,,46-47,,Offensive rebound by Team
1:17.0,,,46-47,,A. Nicholson enters the game for C. Frye
1:17.0,,,46-48,1,N. Vucevic makes free throw 2 of 2
1:07.0,,,46-48,,Personal foul by E. Payton (drawn by D. Lillard)
1:07.0,D. Lillard makes free throw 1 of 2,1,47-48,,
1:07.0,D. Lillard makes free throw 2 of 2,1,48-48,,
0:53.0,,,48-48,,A. Nicholson misses 2-pt shot from 11 ft
0:51.0,,,48-48,,Offensive rebound by E. Payton
0:46.0,Personal foul by D. Lillard (drawn by E. Payton),,48-48,,
0:46.0,,,48-49,1,E. Payton makes free throw 1 of 2
0:46.0,C. McCollum enters the game for A. Aminu,,48-49,,
0:46.0,,,48-49,,E. Payton misses free throw 2 of 2
0:45.0,Defensive rebound by G. Henderson,,48-49,,
0:34.0,D. Lillard misses 2-pt shot from 2 ft,,48-49,,
0:32.0,,,48-49,,Defensive rebound by N. Vucevic
0:13.0,,,48-49,,A. Nicholson misses 3-pt shot from 25 ft
0:10.0,Defensive rebound by G. Henderson,,48-49,,
0:10.0,Portland full timeout,,48-49,,
0:10.0,,,48-49,,E. Fournier enters the game for E. Payton
0:10.0,M. Leonard enters the game for M. Plumlee,,48-49,,
0:10.0,A. Crabbe enters the game for E. Davis,,48-49,,
0:10.0,,,48-49,,A. Gordon enters the game for A. Nicholson
0:01.0,D. Lillard misses 2-pt shot from 1 ft,,48-49,,
0:00.0,,,48-49,,Defensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,C. McCollum makes 2-pt shot from 19 ft,2,50-49,,
11:22.0,,,50-51,2,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Fournier)
11:08.0,D. Lillard misses 3-pt shot from 24 ft,,50-51,,
11:07.0,,,50-51,,Defensive rebound by T. Harris
10:56.0,,,50-51,,E. Payton misses 2-pt shot from 7 ft
10:54.0,,,50-51,,Offensive rebound by N. Vucevic
10:54.0,,,50-51,,N. Vucevic misses 2-pt shot from 1 ft
10:53.0,,,50-51,,Offensive rebound by N. Vucevic
10:53.0,,,50-51,,N. Vucevic misses 2-pt shot from 1 ft
10:51.0,,,50-51,,Offensive rebound by N. Vucevic
10:51.0,,,50-51,,N. Vucevic misses 2-pt shot at rim
10:51.0,,,50-51,,Offensive rebound by E. Payton
10:51.0,,,50-51,,Shooting foul by M. Plumlee (drawn by E. Payton)
10:51.0,,,50-52,1,E. Payton makes free throw 1 of 2
10:51.0,,,50-53,1,E. Payton makes free throw 2 of 2
10:35.0,A. Aminu makes 3-pt shot from 24 ft (assist by N. Vonleh),3,53-53,,
10:19.0,,,53-55,2,E. Payton makes 2-pt shot from 1 ft (assist by T. Harris)
10:00.0,C. McCollum misses 3-pt shot from 25 ft,,53-55,,
9:59.0,,,53-55,,Defensive rebound by T. Harris
9:52.0,,,53-57,2,N. Vucevic makes 2-pt shot at rim (assist by C. Frye)
9:49.0,Portland full timeout,,53-57,,
9:31.0,M. Plumlee misses 2-pt shot from 2 ft,,53-57,,
9:29.0,,,53-57,,Defensive rebound by C. Frye
9:08.0,,,53-60,3,T. Harris makes 3-pt shot from 26 ft
8:51.0,D. Lillard makes 2-pt shot from 12 ft (assist by C. McCollum),2,55-60,,
8:31.0,,,55-60,,T. Harris misses 3-pt shot from 24 ft
8:29.0,Defensive rebound by M. Plumlee,,55-60,,
8:16.0,C. McCollum misses 3-pt shot from 23 ft,,55-60,,
8:14.0,,,55-60,,Defensive rebound by N. Vucevic
8:00.0,,,55-62,2,N. Vucevic makes 2-pt shot from 12 ft (assist by T. Harris)
7:44.0,M. Plumlee misses 2-pt shot from 2 ft (block by N. Vucevic),,55-62,,
7:42.0,,,55-62,,Defensive rebound by C. Frye
7:28.0,,,55-62,,Offensive charge foul by C. Frye
7:28.0,,,55-62,,Turnover by C. Frye (offensive foul)
7:16.0,Turnover by C. McCollum (bad pass; steal by E. Payton),,55-62,,
7:12.0,,,55-64,2,T. Harris makes 2-pt shot at rim (assist by E. Payton)
6:53.0,M. Plumlee misses 2-pt shot from 2 ft (block by N. Vucevic),,55-64,,
6:50.0,,,55-64,,Defensive rebound by E. Payton
6:46.0,,,55-64,,E. Fournier misses 2-pt shot from 14 ft
6:43.0,Defensive rebound by A. Aminu,,55-64,,
6:34.0,N. Vonleh misses 2-pt shot from 1 ft,,55-64,,
6:33.0,,,55-64,,Defensive rebound by C. Frye
6:25.0,,,55-64,,Shooting foul by M. Plumlee (drawn by E. Payton)
6:25.0,,,55-64,,E. Payton misses free throw 1 of 2
6:25.0,,,55-64,,Offensive rebound by Team
6:25.0,M. Leonard enters the game for N. Vonleh,,55-64,,
6:25.0,A. Crabbe enters the game for A. Aminu,,55-64,,
6:25.0,,,55-64,,V. Oladipo enters the game for E. Fournier
6:25.0,,,55-65,1,E. Payton makes free throw 2 of 2
6:12.0,D. Lillard misses 3-pt shot from 26 ft,,55-65,,
6:11.0,,,55-65,,Defensive rebound by C. Frye
5:50.0,,,55-65,,C. Frye misses 3-pt shot from 25 ft
5:50.0,Defensive rebound by M. Plumlee,,55-65,,
5:38.0,M. Leonard misses 2-pt shot from 20 ft,,55-65,,
5:37.0,,,55-65,,Defensive rebound by N. Vucevic
5:29.0,,,55-65,,Shooting foul by M. Leonard (drawn by E. Payton)
5:29.0,,,55-66,1,E. Payton makes free throw 1 of 2
5:29.0,,,55-66,,A. Nicholson enters the game for C. Frye
5:29.0,E. Davis enters the game for M. Plumlee,,55-66,,
5:29.0,,,55-66,,E. Payton misses free throw 2 of 2
5:27.0,Defensive rebound by M. Leonard,,55-66,,
5:03.0,M. Leonard makes 2-pt shot from 14 ft,2,57-66,,
4:51.0,,,57-66,,Turnover by E. Payton (offensive foul)
4:51.0,,,57-66,,Offensive foul by E. Payton
4:33.0,D. Lillard makes 3-pt shot from 24 ft (assist by C. McCollum),3,60-66,,
4:17.0,,,60-66,,Shooting foul by D. Lillard (drawn by A. Nicholson)
4:17.0,,,60-67,1,A. Nicholson makes free throw 1 of 2
4:17.0,,,60-68,1,A. Nicholson makes free throw 2 of 2
3:58.0,A. Crabbe misses 3-pt shot from 24 ft,,60-68,,
3:57.0,,,60-68,,Defensive rebound by V. Oladipo
3:41.0,,,60-68,,E. Payton misses 2-pt shot from 20 ft
3:39.0,Defensive rebound by E. Davis,,60-68,,
3:32.0,D. Lillard misses 2-pt shot from 19 ft,,60-68,,
3:31.0,,,60-68,,Defensive rebound by T. Harris
3:16.0,,,60-68,,Turnover by N. Vucevic (traveling)
3:02.0,C. McCollum makes 2-pt shot from 5 ft (assist by D. Lillard),2,62-68,,
2:57.0,Inbound foul by E. Davis,,62-68,,
2:57.0,,,62-68,,Orlando full timeout
2:57.0,,,62-69,1,E. Payton makes free throw 1 of 2
2:57.0,,,62-70,1,E. Payton makes free throw 2 of 2
2:39.0,Shooting foul by N. Vucevic (drawn by E. Davis),,62-70,,
2:39.0,E. Davis misses free throw 1 of 2,,62-70,,
2:39.0,Offensive rebound by Team,,62-70,,
2:39.0,G. Henderson enters the game for D. Lillard,,62-70,,
2:39.0,E. Davis misses free throw 2 of 2,,62-70,,
2:38.0,,,62-70,,Defensive rebound by T. Harris
2:21.0,,,62-72,2,N. Vucevic makes 2-pt shot from 8 ft
2:02.0,Shooting foul by E. Payton (drawn by A. Crabbe),,62-72,,
2:02.0,A. Crabbe makes free throw 1 of 2,1,63-72,,
2:02.0,,,63-72,,E. Fournier enters the game for E. Payton
2:02.0,A. Crabbe makes free throw 2 of 2,1,64-72,,
1:37.0,,,64-72,,E. Fournier misses 3-pt shot from 23 ft
1:36.0,Defensive rebound by M. Leonard,,64-72,,
1:21.0,Turnover by M. Leonard (bad pass; steal by V. Oladipo),,64-72,,
1:21.0,,,64-72,,Turnover by V. Oladipo (step out of bounds)
1:21.0,,,64-72,,J. Smith enters the game for N. Vucevic
1:10.0,G. Henderson misses 2-pt shot from 1 ft (block by J. Smith),,64-72,,
1:07.0,,,64-72,,Defensive rebound by T. Harris
0:54.0,,,64-72,,Turnover by V. Oladipo (bad pass; steal by C. McCollum)
0:50.0,C. McCollum makes 2-pt shot from 15 ft,2,66-72,,
0:33.0,,,66-72,,V. Oladipo misses 2-pt shot from 20 ft
0:32.0,Defensive rebound by M. Leonard,,66-72,,
0:15.0,C. McCollum makes 2-pt shot from 19 ft,2,68-72,,
0:01.0,,,68-74,2,J. Smith makes 2-pt shot from 17 ft (assist by V. Oladipo)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,68-74,,J. Smith misses 2-pt shot from 17 ft
11:37.0,Defensive rebound by A. Crabbe,,68-74,,
11:20.0,M. Leonard misses 3-pt shot from 26 ft,,68-74,,
11:18.0,,,68-74,,Defensive rebound by A. Gordon
11:06.0,,,68-77,3,V. Oladipo makes 3-pt shot from 24 ft (assist by E. Fournier)
10:54.0,Turnover by C. McCollum (bad pass; steal by V. Oladipo),,68-77,,
10:49.0,,,68-77,,Offensive foul by V. Oladipo
10:49.0,,,68-77,,Turnover by V. Oladipo (offensive foul)
10:49.0,D. Lillard enters the game for C. McCollum,,68-77,,
10:27.0,Turnover by D. Lillard (bad pass),,68-77,,
10:16.0,,,68-79,2,V. Oladipo makes 2-pt shot from 21 ft
9:58.0,D. Lillard misses 3-pt shot from 24 ft,,68-79,,
9:56.0,Offensive rebound by D. Lillard,,68-79,,
9:52.0,,,68-79,,Personal foul by V. Oladipo (drawn by M. Leonard)
9:46.0,Turnover by A. Crabbe (lost ball),,68-79,,
9:46.0,M. Plumlee enters the game for E. Davis,,68-79,,
9:33.0,,,68-81,2,E. Fournier makes 2-pt shot from 2 ft
9:19.0,Turnover by A. Crabbe (bad pass),,68-81,,
9:19.0,Portland full timeout,,68-81,,
9:19.0,C. McCollum enters the game for M. Leonard,,68-81,,
9:19.0,A. Aminu enters the game for A. Crabbe,,68-81,,
9:01.0,,,68-81,,V. Oladipo misses 2-pt shot from 19 ft
9:00.0,Defensive rebound by G. Henderson,,68-81,,
8:54.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,70-81,,
8:35.0,,,70-83,2,A. Nicholson makes 2-pt shot at rim (assist by V. Oladipo)
8:15.0,C. McCollum makes 2-pt shot from 10 ft,2,72-83,,
7:56.0,,,72-83,,V. Oladipo misses 2-pt shot from 13 ft
7:55.0,Defensive rebound by M. Plumlee,,72-83,,
7:46.0,D. Lillard misses 3-pt shot from 24 ft,,72-83,,
7:44.0,Offensive rebound by G. Henderson,,72-83,,
7:42.0,G. Henderson makes 2-pt shot from 16 ft,2,74-83,,
7:26.0,,,74-83,,E. Fournier misses 3-pt shot from 24 ft
7:24.0,Defensive rebound by Team,,74-83,,
7:14.0,Offensive charge foul by A. Aminu,,74-83,,
7:14.0,Turnover by A. Aminu (offensive foul),,74-83,,
7:14.0,,,74-83,,T. Harris enters the game for A. Gordon
7:05.0,,,74-85,2,V. Oladipo makes 2-pt shot from 2 ft
6:53.0,D. Lillard misses 2-pt shot at rim,,74-85,,
6:51.0,,,74-85,,Defensive rebound by A. Nicholson
6:46.0,,,74-85,,Orlando full timeout
6:46.0,,,74-85,,E. Payton enters the game for E. Fournier
6:46.0,,,74-85,,N. Vucevic enters the game for J. Smith
6:34.0,,,74-85,,T. Harris misses 2-pt shot from 11 ft
6:32.0,Defensive rebound by M. Plumlee,,74-85,,
6:24.0,C. McCollum makes 2-pt shot from 7 ft,2,76-85,,
6:01.0,,,76-87,2,N. Vucevic makes 2-pt shot from 12 ft
5:49.0,Turnover by M. Plumlee (lost ball; steal by N. Vucevic),,76-87,,
5:46.0,Violation by G. Henderson (def goaltending),,76-87,,
5:46.0,,,76-89,2,E. Payton makes 2-pt shot from 1 ft
5:34.0,Shooting foul by V. Oladipo (drawn by C. McCollum),,76-89,,
5:34.0,C. McCollum misses free throw 1 of 3,,76-89,,
5:34.0,Offensive rebound by Team,,76-89,,
5:34.0,C. McCollum makes free throw 2 of 3,1,77-89,,
5:34.0,C. McCollum makes free throw 3 of 3,1,78-89,,
5:23.0,,,78-89,,A. Nicholson misses 2-pt shot at rim (block by G. Henderson)
5:23.0,,,78-89,,Offensive rebound by Team
5:18.0,,,78-91,2,V. Oladipo makes 2-pt shot from 20 ft
4:57.0,G. Henderson misses 3-pt shot from 23 ft,,78-91,,
4:54.0,,,78-91,,Defensive rebound by V. Oladipo
4:48.0,Flagrant foul type 1 by C. McCollum (drawn by E. Payton),,78-91,,
4:48.0,,,78-91,,E. Payton misses flagrant free throw 1 of 2
4:48.0,,,78-91,,Offensive rebound by Team
4:48.0,A. Crabbe enters the game for G. Henderson,,78-91,,
4:48.0,,,78-92,1,E. Payton makes flagrant free throw 2 of 2
4:35.0,,,78-92,,V. Oladipo misses 3-pt shot from 25 ft
4:33.0,Defensive rebound by A. Aminu,,78-92,,
4:27.0,Shooting foul by E. Payton (drawn by C. McCollum),,78-92,,
4:27.0,D. Lillard makes free throw 1 of 2,1,79-92,,
4:27.0,D. Lillard makes free throw 2 of 2,1,80-92,,
4:08.0,,,80-94,2,A. Nicholson makes 2-pt shot from 1 ft (assist by N. Vucevic)
3:56.0,Turnover by M. Plumlee (offensive foul),,80-94,,
3:56.0,Offensive foul by M. Plumlee,,80-94,,
3:36.0,,,80-94,,Offensive foul by A. Nicholson
3:36.0,,,80-94,,Turnover by A. Nicholson (offensive foul)
3:26.0,C. McCollum misses 2-pt shot from 11 ft,,80-94,,
