time,Utah,pts.away,score,pts.home,Philadelphia
8:19.0,,,36-23,,J. Grant enters the game for J. Sampson
8:19.0,A. Burks makes free throw 1 of 1,1,37-23,,
7:55.0,,,37-23,,I. Canaan misses 2-pt shot from 2 ft
7:53.0,Defensive rebound by T. Booker,,37-23,,
7:46.0,R. Hood makes 2-pt shot from 14 ft,2,39-23,,
7:33.0,,,39-23,,Offensive foul by N. Noel
7:33.0,,,39-23,,Turnover by N. Noel (offensive foul)
7:20.0,T. Burke makes 2-pt shot from 12 ft,2,41-23,,
6:55.0,,,41-23,,N. Noel misses 2-pt shot from 17 ft
6:54.0,Defensive rebound by A. Burks,,41-23,,
6:48.0,T. Burke misses 2-pt shot from 13 ft,,41-23,,
6:47.0,Offensive rebound by R. Gobert,,41-23,,
6:47.0,,,41-23,,Personal foul by J. Okafor (drawn by R. Gobert)
6:47.0,,,41-23,,T. McConnell enters the game for I. Canaan
6:39.0,R. Hood misses 3-pt shot from 25 ft,,41-23,,
6:39.0,,,41-23,,Defensive rebound by Team
6:14.0,,,41-25,2,J. Grant makes 2-pt shot from 20 ft (assist by H. Thompson)
5:53.0,R. Hood misses 3-pt shot from 26 ft,,41-25,,
5:51.0,,,41-25,,Defensive rebound by J. Okafor
5:29.0,,,41-25,,J. Grant misses 2-pt shot from 5 ft (block by R. Gobert)
5:28.0,Defensive rebound by A. Burks,,41-25,,
5:27.0,,,41-25,,Personal foul by T. McConnell (drawn by A. Burks)
5:27.0,Official timeout,,41-25,,
5:27.0,G. Hayward enters the game for A. Burks,,41-25,,
5:27.0,D. Favors enters the game for T. Booker,,41-25,,
5:16.0,R. Hood makes 2-pt shot from 15 ft,2,43-25,,
5:09.0,,,43-25,,Philadelphia full timeout
5:09.0,R. Neto enters the game for T. Burke,,43-25,,
4:53.0,,,43-25,,Turnover by Team (shot clock)
4:40.0,D. Favors misses 2-pt shot from 1 ft,,43-25,,
4:38.0,,,43-25,,Defensive rebound by T. McConnell
4:30.0,,,43-27,2,J. Okafor makes 2-pt shot from 2 ft (assist by J. Grant)
4:14.0,R. Hood misses 2-pt shot from 3 ft,,43-27,,
4:11.0,Offensive rebound by G. Hayward,,43-27,,
4:09.0,Shooting foul by J. Okafor (drawn by D. Favors),,43-27,,
4:09.0,D. Favors makes free throw 1 of 2,1,44-27,,
4:09.0,,,44-27,,I. Canaan enters the game for T. McConnell
4:09.0,,,44-27,,N. Stauskas enters the game for J. Grant
4:09.0,A. Burks enters the game for R. Hood,,44-27,,
4:09.0,D. Favors misses free throw 2 of 2,,44-27,,
4:08.0,,,44-27,,Defensive rebound by Team
3:45.0,,,44-27,,J. Okafor misses 2-pt shot from 13 ft
3:44.0,Defensive rebound by G. Hayward,,44-27,,
3:20.0,D. Favors makes 2-pt shot from 13 ft (assist by R. Neto),2,46-27,,
3:00.0,,,46-29,2,H. Thompson makes 2-pt shot from 1 ft (assist by J. Okafor)
2:39.0,G. Hayward misses 2-pt shot from 9 ft,,46-29,,
2:37.0,,,46-29,,Defensive rebound by H. Thompson
2:25.0,,,46-29,,Shooting foul by R. Neto (drawn by I. Canaan)
2:25.0,,,46-30,1,I. Canaan makes free throw 1 of 3
2:25.0,,,46-31,1,I. Canaan makes free throw 2 of 3
2:25.0,T. Burke enters the game for R. Neto,,46-31,,
2:25.0,,,46-31,,I. Canaan misses free throw 3 of 3
2:24.0,Defensive rebound by D. Favors,,46-31,,
2:03.0,A. Burks makes 2-pt shot from 18 ft (assist by R. Gobert),2,48-31,,
1:47.0,,,48-31,,Shooting foul by G. Hayward (drawn by H. Thompson)
1:47.0,,,48-32,1,H. Thompson makes free throw 1 of 2
1:47.0,,,48-33,1,H. Thompson makes free throw 2 of 2
1:32.0,D. Favors misses 2-pt shot from 1 ft,,48-33,,
1:30.0,,,48-33,,Defensive rebound by N. Noel
1:09.0,,,48-33,,J. Okafor misses 2-pt shot from 9 ft
1:08.0,Defensive rebound by G. Hayward,,48-33,,
1:01.0,G. Hayward misses 2-pt shot from 3 ft,,48-33,,
1:01.0,Offensive rebound by Team,,48-33,,
1:01.0,,,48-33,,Loose ball foul by H. Thompson (drawn by R. Gobert)
1:01.0,R. Gobert makes free throw 1 of 2,1,49-33,,
1:01.0,,,49-33,,J. Grant enters the game for H. Thompson
1:01.0,R. Gobert makes free throw 2 of 2,1,50-33,,
0:46.0,,,50-33,,Turnover by J. Grant (bad pass)
0:25.0,A. Burks misses 2-pt shot from 16 ft,,50-33,,
0:24.0,,,50-33,,Defensive rebound by J. Okafor
0:00.0,,,50-33,,I. Canaan misses 2-pt shot from 7 ft (block by R. Gobert)
0:00.0,,,50-33,,Offensive rebound by I. Canaan
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,50-33,,Turnover by J. Okafor (lost ball; steal by D. Favors)
11:43.0,R. Hood makes 2-pt shot from 1 ft,2,52-33,,
11:27.0,,,52-33,,N. Noel misses 2-pt shot from 14 ft
11:25.0,Defensive rebound by D. Favors,,52-33,,
11:10.0,R. Hood makes 3-pt shot from 24 ft (assist by G. Hayward),3,55-33,,
10:53.0,,,55-33,,H. Thompson misses 2-pt shot from 3 ft
10:52.0,Defensive rebound by D. Favors,,55-33,,
10:49.0,,,55-33,,Personal foul by J. Sampson (drawn by G. Hayward)
10:49.0,G. Hayward misses free throw 1 of 2,,55-33,,
10:49.0,Offensive rebound by Team,,55-33,,
10:49.0,G. Hayward makes free throw 2 of 2,1,56-33,,
10:30.0,,,56-33,,Turnover by H. Thompson (bad pass; steal by D. Favors)
10:15.0,D. Favors misses 2-pt shot from 5 ft,,56-33,,
10:13.0,,,56-33,,Defensive rebound by N. Noel
9:59.0,,,56-33,,I. Canaan misses 3-pt shot from 27 ft
9:57.0,Defensive rebound by D. Favors,,56-33,,
9:37.0,D. Favors makes 2-pt shot from 4 ft (assist by R. Neto),2,58-33,,
9:27.0,,,58-33,,Turnover by I. Canaan (lost ball; steal by R. Neto)
9:27.0,,,58-33,,Personal foul by I. Canaan (drawn by R. Neto)
9:27.0,,,58-33,,T. McConnell enters the game for I. Canaan
9:27.0,A. Burks enters the game for G. Hayward,,58-33,,
9:19.0,R. Hood misses 2-pt shot from 6 ft,,58-33,,
9:16.0,,,58-33,,Defensive rebound by Team
8:57.0,,,58-33,,J. Sampson misses 2-pt shot from 6 ft (block by R. Gobert)
8:55.0,,,58-33,,Offensive rebound by T. McConnell
8:53.0,,,58-33,,T. McConnell misses 2-pt shot from 7 ft
8:52.0,Defensive rebound by R. Gobert,,58-33,,
8:44.0,Turnover by A. Burks (bad pass; steal by T. McConnell),,58-33,,
8:30.0,,,58-33,,Turnover by T. McConnell (bad pass; steal by R. Neto)
8:23.0,R. Gobert makes 2-pt shot at rim (assist by R. Neto),2,60-33,,
8:17.0,,,60-33,,Turnover by J. Sampson (bad pass; steal by R. Neto)
8:12.0,R. Hood misses 3-pt shot from 26 ft,,60-33,,
8:10.0,,,60-33,,Defensive rebound by J. Sampson
8:08.0,,,60-33,,Philadelphia full timeout
8:08.0,,,60-33,,N. Stauskas enters the game for J. Sampson
7:56.0,,,60-33,,N. Stauskas misses 2-pt shot from 5 ft (block by R. Gobert)
7:54.0,Defensive rebound by A. Burks,,60-33,,
7:45.0,R. Hood misses 2-pt shot from 8 ft,,60-33,,
7:43.0,Offensive rebound by R. Gobert,,60-33,,
7:36.0,R. Neto makes 3-pt shot from 23 ft (assist by R. Hood),3,63-33,,
7:22.0,,,63-33,,J. Grant enters the game for N. Noel
7:22.0,G. Hayward enters the game for A. Burks,,63-33,,
7:22.0,T. Booker enters the game for R. Gobert,,63-33,,
7:12.0,,,63-33,,J. Okafor misses 2-pt shot from 7 ft
7:11.0,Defensive rebound by D. Favors,,63-33,,
6:57.0,R. Neto misses 2-pt shot from 16 ft,,63-33,,
6:56.0,,,63-33,,Defensive rebound by H. Thompson
6:44.0,,,63-36,3,N. Stauskas makes 3-pt shot from 23 ft (assist by T. McConnell)
6:28.0,D. Favors misses 2-pt shot from 6 ft,,63-36,,
6:27.0,,,63-36,,Defensive rebound by J. Grant
6:20.0,Personal foul by D. Favors (drawn by J. Okafor),,63-36,,
6:04.0,,,63-36,,H. Thompson misses 3-pt shot from 26 ft
6:02.0,Defensive rebound by D. Favors,,63-36,,
5:45.0,Turnover by G. Hayward (offensive foul),,63-36,,
5:45.0,Offensive foul by G. Hayward,,63-36,,
5:45.0,,,63-36,,I. Canaan enters the game for J. Okafor
5:45.0,,,63-36,,N. Noel enters the game for H. Thompson
5:45.0,T. Burke enters the game for R. Neto,,63-36,,
5:33.0,,,63-39,3,J. Grant makes 3-pt shot from 23 ft (assist by T. McConnell)
5:16.0,R. Hood misses 2-pt shot from 1 ft,,63-39,,
5:14.0,,,63-39,,Defensive rebound by N. Noel
5:07.0,,,63-39,,Turnover by T. McConnell (bad pass; steal by G. Hayward)
5:03.0,D. Favors misses 2-pt shot from 4 ft (block by N. Noel),,63-39,,
5:01.0,,,63-39,,Defensive rebound by N. Stauskas
4:55.0,,,63-41,2,J. Grant makes 2-pt shot at rim (assist by N. Stauskas)
4:52.0,Utah full timeout,,63-41,,
4:37.0,G. Hayward misses 2-pt shot from 12 ft (block by J. Grant),,63-41,,
4:35.0,Offensive rebound by D. Favors,,63-41,,
4:35.0,D. Favors makes 2-pt shot from 1 ft,2,65-41,,
4:35.0,Shooting foul by N. Noel (drawn by D. Favors),,65-41,,
4:35.0,J. Ingles enters the game for T. Booker,,65-41,,
4:35.0,D. Favors makes free throw 1 of 1,1,66-41,,
4:23.0,,,66-41,,N. Stauskas misses 2-pt shot from 1 ft
4:22.0,,,66-41,,Offensive rebound by N. Noel
4:22.0,Personal foul by R. Hood (drawn by N. Noel),,66-41,,
4:22.0,,,66-42,1,N. Noel makes free throw 1 of 2
4:22.0,,,66-43,1,N. Noel makes free throw 2 of 2
3:58.0,D. Favors misses 2-pt shot from 14 ft,,66-43,,
3:57.0,,,66-43,,Defensive rebound by N. Noel
3:46.0,,,66-43,,I. Canaan misses 2-pt shot from 4 ft
3:44.0,,,66-43,,Offensive rebound by N. Noel
3:42.0,,,66-45,2,N. Noel makes 2-pt shot from 3 ft
3:23.0,R. Hood misses 2-pt shot from 6 ft,,66-45,,
3:21.0,,,66-45,,Defensive rebound by I. Canaan
3:07.0,,,66-45,,Shooting foul by J. Ingles (drawn by J. Grant)
3:07.0,,,66-45,,J. Grant misses free throw 1 of 2
3:07.0,,,66-45,,Offensive rebound by Team
3:07.0,,,66-46,1,J. Grant makes free throw 2 of 2
2:54.0,Shooting foul by I. Canaan (drawn by D. Favors),,66-46,,
2:54.0,D. Favors makes free throw 1 of 2,1,67-46,,
2:54.0,A. Burks enters the game for R. Hood,,67-46,,
2:54.0,,,67-46,,J. Sampson enters the game for N. Stauskas
2:54.0,D. Favors makes free throw 2 of 2,1,68-46,,
2:39.0,,,68-48,2,N. Noel makes 2-pt shot at rim (assist by J. Sampson)
2:28.0,D. Favors makes 2-pt shot from 3 ft (assist by T. Burke),2,70-48,,
2:28.0,Shooting foul by J. Sampson (drawn by D. Favors),,70-48,,
2:28.0,,,70-48,,H. Thompson enters the game for J. Sampson
2:28.0,D. Favors makes free throw 1 of 1,1,71-48,,
2:11.0,,,71-48,,I. Canaan misses 3-pt shot from 26 ft
2:10.0,Defensive rebound by T. Burke,,71-48,,
1:51.0,D. Favors misses 2-pt shot from 1 ft,,71-48,,
1:51.0,,,71-48,,Defensive rebound by Team
1:51.0,R. Gobert enters the game for D. Favors,,71-48,,
1:26.0,,,71-48,,N. Noel misses 2-pt shot from 8 ft
1:24.0,Defensive rebound by R. Gobert,,71-48,,
1:20.0,Turnover by A. Burks (lost ball),,71-48,,
1:08.0,Shooting block foul by J. Ingles (drawn by I. Canaan),,71-48,,
1:08.0,,,71-49,1,I. Canaan makes free throw 1 of 2
1:08.0,,,71-50,1,I. Canaan makes free throw 2 of 2
0:56.0,T. Burke makes 2-pt shot from 17 ft,2,73-50,,
0:39.0,,,73-53,3,H. Thompson makes 3-pt shot from 23 ft (assist by J. Grant)
0:29.0,G. Hayward misses 3-pt shot from 26 ft,,73-53,,
0:27.0,,,73-53,,Defensive rebound by I. Canaan
0:05.0,,,73-53,,T. McConnell misses 2-pt shot from 1 ft
0:03.0,,,73-53,,Offensive rebound by N. Noel
0:03.0,,,73-53,,N. Noel misses 2-pt shot from 1 ft
0:02.0,Defensive rebound by T. Burke,,73-53,,
0:01.0,Shooting foul by H. Thompson (drawn by A. Burks),,73-53,,
0:01.0,A. Burks misses free throw 1 of 2,,73-53,,
0:01.0,Offensive rebound by Team,,73-53,,
0:01.0,A. Burks makes free throw 2 of 2,1,74-53,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,G. Hayward makes 3-pt shot from 25 ft,3,77-53,,
11:22.0,,,77-53,,H. Thompson misses 2-pt shot from 5 ft
11:20.0,Defensive rebound by A. Burks,,77-53,,
11:14.0,E. Millsap misses 2-pt shot from 3 ft,,77-53,,
11:12.0,Offensive rebound by E. Millsap,,77-53,,
11:12.0,E. Millsap makes 2-pt shot from 1 ft,2,79-53,,
11:01.0,,,79-53,,Shooting foul by E. Millsap (drawn by N. Stauskas)
11:01.0,,,79-54,1,N. Stauskas makes free throw 1 of 3
11:01.0,,,79-55,1,N. Stauskas makes free throw 2 of 3
11:01.0,,,79-56,1,N. Stauskas makes free throw 3 of 3
10:46.0,T. Burke misses 2-pt shot from 19 ft,,79-56,,
10:44.0,Offensive rebound by R. Gobert,,79-56,,
10:44.0,R. Gobert makes 2-pt shot at rim,2,81-56,,
10:32.0,Personal foul by E. Millsap (drawn by C. Wood),,81-56,,
10:26.0,,,81-56,,Turnover by J. Sampson (bad pass; steal by T. Burke)
10:22.0,G. Hayward makes 2-pt shot at rim (assist by T. Burke),2,83-56,,
10:21.0,,,83-56,,Philadelphia full timeout
10:21.0,,,83-56,,I. Canaan enters the game for C. Wood
10:00.0,,,83-56,,I. Canaan misses 3-pt shot from 23 ft
9:59.0,Defensive rebound by G. Hayward,,83-56,,
9:58.0,Turnover by R. Gobert (bad pass),,83-56,,
9:39.0,,,83-56,,J. Sampson misses 2-pt shot from 7 ft (block by R. Gobert)
9:37.0,Defensive rebound by T. Burke,,83-56,,
9:33.0,E. Millsap misses 2-pt shot from 2 ft,,83-56,,
9:32.0,Offensive rebound by R. Gobert,,83-56,,
9:32.0,R. Gobert misses 2-pt shot from 1 ft,,83-56,,
9:30.0,,,83-56,,Defensive rebound by J. Okafor
9:18.0,,,83-56,,J. Okafor misses 2-pt shot from 4 ft (block by R. Gobert)
9:18.0,,,83-56,,Offensive rebound by Team
9:18.0,R. Hood enters the game for E. Millsap,,83-56,,
9:12.0,,,83-56,,Shooting foul by R. Gobert (drawn by J. Okafor)
9:12.0,,,83-57,1,J. Okafor makes free throw 1 of 2
9:12.0,,,83-57,,J. Okafor misses free throw 2 of 2
9:11.0,,,83-57,,Offensive rebound by J. Okafor
9:03.0,,,83-57,,Shooting foul by R. Gobert (drawn by J. Okafor)
9:03.0,,,83-58,1,J. Okafor makes free throw 1 of 2
9:03.0,D. Favors enters the game for A. Burks,,83-58,,
9:03.0,,,83-58,,N. Noel enters the game for J. Sampson
9:03.0,,,83-58,,J. Okafor misses free throw 2 of 2
9:02.0,Defensive rebound by R. Gobert,,83-58,,
9:02.0,,,83-58,,Personal foul by J. Okafor (drawn by R. Gobert)
8:49.0,G. Hayward misses 2-pt shot from 19 ft,,83-58,,
8:47.0,Offensive rebound by R. Gobert,,83-58,,
8:35.0,Turnover by R. Hood (bad pass; steal by J. Okafor),,83-58,,
8:30.0,,,83-58,,J. Okafor misses 2-pt shot at rim
8:29.0,Defensive rebound by R. Gobert,,83-58,,
8:13.0,G. Hayward misses 2-pt shot from 7 ft,,83-58,,
8:11.0,,,83-58,,Defensive rebound by J. Okafor
8:05.0,,,83-60,2,N. Stauskas makes 2-pt shot at rim (assist by I. Canaan)
7:43.0,D. Favors makes 2-pt shot from 16 ft (assist by T. Burke),2,85-60,,
7:23.0,,,85-60,,Turnover by J. Okafor (traveling)
7:23.0,,,85-60,,T. McConnell enters the game for N. Stauskas
7:00.0,D. Favors misses 2-pt shot from 17 ft,,85-60,,
6:59.0,Offensive rebound by Team,,85-60,,
6:59.0,Utah full timeout,,85-60,,
6:44.0,R. Hood makes 3-pt shot from 25 ft (assist by G. Hayward),3,88-60,,
6:30.0,Violation by D. Favors (kicked ball),,88-60,,
6:30.0,T. Booker enters the game for R. Gobert,,88-60,,
6:15.0,,,88-60,,N. Noel misses 2-pt shot from 15 ft
6:14.0,,,88-60,,Offensive rebound by H. Thompson
6:10.0,,,88-60,,I. Canaan misses 3-pt shot from 24 ft
6:08.0,Defensive rebound by G. Hayward,,88-60,,
5:50.0,,,88-60,,Personal foul by N. Noel (drawn by G. Hayward)
5:50.0,A. Burks enters the game for G. Hayward,,88-60,,
5:42.0,D. Favors misses 2-pt shot from 6 ft,,88-60,,
5:40.0,,,88-60,,Defensive rebound by H. Thompson
5:34.0,,,88-63,3,H. Thompson makes 3-pt shot from 26 ft (assist by T. McConnell)
5:21.0,T. Burke makes 2-pt shot from 1 ft,2,90-63,,
5:00.0,,,90-63,,Shooting foul by A. Burks (drawn by I. Canaan)
5:00.0,,,90-64,1,I. Canaan makes free throw 1 of 2
5:00.0,T. Lyles enters the game for D. Favors,,90-64,,
5:00.0,J. Ingles enters the game for R. Hood,,90-64,,
5:00.0,,,90-64,,J. Grant enters the game for H. Thompson
5:00.0,,,90-65,1,I. Canaan makes free throw 2 of 2
4:46.0,J. Ingles makes 2-pt shot from 17 ft,2,92-65,,
4:35.0,,,92-65,,Turnover by T. McConnell (bad pass)
4:21.0,T. Lyles misses 2-pt shot from 13 ft,,92-65,,
