time,Houston,pts.away,score,pts.home,Indiana
1:02.0,,,45-55,,C. Miles misses 3-pt shot from 25 ft
1:01.0,,,45-55,,Offensive rebound by M. Turner
0:46.0,,,45-55,,Turnover by M. Turner (bad pass)
0:46.0,,,45-55,,L. Allen enters the game for M. Turner
0:37.0,D. Motiejunas misses 3-pt shot from 25 ft,,45-55,,
0:36.0,,,45-55,,Defensive rebound by M. Ellis
0:32.0,,,45-57,2,L. Allen makes 2-pt shot at rim (assist by M. Ellis)
0:13.0,J. Harden misses 3-pt shot from 27 ft,,45-57,,
0:13.0,Offensive rebound by D. Motiejunas,,45-57,,
0:08.0,J. Harden misses 2-pt shot from 9 ft,,45-57,,
0:07.0,Offensive rebound by Team,,45-57,,
0:00.0,P. Beverley makes 2-pt shot from 17 ft (assist by T. Ariza),2,47-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,D. Howard misses 2-pt shot from 2 ft,,47-57,,
11:40.0,,,47-57,,Defensive rebound by P. George
11:21.0,,,47-57,,G. Hill misses 2-pt shot from 9 ft
11:20.0,,,47-57,,Offensive rebound by I. Mahinmi
11:16.0,,,47-60,3,P. George makes 3-pt shot from 24 ft (assist by I. Mahinmi)
10:59.0,D. Motiejunas makes 2-pt shot at rim (assist by J. Harden),2,49-60,,
10:40.0,,,49-62,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by G. Hill)
10:29.0,D. Motiejunas misses 2-pt shot from 10 ft,,49-62,,
10:29.0,,,49-62,,Defensive rebound by M. Turner
10:28.0,Personal foul by D. Howard,,49-62,,
10:11.0,,,49-62,,Shooting foul by D. Motiejunas (drawn by I. Mahinmi)
10:11.0,,,49-62,,I. Mahinmi misses free throw 1 of 2
10:11.0,,,49-62,,Offensive rebound by Team
10:11.0,,,49-62,,I. Mahinmi misses free throw 2 of 2
10:11.0,Defensive rebound by D. Howard,,49-62,,
9:53.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,51-62,,
9:33.0,Personal block foul by D. Motiejunas,,51-62,,
9:33.0,C. Brewer enters the game for D. Motiejunas,,51-62,,
9:22.0,,,51-62,,M. Ellis misses 2-pt shot from 19 ft
9:21.0,Defensive rebound by J. Harden,,51-62,,
9:15.0,T. Ariza misses 3-pt shot from 26 ft,,51-62,,
9:14.0,,,51-62,,Defensive rebound by G. Hill
9:06.0,Personal foul by C. Brewer,,51-62,,
8:59.0,,,51-62,,I. Mahinmi misses 2-pt shot from 20 ft
8:57.0,Defensive rebound by T. Ariza,,51-62,,
8:50.0,C. Brewer misses 2-pt shot from 6 ft,,51-62,,
8:50.0,Offensive rebound by D. Howard,,51-62,,
8:43.0,P. Beverley misses 3-pt shot from 23 ft,,51-62,,
8:42.0,Offensive rebound by D. Howard,,51-62,,
8:41.0,Turnover by D. Howard (lost ball; steal by M. Turner),,51-62,,
8:41.0,Jump ball: D. Howard vs. M. Turner (M. Ellis gains possession),,,,Jump ball: D. Howard vs. M. Turner (M. Ellis gains possession)
8:33.0,,,51-65,3,G. Hill makes 3-pt shot from 23 ft (assist by M. Ellis)
8:11.0,C. Brewer misses 2-pt shot from 1 ft,,51-65,,
8:09.0,Offensive rebound by Team,,51-65,,
8:04.0,Turnover by J. Harden (lost ball; steal by M. Ellis),,51-65,,
7:58.0,,,51-67,2,M. Ellis makes 2-pt shot at rim
7:57.0,Houston full timeout,,51-67,,
7:57.0,C. Capela enters the game for D. Howard,,51-67,,
7:57.0,K. McDaniels enters the game for P. Beverley,,51-67,,
7:44.0,J. Harden makes 3-pt shot from 26 ft,3,54-67,,
7:22.0,,,54-67,,Turnover by P. George (lost ball; steal by C. Brewer)
7:20.0,C. Brewer makes 2-pt shot at rim,2,56-67,,
7:20.0,,,56-67,,Shooting block foul by M. Ellis (drawn by C. Brewer)
7:20.0,C. Brewer makes free throw 1 of 1,1,57-67,,
7:10.0,Personal foul by C. Capela,,57-67,,
7:10.0,,,57-67,,I. Mahinmi misses free throw 1 of 2
7:10.0,,,57-67,,Offensive rebound by Team
7:10.0,,,57-68,1,I. Mahinmi makes free throw 2 of 2
6:58.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,59-68,,
6:54.0,,,59-68,,Indiana full timeout
6:54.0,,,59-68,,S. Hill enters the game for I. Mahinmi
6:42.0,,,59-68,,S. Hill misses 2-pt shot from 11 ft
6:41.0,Defensive rebound by C. Capela,,59-68,,
6:33.0,Turnover by J. Harden (lost ball; steal by M. Turner),,59-68,,
6:28.0,,,59-70,2,M. Ellis makes 2-pt shot from 19 ft
6:15.0,J. Harden misses 2-pt shot from 3 ft,,59-70,,
6:14.0,,,59-70,,Defensive rebound by S. Hill
5:54.0,,,59-70,,P. George misses 2-pt shot from 18 ft
5:53.0,,,59-70,,Offensive rebound by S. Hill
5:39.0,,,59-70,,G. Hill misses 3-pt shot from 23 ft
5:38.0,Defensive rebound by J. Harden,,59-70,,
5:25.0,,,59-70,,Personal foul by S. Hill
5:15.0,Shooting foul by M. Turner (drawn by T. Ariza),,59-70,,
5:15.0,T. Ariza makes free throw 1 of 2,1,60-70,,
5:15.0,T. Ariza makes free throw 2 of 2,1,61-70,,
4:54.0,,,61-70,,M. Ellis misses 2-pt shot from 17 ft
4:52.0,Defensive rebound by C. Brewer,,61-70,,
4:45.0,C. Capela misses 2-pt shot from 1 ft (block by M. Turner),,61-70,,
4:44.0,Offensive rebound by C. Capela,,61-70,,
4:40.0,T. Ariza makes 3-pt shot from 24 ft (assist by C. Capela),3,64-70,,
4:17.0,,,64-70,,P. George misses 2-pt shot from 7 ft
4:16.0,Defensive rebound by C. Capela,,64-70,,
4:09.0,J. Harden makes 3-pt shot from 26 ft,3,67-70,,
4:08.0,,,67-70,,Indiana full timeout
4:08.0,,,67-70,,L. Allen enters the game for M. Turner
4:08.0,,,67-70,,J. Hill enters the game for S. Hill
3:52.0,,,67-70,,P. George misses 2-pt shot from 15 ft
3:51.0,Defensive rebound by C. Brewer,,67-70,,
3:38.0,J. Harden makes 3-pt shot from 28 ft,3,70-70,,
3:24.0,,,70-72,2,J. Hill makes 2-pt shot from 13 ft (assist by M. Ellis)
3:12.0,J. Harden makes 2-pt shot from 1 ft,2,72-72,,
3:02.0,,,72-74,2,M. Ellis makes 2-pt shot from 15 ft
3:02.0,,,72-74,,Shooting foul by C. Capela (drawn by M. Ellis)
3:02.0,M. Beasley enters the game for T. Ariza,,72-74,,
3:02.0,,,72-75,1,M. Ellis makes free throw 1 of 1
2:42.0,J. Harden makes 2-pt shot from 12 ft,2,74-75,,
2:31.0,,,74-75,,Turnover by M. Ellis (bad pass)
2:23.0,J. Harden misses 2-pt shot at rim (block by J. Hill),,74-75,,
2:21.0,,,74-75,,Defensive rebound by J. Hill
2:16.0,,,74-75,,P. George misses 2-pt shot from 3 ft
2:16.0,,,74-75,,Offensive rebound by P. George
2:16.0,,,74-75,,Shooting foul by C. Brewer (drawn by P. George)
2:16.0,,,74-76,1,P. George makes free throw 1 of 2
2:16.0,,,74-77,1,P. George makes free throw 2 of 2
1:58.0,Shooting foul by L. Allen (drawn by M. Beasley),,74-77,,
1:58.0,M. Beasley misses free throw 1 of 2,,74-77,,
1:58.0,Offensive rebound by Team,,74-77,,
1:58.0,D. Howard enters the game for C. Capela,,74-77,,
1:58.0,T. Ariza enters the game for C. Brewer,,74-77,,
1:58.0,,,74-77,,I. Mahinmi enters the game for J. Hill
1:58.0,,,74-77,,R. Stuckey enters the game for M. Ellis
1:58.0,,,74-77,,T. Lawson enters the game for G. Hill
1:58.0,M. Beasley makes free throw 2 of 2,1,75-77,,
1:42.0,,,75-77,,R. Stuckey misses 3-pt shot from 22 ft
1:41.0,Defensive rebound by D. Howard,,75-77,,
1:28.0,Shooting foul by L. Allen (drawn by D. Howard),,75-77,,
1:28.0,D. Howard misses free throw 1 of 2,,75-77,,
1:28.0,Offensive rebound by Team,,75-77,,
1:28.0,D. Howard misses free throw 2 of 2,,75-77,,
1:28.0,,,75-77,,Defensive rebound by P. George
1:06.0,,,75-79,2,T. Lawson makes 2-pt shot from 16 ft
0:50.0,J. Harden misses 3-pt shot from 25 ft,,75-79,,
0:46.0,,,75-79,,Defensive rebound by P. George
0:33.0,,,75-79,,R. Stuckey misses 2-pt shot from 11 ft
0:33.0,Defensive rebound by D. Howard,,75-79,,
0:28.0,K. McDaniels makes 2-pt shot at rim (assist by J. Harden),2,77-79,,
0:06.0,,,77-81,2,T. Lawson makes 2-pt shot from 20 ft
0:01.0,Shooting foul by P. George (drawn by J. Harden),,77-81,,
0:01.0,J. Harden misses free throw 1 of 3,,77-81,,
0:01.0,Offensive rebound by Team,,77-81,,
0:01.0,J. Harden makes free throw 2 of 3,1,78-81,,
0:01.0,,,78-81,,J. Hill enters the game for I. Mahinmi
0:01.0,J. Harden makes free throw 3 of 3,1,79-81,,
0:01.0,,,79-81,,Turnover by J. Hill (lost ball; steal by M. Beasley)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,79-81,,R. Stuckey misses 2-pt shot from 18 ft (block by K. McDaniels)
11:33.0,Defensive rebound by D. Howard,,79-81,,
11:23.0,T. Ariza misses 3-pt shot from 26 ft,,79-81,,
11:22.0,,,79-81,,Defensive rebound by L. Allen
11:07.0,,,79-81,,Turnover by T. Lawson (lost ball; steal by J. Harden)
11:02.0,J. Harden makes 2-pt shot at rim,2,81-81,,
10:46.0,,,81-81,,Turnover by L. Allen (lost ball; steal by T. Ariza)
10:44.0,T. Ariza makes 2-pt shot at rim,2,83-81,,
10:44.0,,,83-81,,Indiana full timeout
10:29.0,,,83-81,,Turnover by T. Lawson (bad pass)
10:18.0,M. Beasley makes 2-pt shot at rim,2,85-81,,
9:52.0,,,85-81,,C. Miles misses 3-pt shot from 26 ft
9:51.0,,,85-81,,Offensive rebound by I. Mahinmi
9:51.0,Violation by D. Howard (def goaltending),,85-81,,
9:51.0,,,85-83,2,I. Mahinmi makes 2-pt shot from 1 ft
9:35.0,M. Beasley misses 2-pt shot from 19 ft,,85-83,,
9:35.0,,,85-83,,Defensive rebound by R. Stuckey
9:26.0,,,85-83,,I. Mahinmi misses 2-pt shot from 2 ft
9:25.0,Defensive rebound by M. Beasley,,85-83,,
9:10.0,T. Ariza makes 2-pt shot from 1 ft,2,87-83,,
8:57.0,,,87-85,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by T. Lawson)
8:41.0,Turnover by K. McDaniels (traveling),,87-85,,
8:41.0,,,87-85,,G. Hill enters the game for T. Lawson
8:41.0,,,87-85,,M. Ellis enters the game for R. Stuckey
8:41.0,,,87-85,,P. George enters the game for L. Allen
8:41.0,,,87-85,,S. Hill enters the game for C. Miles
8:23.0,,,87-87,2,M. Ellis makes 2-pt shot from 21 ft (assist by I. Mahinmi)
8:02.0,J. Harden makes 3-pt shot from 27 ft,3,90-87,,
7:34.0,,,90-87,,M. Ellis misses 3-pt shot from 28 ft
7:32.0,Defensive rebound by M. Beasley,,90-87,,
7:18.0,M. Beasley misses 2-pt shot from 16 ft,,90-87,,
7:18.0,,,90-87,,Defensive rebound by P. George
7:09.0,,,90-87,,G. Hill misses 3-pt shot from 25 ft
7:09.0,Defensive rebound by Team,,90-87,,
7:09.0,C. Brewer enters the game for K. McDaniels,,90-87,,
6:57.0,T. Ariza makes 2-pt shot from 19 ft,2,92-87,,
6:41.0,Def 3 sec tech foul by M. Beasley,,92-87,,
6:41.0,,,92-88,1,P. George makes technical free throw
6:41.0,P. Beverley enters the game for M. Beasley,,92-88,,
6:41.0,C. Capela enters the game for D. Howard,,92-88,,
6:29.0,,,92-88,,I. Mahinmi misses 2-pt shot from 3 ft
6:27.0,,,92-88,,Offensive rebound by S. Hill
6:27.0,,,92-90,2,S. Hill makes 2-pt shot at rim
6:09.0,,,92-90,,Personal foul by G. Hill
6:03.0,Turnover by J. Harden (bad pass),,92-90,,
5:50.0,,,92-93,3,P. George makes 3-pt shot from 23 ft (assist by M. Ellis)
5:36.0,J. Harden makes 2-pt shot from 1 ft,2,94-93,,
5:23.0,,,94-93,,Shooting foul by C. Capela (drawn by I. Mahinmi)
5:23.0,Official timeout,,94-93,,
5:23.0,,,94-93,,I. Mahinmi misses free throw 1 of 2
5:23.0,,,94-93,,Offensive rebound by Team
5:23.0,,,94-94,1,I. Mahinmi makes free throw 2 of 2
5:02.0,Shooting foul by G. Hill (drawn by C. Capela),,94-94,,
5:02.0,C. Capela makes free throw 1 of 2,1,95-94,,
5:02.0,C. Capela misses free throw 2 of 2,,95-94,,
5:02.0,,,95-94,,Defensive rebound by M. Ellis
4:47.0,,,95-96,2,M. Ellis makes 2-pt shot from 17 ft
4:23.0,Turnover by J. Harden (lost ball; steal by S. Hill),,95-96,,
4:23.0,Jump ball: J. Harden vs. S. Hill (I. Mahinmi gains possession),,,,Jump ball: J. Harden vs. S. Hill (I. Mahinmi gains possession)
4:01.0,,,95-98,2,I. Mahinmi makes 2-pt shot at rim (assist by S. Hill)
3:39.0,C. Brewer misses 3-pt shot from 23 ft,,95-98,,
3:38.0,,,95-98,,Defensive rebound by S. Hill
3:28.0,,,95-100,2,I. Mahinmi makes 2-pt shot at rim (assist by S. Hill)
3:26.0,Houston full timeout,,95-100,,
3:26.0,M. Beasley enters the game for P. Beverley,,95-100,,
3:26.0,D. Howard enters the game for C. Capela,,95-100,,
3:16.0,Shooting foul by I. Mahinmi (drawn by J. Harden),,95-100,,
3:16.0,J. Harden misses free throw 1 of 3,,95-100,,
