time,Oklahoma City,pts.away,score,pts.home,Indiana
2:34.0,,,19-24,,Turnover by M. Ellis (lost ball; steal by S. Adams)
2:32.0,Shooting foul by G. Hill (drawn by R. Westbrook),,19-24,,
2:32.0,R. Westbrook misses free throw 1 of 2,,19-24,,
2:32.0,Offensive rebound by Team,,19-24,,
2:32.0,,,19-24,,J. Hill enters the game for I. Mahinmi
2:32.0,,,19-24,,R. Stuckey enters the game for M. Ellis
2:32.0,K. Durant enters the game for S. Ibaka,,19-24,,
2:32.0,,,19-24,,S. Hill enters the game for M. Turner
2:32.0,R. Westbrook makes free throw 2 of 2,1,20-24,,
2:12.0,,,20-26,2,G. Hill makes 2-pt shot from 1 ft (assist by S. Hill)
2:04.0,Offensive charge foul by R. Westbrook,,20-26,,
2:04.0,Turnover by R. Westbrook (offensive foul),,20-26,,
2:04.0,C. Payne enters the game for R. Westbrook,,20-26,,
1:39.0,,,20-26,,P. George misses 2-pt shot from 19 ft
1:37.0,Defensive rebound by R. Foye,,20-26,,
1:16.0,S. Adams makes 2-pt shot from 7 ft,2,22-26,,
0:58.0,,,22-28,2,J. Hill makes 2-pt shot from 2 ft (assist by G. Hill)
0:46.0,K. Durant makes 2-pt shot at rim,2,24-28,,
0:36.0,,,24-28,,P. George misses 3-pt shot from 26 ft
0:35.0,Defensive rebound by D. Waiters,,24-28,,
0:12.0,D. Waiters makes 3-pt shot from 26 ft (assist by K. Durant),3,27-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,27-28,,J. Hill misses 2-pt shot from 18 ft
11:48.0,Defensive rebound by K. Durant,,27-28,,
11:36.0,E. Kanter misses 2-pt shot from 17 ft,,27-28,,
11:36.0,,,27-28,,Defensive rebound by C. Miles
11:16.0,,,27-30,2,R. Stuckey makes 2-pt shot from 18 ft (assist by C. Miles)
10:57.0,Turnover by D. Waiters (lost ball; steal by C. Miles),,27-30,,
10:52.0,,,27-30,,Turnover by M. Ellis (lost ball; steal by K. Durant)
10:47.0,Shooting foul by R. Stuckey (drawn by R. Foye),,27-30,,
10:47.0,R. Foye makes 2-pt shot from 14 ft,2,29-30,,
10:47.0,R. Foye misses free throw 1 of 1,,29-30,,
10:47.0,Offensive rebound by E. Kanter,,29-30,,
10:27.0,Shooting foul by S. Hill (drawn by C. Payne),,29-30,,
10:27.0,C. Payne makes free throw 1 of 2,1,30-30,,
10:27.0,C. Payne makes free throw 2 of 2,1,31-30,,
10:08.0,,,31-32,2,R. Stuckey makes 2-pt shot from 12 ft
9:50.0,K. Durant makes 2-pt shot from 16 ft,2,33-32,,
9:36.0,Personal foul by C. Payne,,33-32,,
9:30.0,,,33-32,,Shooting foul by K. Durant (drawn by J. Hill)
9:30.0,,,33-32,,J. Hill misses free throw 1 of 2
9:30.0,,,33-32,,Offensive rebound by Team
9:30.0,,,33-32,,J. Hill misses free throw 2 of 2
9:30.0,Defensive rebound by K. Durant,,33-32,,
9:18.0,E. Kanter makes 2-pt shot at rim (assist by R. Foye),2,35-32,,
9:10.0,,,35-32,,Turnover by R. Stuckey (lost ball)
8:55.0,R. Foye misses 2-pt shot from 19 ft,,35-32,,
8:55.0,,,35-32,,Defensive rebound by M. Ellis
8:47.0,,,35-32,,M. Ellis misses 2-pt shot from 7 ft
8:46.0,Defensive rebound by R. Foye,,35-32,,
8:41.0,C. Payne misses 2-pt shot from 1 ft,,35-32,,
8:41.0,,,35-32,,Defensive rebound by J. Hill
8:31.0,,,35-32,,J. Hill misses 2-pt shot at rim
8:31.0,Defensive rebound by E. Kanter,,35-32,,
8:24.0,E. Kanter misses 2-pt shot from 1 ft,,35-32,,
8:24.0,,,35-32,,Defensive rebound by J. Hill
8:16.0,,,35-32,,Turnover by M. Ellis (bad pass)
8:16.0,Official timeout,,35-32,,
8:16.0,R. Westbrook enters the game for R. Foye,,35-32,,
8:16.0,A. Roberson enters the game for D. Waiters,,35-32,,
8:16.0,A. Morrow enters the game for C. Payne,,35-32,,
8:16.0,S. Ibaka enters the game for K. Durant,,35-32,,
8:16.0,,,35-32,,L. Allen enters the game for J. Hill
8:08.0,E. Kanter makes 2-pt shot from 1 ft (assist by R. Westbrook),2,37-32,,
8:08.0,Shooting foul by L. Allen (drawn by E. Kanter),,37-32,,
8:08.0,,,37-32,,J. Hill enters the game for S. Hill
8:08.0,E. Kanter makes free throw 1 of 1,1,38-32,,
7:55.0,,,38-32,,C. Miles misses 3-pt shot from 27 ft
7:54.0,Defensive rebound by R. Westbrook,,38-32,,
7:48.0,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook),2,40-32,,
7:37.0,,,40-34,2,M. Ellis makes 2-pt shot from 2 ft (assist by R. Stuckey)
7:37.0,,,40-34,,Shooting foul by A. Roberson (drawn by M. Ellis)
7:37.0,,,40-35,1,M. Ellis makes free throw 1 of 1
7:30.0,,,40-35,,Personal foul by M. Ellis
7:23.0,E. Kanter makes 2-pt shot from 1 ft (assist by R. Westbrook),2,42-35,,
7:06.0,,,42-35,,C. Miles misses 2-pt shot from 2 ft (block by E. Kanter)
7:05.0,Defensive rebound by S. Ibaka,,42-35,,
6:50.0,S. Ibaka misses 3-pt shot from 22 ft,,42-35,,
6:50.0,Offensive rebound by R. Westbrook,,42-35,,
6:47.0,A. Morrow makes 3-pt shot from 25 ft (assist by R. Westbrook),3,45-35,,
6:46.0,,,45-35,,Indiana full timeout
6:46.0,,,45-35,,G. Hill enters the game for J. Hill
6:46.0,,,45-35,,M. Turner enters the game for R. Stuckey
6:46.0,,,45-35,,I. Mahinmi enters the game for C. Miles
6:46.0,,,45-35,,P. George enters the game for L. Allen
6:34.0,,,45-35,,I. Mahinmi misses 2-pt shot from 5 ft
6:33.0,Defensive rebound by S. Ibaka,,45-35,,
6:21.0,A. Morrow makes 2-pt shot from 9 ft,2,47-35,,
6:06.0,,,47-37,2,P. George makes 2-pt shot from 3 ft
5:44.0,Turnover by R. Westbrook (lost ball; steal by G. Hill),,47-37,,
5:41.0,,,47-37,,Shooting foul by A. Morrow (drawn by P. George)
5:41.0,,,47-39,2,P. George makes 2-pt shot from 1 ft (assist by G. Hill)
5:41.0,K. Durant enters the game for A. Morrow,,47-39,,
5:41.0,,,47-40,1,P. George makes free throw 1 of 1
5:20.0,S. Ibaka makes 2-pt shot from 11 ft (assist by K. Durant),2,49-40,,
5:05.0,,,49-40,,M. Ellis misses 3-pt shot from 25 ft
5:05.0,Defensive rebound by K. Durant,,49-40,,
5:02.0,,,49-40,,Personal foul by M. Ellis
5:02.0,A. Roberson makes free throw 1 of 2,1,50-40,,
5:02.0,A. Roberson makes free throw 2 of 2,1,51-40,,
4:50.0,,,51-40,,Shooting foul by E. Kanter (drawn by I. Mahinmi)
4:50.0,,,51-40,,I. Mahinmi misses free throw 1 of 2
4:50.0,,,51-40,,Offensive rebound by Team
4:50.0,,,51-40,,I. Mahinmi misses free throw 2 of 2
4:50.0,Defensive rebound by K. Durant,,51-40,,
4:35.0,E. Kanter misses 3-pt shot from 23 ft,,51-40,,
4:34.0,,,51-40,,Defensive rebound by M. Turner
4:23.0,,,51-40,,I. Mahinmi misses 2-pt shot from 1 ft
4:22.0,Defensive rebound by K. Durant,,51-40,,
4:18.0,Shooting foul by I. Mahinmi (drawn by E. Kanter),,51-40,,
4:18.0,E. Kanter makes free throw 1 of 2,1,52-40,,
4:18.0,E. Kanter makes free throw 2 of 2,1,53-40,,
4:06.0,S. Adams enters the game for E. Kanter,,53-40,,
4:01.0,,,53-42,2,P. George makes 2-pt shot at rim
3:41.0,S. Adams makes 2-pt shot from 8 ft (assist by K. Durant),2,55-42,,
3:30.0,Personal foul by A. Roberson,,55-42,,
3:30.0,,,55-43,1,P. George makes free throw 1 of 2
3:30.0,,,55-44,1,P. George makes free throw 2 of 2
3:18.0,K. Durant misses 3-pt shot from 24 ft,,55-44,,
3:18.0,Offensive rebound by Team,,55-44,,
3:18.0,,,55-44,,Loose ball foul by I. Mahinmi
3:18.0,S. Adams makes free throw 1 of 2,1,56-44,,
3:18.0,S. Adams misses free throw 2 of 2,,56-44,,
3:18.0,,,56-44,,Defensive rebound by M. Ellis
3:03.0,,,56-46,2,M. Turner makes 2-pt shot from 20 ft (assist by G. Hill)
2:48.0,R. Westbrook misses 3-pt shot from 24 ft,,56-46,,
2:48.0,,,56-46,,Defensive rebound by M. Ellis
2:41.0,,,56-48,2,G. Hill makes 2-pt shot from 20 ft
2:35.0,Oklahoma City full timeout,,56-48,,
2:29.0,Shooting foul by M. Turner (drawn by K. Durant),,56-48,,
2:29.0,K. Durant makes free throw 1 of 2,1,57-48,,
2:29.0,K. Durant makes free throw 2 of 2,1,58-48,,
2:17.0,,,58-50,2,M. Turner makes 2-pt shot from 16 ft (assist by M. Ellis)
1:59.0,Turnover by R. Westbrook (lost ball; steal by G. Hill),,58-50,,
1:54.0,Personal foul by S. Ibaka,,58-50,,
1:54.0,,,58-51,1,P. George makes free throw 1 of 2
1:54.0,R. Foye enters the game for S. Ibaka,,58-51,,
1:54.0,,,58-52,1,P. George makes free throw 2 of 2
1:44.0,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook),2,60-52,,
1:24.0,,,60-52,,P. George misses 2-pt shot from 18 ft
1:22.0,Defensive rebound by K. Durant,,60-52,,
1:11.0,S. Adams makes 2-pt shot at rim (assist by K. Durant),2,62-52,,
1:11.0,,,62-52,,Indiana full timeout
0:58.0,,,62-52,,M. Turner misses 2-pt shot from 1 ft
0:58.0,Defensive rebound by K. Durant,,62-52,,
0:54.0,K. Durant makes 2-pt shot at rim (assist by R. Westbrook),2,64-52,,
0:41.0,,,64-52,,M. Turner misses 2-pt shot from 1 ft
0:40.0,,,64-52,,Offensive rebound by P. George
0:34.0,,,64-52,,M. Ellis misses 3-pt shot from 25 ft
0:33.0,Defensive rebound by R. Westbrook,,64-52,,
0:13.0,Turnover by R. Westbrook (lost ball),,64-52,,
0:02.0,,,64-52,,Shooting foul by R. Westbrook (drawn by G. Hill)
0:02.0,,,64-53,1,G. Hill makes free throw 1 of 2
0:02.0,,,64-53,,S. Hill enters the game for M. Ellis
0:02.0,,,64-53,,L. Allen enters the game for I. Mahinmi
0:02.0,,,64-54,1,G. Hill makes free throw 2 of 2
0:02.0,Oklahoma City full timeout,,64-54,,
0:02.0,A. Morrow enters the game for A. Roberson,,64-54,,
0:02.0,,,64-54,,R. Stuckey enters the game for M. Turner
0:00.0,K. Durant misses 3-pt shot from 25 ft,,64-54,,
0:00.0,Offensive rebound by Team,,64-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,64-56,2,P. George makes 2-pt shot from 20 ft
11:27.0,K. Durant misses 3-pt shot from 27 ft,,64-56,,
11:27.0,,,64-56,,Defensive rebound by M. Turner
11:18.0,,,64-58,2,I. Mahinmi makes 2-pt shot at rim (assist by M. Ellis)
11:01.0,S. Ibaka makes 2-pt shot from 18 ft (assist by K. Durant),2,66-58,,
10:45.0,,,66-58,,I. Mahinmi misses 2-pt shot from 1 ft (block by S. Ibaka)
10:44.0,Defensive rebound by A. Roberson,,66-58,,
10:39.0,R. Westbrook misses 2-pt shot from 1 ft,,66-58,,
10:38.0,,,66-58,,Defensive rebound by P. George
10:29.0,,,66-58,,P. George misses 2-pt shot from 19 ft
10:28.0,,,66-58,,Offensive rebound by M. Ellis
10:21.0,,,66-58,,Shooting foul by K. Durant (drawn by I. Mahinmi)
10:21.0,,,66-59,1,I. Mahinmi makes free throw 1 of 2
10:21.0,,,66-59,,I. Mahinmi misses free throw 2 of 2
10:21.0,Defensive rebound by R. Westbrook,,66-59,,
9:57.0,R. Westbrook makes 3-pt shot from 30 ft (assist by A. Roberson),3,69-59,,
9:43.0,Personal foul by A. Roberson,,69-59,,
9:32.0,,,69-59,,Turnover by M. Turner (traveling)
9:17.0,S. Ibaka misses 2-pt shot from 6 ft,,69-59,,
9:15.0,Offensive rebound by S. Adams,,69-59,,
9:15.0,S. Adams misses 2-pt shot from 1 ft,,69-59,,
9:14.0,,,69-59,,Defensive rebound by M. Turner
8:56.0,,,69-61,2,P. George makes 2-pt shot from 19 ft (assist by G. Hill)
8:42.0,K. Durant makes 2-pt shot from 14 ft (assist by R. Westbrook),2,71-61,,
8:26.0,,,71-63,2,I. Mahinmi makes 2-pt shot from 4 ft (assist by M. Ellis)
8:12.0,R. Westbrook misses 3-pt shot from 25 ft,,71-63,,
8:12.0,,,71-63,,Defensive rebound by I. Mahinmi
8:12.0,Loose ball foul by A. Roberson,,71-63,,
8:12.0,D. Waiters enters the game for A. Roberson,,71-63,,
7:55.0,,,71-63,,Turnover by I. Mahinmi (lost ball; steal by K. Durant)
7:50.0,Turnover by R. Westbrook (lost ball; steal by P. George),,71-63,,
7:46.0,Shooting block foul by S. Adams (drawn by P. George),,71-63,,
7:46.0,Oklahoma City full timeout,,71-63,,
7:46.0,R. Foye enters the game for S. Ibaka,,71-63,,
7:46.0,,,71-64,1,P. George makes free throw 1 of 2
7:46.0,,,71-65,1,P. George makes free throw 2 of 2
7:31.0,S. Adams makes 2-pt shot from 1 ft (assist by K. Durant),2,73-65,,
7:13.0,,,73-65,,Turnover by M. Ellis (lost ball; steal by S. Adams)
7:05.0,Turnover by R. Foye (lost ball; steal by M. Ellis),,73-65,,
7:01.0,,,73-67,2,M. Ellis makes 2-pt shot at rim (assist by G. Hill)
6:46.0,R. Foye makes 3-pt shot from 23 ft (assist by R. Westbrook),3,76-67,,
6:29.0,,,76-67,,I. Mahinmi misses 2-pt shot from 1 ft
6:28.0,Defensive rebound by K. Durant,,76-67,,
6:18.0,Shooting foul by I. Mahinmi (drawn by K. Durant),,76-67,,
6:18.0,K. Durant makes free throw 1 of 2,1,77-67,,
6:18.0,K. Durant makes free throw 2 of 2,1,78-67,,
6:04.0,,,78-67,,Shooting foul by R. Foye (drawn by P. George)
6:04.0,,,78-68,1,P. George makes free throw 1 of 2
6:04.0,,,78-69,1,P. George makes free throw 2 of 2
5:55.0,R. Foye misses 3-pt shot from 26 ft,,78-69,,
5:53.0,Offensive rebound by R. Westbrook,,78-69,,
5:49.0,D. Waiters misses 3-pt shot from 25 ft,,78-69,,
5:49.0,Offensive rebound by Team,,78-69,,
5:49.0,,,78-69,,Loose ball foul by M. Ellis
5:49.0,S. Ibaka enters the game for K. Durant,,78-69,,
5:35.0,D. Waiters makes 2-pt shot from 1 ft,2,80-69,,
5:19.0,,,80-72,3,G. Hill makes 3-pt shot from 25 ft (assist by P. George)
5:05.0,R. Westbrook misses 3-pt shot from 27 ft,,80-72,,
5:04.0,Offensive rebound by R. Westbrook,,80-72,,
4:57.0,R. Westbrook misses 2-pt shot from 20 ft,,80-72,,
4:55.0,,,80-72,,Defensive rebound by Team
4:55.0,Loose ball foul by S. Adams,,80-72,,
4:55.0,,,80-73,1,G. Hill makes free throw 1 of 2
4:55.0,,,80-74,1,G. Hill makes free throw 2 of 2
4:33.0,D. Waiters misses 2-pt shot from 17 ft,,80-74,,
4:33.0,,,80-74,,Defensive rebound by Team
4:33.0,Loose ball foul by S. Ibaka,,80-74,,
4:33.0,,,80-75,1,P. George makes free throw 1 of 2
4:33.0,,,80-76,1,P. George makes free throw 2 of 2
4:16.0,E. Kanter enters the game for S. Adams,,80-76,,
4:15.0,Turnover by D. Waiters (step out of bounds),,80-76,,
4:02.0,,,80-76,,M. Turner misses 2-pt shot from 2 ft (block by R. Foye)
3:59.0,Defensive rebound by R. Westbrook,,80-76,,
3:55.0,R. Foye misses 3-pt shot from 26 ft,,80-76,,
3:54.0,,,80-76,,Defensive rebound by P. George
3:54.0,,,80-76,,M. Turner misses 2-pt shot at rim
3:54.0,,,80-76,,Offensive rebound by M. Turner
3:45.0,,,80-76,,Shooting foul by D. Waiters (drawn by M. Turner)
3:45.0,,,80-77,1,M. Turner makes free throw 1 of 2
3:45.0,,,80-78,1,M. Turner makes free throw 2 of 2
3:31.0,R. Westbrook misses 2-pt shot from 19 ft,,80-78,,
3:30.0,,,80-78,,Defensive rebound by M. Turner
3:26.0,Personal block foul by D. Waiters,,80-78,,
3:26.0,,,80-78,,P. George misses free throw 1 of 2
3:26.0,,,80-78,,Offensive rebound by Team
3:26.0,,,80-79,1,P. George makes free throw 2 of 2
3:11.0,Turnover by R. Westbrook (lost ball; steal by M. Ellis),,80-79,,
3:06.0,,,80-79,,G. Hill misses 2-pt shot at rim
3:05.0,Defensive rebound by E. Kanter,,80-79,,
2:59.0,R. Westbrook makes 3-pt shot from 22 ft (assist by D. Waiters),3,83-79,,
2:58.0,,,83-79,,Indiana full timeout
2:58.0,K. Durant enters the game for R. Westbrook,,83-79,,
2:58.0,,,83-79,,R. Stuckey enters the game for M. Turner
2:58.0,,,83-79,,L. Allen enters the game for M. Ellis
2:45.0,,,83-79,,P. George misses 2-pt shot from 16 ft
2:44.0,Defensive rebound by S. Ibaka,,83-79,,
2:26.0,Turnover by D. Waiters (bad pass),,83-79,,
2:26.0,C. Payne enters the game for S. Ibaka,,83-79,,
2:22.0,,,83-82,3,P. George makes 3-pt shot from 24 ft (assist by G. Hill)
2:01.0,D. Waiters makes 2-pt shot from 21 ft,2,85-82,,
1:37.0,,,85-85,3,P. George makes 3-pt shot from 24 ft (assist by R. Stuckey)
1:14.0,Offensive foul by E. Kanter,,85-85,,
1:14.0,Turnover by E. Kanter (offensive foul),,85-85,,
1:00.0,,,85-85,,P. George misses 2-pt shot from 9 ft
1:00.0,,,85-85,,Offensive rebound by P. George
0:51.0,,,85-85,,P. George misses 2-pt shot from 18 ft
0:49.0,Defensive rebound by K. Durant,,85-85,,
0:37.0,Turnover by D. Waiters (lost ball; steal by P. George),,85-85,,
0:33.0,,,85-87,2,P. George makes 2-pt shot at rim
0:11.0,K. Durant makes 3-pt shot from 26 ft,3,88-87,,
0:01.0,,,88-87,,P. George misses 2-pt shot at rim (block by K. Durant)
0:00.0,Defensive rebound by E. Kanter,,88-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,88-87,,Personal foul by S. Hill
11:50.0,A. Morrow enters the game for D. Waiters,,88-87,,
11:45.0,K. Durant makes 2-pt shot from 13 ft,2,90-87,,
11:21.0,,,90-89,2,R. Stuckey makes 2-pt shot from 19 ft (assist by S. Hill)
11:03.0,E. Kanter misses 2-pt shot at rim (block by M. Turner),,90-89,,
11:03.0,,,90-89,,Defensive rebound by M. Turner
11:03.0,Jump ball: E. Kanter vs. M. Turner (L. Allen gains possession),,,,Jump ball: E. Kanter vs. M. Turner (L. Allen gains possession)
10:44.0,,,90-91,2,R. Stuckey makes 2-pt shot from 18 ft
10:30.0,A. Morrow makes 2-pt shot from 18 ft,2,92-91,,
10:05.0,,,92-94,3,M. Ellis makes 3-pt shot from 23 ft (assist by R. Stuckey)
10:05.0,Oklahoma City full timeout,,92-94,,
10:05.0,A. Roberson enters the game for C. Payne,,92-94,,
10:05.0,,,92-94,,P. George enters the game for S. Hill
9:51.0,E. Kanter misses 2-pt shot from 1 ft,,92-94,,
9:50.0,,,92-94,,Defensive rebound by L. Allen
9:35.0,,,92-94,,P. George misses 3-pt shot from 24 ft
9:33.0,,,92-94,,Offensive rebound by L. Allen
9:33.0,,,92-96,2,L. Allen makes 2-pt shot at rim
9:13.0,Shooting foul by R. Stuckey (drawn by R. Foye),,92-96,,
9:13.0,R. Foye makes free throw 1 of 2,1,93-96,,
9:13.0,R. Foye makes free throw 2 of 2,1,94-96,,
9:02.0,,,94-96,,P. George misses 3-pt shot from 26 ft
9:00.0,Defensive rebound by K. Durant,,94-96,,
8:55.0,K. Durant makes 3-pt shot from 24 ft,3,97-96,,
8:42.0,Personal foul by A. Morrow,,97-96,,
8:42.0,R. Westbrook enters the game for K. Durant,,97-96,,
8:28.0,,,97-98,2,L. Allen makes 2-pt shot from 9 ft (assist by R. Stuckey)
8:03.0,R. Foye makes 3-pt shot from 28 ft,3,100-98,,
7:53.0,Personal foul by R. Westbrook,,100-98,,
7:53.0,S. Adams enters the game for R. Foye,,100-98,,
7:44.0,,,100-98,,M. Turner misses 2-pt shot from 9 ft
7:43.0,Defensive rebound by R. Westbrook,,100-98,,
7:24.0,Offensive foul by A. Morrow,,100-98,,
7:24.0,Turnover by A. Morrow (offensive foul),,100-98,,
7:24.0,,,100-98,,G. Hill enters the game for R. Stuckey
7:24.0,,,100-98,,I. Mahinmi enters the game for M. Turner
7:09.0,,,100-98,,M. Ellis misses 2-pt shot from 18 ft
7:08.0,Defensive rebound by R. Westbrook,,100-98,,
6:55.0,R. Westbrook misses 2-pt shot from 18 ft,,100-98,,
6:54.0,,,100-98,,Defensive rebound by G. Hill
6:32.0,,,100-98,,G. Hill misses 3-pt shot from 25 ft
6:30.0,Defensive rebound by R. Westbrook,,100-98,,
6:24.0,Oklahoma City full timeout,,100-98,,
6:24.0,R. Foye enters the game for S. Adams,,100-98,,
6:24.0,K. Durant enters the game for A. Morrow,,100-98,,
6:24.0,,,100-98,,M. Turner enters the game for L. Allen
6:15.0,K. Durant makes 2-pt shot from 19 ft (assist by R. Westbrook),2,102-98,,
5:49.0,,,102-98,,Turnover by P. George (lost ball; steal by R. Foye)
5:47.0,Shooting foul by G. Hill (drawn by R. Westbrook),,102-98,,
5:47.0,R. Westbrook makes free throw 1 of 2,1,103-98,,
5:47.0,R. Westbrook makes free throw 2 of 2,1,104-98,,
5:28.0,,,104-98,,I. Mahinmi misses 2-pt shot from 19 ft
5:28.0,Defensive rebound by E. Kanter,,104-98,,
5:13.0,K. Durant makes 2-pt shot from 19 ft (assist by R. Westbrook),2,106-98,,
5:13.0,,,106-98,,Indiana full timeout
5:13.0,,,106-98,,S. Hill enters the game for M. Turner
5:02.0,,,106-100,2,I. Mahinmi makes 2-pt shot at rim (assist by M. Ellis)
4:39.0,K. Durant misses 3-pt shot from 27 ft,,106-100,,
4:38.0,Offensive rebound by E. Kanter,,106-100,,
4:37.0,E. Kanter makes 2-pt shot at rim,2,108-100,,
4:15.0,,,108-100,,M. Ellis misses 3-pt shot from 23 ft
4:14.0,Defensive rebound by E. Kanter,,108-100,,
3:59.0,R. Foye misses 3-pt shot from 25 ft,,108-100,,
3:57.0,Offensive rebound by E. Kanter,,108-100,,
3:57.0,E. Kanter makes 2-pt shot at rim,2,110-100,,
3:47.0,,,110-102,2,P. George makes 2-pt shot from 7 ft
3:47.0,,,110-102,,Shooting foul by E. Kanter (drawn by P. George)
3:47.0,,,110-102,,P. George misses free throw 1 of 1
3:47.0,,,110-102,,Offensive rebound by I. Mahinmi
3:39.0,,,110-102,,Turnover by I. Mahinmi (lost ball; steal by K. Durant)
3:39.0,Jump ball: K. Durant vs. I. Mahinmi (E. Kanter gains possession),,,,Jump ball: K. Durant vs. I. Mahinmi (E. Kanter gains possession)
3:15.0,Turnover by R. Westbrook (lost ball; steal by S. Hill),,110-102,,
3:07.0,,,110-102,,M. Ellis misses 2-pt shot at rim
3:06.0,Defensive rebound by E. Kanter,,110-102,,
