time,Dallas,pts.away,score,pts.home,Boston
7:05.0,D. Powell makes 2-pt shot from 1 ft (assist by D. Williams),2,7-11,,
6:54.0,,,7-11,,Shooting foul by Z. Pachulia (drawn by J. Sullinger)
6:54.0,,,7-12,1,J. Sullinger makes free throw 1 of 2
6:54.0,,,7-12,,A. Bradley enters the game for M. Smart
6:54.0,,,7-13,1,J. Sullinger makes free throw 2 of 2
6:39.0,C. Parsons makes 2-pt shot from 20 ft (assist by D. Harris),2,9-13,,
6:23.0,,,9-13,,Offensive foul by A. Johnson
6:23.0,,,9-13,,Turnover by A. Johnson (offensive foul)
6:07.0,C. Parsons makes 2-pt shot from 20 ft,2,11-13,,
6:00.0,,,11-13,,Boston full timeout
5:49.0,,,11-13,,I. Thomas misses 2-pt shot from 6 ft
5:48.0,,,11-13,,Offensive rebound by Team
5:44.0,,,11-15,2,J. Crowder makes 2-pt shot from 11 ft (assist by I. Thomas)
5:35.0,,,11-15,,Personal foul by A. Bradley (drawn by D. Harris)
5:35.0,,,11-15,,K. Olynyk enters the game for A. Johnson
5:31.0,,,11-15,,Personal foul by A. Bradley (drawn by Z. Pachulia)
5:22.0,D. Powell misses 2-pt shot from 20 ft,,11-15,,
5:21.0,,,11-15,,Defensive rebound by J. Sullinger
5:11.0,,,11-17,2,I. Thomas makes 2-pt shot from 1 ft (assist by J. Sullinger)
5:00.0,Z. Pachulia misses 2-pt shot from 4 ft,,11-17,,
4:59.0,,,11-17,,Defensive rebound by K. Olynyk
4:40.0,,,11-20,3,A. Bradley makes 3-pt shot from 25 ft (assist by J. Crowder)
4:39.0,Dallas full timeout,,11-20,,
4:39.0,D. Nowitzki enters the game for C. Parsons,,11-20,,
4:39.0,W. Matthews enters the game for Z. Pachulia,,11-20,,
4:28.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by D. Williams),2,13-20,,
4:15.0,,,13-22,2,A. Bradley makes 2-pt shot from 15 ft (assist by J. Crowder)
3:56.0,D. Williams misses 2-pt shot from 19 ft,,13-22,,
3:55.0,,,13-22,,Defensive rebound by J. Sullinger
3:46.0,,,13-24,2,A. Bradley makes 2-pt shot from 19 ft
3:34.0,Turnover by D. Nowitzki (lost ball; steal by A. Bradley),,13-24,,
3:29.0,,,13-26,2,A. Bradley makes 2-pt shot at rim
3:15.0,D. Harris misses 2-pt shot from 6 ft (block by K. Olynyk),,13-26,,
3:14.0,,,13-26,,Defensive rebound by K. Olynyk
3:05.0,,,13-26,,A. Bradley misses 2-pt shot from 16 ft
3:03.0,,,13-26,,Offensive rebound by J. Sullinger
2:57.0,,,13-29,3,A. Bradley makes 3-pt shot from 25 ft (assist by J. Sullinger)
2:35.0,Turnover by W. Matthews (bad pass; steal by J. Sullinger),,13-29,,
2:30.0,,,13-31,2,I. Thomas makes 2-pt shot from 1 ft (assist by A. Bradley)
2:30.0,Dallas full timeout,,13-31,,
2:30.0,R. Felton enters the game for D. Williams,,13-31,,
2:30.0,J. Barea enters the game for D. Harris,,13-31,,
2:30.0,,,13-31,,E. Turner enters the game for J. Sullinger
2:30.0,,,13-31,,J. Jerebko enters the game for I. Thomas
2:14.0,J. Barea misses 3-pt shot from 26 ft,,13-31,,
2:13.0,,,13-31,,Defensive rebound by J. Crowder
1:59.0,,,13-31,,A. Bradley misses 3-pt shot from 25 ft
1:57.0,,,13-31,,Offensive rebound by K. Olynyk
1:54.0,,,13-31,,K. Olynyk misses 2-pt shot from 1 ft
1:53.0,,,13-31,,Offensive rebound by J. Jerebko
1:53.0,,,13-31,,J. Jerebko misses 2-pt shot from 1 ft
1:51.0,Defensive rebound by D. Nowitzki,,13-31,,
1:39.0,Shooting foul by J. Jerebko (drawn by D. Powell),,13-31,,
1:39.0,D. Powell misses free throw 1 of 2,,13-31,,
1:39.0,Offensive rebound by Team,,13-31,,
1:39.0,D. Powell makes free throw 2 of 2,1,14-31,,
1:19.0,,,14-31,,A. Bradley misses 2-pt shot at rim (block by D. Powell)
1:18.0,Defensive rebound by J. Barea,,14-31,,
1:12.0,R. Felton misses 3-pt shot from 25 ft,,14-31,,
1:11.0,,,14-31,,Defensive rebound by J. Jerebko
0:52.0,,,14-31,,E. Turner misses 2-pt shot from 11 ft
0:50.0,Defensive rebound by D. Nowitzki,,14-31,,
0:38.0,,,14-31,,Personal foul by K. Olynyk (drawn by D. Nowitzki)
0:38.0,D. Nowitzki makes free throw 1 of 2,1,15-31,,
0:38.0,,,15-31,,M. Smart enters the game for J. Crowder
0:38.0,D. Nowitzki makes free throw 2 of 2,1,16-31,,
0:25.0,,,16-31,,A. Bradley misses 2-pt shot from 20 ft
0:23.0,,,16-31,,Offensive rebound by E. Turner
0:01.0,,,16-31,,K. Olynyk misses 2-pt shot from 13 ft
0:00.0,,,16-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,D. Nowitzki makes 2-pt shot from 12 ft (assist by Z. Pachulia),2,18-31,,
11:31.0,,,18-33,2,D. Lee makes 2-pt shot from 7 ft
11:28.0,Turnover by Z. Pachulia (bad pass; steal by K. Olynyk),,18-33,,
11:25.0,,,18-35,2,K. Olynyk makes 2-pt shot from 1 ft
11:16.0,Shooting foul by K. Olynyk (drawn by R. Felton),,18-35,,
11:16.0,R. Felton makes free throw 1 of 2,1,19-35,,
11:16.0,R. Felton misses free throw 2 of 2,,19-35,,
11:15.0,Offensive rebound by R. Felton,,19-35,,
11:04.0,Shooting foul by K. Olynyk (drawn by D. Nowitzki),,19-35,,
11:04.0,D. Nowitzki makes free throw 1 of 2,1,20-35,,
11:04.0,,,20-35,,A. Johnson enters the game for K. Olynyk
11:04.0,D. Nowitzki makes free throw 2 of 2,1,21-35,,
10:49.0,,,21-35,,A. Bradley misses 3-pt shot from 23 ft
10:48.0,Defensive rebound by Team,,21-35,,
10:40.0,,,21-35,,Personal foul by A. Bradley
10:31.0,D. Nowitzki misses 3-pt shot from 24 ft,,21-35,,
10:29.0,,,21-35,,Defensive rebound by E. Turner
10:17.0,,,21-35,,Shooting foul by D. Nowitzki (drawn by D. Lee)
10:17.0,,,21-36,1,D. Lee makes free throw 1 of 2
10:17.0,,,21-36,,I. Thomas enters the game for A. Bradley
10:17.0,,,21-37,1,D. Lee makes free throw 2 of 2
10:01.0,Turnover by C. Parsons (bad pass; steal by M. Smart),,21-37,,
9:55.0,,,21-37,,I. Thomas misses 3-pt shot from 25 ft
9:54.0,Defensive rebound by Z. Pachulia,,21-37,,
9:43.0,J. Barea makes 2-pt shot at rim (assist by R. Felton),2,23-37,,
9:30.0,,,23-37,,D. Lee misses 2-pt shot from 1 ft (block by C. Parsons)
9:29.0,Defensive rebound by Team,,23-37,,
9:27.0,,,23-37,,Violation by E. Turner (kicked ball)
9:17.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by Z. Pachulia),2,25-37,,
9:00.0,,,25-37,,A. Johnson misses 2-pt shot from 11 ft
8:59.0,Defensive rebound by Team,,25-37,,
8:59.0,,,25-37,,Loose ball foul by D. Lee (drawn by Z. Pachulia)
8:59.0,Official timeout,,25-37,,
8:59.0,D. Williams enters the game for D. Nowitzki,,25-37,,
8:59.0,Violation by Team (delay of game),,25-37,,
8:41.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by J. Barea),2,27-37,,
8:25.0,,,27-39,2,E. Turner makes 2-pt shot at rim (assist by D. Lee)
8:04.0,Z. Pachulia makes 2-pt shot from 1 ft,2,29-39,,
7:43.0,,,29-41,2,E. Turner makes 2-pt shot from 14 ft (assist by A. Johnson)
7:24.0,R. Felton misses 2-pt shot from 20 ft,,29-41,,
7:23.0,Offensive rebound by Z. Pachulia,,29-41,,
7:06.0,Shooting foul by M. Smart (drawn by C. Parsons),,29-41,,
7:06.0,C. Parsons misses free throw 1 of 2,,29-41,,
7:06.0,Offensive rebound by Team,,29-41,,
7:06.0,,,29-41,,J. Jerebko enters the game for A. Johnson
7:06.0,C. Parsons misses free throw 2 of 2,,29-41,,
7:05.0,,,29-41,,Defensive rebound by Team
7:01.0,Personal foul by J. Barea,,29-41,,
6:54.0,,,29-41,,Turnover by D. Lee (lost ball; steal by D. Williams)
6:48.0,D. Williams misses 3-pt shot from 25 ft,,29-41,,
6:47.0,,,29-41,,Defensive rebound by E. Turner
6:39.0,,,29-41,,I. Thomas misses 3-pt shot from 23 ft
6:38.0,,,29-41,,Offensive rebound by M. Smart
6:38.0,,,29-41,,M. Smart misses 2-pt shot from 1 ft
6:37.0,Defensive rebound by J. Barea,,29-41,,
6:30.0,Shooting foul by D. Lee (drawn by J. Barea),,29-41,,
6:30.0,J. Barea misses free throw 1 of 2,,29-41,,
6:30.0,Offensive rebound by Team,,29-41,,
6:30.0,,,29-41,,J. Sullinger enters the game for D. Lee
6:30.0,,,29-41,,J. Crowder enters the game for E. Turner
6:30.0,J. Barea makes free throw 2 of 2,1,30-41,,
6:18.0,,,30-41,,J. Sullinger misses 2-pt shot from 14 ft
6:17.0,,,30-41,,Offensive rebound by M. Smart
6:17.0,,,30-41,,M. Smart misses 2-pt shot at rim
6:15.0,,,30-41,,Offensive rebound by M. Smart
6:15.0,,,30-41,,M. Smart misses 2-pt shot at rim
6:14.0,Defensive rebound by C. Parsons,,30-41,,
6:09.0,Turnover by J. Barea (bad pass; steal by I. Thomas),,30-41,,
6:05.0,,,30-41,,Shooting foul by C. Parsons (drawn by J. Crowder)
6:05.0,,,30-42,1,J. Crowder makes free throw 1 of 2
6:05.0,,,30-43,1,J. Crowder makes free throw 2 of 2
5:43.0,R. Felton makes 2-pt shot from 18 ft,2,32-43,,
5:29.0,,,32-45,2,J. Sullinger makes 2-pt shot from 2 ft (assist by I. Thomas)
5:15.0,J. Barea misses 2-pt shot from 7 ft,,32-45,,
5:14.0,,,32-45,,Defensive rebound by I. Thomas
5:05.0,,,32-45,,Turnover by I. Thomas (turnover)
5:05.0,,,32-45,,Boston full timeout
5:05.0,,,32-45,,A. Bradley enters the game for M. Smart
5:05.0,,,32-45,,E. Turner enters the game for I. Thomas
5:05.0,,,32-45,,A. Johnson enters the game for J. Jerebko
5:05.0,D. Powell enters the game for C. Parsons,,32-45,,
5:05.0,W. Matthews enters the game for Z. Pachulia,,32-45,,
5:05.0,D. Harris enters the game for J. Barea,,32-45,,
5:05.0,D. Nowitzki enters the game for R. Felton,,32-45,,
4:45.0,D. Nowitzki makes 2-pt shot from 8 ft,2,34-45,,
4:32.0,,,34-45,,J. Crowder misses 2-pt shot from 3 ft (block by D. Williams)
4:31.0,Jump ball: J. Crowder vs. D. Williams (A. Bradley gains possession),,,,Jump ball: J. Crowder vs. D. Williams (A. Bradley gains possession)
4:31.0,,,34-45,,Offensive rebound by Team
4:24.0,,,34-45,,J. Sullinger misses 2-pt shot from 1 ft
4:23.0,,,34-45,,Offensive rebound by J. Sullinger
4:23.0,,,34-47,2,J. Sullinger makes 2-pt shot from 1 ft
4:09.0,Turnover by D. Harris (bad pass; steal by A. Bradley),,34-47,,
4:07.0,,,34-47,,Shooting foul by D. Williams (drawn by A. Bradley)
4:07.0,,,34-48,1,A. Bradley makes free throw 1 of 2
4:07.0,,,34-48,,A. Bradley misses free throw 2 of 2
4:04.0,Defensive rebound by D. Nowitzki,,34-48,,
4:03.0,Turnover by D. Nowitzki (lost ball; steal by J. Crowder),,34-48,,
3:51.0,,,34-48,,A. Bradley misses 3-pt shot from 23 ft
3:50.0,Defensive rebound by D. Powell,,34-48,,
3:44.0,D. Harris makes 2-pt shot from 2 ft (assist by W. Matthews),2,36-48,,
3:26.0,,,36-50,2,J. Sullinger makes 2-pt shot from 3 ft
3:13.0,,,36-50,,Personal foul by J. Sullinger (drawn by D. Powell)
3:13.0,D. Powell makes free throw 1 of 2,1,37-50,,
3:13.0,D. Powell misses free throw 2 of 2,,37-50,,
3:12.0,,,37-50,,Defensive rebound by J. Crowder
2:56.0,,,37-50,,J. Sullinger misses 2-pt shot from 5 ft
2:55.0,,,37-50,,Offensive rebound by Team
2:55.0,Dallas full timeout,,37-50,,
2:55.0,Z. Pachulia enters the game for D. Powell,,37-50,,
2:43.0,,,37-50,,J. Crowder misses 3-pt shot from 24 ft
2:42.0,Defensive rebound by D. Harris,,37-50,,
2:20.0,D. Harris makes 3-pt shot from 22 ft (assist by D. Williams),3,40-50,,
2:01.0,,,40-52,2,E. Turner makes 2-pt shot from 16 ft
1:42.0,W. Matthews misses 2-pt shot from 7 ft,,40-52,,
1:41.0,,,40-52,,Defensive rebound by J. Sullinger
1:40.0,,,40-52,,Offensive foul by J. Sullinger
1:40.0,,,40-52,,Turnover by J. Sullinger (offensive foul)
1:40.0,,,40-52,,M. Smart enters the game for A. Bradley
1:29.0,Z. Pachulia makes 2-pt shot from 8 ft,2,42-52,,
1:18.0,,,42-52,,E. Turner misses 2-pt shot from 14 ft
1:17.0,Defensive rebound by Team,,42-52,,
1:05.0,W. Matthews misses 3-pt shot from 24 ft,,42-52,,
1:04.0,,,42-52,,Defensive rebound by J. Sullinger
0:55.0,,,42-52,,M. Smart misses 3-pt shot from 25 ft
0:54.0,Defensive rebound by Z. Pachulia,,42-52,,
0:36.0,D. Williams makes 3-pt shot from 23 ft (assist by D. Harris),3,45-52,,
0:36.0,,,45-52,,Boston full timeout
0:36.0,D. Powell enters the game for D. Nowitzki,,45-52,,
0:36.0,,,45-52,,I. Thomas enters the game for M. Smart
0:25.0,,,45-54,2,J. Sullinger makes 2-pt shot from 9 ft
0:02.0,Turnover by D. Powell (lost ball; steal by A. Johnson),,45-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,D. Nowitzki makes 2-pt shot from 14 ft (assist by W. Matthews),2,47-54,,
11:18.0,,,47-54,,A. Johnson misses 3-pt shot from 23 ft
11:17.0,Defensive rebound by Z. Pachulia,,47-54,,
11:11.0,C. Parsons makes 2-pt shot from 1 ft,2,49-54,,
11:11.0,,,49-54,,Boston full timeout
10:49.0,,,49-54,,M. Smart misses 2-pt shot from 8 ft
10:48.0,Defensive rebound by Z. Pachulia,,49-54,,
10:35.0,Shooting foul by A. Johnson (drawn by Z. Pachulia),,49-54,,
10:35.0,Z. Pachulia makes free throw 1 of 2,1,50-54,,
10:35.0,Z. Pachulia makes free throw 2 of 2,1,51-54,,
10:19.0,,,51-54,,I. Thomas misses 3-pt shot from 25 ft
10:18.0,Defensive rebound by D. Nowitzki,,51-54,,
10:10.0,C. Parsons makes 2-pt shot from 17 ft (assist by D. Williams),2,53-54,,
10:01.0,,,53-54,,Shooting foul by D. Nowitzki (drawn by I. Thomas)
10:01.0,,,53-55,1,I. Thomas makes free throw 1 of 2
10:01.0,,,53-55,,A. Bradley enters the game for M. Smart
10:01.0,,,53-56,1,I. Thomas makes free throw 2 of 2
9:42.0,Shooting foul by I. Thomas (drawn by C. Parsons),,53-56,,
9:42.0,C. Parsons misses free throw 1 of 2,,53-56,,
9:42.0,Offensive rebound by Team,,53-56,,
9:42.0,C. Parsons misses free throw 2 of 2,,53-56,,
9:41.0,,,53-56,,Defensive rebound by J. Sullinger
9:20.0,,,53-56,,A. Bradley misses 2-pt shot from 19 ft
9:19.0,Defensive rebound by C. Parsons,,53-56,,
9:09.0,W. Matthews makes 3-pt shot from 24 ft (assist by D. Nowitzki),3,56-56,,
8:54.0,,,56-56,,J. Crowder misses 2-pt shot from 15 ft
8:52.0,,,56-56,,Offensive rebound by A. Johnson
8:39.0,,,56-56,,J. Sullinger misses 2-pt shot from 23 ft
8:37.0,,,56-56,,Offensive rebound by A. Bradley
8:37.0,,,56-58,2,A. Bradley makes 2-pt shot at rim
8:26.0,,,56-58,,Personal foul by I. Thomas (drawn by C. Parsons)
8:26.0,,,56-58,,E. Turner enters the game for I. Thomas
8:20.0,W. Matthews misses 3-pt shot from 23 ft,,56-58,,
8:19.0,,,56-58,,Defensive rebound by A. Bradley
8:05.0,,,56-60,2,A. Johnson makes 2-pt shot from 1 ft (assist by A. Bradley)
7:52.0,,,56-60,,Personal foul by A. Bradley (drawn by D. Williams)
7:45.0,C. Parsons misses 2-pt shot from 18 ft,,56-60,,
7:44.0,,,56-60,,Defensive rebound by A. Johnson
7:35.0,,,56-60,,Turnover by J. Crowder (traveling)
7:34.0,Turnover by C. Parsons (bad pass; steal by A. Bradley),,56-60,,
7:28.0,,,56-60,,J. Sullinger misses 2-pt shot from 2 ft (block by C. Parsons)
7:28.0,,,56-60,,Offensive rebound by Team
7:26.0,,,56-62,2,J. Crowder makes 2-pt shot from 13 ft (assist by E. Turner)
7:14.0,D. Williams misses 2-pt shot from 2 ft,,56-62,,
7:13.0,Offensive rebound by Z. Pachulia,,56-62,,
7:13.0,Z. Pachulia misses 2-pt shot at rim,,56-62,,
7:12.0,,,56-62,,Defensive rebound by A. Johnson
7:03.0,,,56-62,,Offensive foul by A. Johnson
7:03.0,,,56-62,,Turnover by A. Johnson (offensive foul)
6:47.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by D. Williams),2,58-62,,
6:19.0,,,58-62,,A. Bradley misses 2-pt shot from 20 ft
6:18.0,Defensive rebound by D. Williams,,58-62,,
6:11.0,Shooting foul by J. Sullinger (drawn by W. Matthews),,58-62,,
6:11.0,W. Matthews makes free throw 1 of 2,1,59-62,,
6:11.0,D. Powell enters the game for D. Nowitzki,,59-62,,
6:11.0,,,59-62,,K. Olynyk enters the game for A. Johnson
6:11.0,W. Matthews makes free throw 2 of 2,1,60-62,,
6:05.0,Personal foul by Z. Pachulia (drawn by J. Sullinger),,60-62,,
6:05.0,D. Harris enters the game for W. Matthews,,60-62,,
5:59.0,,,60-62,,J. Sullinger misses 2-pt shot from 5 ft (block by Z. Pachulia)
5:58.0,Defensive rebound by Z. Pachulia,,60-62,,
5:46.0,Turnover by Z. Pachulia (bad pass; steal by A. Bradley),,60-62,,
5:45.0,,,60-62,,Turnover by E. Turner (bad pass; steal by D. Williams)
5:31.0,D. Williams makes 2-pt shot at rim,2,62-62,,
5:17.0,,,62-62,,K. Olynyk misses 2-pt shot from 9 ft
5:16.0,,,62-62,,Offensive rebound by J. Sullinger
5:15.0,,,62-64,2,J. Sullinger makes 2-pt shot at rim
5:04.0,D. Powell misses 2-pt shot from 16 ft,,62-64,,
5:03.0,,,62-64,,Defensive rebound by A. Bradley
4:55.0,,,62-64,,Shooting foul by D. Powell (drawn by J. Sullinger)
4:55.0,,,62-65,1,J. Sullinger makes free throw 1 of 2
4:55.0,R. Felton enters the game for C. Parsons,,62-65,,
4:55.0,,,62-65,,J. Sullinger misses free throw 2 of 2
4:55.0,Defensive rebound by Team,,62-65,,
4:55.0,,,62-65,,Loose ball foul by K. Olynyk (drawn by Z. Pachulia)
4:55.0,Z. Pachulia makes free throw 1 of 2,1,63-65,,
4:55.0,Z. Pachulia makes free throw 2 of 2,1,64-65,,
4:43.0,Personal block foul by R. Felton (drawn by E. Turner),,64-65,,
4:43.0,,,64-65,,D. Lee enters the game for J. Sullinger
4:38.0,,,64-65,,Turnover by E. Turner (traveling)
4:31.0,Offensive foul by Z. Pachulia,,64-65,,
4:31.0,Turnover by Z. Pachulia (offensive foul),,64-65,,
4:18.0,,,64-67,2,D. Lee makes 2-pt shot from 6 ft
4:01.0,Z. Pachulia makes 2-pt shot from 1 ft,2,66-67,,
3:45.0,,,66-67,,J. Crowder misses 2-pt shot from 20 ft
3:44.0,Defensive rebound by Z. Pachulia,,66-67,,
3:34.0,D. Powell misses 2-pt shot from 19 ft,,66-67,,
3:32.0,,,66-67,,Defensive rebound by A. Bradley
3:18.0,,,66-67,,J. Crowder misses 2-pt shot at rim (block by D. Harris)
3:17.0,,,66-67,,Offensive rebound by Team
3:17.0,J. Evans enters the game for Z. Pachulia,,66-67,,
3:17.0,,,66-67,,I. Thomas enters the game for J. Crowder
3:17.0,,,66-67,,M. Smart enters the game for E. Turner
3:17.0,Dallas full timeout,,66-67,,
3:02.0,,,66-67,,K. Olynyk misses 3-pt shot from 26 ft
3:01.0,Defensive rebound by R. Felton,,66-67,,
2:37.0,R. Felton misses 3-pt shot from 24 ft,,66-67,,
2:36.0,,,66-67,,Defensive rebound by D. Lee
2:26.0,,,66-70,3,K. Olynyk makes 3-pt shot from 23 ft (assist by I. Thomas)
2:12.0,Offensive foul by J. Evans,,66-70,,
2:12.0,Turnover by J. Evans (offensive foul),,66-70,,
1:59.0,,,66-70,,Shooting foul by D. Harris (drawn by D. Lee)
1:59.0,,,66-71,1,D. Lee makes free throw 1 of 2
1:59.0,D. Nowitzki enters the game for J. Evans,,66-71,,
1:59.0,J. Barea enters the game for D. Williams,,66-71,,
1:59.0,,,66-72,1,D. Lee makes free throw 2 of 2
1:39.0,Shooting foul by K. Olynyk (drawn by D. Powell),,66-72,,
1:39.0,D. Powell makes free throw 1 of 2,1,67-72,,
1:39.0,D. Powell makes free throw 2 of 2,1,68-72,,
1:28.0,,,68-75,3,A. Bradley makes 3-pt shot from 23 ft (assist by I. Thomas)
1:06.0,R. Felton makes 2-pt shot from 8 ft (assist by D. Harris),2,70-75,,
0:57.0,,,70-75,,A. Bradley misses 2-pt shot from 1 ft
0:56.0,Defensive rebound by D. Powell,,70-75,,
0:51.0,Offensive charge foul by R. Felton,,70-75,,
0:51.0,Turnover by R. Felton (offensive foul),,70-75,,
0:34.0,Personal foul by J. Barea,,70-75,,
0:34.0,,,70-76,1,I. Thomas makes free throw 1 of 2
0:34.0,,,70-76,,J. Crowder enters the game for A. Bradley
0:34.0,,,70-76,,A. Johnson enters the game for K. Olynyk
0:34.0,,,70-76,,I. Thomas misses free throw 2 of 2
0:33.0,Defensive rebound by D. Harris,,70-76,,
0:17.0,D. Nowitzki misses 2-pt shot from 8 ft,,70-76,,
0:16.0,,,70-76,,Defensive rebound by Team
0:16.0,Loose ball foul by D. Powell (drawn by D. Lee),,70-76,,
0:16.0,,,70-77,1,D. Lee makes free throw 1 of 2
0:16.0,W. Matthews enters the game for D. Harris,,70-77,,
0:16.0,,,70-77,,E. Turner enters the game for I. Thomas
0:16.0,,,70-78,1,D. Lee makes free throw 2 of 2
0:02.0,R. Felton misses 2-pt shot from 20 ft,,70-78,,
0:01.0,,,70-78,,Defensive rebound by A. Johnson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,70-78,,D. Lee misses 2-pt shot from 19 ft
11:36.0,,,70-78,,Offensive rebound by A. Bradley
11:22.0,,,70-80,2,D. Lee makes 2-pt shot from 9 ft
11:01.0,W. Matthews misses 3-pt shot from 25 ft,,70-80,,
11:00.0,Offensive rebound by D. Powell,,70-80,,
10:56.0,W. Matthews makes 3-pt shot from 25 ft (assist by D. Powell),3,73-80,,
10:41.0,,,73-83,3,I. Thomas makes 3-pt shot from 24 ft (assist by A. Johnson)
10:29.0,J. Barea makes 2-pt shot from 1 ft (assist by W. Matthews),2,75-83,,
10:11.0,,,75-83,,Turnover by A. Bradley (bad pass; steal by J. Barea)
10:05.0,J. Barea makes 2-pt shot at rim,2,77-83,,
9:59.0,,,77-83,,D. Lee misses 2-pt shot from 1 ft (block by D. Powell)
9:57.0,Defensive rebound by D. Nowitzki,,77-83,,
9:45.0,Turnover by W. Matthews (lost ball; steal by I. Thomas),,77-83,,
9:44.0,Personal foul by W. Matthews (drawn by I. Thomas),,77-83,,
9:33.0,,,77-83,,I. Thomas misses 3-pt shot from 25 ft
9:32.0,Defensive rebound by D. Powell,,77-83,,
9:22.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by R. Felton),3,80-83,,
9:03.0,,,80-85,2,D. Lee makes 2-pt shot from 1 ft (assist by A. Bradley)
8:45.0,R. Felton makes 2-pt shot from 1 ft,2,82-85,,
8:30.0,,,82-87,2,A. Johnson makes 2-pt shot at rim (assist by M. Smart)
8:18.0,Offensive charge foul by J. Barea,,82-87,,
8:18.0,Turnover by J. Barea (offensive foul),,82-87,,
8:18.0,Official timeout,,82-87,,
8:18.0,D. Williams enters the game for D. Nowitzki,,82-87,,
8:18.0,,,82-87,,J. Crowder enters the game for A. Johnson
8:03.0,,,82-87,,A. Bradley misses 3-pt shot from 25 ft
8:02.0,,,82-87,,Offensive rebound by J. Crowder
7:58.0,,,82-89,2,I. Thomas makes 2-pt shot from 16 ft (assist by J. Crowder)
7:38.0,W. Matthews misses 3-pt shot from 24 ft,,82-89,,
7:37.0,Offensive rebound by D. Powell,,82-89,,
7:31.0,W. Matthews makes 3-pt shot from 23 ft (assist by R. Felton),3,85-89,,
7:09.0,Personal foul by J. Barea,,85-89,,
7:09.0,,,85-89,,E. Turner enters the game for A. Bradley
7:09.0,,,85-89,,J. Sullinger enters the game for D. Lee
7:05.0,,,85-89,,Turnover by M. Smart (bad pass; steal by R. Felton)
6:59.0,R. Felton makes 2-pt shot at rim,2,87-89,,
6:40.0,,,87-89,,J. Sullinger misses 2-pt shot at rim
