time,Golden State,pts.away,score,pts.home,Atlanta
0:00.0,Personal foul by S. Curry,,58-39,,
0:00.0,Violation by Team (delay of game),,58-39,,
0:00.0,,,58-39,,J. Teague misses free throw 1 of 2
0:00.0,,,58-39,,Offensive rebound by Team
0:00.0,,,58-39,,J. Teague misses free throw 2 of 2
0:00.0,Defensive rebound by D. Green,,58-39,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Turnover by D. Green (lost ball; steal by A. Horford),,58-39,,
11:29.0,,,58-39,,K. Bazemore misses 2-pt shot from 3 ft (block by A. Bogut)
11:28.0,,,58-39,,Offensive rebound by A. Horford
11:28.0,,,58-41,2,A. Horford makes 2-pt shot from 1 ft
11:13.0,K. Thompson makes 2-pt shot at rim (assist by S. Curry),2,60-41,,
10:47.0,,,60-41,,Turnover by K. Bazemore (lost ball; steal by K. Thompson)
10:38.0,K. Thompson makes 3-pt shot from 24 ft,3,63-41,,
10:20.0,,,63-41,,Shooting foul by K. Thompson (drawn by K. Bazemore)
10:20.0,,,63-42,1,K. Bazemore makes free throw 1 of 2
10:20.0,,,63-43,1,K. Bazemore makes free throw 2 of 2
10:08.0,K. Thompson misses 3-pt shot from 24 ft,,63-43,,
10:06.0,,,63-43,,Defensive rebound by A. Horford
9:54.0,,,63-45,2,J. Teague makes 2-pt shot from 19 ft (assist by A. Horford)
9:27.0,A. Bogut misses 2-pt shot from 4 ft,,63-45,,
9:25.0,,,63-45,,Defensive rebound by A. Horford
9:10.0,,,63-45,,K. Bazemore misses 3-pt shot from 23 ft
9:09.0,Defensive rebound by A. Bogut,,63-45,,
8:57.0,H. Barnes misses 3-pt shot from 24 ft,,63-45,,
8:56.0,Offensive rebound by A. Bogut,,63-45,,
8:52.0,S. Curry misses 3-pt shot from 25 ft,,63-45,,
8:51.0,,,63-45,,Defensive rebound by P. Millsap
8:30.0,,,63-45,,Turnover by K. Korver (lost ball; steal by K. Thompson)
8:18.0,S. Curry makes 2-pt shot from 1 ft,2,65-45,,
8:04.0,,,65-45,,J. Teague misses 3-pt shot from 24 ft
8:03.0,Defensive rebound by D. Green,,65-45,,
7:54.0,Shooting foul by P. Millsap (drawn by D. Green),,65-45,,
7:54.0,D. Green makes free throw 1 of 2,1,66-45,,
7:54.0,D. Green makes free throw 2 of 2,1,67-45,,
7:32.0,,,67-45,,K. Bazemore misses 2-pt shot from 8 ft
7:31.0,,,67-45,,Offensive rebound by A. Horford
7:31.0,,,67-47,2,A. Horford makes 2-pt shot at rim
7:23.0,S. Curry misses 3-pt shot from 24 ft,,67-47,,
7:22.0,,,67-47,,Defensive rebound by K. Bazemore
7:19.0,,,67-47,,Turnover by K. Bazemore (lost ball; steal by K. Thompson)
7:14.0,Shooting foul by K. Korver (drawn by H. Barnes),,67-47,,
7:14.0,H. Barnes misses free throw 1 of 2,,67-47,,
7:14.0,Offensive rebound by Team,,67-47,,
7:14.0,,,67-47,,T. Hardaway enters the game for K. Bazemore
7:14.0,H. Barnes makes free throw 2 of 2,1,68-47,,
7:07.0,,,68-47,,K. Korver misses 3-pt shot from 24 ft
7:06.0,Defensive rebound by S. Curry,,68-47,,
6:56.0,S. Curry makes 2-pt shot at rim (assist by A. Bogut),2,70-47,,
6:40.0,,,70-49,2,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague)
6:35.0,Turnover by D. Green (lost ball; steal by T. Hardaway),,70-49,,
6:31.0,Personal foul by A. Bogut,,70-49,,
6:31.0,,,70-49,,T. Sefolosha enters the game for K. Korver
6:23.0,,,70-51,2,A. Horford makes 2-pt shot from 19 ft (assist by J. Teague)
6:10.0,K. Thompson misses 2-pt shot from 12 ft,,70-51,,
6:08.0,,,70-51,,Defensive rebound by Team
5:59.0,,,70-51,,Shooting foul by A. Bogut (drawn by J. Teague)
5:59.0,,,70-51,,Atlanta full timeout
5:59.0,A. Iguodala enters the game for H. Barnes,,70-51,,
5:59.0,,,70-52,1,J. Teague makes free throw 1 of 2
5:59.0,,,70-53,1,J. Teague makes free throw 2 of 2
5:38.0,K. Thompson misses 3-pt shot from 23 ft,,70-53,,
5:37.0,,,70-53,,Defensive rebound by A. Horford
5:30.0,Personal foul by K. Thompson,,70-53,,
5:22.0,,,70-56,3,P. Millsap makes 3-pt shot from 23 ft (assist by A. Horford)
5:10.0,,,70-56,,Personal foul by T. Hardaway
5:10.0,L. Barbosa enters the game for K. Thompson,,70-56,,
5:03.0,Turnover by S. Curry (bad pass),,70-56,,
4:54.0,,,70-56,,Shooting foul by D. Green (drawn by P. Millsap)
4:54.0,,,70-57,1,P. Millsap makes free throw 1 of 2
4:54.0,,,70-57,,M. Scott enters the game for A. Horford
4:54.0,,,70-57,,P. Millsap misses free throw 2 of 2
4:54.0,Defensive rebound by D. Green,,70-57,,
4:46.0,S. Curry misses 3-pt shot from 24 ft,,70-57,,
4:45.0,,,70-57,,Defensive rebound by T. Hardaway
4:39.0,,,70-60,3,T. Hardaway makes 3-pt shot from 23 ft (assist by J. Teague)
4:19.0,A. Iguodala misses 3-pt shot from 23 ft,,70-60,,
4:18.0,,,70-60,,Defensive rebound by M. Scott
4:11.0,,,70-60,,T. Hardaway misses 3-pt shot from 24 ft
4:09.0,Defensive rebound by A. Bogut,,70-60,,
4:02.0,S. Curry makes 2-pt shot from 10 ft (assist by D. Green),2,72-60,,
3:50.0,,,72-60,,J. Teague misses 2-pt shot from 1 ft
3:50.0,,,72-60,,Offensive rebound by Team
3:50.0,,,72-60,,D. Schroder enters the game for J. Teague
3:50.0,B. Rush enters the game for A. Bogut,,72-60,,
3:50.0,,,72-60,,A. Horford enters the game for P. Millsap
3:40.0,,,72-63,3,T. Sefolosha makes 3-pt shot from 23 ft (assist by M. Scott)
3:23.0,D. Green misses 3-pt shot from 25 ft,,72-63,,
3:22.0,,,72-63,,Defensive rebound by D. Schroder
3:13.0,,,72-65,2,A. Horford makes 2-pt shot at rim (assist by D. Schroder)
3:13.0,Golden State full timeout,,72-65,,
2:55.0,A. Iguodala misses 2-pt shot from 18 ft,,72-65,,
2:53.0,,,72-65,,Defensive rebound by T. Hardaway
2:36.0,,,72-67,2,T. Hardaway makes 2-pt shot from 2 ft (assist by D. Schroder)
2:22.0,A. Iguodala makes 2-pt shot at rim (assist by D. Green),2,74-67,,
2:08.0,,,74-70,3,D. Schroder makes 3-pt shot from 24 ft
1:46.0,S. Curry makes 2-pt shot at rim (assist by D. Green),2,76-70,,
1:39.0,,,76-72,2,D. Schroder makes 2-pt shot from 18 ft
1:20.0,S. Curry misses 2-pt shot from 21 ft (block by A. Horford),,76-72,,
1:18.0,,,76-72,,Defensive rebound by M. Scott
1:07.0,,,76-72,,M. Scott misses 3-pt shot from 23 ft
1:05.0,Defensive rebound by Team,,76-72,,
0:55.0,D. Green misses 2-pt shot from 1 ft,,76-72,,
0:52.0,,,76-72,,Defensive rebound by A. Horford
0:48.0,,,76-75,3,D. Schroder makes 3-pt shot from 23 ft (assist by A. Horford)
0:36.0,A. Iguodala misses 3-pt shot from 23 ft,,76-75,,
0:34.0,,,76-75,,Defensive rebound by T. Sefolosha
0:27.0,,,76-75,,D. Schroder misses 3-pt shot from 26 ft
0:24.0,Defensive rebound by D. Green,,76-75,,
0:07.0,B. Rush misses 3-pt shot from 23 ft,,76-75,,
0:06.0,,,76-75,,Defensive rebound by D. Schroder
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,76-77,2,A. Horford makes 2-pt shot at rim (assist by D. Schroder)
11:32.0,Turnover by M. Speights (lost ball; steal by A. Horford),,76-77,,
11:12.0,,,76-80,3,T. Sefolosha makes 3-pt shot from 22 ft (assist by A. Horford)
10:53.0,K. Thompson makes 3-pt shot from 23 ft (assist by S. Livingston),3,79-80,,
10:42.0,,,79-80,,D. Schroder misses 2-pt shot from 20 ft
10:40.0,Defensive rebound by A. Iguodala,,79-80,,
10:35.0,K. Thompson misses 3-pt shot from 25 ft,,79-80,,
10:32.0,,,79-80,,Defensive rebound by T. Sefolosha
10:20.0,,,79-80,,A. Horford misses 2-pt shot from 1 ft
10:19.0,,,79-80,,Offensive rebound by M. Scott
10:09.0,,,79-82,2,D. Schroder makes 2-pt shot at rim
9:51.0,H. Barnes misses 3-pt shot from 23 ft,,79-82,,
9:50.0,,,79-82,,Defensive rebound by D. Schroder
9:42.0,Personal foul by M. Speights,,79-82,,
9:42.0,,,79-82,,K. Korver enters the game for T. Sefolosha
9:36.0,,,79-82,,A. Horford misses 2-pt shot from 19 ft
9:35.0,Defensive rebound by K. Thompson,,79-82,,
9:26.0,S. Livingston makes 2-pt shot from 15 ft (assist by K. Thompson),2,81-82,,
9:02.0,,,81-82,,M. Scott misses 3-pt shot from 23 ft
9:01.0,Defensive rebound by H. Barnes,,81-82,,
8:45.0,K. Thompson misses 3-pt shot from 22 ft,,81-82,,
8:44.0,,,81-82,,Defensive rebound by M. Scott
8:32.0,,,81-82,,D. Schroder misses 3-pt shot from 23 ft
8:32.0,Defensive rebound by Team,,81-82,,
8:32.0,Official timeout,,81-82,,
8:32.0,,,81-82,,J. Teague enters the game for D. Schroder
8:32.0,,,81-82,,P. Millsap enters the game for T. Hardaway
8:32.0,,,81-82,,T. Sefolosha enters the game for M. Scott
8:32.0,A. Bogut enters the game for M. Speights,,81-82,,
8:18.0,K. Thompson makes 3-pt shot from 24 ft (assist by H. Barnes),3,84-82,,
7:56.0,Personal foul by S. Livingston,,84-82,,
7:56.0,D. Green enters the game for A. Iguodala,,84-82,,
7:43.0,,,84-82,,J. Teague misses 3-pt shot from 27 ft
7:39.0,Defensive rebound by K. Thompson,,84-82,,
7:21.0,K. Thompson makes 2-pt shot from 1 ft (assist by A. Bogut),2,86-82,,
7:21.0,,,86-82,,Atlanta full timeout
6:58.0,,,86-82,,P. Millsap misses 2-pt shot from 2 ft (block by A. Bogut)
6:55.0,Defensive rebound by S. Livingston,,86-82,,
6:48.0,K. Thompson misses 3-pt shot from 23 ft (block by A. Horford),,86-82,,
6:48.0,Offensive rebound by Team,,86-82,,
6:44.0,K. Thompson misses 3-pt shot from 25 ft,,86-82,,
6:43.0,,,86-82,,Defensive rebound by P. Millsap
6:28.0,,,86-84,2,J. Teague makes 2-pt shot from 17 ft
6:09.0,D. Green misses 3-pt shot from 24 ft,,86-84,,
6:07.0,,,86-84,,Defensive rebound by T. Sefolosha
6:00.0,,,86-84,,T. Sefolosha misses 2-pt shot from 1 ft (block by A. Bogut)
5:58.0,Defensive rebound by D. Green,,86-84,,
5:52.0,K. Thompson makes 2-pt shot at rim (assist by D. Green),2,88-84,,
5:41.0,,,88-84,,P. Millsap misses 3-pt shot from 23 ft
5:39.0,Defensive rebound by A. Bogut,,88-84,,
5:28.0,Turnover by K. Thompson (lost ball),,88-84,,
5:28.0,,,88-84,,T. Hardaway enters the game for A. Horford
5:28.0,,,88-84,,M. Scott enters the game for K. Korver
5:28.0,S. Curry enters the game for H. Barnes,,88-84,,
5:05.0,,,88-84,,Turnover by J. Teague (lost ball; steal by D. Green)
4:56.0,,,88-84,,Personal foul by J. Teague
4:43.0,S. Curry makes 3-pt shot from 23 ft (assist by D. Green),3,91-84,,
4:17.0,,,91-84,,J. Teague misses 2-pt shot at rim (block by A. Bogut)
4:15.0,Defensive rebound by S. Curry,,91-84,,
4:12.0,,,91-84,,Personal foul by T. Hardaway
4:12.0,,,91-84,,D. Schroder enters the game for J. Teague
4:12.0,,,91-84,,K. Korver enters the game for T. Sefolosha
4:12.0,,,91-84,,A. Horford enters the game for M. Scott
4:08.0,Turnover by S. Livingston (lost ball; steal by P. Millsap),,91-84,,
4:07.0,Personal foul by S. Livingston,,91-84,,
3:49.0,,,91-84,,A. Horford misses 2-pt shot from 19 ft
3:48.0,Defensive rebound by D. Green,,91-84,,
3:34.0,S. Curry misses 3-pt shot from 25 ft,,91-84,,
3:32.0,,,91-84,,Defensive rebound by A. Horford
3:23.0,,,91-84,,Turnover by D. Schroder (lost ball; steal by A. Bogut)
3:19.0,S. Curry makes 2-pt shot at rim (assist by A. Bogut),2,93-84,,
3:05.0,,,93-84,,Turnover by T. Hardaway (lost ball)
2:49.0,D. Green misses 2-pt shot from 1 ft (block by A. Horford),,93-84,,
2:47.0,Offensive rebound by D. Green,,93-84,,
2:47.0,,,93-84,,Personal foul by D. Schroder
2:47.0,Golden State full timeout,,93-84,,
2:47.0,,,93-84,,T. Sefolosha enters the game for K. Korver
2:36.0,S. Curry makes 2-pt shot from 1 ft,2,95-84,,
2:22.0,,,95-86,2,D. Schroder makes 2-pt shot from 2 ft
2:08.0,,,95-86,,Personal foul by D. Schroder
2:08.0,,,95-86,,K. Korver enters the game for T. Sefolosha
2:06.0,,,95-86,,Personal take foul by A. Horford
2:06.0,A. Bogut makes free throw 1 of 2,1,96-86,,
2:06.0,A. Bogut misses free throw 2 of 2,,96-86,,
2:05.0,,,96-86,,Defensive rebound by A. Horford
1:56.0,Personal foul by A. Bogut,,96-86,,
