time,LA Clippers,pts.away,score,pts.home,Brooklyn
0:38.0,,,55-40,,Offensive rebound by B. Lopez
0:37.0,,,55-42,2,B. Lopez makes 2-pt shot at rim
0:17.0,C. Paul makes 2-pt shot from 8 ft (assist by B. Griffin),2,57-42,,
0:05.0,Personal foul by C. Paul (drawn by J. Jack),,57-42,,
0:05.0,LA Clippers full timeout,,57-42,,
0:05.0,J. Crawford enters the game for D. Jordan,,57-42,,
0:05.0,,,57-42,,M. Brown enters the game for T. Young
0:05.0,,,57-42,,T. Robinson enters the game for B. Lopez
0:05.0,,,57-43,1,J. Jack makes free throw 1 of 2
0:05.0,,,57-44,1,J. Jack makes free throw 2 of 2
0:01.0,C. Paul misses 3-pt shot from 31 ft,,57-44,,
0:00.0,Offensive rebound by Team,,57-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,57-46,2,J. Johnson makes 2-pt shot from 7 ft
11:29.0,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul),2,59-46,,
11:15.0,Def 3 sec tech foul by B. Griffin,,59-46,,
11:15.0,,,59-47,1,J. Jack makes technical free throw
11:04.0,,,59-47,,J. Johnson misses 3-pt shot from 25 ft
11:03.0,Defensive rebound by D. Jordan,,59-47,,
10:53.0,C. Paul misses 2-pt shot from 1 ft,,59-47,,
10:52.0,,,59-47,,Defensive rebound by J. Jack
10:44.0,,,59-47,,J. Johnson misses 3-pt shot from 24 ft
10:43.0,Defensive rebound by C. Paul,,59-47,,
10:30.0,B. Griffin misses 2-pt shot from 17 ft,,59-47,,
10:28.0,,,59-47,,Defensive rebound by T. Young
10:14.0,,,59-47,,Turnover by T. Young (lost ball; steal by B. Griffin)
10:03.0,J. Redick misses 2-pt shot from 21 ft,,59-47,,
10:02.0,,,59-47,,Defensive rebound by J. Jack
9:55.0,,,59-47,,J. Johnson misses 2-pt shot from 2 ft
9:54.0,Defensive rebound by B. Griffin,,59-47,,
9:34.0,C. Paul misses 3-pt shot from 24 ft,,59-47,,
9:33.0,,,59-47,,Defensive rebound by Team
9:22.0,,,59-49,2,J. Jack makes 2-pt shot from 17 ft
9:05.0,Turnover by B. Griffin (lost ball; steal by T. Young),,59-49,,
8:53.0,,,59-51,2,J. Johnson makes 2-pt shot from 10 ft (assist by B. Bogdanovic)
8:53.0,LA Clippers full timeout,,59-51,,
8:41.0,B. Griffin misses 2-pt shot from 5 ft,,59-51,,
8:40.0,Offensive rebound by D. Jordan,,59-51,,
8:39.0,D. Jordan makes 2-pt shot at rim,2,61-51,,
8:23.0,,,61-53,2,T. Young makes 2-pt shot from 8 ft (assist by J. Jack)
8:02.0,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul),2,63-53,,
7:50.0,,,63-53,,Offensive foul by J. Johnson
7:50.0,,,63-53,,Turnover by J. Johnson (offensive foul)
7:38.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,66-53,,
7:22.0,,,66-55,2,T. Young makes 2-pt shot from 3 ft
7:07.0,Shooting foul by B. Bogdanovic (drawn by J. Redick),,66-55,,
7:07.0,J. Redick makes free throw 1 of 2,1,67-55,,
7:07.0,,,67-55,,M. Brown enters the game for B. Bogdanovic
7:07.0,J. Redick misses free throw 2 of 2,,67-55,,
7:06.0,,,67-55,,Defensive rebound by T. Young
7:00.0,Personal foul by L. Mbah a Moute (drawn by B. Lopez),,67-55,,
6:46.0,,,67-57,2,B. Lopez makes 2-pt shot from 8 ft
6:26.0,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul),2,69-57,,
6:05.0,,,69-57,,M. Brown misses 2-pt shot from 5 ft
6:04.0,Defensive rebound by B. Griffin,,69-57,,
5:49.0,B. Griffin misses 2-pt shot from 14 ft,,69-57,,
5:48.0,Offensive rebound by L. Mbah a Moute,,69-57,,
5:36.0,C. Paul misses 3-pt shot from 24 ft,,69-57,,
5:35.0,,,69-57,,Defensive rebound by M. Brown
5:20.0,,,69-57,,T. Young misses 2-pt shot at rim
5:19.0,Defensive rebound by D. Jordan,,69-57,,
5:08.0,,,69-57,,Def 3 sec tech foul by B. Lopez
5:08.0,,,69-57,,Violation by B. Lopez (lane)
5:08.0,W. Johnson enters the game for L. Mbah a Moute,,69-57,,
5:08.0,C. Paul makes technical free throw,1,70-57,,
5:04.0,Shooting foul by M. Brown (drawn by J. Redick),,70-57,,
5:04.0,J. Redick makes free throw 1 of 3,1,71-57,,
5:04.0,J. Redick makes free throw 2 of 3,1,72-57,,
5:04.0,J. Redick makes free throw 3 of 3,1,73-57,,
4:51.0,,,73-59,2,B. Lopez makes 2-pt shot at rim (assist by J. Jack)
4:32.0,W. Johnson misses 2-pt shot from 21 ft,,73-59,,
4:31.0,,,73-59,,Defensive rebound by J. Jack
4:19.0,,,73-59,,Shooting foul by J. Redick (drawn by J. Jack)
4:19.0,,,73-59,,J. Jack misses free throw 1 of 2
4:19.0,,,73-59,,Offensive rebound by Team
4:19.0,J. Crawford enters the game for J. Redick,,73-59,,
4:19.0,,,73-60,1,J. Jack makes free throw 2 of 2
4:00.0,B. Griffin misses 2-pt shot from 18 ft,,73-60,,
3:59.0,,,73-60,,Defensive rebound by M. Brown
3:52.0,,,73-60,,Shooting foul by J. Crawford (drawn by M. Brown)
3:52.0,,,73-61,1,M. Brown makes free throw 1 of 2
3:52.0,,,73-61,,M. Brown misses free throw 2 of 2
3:51.0,Defensive rebound by B. Griffin,,73-61,,
3:36.0,J. Crawford misses 3-pt shot from 23 ft,,73-61,,
3:35.0,,,73-61,,Defensive rebound by M. Brown
3:30.0,,,73-63,2,T. Young makes 2-pt shot from 2 ft
3:12.0,J. Smith enters the game for B. Griffin,,73-63,,
3:12.0,,,73-63,,W. Reed enters the game for B. Lopez
3:02.0,C. Paul misses 3-pt shot from 25 ft,,73-63,,
3:01.0,Offensive rebound by Team,,73-63,,
3:01.0,,,73-63,,Loose ball foul by W. Reed (drawn by D. Jordan)
2:49.0,J. Smith misses 2-pt shot from 12 ft,,73-63,,
2:48.0,,,73-63,,Defensive rebound by J. Johnson
2:38.0,,,73-63,,Turnover by J. Johnson (lost ball; steal by D. Jordan)
2:32.0,W. Johnson makes 2-pt shot from 1 ft (assist by C. Paul),2,75-63,,
2:30.0,,,75-63,,Brooklyn full timeout
2:30.0,A. Rivers enters the game for C. Paul,,75-63,,
2:30.0,P. Pierce enters the game for D. Jordan,,75-63,,
2:30.0,,,75-63,,D. Sloan enters the game for J. Jack
2:30.0,,,75-63,,W. Ellington enters the game for J. Johnson
2:06.0,,,75-63,,Turnover by Team (shot clock)
1:48.0,W. Johnson misses 3-pt shot from 22 ft,,75-63,,
1:47.0,,,75-63,,Defensive rebound by M. Brown
1:40.0,,,75-63,,T. Young misses 2-pt shot from 19 ft
1:39.0,Defensive rebound by J. Crawford,,75-63,,
1:31.0,J. Smith misses 2-pt shot from 1 ft,,75-63,,
1:29.0,,,75-63,,Defensive rebound by W. Reed
1:23.0,,,75-63,,W. Ellington misses 3-pt shot from 24 ft
1:22.0,Defensive rebound by J. Smith,,75-63,,
1:13.0,A. Rivers makes 2-pt shot from 9 ft,2,77-63,,
0:53.0,,,77-63,,Turnover by D. Sloan (bad pass; steal by J. Crawford)
0:40.0,J. Smith misses 3-pt shot from 24 ft,,77-63,,
0:39.0,,,77-63,,Defensive rebound by W. Reed
0:27.0,,,77-63,,B. Bogdanovic enters the game for T. Young
0:17.0,,,77-63,,B. Bogdanovic misses 3-pt shot from 24 ft
0:16.0,Defensive rebound by J. Smith,,77-63,,
0:03.0,,,77-63,,Personal foul by M. Brown (drawn by J. Crawford)
0:03.0,L. Stephenson enters the game for W. Johnson,,77-63,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,L. Stephenson misses 3-pt shot from 24 ft,,77-63,,
11:50.0,,,77-63,,Defensive rebound by M. Brown
11:34.0,,,77-63,,Shooting foul by A. Rivers (drawn by B. Lopez)
11:34.0,,,77-64,1,B. Lopez makes free throw 1 of 2
11:34.0,,,77-65,1,B. Lopez makes free throw 2 of 2
11:22.0,J. Smith makes 2-pt shot from 2 ft (assist by L. Stephenson),2,79-65,,
11:07.0,,,79-65,,M. Brown misses 3-pt shot from 24 ft
11:06.0,Defensive rebound by L. Stephenson,,79-65,,
10:58.0,,,79-65,,Personal foul by J. Jack (drawn by J. Smith)
10:51.0,A. Rivers misses 2-pt shot from 2 ft,,79-65,,
10:49.0,,,79-65,,Defensive rebound by B. Bogdanovic
10:42.0,,,79-65,,Turnover by J. Jack (bad pass; steal by J. Crawford)
10:34.0,P. Pierce makes 2-pt shot at rim (assist by J. Crawford),2,81-65,,
10:23.0,,,81-65,,Turnover by B. Lopez (traveling)
10:07.0,J. Smith makes 2-pt shot from 21 ft (assist by L. Stephenson),2,83-65,,
9:51.0,,,83-67,2,J. Jack makes 2-pt shot from 20 ft
9:26.0,P. Pierce misses 2-pt shot from 12 ft,,83-67,,
9:25.0,,,83-67,,Defensive rebound by J. Jack
9:17.0,,,83-67,,M. Brown misses 2-pt shot from 1 ft
9:16.0,Defensive rebound by A. Rivers,,83-67,,
9:00.0,L. Stephenson misses 2-pt shot from 16 ft,,83-67,,
8:59.0,,,83-67,,Defensive rebound by B. Bogdanovic
8:54.0,,,83-67,,Offensive foul by B. Lopez
8:54.0,,,83-67,,Turnover by B. Lopez (offensive foul)
8:54.0,Official timeout,,83-67,,
8:54.0,,,83-67,,J. Johnson enters the game for W. Ellington
8:54.0,,,83-67,,T. Young enters the game for M. Brown
8:36.0,J. Smith misses 2-pt shot from 7 ft (block by B. Bogdanovic),,83-67,,
8:34.0,Offensive rebound by J. Smith,,83-67,,
8:31.0,J. Smith makes 2-pt shot from 3 ft,2,85-67,,
8:17.0,,,85-67,,Turnover by B. Bogdanovic (bad pass; steal by A. Rivers)
8:16.0,,,85-67,,Personal foul by B. Bogdanovic (drawn by J. Crawford)
8:14.0,,,85-67,,A. Bargnani enters the game for B. Lopez
8:05.0,Turnover by P. Pierce (offensive foul),,85-67,,
8:05.0,Offensive foul by P. Pierce,,85-67,,
7:59.0,Personal foul by A. Rivers (drawn by J. Jack),,85-67,,
7:57.0,,,85-67,,Shooting foul by A. Rivers (drawn by J. Jack)
7:57.0,,,85-67,,J. Jack misses free throw 1 of 3
7:57.0,,,85-67,,Offensive rebound by Team
7:57.0,,,85-68,1,J. Jack makes free throw 2 of 3
7:57.0,,,85-69,1,J. Jack makes free throw 3 of 3
7:48.0,Turnover by J. Crawford (traveling),,85-69,,
7:35.0,,,85-71,2,T. Young makes 2-pt shot from 8 ft (assist by J. Jack)
7:31.0,Offensive charge foul by L. Stephenson,,85-71,,
7:31.0,Turnover by L. Stephenson (offensive foul),,85-71,,
7:31.0,B. Griffin enters the game for P. Pierce,,85-71,,
7:31.0,D. Jordan enters the game for J. Smith,,85-71,,
7:21.0,,,85-73,2,A. Bargnani makes 2-pt shot from 18 ft (assist by J. Jack)
6:58.0,J. Crawford misses 2-pt shot from 10 ft,,85-73,,
6:57.0,Offensive rebound by J. Crawford,,85-73,,
6:56.0,J. Crawford makes 2-pt shot from 2 ft,2,87-73,,
6:42.0,,,87-75,2,A. Bargnani makes 2-pt shot from 21 ft (assist by J. Jack)
6:24.0,A. Rivers makes 2-pt shot at rim (assist by B. Griffin),2,89-75,,
6:09.0,,,89-78,3,J. Jack makes 3-pt shot from 25 ft
5:55.0,B. Griffin misses 2-pt shot from 17 ft,,89-78,,
5:54.0,Offensive rebound by Team,,89-78,,
5:54.0,,,89-78,,Loose ball foul by A. Bargnani (drawn by D. Jordan)
5:54.0,,,89-78,,Brooklyn full timeout
5:54.0,W. Johnson enters the game for L. Stephenson,,89-78,,
5:54.0,C. Paul enters the game for A. Rivers,,89-78,,
5:37.0,J. Crawford makes 2-pt shot from 1 ft,2,91-78,,
5:22.0,,,91-78,,Shooting foul by D. Jordan (drawn by A. Bargnani)
5:22.0,,,91-79,1,A. Bargnani makes free throw 1 of 2
5:22.0,,,91-80,1,A. Bargnani makes free throw 2 of 2
5:20.0,,,91-80,,Personal foul by J. Jack (drawn by D. Jordan)
5:17.0,,,91-80,,Personal foul by T. Young (drawn by B. Griffin)
5:17.0,B. Griffin misses free throw 1 of 2,,91-80,,
5:17.0,Offensive rebound by Team,,91-80,,
5:17.0,B. Griffin makes free throw 2 of 2,1,92-80,,
5:05.0,,,92-83,3,J. Johnson makes 3-pt shot from 25 ft (assist by J. Jack)
5:00.0,,,92-83,,Personal foul by A. Bargnani (drawn by D. Jordan)
5:00.0,D. Jordan makes free throw 1 of 2,1,93-83,,
5:00.0,J. Redick enters the game for W. Johnson,,93-83,,
5:00.0,D. Jordan misses free throw 2 of 2,,93-83,,
4:59.0,,,93-83,,Defensive rebound by T. Young
4:50.0,,,93-86,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by J. Johnson)
4:42.0,,,93-86,,Personal foul by A. Bargnani (drawn by J. Redick)
4:42.0,D. Jordan misses free throw 1 of 2,,93-86,,
4:42.0,Offensive rebound by Team,,93-86,,
4:42.0,D. Jordan misses free throw 2 of 2,,93-86,,
4:41.0,,,93-86,,Defensive rebound by T. Young
4:25.0,,,93-88,2,A. Bargnani makes 2-pt shot from 9 ft (assist by J. Jack)
4:25.0,,,93-88,,Shooting foul by C. Paul (drawn by A. Bargnani)
4:25.0,L. Mbah a Moute enters the game for D. Jordan,,93-88,,
