time,LA Clippers,pts.away,score,pts.home,Cleveland
8:30.0,,,8-11,,Shooting foul by P. Pierce (drawn by L. James)
8:30.0,,,8-12,1,L. James makes free throw 1 of 2
8:30.0,,,8-12,,L. James misses free throw 2 of 2
8:30.0,Defensive rebound by D. Jordan,,8-12,,
8:16.0,J. Redick misses 3-pt shot from 26 ft,,8-12,,
8:15.0,,,8-12,,Defensive rebound by K. Love
8:02.0,,,8-14,2,T. Mozgov makes 2-pt shot at rim (assist by K. Irving)
7:53.0,C. Paul misses 2-pt shot from 19 ft,,8-14,,
7:53.0,,,8-14,,Defensive rebound by K. Love
7:41.0,,,8-14,,Turnover by K. Love (bad pass; steal by P. Pierce)
7:35.0,J. Redick makes 2-pt shot from 1 ft (assist by P. Pierce),2,10-14,,
7:13.0,Personal foul by L. Mbah a Moute (drawn by K. Love),,10-14,,
7:02.0,,,10-14,,K. Irving misses 2-pt shot from 19 ft
7:00.0,Defensive rebound by D. Jordan,,10-14,,
6:54.0,,,10-14,,Personal foul by K. Irving (drawn by C. Paul)
6:54.0,,,10-14,,M. Dellavedova enters the game for K. Irving
6:44.0,,,10-14,,Personal foul by M. Dellavedova (drawn by C. Paul)
6:44.0,C. Paul makes free throw 1 of 2,1,11-14,,
6:44.0,C. Paul makes free throw 2 of 2,1,12-14,,
6:25.0,,,12-14,,L. James misses 2-pt shot from 13 ft
6:24.0,Defensive rebound by C. Paul,,12-14,,
6:17.0,C. Paul makes 3-pt shot from 25 ft,3,15-14,,
6:16.0,,,15-14,,Cleveland full timeout
5:54.0,,,15-16,2,K. Love makes 2-pt shot from 5 ft (assist by J. Smith)
5:32.0,P. Pierce misses 3-pt shot from 25 ft,,15-16,,
5:32.0,,,15-16,,Defensive rebound by T. Mozgov
5:22.0,,,15-18,2,L. James makes 2-pt shot at rim (assist by M. Dellavedova)
5:03.0,C. Paul makes 2-pt shot from 16 ft,2,17-18,,
4:45.0,,,17-18,,M. Dellavedova misses 3-pt shot from 25 ft
4:45.0,Defensive rebound by D. Jordan,,17-18,,
4:30.0,C. Paul misses 3-pt shot from 23 ft,,17-18,,
4:29.0,Offensive rebound by L. Mbah a Moute,,17-18,,
4:17.0,D. Jordan misses 2-pt shot from 5 ft,,17-18,,
4:15.0,,,17-18,,Defensive rebound by K. Love
3:55.0,Personal foul by C. Paul (drawn by L. James),,17-18,,
3:55.0,,,17-18,,I. Shumpert enters the game for J. Smith
3:55.0,,,17-18,,T. Thompson enters the game for T. Mozgov
3:55.0,W. Johnson enters the game for P. Pierce,,17-18,,
3:43.0,,,17-21,3,K. Love makes 3-pt shot from 23 ft (assist by M. Dellavedova)
3:28.0,J. Redick misses 2-pt shot from 21 ft,,17-21,,
3:28.0,,,17-21,,Defensive rebound by K. Love
3:25.0,,,17-21,,Turnover by K. Love (bad pass; steal by C. Paul)
3:19.0,C. Paul makes 2-pt shot from 6 ft,2,19-21,,
3:19.0,Shooting foul by T. Thompson (drawn by C. Paul),,19-21,,
3:19.0,C. Paul makes free throw 1 of 1,1,20-21,,
2:58.0,,,20-21,,Turnover by T. Thompson (lost ball; steal by C. Paul)
2:48.0,C. Paul makes 2-pt shot from 11 ft,2,22-21,,
2:37.0,,,22-23,2,M. Dellavedova makes 2-pt shot from 4 ft
2:28.0,LA Clippers full timeout,,22-23,,
2:28.0,J. Crawford enters the game for J. Redick,,22-23,,
2:28.0,,,22-23,,J. Jones enters the game for K. Love
2:17.0,J. Crawford misses 3-pt shot from 25 ft,,22-23,,
2:16.0,,,22-23,,Defensive rebound by T. Thompson
1:50.0,,,22-23,,T. Thompson misses 2-pt shot at rim
1:49.0,,,22-23,,Offensive rebound by T. Thompson
1:49.0,,,22-23,,T. Thompson misses 2-pt shot at rim
1:49.0,Defensive rebound by L. Mbah a Moute,,22-23,,
1:32.0,W. Johnson makes 2-pt shot from 19 ft (assist by D. Jordan),2,24-23,,
1:10.0,,,24-23,,L. James misses 2-pt shot from 7 ft
1:10.0,Defensive rebound by L. Mbah a Moute,,24-23,,
0:59.0,L. Mbah a Moute makes 2-pt shot at rim (assist by C. Paul),2,26-23,,
0:50.0,,,26-25,2,M. Dellavedova makes 2-pt shot from 7 ft
0:37.0,J. Crawford makes 2-pt shot at rim,2,28-25,,
0:18.0,,,28-28,3,I. Shumpert makes 3-pt shot from 26 ft (assist by L. James)
0:00.0,J. Crawford makes 3-pt shot from 25 ft (assist by C. Paul),3,31-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,31-28,,K. Irving misses 2-pt shot from 12 ft
11:43.0,Defensive rebound by W. Johnson,,31-28,,
11:30.0,,,31-28,,Personal foul by I. Shumpert (drawn by J. Crawford)
11:17.0,J. Crawford makes 3-pt shot from 24 ft,3,34-28,,
10:54.0,,,34-28,,K. Irving misses 2-pt shot from 1 ft
10:53.0,,,34-28,,Offensive rebound by T. Thompson
10:53.0,,,34-28,,T. Thompson misses 2-pt shot at rim
10:51.0,,,34-28,,Offensive rebound by I. Shumpert
10:43.0,,,34-31,3,K. Irving makes 3-pt shot from 24 ft (assist by J. Jones)
10:20.0,P. Prigioni misses 3-pt shot from 26 ft,,34-31,,
10:20.0,,,34-31,,Defensive rebound by I. Shumpert
10:00.0,,,34-31,,Turnover by M. Dellavedova (lost ball; steal by P. Prigioni)
9:57.0,,,34-31,,J. Smith enters the game for M. Dellavedova
9:47.0,P. Prigioni misses 3-pt shot from 24 ft,,34-31,,
9:46.0,,,34-31,,Defensive rebound by T. Thompson
9:34.0,Personal foul by C. Aldrich (drawn by T. Thompson),,34-31,,
9:31.0,,,34-31,,Turnover by K. Irving (bad pass; steal by W. Johnson)
9:24.0,Turnover by J. Crawford (lost ball; steal by K. Irving),,34-31,,
9:21.0,,,34-33,2,I. Shumpert makes 2-pt shot at rim (assist by K. Irving)
9:06.0,C. Aldrich misses 2-pt shot from 3 ft,,34-33,,
9:04.0,Offensive rebound by C. Aldrich,,34-33,,
9:03.0,C. Aldrich misses 2-pt shot from 5 ft,,34-33,,
9:02.0,,,34-33,,Defensive rebound by T. Thompson
8:53.0,,,34-35,2,K. Irving makes 2-pt shot at rim
8:28.0,C. Aldrich misses 2-pt shot from 2 ft,,34-35,,
8:28.0,,,34-35,,Defensive rebound by T. Thompson
8:23.0,,,34-35,,Shooting foul by C. Aldrich (drawn by T. Thompson)
8:23.0,,,34-35,,Cleveland full timeout
8:23.0,,,34-36,1,T. Thompson makes free throw 1 of 2
8:23.0,,,34-37,1,T. Thompson makes free throw 2 of 2
8:03.0,C. Aldrich makes 2-pt shot from 9 ft (assist by A. Rivers),2,36-37,,
7:52.0,Personal foul by A. Rivers (drawn by K. Irving),,36-37,,
7:52.0,,,36-37,,Turnover by J. Jones (bad pass)
7:41.0,C. Aldrich makes 2-pt shot from 4 ft (assist by A. Rivers),2,38-37,,
7:30.0,,,38-37,,K. Irving misses 2-pt shot from 1 ft
7:30.0,,,38-37,,Offensive rebound by T. Thompson
7:30.0,,,38-37,,Shooting foul by W. Johnson (drawn by T. Thompson)
7:30.0,,,38-38,1,T. Thompson makes free throw 1 of 2
7:30.0,,,38-38,,K. Love enters the game for J. Jones
7:30.0,,,38-39,1,T. Thompson makes free throw 2 of 2
7:16.0,W. Johnson makes 2-pt shot from 18 ft (assist by A. Rivers),2,40-39,,
6:54.0,,,40-39,,K. Love misses 2-pt shot from 7 ft
6:52.0,,,40-39,,Offensive rebound by T. Thompson
6:44.0,,,40-41,2,J. Smith makes 2-pt shot from 5 ft (assist by K. Irving)
6:29.0,A. Rivers misses 3-pt shot from 26 ft,,40-41,,
6:29.0,,,40-41,,Defensive rebound by K. Love
6:24.0,Personal block foul by A. Rivers (drawn by K. Irving),,40-41,,
6:24.0,,,40-42,1,K. Irving makes free throw 1 of 2
6:24.0,,,40-42,,L. James enters the game for I. Shumpert
6:24.0,C. Paul enters the game for P. Prigioni,,40-42,,
6:24.0,,,40-43,1,K. Irving makes free throw 2 of 2
6:10.0,,,40-43,,Personal foul by L. James (drawn by J. Crawford)
6:10.0,D. Jordan enters the game for C. Aldrich,,40-43,,
6:10.0,L. Mbah a Moute enters the game for W. Johnson,,40-43,,
6:07.0,J. Crawford misses 2-pt shot from 21 ft,,40-43,,
6:07.0,,,40-43,,Defensive rebound by K. Love
5:43.0,,,40-43,,Turnover by Team (shot clock)
5:43.0,,,40-43,,Cleveland full timeout
5:43.0,J. Redick enters the game for J. Crawford,,40-43,,
5:43.0,P. Pierce enters the game for A. Rivers,,40-43,,
5:31.0,Shooting foul by K. Irving (drawn by C. Paul),,40-43,,
5:31.0,C. Paul makes free throw 1 of 2,1,41-43,,
5:31.0,,,41-43,,M. Dellavedova enters the game for K. Irving
5:31.0,C. Paul makes free throw 2 of 2,1,42-43,,
5:12.0,,,42-43,,Shooting foul by P. Pierce (drawn by K. Love)
5:12.0,,,42-44,1,K. Love makes free throw 1 of 2
5:12.0,,,42-45,1,K. Love makes free throw 2 of 2
5:05.0,J. Redick misses 3-pt shot from 25 ft,,42-45,,
5:04.0,,,42-45,,Defensive rebound by K. Love
4:57.0,,,42-45,,J. Smith misses 3-pt shot from 24 ft
4:56.0,Defensive rebound by D. Jordan,,42-45,,
4:45.0,C. Paul makes 2-pt shot from 1 ft,2,44-45,,
4:22.0,,,44-45,,K. Love misses 2-pt shot from 6 ft
4:20.0,Defensive rebound by D. Jordan,,44-45,,
4:14.0,P. Pierce misses 3-pt shot from 24 ft,,44-45,,
4:14.0,Offensive rebound by Team,,44-45,,
4:14.0,,,44-45,,Loose ball foul by L. James (drawn by L. Mbah a Moute)
4:03.0,C. Paul misses 3-pt shot from 28 ft,,44-45,,
4:03.0,,,44-45,,Defensive rebound by M. Dellavedova
3:56.0,,,44-45,,L. James misses 3-pt shot from 25 ft
3:54.0,,,44-45,,Offensive rebound by K. Love
3:54.0,,,44-45,,K. Love misses 2-pt shot at rim
3:52.0,Defensive rebound by D. Jordan,,44-45,,
3:45.0,C. Paul misses 2-pt shot from 3 ft,,44-45,,
3:44.0,,,44-45,,Defensive rebound by Team
3:44.0,Loose ball foul by C. Paul (drawn by K. Love),,44-45,,
3:44.0,,,44-46,1,K. Love makes free throw 1 of 2
3:44.0,,,44-46,,T. Mozgov enters the game for T. Thompson
3:44.0,,,44-47,1,K. Love makes free throw 2 of 2
3:34.0,Turnover by C. Paul (bad pass),,44-47,,
3:22.0,,,44-49,2,L. James makes 2-pt shot from 1 ft (assist by M. Dellavedova)
3:00.0,C. Paul misses 2-pt shot from 17 ft,,44-49,,
2:59.0,,,44-49,,Defensive rebound by K. Love
2:55.0,,,44-51,2,L. James makes 2-pt shot from 1 ft (assist by K. Love)
2:49.0,Shooting foul by J. Smith (drawn by J. Redick),,44-51,,
2:49.0,LA Clippers full timeout,,44-51,,
2:49.0,J. Redick makes free throw 1 of 2,1,45-51,,
2:49.0,J. Redick makes free throw 2 of 2,1,46-51,,
2:33.0,,,46-53,2,J. Smith makes 2-pt shot from 20 ft (assist by L. James)
2:17.0,C. Paul misses 2-pt shot from 15 ft,,46-53,,
2:16.0,,,46-53,,Defensive rebound by T. Mozgov
2:08.0,,,46-53,,L. James misses 2-pt shot from 21 ft
2:08.0,,,46-53,,Offensive rebound by T. Mozgov
1:52.0,,,46-55,2,T. Mozgov makes 2-pt shot from 4 ft (assist by L. James)
1:35.0,Turnover by P. Pierce (bad pass; steal by M. Dellavedova),,46-55,,
1:31.0,,,46-55,,I. Shumpert enters the game for J. Smith
1:28.0,,,46-57,2,M. Dellavedova makes 2-pt shot at rim (assist by L. James)
1:13.0,Turnover by C. Paul (bad pass),,46-57,,
0:49.0,,,46-57,,I. Shumpert misses 3-pt shot from 23 ft
0:48.0,Defensive rebound by D. Jordan,,46-57,,
0:42.0,J. Redick makes 3-pt shot from 27 ft (assist by C. Paul),3,49-57,,
0:33.0,,,49-57,,Shooting foul by P. Pierce (drawn by K. Love)
0:33.0,,,49-58,1,K. Love makes free throw 1 of 2
0:33.0,,,49-58,,J. Cunningham enters the game for L. James
0:33.0,J. Crawford enters the game for P. Pierce,,49-58,,
0:33.0,,,49-59,1,K. Love makes free throw 2 of 2
0:27.0,,,49-59,,Personal foul by I. Shumpert (drawn by J. Redick)
0:27.0,J. Redick makes free throw 1 of 2,1,50-59,,
0:27.0,W. Johnson enters the game for J. Crawford,,50-59,,
0:27.0,,,50-59,,L. James enters the game for J. Cunningham
0:27.0,A. Rivers enters the game for C. Paul,,50-59,,
0:27.0,J. Redick misses free throw 2 of 2,,50-59,,
0:25.0,,,50-59,,Defensive rebound by K. Love
0:04.0,,,50-59,,I. Shumpert misses 2-pt shot from 13 ft
0:02.0,Defensive rebound by W. Johnson,,50-59,,
0:00.0,J. Redick misses 3-pt shot from 27 ft,,50-59,,
0:00.0,Offensive rebound by Team,,50-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,50-59,,K. Love misses 3-pt shot from 24 ft
11:47.0,Defensive rebound by D. Jordan,,50-59,,
11:33.0,C. Paul makes 2-pt shot from 16 ft,2,52-59,,
11:21.0,,,52-62,3,K. Irving makes 3-pt shot from 25 ft
11:04.0,P. Pierce misses 3-pt shot from 24 ft,,52-62,,
11:04.0,,,52-62,,Defensive rebound by Team
10:46.0,,,52-62,,Shooting foul by D. Jordan (drawn by T. Mozgov)
10:46.0,,,52-62,,T. Mozgov misses free throw 1 of 2
10:46.0,,,52-62,,Offensive rebound by Team
10:46.0,,,52-63,1,T. Mozgov makes free throw 2 of 2
10:28.0,P. Pierce misses 2-pt shot from 5 ft,,52-63,,
10:27.0,Offensive rebound by D. Jordan,,52-63,,
10:27.0,D. Jordan misses 2-pt shot from 1 ft,,52-63,,
10:26.0,,,52-63,,Defensive rebound by L. James
10:19.0,,,52-63,,J. Smith misses 2-pt shot from 5 ft
10:18.0,Defensive rebound by L. Mbah a Moute,,52-63,,
10:11.0,J. Redick makes 3-pt shot from 25 ft,3,55-63,,
9:55.0,,,55-63,,L. James misses 3-pt shot from 25 ft
9:53.0,,,55-63,,Offensive rebound by K. Love
9:47.0,,,55-65,2,T. Mozgov makes 2-pt shot from 9 ft (assist by K. Irving)
9:26.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,55-65,,
9:26.0,,,55-65,,Defensive rebound by K. Love
9:12.0,,,55-65,,Turnover by K. Love (bad pass; steal by C. Paul)
8:52.0,Turnover by L. Mbah a Moute (bad pass),,55-65,,
8:43.0,,,55-67,2,K. Irving makes 2-pt shot from 6 ft (assist by L. James)
8:42.0,LA Clippers full timeout,,55-67,,
8:42.0,J. Crawford enters the game for L. Mbah a Moute,,55-67,,
8:27.0,P. Pierce misses 2-pt shot from 4 ft (block by T. Mozgov),,55-67,,
8:26.0,,,55-67,,Defensive rebound by K. Love
8:21.0,W. Johnson enters the game for P. Pierce,,55-67,,
8:07.0,,,55-67,,K. Irving misses 2-pt shot from 20 ft
8:04.0,Defensive rebound by Team,,55-67,,
7:59.0,C. Paul makes 2-pt shot from 14 ft,2,57-67,,
7:41.0,,,57-67,,J. Smith misses 2-pt shot from 15 ft
7:40.0,,,57-67,,Offensive rebound by T. Mozgov
7:36.0,,,57-67,,L. James misses 3-pt shot from 24 ft
7:36.0,Defensive rebound by D. Jordan,,57-67,,
7:25.0,W. Johnson misses 2-pt shot from 21 ft,,57-67,,
7:23.0,Offensive rebound by C. Paul,,57-67,,
7:15.0,C. Paul makes 2-pt shot from 13 ft,2,59-67,,
6:59.0,,,59-69,2,T. Mozgov makes 2-pt shot from 15 ft (assist by L. James)
6:40.0,Shooting foul by K. Love (drawn by D. Jordan),,59-69,,
6:40.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,61-69,,
6:40.0,,,61-69,,M. Dellavedova enters the game for K. Irving
6:40.0,D. Jordan makes free throw 1 of 1,1,62-69,,
6:27.0,,,62-71,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
6:13.0,,,62-71,,Personal foul by K. Love (drawn by D. Jordan)
6:00.0,J. Redick makes 2-pt shot from 20 ft (assist by C. Paul),2,64-71,,
5:37.0,,,64-74,3,J. Smith makes 3-pt shot from 22 ft (assist by M. Dellavedova)
5:18.0,J. Redick misses 3-pt shot from 23 ft,,64-74,,
5:17.0,Offensive rebound by D. Jordan,,64-74,,
5:16.0,Shooting foul by J. Smith (drawn by D. Jordan),,64-74,,
5:16.0,D. Jordan misses free throw 1 of 2,,64-74,,
5:16.0,Offensive rebound by Team,,64-74,,
5:16.0,,,64-74,,J. Jones enters the game for K. Love
5:16.0,D. Jordan makes free throw 2 of 2,1,65-74,,
5:01.0,,,65-76,2,L. James makes 2-pt shot from 2 ft (assist by M. Dellavedova)
4:44.0,C. Paul misses 2-pt shot from 17 ft,,65-76,,
4:42.0,,,65-76,,Defensive rebound by T. Mozgov
4:35.0,,,65-76,,M. Dellavedova misses 3-pt shot from 22 ft
4:34.0,Defensive rebound by C. Paul,,65-76,,
4:27.0,LA Clippers full timeout,,65-76,,
4:20.0,C. Paul makes 2-pt shot from 13 ft,2,67-76,,
3:51.0,,,67-76,,M. Dellavedova misses 2-pt shot from 6 ft (block by C. Paul)
3:49.0,Defensive rebound by J. Redick,,67-76,,
3:46.0,,,67-76,,Personal foul by M. Dellavedova (drawn by C. Paul)
3:46.0,,,67-76,,T. Thompson enters the game for T. Mozgov
3:38.0,J. Crawford makes 2-pt shot from 6 ft (assist by C. Paul),2,69-76,,
3:11.0,,,69-76,,J. Smith misses 2-pt shot from 7 ft
3:09.0,Defensive rebound by W. Johnson,,69-76,,
2:59.0,C. Paul misses 2-pt shot from 15 ft,,69-76,,
2:58.0,,,69-76,,Defensive rebound by J. Smith
2:46.0,Personal block foul by C. Paul (drawn by L. James),,69-76,,
2:46.0,,,69-76,,Cleveland full timeout
2:42.0,,,69-76,,T. Thompson misses 2-pt shot from 1 ft
2:40.0,,,69-76,,Offensive rebound by M. Dellavedova
2:37.0,,,69-79,3,J. Smith makes 3-pt shot from 27 ft (assist by M. Dellavedova)
2:29.0,,,69-79,,Personal foul by J. Jones (drawn by D. Jordan)
2:29.0,D. Jordan misses free throw 1 of 2,,69-79,,
2:29.0,Offensive rebound by Team,,69-79,,
2:29.0,A. Rivers enters the game for C. Paul,,69-79,,
2:29.0,D. Jordan makes free throw 2 of 2,1,70-79,,
2:13.0,Personal foul by A. Rivers (drawn by L. James),,70-79,,
2:13.0,,,70-79,,K. Irving enters the game for M. Dellavedova
2:01.0,,,70-82,3,L. James makes 3-pt shot from 24 ft
1:51.0,,,70-82,,Personal foul by J. Jones (drawn by D. Jordan)
1:51.0,D. Jordan misses free throw 1 of 2,,70-82,,
1:51.0,Offensive rebound by Team,,70-82,,
1:51.0,D. Jordan misses free throw 2 of 2,,70-82,,
1:50.0,,,70-82,,Defensive rebound by L. James
1:36.0,,,70-82,,L. James misses 2-pt shot from 1 ft
1:32.0,,,70-82,,Offensive rebound by T. Thompson
1:32.0,,,70-84,2,T. Thompson makes 2-pt shot at rim
1:32.0,,,70-84,,Personal foul by J. Jones (drawn by D. Jordan)
1:32.0,D. Jordan misses free throw 1 of 2,,70-84,,
1:32.0,Offensive rebound by Team,,70-84,,
1:32.0,D. Jordan misses free throw 2 of 2,,70-84,,
1:31.0,,,70-84,,Defensive rebound by L. James
1:11.0,,,70-86,2,L. James makes 2-pt shot from 1 ft
1:08.0,,,70-86,,Personal foul by J. Jones (drawn by D. Jordan)
1:08.0,D. Jordan makes free throw 1 of 2,1,71-86,,
1:08.0,P. Prigioni enters the game for J. Redick,,71-86,,
1:08.0,,,71-86,,M. Dellavedova enters the game for J. Jones
1:08.0,D. Jordan makes free throw 2 of 2,1,72-86,,
0:55.0,Violation by D. Jordan (def goaltending),,72-86,,
0:55.0,,,72-88,2,L. James makes 2-pt shot from 9 ft
0:38.0,W. Johnson misses 3-pt shot from 24 ft,,72-88,,
0:38.0,,,72-88,,Defensive rebound by T. Thompson
0:17.0,,,72-88,,K. Irving misses 3-pt shot from 25 ft
0:17.0,Defensive rebound by D. Jordan,,72-88,,
0:02.0,W. Johnson misses 3-pt shot from 27 ft,,72-88,,
0:00.0,,,72-88,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,P. Prigioni makes 3-pt shot from 26 ft (assist by C. Aldrich),3,75-88,,
11:26.0,,,75-88,,K. Irving misses 2-pt shot from 4 ft
11:24.0,Defensive rebound by P. Prigioni,,75-88,,
11:12.0,A. Rivers misses 2-pt shot from 6 ft,,75-88,,
11:10.0,,,75-88,,Defensive rebound by Team
10:55.0,,,75-88,,Turnover by I. Shumpert (lost ball; steal by J. Crawford)
10:50.0,J. Crawford misses 2-pt shot at rim,,75-88,,
10:49.0,,,75-88,,Defensive rebound by T. Thompson
10:49.0,Personal foul by A. Rivers (drawn by T. Thompson),,75-88,,
10:49.0,L. Stephenson enters the game for W. Johnson,,75-88,,
10:42.0,Personal foul by L. Stephenson (drawn by K. Love),,75-88,,
10:31.0,,,75-88,,M. Dellavedova misses 3-pt shot from 24 ft
10:30.0,Defensive rebound by C. Aldrich,,75-88,,
10:16.0,C. Aldrich misses 2-pt shot from 10 ft,,75-88,,
10:15.0,,,75-88,,Defensive rebound by K. Love
10:08.0,,,75-88,,K. Irving misses 2-pt shot from 3 ft (block by C. Aldrich)
10:07.0,Defensive rebound by C. Aldrich,,75-88,,
10:07.0,,,75-88,,Personal foul by I. Shumpert (drawn by J. Crawford)
9:54.0,J. Crawford makes 2-pt shot from 1 ft (assist by C. Aldrich),2,77-88,,
9:54.0,,,77-88,,Cleveland full timeout
9:42.0,Personal foul by L. Stephenson (drawn by K. Love),,77-88,,
9:30.0,,,77-88,,K. Irving misses 2-pt shot from 6 ft (block by A. Rivers)
9:29.0,,,77-88,,Offensive rebound by K. Irving
9:23.0,,,77-90,2,K. Irving makes 2-pt shot from 9 ft
9:18.0,Turnover by A. Rivers (bad pass; steal by K. Love),,77-90,,
9:16.0,Clear path foul by C. Aldrich,,77-90,,
9:16.0,,,77-90,,K. Love misses clear path free throw 1 of 2
9:16.0,,,77-90,,Offensive rebound by Team
9:16.0,,,77-91,1,K. Love makes clear path free throw 2 of 2
9:12.0,,,77-91,,Turnover by M. Dellavedova (bad pass)
8:57.0,A. Rivers misses 3-pt shot from 23 ft,,77-91,,
8:56.0,,,77-91,,Defensive rebound by T. Thompson
8:50.0,,,77-91,,Turnover by T. Thompson (offensive goaltending)
8:50.0,C. Paul enters the game for P. Prigioni,,77-91,,
8:34.0,C. Aldrich makes 2-pt shot at rim (assist by C. Paul),2,79-91,,
8:15.0,,,79-93,2,T. Thompson makes 2-pt shot from 4 ft (assist by K. Love)
7:57.0,A. Rivers makes 2-pt shot from 1 ft (assist by C. Aldrich),2,81-93,,
7:39.0,,,81-93,,K. Irving misses 3-pt shot from 25 ft
7:39.0,Defensive rebound by L. Stephenson,,81-93,,
7:30.0,J. Crawford makes 2-pt shot at rim,2,83-93,,
7:14.0,,,83-93,,M. Dellavedova misses 3-pt shot from 24 ft
7:13.0,Defensive rebound by A. Rivers,,83-93,,
7:10.0,Shooting foul by I. Shumpert (drawn by J. Crawford),,83-93,,
7:10.0,J. Crawford makes free throw 1 of 2,1,84-93,,
7:10.0,,,84-93,,L. James enters the game for M. Dellavedova
7:10.0,D. Jordan enters the game for C. Aldrich,,84-93,,
7:10.0,J. Crawford makes free throw 2 of 2,1,85-93,,
6:53.0,,,85-93,,Turnover by K. Love (lost ball; steal by A. Rivers)
6:45.0,A. Rivers misses 3-pt shot from 24 ft,,85-93,,
6:44.0,Offensive rebound by Team,,85-93,,
6:44.0,,,85-93,,Loose ball foul by T. Thompson (drawn by D. Jordan)
6:44.0,,,85-93,,J. Smith enters the game for I. Shumpert
6:37.0,C. Paul makes 2-pt shot from 1 ft,2,87-93,,
6:24.0,,,87-93,,L. James misses 2-pt shot from 19 ft
6:23.0,Defensive rebound by Team,,87-93,,
6:13.0,,,87-93,,Personal foul by J. Smith (drawn by C. Paul)
6:10.0,Turnover by C. Paul (traveling),,87-93,,
5:47.0,,,87-96,3,K. Love makes 3-pt shot from 23 ft (assist by L. James)
5:35.0,,,87-96,,Personal foul by T. Thompson (drawn by D. Jordan)
5:35.0,Official timeout,,87-96,,
5:35.0,J. Redick enters the game for A. Rivers,,87-96,,
5:35.0,D. Jordan misses free throw 1 of 2,,87-96,,
5:35.0,Offensive rebound by Team,,87-96,,
5:35.0,D. Jordan misses free throw 2 of 2,,87-96,,
5:34.0,,,87-96,,Defensive rebound by K. Love
5:14.0,,,87-98,2,K. Irving makes 2-pt shot from 10 ft (assist by L. James)
5:07.0,,,87-98,,Personal foul by T. Thompson (drawn by D. Jordan)
5:07.0,D. Jordan misses free throw 1 of 2,,87-98,,
5:07.0,Offensive rebound by Team,,87-98,,
5:07.0,W. Johnson enters the game for L. Stephenson,,87-98,,
5:07.0,D. Jordan makes free throw 2 of 2,1,88-98,,
4:48.0,,,88-101,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
4:33.0,W. Johnson misses 3-pt shot from 23 ft,,88-101,,
4:32.0,,,88-101,,Defensive rebound by K. Irving
4:29.0,Personal foul by C. Paul (drawn by T. Thompson),,88-101,,
4:29.0,,,88-101,,T. Thompson misses free throw 1 of 2
4:29.0,,,88-101,,Offensive rebound by Team
4:29.0,C. Aldrich enters the game for D. Jordan,,88-101,,
4:29.0,,,88-101,,T. Thompson misses free throw 2 of 2
4:28.0,,,88-101,,Offensive rebound by L. James
4:19.0,,,88-104,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
