time,Atlanta,pts.away,score,pts.home,Oklahoma City
2:54.0,,,39-54,1,S. Ibaka makes free throw 1 of 2
2:54.0,,,39-55,1,S. Ibaka makes free throw 2 of 2
2:40.0,Turnover by A. Horford (bad pass; steal by S. Ibaka),,39-55,,
2:36.0,Personal foul by J. Teague (drawn by R. Westbrook),,39-55,,
2:36.0,,,39-55,,R. Westbrook misses free throw 1 of 2
2:36.0,,,39-55,,Offensive rebound by Team
2:36.0,,,39-56,1,R. Westbrook makes free throw 2 of 2
2:25.0,T. Sefolosha makes 2-pt shot from 5 ft (assist by J. Teague),2,41-56,,
2:09.0,,,41-56,,R. Westbrook misses 3-pt shot from 24 ft
2:09.0,Defensive rebound by K. Korver,,41-56,,
2:02.0,Shooting foul by S. Ibaka (drawn by K. Bazemore),,41-56,,
2:02.0,K. Bazemore makes free throw 1 of 2,1,42-56,,
2:02.0,K. Bazemore makes free throw 2 of 2,1,43-56,,
1:50.0,,,43-58,2,S. Ibaka makes 2-pt shot from 18 ft (assist by R. Westbrook)
1:31.0,J. Teague misses 2-pt shot from 9 ft,,43-58,,
1:30.0,Offensive rebound by T. Sefolosha,,43-58,,
1:25.0,K. Bazemore makes 3-pt shot from 23 ft (assist by T. Sefolosha),3,46-58,,
1:06.0,,,46-58,,R. Westbrook misses 2-pt shot from 12 ft
1:05.0,Defensive rebound by K. Bazemore,,46-58,,
0:53.0,K. Bazemore makes 3-pt shot from 24 ft,3,49-58,,
0:39.0,Personal foul by T. Sefolosha (drawn by K. Durant),,49-58,,
0:39.0,,,49-59,1,K. Durant makes free throw 1 of 2
0:39.0,,,49-60,1,K. Durant makes free throw 2 of 2
0:26.0,Turnover by J. Teague (bad pass; steal by S. Adams),,49-60,,
0:21.0,,,49-60,,Turnover by R. Westbrook (traveling)
0:02.0,J. Teague misses 2-pt shot from 1 ft,,49-60,,
0:02.0,,,49-60,,Defensive rebound by S. Ibaka
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,A. Horford misses 3-pt shot from 23 ft,,49-60,,
11:43.0,,,49-60,,Defensive rebound by S. Ibaka
11:33.0,,,49-60,,Shooting foul by A. Horford (drawn by S. Adams)
11:33.0,,,49-62,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
11:33.0,,,49-63,1,S. Adams makes free throw 1 of 1
11:17.0,T. Sefolosha makes 2-pt shot from 21 ft (assist by K. Korver),2,51-63,,
11:06.0,,,51-63,,K. Durant misses 2-pt shot from 16 ft
11:05.0,Defensive rebound by P. Millsap,,51-63,,
10:51.0,P. Millsap misses 2-pt shot from 16 ft,,51-63,,
10:50.0,,,51-63,,Defensive rebound by S. Adams
10:38.0,,,51-63,,K. Durant misses 2-pt shot from 3 ft
10:37.0,Defensive rebound by P. Millsap,,51-63,,
10:20.0,J. Teague misses 3-pt shot from 24 ft,,51-63,,
10:20.0,,,51-63,,Defensive rebound by K. Durant
10:19.0,Personal foul by P. Millsap (drawn by K. Durant),,51-63,,
9:57.0,,,51-63,,Shooting foul by K. Korver (drawn by A. Roberson)
9:57.0,,,51-64,1,A. Roberson makes free throw 1 of 2
9:57.0,,,51-64,,A. Roberson misses free throw 2 of 2
9:56.0,Defensive rebound by T. Sefolosha,,51-64,,
9:49.0,,,51-64,,Personal foul by S. Ibaka (drawn by A. Horford)
9:36.0,T. Sefolosha misses 2-pt shot from 3 ft,,51-64,,
9:36.0,,,51-64,,Defensive rebound by K. Durant
9:27.0,,,51-64,,Turnover by R. Westbrook (step out of bounds)
9:13.0,J. Teague makes 2-pt shot from 2 ft,2,53-64,,
8:59.0,,,53-66,2,R. Westbrook makes 2-pt shot from 12 ft
8:40.0,A. Horford makes 2-pt shot from 3 ft (assist by K. Korver),2,55-66,,
8:24.0,,,55-66,,K. Durant misses 2-pt shot from 14 ft
8:24.0,Defensive rebound by J. Teague,,55-66,,
8:07.0,J. Teague makes 2-pt shot from 1 ft,2,57-66,,
7:57.0,,,57-66,,Oklahoma City full timeout
7:50.0,,,57-66,,S. Ibaka misses 3-pt shot from 23 ft
7:50.0,Defensive rebound by J. Teague,,57-66,,
7:30.0,K. Korver makes 3-pt shot from 24 ft (assist by A. Horford),3,60-66,,
7:12.0,,,60-66,,K. Durant misses 2-pt shot from 13 ft
7:12.0,Defensive rebound by K. Korver,,60-66,,
7:04.0,K. Korver makes 3-pt shot from 22 ft (assist by A. Horford),3,63-66,,
6:50.0,,,63-68,2,R. Westbrook makes 2-pt shot from 14 ft
6:35.0,A. Horford misses 2-pt shot from 18 ft,,63-68,,
6:34.0,,,63-68,,Defensive rebound by S. Adams
6:26.0,,,63-68,,R. Westbrook misses 2-pt shot from 15 ft
6:25.0,Defensive rebound by Team,,63-68,,
6:04.0,A. Horford misses 2-pt shot from 12 ft,,63-68,,
6:03.0,,,63-68,,Defensive rebound by S. Ibaka
5:53.0,,,63-68,,S. Adams misses 2-pt shot from 8 ft
5:53.0,Defensive rebound by P. Millsap,,63-68,,
5:46.0,J. Teague makes 3-pt shot from 23 ft (assist by P. Millsap),3,66-68,,
5:23.0,,,66-70,2,K. Durant makes 2-pt shot from 18 ft (assist by S. Adams)
5:09.0,A. Horford makes 3-pt shot from 24 ft (assist by K. Korver),3,69-70,,
4:50.0,,,69-70,,K. Durant misses 2-pt shot from 4 ft (block by A. Horford)
4:48.0,,,69-70,,Offensive rebound by S. Ibaka
4:43.0,,,69-72,2,S. Ibaka makes 2-pt shot from 18 ft (assist by R. Westbrook)
4:42.0,Atlanta full timeout,,69-72,,
4:42.0,K. Bazemore enters the game for P. Millsap,,69-72,,
4:42.0,Violation by Team (delay of game),,69-72,,
4:21.0,A. Horford misses 2-pt shot from 12 ft,,69-72,,
4:21.0,,,69-72,,Defensive rebound by K. Durant
4:16.0,Personal foul by A. Horford (drawn by S. Adams),,69-72,,
4:16.0,P. Millsap enters the game for A. Horford,,69-72,,
4:07.0,,,69-74,2,K. Durant makes 2-pt shot from 1 ft
3:50.0,Jump ball: P. Millsap vs. A. Roberson (J. Teague gains possession),,,,Jump ball: P. Millsap vs. A. Roberson (J. Teague gains possession)
3:44.0,J. Teague makes 2-pt shot from 1 ft,2,71-74,,
3:30.0,Shooting block foul by P. Millsap (drawn by K. Durant),,71-74,,
3:30.0,,,71-75,1,K. Durant makes free throw 1 of 2
3:30.0,,,71-75,,D. Waiters enters the game for A. Roberson
3:30.0,M. Muscala enters the game for K. Korver,,71-75,,
3:30.0,,,71-75,,A. Morrow enters the game for S. Adams
3:30.0,,,71-76,1,K. Durant makes free throw 2 of 2
3:19.0,,,71-76,,Personal foul by D. Waiters (drawn by K. Bazemore)
3:19.0,D. Schroder enters the game for J. Teague,,71-76,,
3:14.0,K. Bazemore makes 2-pt shot from 22 ft (assist by P. Millsap),2,73-76,,
2:50.0,,,73-76,,Turnover by K. Durant (lost ball; steal by K. Bazemore)
2:42.0,T. Sefolosha makes 2-pt shot at rim (assist by K. Bazemore),2,75-76,,
2:28.0,,,75-76,,R. Westbrook misses 2-pt shot from 1 ft
2:27.0,Defensive rebound by M. Muscala,,75-76,,
2:15.0,P. Millsap misses 2-pt shot from 1 ft (block by S. Ibaka),,75-76,,
2:14.0,,,75-76,,Defensive rebound by S. Ibaka
2:09.0,,,75-76,,Shooting foul by M. Muscala (drawn by R. Westbrook)
2:09.0,,,75-77,1,R. Westbrook makes free throw 1 of 2
2:09.0,,,75-77,,E. Kanter enters the game for K. Durant
2:09.0,L. Patterson enters the game for T. Sefolosha,,75-77,,
2:09.0,,,75-78,1,R. Westbrook makes free throw 2 of 2
1:53.0,K. Bazemore misses 2-pt shot from 3 ft (block by S. Ibaka),,75-78,,
1:52.0,,,75-78,,Defensive rebound by A. Morrow
1:47.0,,,75-78,,D. Waiters misses 2-pt shot from 1 ft (block by M. Muscala)
1:46.0,,,75-78,,Offensive rebound by D. Waiters
1:44.0,,,75-80,2,D. Waiters makes 2-pt shot from 1 ft
1:26.0,D. Schroder misses 2-pt shot from 1 ft,,75-80,,
1:26.0,,,75-80,,Defensive rebound by S. Ibaka
1:20.0,,,75-80,,E. Kanter misses 2-pt shot at rim (block by P. Millsap)
1:18.0,Defensive rebound by D. Schroder,,75-80,,
1:12.0,,,75-80,,N. Collison enters the game for S. Ibaka
1:04.0,M. Muscala misses 3-pt shot from 25 ft,,75-80,,
1:04.0,,,75-80,,Defensive rebound by R. Westbrook
0:59.0,,,75-80,,R. Westbrook misses 2-pt shot from 17 ft
0:58.0,Defensive rebound by P. Millsap,,75-80,,
0:42.0,M. Muscala misses 3-pt shot from 22 ft,,75-80,,
0:41.0,,,75-80,,Defensive rebound by R. Westbrook
0:35.0,,,75-83,3,A. Morrow makes 3-pt shot from 24 ft (assist by R. Westbrook)
0:28.0,,,75-83,,Personal foul by N. Collison (drawn by D. Schroder)
0:28.0,A. Horford enters the game for P. Millsap,,75-83,,
0:28.0,K. Korver enters the game for M. Muscala,,75-83,,
0:22.0,A. Horford misses 2-pt shot from 18 ft,,75-83,,
0:20.0,,,75-83,,Defensive rebound by N. Collison
0:00.0,,,75-83,,R. Westbrook misses 2-pt shot from 14 ft
0:00.0,,,75-83,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,75-83,,E. Kanter misses 2-pt shot from 2 ft
11:43.0,Defensive rebound by D. Schroder,,75-83,,
11:32.0,D. Schroder makes 2-pt shot from 8 ft,2,77-83,,
11:17.0,,,77-85,2,D. Waiters makes 2-pt shot from 16 ft
10:58.0,A. Horford makes 2-pt shot from 11 ft (assist by D. Schroder),2,79-85,,
10:39.0,,,79-85,,D. Waiters misses 2-pt shot from 17 ft
10:39.0,Defensive rebound by A. Horford,,79-85,,
10:29.0,A. Horford misses 3-pt shot from 24 ft,,79-85,,
10:29.0,,,79-85,,Defensive rebound by E. Kanter
10:18.0,,,79-85,,Turnover by N. Collison (bad pass)
10:03.0,Offensive foul by D. Schroder,,79-85,,
10:03.0,Turnover by D. Schroder (offensive foul),,79-85,,
9:40.0,,,79-88,3,A. Morrow makes 3-pt shot from 24 ft (assist by D. Waiters)
9:16.0,K. Korver misses 2-pt shot from 21 ft,,79-88,,
9:16.0,,,79-88,,Defensive rebound by D. Augustin
8:55.0,,,79-88,,A. Morrow misses 2-pt shot from 13 ft (block by K. Korver)
8:54.0,Defensive rebound by K. Korver,,79-88,,
8:52.0,Shooting foul by N. Collison (drawn by K. Bazemore),,79-88,,
8:52.0,Official timeout,,79-88,,
8:52.0,,,79-88,,K. Durant enters the game for E. Kanter
8:52.0,J. Teague enters the game for D. Schroder,,79-88,,
8:52.0,T. Sefolosha enters the game for M. Muscala,,79-88,,
8:52.0,K. Bazemore makes free throw 1 of 2,1,80-88,,
8:52.0,K. Bazemore makes free throw 2 of 2,1,81-88,,
8:34.0,,,81-90,2,A. Morrow makes 2-pt shot from 1 ft (assist by N. Collison)
8:22.0,,,81-90,,Personal foul by K. Durant (drawn by K. Bazemore)
8:22.0,,,81-90,,R. Westbrook enters the game for D. Augustin
8:07.0,A. Horford misses 2-pt shot from 9 ft,,81-90,,
8:06.0,,,81-90,,Defensive rebound by K. Durant
7:57.0,,,81-90,,N. Collison misses 2-pt shot at rim
7:56.0,Defensive rebound by J. Teague,,81-90,,
7:51.0,K. Bazemore misses 3-pt shot from 23 ft,,81-90,,
7:50.0,,,81-90,,Defensive rebound by N. Collison
7:43.0,,,81-90,,D. Waiters misses 3-pt shot from 24 ft
7:42.0,,,81-90,,Offensive rebound by R. Westbrook
7:38.0,,,81-90,,A. Morrow misses 3-pt shot from 23 ft
7:37.0,,,81-90,,Offensive rebound by R. Westbrook
7:23.0,,,81-90,,Turnover by K. Durant (lost ball; steal by J. Teague)
7:10.0,J. Teague misses 2-pt shot from 2 ft,,81-90,,
7:09.0,Offensive rebound by A. Horford,,81-90,,
7:08.0,A. Horford misses 2-pt shot at rim,,81-90,,
7:08.0,Offensive rebound by A. Horford,,81-90,,
7:08.0,Shooting foul by A. Morrow (drawn by A. Horford),,81-90,,
7:08.0,A. Horford makes free throw 1 of 2,1,82-90,,
7:08.0,,,82-90,,S. Ibaka enters the game for N. Collison
7:08.0,P. Millsap enters the game for K. Korver,,82-90,,
7:08.0,A. Horford makes free throw 2 of 2,1,83-90,,
6:52.0,,,83-92,2,S. Ibaka makes 2-pt shot from 13 ft (assist by K. Durant)
6:35.0,Shooting foul by S. Ibaka (drawn by T. Sefolosha),,83-92,,
6:35.0,T. Sefolosha misses free throw 1 of 2,,83-92,,
6:35.0,Offensive rebound by Team,,83-92,,
6:35.0,,,83-92,,S. Adams enters the game for A. Morrow
6:35.0,T. Sefolosha misses free throw 2 of 2,,83-92,,
6:34.0,,,83-92,,Defensive rebound by S. Ibaka
6:16.0,,,83-92,,S. Ibaka misses 2-pt shot from 3 ft
6:15.0,Defensive rebound by K. Bazemore,,83-92,,
6:01.0,P. Millsap makes 2-pt shot from 8 ft,2,85-92,,
5:38.0,,,85-92,,R. Westbrook misses 2-pt shot at rim
5:38.0,Defensive rebound by A. Horford,,85-92,,
5:24.0,K. Bazemore misses 3-pt shot from 23 ft,,85-92,,
5:23.0,,,85-92,,Defensive rebound by K. Durant
5:18.0,,,85-92,,Oklahoma City full timeout
5:18.0,M. Muscala enters the game for A. Horford,,85-92,,
5:07.0,,,85-92,,Shooting foul by M. Muscala (drawn by S. Adams)
5:07.0,,,85-92,,S. Adams misses free throw 1 of 2
5:07.0,,,85-92,,Offensive rebound by Team
5:07.0,,,85-92,,S. Adams misses free throw 2 of 2
5:07.0,Defensive rebound by T. Sefolosha,,85-92,,
4:58.0,J. Teague misses 2-pt shot from 2 ft,,85-92,,
4:57.0,,,85-92,,Defensive rebound by K. Durant
4:53.0,,,85-95,3,K. Durant makes 3-pt shot from 24 ft
4:31.0,T. Sefolosha misses 3-pt shot from 22 ft,,85-95,,
4:30.0,Offensive rebound by P. Millsap,,85-95,,
4:29.0,,,85-95,,Personal foul by R. Westbrook (drawn by P. Millsap)
4:29.0,P. Millsap makes free throw 1 of 2,1,86-95,,
4:29.0,K. Korver enters the game for K. Bazemore,,86-95,,
4:29.0,P. Millsap misses free throw 2 of 2,,86-95,,
4:28.0,,,86-95,,Defensive rebound by S. Adams
4:09.0,,,86-95,,Turnover by K. Durant (lost ball; steal by J. Teague)
3:57.0,Shooting foul by S. Ibaka (drawn by P. Millsap),,86-95,,
3:57.0,P. Millsap makes free throw 1 of 2,1,87-95,,
3:57.0,P. Millsap makes free throw 2 of 2,1,88-95,,
3:41.0,,,88-97,2,K. Durant makes 2-pt shot from 11 ft
3:24.0,M. Muscala misses 2-pt shot from 13 ft,,88-97,,
3:23.0,,,88-97,,Defensive rebound by K. Durant
3:10.0,,,88-97,,Turnover by S. Ibaka (lost ball; steal by T. Sefolosha)
3:04.0,J. Teague makes 2-pt shot from 5 ft,2,90-97,,
2:44.0,,,90-97,,R. Westbrook misses 2-pt shot from 5 ft
2:43.0,Defensive rebound by P. Millsap,,90-97,,
2:38.0,Atlanta full timeout,,90-97,,
2:38.0,K. Bazemore enters the game for T. Sefolosha,,90-97,,
2:38.0,A. Horford enters the game for M. Muscala,,90-97,,
2:27.0,K. Bazemore misses 3-pt shot from 23 ft,,90-97,,
2:26.0,,,90-97,,Defensive rebound by R. Westbrook
