time,Washington,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,D. Gooden misses 3-pt shot from 24 ft,,26-36,,
11:50.0,Offensive rebound by Team,,26-36,,
11:44.0,R. Sessions misses 2-pt shot at rim (block by N. Collison),,26-36,,
11:43.0,,,26-36,,Defensive rebound by C. Payne
11:40.0,,,26-38,2,C. Payne makes 2-pt shot from 3 ft
11:40.0,,,26-38,,Shooting foul by G. Neal (drawn by C. Payne)
11:40.0,,,26-39,1,C. Payne makes free throw 1 of 1
11:14.0,D. Gooden misses 2-pt shot from 14 ft,,26-39,,
11:14.0,,,26-39,,Defensive rebound by E. Kanter
10:51.0,,,26-41,2,K. Singler makes 2-pt shot from 8 ft (assist by C. Payne)
10:41.0,,,26-41,,Personal foul by C. Payne (drawn by D. Gooden)
10:32.0,B. Beal makes 2-pt shot from 13 ft,2,28-41,,
10:11.0,,,28-41,,C. Payne misses 3-pt shot from 24 ft
10:10.0,Defensive rebound by G. Neal,,28-41,,
10:01.0,G. Neal misses 2-pt shot from 13 ft,,28-41,,
10:01.0,,,28-41,,Defensive rebound by K. Singler
9:49.0,,,28-41,,A. Morrow misses 2-pt shot from 18 ft
9:48.0,,,28-41,,Offensive rebound by C. Payne
9:45.0,,,28-41,,Turnover by N. Collison (lost ball)
9:25.0,B. Beal makes 2-pt shot from 6 ft,2,30-41,,
9:02.0,,,30-41,,C. Payne misses 3-pt shot from 26 ft
9:01.0,Defensive rebound by D. Gooden,,30-41,,
8:55.0,R. Sessions makes 2-pt shot from 1 ft,2,32-41,,
8:47.0,,,32-41,,Oklahoma City full timeout
8:34.0,,,32-41,,Shooting foul by B. Beal (drawn by E. Kanter)
8:34.0,,,32-42,1,E. Kanter makes free throw 1 of 2
8:34.0,,,32-42,,S. Ibaka enters the game for N. Collison
8:34.0,,,32-42,,R. Westbrook enters the game for C. Payne
8:34.0,,,32-43,1,E. Kanter makes free throw 2 of 2
8:26.0,B. Beal misses 2-pt shot from 2 ft,,32-43,,
8:24.0,,,32-43,,Defensive rebound by E. Kanter
8:20.0,,,32-43,,Shooting foul by N. Hilario (drawn by E. Kanter)
8:20.0,,,32-44,1,E. Kanter makes free throw 1 of 2
8:20.0,J. Wall enters the game for B. Beal,,32-44,,
8:20.0,,,32-45,1,E. Kanter makes free throw 2 of 2
8:11.0,,,32-45,,Personal foul by K. Singler (drawn by D. Gooden)
7:58.0,N. Hilario misses 2-pt shot from 2 ft (block by S. Ibaka),,32-45,,
7:57.0,,,32-45,,Defensive rebound by S. Ibaka
7:51.0,,,32-47,2,R. Westbrook makes 2-pt shot from 1 ft
7:39.0,,,32-47,,Personal foul by K. Singler (drawn by D. Gooden)
7:28.0,J. Wall misses 3-pt shot from 23 ft,,32-47,,
7:27.0,,,32-47,,Defensive rebound by E. Kanter
7:23.0,Personal block foul by J. Wall (drawn by R. Westbrook),,32-47,,
7:17.0,Violation by N. Hilario (kicked ball),,32-47,,
7:12.0,,,32-47,,Turnover by R. Westbrook (bad pass; steal by R. Sessions)
7:08.0,J. Wall makes 2-pt shot at rim (assist by R. Sessions),2,34-47,,
6:49.0,,,34-47,,A. Morrow misses 2-pt shot from 13 ft
6:49.0,Defensive rebound by J. Wall,,34-47,,
6:42.0,Shooting foul by K. Singler (drawn by R. Sessions),,34-47,,
6:42.0,R. Sessions makes free throw 1 of 2,1,35-47,,
6:42.0,G. Temple enters the game for G. Neal,,35-47,,
6:42.0,,,35-47,,K. Durant enters the game for K. Singler
6:42.0,,,35-47,,S. Adams enters the game for E. Kanter
6:42.0,R. Sessions makes free throw 2 of 2,1,36-47,,
6:32.0,,,36-47,,S. Ibaka misses 3-pt shot from 25 ft
6:31.0,Defensive rebound by G. Temple,,36-47,,
6:13.0,,,36-47,,Personal foul by K. Durant (drawn by J. Wall)
6:13.0,J. Wall makes free throw 1 of 2,1,37-47,,
6:13.0,M. Gortat enters the game for N. Hilario,,37-47,,
6:13.0,J. Wall misses free throw 2 of 2,,37-47,,
6:12.0,,,37-47,,Defensive rebound by R. Westbrook
5:59.0,,,37-49,2,S. Ibaka makes 2-pt shot from 14 ft (assist by R. Westbrook)
5:42.0,Turnover by R. Sessions (bad pass; steal by R. Westbrook),,37-49,,
5:37.0,,,37-51,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
5:35.0,Washington full timeout,,37-51,,
5:35.0,,,37-51,,D. Waiters enters the game for A. Morrow
5:35.0,J. Dudley enters the game for D. Gooden,,37-51,,
5:35.0,O. Porter enters the game for R. Sessions,,37-51,,
5:13.0,M. Gortat makes 2-pt shot at rim,2,39-51,,
4:56.0,Personal foul by O. Porter (drawn by K. Durant),,39-51,,
4:56.0,,,39-52,1,K. Durant makes free throw 1 of 2
4:56.0,,,39-53,1,K. Durant makes free throw 2 of 2
4:45.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,41-53,,
4:36.0,,,41-53,,Shooting foul by J. Dudley (drawn by S. Adams)
4:36.0,,,41-54,1,S. Adams makes free throw 1 of 2
4:36.0,,,41-54,,S. Adams misses free throw 2 of 2
4:35.0,Defensive rebound by M. Gortat,,41-54,,
4:24.0,G. Temple misses 3-pt shot from 23 ft,,41-54,,
4:23.0,,,41-54,,Defensive rebound by R. Westbrook
4:15.0,,,41-54,,Turnover by S. Ibaka (bad pass)
4:05.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Dudley),2,43-54,,
3:55.0,,,43-54,,D. Waiters misses 2-pt shot from 16 ft
3:54.0,,,43-54,,Offensive rebound by S. Adams
3:54.0,,,43-56,2,S. Adams makes 2-pt shot from 1 ft
3:46.0,O. Porter misses 3-pt shot from 23 ft,,43-56,,
3:45.0,,,43-56,,Defensive rebound by S. Ibaka
3:21.0,,,43-56,,R. Westbrook misses 3-pt shot from 25 ft
3:20.0,,,43-56,,Offensive rebound by K. Durant
3:14.0,,,43-56,,D. Waiters misses 2-pt shot at rim
3:14.0,Defensive rebound by G. Temple,,43-56,,
3:09.0,G. Temple makes 2-pt shot at rim,2,45-56,,
2:50.0,,,45-56,,R. Westbrook misses 2-pt shot from 16 ft
2:49.0,Defensive rebound by M. Gortat,,45-56,,
2:42.0,J. Dudley makes 2-pt shot from 1 ft (assist by J. Wall),2,47-56,,
2:42.0,Shooting foul by S. Ibaka (drawn by J. Dudley),,47-56,,
2:42.0,Official timeout,,47-56,,
2:42.0,J. Dudley makes free throw 1 of 1,1,48-56,,
2:28.0,,,48-59,3,K. Durant makes 3-pt shot from 24 ft
2:15.0,,,48-59,,Personal take foul by R. Westbrook (drawn by M. Gortat)
2:15.0,M. Gortat misses free throw 1 of 2,,48-59,,
2:15.0,Offensive rebound by Team,,48-59,,
2:15.0,M. Gortat misses free throw 2 of 2,,48-59,,
2:14.0,,,48-59,,Defensive rebound by R. Westbrook
2:00.0,,,48-59,,Turnover by R. Westbrook (bad pass; steal by M. Gortat)
1:53.0,J. Dudley misses 3-pt shot from 25 ft,,48-59,,
1:53.0,,,48-59,,Defensive rebound by D. Waiters
1:40.0,,,48-59,,S. Ibaka misses 2-pt shot from 3 ft
1:40.0,Defensive rebound by Team,,48-59,,
1:40.0,,,48-59,,Loose ball foul by S. Adams (drawn by J. Dudley)
1:40.0,J. Dudley makes free throw 1 of 2,1,49-59,,
1:40.0,J. Dudley makes free throw 2 of 2,1,50-59,,
1:26.0,,,50-61,2,K. Durant makes 2-pt shot from 11 ft (assist by R. Westbrook)
1:12.0,G. Temple makes 2-pt shot from 13 ft,2,52-61,,
0:55.0,,,52-61,,D. Waiters misses 3-pt shot from 22 ft
0:54.0,,,52-61,,Offensive rebound by Team
0:43.0,,,52-61,,R. Westbrook misses 3-pt shot from 24 ft
0:42.0,Defensive rebound by J. Wall,,52-61,,
0:34.0,J. Wall misses 2-pt shot from 18 ft,,52-61,,
0:34.0,,,52-61,,Defensive rebound by R. Westbrook
0:28.0,,,52-61,,K. Durant misses 2-pt shot from 2 ft (block by J. Wall)
0:27.0,,,52-61,,Offensive rebound by K. Durant
0:26.0,,,52-64,3,S. Ibaka makes 3-pt shot from 25 ft (assist by K. Durant)
0:00.0,J. Wall misses 3-pt shot from 26 ft,,52-64,,
0:00.0,Offensive rebound by Team,,52-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,,,52-64,,Technical foul by K. Durant
12:00.0,J. Wall makes technical free throw,1,53-64,,
11:41.0,M. Gortat misses 2-pt shot from 10 ft,,53-64,,
11:41.0,,,53-64,,Defensive rebound by R. Westbrook
11:30.0,,,53-64,,K. Durant misses 2-pt shot from 13 ft
11:29.0,Defensive rebound by J. Dudley,,53-64,,
11:14.0,J. Dudley misses 2-pt shot from 19 ft,,53-64,,
11:13.0,Offensive rebound by M. Gortat,,53-64,,
11:02.0,J. Wall misses 2-pt shot at rim (block by D. Waiters),,53-64,,
11:01.0,,,53-64,,Defensive rebound by S. Ibaka
10:54.0,,,53-64,,Shooting foul by M. Gortat (drawn by K. Durant)
10:54.0,,,53-65,1,K. Durant makes free throw 1 of 2
10:54.0,,,53-65,,K. Durant misses free throw 2 of 2
10:53.0,Defensive rebound by M. Gortat,,53-65,,
10:34.0,M. Gortat misses 2-pt shot from 15 ft,,53-65,,
10:34.0,Offensive rebound by J. Dudley,,53-65,,
10:23.0,G. Temple misses 3-pt shot from 25 ft,,53-65,,
10:23.0,Offensive rebound by Team,,53-65,,
10:23.0,,,53-65,,Loose ball foul by S. Ibaka (drawn by M. Gortat)
10:13.0,M. Gortat makes 2-pt shot from 2 ft (assist by G. Temple),2,55-65,,
9:50.0,,,55-67,2,R. Westbrook makes 2-pt shot from 14 ft
9:34.0,O. Porter makes 2-pt shot from 19 ft (assist by J. Wall),2,57-67,,
9:17.0,,,57-67,,S. Ibaka misses 2-pt shot from 9 ft
9:16.0,Defensive rebound by J. Wall,,57-67,,
9:11.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,59-67,,
9:11.0,,,59-67,,Oklahoma City full timeout
9:11.0,B. Beal enters the game for O. Porter,,59-67,,
9:00.0,,,59-67,,Turnover by K. Durant (bad pass; steal by G. Temple)
8:57.0,Turnover by J. Wall (lost ball; steal by D. Waiters),,59-67,,
8:52.0,,,59-67,,Turnover by D. Waiters (bad pass; steal by J. Wall)
8:46.0,M. Gortat makes 2-pt shot at rim (assist by J. Dudley),2,61-67,,
8:22.0,,,61-67,,Shooting foul by M. Gortat (drawn by S. Ibaka)
8:22.0,,,61-69,2,S. Ibaka makes 2-pt shot at rim (assist by K. Durant)
8:22.0,,,61-70,1,S. Ibaka makes free throw 1 of 1
8:03.0,G. Temple misses 2-pt shot from 2 ft (block by S. Adams),,61-70,,
8:02.0,,,61-70,,Defensive rebound by R. Westbrook
7:52.0,,,61-72,2,K. Durant makes 2-pt shot from 10 ft (assist by S. Ibaka)
7:29.0,B. Beal makes 3-pt shot from 24 ft,3,64-72,,
7:18.0,,,64-74,2,R. Westbrook makes 2-pt shot from 13 ft
7:18.0,,,64-74,,Technical foul by S. Adams
7:18.0,Technical foul by M. Gortat,,64-74,,
7:18.0,N. Hilario enters the game for M. Gortat,,64-74,,
7:03.0,Turnover by N. Hilario (lost ball; steal by D. Waiters),,64-74,,
6:53.0,,,64-74,,D. Waiters misses 2-pt shot from 16 ft
6:52.0,Defensive rebound by J. Dudley,,64-74,,
6:41.0,N. Hilario makes 2-pt shot from 2 ft,2,66-74,,
6:41.0,Shooting foul by K. Durant (drawn by N. Hilario),,66-74,,
6:41.0,N. Hilario makes free throw 1 of 1,1,67-74,,
6:30.0,,,67-76,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
6:08.0,N. Hilario misses 2-pt shot from 10 ft,,67-76,,
6:08.0,,,67-76,,Defensive rebound by K. Durant
5:57.0,,,67-76,,Shooting foul by G. Temple (drawn by K. Durant)
5:57.0,,,67-78,2,K. Durant makes 2-pt shot at rim (assist by S. Adams)
5:57.0,O. Porter enters the game for G. Temple,,67-78,,
5:57.0,,,67-79,1,K. Durant makes free throw 1 of 1
5:37.0,B. Beal misses 2-pt shot from 22 ft,,67-79,,
5:37.0,,,67-79,,Defensive rebound by S. Ibaka
5:16.0,,,67-79,,Shooting foul by O. Porter (drawn by S. Adams)
5:16.0,,,67-80,1,S. Adams makes free throw 1 of 2
5:16.0,,,67-80,,S. Adams misses free throw 2 of 2
5:16.0,,,67-80,,Offensive rebound by R. Westbrook
4:56.0,,,67-82,2,S. Adams makes 2-pt shot from 7 ft (assist by R. Westbrook)
4:55.0,Washington full timeout,,67-82,,
4:36.0,B. Beal makes 2-pt shot from 13 ft,2,69-82,,
4:25.0,,,69-82,,Turnover by R. Westbrook (lost ball; steal by J. Dudley)
4:21.0,J. Wall makes 2-pt shot from 1 ft (assist by J. Dudley),2,71-82,,
4:02.0,,,71-82,,Shooting foul by N. Hilario (drawn by S. Adams)
4:02.0,,,71-82,,S. Adams misses free throw 1 of 2
4:02.0,,,71-82,,Offensive rebound by Team
4:02.0,,,71-82,,S. Adams misses free throw 2 of 2
4:01.0,Defensive rebound by N. Hilario,,71-82,,
3:49.0,J. Wall misses 2-pt shot from 14 ft,,71-82,,
3:48.0,,,71-82,,Defensive rebound by S. Adams
3:27.0,,,71-82,,K. Durant misses 3-pt shot from 24 ft
3:27.0,Defensive rebound by J. Wall,,71-82,,
3:19.0,O. Porter misses 2-pt shot from 21 ft,,71-82,,
3:18.0,,,71-82,,Defensive rebound by S. Ibaka
3:08.0,,,71-85,3,D. Waiters makes 3-pt shot from 23 ft (assist by S. Ibaka)
3:01.0,B. Beal misses 3-pt shot from 24 ft,,71-85,,
3:01.0,,,71-85,,Defensive rebound by S. Ibaka
2:56.0,,,71-87,2,R. Westbrook makes 2-pt shot at rim
2:56.0,,,71-87,,Shooting foul by B. Beal (drawn by R. Westbrook)
2:56.0,,,71-87,,E. Kanter enters the game for S. Adams
2:56.0,,,71-87,,N. Collison enters the game for S. Ibaka
2:56.0,D. Gooden enters the game for J. Dudley,,71-87,,
2:56.0,,,71-88,1,R. Westbrook makes free throw 1 of 1
2:37.0,O. Porter makes 2-pt shot from 18 ft (assist by J. Wall),2,73-88,,
2:20.0,,,73-88,,Turnover by E. Kanter (step out of bounds)
2:12.0,N. Hilario misses 2-pt shot at rim,,73-88,,
2:12.0,,,73-88,,Defensive rebound by K. Durant
2:02.0,,,73-88,,Turnover by R. Westbrook (bad pass)
1:48.0,O. Porter makes 3-pt shot from 24 ft,3,76-88,,
1:32.0,,,76-90,2,E. Kanter makes 2-pt shot from 13 ft (assist by R. Westbrook)
1:18.0,Turnover by N. Hilario (lost ball; steal by N. Collison),,76-90,,
1:13.0,,,76-90,,K. Durant misses 2-pt shot at rim (block by J. Wall)
1:13.0,,,76-90,,Offensive rebound by Team
1:13.0,,,76-90,,K. Singler enters the game for D. Waiters
1:13.0,,,76-90,,C. Payne enters the game for R. Westbrook
1:03.0,,,76-92,2,N. Collison makes 2-pt shot at rim (assist by K. Durant)
0:47.0,B. Beal misses 2-pt shot from 17 ft,,76-92,,
0:46.0,,,76-92,,Defensive rebound by C. Payne
0:31.0,,,76-92,,Turnover by K. Durant (step out of bounds)
0:11.0,D. Gooden misses 3-pt shot from 25 ft,,76-92,,
0:11.0,,,76-92,,Defensive rebound by K. Durant
0:04.0,,,76-92,,Turnover by K. Durant (lost ball; steal by D. Gooden)
0:00.0,Turnover by J. Wall (lost ball; steal by C. Payne),,76-92,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:34.0,,,76-94,2,E. Kanter makes 2-pt shot from 15 ft
11:11.0,R. Sessions makes 2-pt shot from 20 ft (assist by D. Gooden),2,78-94,,
10:47.0,,,78-96,2,N. Collison makes 2-pt shot from 1 ft (assist by A. Morrow)
10:30.0,B. Beal makes 2-pt shot from 2 ft,2,80-96,,
10:30.0,Shooting foul by N. Collison (drawn by B. Beal),,80-96,,
10:30.0,B. Beal makes free throw 1 of 1,1,81-96,,
10:16.0,,,81-96,,C. Payne misses 2-pt shot from 17 ft
10:15.0,Defensive rebound by D. Gooden,,81-96,,
10:05.0,R. Sessions makes 3-pt shot from 24 ft (assist by G. Temple),3,84-96,,
10:04.0,,,84-96,,Oklahoma City full timeout
10:04.0,J. Wall enters the game for B. Beal,,84-96,,
9:50.0,,,84-96,,A. Morrow misses 3-pt shot from 26 ft
9:48.0,Defensive rebound by R. Sessions,,84-96,,
9:39.0,Turnover by D. Gooden (lost ball; steal by K. Singler),,84-96,,
9:29.0,,,84-96,,E. Kanter misses 2-pt shot from 12 ft
9:27.0,,,84-96,,Offensive rebound by N. Collison
9:27.0,,,84-96,,N. Collison misses 2-pt shot from 2 ft
9:27.0,Defensive rebound by D. Gooden,,84-96,,
9:22.0,Turnover by J. Wall (bad pass),,84-96,,
9:22.0,,,84-96,,D. Waiters enters the game for A. Morrow
9:10.0,,,84-96,,N. Collison misses 2-pt shot at rim (block by J. Wall)
9:09.0,Defensive rebound by M. Gortat,,84-96,,
8:57.0,G. Temple makes 3-pt shot from 23 ft (assist by J. Wall),3,87-96,,
8:33.0,,,87-99,3,C. Payne makes 3-pt shot from 25 ft (assist by D. Waiters)
8:19.0,R. Sessions misses 3-pt shot from 25 ft,,87-99,,
8:19.0,,,87-99,,Defensive rebound by E. Kanter
8:06.0,,,87-99,,E. Kanter misses 2-pt shot from 16 ft
8:06.0,,,87-99,,Offensive rebound by N. Collison
8:06.0,,,87-99,,N. Collison misses 2-pt shot from 1 ft
8:05.0,Defensive rebound by M. Gortat,,87-99,,
7:51.0,J. Wall misses 3-pt shot from 25 ft,,87-99,,
7:51.0,,,87-99,,Defensive rebound by D. Waiters
7:36.0,,,87-99,,D. Waiters misses 3-pt shot from 24 ft
7:35.0,,,87-99,,Offensive rebound by E. Kanter
7:33.0,,,87-99,,Shooting foul by G. Temple (drawn by E. Kanter)
7:33.0,,,87-100,1,E. Kanter makes free throw 1 of 2
7:33.0,,,87-100,,S. Ibaka enters the game for K. Singler
7:33.0,,,87-100,,R. Westbrook enters the game for N. Collison
7:33.0,J. Dudley enters the game for D. Gooden,,87-100,,
7:33.0,B. Beal enters the game for R. Sessions,,87-100,,
7:33.0,,,87-101,1,E. Kanter makes free throw 2 of 2
7:10.0,B. Beal misses 3-pt shot from 22 ft,,87-101,,
7:10.0,,,87-101,,Defensive rebound by R. Westbrook
6:56.0,,,87-104,3,D. Waiters makes 3-pt shot from 24 ft (assist by R. Westbrook)
6:46.0,Shooting foul by D. Waiters (drawn by M. Gortat),,87-104,,
6:46.0,M. Gortat misses free throw 1 of 2,,87-104,,
6:46.0,Offensive rebound by Team,,87-104,,
6:46.0,,,87-104,,K. Durant enters the game for C. Payne
6:46.0,M. Gortat makes free throw 2 of 2,1,88-104,,
6:28.0,,,88-104,,R. Westbrook misses 3-pt shot from 24 ft
6:27.0,,,88-104,,Offensive rebound by S. Ibaka
6:17.0,,,88-104,,Offensive charge foul by E. Kanter
6:17.0,,,88-104,,Turnover by E. Kanter (offensive foul)
6:17.0,D. Blair enters the game for M. Gortat,,88-104,,
5:58.0,B. Beal makes 3-pt shot from 24 ft,3,91-104,,
5:42.0,,,91-104,,K. Durant misses 2-pt shot from 19 ft
5:41.0,,,91-104,,Offensive rebound by S. Ibaka
5:25.0,Personal foul by D. Blair (drawn by E. Kanter),,91-104,,
5:25.0,Official timeout,,91-104,,
5:25.0,,,91-104,,S. Adams enters the game for E. Kanter
5:10.0,,,91-104,,Turnover by Team (shot clock)
5:01.0,B. Beal misses 3-pt shot from 25 ft,,91-104,,
5:00.0,,,91-104,,Defensive rebound by K. Durant
4:54.0,,,91-104,,Shooting foul by D. Blair (drawn by K. Durant)
4:54.0,,,91-105,1,K. Durant makes free throw 1 of 2
4:54.0,,,91-106,1,K. Durant makes free throw 2 of 2
4:45.0,J. Wall makes 2-pt shot at rim,2,93-106,,
4:31.0,,,93-106,,R. Westbrook misses 2-pt shot from 11 ft
4:31.0,Defensive rebound by B. Beal,,93-106,,
4:17.0,J. Wall misses 3-pt shot from 24 ft,,93-106,,
4:17.0,Offensive rebound by Team,,93-106,,
4:17.0,,,93-106,,Loose ball foul by R. Westbrook (drawn by D. Blair)
4:05.0,J. Dudley misses 2-pt shot from 20 ft,,93-106,,
4:05.0,,,93-106,,Defensive rebound by D. Waiters
3:45.0,,,93-106,,Turnover by K. Durant (3 sec)
3:37.0,J. Wall misses 2-pt shot from 4 ft,,93-106,,
3:37.0,,,93-106,,Defensive rebound by S. Adams
3:27.0,,,93-106,,K. Durant misses 3-pt shot from 24 ft
3:26.0,Defensive rebound by B. Beal,,93-106,,
3:16.0,B. Beal makes 3-pt shot from 25 ft (assist by D. Blair),3,96-106,,
3:15.0,,,96-106,,Oklahoma City full timeout
2:56.0,,,96-108,2,S. Ibaka makes 2-pt shot from 17 ft (assist by K. Durant)
2:43.0,B. Beal misses 3-pt shot from 24 ft,,96-108,,
2:43.0,Offensive rebound by Team,,96-108,,
2:30.0,D. Blair misses 2-pt shot from 1 ft (block by S. Ibaka),,96-108,,
2:29.0,,,96-108,,Defensive rebound by D. Waiters
2:25.0,,,96-108,,K. Durant misses 3-pt shot from 25 ft
2:20.0,,,96-108,,Offensive rebound by K. Durant
2:15.0,,,96-108,,Turnover by K. Durant (lost ball; steal by J. Wall)
2:02.0,G. Temple misses 3-pt shot from 22 ft,,96-108,,
2:01.0,,,96-108,,Defensive rebound by K. Durant
1:46.0,,,96-108,,K. Durant misses 3-pt shot from 24 ft
