time,Charlotte,pts.away,score,pts.home,Toronto
2:33.0,,,22-22,,Toronto full timeout
2:33.0,B. Roberts enters the game for P. Hairston,,22-22,,
2:33.0,T. Hansbrough enters the game for C. Zeller,,22-22,,
2:33.0,,,22-22,,C. Joseph enters the game for K. Lowry
2:25.0,,,22-22,,D. DeRozan misses 2-pt shot from 7 ft
2:24.0,Defensive rebound by F. Kaminsky,,22-22,,
2:22.0,Turnover by F. Kaminsky (lost ball; steal by P. Patterson),,22-22,,
2:13.0,Def 3 sec tech foul by T. Hansbrough,,22-22,,
2:13.0,,,22-23,1,D. DeRozan makes technical free throw
2:01.0,,,22-25,2,C. Joseph makes 2-pt shot from 20 ft
1:52.0,,,22-25,,Personal foul by T. Ross (drawn by B. Roberts)
1:44.0,Shooting foul by T. Ross (drawn by B. Roberts),,22-25,,
1:44.0,B. Roberts makes free throw 1 of 2,1,23-25,,
1:44.0,B. Roberts makes free throw 2 of 2,1,24-25,,
1:25.0,,,24-25,,P. Patterson misses 2-pt shot from 6 ft
1:25.0,Defensive rebound by F. Kaminsky,,24-25,,
1:14.0,K. Walker makes 2-pt shot from 2 ft,2,26-25,,
1:04.0,,,26-27,2,D. DeRozan makes 2-pt shot from 2 ft
0:44.0,K. Walker misses 2-pt shot from 18 ft,,26-27,,
0:43.0,,,26-27,,Defensive rebound by B. Biyombo
0:34.0,,,26-29,2,D. DeRozan makes 2-pt shot from 2 ft
0:20.0,J. Lamb misses 2-pt shot from 1 ft,,26-29,,
0:20.0,Offensive rebound by T. Hansbrough,,26-29,,
0:17.0,T. Hansbrough misses 2-pt shot from 2 ft,,26-29,,
0:16.0,Offensive rebound by F. Kaminsky,,26-29,,
0:02.0,B. Roberts makes 2-pt shot from 21 ft,2,28-29,,
0:00.0,,,28-29,,C. Joseph misses 3-pt shot from 30 ft
0:00.0,,,28-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:53.0,,,28-29,,Personal foul by T. Ross (drawn by N. Batum)
11:53.0,,,28-29,,J. Johnson enters the game for T. Ross
11:42.0,T. Hansbrough misses 2-pt shot from 1 ft (block by B. Biyombo),,28-29,,
11:40.0,Offensive rebound by T. Hansbrough,,28-29,,
11:37.0,T. Hansbrough misses 2-pt shot from 1 ft,,28-29,,
11:36.0,Offensive rebound by J. Lamb,,28-29,,
11:33.0,J. Lamb misses 2-pt shot from 1 ft,,28-29,,
11:33.0,,,28-29,,Defensive rebound by B. Biyombo
11:18.0,,,28-29,,K. Lowry misses 3-pt shot from 24 ft
11:17.0,Defensive rebound by T. Hansbrough,,28-29,,
10:59.0,F. Kaminsky makes 2-pt shot from 3 ft,2,30-29,,
10:45.0,Personal foul by T. Hansbrough (drawn by K. Lowry),,30-29,,
10:33.0,,,30-32,3,P. Patterson makes 3-pt shot from 24 ft (assist by C. Joseph)
10:26.0,Charlotte full timeout,,30-32,,
10:14.0,J. Lamb makes 2-pt shot from 12 ft,2,32-32,,
9:49.0,,,32-34,2,P. Patterson makes 2-pt shot from 11 ft
9:38.0,,,32-34,,Violation by B. Biyombo (kicked ball)
9:29.0,B. Roberts makes 2-pt shot from 8 ft (assist by N. Batum),2,34-34,,
9:19.0,,,34-36,2,C. Joseph makes 2-pt shot from 1 ft
8:57.0,Shooting foul by K. Lowry (drawn by F. Kaminsky),,34-36,,
8:57.0,F. Kaminsky makes free throw 1 of 2,1,35-36,,
8:57.0,F. Kaminsky makes free throw 2 of 2,1,36-36,,
8:45.0,,,36-38,2,C. Joseph makes 2-pt shot from 18 ft (assist by K. Lowry)
8:31.0,F. Kaminsky misses 3-pt shot from 25 ft,,36-38,,
8:30.0,,,36-38,,Defensive rebound by C. Joseph
8:24.0,,,36-38,,K. Lowry misses 2-pt shot from 7 ft
8:23.0,Defensive rebound by B. Roberts,,36-38,,
8:21.0,,,36-38,,Personal block foul by P. Patterson (drawn by B. Roberts)
8:00.0,T. Hansbrough misses 2-pt shot from 2 ft (block by B. Biyombo),,36-38,,
7:59.0,Offensive rebound by T. Hansbrough,,36-38,,
7:57.0,T. Hansbrough makes 2-pt shot at rim,2,38-38,,
7:34.0,,,38-38,,K. Lowry misses 3-pt shot from 24 ft
7:34.0,Defensive rebound by J. Lamb,,38-38,,
7:22.0,F. Kaminsky makes 3-pt shot from 24 ft (assist by J. Lamb),3,41-38,,
7:05.0,,,41-40,2,B. Biyombo makes 2-pt shot at rim (assist by C. Joseph)
6:51.0,N. Batum makes 3-pt shot from 24 ft (assist by F. Kaminsky),3,44-40,,
6:43.0,,,44-40,,Toronto full timeout
6:43.0,C. Zeller enters the game for J. Lamb,,44-40,,
6:43.0,P. Hairston enters the game for T. Hansbrough,,44-40,,
6:43.0,,,44-40,,L. Scola enters the game for P. Patterson
6:43.0,,,44-40,,D. Carroll enters the game for B. Biyombo
6:43.0,,,44-40,,D. DeRozan enters the game for C. Joseph
6:43.0,,,44-40,,J. Valanciunas enters the game for J. Johnson
6:30.0,,,44-42,2,D. DeRozan makes 2-pt shot from 19 ft (assist by K. Lowry)
6:04.0,N. Batum misses 2-pt shot from 20 ft,,44-42,,
6:04.0,Offensive rebound by Team,,44-42,,
6:04.0,Turnover by Team (shot clock),,44-42,,
5:41.0,,,44-42,,K. Lowry misses 2-pt shot from 5 ft
5:40.0,,,44-42,,Offensive rebound by J. Valanciunas
5:37.0,,,44-44,2,J. Valanciunas makes 2-pt shot from 1 ft
5:23.0,F. Kaminsky makes 2-pt shot from 4 ft,2,46-44,,
5:02.0,,,46-44,,Shooting foul by C. Zeller (drawn by J. Valanciunas)
5:02.0,,,46-45,1,J. Valanciunas makes free throw 1 of 2
5:02.0,M. Williams enters the game for C. Zeller,,46-45,,
5:02.0,K. Walker enters the game for B. Roberts,,46-45,,
5:02.0,,,46-46,1,J. Valanciunas makes free throw 2 of 2
4:45.0,M. Williams makes 2-pt shot from 8 ft,2,48-46,,
4:27.0,Personal foul by M. Williams (drawn by L. Scola),,48-46,,
4:21.0,Shooting block foul by F. Kaminsky (drawn by D. DeRozan),,48-46,,
4:21.0,,,48-47,1,D. DeRozan makes free throw 1 of 2
4:21.0,J. Lamb enters the game for P. Hairston,,48-47,,
4:21.0,,,48-48,1,D. DeRozan makes free throw 2 of 2
4:09.0,K. Walker misses 3-pt shot from 24 ft,,48-48,,
4:08.0,,,48-48,,Defensive rebound by J. Valanciunas
3:55.0,,,48-48,,Turnover by D. Carroll (bad pass; steal by F. Kaminsky)
3:47.0,M. Williams makes 2-pt shot from 7 ft (assist by N. Batum),2,50-48,,
3:21.0,,,50-48,,D. Carroll misses 2-pt shot from 20 ft
3:20.0,,,50-48,,Offensive rebound by K. Lowry
3:16.0,,,50-50,2,K. Lowry makes 2-pt shot at rim
3:04.0,,,50-50,,Def 3 sec tech foul by J. Valanciunas
3:04.0,N. Batum makes technical free throw,1,51-50,,
2:51.0,K. Walker misses 2-pt shot from 19 ft,,51-50,,
2:50.0,,,51-50,,Defensive rebound by J. Valanciunas
2:42.0,Shooting block foul by J. Lamb (drawn by K. Lowry),,51-50,,
2:42.0,Official timeout,,51-50,,
2:42.0,,,51-51,1,K. Lowry makes free throw 1 of 2
2:42.0,,,51-52,1,K. Lowry makes free throw 2 of 2
2:25.0,F. Kaminsky misses 3-pt shot from 25 ft,,51-52,,
2:23.0,Offensive rebound by M. Williams,,51-52,,
2:09.0,K. Walker makes 2-pt shot from 1 ft,2,53-52,,
1:46.0,,,53-55,3,D. DeRozan makes 3-pt shot from 24 ft (assist by K. Lowry)
1:26.0,M. Williams misses 2-pt shot from 2 ft,,53-55,,
1:26.0,,,53-55,,Defensive rebound by L. Scola
1:13.0,,,53-55,,D. Carroll misses 3-pt shot from 25 ft
1:13.0,Defensive rebound by K. Walker,,53-55,,
1:04.0,J. Lamb misses 3-pt shot from 25 ft,,53-55,,
1:03.0,,,53-55,,Defensive rebound by L. Scola
1:01.0,,,53-55,,Toronto full timeout
1:01.0,,,53-55,,C. Joseph enters the game for K. Lowry
0:50.0,,,53-55,,D. DeRozan misses 2-pt shot from 3 ft (block by J. Lamb)
0:48.0,Defensive rebound by M. Williams,,53-55,,
0:38.0,K. Walker misses 3-pt shot from 25 ft,,53-55,,
0:37.0,Offensive rebound by F. Kaminsky,,53-55,,
0:18.0,Shooting foul by C. Joseph (drawn by K. Walker),,53-55,,
0:18.0,K. Walker makes free throw 1 of 2,1,54-55,,
0:18.0,K. Walker makes free throw 2 of 2,1,55-55,,
0:06.0,,,55-55,,L. Scola misses 3-pt shot from 22 ft
0:05.0,Defensive rebound by J. Lamb,,55-55,,
0:00.0,K. Walker misses 3-pt shot from 27 ft,,55-55,,
0:00.0,Offensive rebound by Team,,55-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,C. Zeller makes 2-pt shot from 2 ft (assist by N. Batum),2,57-55,,
11:28.0,,,57-55,,Offensive foul by J. Valanciunas
11:28.0,,,57-55,,Turnover by J. Valanciunas (offensive foul)
11:17.0,P. Hairston misses 3-pt shot from 24 ft,,57-55,,
11:16.0,,,57-55,,Defensive rebound by J. Valanciunas
10:54.0,,,57-55,,D. DeRozan misses 2-pt shot from 15 ft
10:53.0,,,57-55,,Offensive rebound by J. Valanciunas
10:51.0,,,57-55,,J. Valanciunas misses 2-pt shot at rim
10:50.0,Defensive rebound by C. Zeller,,57-55,,
10:41.0,K. Walker makes 2-pt shot from 8 ft,2,59-55,,
10:16.0,,,59-55,,D. Carroll misses 3-pt shot from 22 ft (block by N. Batum)
10:15.0,Defensive rebound by P. Hairston,,59-55,,
10:09.0,K. Walker makes 3-pt shot from 24 ft,3,62-55,,
10:09.0,,,62-55,,Toronto full timeout
9:50.0,,,62-55,,D. DeRozan misses 2-pt shot from 10 ft
9:49.0,Defensive rebound by N. Batum,,62-55,,
9:42.0,Turnover by N. Batum (bad pass; steal by D. Carroll),,62-55,,
9:35.0,,,62-55,,D. Carroll misses 2-pt shot from 1 ft
9:34.0,,,62-55,,Offensive rebound by J. Valanciunas
9:32.0,,,62-55,,J. Valanciunas misses 2-pt shot at rim
9:31.0,,,62-55,,Offensive rebound by J. Valanciunas
9:28.0,,,62-55,,J. Valanciunas misses 2-pt shot from 1 ft
9:27.0,,,62-55,,Offensive rebound by D. Carroll
9:27.0,,,62-55,,D. Carroll misses 2-pt shot from 1 ft
9:27.0,,,62-55,,Offensive rebound by L. Scola
9:25.0,,,62-55,,L. Scola misses 2-pt shot from 2 ft
9:23.0,Defensive rebound by K. Walker,,62-55,,
9:15.0,N. Batum misses 3-pt shot from 25 ft,,62-55,,
9:15.0,,,62-55,,Defensive rebound by L. Scola
9:07.0,,,62-55,,J. Valanciunas misses 2-pt shot from 2 ft
9:05.0,,,62-55,,Offensive rebound by J. Valanciunas
8:59.0,,,62-57,2,J. Valanciunas makes 2-pt shot from 8 ft
8:59.0,,,62-57,,Shooting foul by C. Zeller (drawn by J. Valanciunas)
8:59.0,,,62-57,,J. Valanciunas misses free throw 1 of 1
8:58.0,Defensive rebound by C. Zeller,,62-57,,
8:40.0,Shooting foul by L. Scola (drawn by C. Zeller),,62-57,,
8:40.0,C. Zeller makes free throw 1 of 2,1,63-57,,
8:40.0,C. Zeller makes free throw 2 of 2,1,64-57,,
8:23.0,,,64-59,2,L. Scola makes 2-pt shot from 1 ft (assist by K. Lowry)
8:01.0,P. Hairston misses 3-pt shot from 24 ft,,64-59,,
8:01.0,,,64-59,,Defensive rebound by J. Valanciunas
7:45.0,,,64-59,,D. DeRozan misses 2-pt shot from 1 ft (block by K. Walker)
7:43.0,Defensive rebound by K. Walker,,64-59,,
7:36.0,Turnover by K. Walker (bad pass; steal by K. Lowry),,64-59,,
7:36.0,,,64-59,,L. Scola misses 2-pt shot from 2 ft (block by C. Zeller)
7:35.0,,,64-59,,Offensive rebound by K. Lowry
7:30.0,,,64-62,3,D. Carroll makes 3-pt shot from 24 ft (assist by K. Lowry)
7:17.0,,,64-62,,Personal foul by K. Lowry (drawn by M. Williams)
7:06.0,M. Williams misses 2-pt shot from 12 ft,,64-62,,
7:06.0,,,64-62,,Defensive rebound by L. Scola
6:57.0,,,64-62,,K. Lowry misses 3-pt shot from 24 ft
6:56.0,,,64-62,,Offensive rebound by D. Carroll
6:53.0,,,64-64,2,D. Carroll makes 2-pt shot from 2 ft
6:53.0,Charlotte full timeout,,64-64,,
6:42.0,C. Zeller makes 2-pt shot from 4 ft (assist by N. Batum),2,66-64,,
6:19.0,,,66-64,,J. Valanciunas misses 2-pt shot from 5 ft
6:19.0,Defensive rebound by P. Hairston,,66-64,,
6:09.0,K. Walker makes 2-pt shot from 13 ft,2,68-64,,
5:46.0,,,68-64,,L. Scola misses 3-pt shot from 23 ft
5:44.0,Defensive rebound by P. Hairston,,68-64,,
5:24.0,C. Zeller makes 2-pt shot at rim (assist by M. Williams),2,70-64,,
5:04.0,,,70-64,,D. DeRozan misses 2-pt shot from 13 ft
5:03.0,,,70-64,,Offensive rebound by Team
5:03.0,,,70-64,,T. Ross enters the game for D. Carroll
5:03.0,,,70-64,,P. Patterson enters the game for L. Scola
4:47.0,,,70-67,3,T. Ross makes 3-pt shot from 24 ft (assist by K. Lowry)
4:19.0,M. Williams misses 3-pt shot from 27 ft,,70-67,,
4:17.0,Offensive rebound by C. Zeller,,70-67,,
4:17.0,,,70-67,,B. Biyombo enters the game for J. Valanciunas
4:17.0,F. Kaminsky enters the game for M. Williams,,70-67,,
4:16.0,Turnover by N. Batum (inbound),,70-67,,
4:10.0,,,70-67,,T. Ross misses 3-pt shot from 24 ft
4:09.0,,,70-67,,Offensive rebound by K. Lowry
4:05.0,,,70-69,2,K. Lowry makes 2-pt shot from 1 ft
3:59.0,,,70-69,,Personal foul by T. Ross (drawn by N. Batum)
3:53.0,N. Batum makes 3-pt shot from 24 ft (assist by F. Kaminsky),3,73-69,,
3:46.0,,,73-69,,Shooting foul by F. Kaminsky (drawn by D. DeRozan)
3:46.0,,,73-70,1,D. DeRozan makes free throw 1 of 2
3:46.0,J. Lamb enters the game for P. Hairston,,73-70,,
3:46.0,,,73-71,1,D. DeRozan makes free throw 2 of 2
3:26.0,K. Walker makes 3-pt shot from 25 ft,3,76-71,,
3:12.0,,,76-71,,P. Patterson misses 3-pt shot from 25 ft
3:11.0,,,76-71,,Offensive rebound by B. Biyombo
3:09.0,,,76-71,,Turnover by B. Biyombo (bad pass; steal by K. Walker)
3:09.0,,,76-71,,Personal foul by K. Lowry (drawn by K. Walker)
3:09.0,,,76-71,,C. Joseph enters the game for K. Lowry
2:51.0,K. Walker misses 2-pt shot from 20 ft,,76-71,,
2:51.0,,,76-71,,Defensive rebound by B. Biyombo
2:37.0,,,76-71,,C. Joseph misses 2-pt shot from 2 ft
2:37.0,,,76-71,,Offensive rebound by B. Biyombo
2:34.0,,,76-71,,B. Biyombo misses 2-pt shot from 2 ft (block by C. Zeller)
2:33.0,Defensive rebound by K. Walker,,76-71,,
2:23.0,Turnover by N. Batum (bad pass),,76-71,,
2:11.0,,,76-71,,D. DeRozan misses 2-pt shot from 10 ft
2:11.0,,,76-71,,Offensive rebound by P. Patterson
2:00.0,,,76-71,,P. Patterson misses 2-pt shot from 4 ft
2:00.0,,,76-71,,Offensive rebound by P. Patterson
2:00.0,,,76-71,,C. Joseph misses 2-pt shot from 1 ft
1:59.0,Defensive rebound by C. Zeller,,76-71,,
1:42.0,,,76-71,,Personal foul by D. DeRozan (drawn by N. Batum)
1:42.0,,,76-71,,Technical foul by D. DeRozan (drawn by N. Batum)
1:42.0,N. Batum misses technical free throw,,76-71,,
1:42.0,Offensive rebound by Team,,76-71,,
1:42.0,N. Batum makes free throw 1 of 2,1,77-71,,
1:42.0,T. Hansbrough enters the game for C. Zeller,,77-71,,
1:42.0,B. Roberts enters the game for K. Walker,,77-71,,
1:42.0,N. Batum makes free throw 2 of 2,1,78-71,,
1:29.0,,,78-71,,T. Ross misses 3-pt shot from 22 ft
1:29.0,,,78-71,,Offensive rebound by Team
1:29.0,Loose ball foul by N. Batum (drawn by B. Biyombo),,78-71,,
1:20.0,,,78-71,,Turnover by B. Biyombo (lost ball)
1:03.0,F. Kaminsky makes 2-pt shot from 5 ft,2,80-71,,
0:47.0,,,80-74,3,P. Patterson makes 3-pt shot from 24 ft (assist by C. Joseph)
0:33.0,B. Roberts misses 3-pt shot from 23 ft,,80-74,,
0:32.0,,,80-74,,Defensive rebound by P. Patterson
0:13.0,,,80-74,,T. Ross misses 3-pt shot from 24 ft
0:12.0,Defensive rebound by J. Lamb,,80-74,,
0:01.0,B. Roberts makes 2-pt shot from 2 ft,2,82-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,82-77,3,P. Patterson makes 3-pt shot from 23 ft (assist by K. Lowry)
11:26.0,T. Hansbrough misses 2-pt shot from 3 ft (block by B. Biyombo),,82-77,,
11:26.0,Offensive rebound by Team,,82-77,,
11:22.0,J. Lamb misses 2-pt shot from 1 ft,,82-77,,
11:22.0,Offensive rebound by B. Roberts,,82-77,,
11:18.0,B. Roberts misses 3-pt shot from 24 ft,,82-77,,
11:17.0,,,82-77,,Defensive rebound by P. Patterson
11:11.0,,,82-77,,T. Ross misses 2-pt shot from 19 ft
11:11.0,,,82-77,,Offensive rebound by Team
11:11.0,Loose ball foul by T. Hansbrough (drawn by B. Biyombo),,82-77,,
11:03.0,,,82-77,,Shooting foul by F. Kaminsky (drawn by B. Biyombo)
11:03.0,,,82-78,1,B. Biyombo makes free throw 1 of 2
11:03.0,,,82-79,1,B. Biyombo makes free throw 2 of 2
10:45.0,F. Kaminsky misses 3-pt shot from 24 ft,,82-79,,
10:44.0,,,82-79,,Defensive rebound by T. Ross
10:39.0,,,82-79,,Turnover by K. Lowry (bad pass)
10:31.0,Offensive foul by N. Batum,,82-79,,
10:31.0,Turnover by N. Batum (offensive foul),,82-79,,
10:20.0,,,82-82,3,P. Patterson makes 3-pt shot from 24 ft (assist by C. Joseph)
10:04.0,Turnover by T. Hansbrough (traveling),,82-82,,
9:48.0,,,82-82,,Turnover by P. Patterson (lost ball; steal by F. Kaminsky)
9:42.0,F. Kaminsky makes 2-pt shot from 1 ft,2,84-82,,
9:32.0,,,84-82,,Turnover by K. Lowry (lost ball; steal by F. Kaminsky)
9:17.0,N. Batum misses 2-pt shot from 15 ft,,84-82,,
9:16.0,,,84-82,,Defensive rebound by P. Patterson
9:06.0,,,84-84,2,B. Biyombo makes 2-pt shot from 1 ft (assist by P. Patterson)
9:06.0,Charlotte full timeout,,84-84,,
9:06.0,K. Walker enters the game for N. Batum,,84-84,,
8:50.0,F. Kaminsky misses 2-pt shot from 8 ft,,84-84,,
8:50.0,,,84-84,,Defensive rebound by B. Biyombo
8:36.0,,,84-84,,T. Ross misses 2-pt shot from 21 ft
8:36.0,,,84-84,,Offensive rebound by Team
8:36.0,Loose ball foul by T. Hansbrough (drawn by B. Biyombo),,84-84,,
8:36.0,C. Zeller enters the game for T. Hansbrough,,84-84,,
8:30.0,,,84-87,3,K. Lowry makes 3-pt shot from 24 ft (assist by C. Joseph)
8:01.0,K. Walker makes 2-pt shot from 14 ft,2,86-87,,
7:46.0,,,86-89,2,K. Lowry makes 2-pt shot from 1 ft
7:37.0,,,86-89,,Personal foul by P. Patterson (drawn by J. Lamb)
7:29.0,K. Walker misses 2-pt shot from 15 ft,,86-89,,
7:29.0,,,86-89,,Defensive rebound by T. Ross
7:19.0,,,86-89,,Turnover by B. Biyombo (3 sec)
7:07.0,,,86-89,,Personal foul by P. Patterson (drawn by F. Kaminsky)
7:07.0,,,86-89,,Violation by Team (delay of game)
6:54.0,J. Lamb misses 2-pt shot from 1 ft,,86-89,,
6:54.0,,,86-89,,Defensive rebound by T. Ross
6:42.0,,,86-89,,K. Lowry misses 3-pt shot from 23 ft
6:41.0,Defensive rebound by J. Lamb,,86-89,,
6:33.0,J. Lamb misses 3-pt shot from 24 ft,,86-89,,
6:32.0,,,86-89,,Defensive rebound by P. Patterson
6:22.0,,,86-89,,K. Lowry misses 2-pt shot from 4 ft
6:22.0,,,86-89,,Offensive rebound by T. Ross
6:15.0,,,86-92,3,T. Ross makes 3-pt shot from 25 ft (assist by C. Joseph)
6:14.0,Charlotte full timeout,,86-92,,
6:14.0,N. Batum enters the game for F. Kaminsky,,86-92,,
6:14.0,M. Williams enters the game for B. Roberts,,86-92,,
5:56.0,,,86-92,,Shooting block foul by B. Biyombo (drawn by M. Williams)
5:56.0,Official timeout,,86-92,,
5:56.0,,,86-92,,D. DeRozan enters the game for C. Joseph
5:56.0,M. Williams makes free throw 1 of 2,1,87-92,,
5:56.0,M. Williams makes free throw 2 of 2,1,88-92,,
5:44.0,,,88-94,2,T. Ross makes 2-pt shot at rim (assist by K. Lowry)
5:15.0,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum),3,91-94,,
4:54.0,,,91-94,,T. Ross misses 3-pt shot from 24 ft
4:54.0,Defensive rebound by N. Batum,,91-94,,
4:45.0,M. Williams makes 3-pt shot from 24 ft (assist by N. Batum),3,94-94,,
4:19.0,,,94-94,,D. DeRozan misses 2-pt shot from 7 ft
4:18.0,Defensive rebound by C. Zeller,,94-94,,
4:07.0,M. Williams misses 3-pt shot from 24 ft,,94-94,,
4:06.0,Offensive rebound by J. Lamb,,94-94,,
4:03.0,,,94-94,,Personal foul by K. Lowry (drawn by M. Williams)
4:03.0,,,94-94,,D. Carroll enters the game for P. Patterson
3:40.0,K. Walker misses 2-pt shot from 18 ft,,94-94,,
3:40.0,,,94-94,,Defensive rebound by B. Biyombo
3:28.0,,,94-97,3,K. Lowry makes 3-pt shot from 24 ft
3:05.0,J. Lamb misses 2-pt shot from 15 ft,,94-97,,
3:04.0,,,94-97,,Defensive rebound by B. Biyombo
2:54.0,,,94-100,3,D. Carroll makes 3-pt shot from 24 ft (assist by K. Lowry)
2:53.0,Charlotte full timeout,,94-100,,
