time,Orlando,pts.away,score,pts.home,Houston
6:09.0,T. Harris makes 2-pt shot at rim (assist by C. Watson),2,19-16,,
5:52.0,,,19-18,2,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden)
5:38.0,V. Oladipo makes 2-pt shot from 21 ft,2,21-18,,
5:28.0,,,21-18,,T. Lawson misses 2-pt shot from 18 ft
5:27.0,Defensive rebound by E. Fournier,,21-18,,
5:17.0,Turnover by V. Oladipo (bad pass; steal by T. Ariza),,21-18,,
5:08.0,,,21-21,3,T. Lawson makes 3-pt shot from 25 ft (assist by T. Ariza)
5:08.0,Orlando full timeout,,21-21,,
5:08.0,,,21-21,,P. Beverley enters the game for T. Ariza
5:08.0,,,21-21,,C. Brewer enters the game for T. Lawson
4:52.0,C. Watson makes 3-pt shot from 24 ft (assist by N. Vucevic),3,24-21,,
4:39.0,,,24-21,,C. Capela misses 2-pt shot from 2 ft (block by N. Vucevic)
4:38.0,Defensive rebound by V. Oladipo,,24-21,,
4:33.0,T. Harris makes 3-pt shot from 23 ft (assist by V. Oladipo),3,27-21,,
4:17.0,,,27-23,2,J. Harden makes 2-pt shot at rim
4:07.0,V. Oladipo makes 3-pt shot from 23 ft (assist by T. Harris),3,30-23,,
3:51.0,,,30-25,2,M. Thornton makes 2-pt shot from 1 ft (assist by C. Capela)
3:47.0,Turnover by C. Watson (lost ball; steal by P. Beverley),,30-25,,
3:45.0,,,30-25,,P. Beverley misses 2-pt shot from 2 ft
3:43.0,,,30-25,,Offensive rebound by J. Harden
3:43.0,,,30-25,,J. Harden misses 2-pt shot from 3 ft
3:41.0,Defensive rebound by E. Fournier,,30-25,,
3:37.0,E. Fournier makes 2-pt shot at rim,2,32-25,,
3:37.0,,,32-25,,Shooting block foul by C. Brewer (drawn by E. Fournier)
3:37.0,D. Dedmon enters the game for T. Harris,,32-25,,
3:37.0,A. Gordon enters the game for N. Vucevic,,32-25,,
3:37.0,M. Hezonja enters the game for V. Oladipo,,32-25,,
3:37.0,E. Fournier makes free throw 1 of 1,1,33-25,,
3:18.0,,,33-28,3,M. Thornton makes 3-pt shot from 24 ft (assist by C. Brewer)
3:07.0,A. Gordon misses 2-pt shot from 10 ft,,33-28,,
3:06.0,,,33-28,,Defensive rebound by C. Capela
2:57.0,,,33-28,,Shooting foul by D. Dedmon (drawn by J. Harden)
2:57.0,,,33-28,,Houston full timeout
2:57.0,,,33-28,,T. Ariza enters the game for M. Thornton
2:57.0,,,33-29,1,J. Harden makes free throw 1 of 2
2:57.0,,,33-30,1,J. Harden makes free throw 2 of 2
2:34.0,C. Watson misses 2-pt shot from 20 ft,,33-30,,
2:33.0,,,33-30,,Defensive rebound by J. Harden
2:10.0,,,33-33,3,T. Ariza makes 3-pt shot from 27 ft (assist by J. Harden)
2:07.0,,,33-33,,Personal foul by P. Beverley (drawn by C. Watson)
1:51.0,A. Gordon makes 2-pt shot from 15 ft,2,35-33,,
1:43.0,Shooting block foul by A. Gordon (drawn by T. Ariza),,35-33,,
1:43.0,,,35-34,1,T. Ariza makes free throw 1 of 2
1:43.0,,,35-34,,D. Howard enters the game for C. Capela
1:43.0,,,35-34,,T. Lawson enters the game for J. Harden
1:43.0,,,35-34,,T. Ariza misses free throw 2 of 2
1:43.0,Defensive rebound by D. Dedmon,,35-34,,
1:27.0,E. Fournier misses 2-pt shot from 8 ft,,35-34,,
1:26.0,,,35-34,,Defensive rebound by D. Howard
1:20.0,,,35-34,,P. Beverley misses 2-pt shot at rim
1:19.0,Defensive rebound by D. Dedmon,,35-34,,
1:04.0,Turnover by A. Gordon (lost ball; steal by T. Ariza),,35-34,,
1:00.0,,,35-34,,Offensive charge foul by T. Ariza
1:00.0,,,35-34,,Turnover by T. Ariza (offensive foul)
0:40.0,E. Fournier misses 3-pt shot from 24 ft,,35-34,,
0:39.0,,,35-34,,Defensive rebound by T. Lawson
0:29.0,,,35-34,,Shooting foul by D. Dedmon (drawn by D. Howard)
0:29.0,,,35-34,,D. Howard misses free throw 1 of 2
0:29.0,,,35-34,,Offensive rebound by Team
0:29.0,J. Smith enters the game for D. Dedmon,,35-34,,
0:29.0,,,35-34,,D. Howard misses free throw 2 of 2
0:29.0,Defensive rebound by A. Gordon,,35-34,,
0:12.0,C. Watson misses 3-pt shot from 24 ft,,35-34,,
0:11.0,,,35-34,,Defensive rebound by P. Beverley
0:04.0,,,35-34,,C. Brewer misses 3-pt shot from 23 ft
0:03.0,Defensive rebound by E. Fournier,,35-34,,
0:00.0,E. Fournier misses 3-pt shot from 47 ft,,35-34,,
0:00.0,Offensive rebound by Team,,35-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,V. Oladipo makes 2-pt shot at rim (assist by E. Payton),2,37-34,,
11:34.0,Def 3 sec tech foul by M. Hezonja,,37-34,,
11:34.0,,,37-35,1,T. Ariza makes technical free throw
11:28.0,,,37-35,,Turnover by D. Howard (traveling)
11:09.0,J. Smith misses 2-pt shot from 16 ft,,37-35,,
11:08.0,,,37-35,,Defensive rebound by P. Beverley
11:03.0,,,37-37,2,D. Howard makes 2-pt shot at rim (assist by C. Brewer)
10:49.0,E. Payton makes 3-pt shot from 24 ft (assist by V. Oladipo),3,40-37,,
10:36.0,,,40-39,2,T. Lawson makes 2-pt shot from 14 ft
10:13.0,,,40-39,,Personal foul by C. Brewer (drawn by M. Hezonja)
10:07.0,J. Smith makes 2-pt shot from 12 ft (assist by E. Payton),2,42-39,,
9:55.0,,,42-42,3,P. Beverley makes 3-pt shot from 23 ft (assist by D. Howard)
9:40.0,E. Payton misses 2-pt shot from 18 ft,,42-42,,
9:39.0,,,42-42,,Defensive rebound by T. Ariza
9:25.0,,,42-44,2,D. Howard makes 2-pt shot from 2 ft (assist by T. Lawson)
9:14.0,M. Hezonja misses 2-pt shot from 18 ft,,42-44,,
9:13.0,Offensive rebound by A. Gordon,,42-44,,
9:11.0,A. Gordon misses 2-pt shot from 1 ft,,42-44,,
9:10.0,,,42-44,,Defensive rebound by D. Howard
9:07.0,,,42-44,,Turnover by D. Howard (bad pass; steal by V. Oladipo)
9:00.0,,,42-44,,Flagrant foul type 1 by D. Howard (drawn by A. Gordon)
9:00.0,A. Gordon makes flagrant free throw 1 of 2,1,43-44,,
9:00.0,A. Gordon makes flagrant free throw 2 of 2,1,44-44,,
9:00.0,,,44-44,,C. Capela enters the game for D. Howard
9:00.0,N. Vucevic enters the game for A. Gordon,,44-44,,
9:00.0,T. Harris enters the game for J. Smith,,44-44,,
8:54.0,V. Oladipo misses 2-pt shot from 5 ft,,44-44,,
8:53.0,,,44-44,,Defensive rebound by T. Ariza
8:52.0,,,44-44,,Turnover by T. Ariza (bad pass)
8:52.0,Official timeout,,44-44,,
8:42.0,N. Vucevic misses 2-pt shot from 19 ft,,44-44,,
8:41.0,,,44-44,,Defensive rebound by T. Ariza
8:17.0,,,44-44,,P. Beverley misses 3-pt shot from 24 ft
8:16.0,,,44-44,,Offensive rebound by C. Capela
8:06.0,,,44-44,,T. Lawson misses 3-pt shot from 25 ft
8:05.0,Defensive rebound by T. Harris,,44-44,,
7:50.0,Offensive charge foul by T. Harris,,44-44,,
7:50.0,Turnover by T. Harris (offensive foul),,44-44,,
7:50.0,,,44-44,,M. Thornton enters the game for P. Beverley
7:50.0,,,44-44,,J. Harden enters the game for C. Brewer
7:50.0,E. Fournier enters the game for M. Hezonja,,44-44,,
7:43.0,Personal foul by E. Fournier (drawn by J. Harden),,44-44,,
7:30.0,,,44-44,,J. Harden misses 3-pt shot from 24 ft
7:29.0,Defensive rebound by V. Oladipo,,44-44,,
7:23.0,V. Oladipo makes 2-pt shot from 17 ft,2,46-44,,
7:11.0,,,46-46,2,M. Thornton makes 2-pt shot from 13 ft (assist by J. Harden)
6:45.0,E. Payton misses 2-pt shot from 15 ft,,46-46,,
6:45.0,Offensive rebound by Team,,46-46,,
6:45.0,Turnover by Team (shot clock),,46-46,,
6:36.0,,,46-46,,M. Thornton misses 3-pt shot from 25 ft
6:34.0,,,46-46,,Offensive rebound by C. Capela
6:21.0,,,46-49,3,J. Harden makes 3-pt shot from 25 ft (assist by M. Thornton)
6:11.0,,,46-49,,Personal foul by C. Capela (drawn by E. Payton)
6:11.0,,,46-49,,P. Beverley enters the game for T. Lawson
5:59.0,,,46-49,,Houston full timeout
5:53.0,T. Harris misses 3-pt shot from 24 ft,,46-49,,
5:52.0,,,46-49,,Defensive rebound by T. Ariza
5:43.0,Def 3 sec tech foul by N. Vucevic,,46-49,,
5:43.0,,,46-50,1,J. Harden makes technical free throw
5:35.0,,,46-52,2,C. Capela makes 2-pt shot at rim (assist by M. Thornton)
5:15.0,T. Harris makes 2-pt shot from 3 ft (assist by V. Oladipo),2,48-52,,
4:55.0,,,48-55,3,T. Ariza makes 3-pt shot from 26 ft
4:55.0,,,48-55,,Shooting foul by T. Harris (drawn by T. Ariza)
4:55.0,,,48-55,,D. Howard enters the game for C. Capela
4:55.0,A. Gordon enters the game for T. Harris,,48-55,,
4:55.0,,,48-56,1,T. Ariza makes free throw 1 of 1
4:43.0,Shooting foul by P. Beverley (drawn by E. Fournier),,48-56,,
4:43.0,E. Fournier misses free throw 1 of 2,,48-56,,
4:43.0,Offensive rebound by Team,,48-56,,
4:43.0,E. Fournier makes free throw 2 of 2,1,49-56,,
4:28.0,,,49-56,,J. Harden misses 2-pt shot from 17 ft
4:27.0,,,49-56,,Offensive rebound by D. Howard
4:21.0,,,49-56,,Turnover by J. Harden (bad pass; steal by V. Oladipo)
4:04.0,A. Gordon makes 2-pt shot at rim,2,51-56,,
3:47.0,,,51-56,,Turnover by T. Ariza (bad pass; steal by E. Fournier)
3:42.0,V. Oladipo misses 2-pt shot from 1 ft,,51-56,,
3:41.0,Offensive rebound by E. Fournier,,51-56,,
3:41.0,E. Fournier makes 2-pt shot from 1 ft,2,53-56,,
3:28.0,,,53-56,,Offensive foul by D. Howard
3:28.0,,,53-56,,Turnover by D. Howard (offensive foul)
3:28.0,Orlando full timeout,,53-56,,
3:28.0,,,53-56,,C. Brewer enters the game for T. Ariza
3:28.0,,,53-56,,T. Lawson enters the game for P. Beverley
3:11.0,V. Oladipo misses 2-pt shot from 21 ft,,53-56,,
3:10.0,,,53-56,,Defensive rebound by J. Harden
2:58.0,,,53-58,2,D. Howard makes 2-pt shot at rim (assist by T. Lawson)
2:47.0,N. Vucevic makes 2-pt shot from 7 ft,2,55-58,,
2:26.0,,,55-60,2,M. Thornton makes 2-pt shot from 2 ft (assist by D. Howard)
2:00.0,N. Vucevic misses 2-pt shot from 22 ft,,55-60,,
1:59.0,,,55-60,,Defensive rebound by D. Howard
1:46.0,Def 3 sec tech foul by N. Vucevic,,55-60,,
1:46.0,,,55-61,1,J. Harden makes technical free throw
1:46.0,J. Smith enters the game for N. Vucevic,,55-61,,
1:46.0,C. Watson enters the game for E. Payton,,55-61,,
1:46.0,,,55-61,,C. Capela enters the game for D. Howard
1:38.0,,,55-64,3,T. Lawson makes 3-pt shot from 24 ft
1:20.0,,,55-64,,Personal foul by J. Harden (drawn by A. Gordon)
1:20.0,A. Gordon makes free throw 1 of 2,1,56-64,,
1:20.0,A. Gordon makes free throw 2 of 2,1,57-64,,
1:04.0,Shooting block foul by C. Watson (drawn by J. Harden),,57-64,,
1:04.0,,,57-65,1,J. Harden makes free throw 1 of 2
1:04.0,,,57-66,1,J. Harden makes free throw 2 of 2
0:45.0,J. Smith makes 2-pt shot from 14 ft (assist by C. Watson),2,59-66,,
0:32.0,,,59-66,,J. Harden misses 3-pt shot from 24 ft
0:31.0,,,59-66,,Offensive rebound by T. Lawson
0:09.0,,,59-68,2,J. Harden makes 2-pt shot from 20 ft
0:04.0,E. Fournier misses 3-pt shot from 27 ft,,59-68,,
0:03.0,,,59-68,,Defensive rebound by C. Capela
0:00.0,,,59-68,,T. Lawson misses 3-pt shot from 67 ft
0:00.0,,,59-68,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,Shooting foul by D. Howard (drawn by T. Harris),,59-68,,
11:41.0,T. Harris makes free throw 1 of 2,1,60-68,,
11:41.0,T. Harris makes free throw 2 of 2,1,61-68,,
11:26.0,,,61-68,,Shooting foul by T. Harris (drawn by D. Howard)
11:26.0,,,61-69,1,D. Howard makes free throw 1 of 2
11:26.0,,,61-69,,D. Howard misses free throw 2 of 2
11:26.0,Defensive rebound by N. Vucevic,,61-69,,
11:12.0,Turnover by E. Payton (bad pass),,61-69,,
11:02.0,,,61-69,,Turnover by T. Lawson (bad pass; steal by T. Harris)
10:52.0,,,61-69,,Personal foul by D. Howard (drawn by N. Vucevic)
10:52.0,Orlando full timeout,,61-69,,
10:52.0,,,61-69,,C. Capela enters the game for D. Howard
10:52.0,D. Dedmon enters the game for N. Vucevic,,61-69,,
10:45.0,E. Fournier makes 2-pt shot from 14 ft (assist by E. Payton),2,63-69,,
10:32.0,,,63-69,,M. Thornton misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by E. Fournier,,63-69,,
10:21.0,T. Harris misses 2-pt shot from 7 ft,,63-69,,
10:20.0,,,63-69,,Defensive rebound by T. Ariza
10:03.0,,,63-69,,T. Lawson misses 2-pt shot from 23 ft
10:01.0,,,63-69,,Offensive rebound by M. Thornton
9:58.0,,,63-71,2,M. Thornton makes 2-pt shot from 1 ft
9:45.0,D. Dedmon makes 2-pt shot at rim (assist by E. Payton),2,65-71,,
9:33.0,Personal foul by E. Fournier (drawn by J. Harden),,65-71,,
9:19.0,,,65-71,,Turnover by T. Lawson (bad pass; steal by E. Payton)
9:11.0,V. Oladipo misses 3-pt shot from 22 ft,,65-71,,
9:10.0,,,65-71,,Defensive rebound by M. Thornton
9:03.0,,,65-71,,J. Harden misses 3-pt shot from 24 ft
9:01.0,Defensive rebound by T. Harris,,65-71,,
8:52.0,D. Dedmon makes 2-pt shot from 1 ft (assist by E. Payton),2,67-71,,
8:52.0,,,67-71,,Houston full timeout
8:42.0,,,67-71,,Turnover by T. Lawson (bad pass)
8:30.0,Turnover by E. Payton (bad pass),,67-71,,
8:06.0,,,67-71,,M. Thornton misses 2-pt shot at rim
8:05.0,,,67-71,,Offensive rebound by C. Capela
8:05.0,,,67-73,2,C. Capela makes 2-pt shot at rim
7:51.0,Shooting foul by J. Harden (drawn by T. Harris),,67-73,,
7:51.0,T. Harris misses free throw 1 of 2,,67-73,,
7:51.0,Offensive rebound by Team,,67-73,,
7:51.0,,,67-73,,C. Brewer enters the game for M. Thornton
7:51.0,T. Harris makes free throw 2 of 2,1,68-73,,
7:33.0,,,68-75,2,C. Brewer makes 2-pt shot from 1 ft (assist by T. Ariza)
7:08.0,E. Payton misses 2-pt shot from 18 ft,,68-75,,
7:07.0,,,68-75,,Defensive rebound by J. Harden
6:43.0,,,68-75,,T. Ariza misses 2-pt shot from 6 ft
6:42.0,Defensive rebound by D. Dedmon,,68-75,,
6:29.0,D. Dedmon misses 2-pt shot from 10 ft,,68-75,,
6:27.0,Offensive rebound by T. Harris,,68-75,,
6:26.0,T. Harris makes 2-pt shot at rim,2,70-75,,
6:17.0,,,70-77,2,C. Capela makes 2-pt shot at rim (assist by T. Lawson)
5:51.0,D. Dedmon misses 2-pt shot from 1 ft (block by C. Capela),,70-77,,
5:49.0,,,70-77,,Defensive rebound by C. Brewer
5:45.0,Personal foul by E. Payton (drawn by J. Harden),,70-77,,
5:45.0,,,70-77,,M. Harrell enters the game for C. Capela
5:45.0,C. Watson enters the game for E. Payton,,70-77,,
5:45.0,,,70-77,,J. Terry enters the game for T. Lawson
5:35.0,,,70-80,3,T. Ariza makes 3-pt shot from 22 ft (assist by J. Terry)
5:30.0,Shooting foul by J. Terry (drawn by V. Oladipo),,70-80,,
5:30.0,V. Oladipo makes free throw 1 of 2,1,71-80,,
5:30.0,A. Gordon enters the game for T. Harris,,71-80,,
5:30.0,V. Oladipo makes free throw 2 of 2,1,72-80,,
5:20.0,,,72-80,,Shooting foul by D. Dedmon (drawn by J. Harden)
5:20.0,,,72-80,,J. Harden misses free throw 1 of 2
5:20.0,,,72-80,,Offensive rebound by Team
5:20.0,,,72-81,1,J. Harden makes free throw 2 of 2
4:58.0,E. Fournier makes 2-pt shot from 12 ft (assist by C. Watson),2,74-81,,
4:42.0,,,74-81,,J. Harden misses 3-pt shot from 24 ft
4:40.0,Defensive rebound by V. Oladipo,,74-81,,
4:28.0,E. Fournier makes 3-pt shot from 23 ft,3,77-81,,
4:15.0,,,77-81,,Turnover by J. Harden (bad pass; steal by C. Watson)
4:11.0,E. Fournier makes 2-pt shot at rim (assist by C. Watson),2,79-81,,
3:49.0,,,79-81,,C. Brewer misses 2-pt shot from 6 ft
3:48.0,Defensive rebound by E. Fournier,,79-81,,
3:41.0,V. Oladipo makes 2-pt shot from 1 ft (assist by A. Gordon),2,81-81,,
3:40.0,,,81-81,,Houston full timeout
3:40.0,,,81-81,,T. Lawson enters the game for J. Harden
3:40.0,Violation by Team (delay of game),,81-81,,
3:25.0,,,81-83,2,J. Terry makes 2-pt shot from 11 ft (assist by C. Brewer)
3:05.0,,,81-83,,Def 3 sec tech foul by M. Harrell
3:05.0,V. Oladipo makes technical free throw,1,82-83,,
3:05.0,M. Hezonja enters the game for E. Fournier,,82-83,,
2:55.0,V. Oladipo makes 2-pt shot from 11 ft,2,84-83,,
2:47.0,,,84-83,,Shooting foul by M. Hezonja (drawn by T. Lawson)
2:47.0,,,84-84,1,T. Lawson makes free throw 1 of 2
2:47.0,,,84-84,,C. Capela enters the game for M. Harrell
2:47.0,,,84-85,1,T. Lawson makes free throw 2 of 2
2:24.0,D. Dedmon misses 2-pt shot from 9 ft,,84-85,,
2:23.0,Offensive rebound by A. Gordon,,84-85,,
2:21.0,A. Gordon misses 2-pt shot from 1 ft,,84-85,,
2:20.0,,,84-85,,Defensive rebound by J. Terry
2:13.0,,,84-85,,T. Lawson misses 3-pt shot from 24 ft
2:12.0,,,84-85,,Offensive rebound by Team
2:03.0,,,84-85,,C. Brewer misses 3-pt shot from 23 ft
2:01.0,Defensive rebound by V. Oladipo,,84-85,,
1:45.0,C. Watson makes 2-pt shot from 2 ft,2,86-85,,
1:37.0,,,86-87,2,T. Lawson makes 2-pt shot at rim
1:14.0,Turnover by M. Hezonja (bad pass; steal by C. Capela),,86-87,,
1:01.0,,,86-90,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Terry)
0:45.0,A. Gordon makes 2-pt shot from 12 ft (assist by C. Watson),2,88-90,,
0:39.0,,,88-90,,T. Lawson misses 3-pt shot from 24 ft
0:38.0,Defensive rebound by D. Dedmon,,88-90,,
0:33.0,Turnover by C. Watson (bad pass; steal by T. Ariza),,88-90,,
0:13.0,,,88-90,,C. Brewer misses 2-pt shot from 2 ft (block by D. Dedmon)
0:12.0,,,88-90,,Offensive rebound by Team
0:12.0,,,88-90,,J. Harden enters the game for T. Ariza
0:09.0,,,88-90,,J. Harden misses 3-pt shot from 24 ft (block by A. Gordon)
0:08.0,,,88-90,,Offensive rebound by J. Harden
0:05.0,,,88-90,,J. Harden misses 2-pt shot from 20 ft
0:04.0,,,88-90,,Offensive rebound by C. Brewer
0:02.0,,,88-90,,C. Brewer misses 2-pt shot from 8 ft
0:01.0,Defensive rebound by V. Oladipo,,88-90,,
0:00.0,V. Oladipo misses 3-pt shot from 67 ft,,88-90,,
0:00.0,Offensive rebound by Team,,88-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,88-90,,J. Harden misses 2-pt shot from 2 ft (block by D. Dedmon)
11:39.0,,,88-90,,Offensive rebound by D. Howard
11:38.0,,,88-92,2,D. Howard makes 2-pt shot at rim
11:23.0,E. Fournier makes 3-pt shot from 24 ft (assist by C. Watson),3,91-92,,
10:56.0,,,91-95,3,J. Harden makes 3-pt shot from 23 ft (assist by J. Terry)
10:31.0,S. Napier misses 3-pt shot from 25 ft,,91-95,,
10:29.0,,,91-95,,Defensive rebound by J. Terry
10:18.0,,,91-95,,Turnover by J. Harden (lost ball; steal by D. Dedmon)
10:03.0,Offensive foul by E. Fournier,,91-95,,
10:03.0,Turnover by E. Fournier (offensive foul),,91-95,,
10:03.0,J. Smith enters the game for D. Dedmon,,91-95,,
9:46.0,,,91-97,2,D. Howard makes 2-pt shot at rim (assist by C. Brewer)
9:27.0,J. Smith makes 2-pt shot from 14 ft (assist by S. Napier),2,93-97,,
9:04.0,,,93-97,,C. Brewer misses 2-pt shot from 4 ft (block by J. Smith)
9:03.0,Defensive rebound by S. Napier,,93-97,,
8:56.0,E. Fournier makes 2-pt shot from 3 ft,2,95-97,,
8:37.0,,,95-97,,Turnover by J. Harden (bad pass; steal by C. Watson)
8:33.0,C. Watson makes 2-pt shot at rim,2,97-97,,
8:33.0,,,97-97,,Houston full timeout
8:33.0,,,97-97,,T. Lawson enters the game for J. Terry
8:16.0,,,97-97,,Turnover by T. Lawson (bad pass; steal by C. Watson)
7:59.0,Turnover by J. Smith (lost ball; steal by C. Brewer),,97-97,,
7:55.0,Shooting block foul by E. Fournier (drawn by J. Harden),,97-97,,
7:55.0,,,97-97,,J. Harden misses free throw 1 of 2
7:55.0,,,97-97,,Offensive rebound by Team
7:55.0,,,97-98,1,J. Harden makes free throw 2 of 2
7:39.0,E. Fournier misses 2-pt shot from 3 ft,,97-98,,
7:37.0,Offensive rebound by A. Gordon,,97-98,,
7:37.0,A. Gordon makes 2-pt shot from 1 ft,2,99-98,,
7:12.0,,,99-100,2,M. Thornton makes 2-pt shot from 13 ft (assist by C. Brewer)
6:50.0,J. Smith makes 2-pt shot from 1 ft (assist by E. Fournier),2,101-100,,
6:39.0,,,101-100,,Turnover by M. Thornton (lost ball; steal by C. Watson)
6:28.0,E. Fournier misses 2-pt shot from 1 ft,,101-100,,
6:27.0,,,101-100,,Defensive rebound by D. Howard
6:13.0,,,101-100,,Shooting foul by J. Smith (drawn by D. Howard)
6:13.0,,,101-100,,D. Howard misses free throw 1 of 2
6:13.0,,,101-100,,Offensive rebound by Team
6:13.0,,,101-100,,T. Ariza enters the game for C. Brewer
6:13.0,V. Oladipo enters the game for S. Napier,,101-100,,
6:13.0,,,101-101,1,D. Howard makes free throw 2 of 2
5:54.0,E. Fournier misses 3-pt shot from 23 ft,,101-101,,
5:54.0,,,101-101,,Defensive rebound by D. Howard
5:49.0,Official timeout,,101-101,,
5:49.0,D. Dedmon enters the game for C. Watson,,101-101,,
5:49.0,E. Payton enters the game for J. Smith,,101-101,,
5:33.0,,,101-103,2,T. Ariza makes 2-pt shot from 2 ft (assist by M. Thornton)
5:17.0,Shooting foul by J. Harden (drawn by A. Gordon),,101-103,,
5:17.0,A. Gordon makes free throw 1 of 2,1,102-103,,
5:17.0,A. Gordon misses free throw 2 of 2,,102-103,,
5:17.0,,,102-103,,Defensive rebound by T. Ariza
4:52.0,,,102-103,,J. Harden misses 3-pt shot from 24 ft
4:51.0,Defensive rebound by V. Oladipo,,102-103,,
4:42.0,E. Fournier misses 3-pt shot from 24 ft,,102-103,,
4:41.0,,,102-103,,Defensive rebound by Team
4:26.0,,,102-103,,M. Thornton misses 3-pt shot from 23 ft
4:25.0,Defensive rebound by E. Payton,,102-103,,
4:15.0,A. Gordon makes 2-pt shot at rim (assist by E. Fournier),2,104-103,,
4:02.0,,,104-103,,J. Harden misses 2-pt shot from 1 ft
4:01.0,Defensive rebound by D. Dedmon,,104-103,,
3:58.0,A. Gordon makes 2-pt shot from 1 ft (assist by D. Dedmon),2,106-103,,
3:58.0,Shooting foul by T. Ariza (drawn by A. Gordon),,106-103,,
3:58.0,,,106-103,,C. Brewer enters the game for M. Thornton
3:58.0,A. Gordon misses free throw 1 of 1,,106-103,,
3:58.0,Offensive rebound by E. Payton,,106-103,,
3:52.0,V. Oladipo misses 3-pt shot from 24 ft,,106-103,,
3:51.0,,,106-103,,Defensive rebound by Team
3:39.0,,,106-105,2,T. Lawson makes 2-pt shot from 14 ft
3:24.0,Turnover by D. Dedmon (lost ball; steal by T. Lawson),,106-105,,
3:14.0,,,106-105,,Shooting foul by D. Dedmon (drawn by T. Lawson)
3:14.0,,,106-106,1,T. Lawson makes free throw 1 of 2
3:14.0,,,106-107,1,T. Lawson makes free throw 2 of 2
2:57.0,E. Fournier misses 2-pt shot from 20 ft,,106-107,,
2:54.0,Offensive rebound by A. Gordon,,106-107,,
2:54.0,A. Gordon makes 2-pt shot at rim,2,108-107,,
2:50.0,,,108-107,,Turnover by J. Harden (bad pass; steal by D. Dedmon)
