time,Dallas,pts.away,score,pts.home,Charlotte
7:20.0,C. Parsons misses 3-pt shot from 24 ft,,11-7,,
7:19.0,,,11-7,,Defensive rebound by M. Williams
7:12.0,,,11-10,3,C. Lee makes 3-pt shot from 25 ft (assist by K. Walker)
6:58.0,D. Williams misses 3-pt shot from 23 ft,,11-10,,
6:57.0,Offensive rebound by D. Nowitzki,,11-10,,
6:38.0,Turnover by R. Felton (bad pass),,11-10,,
6:26.0,,,11-10,,N. Batum misses 3-pt shot from 25 ft
6:25.0,Defensive rebound by C. Parsons,,11-10,,
6:11.0,R. Felton misses 2-pt shot from 1 ft (block by N. Batum),,11-10,,
6:09.0,,,11-10,,Defensive rebound by C. Zeller
6:01.0,,,11-10,,Turnover by K. Walker (lost ball; steal by C. Parsons)
5:51.0,D. Nowitzki makes 2-pt shot at rim (assist by W. Matthews),2,13-10,,
5:31.0,,,13-10,,C. Zeller misses 2-pt shot from 1 ft
5:30.0,Defensive rebound by D. Nowitzki,,13-10,,
5:07.0,D. Nowitzki misses 3-pt shot from 24 ft,,13-10,,
5:06.0,,,13-10,,Defensive rebound by C. Lee
4:54.0,,,13-10,,Charlotte full timeout
4:54.0,,,13-10,,J. Lin enters the game for C. Zeller
4:54.0,,,13-10,,A. Jefferson enters the game for C. Lee
4:54.0,D. Lee enters the game for D. Nowitzki,,13-10,,
4:54.0,D. Harris enters the game for R. Felton,,13-10,,
4:42.0,,,13-10,,N. Batum misses 3-pt shot from 25 ft
4:41.0,Defensive rebound by D. Lee,,13-10,,
4:27.0,D. Lee misses 2-pt shot from 1 ft,,13-10,,
4:26.0,,,13-10,,Defensive rebound by A. Jefferson
4:20.0,,,13-10,,K. Walker misses 2-pt shot from 14 ft
4:18.0,Defensive rebound by D. Harris,,13-10,,
4:07.0,,,13-10,,Personal foul by M. Williams
4:07.0,,,13-10,,T. Daniels enters the game for N. Batum
4:01.0,D. Williams makes 2-pt shot from 9 ft,2,15-10,,
3:44.0,,,15-10,,A. Jefferson misses 2-pt shot from 7 ft
3:43.0,Defensive rebound by C. Parsons,,15-10,,
3:21.0,W. Matthews misses 2-pt shot from 10 ft,,15-10,,
3:21.0,,,15-10,,Defensive rebound by Team
3:16.0,Personal foul by D. Williams,,15-10,,
3:16.0,J. Anderson enters the game for W. Matthews,,15-10,,
3:16.0,J. Barea enters the game for D. Williams,,15-10,,
3:16.0,,,15-10,,F. Kaminsky enters the game for M. Williams
3:06.0,,,15-12,2,K. Walker makes 2-pt shot from 16 ft
2:58.0,Dallas full timeout,,15-12,,
2:46.0,D. Harris makes 2-pt shot at rim (assist by J. Barea),2,17-12,,
2:30.0,,,17-12,,T. Daniels misses 3-pt shot from 28 ft
2:29.0,Defensive rebound by D. Harris,,17-12,,
2:21.0,J. Barea misses 2-pt shot from 7 ft,,17-12,,
2:20.0,,,17-12,,Defensive rebound by F. Kaminsky
2:09.0,,,17-12,,Shooting foul by D. Lee (drawn by A. Jefferson)
2:09.0,,,17-12,,A. Jefferson misses free throw 1 of 2
2:09.0,,,17-12,,Offensive rebound by Team
2:09.0,,,17-13,1,A. Jefferson makes free throw 2 of 2
1:58.0,D. Lee makes 2-pt shot from 1 ft (assist by J. Barea),2,19-13,,
1:48.0,,,19-16,3,T. Daniels makes 3-pt shot from 26 ft (assist by K. Walker)
1:30.0,D. Lee misses 2-pt shot from 14 ft,,19-16,,
1:28.0,,,19-16,,Defensive rebound by A. Jefferson
1:17.0,,,19-16,,J. Lin misses 2-pt shot from 17 ft
1:16.0,Defensive rebound by D. Lee,,19-16,,
1:08.0,Turnover by D. Harris (lost ball; steal by T. Daniels),,19-16,,
1:02.0,,,19-16,,F. Kaminsky misses 2-pt shot from 1 ft
1:02.0,,,19-16,,Offensive rebound by F. Kaminsky
1:02.0,,,19-16,,Shooting foul by D. Harris (drawn by F. Kaminsky)
1:02.0,,,19-17,1,F. Kaminsky makes free throw 1 of 2
1:02.0,D. Nowitzki enters the game for C. Parsons,,19-17,,
1:02.0,,,19-17,,F. Kaminsky misses free throw 2 of 2
1:01.0,Defensive rebound by Team,,19-17,,
0:42.0,D. Harris misses 2-pt shot from 2 ft,,19-17,,
0:42.0,Offensive rebound by Team,,19-17,,
0:40.0,D. Harris makes 2-pt shot from 1 ft (assist by J. Barea),2,21-17,,
0:40.0,Shooting foul by J. Lin (drawn by D. Harris),,21-17,,
0:40.0,D. Harris makes free throw 1 of 1,1,22-17,,
0:31.0,,,22-17,,K. Walker misses 3-pt shot from 25 ft
0:30.0,Defensive rebound by D. Nowitzki,,22-17,,
0:10.0,J. Anderson misses 3-pt shot from 23 ft,,22-17,,
0:09.0,,,22-17,,Defensive rebound by F. Kaminsky
0:04.0,,,22-17,,Shooting foul by D. Harris (drawn by K. Walker)
0:04.0,,,22-17,,K. Walker misses free throw 1 of 2
0:04.0,,,22-17,,Offensive rebound by Team
0:04.0,,,22-18,1,K. Walker makes free throw 2 of 2
0:00.0,D. Harris misses 3-pt shot from 30 ft,,22-18,,
0:00.0,Offensive rebound by Team,,22-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,D. Nowitzki misses 2-pt shot from 19 ft,,22-18,,
11:45.0,Offensive rebound by D. Lee,,22-18,,
11:43.0,Turnover by D. Lee (lost ball; steal by A. Jefferson),,22-18,,
11:37.0,,,22-18,,F. Kaminsky misses 2-pt shot from 2 ft (block by D. Nowitzki)
11:37.0,,,22-18,,Offensive rebound by Team
11:24.0,,,22-21,3,T. Daniels makes 3-pt shot from 24 ft (assist by F. Kaminsky)
11:01.0,Shooting foul by F. Kaminsky (drawn by D. Nowitzki),,22-21,,
11:01.0,D. Nowitzki misses free throw 1 of 2,,22-21,,
11:01.0,Offensive rebound by Team,,22-21,,
11:01.0,D. Nowitzki makes free throw 2 of 2,1,23-21,,
10:43.0,,,23-21,,Turnover by N. Batum (lost ball; steal by J. Anderson)
10:38.0,D. Nowitzki misses 3-pt shot from 24 ft,,23-21,,
10:37.0,,,23-21,,Defensive rebound by T. Daniels
10:25.0,,,23-21,,Turnover by A. Jefferson (bad pass)
10:15.0,D. Harris makes 2-pt shot from 11 ft,2,25-21,,
10:15.0,Shooting foul by T. Daniels (drawn by D. Harris),,25-21,,
10:15.0,D. Harris makes free throw 1 of 1,1,26-21,,
9:58.0,,,26-21,,Turnover by J. Lin (lost ball)
9:47.0,D. Nowitzki misses 2-pt shot from 18 ft,,26-21,,
9:45.0,,,26-21,,Defensive rebound by N. Batum
9:38.0,,,26-21,,F. Kaminsky misses 3-pt shot from 25 ft
9:36.0,Defensive rebound by J. Anderson,,26-21,,
9:29.0,J. Barea misses 3-pt shot from 26 ft,,26-21,,
9:28.0,,,26-21,,Defensive rebound by F. Kaminsky
9:18.0,,,26-21,,F. Kaminsky misses 2-pt shot from 2 ft (block by D. Lee)
9:16.0,Defensive rebound by D. Nowitzki,,26-21,,
9:12.0,D. Lee makes 2-pt shot at rim (assist by J. Anderson),2,28-21,,
9:05.0,Personal foul by J. Barea,,28-21,,
9:05.0,W. Matthews enters the game for D. Lee,,28-21,,
9:05.0,D. Williams enters the game for D. Harris,,28-21,,
8:56.0,,,28-21,,Shooting foul by D. Nowitzki (drawn by J. Lin)
8:56.0,Official timeout,,28-21,,
8:56.0,,,28-21,,C. Zeller enters the game for A. Jefferson
8:56.0,,,28-21,,J. Lin misses free throw 1 of 2
8:56.0,,,28-21,,Offensive rebound by Team
8:56.0,,,28-21,,J. Lin misses free throw 2 of 2
8:55.0,Defensive rebound by D. Nowitzki,,28-21,,
8:45.0,D. Nowitzki misses 2-pt shot from 2 ft (block by T. Daniels),,28-21,,
8:45.0,Offensive rebound by Team,,28-21,,
8:40.0,J. Barea misses 2-pt shot from 4 ft (block by J. Lin),,28-21,,
8:38.0,,,28-21,,Defensive rebound by J. Lin
8:34.0,,,28-21,,N. Batum misses 2-pt shot from 1 ft (block by J. Anderson)
8:32.0,Defensive rebound by J. Anderson,,28-21,,
8:28.0,Shooting foul by F. Kaminsky (drawn by J. Anderson),,28-21,,
8:28.0,J. Anderson makes free throw 1 of 2,1,29-21,,
8:28.0,,,29-21,,M. Williams enters the game for F. Kaminsky
8:28.0,,,29-21,,Technical foul by Team
8:28.0,D. Nowitzki makes technical free throw,1,30-21,,
8:28.0,R. Felton enters the game for J. Barea,,30-21,,
8:28.0,J. Anderson misses free throw 2 of 2,,30-21,,
8:26.0,,,30-21,,Defensive rebound by N. Batum
8:12.0,,,30-21,,M. Williams misses 2-pt shot from 6 ft
8:11.0,Defensive rebound by D. Nowitzki,,30-21,,
7:50.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by D. Williams),2,32-21,,
7:38.0,,,32-21,,J. Lin misses 3-pt shot from 25 ft
7:37.0,Defensive rebound by J. Anderson,,32-21,,
7:29.0,D. Nowitzki misses 2-pt shot from 12 ft,,32-21,,
7:28.0,,,32-21,,Defensive rebound by M. Williams
7:23.0,Personal foul by J. Anderson,,32-21,,
7:23.0,C. Parsons enters the game for D. Nowitzki,,32-21,,
7:23.0,D. Lee enters the game for J. Anderson,,32-21,,
7:23.0,,,32-21,,K. Walker enters the game for J. Lin
7:23.0,,,32-21,,C. Lee enters the game for T. Daniels
7:23.0,Technical foul by J. Anderson,,32-21,,
7:23.0,,,32-22,1,N. Batum makes technical free throw
7:15.0,,,32-22,,Shooting foul by D. Williams (drawn by M. Williams)
7:15.0,,,32-23,1,M. Williams makes free throw 1 of 2
7:15.0,D. Harris enters the game for D. Williams,,32-23,,
7:15.0,,,32-23,,M. Williams misses free throw 2 of 2
7:13.0,Defensive rebound by C. Parsons,,32-23,,
6:56.0,D. Harris makes 2-pt shot from 19 ft,2,34-23,,
6:36.0,,,34-23,,K. Walker misses 3-pt shot from 24 ft
6:35.0,,,34-23,,Offensive rebound by C. Lee
6:32.0,,,34-23,,Turnover by C. Lee (lost ball; steal by R. Felton)
6:24.0,D. Harris makes 2-pt shot from 19 ft (assist by R. Felton),2,36-23,,
6:12.0,,,36-23,,K. Walker misses 2-pt shot from 1 ft
6:11.0,Defensive rebound by C. Parsons,,36-23,,
6:03.0,C. Parsons makes 2-pt shot at rim (assist by R. Felton),2,38-23,,
5:57.0,,,38-23,,Charlotte full timeout
5:43.0,,,38-23,,Turnover by C. Zeller (lost ball; steal by D. Harris)
5:21.0,D. Harris misses 3-pt shot from 28 ft,,38-23,,
5:20.0,,,38-23,,Defensive rebound by M. Williams
5:14.0,,,38-25,2,N. Batum makes 2-pt shot from 18 ft
4:51.0,Turnover by C. Parsons (lost ball; steal by C. Zeller),,38-25,,
4:45.0,,,38-25,,M. Williams misses 2-pt shot from 2 ft (block by C. Parsons)
4:43.0,,,38-25,,Offensive rebound by K. Walker
4:43.0,,,38-27,2,M. Williams makes 2-pt shot at rim (assist by K. Walker)
4:43.0,Dallas full timeout,,38-27,,
4:36.0,Turnover by D. Harris (illegal screen),,38-27,,
4:12.0,,,38-27,,K. Walker misses 2-pt shot from 1 ft
4:11.0,,,38-27,,Offensive rebound by C. Zeller
4:02.0,,,38-27,,C. Lee misses 3-pt shot from 23 ft
4:01.0,Defensive rebound by W. Matthews,,38-27,,
3:40.0,W. Matthews misses 2-pt shot from 14 ft,,38-27,,
3:39.0,,,38-27,,Defensive rebound by C. Zeller
3:33.0,,,38-27,,Turnover by K. Walker (lost ball; steal by C. Parsons)
3:27.0,C. Parsons makes 2-pt shot at rim (assist by D. Harris),2,40-27,,
3:11.0,Flagrant foul type 1 by D. Lee,,40-27,,
3:11.0,D. Nowitzki enters the game for D. Harris,,40-27,,
3:11.0,,,40-27,,C. Zeller misses flagrant free throw 1 of 2
3:11.0,,,40-27,,Offensive rebound by Team
3:11.0,,,40-28,1,C. Zeller makes flagrant free throw 2 of 2
3:08.0,,,40-28,,Offensive foul by C. Zeller
3:08.0,,,40-28,,Turnover by C. Zeller (offensive foul)
2:56.0,,,40-28,,Personal foul by K. Walker
2:56.0,,,40-28,,A. Jefferson enters the game for C. Zeller
2:43.0,R. Felton misses 3-pt shot from 25 ft,,40-28,,
2:41.0,,,40-28,,Defensive rebound by C. Lee
2:31.0,,,40-30,2,K. Walker makes 2-pt shot at rim (assist by N. Batum)
2:31.0,Dallas full timeout,,40-30,,
2:21.0,C. Parsons misses 3-pt shot from 24 ft,,40-30,,
2:20.0,,,40-30,,Defensive rebound by M. Williams
2:10.0,,,40-30,,N. Batum misses 2-pt shot from 12 ft
2:09.0,Defensive rebound by D. Lee,,40-30,,
1:55.0,C. Parsons misses 3-pt shot from 26 ft,,40-30,,
1:54.0,Offensive rebound by Team,,40-30,,
1:51.0,C. Parsons makes 2-pt shot from 1 ft (assist by R. Felton),2,42-30,,
1:38.0,,,42-30,,Turnover by N. Batum (lost ball; steal by C. Parsons)
1:32.0,D. Lee makes 2-pt shot at rim (assist by C. Parsons),2,44-30,,
1:18.0,,,44-33,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
1:04.0,D. Nowitzki misses 2-pt shot from 15 ft,,44-33,,
1:02.0,Offensive rebound by C. Parsons,,44-33,,
1:02.0,C. Parsons misses 2-pt shot at rim,,44-33,,
1:00.0,Offensive rebound by C. Parsons,,44-33,,
0:58.0,D. Nowitzki makes 2-pt shot from 11 ft (assist by R. Felton),2,46-33,,
0:46.0,,,46-33,,A. Jefferson misses 2-pt shot from 16 ft
0:45.0,Defensive rebound by W. Matthews,,46-33,,
0:37.0,D. Lee makes 2-pt shot from 1 ft (assist by R. Felton),2,48-33,,
0:28.0,,,48-33,,K. Walker misses 3-pt shot from 25 ft
0:27.0,Defensive rebound by Team,,48-33,,
0:27.0,,,48-33,,Technical foul by K. Walker
0:27.0,,,48-33,,Technical foul by N. Batum
0:27.0,D. Nowitzki makes technical free throw,1,49-33,,
0:27.0,D. Nowitzki makes technical free throw,1,50-33,,
0:08.0,D. Lee makes 2-pt shot at rim (assist by R. Felton),2,52-33,,
0:01.0,,,52-33,,M. Williams misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by R. Felton,,52-33,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Turnover by R. Felton (lost ball; steal by K. Walker),,52-33,,
11:41.0,,,52-35,2,M. Williams makes 2-pt shot from 22 ft (assist by K. Walker)
11:20.0,D. Nowitzki makes 2-pt shot from 16 ft (assist by D. Williams),2,54-35,,
11:09.0,,,54-35,,Shooting foul by D. Williams (drawn by C. Lee)
11:09.0,,,54-36,1,C. Lee makes free throw 1 of 2
11:09.0,,,54-37,1,C. Lee makes free throw 2 of 2
10:56.0,Turnover by D. Nowitzki (lost ball; steal by K. Walker),,54-37,,
10:51.0,,,54-39,2,K. Walker makes 2-pt shot at rim
10:38.0,Turnover by R. Felton (lost ball; steal by N. Batum),,54-39,,
10:32.0,,,54-41,2,M. Williams makes 2-pt shot at rim (assist by N. Batum)
10:32.0,Dallas full timeout,,54-41,,
10:14.0,Shooting foul by C. Zeller (drawn by C. Parsons),,54-41,,
10:14.0,C. Parsons misses free throw 1 of 2,,54-41,,
10:14.0,Offensive rebound by Team,,54-41,,
10:14.0,C. Parsons makes free throw 2 of 2,1,55-41,,
9:59.0,,,55-41,,C. Zeller misses 2-pt shot from 2 ft (block by D. Nowitzki)
9:57.0,Defensive rebound by D. Nowitzki,,55-41,,
9:44.0,R. Felton misses 2-pt shot from 2 ft (block by M. Williams),,55-41,,
9:44.0,Offensive rebound by Team,,55-41,,
9:42.0,W. Matthews misses 2-pt shot from 1 ft (block by N. Batum),,55-41,,
9:40.0,,,55-41,,Defensive rebound by K. Walker
9:40.0,Personal foul by D. Nowitzki,,55-41,,
9:33.0,,,55-41,,N. Batum misses 3-pt shot from 24 ft
9:32.0,Defensive rebound by D. Nowitzki,,55-41,,
9:13.0,W. Matthews misses 3-pt shot from 23 ft,,55-41,,
9:12.0,,,55-41,,Defensive rebound by C. Zeller
9:03.0,,,55-41,,M. Williams misses 3-pt shot from 25 ft
9:02.0,Defensive rebound by W. Matthews,,55-41,,
8:47.0,C. Parsons makes 3-pt shot from 24 ft (assist by R. Felton),3,58-41,,
8:30.0,,,58-43,2,M. Williams makes 2-pt shot from 9 ft (assist by K. Walker)
8:01.0,W. Matthews misses 2-pt shot from 2 ft (block by K. Walker),,58-43,,
8:00.0,,,58-43,,Defensive rebound by M. Williams
7:48.0,Personal foul by W. Matthews,,58-43,,
7:48.0,D. Harris enters the game for W. Matthews,,58-43,,
7:48.0,D. Lee enters the game for D. Nowitzki,,58-43,,
7:43.0,,,58-43,,K. Walker misses 3-pt shot from 25 ft
7:41.0,,,58-43,,Offensive rebound by C. Zeller
7:34.0,,,58-45,2,K. Walker makes 2-pt shot from 2 ft
7:34.0,,,58-45,,Shooting foul by D. Lee (drawn by K. Walker)
7:34.0,,,58-46,1,K. Walker makes free throw 1 of 1
7:12.0,R. Felton misses 3-pt shot from 25 ft,,58-46,,
7:11.0,,,58-46,,Defensive rebound by N. Batum
6:53.0,,,58-46,,M. Williams misses 2-pt shot from 8 ft
6:52.0,Defensive rebound by C. Parsons,,58-46,,
6:49.0,Offensive charge foul by C. Parsons,,58-46,,
6:49.0,Turnover by C. Parsons (offensive foul),,58-46,,
6:49.0,J. Barea enters the game for R. Felton,,58-46,,
6:32.0,,,58-49,3,C. Lee makes 3-pt shot from 25 ft (assist by N. Batum)
6:21.0,D. Williams misses 3-pt shot from 25 ft,,58-49,,
6:21.0,Offensive rebound by D. Lee,,58-49,,
6:21.0,,,58-49,,Personal foul by C. Zeller
6:21.0,,,58-49,,A. Jefferson enters the game for C. Zeller
6:11.0,D. Lee makes 2-pt shot at rim (assist by D. Williams),2,60-49,,
5:47.0,,,60-51,2,M. Williams makes 2-pt shot at rim (assist by N. Batum)
5:37.0,Turnover by D. Lee (lost ball),,60-51,,
5:26.0,,,60-51,,N. Batum misses 3-pt shot from 24 ft
5:25.0,Defensive rebound by D. Lee,,60-51,,
5:19.0,,,60-51,,Personal foul by C. Lee
5:19.0,,,60-51,,J. Lin enters the game for C. Lee
5:10.0,J. Barea misses 2-pt shot from 17 ft,,60-51,,
5:09.0,,,60-51,,Defensive rebound by K. Walker
5:07.0,,,60-51,,Shooting foul by D. Lee (drawn by K. Walker)
5:07.0,,,60-51,,K. Walker misses free throw 1 of 2
5:07.0,,,60-51,,Offensive rebound by Team
5:07.0,Z. Pachulia enters the game for D. Lee,,60-51,,
5:07.0,,,60-52,1,K. Walker makes free throw 2 of 2
5:00.0,Turnover by D. Williams (lost ball; steal by N. Batum),,60-52,,
4:57.0,,,60-54,2,N. Batum makes 2-pt shot at rim
4:57.0,Dallas full timeout,,60-54,,
4:57.0,D. Nowitzki enters the game for C. Parsons,,60-54,,
4:38.0,Shooting foul by M. Williams (drawn by D. Nowitzki),,60-54,,
4:38.0,D. Nowitzki makes free throw 1 of 2,1,61-54,,
4:38.0,D. Nowitzki makes free throw 2 of 2,1,62-54,,
4:14.0,,,62-56,2,N. Batum makes 2-pt shot from 16 ft
3:49.0,D. Nowitzki misses 3-pt shot from 25 ft,,62-56,,
3:47.0,,,62-56,,Defensive rebound by A. Jefferson
3:35.0,,,62-56,,Shooting foul by Z. Pachulia (drawn by M. Williams)
3:35.0,,,62-56,,M. Williams misses free throw 1 of 2
3:35.0,,,62-56,,Offensive rebound by Team
3:35.0,W. Matthews enters the game for D. Williams,,62-56,,
3:35.0,,,62-56,,T. Daniels enters the game for K. Walker
3:35.0,,,62-57,1,M. Williams makes free throw 2 of 2
3:24.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by D. Nowitzki),2,64-57,,
3:04.0,,,64-57,,Shooting foul by D. Harris (drawn by A. Jefferson)
3:04.0,,,64-58,1,A. Jefferson makes free throw 1 of 2
3:04.0,,,64-59,1,A. Jefferson makes free throw 2 of 2
2:45.0,J. Barea makes 2-pt shot at rim (assist by W. Matthews),2,66-59,,
2:18.0,,,66-62,3,N. Batum makes 3-pt shot from 31 ft (assist by T. Daniels)
1:54.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by J. Barea),3,69-62,,
1:34.0,,,69-62,,M. Williams misses 2-pt shot from 18 ft
1:32.0,Defensive rebound by Z. Pachulia,,69-62,,
1:12.0,D. Nowitzki misses 3-pt shot from 25 ft,,69-62,,
1:12.0,,,69-62,,Defensive rebound by Team
1:12.0,,,69-62,,Charlotte full timeout
1:12.0,,,69-62,,F. Kaminsky enters the game for M. Williams
0:59.0,Personal foul by J. Barea,,69-62,,
0:59.0,,,69-62,,J. Lin misses free throw 1 of 2
0:59.0,,,69-62,,Offensive rebound by Team
0:59.0,,,69-63,1,J. Lin makes free throw 2 of 2
0:46.0,D. Nowitzki misses 2-pt shot from 20 ft,,69-63,,
0:45.0,,,69-63,,Defensive rebound by J. Lin
0:28.0,,,69-65,2,F. Kaminsky makes 2-pt shot from 9 ft (assist by N. Batum)
0:06.0,J. Barea makes 2-pt shot from 11 ft,2,71-65,,
0:01.0,,,71-65,,J. Lin misses 2-pt shot at rim
0:01.0,Defensive rebound by Z. Pachulia,,71-65,,
0:00.0,Z. Pachulia misses 3-pt shot from 75 ft,,71-65,,
0:00.0,Offensive rebound by Team,,71-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:34.0,,,71-68,3,K. Walker makes 3-pt shot from 24 ft
11:19.0,C. Parsons misses 3-pt shot from 24 ft,,71-68,,
11:15.0,,,71-68,,Defensive rebound by K. Walker
11:08.0,,,71-71,3,K. Walker makes 3-pt shot from 24 ft
11:08.0,Dallas full timeout,,71-71,,
11:08.0,D. Lee enters the game for D. Harris,,71-71,,
11:08.0,R. Felton enters the game for J. Barea,,71-71,,
11:08.0,D. Williams enters the game for Z. Pachulia,,71-71,,
10:58.0,R. Felton misses 2-pt shot from 20 ft,,71-71,,
10:56.0,,,71-71,,Defensive rebound by F. Kaminsky
10:35.0,,,71-71,,T. Daniels misses 3-pt shot from 24 ft
10:35.0,Defensive rebound by C. Parsons,,71-71,,
10:23.0,D. Williams misses 2-pt shot from 1 ft (block by A. Jefferson),,71-71,,
10:21.0,,,71-71,,Defensive rebound by A. Jefferson
10:18.0,,,71-71,,Shooting foul by R. Felton (drawn by K. Walker)
10:18.0,,,71-72,1,K. Walker makes free throw 1 of 2
10:18.0,D. Nowitzki enters the game for D. Lee,,71-72,,
10:18.0,,,71-73,1,K. Walker makes free throw 2 of 2
10:05.0,W. Matthews makes 3-pt shot from 23 ft (assist by C. Parsons),3,74-73,,
9:52.0,,,74-75,2,A. Jefferson makes 2-pt shot from 9 ft
9:32.0,D. Nowitzki makes 2-pt shot from 14 ft,2,76-75,,
9:30.0,,,76-75,,Turnover by K. Walker (traveling)
9:23.0,R. Felton makes 2-pt shot from 1 ft,2,78-75,,
9:23.0,Shooting foul by F. Kaminsky (drawn by R. Felton),,78-75,,
9:23.0,,,78-75,,C. Lee enters the game for T. Daniels
9:23.0,R. Felton misses free throw 1 of 1,,78-75,,
9:22.0,,,78-75,,Defensive rebound by F. Kaminsky
9:07.0,,,78-75,,Shooting foul by D. Nowitzki (drawn by A. Jefferson)
9:07.0,,,78-76,1,A. Jefferson makes free throw 1 of 2
9:07.0,,,78-77,1,A. Jefferson makes free throw 2 of 2
8:58.0,Turnover by R. Felton (bad pass),,78-77,,
8:50.0,,,78-77,,Turnover by K. Walker (bad pass)
8:33.0,D. Williams makes 3-pt shot from 25 ft (assist by C. Parsons),3,81-77,,
8:09.0,,,81-79,2,C. Lee makes 2-pt shot from 16 ft (assist by K. Walker)
7:53.0,C. Parsons makes 3-pt shot from 25 ft (assist by D. Williams),3,84-79,,
7:53.0,,,84-79,,Charlotte full timeout
7:53.0,,,84-79,,C. Zeller enters the game for A. Jefferson
7:53.0,,,84-79,,N. Batum enters the game for J. Lin
7:36.0,,,84-79,,N. Batum misses 2-pt shot from 6 ft
7:34.0,Defensive rebound by D. Nowitzki,,84-79,,
7:23.0,Shooting foul by K. Walker (drawn by W. Matthews),,84-79,,
7:23.0,W. Matthews makes free throw 1 of 2,1,85-79,,
7:23.0,D. Lee enters the game for D. Nowitzki,,85-79,,
7:23.0,W. Matthews makes free throw 2 of 2,1,86-79,,
7:05.0,,,86-79,,F. Kaminsky misses 2-pt shot from 1 ft
7:03.0,Defensive rebound by Team,,86-79,,
6:48.0,C. Parsons makes 3-pt shot from 26 ft (assist by R. Felton),3,89-79,,
6:26.0,,,89-81,2,F. Kaminsky makes 2-pt shot from 2 ft
6:26.0,,,89-81,,Shooting foul by D. Lee (drawn by F. Kaminsky)
6:26.0,,,89-81,,F. Kaminsky misses free throw 1 of 1
6:24.0,Defensive rebound by W. Matthews,,89-81,,
6:02.0,D. Williams makes 2-pt shot from 11 ft,2,91-81,,
5:41.0,,,91-81,,C. Lee misses 3-pt shot from 24 ft
5:40.0,Defensive rebound by C. Parsons,,91-81,,
5:20.0,R. Felton misses 3-pt shot from 24 ft,,91-81,,
5:19.0,,,91-81,,Defensive rebound by F. Kaminsky
5:10.0,,,91-81,,Turnover by N. Batum (lost ball; steal by R. Felton)
