time,Orlando,pts.away,score,pts.home,Philadelphia
4:41.0,E. Fournier makes 2-pt shot from 1 ft (assist by N. Vucevic),2,23-16,,
4:30.0,,,23-16,,J. Okafor misses 2-pt shot from 14 ft
4:28.0,Defensive rebound by A. Gordon,,23-16,,
4:21.0,N. Vucevic makes 2-pt shot from 2 ft (assist by B. Jennings),2,25-16,,
3:54.0,,,25-16,,I. Canaan misses 2-pt shot from 13 ft
3:52.0,Defensive rebound by V. Oladipo,,25-16,,
3:41.0,Turnover by V. Oladipo (bad pass),,25-16,,
3:41.0,,,25-16,,R. Holmes enters the game for J. Okafor
3:25.0,,,25-19,3,H. Thompson makes 3-pt shot from 23 ft (assist by R. Holmes)
3:10.0,E. Fournier makes 2-pt shot from 14 ft,2,27-19,,
2:50.0,,,27-21,2,I. Canaan makes 2-pt shot from 1 ft
2:49.0,Orlando full timeout,,27-21,,
2:49.0,E. Ilyasova enters the game for A. Gordon,,27-21,,
2:34.0,B. Jennings makes 2-pt shot from 19 ft,2,29-21,,
2:16.0,,,29-23,2,T. McConnell makes 2-pt shot from 12 ft (assist by R. Holmes)
2:05.0,B. Jennings misses 2-pt shot from 5 ft,,29-23,,
2:03.0,Offensive rebound by N. Vucevic,,29-23,,
2:03.0,N. Vucevic misses 2-pt shot at rim,,29-23,,
2:01.0,,,29-23,,Defensive rebound by H. Thompson
1:56.0,,,29-25,2,R. Holmes makes 2-pt shot at rim (assist by T. McConnell)
1:44.0,,,29-25,,Personal foul by T. McConnell (drawn by B. Jennings)
1:44.0,J. Smith enters the game for N. Vucevic,,29-25,,
1:44.0,B. Jennings makes free throw 1 of 2,1,30-25,,
1:44.0,M. Hezonja enters the game for E. Fournier,,30-25,,
1:44.0,B. Jennings makes free throw 2 of 2,1,31-25,,
1:35.0,,,31-27,2,J. Grant makes 2-pt shot at rim (assist by T. McConnell)
1:22.0,J. Smith misses 2-pt shot from 10 ft,,31-27,,
1:20.0,,,31-27,,Defensive rebound by H. Thompson
1:15.0,,,31-27,,Turnover by T. McConnell (bad pass)
1:04.0,B. Jennings misses 2-pt shot from 13 ft,,31-27,,
1:03.0,,,31-27,,Defensive rebound by R. Holmes
0:55.0,,,31-27,,T. McConnell misses 2-pt shot from 9 ft
0:54.0,Defensive rebound by E. Ilyasova,,31-27,,
0:44.0,E. Ilyasova misses 3-pt shot from 24 ft (block by J. Grant),,31-27,,
0:42.0,,,31-27,,Defensive rebound by I. Canaan
0:38.0,,,31-30,3,I. Canaan makes 3-pt shot from 28 ft (assist by J. Grant)
0:25.0,,,31-30,,Personal foul by T. McConnell (drawn by B. Jennings)
0:25.0,B. Jennings makes free throw 1 of 2,1,32-30,,
0:25.0,B. Jennings makes free throw 2 of 2,1,33-30,,
0:04.0,Shooting block foul by E. Ilyasova (drawn by J. Grant),,33-30,,
0:04.0,,,33-30,,J. Grant misses free throw 1 of 2
0:04.0,,,33-30,,Offensive rebound by Team
0:04.0,,,33-30,,R. Covington enters the game for T. McConnell
0:04.0,,,33-31,1,J. Grant makes free throw 2 of 2
0:02.0,Turnover by J. Smith (bad pass; steal by I. Canaan),,33-31,,
0:00.0,,,33-31,,Turnover by J. Grant (bad pass; steal by V. Oladipo)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,33-33,2,J. Grant makes 2-pt shot at rim (assist by H. Thompson)
11:27.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by B. Jennings),3,36-33,,
11:06.0,,,36-36,3,H. Thompson makes 3-pt shot from 23 ft (assist by J. Grant)
10:52.0,B. Jennings misses 2-pt shot from 17 ft,,36-36,,
10:51.0,Offensive rebound by E. Ilyasova,,36-36,,
10:50.0,E. Ilyasova misses 2-pt shot at rim,,36-36,,
10:50.0,Offensive rebound by E. Ilyasova,,36-36,,
10:50.0,Shooting foul by T. McConnell (drawn by E. Ilyasova),,36-36,,
10:50.0,E. Ilyasova makes free throw 1 of 2,1,37-36,,
10:50.0,,,37-36,,I. Smith enters the game for T. McConnell
10:50.0,,,37-36,,N. Noel enters the game for R. Holmes
10:50.0,E. Ilyasova makes free throw 2 of 2,1,38-36,,
10:37.0,,,38-36,,I. Canaan misses 3-pt shot from 26 ft
10:35.0,,,38-36,,Offensive rebound by N. Noel
10:33.0,,,38-36,,H. Thompson misses 3-pt shot from 26 ft
10:31.0,Defensive rebound by B. Jennings,,38-36,,
10:24.0,E. Ilyasova makes 3-pt shot from 25 ft,3,41-36,,
10:09.0,,,41-36,,Shooting foul by J. Smith (drawn by N. Noel)
10:09.0,,,41-37,1,N. Noel makes free throw 1 of 2
10:09.0,E. Fournier enters the game for V. Oladipo,,41-37,,
10:09.0,,,41-37,,N. Noel misses free throw 2 of 2
10:08.0,Defensive rebound by E. Ilyasova,,41-37,,
9:58.0,Turnover by B. Jennings (lost ball; steal by N. Noel),,41-37,,
9:48.0,Personal foul by J. Smith (drawn by I. Canaan),,41-37,,
9:48.0,,,41-37,,N. Stauskas enters the game for H. Thompson
9:42.0,,,41-37,,Turnover by N. Stauskas (bad pass; steal by E. Fournier)
9:31.0,J. Smith misses 2-pt shot from 10 ft,,41-37,,
9:30.0,,,41-37,,Defensive rebound by N. Stauskas
9:24.0,,,41-40,3,I. Canaan makes 3-pt shot from 25 ft (assist by I. Smith)
9:08.0,E. Fournier misses 3-pt shot from 25 ft,,41-40,,
9:07.0,,,41-40,,Defensive rebound by J. Grant
8:51.0,,,41-40,,Philadelphia full timeout
8:51.0,Official timeout,,41-40,,
8:50.0,Personal foul by B. Jennings (drawn by I. Smith),,41-40,,
8:41.0,Personal foul by E. Fournier (drawn by N. Noel),,41-40,,
8:41.0,N. Vucevic enters the game for J. Smith,,41-40,,
8:35.0,Personal foul by M. Hezonja (drawn by I. Smith),,41-40,,
8:35.0,,,41-41,1,I. Smith makes free throw 1 of 2
8:35.0,E. Payton enters the game for B. Jennings,,41-41,,
8:35.0,,,41-41,,R. Covington enters the game for I. Canaan
8:35.0,,,41-42,1,I. Smith makes free throw 2 of 2
8:21.0,E. Fournier makes 2-pt shot from 5 ft,2,43-42,,
8:09.0,,,43-44,2,N. Noel makes 2-pt shot at rim
8:00.0,N. Vucevic misses 2-pt shot from 18 ft,,43-44,,
7:58.0,Offensive rebound by E. Payton,,43-44,,
7:50.0,E. Fournier makes 3-pt shot from 24 ft (assist by E. Payton),3,46-44,,
7:47.0,Personal foul by E. Payton (drawn by I. Smith),,46-44,,
7:47.0,,,46-44,,I. Smith misses free throw 1 of 2
7:47.0,,,46-44,,Offensive rebound by Team
7:47.0,,,46-45,1,I. Smith makes free throw 2 of 2
7:32.0,,,46-45,,J. Okafor enters the game for J. Grant
7:32.0,Jump ball: R. Covington vs. E. Fournier,,,,Jump ball: R. Covington vs. E. Fournier
7:32.0,Turnover by E. Fournier (lost ball; steal by R. Covington),,46-45,,
7:10.0,,,46-45,,Offensive charge foul by N. Stauskas
7:10.0,,,46-45,,Turnover by N. Stauskas (offensive foul)
6:59.0,Turnover by N. Vucevic (lost ball; steal by N. Noel),,46-45,,
6:46.0,,,46-45,,J. Okafor misses 2-pt shot from 9 ft
6:45.0,Defensive rebound by E. Ilyasova,,46-45,,
6:41.0,Shooting foul by N. Stauskas (drawn by E. Ilyasova),,46-45,,
6:41.0,E. Ilyasova makes free throw 1 of 2,1,47-45,,
6:41.0,E. Ilyasova makes free throw 2 of 2,1,48-45,,
6:27.0,,,48-45,,R. Covington misses 3-pt shot from 23 ft
6:26.0,Defensive rebound by E. Ilyasova,,48-45,,
6:18.0,M. Hezonja makes 3-pt shot from 23 ft (assist by E. Payton),3,51-45,,
6:08.0,,,51-45,,Philadelphia full timeout
5:56.0,Shooting block foul by E. Ilyasova (drawn by I. Smith),,51-45,,
5:56.0,,,51-46,1,I. Smith makes free throw 1 of 2
5:56.0,A. Gordon enters the game for E. Ilyasova,,51-46,,
5:56.0,,,51-47,1,I. Smith makes free throw 2 of 2
5:42.0,A. Gordon misses 2-pt shot from 16 ft,,51-47,,
5:41.0,,,51-47,,Defensive rebound by R. Covington
5:28.0,,,51-49,2,J. Okafor makes 2-pt shot from 4 ft
5:08.0,E. Payton misses 2-pt shot from 8 ft,,51-49,,
5:06.0,Offensive rebound by A. Gordon,,51-49,,
5:06.0,A. Gordon makes 2-pt shot at rim,2,53-49,,
5:01.0,,,53-49,,Turnover by I. Smith (bad pass; steal by M. Hezonja)
4:50.0,,,53-49,,Personal foul by I. Smith (drawn by A. Gordon)
4:50.0,,,53-49,,T. McConnell enters the game for I. Smith
4:41.0,N. Vucevic misses 2-pt shot from 9 ft,,53-49,,
4:40.0,,,53-49,,Defensive rebound by N. Noel
4:22.0,,,53-49,,Shooting foul by E. Payton (drawn by R. Covington)
4:22.0,,,53-50,1,R. Covington makes free throw 1 of 2
4:22.0,,,53-51,1,R. Covington makes free throw 2 of 2
4:08.0,M. Hezonja makes 2-pt shot from 1 ft (assist by E. Payton),2,55-51,,
3:58.0,,,55-51,,Turnover by J. Okafor (traveling)
3:45.0,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton),2,57-51,,
3:16.0,,,57-51,,N. Stauskas misses 3-pt shot from 24 ft
3:15.0,,,57-51,,Offensive rebound by N. Stauskas
2:57.0,,,57-51,,Turnover by J. Okafor (lost ball; steal by E. Fournier)
2:51.0,N. Vucevic makes 2-pt shot at rim (assist by A. Gordon),2,59-51,,
2:51.0,Shooting foul by N. Stauskas (drawn by N. Vucevic),,59-51,,
2:51.0,Orlando full timeout,,59-51,,
2:51.0,V. Oladipo enters the game for M. Hezonja,,59-51,,
2:51.0,,,59-51,,H. Thompson enters the game for N. Stauskas
2:51.0,N. Vucevic makes free throw 1 of 1,1,60-51,,
2:38.0,,,60-51,,Shooting foul by N. Vucevic (drawn by J. Okafor)
2:38.0,,,60-52,1,J. Okafor makes free throw 1 of 2
2:38.0,,,60-52,,J. Okafor misses free throw 2 of 2
2:35.0,Defensive rebound by N. Vucevic,,60-52,,
2:23.0,Shooting foul by J. Okafor (drawn by E. Payton),,60-52,,
2:23.0,E. Payton misses free throw 1 of 2,,60-52,,
2:23.0,Offensive rebound by Team,,60-52,,
2:23.0,E. Payton makes free throw 2 of 2,1,61-52,,
2:08.0,,,61-54,2,T. McConnell makes 2-pt shot from 11 ft
1:58.0,Shooting foul by J. Okafor (drawn by A. Gordon),,61-54,,
1:58.0,A. Gordon makes free throw 1 of 2,1,62-54,,
1:58.0,B. Jennings enters the game for E. Payton,,62-54,,
1:58.0,A. Gordon makes free throw 2 of 2,1,63-54,,
1:44.0,,,63-56,2,T. McConnell makes 2-pt shot from 11 ft (assist by N. Noel)
1:28.0,V. Oladipo makes 2-pt shot from 7 ft,2,65-56,,
1:13.0,,,65-56,,H. Thompson misses 2-pt shot from 16 ft
1:12.0,Defensive rebound by A. Gordon,,65-56,,
1:02.0,N. Vucevic makes 2-pt shot from 3 ft (assist by B. Jennings),2,67-56,,
0:50.0,,,67-59,3,R. Covington makes 3-pt shot from 24 ft (assist by T. McConnell)
0:39.0,B. Jennings misses 2-pt shot from 17 ft,,67-59,,
0:38.0,,,67-59,,Defensive rebound by H. Thompson
0:30.0,,,67-61,2,T. McConnell makes 2-pt shot from 11 ft
0:08.0,V. Oladipo misses 2-pt shot from 15 ft,,67-61,,
0:07.0,,,67-61,,Defensive rebound by N. Noel
0:05.0,Personal foul by B. Jennings (drawn by N. Noel),,67-61,,
0:05.0,,,67-62,1,N. Noel makes free throw 1 of 2
0:05.0,,,67-62,,J. Grant enters the game for J. Okafor
0:05.0,,,67-62,,I. Canaan enters the game for T. McConnell
0:05.0,,,67-62,,N. Noel misses free throw 2 of 2
0:03.0,Defensive rebound by A. Gordon,,67-62,,
0:00.0,V. Oladipo misses 3-pt shot from 28 ft,,67-62,,
0:00.0,Offensive rebound by Team,,67-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,67-64,2,J. Okafor makes 2-pt shot from 7 ft
11:26.0,N. Vucevic makes 2-pt shot from 18 ft (assist by A. Gordon),2,69-64,,
11:06.0,,,69-66,2,N. Noel makes 2-pt shot from 1 ft
10:57.0,Shooting foul by R. Covington (drawn by E. Fournier),,69-66,,
10:57.0,E. Fournier makes free throw 1 of 2,1,70-66,,
10:57.0,E. Fournier makes free throw 2 of 2,1,71-66,,
10:38.0,,,71-68,2,J. Okafor makes 2-pt shot from 9 ft
10:24.0,E. Payton misses 2-pt shot from 12 ft,,71-68,,
10:22.0,,,71-68,,Defensive rebound by N. Noel
10:09.0,,,71-68,,Offensive foul by J. Okafor
10:09.0,,,71-68,,Turnover by J. Okafor (offensive foul)
9:55.0,V. Oladipo makes 2-pt shot from 2 ft,2,73-68,,
9:36.0,,,73-70,2,J. Okafor makes 2-pt shot from 15 ft
9:25.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,75-70,,
9:16.0,,,75-70,,I. Smith misses 2-pt shot from 4 ft
9:14.0,,,75-70,,Offensive rebound by N. Noel
9:14.0,,,75-72,2,N. Noel makes 2-pt shot at rim
9:08.0,Offensive foul by A. Gordon,,75-72,,
9:08.0,Turnover by A. Gordon (offensive foul),,75-72,,
8:52.0,,,75-75,3,I. Smith makes 3-pt shot from 25 ft (assist by N. Stauskas)
8:35.0,V. Oladipo misses 2-pt shot from 5 ft (block by J. Okafor),,75-75,,
8:33.0,,,75-75,,Defensive rebound by I. Smith
8:32.0,,,75-77,2,I. Smith makes 2-pt shot from 1 ft
8:08.0,E. Payton misses 2-pt shot from 2 ft (block by J. Okafor),,75-77,,
8:08.0,Offensive rebound by Team,,75-77,,
8:06.0,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Fournier),2,77-77,,
7:51.0,,,77-77,,R. Covington misses 3-pt shot from 26 ft
7:49.0,Defensive rebound by N. Vucevic,,77-77,,
7:43.0,E. Fournier misses 2-pt shot from 20 ft,,77-77,,
7:41.0,,,77-77,,Defensive rebound by J. Okafor
7:29.0,,,77-79,2,I. Smith makes 2-pt shot from 2 ft
7:19.0,Shooting foul by J. Okafor (drawn by E. Payton),,77-79,,
7:19.0,E. Payton misses free throw 1 of 2,,77-79,,
7:19.0,Offensive rebound by Team,,77-79,,
7:19.0,,,77-79,,J. Grant enters the game for J. Okafor
7:19.0,E. Payton misses free throw 2 of 2,,77-79,,
7:18.0,,,77-79,,Defensive rebound by R. Covington
7:01.0,,,77-81,2,I. Smith makes 2-pt shot from 9 ft
6:45.0,E. Payton misses 3-pt shot from 25 ft,,77-81,,
6:43.0,,,77-81,,Defensive rebound by J. Grant
6:39.0,,,77-81,,Philadelphia full timeout
6:39.0,C. Watson enters the game for E. Payton,,77-81,,
6:28.0,,,77-83,2,N. Noel makes 2-pt shot at rim (assist by I. Smith)
6:08.0,E. Fournier makes 3-pt shot from 24 ft (assist by N. Vucevic),3,80-83,,
5:52.0,,,80-85,2,I. Smith makes 2-pt shot from 1 ft (assist by N. Noel)
5:32.0,N. Vucevic makes 2-pt shot at rim (assist by V. Oladipo),2,82-85,,
5:26.0,,,82-87,2,N. Stauskas makes 2-pt shot from 1 ft (assist by I. Smith)
5:26.0,,,82-87,,Shooting foul by A. Gordon (drawn by N. Stauskas)
5:26.0,,,82-87,,H. Thompson enters the game for R. Covington
5:26.0,,,82-87,,Turnover by J. Grant (offensive goaltending)
5:19.0,N. Vucevic misses 2-pt shot from 5 ft,,82-87,,
5:15.0,,,82-87,,Defensive rebound by N. Noel
5:00.0,,,82-87,,J. Grant misses 2-pt shot from 3 ft
4:59.0,Defensive rebound by V. Oladipo,,82-87,,
4:55.0,Shooting foul by N. Stauskas (drawn by V. Oladipo),,82-87,,
4:55.0,V. Oladipo makes free throw 1 of 2,1,83-87,,
4:55.0,,,83-87,,I. Canaan enters the game for N. Stauskas
4:55.0,,,83-87,,R. Holmes enters the game for N. Noel
4:55.0,V. Oladipo makes free throw 2 of 2,1,84-87,,
4:50.0,,,84-87,,Turnover by I. Smith (bad pass; steal by V. Oladipo)
4:50.0,,,84-87,,Personal foul by I. Smith (drawn by V. Oladipo)
4:50.0,,,84-87,,T. McConnell enters the game for I. Smith
4:36.0,V. Oladipo makes 2-pt shot from 21 ft,2,86-87,,
4:17.0,,,86-89,2,J. Grant makes 2-pt shot from 2 ft (assist by R. Holmes)
4:10.0,,,86-89,,Personal foul by R. Holmes (drawn by N. Vucevic)
4:10.0,N. Vucevic makes free throw 1 of 2,1,87-89,,
4:10.0,N. Vucevic makes free throw 2 of 2,1,88-89,,
3:55.0,,,88-89,,H. Thompson misses 2-pt shot from 6 ft
3:53.0,Defensive rebound by E. Fournier,,88-89,,
3:41.0,C. Watson misses 2-pt shot from 18 ft,,88-89,,
3:40.0,,,88-89,,Defensive rebound by I. Canaan
3:31.0,,,88-89,,T. McConnell misses 2-pt shot from 9 ft
3:29.0,Defensive rebound by C. Watson,,88-89,,
3:22.0,N. Vucevic misses 2-pt shot from 6 ft,,88-89,,
3:21.0,,,88-89,,Defensive rebound by R. Holmes
3:12.0,,,88-89,,R. Holmes misses 2-pt shot from 14 ft
3:11.0,Defensive rebound by C. Watson,,88-89,,
3:06.0,,,88-89,,Personal foul by R. Holmes (drawn by N. Vucevic)
3:06.0,N. Vucevic makes free throw 1 of 2,1,89-89,,
3:06.0,E. Ilyasova enters the game for A. Gordon,,89-89,,
3:06.0,N. Vucevic makes free throw 2 of 2,1,90-89,,
2:44.0,,,90-89,,Turnover by R. Holmes (lost ball)
2:44.0,Orlando full timeout,,90-89,,
2:44.0,,,90-89,,N. Noel enters the game for R. Holmes
2:23.0,E. Fournier makes 3-pt shot from 25 ft,3,93-89,,
2:03.0,,,93-89,,J. Grant misses 3-pt shot from 24 ft
2:01.0,Defensive rebound by N. Vucevic,,93-89,,
1:45.0,N. Vucevic makes 2-pt shot from 7 ft (assist by E. Fournier),2,95-89,,
1:23.0,,,95-89,,I. Canaan misses 2-pt shot from 15 ft
1:21.0,Defensive rebound by C. Watson,,95-89,,
1:17.0,V. Oladipo misses 2-pt shot from 1 ft,,95-89,,
1:13.0,,,95-89,,Defensive rebound by N. Noel
1:10.0,Jump ball: E. Ilyasova vs. T. McConnell (J. Grant gains possession),,,,Jump ball: E. Ilyasova vs. T. McConnell (J. Grant gains possession)
1:06.0,Personal foul by C. Watson (drawn by H. Thompson),,95-89,,
1:06.0,J. Smith enters the game for N. Vucevic,,95-89,,
1:06.0,,,95-89,,R. Covington enters the game for J. Grant
1:06.0,,,95-89,,K. Marshall enters the game for T. McConnell
0:57.0,,,95-91,2,I. Canaan makes 2-pt shot from 2 ft (assist by N. Noel)
0:44.0,J. Smith misses 2-pt shot from 2 ft (block by N. Noel),,95-91,,
0:42.0,Offensive rebound by V. Oladipo,,95-91,,
0:40.0,E. Fournier misses 3-pt shot from 24 ft,,95-91,,
0:39.0,Offensive rebound by J. Smith,,95-91,,
0:37.0,J. Smith makes 2-pt shot at rim,2,97-91,,
0:24.0,,,97-91,,Turnover by R. Covington (traveling)
0:08.0,Turnover by V. Oladipo (palming),,97-91,,
0:02.0,,,97-91,,N. Noel misses 2-pt shot from 1 ft
0:01.0,,,97-91,,Offensive rebound by R. Covington
0:00.0,,,97-93,2,R. Covington makes 2-pt shot from 7 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,E. Fournier makes 2-pt shot from 18 ft,2,99-93,,
11:30.0,,,99-93,,Turnover by K. Marshall (lost ball; steal by C. Watson)
11:20.0,J. Smith makes 2-pt shot from 16 ft (assist by V. Oladipo),2,101-93,,
11:19.0,,,101-93,,Philadelphia full timeout
11:02.0,Jump ball: J. Grant vs. E. Ilyasova (J. Okafor gains possession),,,,Jump ball: J. Grant vs. E. Ilyasova (J. Okafor gains possession)
10:54.0,,,101-93,,J. Okafor misses 2-pt shot from 19 ft
10:53.0,Defensive rebound by E. Fournier,,101-93,,
10:42.0,E. Fournier misses 2-pt shot from 18 ft,,101-93,,
10:40.0,,,101-93,,Defensive rebound by J. Grant
10:34.0,Shooting block foul by J. Smith (drawn by I. Canaan),,101-93,,
10:34.0,,,101-94,1,I. Canaan makes free throw 1 of 2
10:34.0,,,101-95,1,I. Canaan makes free throw 2 of 2
10:17.0,J. Smith makes 2-pt shot from 15 ft (assist by E. Fournier),2,103-95,,
10:06.0,Personal foul by E. Fournier (drawn by H. Thompson),,103-95,,
9:52.0,,,103-95,,Turnover by J. Okafor (bad pass; steal by C. Watson)
9:49.0,C. Watson makes 2-pt shot from 3 ft,2,105-95,,
9:49.0,Shooting foul by H. Thompson (drawn by C. Watson),,105-95,,
9:49.0,,,105-95,,I. Smith enters the game for K. Marshall
9:49.0,C. Watson makes free throw 1 of 1,1,106-95,,
9:36.0,Violation by C. Watson (kicked ball),,106-95,,
9:25.0,,,106-95,,J. Okafor misses 2-pt shot from 16 ft
9:23.0,Defensive rebound by E. Ilyasova,,106-95,,
9:03.0,J. Smith misses 2-pt shot from 18 ft,,106-95,,
9:01.0,Offensive rebound by E. Ilyasova,,106-95,,
9:00.0,E. Ilyasova misses 2-pt shot from 1 ft,,106-95,,
8:59.0,,,106-95,,Defensive rebound by I. Canaan
8:49.0,,,106-95,,Offensive charge foul by J. Grant
8:49.0,,,106-95,,Turnover by J. Grant (offensive foul)
8:36.0,J. Smith makes 2-pt shot from 17 ft (assist by E. Fournier),2,108-95,,
8:35.0,,,108-95,,Philadelphia full timeout
8:25.0,Personal foul by E. Fournier (drawn by H. Thompson),,108-95,,
8:25.0,,,108-95,,I. Smith misses 2-pt shot from 1 ft
8:24.0,,,108-95,,Offensive rebound by J. Okafor
8:23.0,,,108-97,2,J. Okafor makes 2-pt shot from 2 ft
8:09.0,E. Ilyasova misses 2-pt shot from 17 ft,,108-97,,
8:08.0,,,108-97,,Defensive rebound by I. Canaan
7:44.0,Personal foul by E. Ilyasova (drawn by J. Grant),,108-97,,
7:44.0,N. Vucevic enters the game for J. Smith,,108-97,,
7:35.0,,,108-99,2,I. Smith makes 2-pt shot from 18 ft
7:14.0,E. Ilyasova misses 2-pt shot from 7 ft,,108-99,,
7:13.0,,,108-99,,Defensive rebound by J. Grant
7:03.0,,,108-99,,Turnover by I. Canaan (lost ball; steal by V. Oladipo)
6:55.0,V. Oladipo misses 3-pt shot from 26 ft,,108-99,,
6:54.0,,,108-99,,Defensive rebound by J. Grant
6:34.0,Personal foul by E. Fournier (drawn by I. Smith),,108-99,,
6:34.0,,,108-99,,I. Smith misses free throw 1 of 2
6:34.0,,,108-99,,Offensive rebound by Team
6:34.0,,,108-99,,N. Stauskas enters the game for I. Canaan
6:34.0,,,108-99,,N. Noel enters the game for J. Okafor
6:34.0,,,108-100,1,I. Smith makes free throw 2 of 2
6:22.0,N. Vucevic misses 2-pt shot from 6 ft,,108-100,,
6:21.0,Offensive rebound by N. Vucevic,,108-100,,
