time,LA Lakers,pts.away,score,pts.home,Minnesota
9:04.0,K. Bryant misses 2-pt shot from 19 ft,,39-41,,
9:03.0,,,39-41,,Defensive rebound by Z. LaVine
8:57.0,,,39-43,2,N. Bjelica makes 2-pt shot at rim (assist by S. Muhammad)
8:57.0,,,39-43,,Shooting foul by R. Sacre (drawn by N. Bjelica)
8:57.0,,,39-43,,Minnesota full timeout
8:57.0,,,39-43,,N. Bjelica misses free throw 1 of 1
8:57.0,Defensive rebound by Team,,39-43,,
8:41.0,D. Russell misses 3-pt shot from 24 ft,,39-43,,
8:39.0,Offensive rebound by R. Sacre,,39-43,,
8:21.0,K. Bryant misses 2-pt shot from 19 ft,,39-43,,
8:20.0,,,39-43,,Defensive rebound by N. Bjelica
8:14.0,,,39-43,,N. Bjelica misses 2-pt shot at rim
8:12.0,Defensive rebound by R. Sacre,,39-43,,
8:04.0,D. Russell misses 2-pt shot from 1 ft,,39-43,,
8:03.0,,,39-43,,Defensive rebound by Z. LaVine
7:57.0,,,39-45,2,S. Muhammad makes 2-pt shot at rim (assist by N. Bjelica)
7:37.0,R. Sacre makes 2-pt shot from 11 ft (assist by M. Huertas),2,41-45,,
7:19.0,,,41-45,,Turnover by T. Prince (bad pass)
7:19.0,R. Hibbert enters the game for R. Sacre,,41-45,,
7:19.0,J. Clarkson enters the game for D. Russell,,41-45,,
7:19.0,L. Williams enters the game for M. Huertas,,41-45,,
6:59.0,J. Randle misses 2-pt shot from 7 ft,,41-45,,
6:58.0,,,41-45,,Defensive rebound by S. Muhammad
6:54.0,,,41-45,,Turnover by S. Muhammad (bad pass)
6:38.0,L. Williams makes 2-pt shot from 16 ft,2,43-45,,
6:17.0,,,43-47,2,S. Muhammad makes 2-pt shot from 7 ft (assist by G. Dieng)
5:54.0,J. Clarkson makes 2-pt shot at rim,2,45-47,,
5:46.0,,,45-47,,Minnesota full timeout
5:46.0,,,45-47,,K. Martin enters the game for S. Muhammad
5:46.0,,,45-47,,A. Wiggins enters the game for T. Prince
5:46.0,L. Nance enters the game for J. Randle,,45-47,,
5:39.0,,,45-47,,K. Martin misses 2-pt shot from 15 ft
5:38.0,Defensive rebound by K. Bryant,,45-47,,
5:22.0,Turnover by L. Williams (bad pass; steal by G. Dieng),,45-47,,
5:17.0,,,45-47,,Turnover by Z. LaVine (bad pass; steal by K. Bryant)
5:12.0,L. Williams makes 2-pt shot at rim (assist by K. Bryant),2,47-47,,
4:57.0,,,47-47,,A. Wiggins misses 2-pt shot from 12 ft
4:56.0,Defensive rebound by J. Clarkson,,47-47,,
4:49.0,Turnover by J. Clarkson (bad pass),,47-47,,
4:49.0,,,47-47,,K. Towns enters the game for N. Bjelica
4:49.0,,,47-47,,R. Rubio enters the game for Z. LaVine
4:36.0,,,47-49,2,A. Wiggins makes 2-pt shot at rim (assist by K. Towns)
4:26.0,,,47-49,,Personal foul by R. Rubio (drawn by J. Clarkson)
4:26.0,,,47-49,,K. Garnett enters the game for G. Dieng
4:15.0,K. Bryant misses 2-pt shot from 14 ft,,47-49,,
4:14.0,,,47-49,,Defensive rebound by K. Garnett
4:04.0,,,47-49,,A. Wiggins misses 2-pt shot from 16 ft
4:02.0,,,47-49,,Offensive rebound by K. Towns
3:58.0,,,47-49,,K. Martin misses 2-pt shot from 17 ft
3:56.0,,,47-49,,Offensive rebound by K. Towns
3:53.0,,,47-49,,R. Rubio misses 3-pt shot from 25 ft
3:51.0,Defensive rebound by L. Williams,,47-49,,
3:43.0,L. Williams makes 2-pt shot from 15 ft,2,49-49,,
3:25.0,,,49-51,2,K. Towns makes 2-pt shot from 5 ft (assist by K. Martin)
3:12.0,J. Clarkson makes 2-pt shot from 2 ft,2,51-51,,
2:58.0,,,51-53,2,K. Martin makes 2-pt shot from 16 ft (assist by R. Rubio)
2:43.0,K. Bryant makes 2-pt shot from 17 ft,2,53-53,,
2:29.0,LA Lakers full timeout,,53-53,,
2:29.0,N. Young enters the game for K. Bryant,,53-53,,
2:28.0,Jump ball: J. Clarkson vs. R. Rubio (L. Williams gains possession),,,,Jump ball: J. Clarkson vs. R. Rubio (L. Williams gains possession)
2:28.0,,,53-53,,Turnover by R. Rubio (lost ball; steal by L. Nance)
2:12.0,N. Young makes 3-pt shot from 26 ft (assist by L. Williams),3,56-53,,
1:46.0,,,56-55,2,K. Towns makes 2-pt shot from 6 ft (assist by K. Martin)
1:24.0,Shooting foul by K. Garnett (drawn by L. Williams),,56-55,,
1:24.0,L. Williams misses free throw 1 of 2,,56-55,,
1:24.0,Offensive rebound by Team,,56-55,,
1:24.0,L. Williams makes free throw 2 of 2,1,57-55,,
1:12.0,,,57-57,2,K. Martin makes 2-pt shot from 7 ft
0:50.0,J. Clarkson misses 2-pt shot from 14 ft,,57-57,,
0:49.0,,,57-57,,Defensive rebound by K. Towns
0:47.0,,,57-57,,Turnover by K. Towns (bad pass; steal by L. Williams)
0:41.0,L. Williams misses 3-pt shot from 25 ft,,57-57,,
0:40.0,,,57-57,,Defensive rebound by K. Towns
0:33.0,,,57-57,,R. Rubio misses 2-pt shot from 15 ft
0:32.0,,,57-57,,Offensive rebound by K. Towns
0:32.0,,,57-59,2,K. Towns makes 2-pt shot from 1 ft
0:11.0,Offensive charge foul by J. Clarkson,,57-59,,
0:11.0,Turnover by J. Clarkson (offensive foul),,57-59,,
0:11.0,,,57-59,,Z. LaVine enters the game for K. Garnett
0:11.0,J. Randle enters the game for R. Hibbert,,57-59,,
0:01.0,,,57-59,,Z. LaVine misses 2-pt shot from 21 ft
0:00.0,Defensive rebound by J. Randle,,57-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,K. Bryant misses 2-pt shot from 7 ft,,57-59,,
11:41.0,,,57-59,,Defensive rebound by K. Towns
11:23.0,Loose ball foul by L. Nance (drawn by A. Wiggins),,57-59,,
11:19.0,,,57-61,2,K. Martin makes 2-pt shot from 19 ft (assist by K. Garnett)
10:57.0,L. Williams misses 2-pt shot from 1 ft,,57-61,,
10:56.0,Offensive rebound by R. Hibbert,,57-61,,
10:56.0,R. Hibbert makes 2-pt shot from 2 ft,2,59-61,,
10:44.0,,,59-63,2,K. Garnett makes 2-pt shot from 1 ft (assist by R. Rubio)
10:24.0,L. Nance misses 2-pt shot from 15 ft,,59-63,,
10:23.0,,,59-63,,Defensive rebound by R. Rubio
10:15.0,,,59-65,2,K. Garnett makes 2-pt shot from 19 ft (assist by R. Rubio)
9:51.0,R. Hibbert misses 2-pt shot from 7 ft,,59-65,,
9:50.0,,,59-65,,Defensive rebound by K. Garnett
9:47.0,,,59-67,2,A. Wiggins makes 2-pt shot from 4 ft
9:47.0,,,59-67,,Shooting foul by K. Bryant (drawn by A. Wiggins)
9:47.0,J. Clarkson enters the game for D. Russell,,59-67,,
9:47.0,,,59-68,1,A. Wiggins makes free throw 1 of 1
9:34.0,K. Bryant misses 2-pt shot from 16 ft,,59-68,,
9:32.0,,,59-68,,Defensive rebound by K. Garnett
9:14.0,,,59-68,,K. Towns misses 2-pt shot from 7 ft
9:13.0,Defensive rebound by L. Nance,,59-68,,
9:04.0,R. Hibbert makes 2-pt shot from 5 ft (assist by J. Clarkson),2,61-68,,
8:53.0,Personal foul by J. Clarkson (drawn by R. Rubio),,61-68,,
8:53.0,,,61-68,,R. Rubio misses free throw 1 of 2
8:53.0,,,61-68,,Offensive rebound by Team
8:53.0,,,61-69,1,R. Rubio makes free throw 2 of 2
8:41.0,J. Clarkson misses 3-pt shot from 24 ft,,61-69,,
8:40.0,,,61-69,,Defensive rebound by K. Towns
8:28.0,,,61-69,,K. Martin misses 2-pt shot from 4 ft
8:27.0,Defensive rebound by R. Hibbert,,61-69,,
8:12.0,L. Williams makes 3-pt shot from 25 ft,3,64-69,,
7:47.0,,,64-69,,K. Martin misses 2-pt shot from 21 ft
7:46.0,Defensive rebound by L. Nance,,64-69,,
7:42.0,,,64-69,,Personal foul by K. Garnett (drawn by R. Hibbert)
7:42.0,,,64-69,,N. Bjelica enters the game for K. Garnett
7:34.0,R. Hibbert makes 2-pt shot from 18 ft (assist by L. Williams),2,66-69,,
7:22.0,,,66-69,,Minnesota full timeout
7:07.0,,,66-71,2,K. Towns makes 2-pt shot from 8 ft
6:49.0,L. Nance misses 2-pt shot from 1 ft (block by N. Bjelica),,66-71,,
6:47.0,Offensive rebound by L. Williams,,66-71,,
6:46.0,L. Williams misses 2-pt shot from 12 ft (block by K. Towns),,66-71,,
6:44.0,,,66-71,,Defensive rebound by R. Rubio
6:38.0,,,66-71,,Shooting foul by L. Nance (drawn by K. Martin)
6:38.0,,,66-72,1,K. Martin makes free throw 1 of 2
6:38.0,,,66-73,1,K. Martin makes free throw 2 of 2
6:29.0,K. Bryant misses 2-pt shot from 16 ft,,66-73,,
6:28.0,,,66-73,,Defensive rebound by Team
6:18.0,,,66-73,,A. Wiggins misses 2-pt shot from 14 ft
6:17.0,Defensive rebound by L. Nance,,66-73,,
6:08.0,Shooting foul by K. Towns (drawn by R. Hibbert),,66-73,,
6:08.0,R. Hibbert makes free throw 1 of 2,1,67-73,,
6:08.0,J. Randle enters the game for L. Nance,,67-73,,
6:08.0,R. Hibbert makes free throw 2 of 2,1,68-73,,
5:58.0,,,68-73,,K. Towns misses 2-pt shot from 17 ft
5:57.0,Defensive rebound by L. Williams,,68-73,,
5:47.0,R. Hibbert misses 2-pt shot from 17 ft,,68-73,,
5:46.0,,,68-73,,Defensive rebound by K. Towns
5:36.0,,,68-73,,K. Martin misses 2-pt shot from 18 ft
5:35.0,,,68-73,,Offensive rebound by K. Towns
5:32.0,,,68-75,2,K. Towns makes 2-pt shot from 1 ft
5:13.0,Shooting foul by K. Martin (drawn by L. Williams),,68-75,,
5:13.0,L. Williams misses free throw 1 of 2,,68-75,,
5:13.0,Offensive rebound by Team,,68-75,,
5:13.0,L. Williams makes free throw 2 of 2,1,69-75,,
5:07.0,,,69-75,,A. Wiggins misses 3-pt shot from 25 ft
5:06.0,Defensive rebound by J. Randle,,69-75,,
4:44.0,J. Randle misses 2-pt shot from 21 ft,,69-75,,
4:43.0,,,69-75,,Defensive rebound by R. Rubio
4:35.0,,,69-75,,Turnover by R. Rubio (lost ball; steal by R. Hibbert)
4:30.0,Shooting foul by N. Bjelica (drawn by J. Randle),,69-75,,
4:30.0,J. Randle misses free throw 1 of 2,,69-75,,
4:30.0,Offensive rebound by Team,,69-75,,
4:30.0,D. Russell enters the game for L. Williams,,69-75,,
4:30.0,,,69-75,,S. Muhammad enters the game for K. Martin
4:30.0,J. Randle makes free throw 2 of 2,1,70-75,,
4:20.0,,,70-75,,K. Towns misses 2-pt shot from 2 ft
4:18.0,,,70-75,,Offensive rebound by N. Bjelica
4:18.0,,,70-77,2,N. Bjelica makes 2-pt shot from 1 ft
4:04.0,K. Bryant misses 2-pt shot from 7 ft,,70-77,,
4:03.0,,,70-77,,Defensive rebound by S. Muhammad
3:56.0,,,70-77,,Shooting foul by R. Hibbert (drawn by K. Towns)
3:56.0,,,70-78,1,K. Towns makes free throw 1 of 2
3:56.0,N. Young enters the game for K. Bryant,,70-78,,
3:56.0,,,70-78,,Z. LaVine enters the game for R. Rubio
3:56.0,,,70-78,,K. Towns misses free throw 2 of 2
3:55.0,Defensive rebound by R. Hibbert,,70-78,,
3:42.0,J. Clarkson makes 2-pt shot from 12 ft,2,72-78,,
3:27.0,,,72-78,,Shooting foul by J. Randle (drawn by S. Muhammad)
3:27.0,,,72-79,1,S. Muhammad makes free throw 1 of 2
3:27.0,M. Huertas enters the game for J. Clarkson,,72-79,,
3:27.0,R. Sacre enters the game for R. Hibbert,,72-79,,
3:27.0,,,72-79,,G. Dieng enters the game for K. Towns
3:27.0,,,72-80,1,S. Muhammad makes free throw 2 of 2
3:14.0,Turnover by M. Huertas (traveling),,72-80,,
3:02.0,,,72-80,,Z. LaVine misses 3-pt shot from 24 ft
2:59.0,,,72-80,,Offensive rebound by S. Muhammad
2:55.0,,,72-80,,S. Muhammad misses 3-pt shot from 23 ft
2:54.0,Defensive rebound by Team,,72-80,,
2:54.0,LA Lakers full timeout,,72-80,,
2:42.0,N. Young misses 3-pt shot from 23 ft,,72-80,,
2:41.0,,,72-80,,Defensive rebound by G. Dieng
2:18.0,,,72-80,,Turnover by G. Dieng (lost ball; steal by M. Huertas)
2:12.0,D. Russell makes 2-pt shot from 2 ft (assist by N. Young),2,74-80,,
2:12.0,Shooting foul by S. Muhammad (drawn by D. Russell),,74-80,,
2:12.0,D. Russell makes free throw 1 of 1,1,75-80,,
1:57.0,,,75-80,,Shooting foul by R. Sacre (drawn by A. Wiggins)
1:57.0,,,75-81,1,A. Wiggins makes free throw 1 of 2
1:57.0,,,75-82,1,A. Wiggins makes free throw 2 of 2
1:31.0,D. Russell misses 3-pt shot from 25 ft,,75-82,,
1:31.0,Offensive rebound by Team,,75-82,,
1:31.0,,,75-82,,Loose ball foul by N. Bjelica (drawn by J. Randle)
1:31.0,J. Randle misses free throw 1 of 2,,75-82,,
1:31.0,Offensive rebound by Team,,75-82,,
1:31.0,J. Randle makes free throw 2 of 2,1,76-82,,
1:18.0,,,76-82,,S. Muhammad misses 2-pt shot from 1 ft
1:17.0,Defensive rebound by J. Randle,,76-82,,
1:03.0,D. Russell makes 2-pt shot from 16 ft,2,78-82,,
0:50.0,,,78-84,2,Z. LaVine makes 2-pt shot from 1 ft
0:36.0,D. Russell makes 3-pt shot from 24 ft,3,81-84,,
0:31.0,,,81-84,,Z. LaVine misses 3-pt shot from 24 ft
0:30.0,Defensive rebound by J. Randle,,81-84,,
0:07.0,J. Randle misses 2-pt shot from 9 ft,,81-84,,
0:05.0,,,81-84,,Defensive rebound by G. Dieng
0:00.0,,,81-84,,Z. LaVine misses 2-pt shot at rim
0:00.0,,,81-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,81-86,2,K. Martin makes 2-pt shot from 18 ft (assist by A. Payne)
11:48.0,,,81-86,,Shooting foul by D. Russell (drawn by K. Martin)
11:48.0,,,81-87,1,K. Martin makes free throw 1 of 1
11:35.0,D. Russell misses 3-pt shot from 24 ft,,81-87,,
11:34.0,,,81-87,,Defensive rebound by S. Muhammad
11:26.0,,,81-87,,Turnover by K. Martin (bad pass; steal by N. Young)
11:20.0,N. Young makes 3-pt shot from 24 ft (assist by M. Huertas),3,84-87,,
10:59.0,,,84-87,,K. Martin misses 2-pt shot from 20 ft
10:58.0,Defensive rebound by J. Randle,,84-87,,
10:49.0,J. Randle makes 2-pt shot from 5 ft,2,86-87,,
10:49.0,,,86-87,,Minnesota full timeout
10:28.0,,,86-87,,Z. LaVine misses 2-pt shot from 7 ft
10:25.0,Defensive rebound by M. Huertas,,86-87,,
10:12.0,N. Young makes 2-pt shot from 17 ft,2,88-87,,
9:57.0,,,88-90,3,K. Martin makes 3-pt shot from 24 ft (assist by Z. LaVine)
9:39.0,R. Sacre makes 2-pt shot at rim (assist by D. Russell),2,90-90,,
9:22.0,,,90-90,,Z. LaVine misses 2-pt shot from 13 ft
9:21.0,,,90-90,,Offensive rebound by G. Dieng
9:20.0,,,90-90,,Shooting foul by R. Sacre (drawn by G. Dieng)
9:20.0,,,90-90,,G. Dieng misses free throw 1 of 2
9:20.0,,,90-90,,Offensive rebound by Team
9:20.0,,,90-91,1,G. Dieng makes free throw 2 of 2
9:08.0,N. Young makes 2-pt shot from 15 ft (assist by D. Russell),2,92-91,,
8:49.0,,,92-91,,T. Prince enters the game for S. Muhammad
8:40.0,,,92-91,,G. Dieng misses 2-pt shot from 18 ft
8:38.0,Defensive rebound by J. Randle,,92-91,,
8:31.0,,,92-91,,Violation by G. Dieng (def goaltending)
8:31.0,J. Randle makes 2-pt shot from 2 ft,2,94-91,,
8:19.0,,,94-94,3,K. Martin makes 3-pt shot from 25 ft (assist by Z. LaVine)
8:00.0,M. Huertas makes 3-pt shot from 24 ft (assist by D. Russell),3,97-94,,
7:42.0,,,97-94,,K. Martin misses 2-pt shot from 16 ft
7:41.0,Defensive rebound by N. Young,,97-94,,
7:26.0,D. Russell makes 2-pt shot from 20 ft,2,99-94,,
7:12.0,,,99-94,,Offensive foul by Z. LaVine
7:12.0,,,99-94,,Turnover by Z. LaVine (offensive foul)
7:12.0,,,99-94,,K. Towns enters the game for A. Payne
7:12.0,,,99-94,,R. Rubio enters the game for Z. LaVine
6:52.0,Shooting foul by G. Dieng (drawn by J. Randle),,99-94,,
6:52.0,J. Randle misses free throw 1 of 2,,99-94,,
6:52.0,Offensive rebound by Team,,99-94,,
6:52.0,J. Randle misses free throw 2 of 2,,99-94,,
6:52.0,,,99-94,,Defensive rebound by K. Towns
6:41.0,,,99-97,3,K. Martin makes 3-pt shot from 24 ft (assist by R. Rubio)
6:24.0,R. Sacre misses 2-pt shot from 11 ft,,99-97,,
6:22.0,,,99-97,,Defensive rebound by R. Rubio
6:01.0,,,99-97,,Shooting foul by R. Sacre (drawn by G. Dieng)
6:01.0,,,99-98,1,G. Dieng makes free throw 1 of 2
6:01.0,,,99-99,1,G. Dieng makes free throw 2 of 2
5:43.0,D. Russell misses 2-pt shot from 20 ft,,99-99,,
5:42.0,,,99-99,,Defensive rebound by R. Rubio
5:27.0,,,99-102,3,K. Martin makes 3-pt shot from 24 ft (assist by R. Rubio)
5:25.0,LA Lakers full timeout,,99-102,,
5:25.0,L. Williams enters the game for M. Huertas,,99-102,,
5:02.0,D. Russell misses 2-pt shot from 17 ft,,99-102,,
5:00.0,Offensive rebound by L. Williams,,99-102,,
4:55.0,R. Sacre makes 2-pt shot from 2 ft (assist by L. Williams),2,101-102,,
4:26.0,,,101-102,,K. Martin misses 2-pt shot from 12 ft
4:25.0,,,101-102,,Offensive rebound by K. Towns
4:25.0,,,101-102,,Shooting foul by R. Sacre (drawn by K. Towns)
4:25.0,,,101-103,1,K. Towns makes free throw 1 of 2
4:25.0,,,101-104,1,K. Towns makes free throw 2 of 2
4:21.0,Turnover by D. Russell (offensive foul),,101-104,,
4:21.0,Offensive foul by D. Russell,,101-104,,
4:11.0,,,101-106,2,K. Martin makes 2-pt shot from 6 ft (assist by R. Rubio)
4:00.0,Shooting foul by K. Towns (drawn by D. Russell),,101-106,,
4:00.0,D. Russell makes free throw 1 of 2,1,102-106,,
4:00.0,D. Russell makes free throw 2 of 2,1,103-106,,
3:41.0,,,103-106,,K. Martin misses 3-pt shot from 25 ft
3:40.0,Defensive rebound by J. Randle,,103-106,,
3:29.0,D. Russell misses 3-pt shot from 24 ft,,103-106,,
3:28.0,,,103-106,,Defensive rebound by R. Rubio
3:15.0,,,103-106,,Turnover by R. Rubio (bad pass)
3:02.0,Shooting foul by K. Towns (drawn by D. Russell),,103-106,,
3:02.0,D. Russell makes free throw 1 of 2,1,104-106,,
3:02.0,D. Russell misses free throw 2 of 2,,104-106,,
3:01.0,,,104-106,,Defensive rebound by G. Dieng
2:41.0,,,104-106,,Shooting foul by R. Sacre (drawn by G. Dieng)
