time,Washington,pts.away,score,pts.home,Utah
6:02.0,,,14-15,1,R. Gobert makes free throw 2 of 2
5:47.0,J. Wall misses 2-pt shot from 16 ft,,14-15,,
5:47.0,,,14-15,,Defensive rebound by D. Favors
5:36.0,,,14-18,3,S. Mack makes 3-pt shot from 24 ft
5:24.0,Turnover by M. Morris (lost ball; steal by R. Hood),,14-18,,
5:13.0,,,14-20,2,D. Favors makes 2-pt shot from 17 ft (assist by G. Hayward)
4:53.0,G. Temple makes 3-pt shot from 23 ft (assist by J. Wall),3,17-20,,
4:36.0,,,17-22,2,S. Mack makes 2-pt shot from 2 ft
4:27.0,Shooting foul by R. Gobert (drawn by M. Morris),,17-22,,
4:27.0,M. Morris makes free throw 1 of 2,1,18-22,,
4:27.0,,,18-22,,T. Booker enters the game for R. Gobert
4:27.0,,,18-22,,R. Neto enters the game for S. Mack
4:27.0,A. Anderson enters the game for O. Porter,,18-22,,
4:27.0,M. Morris makes free throw 2 of 2,1,19-22,,
4:10.0,,,19-22,,T. Booker misses 2-pt shot at rim
4:09.0,Jump ball: D. Favors vs. N. Hilario (R. Hood gains possession),,,,Jump ball: D. Favors vs. N. Hilario (R. Hood gains possession)
4:09.0,,,19-22,,Offensive rebound by Team
3:52.0,,,19-22,,R. Hood misses 2-pt shot from 6 ft
3:50.0,,,19-22,,Offensive rebound by T. Booker
3:50.0,,,19-22,,T. Booker misses 2-pt shot from 10 ft
3:50.0,Defensive rebound by J. Wall,,19-22,,
3:50.0,,,19-22,,Technical foul by T. Booker
3:50.0,M. Morris makes technical free throw,1,20-22,,
3:50.0,,,20-22,,T. Burke enters the game for R. Hood
3:37.0,N. Hilario makes 2-pt shot from 6 ft (assist by G. Temple),2,22-22,,
3:21.0,,,22-24,2,T. Booker makes 2-pt shot at rim (assist by R. Neto)
3:05.0,J. Wall makes 2-pt shot from 2 ft,2,24-24,,
2:53.0,,,24-24,,Shooting foul by A. Anderson (drawn by D. Favors)
2:53.0,Washington full timeout,,24-24,,
2:53.0,J. Dudley enters the game for M. Morris,,24-24,,
2:53.0,R. Sessions enters the game for G. Temple,,24-24,,
2:53.0,,,24-25,1,D. Favors makes free throw 1 of 2
2:53.0,,,24-26,1,D. Favors makes free throw 2 of 2
2:40.0,,,24-26,,Personal foul by D. Favors
2:34.0,J. Wall misses 2-pt shot from 2 ft,,24-26,,
2:33.0,,,24-26,,Defensive rebound by T. Burke
2:13.0,,,24-29,3,R. Neto makes 3-pt shot from 24 ft (assist by G. Hayward)
1:55.0,A. Anderson makes 3-pt shot from 24 ft (assist by J. Wall),3,27-29,,
1:37.0,,,27-29,,T. Burke misses 3-pt shot from 24 ft
1:37.0,Defensive rebound by Team,,27-29,,
1:37.0,M. Thornton enters the game for J. Wall,,27-29,,
1:25.0,Turnover by J. Dudley (bad pass),,27-29,,
1:25.0,,,27-29,,J. Ingles enters the game for G. Hayward
1:08.0,,,27-29,,Turnover by R. Neto (lost ball; steal by J. Dudley)
1:02.0,A. Anderson misses 2-pt shot from 1 ft,,27-29,,
1:01.0,Offensive rebound by R. Sessions,,27-29,,
0:59.0,M. Thornton misses 3-pt shot from 24 ft,,27-29,,
0:57.0,Offensive rebound by N. Hilario,,27-29,,
0:51.0,J. Dudley makes 2-pt shot from 1 ft (assist by N. Hilario),2,29-29,,
0:28.0,,,29-29,,Turnover by R. Neto (step out of bounds)
0:28.0,J. Wall enters the game for R. Sessions,,29-29,,
0:09.0,A. Anderson misses 2-pt shot from 1 ft,,29-29,,
0:09.0,,,29-29,,Defensive rebound by R. Neto
0:02.0,,,29-32,3,R. Neto makes 3-pt shot from 24 ft (assist by T. Booker)
0:00.0,A. Anderson misses 3-pt shot from 32 ft,,29-32,,
0:00.0,Offensive rebound by Team,,29-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,29-32,,Personal foul by T. Booker
11:43.0,M. Thornton misses 2-pt shot from 17 ft,,29-32,,
11:42.0,,,29-32,,Defensive rebound by T. Burke
11:25.0,,,29-34,2,T. Burke makes 2-pt shot from 11 ft
11:19.0,R. Sessions misses 2-pt shot from 2 ft,,29-34,,
11:18.0,,,29-34,,Defensive rebound by R. Gobert
11:01.0,,,29-34,,T. Burke misses 2-pt shot from 4 ft
11:00.0,Defensive rebound by N. Hilario,,29-34,,
10:59.0,Turnover by N. Hilario (lost ball; steal by J. Ingles),,29-34,,
10:57.0,,,29-34,,Offensive charge foul by T. Booker
10:57.0,,,29-34,,Turnover by T. Booker (offensive foul)
10:57.0,,,29-34,,T. Lyles enters the game for T. Booker
10:40.0,,,29-34,,R. Hood enters the game for J. Ingles
10:35.0,R. Sessions makes 2-pt shot at rim,2,31-34,,
10:09.0,,,31-36,2,S. Mack makes 2-pt shot from 1 ft
9:57.0,R. Sessions misses 2-pt shot from 9 ft,,31-36,,
9:56.0,Offensive rebound by R. Sessions,,31-36,,
9:49.0,A. Anderson misses 3-pt shot from 24 ft,,31-36,,
9:49.0,,,31-36,,Defensive rebound by R. Gobert
9:40.0,,,31-38,2,T. Lyles makes 2-pt shot from 20 ft (assist by S. Mack)
9:28.0,,,31-38,,Personal foul by T. Burke
9:28.0,,,31-38,,C. Johnson enters the game for T. Burke
9:15.0,N. Hilario makes 2-pt shot from 14 ft,2,33-38,,
9:02.0,,,33-38,,Turnover by S. Mack (lost ball; steal by J. Dudley)
8:56.0,M. Thornton misses 2-pt shot from 2 ft,,33-38,,
8:55.0,,,33-38,,Defensive rebound by T. Lyles
8:49.0,,,33-38,,S. Mack misses 2-pt shot at rim
8:49.0,Defensive rebound by Team,,33-38,,
8:49.0,Washington full timeout,,33-38,,
8:30.0,N. Hilario makes 2-pt shot from 5 ft (assist by M. Thornton),2,35-38,,
8:06.0,,,35-41,3,S. Mack makes 3-pt shot from 23 ft
7:51.0,N. Hilario makes 2-pt shot from 18 ft (assist by R. Sessions),2,37-41,,
7:31.0,,,37-41,,S. Mack misses 3-pt shot from 24 ft
7:31.0,Defensive rebound by A. Anderson,,37-41,,
7:12.0,R. Sessions makes 3-pt shot from 24 ft (assist by A. Anderson),3,40-41,,
6:52.0,,,40-41,,Turnover by R. Hood (lost ball; steal by N. Hilario)
6:37.0,M. Thornton misses 2-pt shot from 3 ft,,40-41,,
6:36.0,,,40-41,,Defensive rebound by C. Johnson
6:21.0,,,40-41,,C. Johnson misses 2-pt shot from 5 ft
6:20.0,Defensive rebound by J. Dudley,,40-41,,
6:13.0,A. Anderson misses 3-pt shot from 24 ft,,40-41,,
6:13.0,,,40-41,,Defensive rebound by T. Lyles
6:07.0,,,40-41,,Utah full timeout
6:07.0,M. Gortat enters the game for N. Hilario,,40-41,,
6:07.0,,,40-41,,R. Neto enters the game for S. Mack
6:07.0,,,40-41,,G. Hayward enters the game for C. Johnson
6:07.0,J. Wall enters the game for A. Anderson,,40-41,,
6:07.0,,,40-41,,D. Favors enters the game for R. Gobert
6:07.0,O. Porter enters the game for R. Sessions,,40-41,,
6:00.0,,,40-41,,Turnover by R. Neto (bad pass)
5:44.0,M. Thornton misses 2-pt shot from 16 ft,,40-41,,
5:44.0,,,40-41,,Defensive rebound by D. Favors
5:22.0,,,40-41,,D. Favors misses 2-pt shot from 12 ft
5:22.0,Defensive rebound by J. Wall,,40-41,,
5:14.0,J. Dudley misses 3-pt shot from 24 ft,,40-41,,
5:13.0,,,40-41,,Defensive rebound by D. Favors
5:01.0,,,40-41,,T. Lyles misses 3-pt shot from 22 ft
5:00.0,,,40-41,,Offensive rebound by D. Favors
4:58.0,,,40-43,2,D. Favors makes 2-pt shot from 2 ft
4:43.0,Turnover by J. Wall (lost ball; steal by R. Hood),,40-43,,
4:28.0,,,40-45,2,R. Neto makes 2-pt shot from 1 ft
4:25.0,Washington full timeout,,40-45,,
4:25.0,,,40-45,,C. Johnson enters the game for R. Hood
4:25.0,M. Morris enters the game for J. Dudley,,40-45,,
4:25.0,G. Temple enters the game for M. Thornton,,40-45,,
4:13.0,O. Porter misses 2-pt shot from 14 ft,,40-45,,
4:13.0,,,40-45,,Defensive rebound by D. Favors
3:54.0,,,40-45,,C. Johnson misses 2-pt shot from 11 ft (block by M. Gortat)
3:53.0,Defensive rebound by M. Gortat,,40-45,,
3:35.0,O. Porter makes 2-pt shot from 2 ft (assist by M. Morris),2,42-45,,
3:17.0,,,42-47,2,T. Lyles makes 2-pt shot from 11 ft
3:00.0,M. Morris makes 2-pt shot from 18 ft (assist by J. Wall),2,44-47,,
2:30.0,,,44-47,,T. Lyles misses 2-pt shot from 16 ft
2:30.0,Defensive rebound by M. Morris,,44-47,,
2:24.0,Turnover by J. Wall (lost ball),,44-47,,
2:24.0,,,44-47,,R. Hood enters the game for C. Johnson
2:24.0,,,44-47,,S. Mack enters the game for R. Neto
2:04.0,,,44-47,,Shooting foul by O. Porter (drawn by G. Hayward)
2:04.0,,,44-48,1,G. Hayward makes free throw 1 of 2
2:04.0,,,44-49,1,G. Hayward makes free throw 2 of 2
1:49.0,Turnover by M. Morris (lost ball; steal by T. Lyles),,44-49,,
1:40.0,,,44-51,2,S. Mack makes 2-pt shot from 10 ft
1:24.0,M. Morris makes 2-pt shot from 17 ft,2,46-51,,
1:08.0,,,46-54,3,S. Mack makes 3-pt shot from 24 ft
0:47.0,O. Porter misses 3-pt shot from 22 ft,,46-54,,
0:47.0,,,46-54,,Defensive rebound by R. Hood
0:33.0,Personal foul by G. Temple,,46-54,,
0:33.0,N. Hilario enters the game for M. Gortat,,46-54,,
0:32.0,,,46-54,,Shooting foul by M. Morris (drawn by G. Hayward)
0:32.0,,,46-55,1,G. Hayward makes free throw 1 of 2
0:32.0,,,46-56,1,G. Hayward makes free throw 2 of 2
0:17.0,Shooting foul by G. Hayward (drawn by N. Hilario),,46-56,,
0:17.0,N. Hilario makes free throw 1 of 2,1,47-56,,
0:17.0,N. Hilario makes free throw 2 of 2,1,48-56,,
0:00.0,,,48-56,,R. Hood misses 3-pt shot from 25 ft
0:00.0,,,48-56,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,50-56,,
11:12.0,,,50-56,,Turnover by D. Favors (lost ball; steal by M. Morris)
11:03.0,J. Wall makes 2-pt shot from 17 ft,2,52-56,,
10:51.0,,,52-58,2,S. Mack makes 2-pt shot from 2 ft
10:51.0,,,52-58,,Shooting foul by J. Wall (drawn by S. Mack)
10:51.0,,,52-58,,S. Mack misses free throw 1 of 1
10:51.0,,,52-58,,Offensive rebound by Team
10:42.0,Loose ball foul by M. Gortat,,52-58,,
10:42.0,Personal foul by O. Porter,,52-58,,
10:34.0,,,52-61,3,R. Hood makes 3-pt shot from 22 ft (assist by G. Hayward)
10:17.0,O. Porter makes 2-pt shot from 18 ft,2,54-61,,
10:10.0,Personal foul by M. Morris,,54-61,,
10:03.0,,,54-63,2,D. Favors makes 2-pt shot from 3 ft (assist by S. Mack)
10:03.0,,,54-63,,Shooting foul by M. Gortat (drawn by D. Favors)
10:03.0,N. Hilario enters the game for M. Gortat,,54-63,,
10:03.0,,,54-64,1,D. Favors makes free throw 1 of 1
9:50.0,M. Morris makes 2-pt shot from 5 ft,2,56-64,,
9:37.0,,,56-66,2,S. Mack makes 2-pt shot from 11 ft
9:25.0,M. Morris makes 2-pt shot from 18 ft (assist by J. Wall),2,58-66,,
9:06.0,,,58-66,,D. Favors misses 2-pt shot from 1 ft
9:06.0,Defensive rebound by O. Porter,,58-66,,
8:51.0,Turnover by M. Morris (lost ball; steal by G. Hayward),,58-66,,
8:47.0,,,58-68,2,G. Hayward makes 2-pt shot from 2 ft
8:31.0,G. Temple makes 3-pt shot from 22 ft (assist by J. Wall),3,61-68,,
8:11.0,,,61-68,,Shooting foul by N. Hilario (drawn by R. Gobert)
8:11.0,,,61-69,1,R. Gobert makes free throw 1 of 2
8:11.0,,,61-70,1,R. Gobert makes free throw 2 of 2
7:55.0,Turnover by G. Temple (lost ball),,61-70,,
7:36.0,,,61-70,,Shooting foul by N. Hilario (drawn by R. Gobert)
7:36.0,,,61-70,,R. Gobert misses free throw 1 of 2
7:36.0,,,61-70,,Offensive rebound by Team
7:36.0,,,61-71,1,R. Gobert makes free throw 2 of 2
7:22.0,M. Morris misses 2-pt shot from 14 ft,,61-71,,
7:22.0,,,61-71,,Defensive rebound by R. Gobert
7:03.0,,,61-73,2,S. Mack makes 2-pt shot from 9 ft (assist by R. Gobert)
6:43.0,O. Porter makes 2-pt shot from 16 ft (assist by M. Morris),2,63-73,,
6:23.0,,,63-73,,Shooting foul by M. Morris (drawn by D. Favors)
6:23.0,,,63-73,,D. Favors misses free throw 1 of 2
6:23.0,,,63-73,,Offensive rebound by Team
6:23.0,A. Anderson enters the game for O. Porter,,63-73,,
6:23.0,,,63-74,1,D. Favors makes free throw 2 of 2
6:12.0,N. Hilario misses 2-pt shot from 1 ft (block by R. Gobert),,63-74,,
6:12.0,,,63-74,,Defensive rebound by S. Mack
6:00.0,,,63-74,,Shooting foul by N. Hilario (drawn by G. Hayward)
6:00.0,,,63-75,1,G. Hayward makes free throw 1 of 2
6:00.0,,,63-75,,T. Booker enters the game for D. Favors
6:00.0,,,63-76,1,G. Hayward makes free throw 2 of 2
5:44.0,Shooting foul by R. Hood (drawn by N. Hilario),,63-76,,
5:44.0,,,63-76,,Utah full timeout
5:44.0,N. Hilario makes free throw 1 of 2,1,64-76,,
5:44.0,N. Hilario makes free throw 2 of 2,1,65-76,,
5:21.0,,,65-76,,Turnover by G. Hayward (lost ball)
5:09.0,J. Wall misses 3-pt shot from 24 ft,,65-76,,
5:08.0,,,65-76,,Defensive rebound by R. Gobert
5:02.0,Violation by M. Morris (kicked ball),,65-76,,
5:02.0,,,65-76,,C. Johnson enters the game for R. Hood
4:53.0,Personal foul by A. Anderson,,65-76,,
4:53.0,,,65-76,,R. Gobert misses free throw 1 of 2
4:53.0,,,65-76,,Offensive rebound by Team
4:53.0,M. Thornton enters the game for G. Temple,,65-76,,
4:53.0,,,65-76,,R. Gobert misses free throw 2 of 2
4:53.0,Defensive rebound by N. Hilario,,65-76,,
4:35.0,A. Anderson misses 2-pt shot from 3 ft,,65-76,,
4:35.0,,,65-76,,Defensive rebound by R. Gobert
4:27.0,,,65-76,,Turnover by S. Mack (lost ball; steal by N. Hilario)
4:23.0,Offensive charge foul by J. Wall,,65-76,,
4:23.0,Turnover by J. Wall (offensive foul),,65-76,,
4:23.0,J. Dudley enters the game for M. Morris,,65-76,,
4:07.0,,,65-78,2,R. Gobert makes 2-pt shot from 1 ft (assist by S. Mack)
3:58.0,,,65-78,,Personal foul by C. Johnson
3:44.0,J. Wall misses 2-pt shot from 9 ft,,65-78,,
3:44.0,,,65-78,,Defensive rebound by R. Gobert
3:32.0,Personal foul by N. Hilario,,65-78,,
3:32.0,,,65-79,1,G. Hayward makes free throw 1 of 2
3:32.0,J. Hickson enters the game for N. Hilario,,65-79,,
3:32.0,,,65-79,,G. Hayward misses free throw 2 of 2
3:32.0,Defensive rebound by J. Hickson,,65-79,,
3:14.0,J. Wall misses 2-pt shot from 17 ft,,65-79,,
3:14.0,,,65-79,,Defensive rebound by G. Hayward
3:04.0,,,65-79,,Turnover by G. Hayward (lost ball; steal by J. Hickson)
2:59.0,M. Thornton misses 3-pt shot from 24 ft (block by R. Gobert),,65-79,,
2:58.0,Offensive rebound by J. Hickson,,65-79,,
2:58.0,,,65-79,,Loose ball foul by C. Johnson
2:58.0,Washington full timeout,,65-79,,
2:58.0,R. Sessions enters the game for J. Wall,,65-79,,
2:58.0,,,65-79,,D. Favors enters the game for R. Gobert
2:58.0,,,65-79,,R. Neto enters the game for S. Mack
2:58.0,,,65-79,,R. Hood enters the game for G. Hayward
2:58.0,J. Hickson misses free throw 1 of 2,,65-79,,
2:58.0,Offensive rebound by Team,,65-79,,
2:58.0,J. Hickson makes free throw 2 of 2,1,66-79,,
2:45.0,,,66-81,2,R. Hood makes 2-pt shot from 19 ft
2:25.0,M. Thornton misses 3-pt shot from 24 ft (block by T. Booker),,66-81,,
2:23.0,,,66-81,,Defensive rebound by D. Favors
2:11.0,,,66-81,,D. Favors misses 2-pt shot from 18 ft
2:10.0,,,66-81,,Offensive rebound by T. Booker
1:56.0,,,66-81,,Shooting foul by A. Anderson (drawn by R. Hood)
1:56.0,,,66-82,1,R. Hood makes free throw 1 of 2
1:56.0,,,66-83,1,R. Hood makes free throw 2 of 2
1:37.0,R. Sessions misses 2-pt shot from 1 ft (block by T. Booker),,66-83,,
1:36.0,,,66-83,,Defensive rebound by R. Neto
1:21.0,,,66-83,,Turnover by R. Neto (lost ball; steal by M. Thornton)
1:17.0,,,66-83,,Personal foul by C. Johnson
1:13.0,Shooting foul by D. Favors (drawn by J. Hickson),,66-83,,
1:13.0,J. Hickson misses free throw 1 of 2,,66-83,,
1:13.0,Offensive rebound by Team,,66-83,,
1:13.0,J. Hickson misses free throw 2 of 2,,66-83,,
1:12.0,Offensive rebound by Team,,66-83,,
1:12.0,,,66-83,,Loose ball foul by R. Neto
1:12.0,J. Dudley misses free throw 1 of 2,,66-83,,
1:12.0,Offensive rebound by Team,,66-83,,
1:12.0,O. Porter enters the game for A. Anderson,,66-83,,
1:12.0,J. Dudley misses free throw 2 of 2,,66-83,,
1:11.0,,,66-83,,Defensive rebound by T. Booker
0:50.0,,,66-83,,Turnover by C. Johnson (lost ball; steal by J. Dudley)
0:43.0,Turnover by J. Dudley (lost ball; steal by R. Hood),,66-83,,
0:38.0,,,66-85,2,C. Johnson makes 2-pt shot from 2 ft (assist by R. Hood)
0:28.0,R. Sessions misses 2-pt shot from 2 ft,,66-85,,
0:28.0,Offensive rebound by J. Hickson,,66-85,,
0:26.0,J. Hickson misses 2-pt shot from 1 ft,,66-85,,
0:24.0,,,66-85,,Defensive rebound by C. Johnson
0:21.0,,,66-87,2,C. Johnson makes 2-pt shot from 1 ft
0:21.0,Shooting block foul by J. Dudley (drawn by C. Johnson),,66-87,,
0:21.0,,,66-88,1,C. Johnson makes free throw 1 of 1
0:05.0,R. Sessions makes 2-pt shot from 4 ft,2,68-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,68-88,,Turnover by R. Neto (bad pass)
11:23.0,,,68-88,,Personal foul by R. Neto
11:18.0,R. Sessions misses 3-pt shot from 24 ft,,68-88,,
11:17.0,,,68-88,,Defensive rebound by D. Favors
10:58.0,,,68-88,,T. Booker misses 2-pt shot from 2 ft
10:57.0,Defensive rebound by J. Dudley,,68-88,,
10:46.0,M. Thornton makes 2-pt shot from 9 ft,2,70-88,,
10:32.0,,,70-88,,Shooting foul by M. Thornton (drawn by R. Neto)
10:32.0,,,70-89,1,R. Neto makes free throw 1 of 2
10:32.0,J. Wall enters the game for M. Thornton,,70-89,,
10:32.0,M. Morris enters the game for J. Hickson,,70-89,,
10:32.0,,,70-89,,J. Ingles enters the game for C. Johnson
10:32.0,,,70-90,1,R. Neto makes free throw 2 of 2
10:20.0,J. Wall makes 2-pt shot from 2 ft,2,72-90,,
10:09.0,,,72-92,2,T. Booker makes 2-pt shot at rim (assist by R. Neto)
10:09.0,,,72-92,,Shooting foul by M. Morris (drawn by T. Booker)
10:09.0,,,72-92,,S. Mack enters the game for R. Neto
10:09.0,,,72-93,1,T. Booker makes free throw 1 of 1
9:55.0,J. Wall misses 3-pt shot from 24 ft,,72-93,,
9:54.0,,,72-93,,Defensive rebound by T. Booker
9:34.0,,,72-93,,R. Hood misses 2-pt shot from 16 ft
9:33.0,Defensive rebound by R. Sessions,,72-93,,
9:23.0,R. Sessions misses 2-pt shot from 2 ft,,72-93,,
9:22.0,,,72-93,,Defensive rebound by J. Ingles
9:15.0,,,72-93,,Turnover by J. Ingles (lost ball; steal by J. Wall)
9:13.0,R. Sessions makes 2-pt shot from 1 ft (assist by J. Wall),2,74-93,,
9:13.0,Shooting foul by S. Mack (drawn by R. Sessions),,74-93,,
9:13.0,,,74-93,,G. Hayward enters the game for R. Hood
9:13.0,M. Gortat enters the game for J. Dudley,,74-93,,
9:13.0,,,74-93,,R. Gobert enters the game for D. Favors
9:13.0,R. Sessions makes free throw 1 of 1,1,75-93,,
8:57.0,,,75-93,,S. Mack misses 2-pt shot from 12 ft
8:56.0,Defensive rebound by M. Morris,,75-93,,
8:55.0,Shooting foul by J. Ingles (drawn by J. Wall),,75-93,,
8:55.0,Washington full timeout,,75-93,,
8:55.0,J. Wall makes free throw 1 of 2,1,76-93,,
8:55.0,J. Wall misses free throw 2 of 2,,76-93,,
8:54.0,,,76-93,,Defensive rebound by R. Gobert
8:40.0,,,76-93,,Offensive foul by G. Hayward
8:40.0,,,76-93,,Turnover by G. Hayward (offensive foul)
8:22.0,Turnover by R. Sessions (lost ball; steal by J. Ingles),,76-93,,
8:14.0,,,76-93,,Shooting foul by R. Sessions (drawn by S. Mack)
8:14.0,,,76-94,1,S. Mack makes free throw 1 of 2
8:14.0,,,76-95,1,S. Mack makes free throw 2 of 2
8:06.0,J. Wall makes 2-pt shot from 13 ft,2,78-95,,
7:51.0,,,78-95,,S. Mack misses 2-pt shot from 8 ft
7:50.0,Defensive rebound by M. Gortat,,78-95,,
7:37.0,M. Gortat makes 2-pt shot from 1 ft (assist by R. Sessions),2,80-95,,
7:17.0,,,80-95,,G. Hayward misses 3-pt shot from 24 ft
7:17.0,Defensive rebound by M. Gortat,,80-95,,
7:06.0,J. Wall makes 2-pt shot from 14 ft,2,82-95,,
7:06.0,,,82-95,,Utah full timeout
7:06.0,,,82-95,,R. Hood enters the game for J. Ingles
7:06.0,,,82-95,,T. Lyles enters the game for T. Booker
6:52.0,,,82-95,,Turnover by G. Hayward (bad pass)
6:47.0,J. Wall misses 2-pt shot from 18 ft,,82-95,,
6:46.0,,,82-95,,Defensive rebound by R. Gobert
6:27.0,,,82-95,,Turnover by S. Mack (lost ball)
6:15.0,O. Porter misses 3-pt shot from 23 ft,,82-95,,
6:15.0,,,82-95,,Defensive rebound by Team
6:15.0,Loose ball foul by M. Gortat,,82-95,,
5:55.0,,,82-95,,R. Hood misses 3-pt shot from 24 ft
5:54.0,Defensive rebound by R. Sessions,,82-95,,
5:51.0,Shooting foul by R. Hood (drawn by J. Wall),,82-95,,
5:51.0,J. Wall makes free throw 1 of 2,1,83-95,,
5:51.0,J. Wall makes free throw 2 of 2,1,84-95,,
5:28.0,,,84-97,2,T. Lyles makes 2-pt shot from 5 ft
5:19.0,M. Morris misses 2-pt shot from 5 ft,,84-97,,
5:19.0,Offensive rebound by Team,,84-97,,
5:10.0,Turnover by J. Wall (lost ball; steal by R. Hood),,84-97,,
5:06.0,,,84-97,,Shooting foul by R. Sessions (drawn by R. Hood)
5:06.0,,,84-97,,R. Hood misses free throw 1 of 2
5:06.0,,,84-97,,Offensive rebound by Team
5:06.0,,,84-98,1,R. Hood makes free throw 2 of 2
4:53.0,R. Sessions misses 3-pt shot from 24 ft,,84-98,,
4:52.0,,,84-98,,Defensive rebound by T. Lyles
4:29.0,,,84-100,2,S. Mack makes 2-pt shot from 16 ft
4:10.0,Shooting foul by T. Lyles (drawn by J. Wall),,84-100,,
4:10.0,J. Wall makes free throw 1 of 2,1,85-100,,
4:10.0,M. Thornton enters the game for R. Sessions,,85-100,,
4:10.0,J. Dudley enters the game for M. Gortat,,85-100,,
4:10.0,,,85-100,,D. Favors enters the game for R. Gobert
4:10.0,J. Wall makes free throw 2 of 2,1,86-100,,
3:56.0,,,86-102,2,T. Lyles makes 2-pt shot from 2 ft
3:47.0,J. Wall makes 2-pt shot from 2 ft,2,88-102,,
3:34.0,,,88-102,,S. Mack misses 3-pt shot from 24 ft
3:33.0,,,88-102,,Offensive rebound by D. Favors
3:15.0,,,88-104,2,S. Mack makes 2-pt shot from 14 ft
3:05.0,J. Wall makes 2-pt shot at rim,2,90-104,,
3:04.0,,,90-104,,Utah full timeout
2:50.0,,,90-106,2,G. Hayward makes 2-pt shot from 19 ft
2:39.0,J. Dudley misses 3-pt shot from 24 ft,,90-106,,
2:38.0,,,90-106,,Defensive rebound by S. Mack
2:26.0,,,90-106,,Shooting foul by J. Dudley (drawn by D. Favors)
2:26.0,,,90-106,,D. Favors misses free throw 1 of 2
