time,Chicago,pts.away,score,pts.home,LA Clippers
6:02.0,,,10-8,,L. Mbah a Moute misses 2-pt shot from 3 ft (block by T. Gibson)
6:02.0,,,10-8,,Offensive rebound by Team
6:02.0,,,10-8,,LA Clippers full timeout
5:56.0,,,10-8,,W. Johnson misses 2-pt shot from 18 ft
5:55.0,,,10-8,,Offensive rebound by D. Jordan
5:53.0,,,10-10,2,W. Johnson makes 2-pt shot from 1 ft (assist by D. Jordan)
5:53.0,,,10-10,,Shooting foul by P. Gasol (drawn by W. Johnson)
5:53.0,,,10-10,,W. Johnson misses free throw 1 of 1
5:52.0,Defensive rebound by T. Gibson,,10-10,,
5:35.0,P. Gasol misses 2-pt shot from 4 ft (block by D. Jordan),,10-10,,
5:35.0,Offensive rebound by Team,,10-10,,
5:31.0,T. Gibson misses 2-pt shot from 18 ft,,10-10,,
5:30.0,,,10-10,,Defensive rebound by J. Redick
5:20.0,,,10-10,,L. Mbah a Moute misses 3-pt shot from 25 ft
5:19.0,,,10-10,,Offensive rebound by D. Jordan
5:05.0,,,10-13,3,W. Johnson makes 3-pt shot from 26 ft (assist by J. Redick)
4:52.0,Turnover by P. Gasol (bad pass; steal by L. Mbah a Moute),,10-13,,
4:36.0,,,10-13,,L. Mbah a Moute misses 2-pt shot from 1 ft (block by T. Gibson)
4:34.0,Defensive rebound by P. Gasol,,10-13,,
4:32.0,,,10-13,,Violation by W. Johnson (def goaltending)
4:32.0,D. Rose makes 2-pt shot from 2 ft,2,12-13,,
4:16.0,,,12-15,2,C. Paul makes 2-pt shot from 4 ft
4:03.0,J. Butler makes 3-pt shot from 23 ft (assist by E. Moore),3,15-15,,
3:46.0,,,15-17,2,C. Paul makes 2-pt shot from 16 ft
3:33.0,D. Rose makes 2-pt shot from 3 ft,2,17-17,,
3:32.0,Violation by Team (jump ball),,17-17,,
3:07.0,,,17-17,,C. Paul misses 3-pt shot from 27 ft
3:06.0,Defensive rebound by D. Rose,,17-17,,
3:00.0,J. Butler misses 2-pt shot from 2 ft,,17-17,,
3:00.0,,,17-17,,Defensive rebound by D. Jordan
2:37.0,,,17-19,2,C. Paul makes 2-pt shot from 3 ft (assist by D. Jordan)
2:35.0,Chicago full timeout,,17-19,,
2:35.0,B. Portis enters the game for E. Moore,,17-19,,
2:35.0,D. McDermott enters the game for T. Gibson,,17-19,,
2:35.0,A. Brooks enters the game for D. Rose,,17-19,,
2:35.0,,,17-19,,A. Rivers enters the game for L. Mbah a Moute
2:35.0,,,17-19,,J. Crawford enters the game for J. Redick
2:20.0,J. Butler misses 2-pt shot from 18 ft,,17-19,,
2:19.0,,,17-19,,Defensive rebound by D. Jordan
2:09.0,,,17-19,,J. Crawford misses 2-pt shot from 17 ft
2:08.0,Defensive rebound by D. McDermott,,17-19,,
1:50.0,P. Gasol misses 2-pt shot from 19 ft,,17-19,,
1:49.0,Offensive rebound by B. Portis,,17-19,,
1:45.0,B. Portis makes 2-pt shot from 1 ft,2,19-19,,
1:31.0,,,19-22,3,W. Johnson makes 3-pt shot from 24 ft (assist by C. Paul)
1:09.0,B. Portis misses 2-pt shot from 14 ft,,19-22,,
1:08.0,,,19-22,,Defensive rebound by D. Jordan
0:54.0,,,19-22,,C. Paul misses 3-pt shot from 25 ft
0:53.0,Defensive rebound by P. Gasol,,19-22,,
0:34.0,J. Butler makes 2-pt shot from 3 ft (assist by P. Gasol),2,21-22,,
0:34.0,Shooting foul by W. Johnson (drawn by J. Butler),,21-22,,
0:34.0,K. Hinrich enters the game for P. Gasol,,21-22,,
0:34.0,,,21-22,,P. Prigioni enters the game for C. Paul
0:34.0,J. Butler makes free throw 1 of 1,1,22-22,,
0:15.0,,,22-24,2,J. Crawford makes 2-pt shot from 4 ft
0:05.0,B. Portis misses 2-pt shot from 3 ft,,22-24,,
0:03.0,,,22-24,,Defensive rebound by D. Jordan
0:01.0,,,22-24,,W. Johnson misses 3-pt shot from 35 ft
0:00.0,,,22-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,K. Hinrich misses 2-pt shot from 19 ft,,22-24,,
11:46.0,,,22-24,,Defensive rebound by C. Aldrich
11:35.0,,,22-24,,Turnover by C. Aldrich (offensive foul)
11:35.0,,,22-24,,Offensive foul by C. Aldrich
11:22.0,T. Snell makes 2-pt shot from 3 ft (assist by A. Brooks),2,24-24,,
11:07.0,,,24-27,3,P. Prigioni makes 3-pt shot from 24 ft (assist by C. Aldrich)
10:44.0,T. Snell misses 2-pt shot from 6 ft,,24-27,,
10:43.0,Offensive rebound by B. Portis,,24-27,,
10:43.0,B. Portis makes 2-pt shot from 2 ft,2,26-27,,
10:33.0,Personal foul by T. Snell (drawn by A. Rivers),,26-27,,
10:33.0,,,26-27,,L. Stephenson enters the game for W. Johnson
10:24.0,,,26-29,2,J. Crawford makes 2-pt shot from 15 ft
10:12.0,B. Portis makes 2-pt shot from 17 ft,2,28-29,,
9:55.0,,,28-29,,A. Rivers misses 3-pt shot from 25 ft
9:54.0,Defensive rebound by B. Portis,,28-29,,
9:47.0,D. McDermott makes 3-pt shot from 27 ft (assist by B. Portis),3,31-29,,
9:29.0,,,31-32,3,A. Rivers makes 3-pt shot from 28 ft (assist by C. Aldrich)
9:21.0,,,31-32,,Personal foul by L. Stephenson (drawn by A. Brooks)
9:11.0,B. Portis misses 3-pt shot from 25 ft,,31-32,,
9:10.0,,,31-32,,Defensive rebound by C. Aldrich
9:06.0,,,31-32,,Shooting foul by A. Brooks (drawn by A. Rivers)
9:06.0,,,31-32,,A. Rivers misses free throw 1 of 2
9:06.0,,,31-32,,Offensive rebound by Team
9:06.0,T. Gibson enters the game for B. Portis,,31-32,,
9:06.0,,,31-33,1,A. Rivers makes free throw 2 of 2
8:54.0,Turnover by A. Brooks (bad pass; steal by L. Stephenson),,31-33,,
8:34.0,,,31-33,,Turnover by L. Stephenson (lost ball)
8:34.0,Official timeout,,31-33,,
8:12.0,A. Brooks misses 2-pt shot from 3 ft,,31-33,,
8:07.0,,,31-33,,Defensive rebound by P. Prigioni
7:58.0,,,31-33,,J. Crawford misses 2-pt shot from 19 ft
7:57.0,Defensive rebound by K. Hinrich,,31-33,,
7:46.0,D. McDermott misses 3-pt shot from 28 ft,,31-33,,
7:45.0,Offensive rebound by T. Gibson,,31-33,,
7:44.0,T. Gibson makes 2-pt shot from 3 ft,2,33-33,,
7:26.0,,,33-35,2,L. Stephenson makes 2-pt shot from 20 ft
7:07.0,K. Hinrich misses 2-pt shot from 3 ft,,33-35,,
7:07.0,Offensive rebound by T. Gibson,,33-35,,
7:07.0,,,33-35,,Personal foul by P. Prigioni (drawn by T. Gibson)
7:07.0,D. Rose enters the game for A. Brooks,,33-35,,
7:07.0,,,33-35,,C. Paul enters the game for P. Prigioni
6:54.0,T. Snell misses 2-pt shot from 4 ft,,33-35,,
6:52.0,,,33-35,,Defensive rebound by L. Stephenson
6:45.0,,,33-35,,C. Aldrich misses 2-pt shot from 3 ft
6:43.0,Defensive rebound by T. Gibson,,33-35,,
6:33.0,D. Rose misses 2-pt shot from 17 ft,,33-35,,
6:33.0,,,33-35,,Defensive rebound by Team
6:33.0,J. Butler enters the game for K. Hinrich,,33-35,,
6:33.0,,,33-35,,D. Jordan enters the game for C. Aldrich
6:19.0,,,33-35,,A. Rivers misses 2-pt shot from 3 ft (block by T. Snell)
6:16.0,Defensive rebound by T. Gibson,,33-35,,
6:10.0,D. McDermott misses 2-pt shot from 19 ft,,33-35,,
6:07.0,,,33-35,,Defensive rebound by L. Stephenson
5:47.0,,,33-38,3,J. Crawford makes 3-pt shot from 23 ft (assist by C. Paul)
5:44.0,,,33-38,,Personal foul by J. Crawford (drawn by T. Snell)
5:44.0,,,33-38,,LA Clippers full timeout
5:44.0,,,33-38,,J. Redick enters the game for A. Rivers
5:44.0,E. Moore enters the game for D. McDermott,,33-38,,
5:44.0,P. Gasol enters the game for T. Snell,,33-38,,
5:39.0,J. Butler makes 2-pt shot at rim (assist by P. Gasol),2,35-38,,
5:21.0,,,35-38,,L. Stephenson misses 2-pt shot from 16 ft
5:19.0,,,35-38,,Offensive rebound by L. Stephenson
5:15.0,,,35-41,3,J. Crawford makes 3-pt shot from 27 ft (assist by L. Stephenson)
4:58.0,J. Butler misses 2-pt shot from 15 ft,,35-41,,
4:55.0,,,35-41,,Defensive rebound by L. Stephenson
4:49.0,,,35-41,,J. Crawford misses 3-pt shot from 26 ft
4:45.0,Defensive rebound by D. Rose,,35-41,,
4:41.0,,,35-41,,Personal foul by L. Stephenson (drawn by P. Gasol)
4:33.0,E. Moore misses 2-pt shot from 6 ft,,35-41,,
4:32.0,Offensive rebound by T. Gibson,,35-41,,
4:32.0,T. Gibson misses 2-pt shot from 2 ft,,35-41,,
4:28.0,Offensive rebound by T. Gibson,,35-41,,
4:28.0,T. Gibson misses 2-pt shot from 1 ft (block by D. Jordan),,35-41,,
4:26.0,,,35-41,,Defensive rebound by J. Redick
4:13.0,,,35-41,,L. Stephenson misses 3-pt shot from 24 ft
4:12.0,Defensive rebound by P. Gasol,,35-41,,
4:07.0,,,35-41,,P. Pierce enters the game for L. Stephenson
3:53.0,J. Butler misses 2-pt shot from 7 ft,,35-41,,
3:53.0,,,35-41,,Defensive rebound by P. Pierce
3:53.0,Loose ball foul by T. Gibson (drawn by P. Pierce),,35-41,,
3:32.0,,,35-43,2,J. Crawford makes 2-pt shot from 2 ft
3:30.0,Chicago full timeout,,35-43,,
3:09.0,P. Gasol makes 2-pt shot from 4 ft,2,37-43,,
2:51.0,,,37-45,2,J. Redick makes 2-pt shot from 18 ft (assist by D. Jordan)
2:26.0,E. Moore misses 2-pt shot from 3 ft,,37-45,,
2:25.0,,,37-45,,Defensive rebound by D. Jordan
2:17.0,,,37-45,,C. Paul misses 2-pt shot from 12 ft
2:15.0,Defensive rebound by P. Gasol,,37-45,,
2:09.0,D. Rose makes 2-pt shot from 2 ft,2,39-45,,
1:48.0,,,39-45,,Turnover by C. Paul (bad pass; steal by J. Butler)
1:46.0,Shooting foul by J. Redick (drawn by J. Butler),,39-45,,
1:46.0,J. Butler makes free throw 1 of 2,1,40-45,,
1:46.0,J. Butler makes free throw 2 of 2,1,41-45,,
1:25.0,,,41-45,,P. Pierce misses 3-pt shot from 26 ft
1:23.0,Defensive rebound by E. Moore,,41-45,,
1:17.0,P. Gasol makes 2-pt shot at rim (assist by E. Moore),2,43-45,,
1:01.0,,,43-45,,Shooting foul by E. Moore (drawn by J. Redick)
1:01.0,,,43-46,1,J. Redick makes free throw 1 of 2
1:01.0,,,43-46,,L. Mbah a Moute enters the game for J. Crawford
1:01.0,,,43-47,1,J. Redick makes free throw 2 of 2
0:51.0,D. Rose misses 2-pt shot from 14 ft,,43-47,,
0:49.0,Offensive rebound by P. Gasol,,43-47,,
0:46.0,D. Rose misses 2-pt shot from 3 ft,,43-47,,
0:46.0,Offensive rebound by P. Gasol,,43-47,,
0:46.0,P. Gasol makes 2-pt shot at rim,2,45-47,,
0:41.0,Personal take foul by D. Rose (drawn by D. Jordan),,45-47,,
0:41.0,,,45-47,,D. Jordan misses free throw 1 of 2
0:41.0,,,45-47,,Offensive rebound by Team
0:41.0,,,45-48,1,D. Jordan makes free throw 2 of 2
0:33.0,D. Rose makes 2-pt shot from 3 ft,2,47-48,,
0:29.0,,,47-50,2,C. Paul makes 2-pt shot from 19 ft
0:09.0,D. Rose misses 2-pt shot from 13 ft,,47-50,,
0:08.0,,,47-50,,Defensive rebound by D. Jordan
0:00.0,,,47-50,,Shooting foul by T. Gibson (drawn by D. Jordan)
0:00.0,,,47-50,,D. Jordan misses free throw 1 of 2
0:00.0,,,47-50,,Offensive rebound by Team
0:00.0,,,47-51,1,D. Jordan makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,Shooting foul by P. Pierce (drawn by T. Gibson),,47-51,,
11:41.0,T. Gibson misses free throw 1 of 2,,47-51,,
11:41.0,Offensive rebound by Team,,47-51,,
11:41.0,T. Gibson makes free throw 2 of 2,1,48-51,,
11:25.0,Personal foul by T. Gibson (drawn by L. Mbah a Moute),,48-51,,
11:11.0,,,48-51,,P. Pierce misses 3-pt shot from 27 ft
11:10.0,Defensive rebound by D. Rose,,48-51,,
11:01.0,Turnover by D. Rose (bad pass; steal by C. Paul),,48-51,,
10:57.0,,,48-51,,J. Redick misses 2-pt shot from 2 ft
10:52.0,Defensive rebound by D. Rose,,48-51,,
10:47.0,J. Butler misses 2-pt shot from 9 ft,,48-51,,
10:45.0,,,48-51,,Defensive rebound by J. Redick
10:40.0,,,48-54,3,J. Redick makes 3-pt shot from 27 ft (assist by C. Paul)
10:25.0,D. Rose makes 2-pt shot from 3 ft,2,50-54,,
10:13.0,,,50-56,2,C. Paul makes 2-pt shot from 15 ft
9:54.0,J. Butler misses 3-pt shot from 24 ft,,50-56,,
9:54.0,,,50-56,,Defensive rebound by Team
9:54.0,Loose ball foul by T. Gibson (drawn by P. Pierce),,50-56,,
9:34.0,,,50-56,,P. Pierce misses 3-pt shot from 27 ft
9:33.0,Defensive rebound by T. Gibson,,50-56,,
9:17.0,T. Gibson misses 2-pt shot from 3 ft (block by D. Jordan),,50-56,,
9:15.0,,,50-56,,Defensive rebound by C. Paul
9:04.0,,,50-56,,C. Paul misses 2-pt shot from 15 ft
9:01.0,Defensive rebound by T. Gibson,,50-56,,
8:50.0,J. Butler makes 2-pt shot at rim (assist by P. Gasol),2,52-56,,
8:25.0,,,52-58,2,J. Redick makes 2-pt shot from 4 ft
8:12.0,P. Gasol makes 2-pt shot from 19 ft (assist by D. Rose),2,54-58,,
7:48.0,,,54-61,3,J. Redick makes 3-pt shot from 26 ft (assist by L. Mbah a Moute)
7:31.0,E. Moore makes 3-pt shot from 26 ft,3,57-61,,
7:13.0,,,57-63,2,D. Jordan makes 2-pt shot from 3 ft (assist by C. Paul)
6:59.0,P. Gasol makes 2-pt shot from 5 ft (assist by D. Rose),2,59-63,,
6:59.0,Shooting foul by D. Jordan (drawn by P. Gasol),,59-63,,
6:59.0,B. Portis enters the game for T. Gibson,,59-63,,
6:59.0,P. Gasol makes free throw 1 of 1,1,60-63,,
6:46.0,,,60-63,,L. Mbah a Moute misses 2-pt shot from 14 ft
6:45.0,,,60-63,,Offensive rebound by D. Jordan
6:45.0,,,60-65,2,D. Jordan makes 2-pt shot from 1 ft
6:32.0,P. Gasol makes 2-pt shot from 5 ft (assist by D. Rose),2,62-65,,
6:06.0,,,62-67,2,L. Mbah a Moute makes 2-pt shot from 5 ft (assist by P. Pierce)
5:52.0,D. Rose misses 2-pt shot from 16 ft,,62-67,,
5:50.0,Offensive rebound by J. Butler,,62-67,,
5:50.0,J. Butler misses 2-pt shot from 1 ft,,62-67,,
5:46.0,,,62-67,,Defensive rebound by D. Jordan
5:46.0,,,62-67,,Turnover by L. Mbah a Moute (traveling)
5:46.0,,,62-67,,LA Clippers full timeout
5:46.0,,,62-67,,W. Johnson enters the game for P. Pierce
5:28.0,J. Butler misses 2-pt shot from 4 ft,,62-67,,
5:27.0,Offensive rebound by P. Gasol,,62-67,,
5:25.0,Turnover by P. Gasol (lost ball; steal by C. Paul),,62-67,,
5:19.0,,,62-69,2,C. Paul makes 2-pt shot from 10 ft
5:07.0,D. Rose makes 2-pt shot from 1 ft,2,64-69,,
4:54.0,Personal foul by E. Moore (drawn by J. Redick),,64-69,,
4:52.0,Personal foul by E. Moore (drawn by J. Redick),,64-69,,
4:52.0,K. Hinrich enters the game for E. Moore,,64-69,,
4:48.0,Personal foul by D. Rose (drawn by C. Paul),,64-69,,
4:48.0,,,64-70,1,C. Paul makes free throw 1 of 2
4:48.0,,,64-71,1,C. Paul makes free throw 2 of 2
4:33.0,D. Rose makes 2-pt shot from 17 ft,2,66-71,,
4:31.0,Personal take foul by K. Hinrich (drawn by D. Jordan),,66-71,,
4:31.0,,,66-72,1,D. Jordan makes free throw 1 of 2
4:31.0,,,66-72,,D. Jordan misses free throw 2 of 2
4:29.0,Defensive rebound by P. Gasol,,66-72,,
4:21.0,Turnover by D. Rose (lost ball),,66-72,,
4:20.0,Personal take foul by K. Hinrich (drawn by D. Jordan),,66-72,,
4:20.0,,,66-73,1,D. Jordan makes free throw 1 of 2
4:20.0,,,66-74,1,D. Jordan makes free throw 2 of 2
4:04.0,J. Butler misses 2-pt shot from 8 ft,,66-74,,
4:02.0,,,66-74,,Defensive rebound by W. Johnson
3:43.0,,,66-74,,C. Paul misses 2-pt shot from 16 ft
3:40.0,Defensive rebound by B. Portis,,66-74,,
3:33.0,Turnover by D. Rose (lost ball; steal by D. Jordan),,66-74,,
3:29.0,,,66-74,,Shooting foul by K. Hinrich (drawn by J. Redick)
3:29.0,,,66-75,1,J. Redick makes free throw 1 of 2
3:29.0,A. Brooks enters the game for D. Rose,,66-75,,
3:29.0,,,66-75,,J. Redick misses free throw 2 of 2
3:27.0,Defensive rebound by P. Gasol,,66-75,,
3:07.0,Turnover by P. Gasol (lost ball; steal by J. Redick),,66-75,,
3:01.0,,,66-77,2,J. Redick makes 2-pt shot from 20 ft
2:59.0,Chicago full timeout,,66-77,,
2:59.0,,,66-77,,A. Rivers enters the game for J. Redick
2:59.0,,,66-77,,J. Crawford enters the game for C. Paul
2:41.0,A. Brooks misses 3-pt shot from 26 ft,,66-77,,
2:40.0,,,66-77,,Defensive rebound by J. Crawford
2:23.0,,,66-77,,W. Johnson misses 2-pt shot from 20 ft
2:22.0,Defensive rebound by B. Portis,,66-77,,
2:11.0,A. Brooks makes 2-pt shot from 2 ft,2,68-77,,
1:53.0,,,68-79,2,D. Jordan makes 2-pt shot at rim (assist by J. Crawford)
1:27.0,,,68-79,,Personal foul by W. Johnson (drawn by P. Gasol)
1:24.0,,,68-79,,Personal foul by A. Rivers (drawn by J. Butler)
1:24.0,J. Butler makes free throw 1 of 2,1,69-79,,
1:24.0,J. Butler makes free throw 2 of 2,1,70-79,,
1:13.0,,,70-79,,Turnover by A. Rivers (lost ball; steal by A. Brooks)
1:04.0,A. Brooks misses 3-pt shot from 25 ft,,70-79,,
1:03.0,,,70-79,,Defensive rebound by D. Jordan
0:55.0,,,70-79,,J. Crawford misses 2-pt shot from 16 ft
0:53.0,Defensive rebound by P. Gasol,,70-79,,
0:48.0,J. Butler makes 3-pt shot from 26 ft (assist by A. Brooks),3,73-79,,
0:35.0,,,73-82,3,A. Rivers makes 3-pt shot from 26 ft (assist by L. Mbah a Moute)
0:17.0,A. Brooks misses 2-pt shot from 2 ft (block by D. Jordan),,73-82,,
0:15.0,,,73-82,,Defensive rebound by A. Rivers
0:02.0,,,73-84,2,J. Crawford makes 2-pt shot from 13 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,73-86,2,J. Crawford makes 2-pt shot from 20 ft
11:40.0,,,73-86,,Shooting foul by A. Brooks (drawn by J. Crawford)
11:40.0,,,73-87,1,J. Crawford makes free throw 1 of 1
11:22.0,B. Portis makes 2-pt shot from 3 ft (assist by A. Brooks),2,75-87,,
11:11.0,,,75-89,2,J. Crawford makes 2-pt shot from 15 ft (assist by C. Aldrich)
11:11.0,,,75-89,,Shooting foul by E. Moore (drawn by J. Crawford)
11:11.0,,,75-90,1,J. Crawford makes free throw 1 of 1
10:56.0,D. Rose misses 2-pt shot from 4 ft,,75-90,,
10:55.0,,,75-90,,Defensive rebound by C. Aldrich
10:39.0,,,75-92,2,J. Crawford makes 2-pt shot from 2 ft
10:21.0,E. Moore makes 2-pt shot from 14 ft,2,77-92,,
10:03.0,,,77-95,3,W. Johnson makes 3-pt shot from 23 ft (assist by J. Crawford)
10:03.0,Chicago full timeout,,77-95,,
10:03.0,T. Gibson enters the game for A. Brooks,,77-95,,
10:03.0,J. Butler enters the game for B. Portis,,77-95,,
9:49.0,J. Butler misses 2-pt shot from 2 ft (block by J. Crawford),,77-95,,
9:48.0,,,77-95,,Defensive rebound by W. Johnson
9:45.0,,,77-95,,Turnover by A. Rivers (bad pass)
9:29.0,D. Rose makes 2-pt shot from 2 ft,2,79-95,,
9:04.0,,,79-95,,Turnover by C. Aldrich (bad pass)
8:50.0,J. Butler misses 2-pt shot from 5 ft,,79-95,,
8:49.0,,,79-95,,Defensive rebound by C. Aldrich
8:33.0,,,79-98,3,A. Rivers makes 3-pt shot from 24 ft (assist by W. Johnson)
8:22.0,D. Rose makes 2-pt shot from 4 ft (assist by E. Moore),2,81-98,,
8:05.0,,,81-98,,W. Johnson misses 3-pt shot from 26 ft
8:04.0,Defensive rebound by D. Rose,,81-98,,
7:53.0,D. McDermott makes 3-pt shot from 24 ft (assist by T. Gibson),3,84-98,,
7:36.0,,,84-98,,Turnover by A. Rivers (step out of bounds)
7:36.0,,,84-98,,C. Paul enters the game for P. Prigioni
7:36.0,,,84-98,,D. Jordan enters the game for C. Aldrich
7:19.0,J. Butler misses 3-pt shot from 24 ft,,84-98,,
7:18.0,Offensive rebound by T. Gibson,,84-98,,
7:14.0,Jump ball: T. Gibson vs. C. Paul (E. Moore gains possession),,,,Jump ball: T. Gibson vs. C. Paul (E. Moore gains possession)
7:08.0,E. Moore makes 2-pt shot from 17 ft,2,86-98,,
6:50.0,,,86-100,2,J. Crawford makes 2-pt shot from 11 ft
6:37.0,Turnover by D. McDermott (lost ball; steal by J. Crawford),,86-100,,
6:33.0,,,86-102,2,J. Crawford makes 2-pt shot from 1 ft (assist by A. Rivers)
6:33.0,Chicago full timeout,,86-102,,
6:15.0,J. Butler makes 2-pt shot from 5 ft,2,88-102,,
5:56.0,,,88-102,,Turnover by J. Crawford (bad pass)
5:56.0,,,88-102,,J. Redick enters the game for A. Rivers
5:45.0,J. Butler makes 2-pt shot from 16 ft,2,90-102,,
5:30.0,,,90-102,,J. Redick misses 2-pt shot from 19 ft
5:30.0,,,90-102,,Offensive rebound by Team
5:30.0,Personal foul by T. Gibson (drawn by D. Jordan),,90-102,,
5:30.0,,,90-102,,L. Mbah a Moute enters the game for W. Johnson
5:18.0,,,90-104,2,D. Jordan makes 2-pt shot at rim (assist by J. Crawford)
5:02.0,J. Butler misses 2-pt shot from 8 ft,,90-104,,
5:01.0,,,90-104,,Defensive rebound by J. Redick
4:46.0,,,90-107,3,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul)
4:35.0,E. Moore makes 2-pt shot from 5 ft (assist by D. Rose),2,92-107,,
4:35.0,Shooting foul by J. Redick (drawn by E. Moore),,92-107,,
4:35.0,E. Moore makes free throw 1 of 1,1,93-107,,
4:16.0,,,93-109,2,C. Paul makes 2-pt shot from 10 ft (assist by D. Jordan)
4:00.0,Shooting foul by L. Mbah a Moute (drawn by J. Butler),,93-109,,
4:00.0,J. Butler misses free throw 1 of 2,,93-109,,
4:00.0,Offensive rebound by Team,,93-109,,
4:00.0,B. Portis enters the game for T. Gibson,,93-109,,
4:00.0,A. Brooks enters the game for D. Rose,,93-109,,
4:00.0,J. Butler misses free throw 2 of 2,,93-109,,
3:56.0,,,93-109,,Defensive rebound by D. Jordan
3:49.0,Personal foul by D. McDermott (drawn by D. Jordan),,93-109,,
3:49.0,T. Snell enters the game for J. Butler,,93-109,,
3:49.0,C. Bairstow enters the game for E. Moore,,93-109,,
3:37.0,,,93-112,3,C. Paul makes 3-pt shot from 27 ft
3:26.0,B. Portis misses 2-pt shot from 18 ft,,93-112,,
3:24.0,,,93-112,,Defensive rebound by D. Jordan
3:16.0,,,93-114,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
3:00.0,D. McDermott misses 2-pt shot from 17 ft,,93-114,,
2:59.0,,,93-114,,Defensive rebound by D. Jordan
2:43.0,,,93-114,,C. Paul misses 3-pt shot from 25 ft
2:41.0,,,93-114,,Offensive rebound by L. Mbah a Moute
2:37.0,Official timeout,,93-114,,
2:37.0,,,93-114,,L. Stephenson enters the game for L. Mbah a Moute
2:37.0,,,93-114,,C. Wilcox enters the game for D. Jordan
2:37.0,,,93-114,,A. Rivers enters the game for J. Redick
2:37.0,,,93-114,,P. Prigioni enters the game for C. Paul
2:37.0,,,93-114,,J. Ayres enters the game for J. Crawford
2:24.0,,,93-117,3,A. Rivers makes 3-pt shot from 26 ft (assist by J. Ayres)
1:59.0,B. Portis misses 3-pt shot from 24 ft,,93-117,,
1:58.0,,,93-117,,Defensive rebound by P. Prigioni
1:45.0,,,93-117,,C. Wilcox misses 3-pt shot from 27 ft
1:44.0,Defensive rebound by C. Bairstow,,93-117,,
