time,Miami,pts.away,score,pts.home,Portland
3:57.0,,,13-16,,C. McCollum misses 2-pt shot from 19 ft
3:56.0,Defensive rebound by L. Deng,,13-16,,
3:50.0,,,13-16,,Personal foul by A. Aminu
3:50.0,,,13-16,,G. Henderson enters the game for C. McCollum
3:50.0,,,13-16,,A. Crabbe enters the game for A. Aminu
3:50.0,,,13-16,,E. Davis enters the game for M. Plumlee
3:50.0,J. Winslow enters the game for J. Johnson,,13-16,,
3:33.0,L. Deng misses 2-pt shot from 20 ft,,13-16,,
3:33.0,,,13-16,,Defensive rebound by A. Crabbe
3:21.0,,,13-16,,G. Henderson misses 3-pt shot from 24 ft
3:20.0,Defensive rebound by H. Whiteside,,13-16,,
3:11.0,G. Dragic makes 2-pt shot from 1 ft,2,15-16,,
2:56.0,,,15-16,,Turnover by D. Lillard (lost ball; steal by H. Whiteside)
2:44.0,H. Whiteside makes 2-pt shot from 7 ft,2,17-16,,
2:44.0,,,17-16,,Portland full timeout
2:44.0,J. Richardson enters the game for L. Deng,,17-16,,
2:44.0,J. McRoberts enters the game for G. Green,,17-16,,
2:44.0,,,17-16,,N. Vonleh enters the game for M. Harkless
2:23.0,,,17-18,2,G. Henderson makes 2-pt shot from 14 ft
1:57.0,J. McRoberts makes 3-pt shot from 24 ft (assist by G. Dragic),3,20-18,,
1:40.0,,,20-18,,A. Crabbe misses 2-pt shot from 14 ft
1:39.0,Defensive rebound by H. Whiteside,,20-18,,
1:22.0,H. Whiteside misses 2-pt shot from 4 ft,,20-18,,
1:21.0,Offensive rebound by Team,,20-18,,
1:10.0,Shooting foul by G. Henderson (drawn by H. Whiteside),,20-18,,
1:10.0,H. Whiteside makes free throw 1 of 2,1,21-18,,
1:10.0,J. Johnson enters the game for G. Dragic,,21-18,,
1:10.0,H. Whiteside makes free throw 2 of 2,1,22-18,,
0:59.0,,,22-20,2,D. Lillard makes 2-pt shot from 1 ft
0:41.0,Jump ball: E. Davis vs. H. Whiteside (J. Richardson gains possession),,,,Jump ball: E. Davis vs. H. Whiteside (J. Richardson gains possession)
0:35.0,J. Richardson misses 2-pt shot from 10 ft,,22-20,,
0:34.0,,,22-20,,Defensive rebound by N. Vonleh
0:15.0,,,22-20,,D. Lillard misses 2-pt shot from 2 ft
0:12.0,,,22-20,,Offensive rebound by Team
0:12.0,,,22-20,,C. McCollum enters the game for N. Vonleh
0:04.0,,,22-20,,D. Lillard misses 2-pt shot from 20 ft
0:03.0,Defensive rebound by J. McRoberts,,22-20,,
0:00.0,J. McRoberts misses 3-pt shot from 67 ft,,22-20,,
0:00.0,Offensive rebound by Team,,22-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,Offensive foul by H. Whiteside,,22-20,,
11:42.0,Turnover by H. Whiteside (offensive foul),,22-20,,
11:28.0,,,22-20,,A. Crabbe misses 2-pt shot from 17 ft
11:27.0,Defensive rebound by J. Winslow,,22-20,,
11:15.0,Shooting foul by A. Crabbe (drawn by J. Johnson),,22-20,,
11:15.0,J. Johnson misses free throw 1 of 2,,22-20,,
11:15.0,Offensive rebound by Team,,22-20,,
11:15.0,J. Johnson makes free throw 2 of 2,1,23-20,,
11:00.0,,,23-20,,Turnover by C. McCollum (lost ball)
10:51.0,J. Johnson makes 2-pt shot from 13 ft,2,25-20,,
10:39.0,,,25-20,,C. McCollum misses 2-pt shot from 2 ft (block by H. Whiteside)
10:38.0,Defensive rebound by J. Richardson,,25-20,,
10:22.0,J. Johnson misses 2-pt shot from 7 ft,,25-20,,
10:22.0,,,25-20,,Defensive rebound by E. Davis
10:13.0,,,25-20,,E. Davis misses 2-pt shot from 2 ft (block by H. Whiteside)
10:12.0,Defensive rebound by H. Whiteside,,25-20,,
10:02.0,H. Whiteside misses 2-pt shot from 18 ft,,25-20,,
10:01.0,,,25-20,,Defensive rebound by E. Davis
9:47.0,,,25-22,2,C. McCollum makes 2-pt shot from 3 ft
9:34.0,J. McRoberts misses 3-pt shot from 24 ft,,25-22,,
9:34.0,,,25-22,,Defensive rebound by E. Davis
9:30.0,,,25-22,,Turnover by E. Davis (traveling)
9:14.0,J. Johnson misses 2-pt shot from 8 ft,,25-22,,
9:13.0,,,25-22,,Defensive rebound by E. Davis
9:04.0,,,25-25,3,G. Henderson makes 3-pt shot from 22 ft (assist by C. McCollum)
8:51.0,Turnover by H. Whiteside (lost ball; steal by E. Davis),,25-25,,
8:51.0,Personal foul by H. Whiteside,,25-25,,
8:51.0,Official timeout,,25-25,,
8:29.0,,,25-25,,N. Vonleh misses 2-pt shot from 2 ft (block by H. Whiteside)
8:29.0,Defensive rebound by H. Whiteside,,25-25,,
8:15.0,J. Richardson misses 2-pt shot from 22 ft,,25-25,,
8:15.0,,,25-25,,Defensive rebound by Team
8:08.0,,,25-28,3,A. Crabbe makes 3-pt shot from 23 ft (assist by C. McCollum)
7:42.0,J. Johnson misses 3-pt shot from 23 ft,,25-28,,
7:40.0,,,25-28,,Defensive rebound by N. Vonleh
7:31.0,,,25-30,2,G. Henderson makes 2-pt shot from 14 ft
7:28.0,Miami full timeout,,25-30,,
7:28.0,G. Dragic enters the game for J. Johnson,,25-30,,
7:05.0,Turnover by J. McRoberts (lost ball; steal by C. McCollum),,25-30,,
7:05.0,Personal foul by J. McRoberts,,25-30,,
7:05.0,L. Deng enters the game for J. McRoberts,,25-30,,
7:05.0,,,25-30,,A. Aminu enters the game for N. Vonleh
6:51.0,,,25-33,3,C. McCollum makes 3-pt shot from 23 ft
6:37.0,H. Whiteside makes 2-pt shot from 1 ft (assist by J. Richardson),2,27-33,,
6:37.0,Shooting foul by E. Davis (drawn by H. Whiteside),,27-33,,
6:37.0,H. Whiteside makes free throw 1 of 1,1,28-33,,
6:24.0,,,28-33,,C. McCollum misses 2-pt shot from 19 ft
6:23.0,,,28-33,,Offensive rebound by E. Davis
6:19.0,,,28-33,,G. Henderson misses 2-pt shot from 16 ft
6:18.0,,,28-33,,Offensive rebound by E. Davis
6:18.0,,,28-35,2,E. Davis makes 2-pt shot at rim
6:00.0,J. Richardson makes 3-pt shot from 24 ft (assist by L. Deng),3,31-35,,
5:49.0,,,31-37,2,C. McCollum makes 2-pt shot from 19 ft
5:38.0,G. Dragic misses 2-pt shot from 5 ft,,31-37,,
5:38.0,,,31-37,,Defensive rebound by E. Davis
5:27.0,,,31-37,,C. McCollum misses 2-pt shot from 23 ft
5:26.0,,,31-37,,Offensive rebound by E. Davis
5:19.0,,,31-37,,G. Henderson misses 2-pt shot from 2 ft (block by H. Whiteside)
5:18.0,Defensive rebound by H. Whiteside,,31-37,,
5:10.0,H. Whiteside makes 2-pt shot from 3 ft (assist by J. Winslow),2,33-37,,
5:10.0,Shooting foul by C. McCollum (drawn by H. Whiteside),,33-37,,
5:10.0,,,33-37,,D. Lillard enters the game for C. McCollum
5:10.0,,,33-37,,M. Plumlee enters the game for E. Davis
5:10.0,H. Whiteside makes free throw 1 of 1,1,34-37,,
4:56.0,,,34-37,,A. Crabbe misses 2-pt shot from 15 ft
4:56.0,Defensive rebound by H. Whiteside,,34-37,,
4:44.0,L. Deng misses 3-pt shot from 23 ft,,34-37,,
4:43.0,,,34-37,,Defensive rebound by G. Henderson
4:40.0,,,34-37,,Shooting foul by L. Deng (drawn by A. Aminu)
4:40.0,,,34-38,1,A. Aminu makes free throw 1 of 2
4:40.0,,,34-38,,M. Harkless enters the game for A. Crabbe
4:40.0,,,34-39,1,A. Aminu makes free throw 2 of 2
4:23.0,J. Richardson misses 2-pt shot from 3 ft,,34-39,,
4:22.0,,,34-39,,Defensive rebound by G. Henderson
4:17.0,,,34-41,2,G. Henderson makes 2-pt shot from 1 ft
4:17.0,,,34-41,,Shooting foul by J. Winslow (drawn by G. Henderson)
4:17.0,J. Johnson enters the game for J. Winslow,,34-41,,
4:17.0,,,34-42,1,G. Henderson makes free throw 1 of 1
3:56.0,L. Deng misses 2-pt shot from 3 ft (block by M. Plumlee),,34-42,,
3:55.0,,,34-42,,Defensive rebound by A. Aminu
3:49.0,,,34-44,2,M. Harkless makes 2-pt shot from 1 ft (assist by M. Plumlee)
3:45.0,Miami full timeout,,34-44,,
3:45.0,J. McRoberts enters the game for H. Whiteside,,34-44,,
3:30.0,J. McRoberts misses 2-pt shot from 2 ft,,34-44,,
3:29.0,,,34-44,,Defensive rebound by Team
3:19.0,,,34-44,,Turnover by D. Lillard (lost ball; steal by J. Richardson)
3:18.0,Turnover by J. Richardson (step out of bounds),,34-44,,
3:14.0,,,34-44,,Turnover by G. Henderson (lost ball)
3:04.0,G. Dragic misses 2-pt shot from 14 ft,,34-44,,
3:03.0,,,34-44,,Defensive rebound by M. Plumlee
2:53.0,,,34-44,,D. Lillard misses 2-pt shot from 22 ft
2:53.0,,,34-44,,Offensive rebound by M. Harkless
2:53.0,,,34-46,2,M. Harkless makes 2-pt shot at rim
2:37.0,Shooting foul by M. Plumlee (drawn by L. Deng),,34-46,,
2:37.0,,,34-46,,Portland full timeout
2:37.0,,,34-46,,C. McCollum enters the game for G. Henderson
2:37.0,G. Green enters the game for J. Richardson,,34-46,,
2:37.0,L. Deng makes free throw 1 of 2,1,35-46,,
2:37.0,L. Deng misses free throw 2 of 2,,35-46,,
2:36.0,,,35-46,,Defensive rebound by M. Harkless
2:18.0,,,35-48,2,D. Lillard makes 2-pt shot from 14 ft (assist by A. Aminu)
1:55.0,J. Johnson misses 2-pt shot from 6 ft,,35-48,,
1:55.0,,,35-48,,Defensive rebound by M. Harkless
1:47.0,,,35-48,,Shooting foul by G. Dragic (drawn by D. Lillard)
1:47.0,,,35-49,1,D. Lillard makes free throw 1 of 2
1:47.0,,,35-50,1,D. Lillard makes free throw 2 of 2
1:28.0,G. Green makes 2-pt shot from 17 ft (assist by J. McRoberts),2,37-50,,
1:09.0,,,37-50,,Shooting foul by G. Dragic (drawn by D. Lillard)
1:09.0,,,37-51,1,D. Lillard makes free throw 1 of 2
1:09.0,J. Richardson enters the game for G. Dragic,,37-51,,
1:09.0,,,37-52,1,D. Lillard makes free throw 2 of 2
1:04.0,Turnover by J. Richardson (lost ball; steal by M. Plumlee),,37-52,,
1:00.0,,,37-54,2,M. Plumlee makes 2-pt shot at rim
0:43.0,J. Richardson makes 2-pt shot from 16 ft (assist by J. McRoberts),2,39-54,,
0:30.0,,,39-57,3,A. Aminu makes 3-pt shot from 24 ft (assist by M. Plumlee)
0:13.0,J. McRoberts makes 3-pt shot from 25 ft (assist by G. Green),3,42-57,,
0:13.0,,,42-57,,Portland full timeout
0:13.0,J. Winslow enters the game for L. Deng,,42-57,,
0:13.0,,,42-57,,A. Crabbe enters the game for M. Plumlee
0:02.0,Personal foul by J. Richardson,,42-57,,
0:02.0,,,42-58,1,D. Lillard makes free throw 1 of 2
0:02.0,,,42-59,1,D. Lillard makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Shooting foul by M. Plumlee (drawn by A. Stoudemire),,42-59,,
11:46.0,A. Stoudemire makes free throw 1 of 2,1,43-59,,
11:46.0,A. Stoudemire makes free throw 2 of 2,1,44-59,,
11:23.0,,,44-61,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
11:07.0,G. Dragic makes 2-pt shot from 5 ft,2,46-61,,
11:00.0,,,46-61,,Shooting foul by L. Deng (drawn by D. Lillard)
11:00.0,,,46-62,1,D. Lillard makes free throw 1 of 2
11:00.0,,,46-63,1,D. Lillard makes free throw 2 of 2
10:52.0,,,46-63,,Violation by M. Harkless (kicked ball)
10:42.0,L. Deng misses 2-pt shot from 17 ft,,46-63,,
10:41.0,Offensive rebound by A. Stoudemire,,46-63,,
10:39.0,A. Stoudemire misses 2-pt shot from 1 ft,,46-63,,
10:39.0,,,46-63,,Defensive rebound by M. Plumlee
10:32.0,,,46-66,3,C. McCollum makes 3-pt shot from 24 ft
10:13.0,Turnover by G. Dragic (lost ball; steal by A. Aminu),,46-66,,
10:04.0,,,46-66,,Turnover by M. Plumlee (lost ball; steal by L. Deng)
9:56.0,G. Green misses 3-pt shot from 24 ft,,46-66,,
9:56.0,Offensive rebound by Team,,46-66,,
9:56.0,,,46-66,,Loose ball foul by M. Plumlee
9:48.0,J. Johnson makes 2-pt shot from 16 ft,2,48-66,,
9:34.0,,,48-68,2,D. Lillard makes 2-pt shot from 1 ft (assist by M. Plumlee)
9:20.0,J. Johnson makes 2-pt shot from 9 ft,2,50-68,,
9:01.0,,,50-71,3,A. Aminu makes 3-pt shot from 24 ft
8:39.0,L. Deng misses 3-pt shot from 22 ft,,50-71,,
8:38.0,,,50-71,,Defensive rebound by M. Plumlee
8:31.0,,,50-71,,D. Lillard misses 3-pt shot from 26 ft
8:31.0,Defensive rebound by L. Deng,,50-71,,
8:17.0,G. Dragic misses 3-pt shot from 23 ft,,50-71,,
8:16.0,Offensive rebound by L. Deng,,50-71,,
8:11.0,L. Deng makes 2-pt shot from 2 ft,2,52-71,,
7:54.0,,,52-73,2,C. McCollum makes 2-pt shot from 12 ft
7:45.0,G. Green misses 2-pt shot from 10 ft,,52-73,,
7:44.0,,,52-73,,Defensive rebound by A. Aminu
7:36.0,,,52-73,,Turnover by C. McCollum (lost ball; steal by G. Green)
7:31.0,H. Whiteside enters the game for A. Stoudemire,,52-73,,
7:28.0,,,52-73,,Personal foul by M. Harkless
7:16.0,J. Johnson misses 2-pt shot from 15 ft,,52-73,,
7:15.0,,,52-73,,Defensive rebound by C. McCollum
7:03.0,,,52-75,2,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum)
7:03.0,Miami full timeout,,52-75,,
6:47.0,Turnover by L. Deng (lost ball; steal by C. McCollum),,52-75,,
6:41.0,,,52-75,,A. Aminu misses 2-pt shot from 3 ft
6:41.0,Defensive rebound by L. Deng,,52-75,,
6:30.0,H. Whiteside misses 2-pt shot at rim,,52-75,,
6:29.0,,,52-75,,Defensive rebound by M. Plumlee
6:22.0,,,52-77,2,M. Harkless makes 2-pt shot at rim (assist by D. Lillard)
6:09.0,G. Dragic misses 2-pt shot from 11 ft,,52-77,,
6:08.0,,,52-77,,Defensive rebound by A. Aminu
6:03.0,,,52-77,,M. Plumlee misses 2-pt shot from 4 ft
6:02.0,Defensive rebound by L. Deng,,52-77,,
5:57.0,Shooting foul by M. Harkless (drawn by G. Dragic),,52-77,,
5:57.0,G. Dragic makes free throw 1 of 2,1,53-77,,
5:57.0,J. Winslow enters the game for L. Deng,,53-77,,
5:57.0,G. Dragic makes free throw 2 of 2,1,54-77,,
5:42.0,,,54-80,3,C. McCollum makes 3-pt shot from 24 ft
5:25.0,H. Whiteside misses 2-pt shot from 5 ft,,54-80,,
5:22.0,Offensive rebound by J. Winslow,,54-80,,
5:22.0,J. Winslow misses 2-pt shot from 1 ft,,54-80,,
5:22.0,,,54-80,,Defensive rebound by A. Aminu
5:12.0,Violation by H. Whiteside (def goaltending),,54-80,,
5:12.0,,,54-82,2,M. Harkless makes 2-pt shot from 2 ft (assist by M. Plumlee)
4:57.0,,,54-82,,Personal foul by C. McCollum
4:57.0,H. Whiteside makes free throw 1 of 2,1,55-82,,
4:57.0,J. Richardson enters the game for G. Dragic,,55-82,,
4:57.0,H. Whiteside makes free throw 2 of 2,1,56-82,,
4:37.0,,,56-82,,D. Lillard misses 2-pt shot from 6 ft
4:37.0,Defensive rebound by H. Whiteside,,56-82,,
4:37.0,,,56-82,,Personal foul by M. Plumlee
4:37.0,H. Whiteside misses free throw 1 of 2,,56-82,,
4:37.0,Offensive rebound by Team,,56-82,,
4:37.0,,,56-82,,A. Crabbe enters the game for M. Harkless
4:37.0,,,56-82,,E. Davis enters the game for M. Plumlee
4:37.0,,,56-82,,G. Henderson enters the game for C. McCollum
4:37.0,H. Whiteside misses free throw 2 of 2,,56-82,,
4:36.0,,,56-82,,Defensive rebound by A. Aminu
4:23.0,,,56-82,,A. Aminu misses 3-pt shot from 26 ft
4:22.0,,,56-82,,Offensive rebound by E. Davis
4:11.0,,,56-82,,G. Henderson misses 2-pt shot from 14 ft
4:10.0,Defensive rebound by G. Green,,56-82,,
4:00.0,H. Whiteside misses 2-pt shot from 8 ft,,56-82,,
4:00.0,Offensive rebound by Team,,56-82,,
4:00.0,,,56-82,,Loose ball foul by E. Davis
4:00.0,J. Johnson misses free throw 1 of 2,,56-82,,
4:00.0,Offensive rebound by Team,,56-82,,
4:00.0,J. Johnson makes free throw 2 of 2,1,57-82,,
3:39.0,,,57-82,,A. Aminu misses 2-pt shot from 11 ft
3:38.0,Defensive rebound by H. Whiteside,,57-82,,
3:28.0,J. Richardson misses 2-pt shot from 18 ft,,57-82,,
3:26.0,,,57-82,,Defensive rebound by E. Davis
3:14.0,,,57-82,,A. Aminu misses 2-pt shot from 2 ft
3:13.0,Defensive rebound by J. Winslow,,57-82,,
3:05.0,J. Winslow misses 2-pt shot from 6 ft,,57-82,,
3:05.0,Offensive rebound by H. Whiteside,,57-82,,
3:05.0,Shooting foul by A. Aminu (drawn by H. Whiteside),,57-82,,
3:05.0,H. Whiteside misses free throw 1 of 2,,57-82,,
3:05.0,Offensive rebound by Team,,57-82,,
3:05.0,H. Whiteside makes free throw 2 of 2,1,58-82,,
2:47.0,,,58-84,2,G. Henderson makes 2-pt shot at rim
2:24.0,G. Green misses 3-pt shot from 24 ft,,58-84,,
2:23.0,,,58-84,,Defensive rebound by A. Aminu
2:15.0,,,58-84,,D. Lillard misses 2-pt shot from 14 ft
2:14.0,Defensive rebound by H. Whiteside,,58-84,,
2:07.0,H. Whiteside makes 2-pt shot at rim (assist by J. Winslow),2,60-84,,
2:07.0,Shooting foul by E. Davis (drawn by H. Whiteside),,60-84,,
2:07.0,,,60-84,,Portland full timeout
2:07.0,,,60-84,,M. Harkless enters the game for A. Aminu
2:07.0,G. Dragic enters the game for J. Johnson,,60-84,,
2:07.0,L. Deng enters the game for G. Green,,60-84,,
2:07.0,H. Whiteside makes free throw 1 of 1,1,61-84,,
1:46.0,,,61-86,2,A. Crabbe makes 2-pt shot from 13 ft
1:32.0,G. Dragic makes 2-pt shot from 4 ft,2,63-86,,
1:20.0,Personal foul by H. Whiteside,,63-86,,
1:20.0,,,63-87,1,G. Henderson makes free throw 1 of 2
1:20.0,,,63-87,,G. Henderson misses free throw 2 of 2
1:19.0,Defensive rebound by H. Whiteside,,63-87,,
1:00.0,Turnover by L. Deng (lost ball; steal by M. Harkless),,63-87,,
0:53.0,,,63-87,,A. Crabbe misses 2-pt shot from 21 ft
0:52.0,Defensive rebound by H. Whiteside,,63-87,,
0:46.0,J. Winslow misses 2-pt shot from 2 ft,,63-87,,
0:45.0,Offensive rebound by L. Deng,,63-87,,
0:45.0,L. Deng makes 2-pt shot at rim,2,65-87,,
0:30.0,,,65-87,,D. Lillard misses 2-pt shot from 6 ft
0:28.0,,,65-87,,Offensive rebound by E. Davis
0:08.0,Personal block foul by J. Winslow,,65-87,,
0:08.0,,,65-87,,D. Lillard misses free throw 1 of 2
0:08.0,,,65-87,,Offensive rebound by Team
0:08.0,,,65-87,,D. Lillard misses free throw 2 of 2
0:08.0,Defensive rebound by L. Deng,,65-87,,
0:00.0,G. Dragic makes 2-pt shot from 9 ft,2,67-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,67-89,2,G. Henderson makes 2-pt shot from 17 ft (assist by C. McCollum)
11:30.0,Shooting foul by C. McCollum (drawn by G. Dragic),,67-89,,
11:30.0,G. Dragic misses free throw 1 of 2,,67-89,,
11:30.0,Offensive rebound by Team,,67-89,,
11:30.0,G. Dragic makes free throw 2 of 2,1,68-89,,
11:06.0,,,68-89,,G. Henderson misses 3-pt shot from 22 ft
11:06.0,Defensive rebound by Team,,68-89,,
10:47.0,J. Richardson makes 2-pt shot from 1 ft (assist by H. Whiteside),2,70-89,,
10:29.0,,,70-89,,C. McCollum misses 2-pt shot from 15 ft
10:28.0,Defensive rebound by L. Deng,,70-89,,
10:24.0,Shooting foul by A. Crabbe (drawn by L. Deng),,70-89,,
10:24.0,L. Deng makes free throw 1 of 2,1,71-89,,
10:24.0,,,71-89,,M. Plumlee enters the game for E. Davis
10:24.0,L. Deng makes free throw 2 of 2,1,72-89,,
10:04.0,,,72-89,,A. Crabbe misses 2-pt shot from 20 ft
10:02.0,,,72-89,,Offensive rebound by G. Henderson
10:02.0,Personal foul by J. Winslow,,72-89,,
9:59.0,,,72-89,,Shooting foul by J. Winslow (drawn by G. Henderson)
9:59.0,,,72-90,1,G. Henderson makes free throw 1 of 2
9:59.0,,,72-91,1,G. Henderson makes free throw 2 of 2
9:43.0,G. Dragic misses 2-pt shot from 12 ft,,72-91,,
9:42.0,,,72-91,,Defensive rebound by M. Plumlee
9:31.0,,,72-91,,C. McCollum misses 2-pt shot from 11 ft
9:29.0,Defensive rebound by H. Whiteside,,72-91,,
9:17.0,J. Richardson misses 2-pt shot from 2 ft (block by A. Crabbe),,72-91,,
9:17.0,Offensive rebound by Team,,72-91,,
9:07.0,H. Whiteside misses 2-pt shot from 2 ft,,72-91,,
9:07.0,Offensive rebound by Team,,72-91,,
9:07.0,Turnover by Team (shot clock),,72-91,,
8:49.0,,,72-93,2,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum)
8:32.0,L. Deng makes 2-pt shot from 6 ft,2,74-93,,
8:11.0,,,74-95,2,M. Plumlee makes 2-pt shot from 12 ft (assist by C. McCollum)
7:50.0,J. Winslow misses 2-pt shot from 17 ft,,74-95,,
7:49.0,,,74-95,,Defensive rebound by M. Plumlee
7:36.0,,,74-98,3,C. McCollum makes 3-pt shot from 24 ft (assist by M. Plumlee)
7:35.0,Miami full timeout,,74-98,,
7:19.0,J. Richardson makes 2-pt shot from 2 ft,2,76-98,,
6:59.0,,,76-98,,Turnover by C. McCollum (bad pass)
6:42.0,H. Whiteside makes 2-pt shot from 7 ft (assist by J. Richardson),2,78-98,,
6:26.0,,,78-98,,Turnover by C. McCollum (step out of bounds)
6:08.0,L. Deng makes 3-pt shot from 24 ft (assist by J. Richardson),3,81-98,,
5:45.0,,,81-101,3,C. McCollum makes 3-pt shot from 24 ft
5:27.0,H. Whiteside misses 2-pt shot from 7 ft,,81-101,,
5:27.0,,,81-101,,Defensive rebound by C. McCollum
5:21.0,,,81-103,2,M. Plumlee makes 2-pt shot from 1 ft (assist by G. Henderson)
5:06.0,Turnover by H. Whiteside (lost ball),,81-103,,
5:06.0,Official timeout,,81-103,,
5:06.0,,,81-103,,B. Roberts enters the game for C. McCollum
5:06.0,U. Haslem enters the game for L. Deng,,81-103,,
5:06.0,J. McRoberts enters the game for H. Whiteside,,81-103,,
4:59.0,,,81-103,,Turnover by B. Roberts (lost ball; steal by J. Richardson)
4:59.0,,,81-103,,Personal foul by A. Crabbe
4:43.0,J. McRoberts misses 2-pt shot from 16 ft,,81-103,,
4:42.0,Offensive rebound by G. Dragic,,81-103,,
4:40.0,G. Dragic makes 2-pt shot from 1 ft,2,83-103,,
4:16.0,,,83-103,,Shooting foul by J. McRoberts (drawn by M. Harkless)
4:16.0,,,83-104,1,M. Harkless makes free throw 1 of 2
4:16.0,,,83-104,,C. Kaman enters the game for M. Plumlee
4:16.0,G. Green enters the game for G. Dragic,,83-104,,
