time,Utah,pts.away,score,pts.home,New York
3:51.0,G. Hayward makes 2-pt shot from 10 ft (assist by T. Burke),2,16-13,,
3:39.0,,,16-15,2,J. Calderon makes 2-pt shot from 12 ft
3:19.0,T. Burke misses 3-pt shot from 24 ft,,16-15,,
3:17.0,Offensive rebound by T. Booker,,16-15,,
3:07.0,,,16-15,,Personal foul by A. Afflalo (drawn by R. Hood)
3:07.0,,,16-15,,L. Galloway enters the game for A. Afflalo
3:07.0,C. Johnson enters the game for R. Hood,,16-15,,
2:54.0,T. Burke misses 2-pt shot from 5 ft (block by J. Calderon),,16-15,,
2:52.0,Offensive rebound by T. Burke,,16-15,,
2:52.0,T. Burke misses 2-pt shot from 3 ft,,16-15,,
2:49.0,,,16-15,,Defensive rebound by L. Galloway
2:37.0,,,16-15,,D. Williams misses 2-pt shot from 2 ft
2:35.0,Defensive rebound by R. Gobert,,16-15,,
2:14.0,C. Johnson misses 2-pt shot from 2 ft (block by R. Lopez),,16-15,,
2:11.0,Offensive rebound by T. Booker,,16-15,,
2:11.0,T. Booker misses 2-pt shot from 1 ft,,16-15,,
2:10.0,,,16-15,,Defensive rebound by R. Lopez
1:59.0,,,16-15,,J. Calderon misses 3-pt shot from 24 ft
1:57.0,Defensive rebound by T. Burke,,16-15,,
1:52.0,G. Hayward makes 2-pt shot at rim (assist by T. Burke),2,18-15,,
1:30.0,,,18-17,2,C. Anthony makes 2-pt shot at rim
1:29.0,Utah full timeout,,18-17,,
1:29.0,,,18-17,,K. O'Quinn enters the game for C. Anthony
1:29.0,,,18-17,,J. Grant enters the game for R. Lopez
1:29.0,,,18-17,,A. Afflalo enters the game for J. Calderon
1:18.0,Shooting foul by J. Grant (drawn by G. Hayward),,18-17,,
1:18.0,G. Hayward makes free throw 1 of 2,1,19-17,,
1:18.0,G. Hayward makes free throw 2 of 2,1,20-17,,
0:57.0,,,20-17,,D. Williams misses 2-pt shot from 3 ft
0:55.0,Defensive rebound by T. Booker,,20-17,,
0:40.0,C. Johnson misses 3-pt shot from 24 ft,,20-17,,
0:38.0,,,20-17,,Defensive rebound by Team
0:38.0,J. Withey enters the game for R. Gobert,,20-17,,
0:26.0,,,20-17,,L. Galloway misses 2-pt shot from 17 ft
0:24.0,Defensive rebound by C. Johnson,,20-17,,
0:02.0,T. Burke makes 2-pt shot from 3 ft,2,22-17,,
0:00.0,,,22-17,,D. Williams misses 3-pt shot from 44 ft
0:00.0,,,22-17,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,22-19,2,A. Afflalo makes 2-pt shot from 5 ft (assist by D. Williams)
11:21.0,T. Burke misses 2-pt shot from 16 ft,,22-19,,
11:19.0,,,22-19,,Defensive rebound by D. Williams
11:10.0,,,22-21,2,D. Williams makes 2-pt shot from 1 ft (assist by L. Galloway)
11:10.0,,,22-21,,Shooting foul by J. Withey (drawn by D. Williams)
11:10.0,,,22-22,1,D. Williams makes free throw 1 of 1
10:47.0,C. Johnson misses 3-pt shot from 29 ft,,22-22,,
10:46.0,Offensive rebound by Team,,22-22,,
10:46.0,Turnover by Team (shot clock),,22-22,,
10:33.0,,,22-22,,K. O'Quinn misses 2-pt shot from 14 ft
10:31.0,Defensive rebound by T. Booker,,22-22,,
10:21.0,J. Ingles misses 3-pt shot from 25 ft,,22-22,,
10:19.0,,,22-22,,Defensive rebound by L. Galloway
10:15.0,,,22-22,,L. Galloway misses 2-pt shot from 2 ft
10:14.0,,,22-22,,Offensive rebound by K. O'Quinn
10:14.0,,,22-22,,K. O'Quinn misses 2-pt shot from 1 ft
10:13.0,Defensive rebound by C. Johnson,,22-22,,
10:02.0,T. Burke misses 2-pt shot from 11 ft,,22-22,,
10:00.0,,,22-22,,Defensive rebound by K. O'Quinn
9:53.0,,,22-22,,J. Grant misses 2-pt shot from 1 ft (block by J. Withey)
9:51.0,Defensive rebound by C. Johnson,,22-22,,
9:38.0,J. Ingles makes 2-pt shot from 1 ft,2,24-22,,
9:20.0,,,24-22,,Turnover by D. Williams (lost ball)
9:20.0,R. Hood enters the game for C. Johnson,,24-22,,
9:07.0,Shooting foul by K. O'Quinn (drawn by J. Withey),,24-22,,
9:07.0,J. Withey makes free throw 1 of 2,1,25-22,,
9:07.0,J. Withey makes free throw 2 of 2,1,26-22,,
8:44.0,,,26-22,,J. Grant misses 2-pt shot from 5 ft
8:42.0,Defensive rebound by R. Hood,,26-22,,
8:33.0,Turnover by T. Booker (lost ball; steal by L. Galloway),,26-22,,
8:25.0,,,26-22,,A. Afflalo misses 2-pt shot from 19 ft
8:24.0,Defensive rebound by R. Hood,,26-22,,
8:17.0,J. Withey makes 2-pt shot from 1 ft (assist by J. Ingles),2,28-22,,
8:16.0,,,28-22,,New York full timeout
8:16.0,,,28-22,,C. Anthony enters the game for D. Williams
8:16.0,,,28-22,,K. Porzingis enters the game for J. Grant
8:16.0,,,28-22,,J. Calderon enters the game for K. O'Quinn
8:16.0,T. Lyles enters the game for T. Booker,,28-22,,
7:58.0,,,28-22,,Turnover by K. Porzingis (lost ball)
7:57.0,,,28-22,,Personal foul by K. Porzingis (drawn by T. Lyles)
7:42.0,R. Hood makes 2-pt shot from 9 ft,2,30-22,,
7:31.0,,,30-22,,K. Porzingis misses 3-pt shot from 24 ft
7:29.0,Defensive rebound by T. Burke,,30-22,,
7:18.0,G. Hayward enters the game for J. Ingles,,30-22,,
7:18.0,Offensive foul by T. Lyles,,30-22,,
7:18.0,Turnover by T. Lyles (offensive foul),,30-22,,
6:54.0,,,30-22,,C. Anthony misses 2-pt shot from 20 ft
6:52.0,Defensive rebound by R. Hood,,30-22,,
6:44.0,Shooting foul by L. Galloway (drawn by R. Hood),,30-22,,
6:44.0,R. Hood makes free throw 1 of 2,1,31-22,,
6:44.0,R. Gobert enters the game for J. Withey,,31-22,,
6:44.0,R. Neto enters the game for T. Burke,,31-22,,
6:44.0,R. Hood makes free throw 2 of 2,1,32-22,,
6:35.0,Personal foul by T. Lyles (drawn by C. Anthony),,32-22,,
6:35.0,,,32-22,,R. Lopez enters the game for L. Galloway
6:35.0,T. Booker enters the game for T. Lyles,,32-22,,
6:28.0,,,32-22,,Turnover by C. Anthony (traveling)
6:08.0,R. Hood makes 3-pt shot from 25 ft,3,35-22,,
5:50.0,,,35-22,,K. Porzingis misses 3-pt shot from 25 ft
5:48.0,Defensive rebound by T. Booker,,35-22,,
5:36.0,R. Gobert misses 2-pt shot from 2 ft (block by K. Porzingis),,35-22,,
5:35.0,,,35-22,,Defensive rebound by Team
5:35.0,Official timeout,,35-22,,
5:35.0,Jump ball: R. Gobert vs. R. Lopez (K. Porzingis gains possession),,,,Jump ball: R. Gobert vs. R. Lopez (K. Porzingis gains possession)
5:14.0,,,35-24,2,J. Calderon makes 2-pt shot from 21 ft
4:58.0,G. Hayward misses 2-pt shot from 1 ft (block by K. Porzingis),,35-24,,
4:57.0,,,35-24,,Defensive rebound by Team
4:38.0,,,35-26,2,C. Anthony makes 2-pt shot from 12 ft
4:20.0,Offensive foul by T. Booker,,35-26,,
4:20.0,Turnover by T. Booker (offensive foul),,35-26,,
4:20.0,T. Burke enters the game for R. Neto,,35-26,,
4:05.0,,,35-26,,K. Porzingis misses 3-pt shot from 26 ft
4:04.0,,,35-26,,Offensive rebound by R. Lopez
4:04.0,,,35-26,,R. Lopez misses 2-pt shot from 2 ft
4:04.0,,,35-26,,Offensive rebound by K. Porzingis
4:01.0,,,35-28,2,K. Porzingis makes 2-pt shot at rim
4:01.0,Utah full timeout,,35-28,,
3:45.0,R. Hood makes 3-pt shot from 26 ft (assist by T. Burke),3,38-28,,
3:27.0,,,38-28,,K. Porzingis misses 2-pt shot from 20 ft
3:25.0,Defensive rebound by R. Gobert,,38-28,,
3:18.0,,,38-28,,Violation by K. Porzingis (kicked ball)
3:03.0,R. Hood misses 3-pt shot from 26 ft,,38-28,,
3:01.0,,,38-28,,Defensive rebound by C. Anthony
2:51.0,,,38-30,2,R. Lopez makes 2-pt shot from 2 ft (assist by K. Porzingis)
2:33.0,T. Burke makes 2-pt shot from 20 ft,2,40-30,,
2:20.0,,,40-30,,J. Calderon misses 2-pt shot from 19 ft
2:18.0,Defensive rebound by R. Gobert,,40-30,,
2:10.0,,,40-30,,Violation by J. Calderon (kicked ball)
1:58.0,T. Burke makes 3-pt shot from 23 ft (assist by R. Hood),3,43-30,,
1:30.0,,,43-32,2,K. Porzingis makes 2-pt shot from 11 ft
1:14.0,G. Hayward misses 2-pt shot from 6 ft,,43-32,,
1:13.0,Offensive rebound by G. Hayward,,43-32,,
1:12.0,Shooting foul by K. Porzingis (drawn by G. Hayward),,43-32,,
1:12.0,G. Hayward makes free throw 1 of 2,1,44-32,,
1:12.0,G. Hayward makes free throw 2 of 2,1,45-32,,
0:57.0,,,45-35,3,K. Porzingis makes 3-pt shot from 25 ft (assist by A. Afflalo)
0:39.0,G. Hayward makes 2-pt shot from 15 ft,2,47-35,,
0:24.0,,,47-37,2,C. Anthony makes 2-pt shot from 1 ft (assist by A. Afflalo)
0:04.0,R. Hood misses 3-pt shot from 25 ft,,47-37,,
0:03.0,Offensive rebound by Team,,47-37,,
0:03.0,,,47-37,,Loose ball foul by C. Anthony (drawn by T. Booker)
0:03.0,T. Booker misses free throw 1 of 2,,47-37,,
0:03.0,Offensive rebound by Team,,47-37,,
0:03.0,T. Booker makes free throw 2 of 2,1,48-37,,
0:03.0,,,48-37,,New York full timeout
0:02.0,,,48-37,,Turnover by R. Lopez (bad pass; steal by G. Hayward)
0:01.0,G. Hayward misses 2-pt shot from 10 ft,,48-37,,
0:00.0,Offensive rebound by Team,,48-37,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,48-39,2,C. Anthony makes 2-pt shot from 1 ft
11:30.0,,,48-39,,Personal foul by J. Calderon (drawn by R. Neto)
11:19.0,R. Gobert misses 2-pt shot from 5 ft,,48-39,,
11:18.0,,,48-39,,Defensive rebound by R. Lopez
11:04.0,,,48-41,2,C. Anthony makes 2-pt shot from 18 ft
10:42.0,T. Lyles misses 2-pt shot from 21 ft,,48-41,,
10:41.0,,,48-41,,Defensive rebound by K. Porzingis
10:36.0,,,48-41,,Turnover by C. Anthony (bad pass)
10:18.0,G. Hayward makes 2-pt shot from 10 ft,2,50-41,,
9:56.0,,,50-43,2,C. Anthony makes 2-pt shot from 19 ft
9:32.0,G. Hayward misses 2-pt shot from 15 ft,,50-43,,
9:30.0,Offensive rebound by G. Hayward,,50-43,,
9:25.0,R. Gobert makes 2-pt shot from 1 ft (assist by R. Hood),2,52-43,,
9:25.0,Shooting foul by J. Calderon (drawn by R. Gobert),,52-43,,
9:25.0,R. Gobert misses free throw 1 of 1,,52-43,,
9:24.0,,,52-43,,Defensive rebound by R. Lopez
9:15.0,Violation by R. Hood (kicked ball),,52-43,,
9:08.0,,,52-45,2,C. Anthony makes 2-pt shot from 12 ft (assist by K. Porzingis)
8:44.0,R. Hood makes 3-pt shot from 24 ft,3,55-45,,
8:21.0,,,55-45,,C. Anthony misses 2-pt shot from 16 ft
8:20.0,,,55-45,,Offensive rebound by R. Lopez
8:18.0,,,55-47,2,R. Lopez makes 2-pt shot from 2 ft
7:57.0,Turnover by R. Gobert (bad pass),,55-47,,
7:43.0,,,55-49,2,J. Calderon makes 2-pt shot from 18 ft
7:23.0,G. Hayward makes 2-pt shot from 19 ft,2,57-49,,
7:12.0,,,57-49,,Turnover by J. Calderon (bad pass; steal by G. Hayward)
7:04.0,T. Lyles makes 3-pt shot from 24 ft (assist by G. Hayward),3,60-49,,
6:52.0,Personal foul by G. Hayward (drawn by C. Anthony),,60-49,,
6:37.0,,,60-51,2,R. Lopez makes 2-pt shot from 18 ft (assist by J. Calderon)
6:24.0,,,60-51,,Personal foul by C. Anthony (drawn by R. Gobert)
6:24.0,Utah full timeout,,60-51,,
6:15.0,R. Hood makes 3-pt shot from 25 ft (assist by G. Hayward),3,63-51,,
6:00.0,,,63-51,,K. Porzingis misses 2-pt shot from 3 ft
5:58.0,,,63-51,,Offensive rebound by R. Lopez
5:58.0,,,63-53,2,R. Lopez makes 2-pt shot from 1 ft
5:38.0,T. Lyles misses 3-pt shot from 23 ft,,63-53,,
5:36.0,,,63-53,,Defensive rebound by C. Anthony
5:24.0,Violation by R. Neto (kicked ball),,63-53,,
5:24.0,,,63-53,,L. Galloway enters the game for K. Porzingis
5:23.0,Personal foul by R. Gobert (drawn by R. Lopez),,63-53,,
5:23.0,T. Booker enters the game for R. Hood,,63-53,,
5:23.0,C. Johnson enters the game for T. Lyles,,63-53,,
5:09.0,,,63-53,,Turnover by Team (shot clock)
4:53.0,,,63-53,,Personal foul by A. Afflalo (drawn by G. Hayward)
4:45.0,R. Gobert misses 2-pt shot at rim (block by R. Lopez),,63-53,,
4:42.0,,,63-53,,Defensive rebound by C. Anthony
4:37.0,,,63-56,3,A. Afflalo makes 3-pt shot from 25 ft (assist by C. Anthony)
4:14.0,R. Gobert makes 2-pt shot from 1 ft (assist by R. Neto),2,65-56,,
3:55.0,,,65-58,2,C. Anthony makes 2-pt shot from 13 ft
3:30.0,Shooting foul by J. Calderon (drawn by C. Johnson),,65-58,,
3:30.0,,,65-58,,Technical foul by J. Calderon (drawn by C. Johnson)
3:30.0,G. Hayward makes technical free throw,1,66-58,,
3:30.0,C. Johnson makes free throw 1 of 2,1,67-58,,
3:30.0,T. Burke enters the game for R. Neto,,67-58,,
3:30.0,,,67-58,,D. Williams enters the game for J. Calderon
3:30.0,C. Johnson makes free throw 2 of 2,1,68-58,,
3:09.0,,,68-58,,L. Galloway misses 3-pt shot from 25 ft
3:07.0,Defensive rebound by C. Johnson,,68-58,,
3:07.0,,,68-58,,Loose ball foul by R. Lopez (drawn by C. Johnson)
3:07.0,C. Johnson misses free throw 1 of 2,,68-58,,
3:07.0,Offensive rebound by Team,,68-58,,
3:07.0,,,68-58,,K. Porzingis enters the game for R. Lopez
3:07.0,C. Johnson makes free throw 2 of 2,1,69-58,,
2:45.0,,,69-58,,C. Anthony misses 3-pt shot from 27 ft
2:45.0,,,69-58,,Offensive rebound by Team
2:45.0,Loose ball foul by C. Johnson (drawn by D. Williams),,69-58,,
2:45.0,,,69-58,,New York full timeout
2:45.0,T. Lyles enters the game for R. Gobert,,69-58,,
2:45.0,,,69-58,,J. Grant enters the game for A. Afflalo
2:30.0,,,69-60,2,D. Williams makes 2-pt shot from 1 ft (assist by J. Grant)
2:07.0,C. Johnson misses 2-pt shot from 1 ft,,69-60,,
2:05.0,Offensive rebound by T. Lyles,,69-60,,
2:04.0,Shooting foul by K. Porzingis (drawn by T. Lyles),,69-60,,
2:04.0,T. Lyles misses free throw 1 of 2,,69-60,,
2:04.0,Offensive rebound by Team,,69-60,,
2:04.0,T. Lyles makes free throw 2 of 2,1,70-60,,
1:48.0,,,70-60,,Shooting foul by T. Lyles (drawn by K. Porzingis)
1:48.0,,,70-61,1,K. Porzingis makes free throw 1 of 2
1:48.0,J. Ingles enters the game for C. Johnson,,70-61,,
1:48.0,,,70-62,1,K. Porzingis makes free throw 2 of 2
1:42.0,,,70-62,,Personal foul by L. Galloway (drawn by G. Hayward)
1:42.0,G. Hayward makes free throw 1 of 2,1,71-62,,
1:42.0,G. Hayward makes free throw 2 of 2,1,72-62,,
1:28.0,,,72-62,,C. Anthony misses 2-pt shot from 4 ft (block by T. Lyles)
1:26.0,,,72-62,,Offensive rebound by C. Anthony
1:25.0,,,72-62,,Shooting foul by T. Lyles (drawn by C. Anthony)
1:25.0,,,72-63,1,C. Anthony makes free throw 1 of 2
1:25.0,R. Hood enters the game for T. Lyles,,72-63,,
1:25.0,J. Withey enters the game for G. Hayward,,72-63,,
1:25.0,,,72-64,1,C. Anthony makes free throw 2 of 2
1:08.0,T. Burke misses 2-pt shot from 19 ft,,72-64,,
1:06.0,Offensive rebound by T. Booker,,72-64,,
1:06.0,,,72-64,,Personal foul by K. Porzingis (drawn by T. Booker)
1:06.0,T. Booker makes free throw 1 of 2,1,73-64,,
1:06.0,,,73-64,,A. Afflalo enters the game for C. Anthony
1:06.0,,,73-64,,R. Lopez enters the game for K. Porzingis
1:06.0,T. Booker makes free throw 2 of 2,1,74-64,,
0:47.0,,,74-66,2,D. Williams makes 2-pt shot from 15 ft
0:23.0,R. Hood makes 2-pt shot from 20 ft,2,76-66,,
0:02.0,,,76-68,2,R. Lopez makes 2-pt shot from 3 ft (assist by J. Grant)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,J. Withey makes 2-pt shot from 1 ft (assist by J. Ingles),2,78-68,,
11:34.0,,,78-68,,J. Grant misses 2-pt shot from 5 ft
11:31.0,,,78-68,,Offensive rebound by R. Lopez
11:30.0,,,78-70,2,R. Lopez makes 2-pt shot from 2 ft
11:12.0,Turnover by T. Burke (bad pass; steal by J. Grant),,78-70,,
11:11.0,Personal foul by T. Burke (drawn by D. Williams),,78-70,,
10:53.0,,,78-70,,A. Afflalo misses 2-pt shot from 3 ft
10:51.0,Defensive rebound by J. Withey,,78-70,,
10:46.0,Offensive foul by T. Booker,,78-70,,
10:46.0,Turnover by T. Booker (offensive foul),,78-70,,
10:34.0,Personal foul by J. Ingles (drawn by L. Galloway),,78-70,,
10:26.0,,,78-70,,D. Williams misses 2-pt shot from 8 ft
10:24.0,,,78-70,,Offensive rebound by R. Lopez
10:24.0,,,78-72,2,R. Lopez makes 2-pt shot from 1 ft
10:14.0,,,78-72,,Personal foul by A. Afflalo (drawn by J. Ingles)
10:14.0,R. Gobert enters the game for J. Withey,,78-72,,
10:07.0,T. Burke makes 2-pt shot from 6 ft,2,80-72,,
9:43.0,,,80-74,2,A. Afflalo makes 2-pt shot from 12 ft
9:20.0,J. Ingles misses 3-pt shot from 26 ft,,80-74,,
9:20.0,Offensive rebound by Team,,80-74,,
9:20.0,,,80-74,,Loose ball foul by A. Afflalo (drawn by T. Booker)
9:20.0,C. Johnson enters the game for J. Ingles,,80-74,,
9:20.0,,,80-74,,S. Vujacic enters the game for A. Afflalo
9:12.0,R. Hood misses 2-pt shot from 13 ft,,80-74,,
9:10.0,,,80-74,,Defensive rebound by J. Grant
8:54.0,,,80-74,,D. Williams misses 2-pt shot from 2 ft
8:52.0,Defensive rebound by T. Booker,,80-74,,
8:34.0,T. Burke misses 3-pt shot from 25 ft,,80-74,,
8:32.0,,,80-74,,Defensive rebound by S. Vujacic
8:27.0,Personal foul by R. Hood (drawn by D. Williams),,80-74,,
8:27.0,Official timeout,,80-74,,
8:27.0,G. Hayward enters the game for R. Hood,,80-74,,
8:16.0,,,80-74,,Shooting foul by R. Gobert (drawn by D. Williams)
8:16.0,,,80-75,1,D. Williams makes free throw 1 of 2
8:16.0,,,80-76,1,D. Williams makes free throw 2 of 2
7:58.0,G. Hayward misses 3-pt shot from 25 ft,,80-76,,
7:56.0,,,80-76,,Defensive rebound by S. Vujacic
7:41.0,,,80-76,,S. Vujacic misses 2-pt shot from 20 ft
7:39.0,,,80-76,,Offensive rebound by J. Grant
7:37.0,,,80-76,,J. Grant misses 2-pt shot from 15 ft
7:35.0,Defensive rebound by C. Johnson,,80-76,,
7:14.0,G. Hayward misses 2-pt shot from 2 ft,,80-76,,
7:12.0,Offensive rebound by T. Booker,,80-76,,
7:11.0,T. Booker misses 2-pt shot from 2 ft (block by R. Lopez),,80-76,,
7:10.0,Offensive rebound by R. Gobert,,80-76,,
7:10.0,Shooting foul by J. Grant (drawn by R. Gobert),,80-76,,
7:10.0,R. Gobert misses free throw 1 of 2,,80-76,,
7:10.0,Offensive rebound by Team,,80-76,,
7:10.0,T. Lyles enters the game for T. Booker,,80-76,,
7:10.0,,,80-76,,A. Afflalo enters the game for S. Vujacic
7:10.0,,,80-76,,K. Porzingis enters the game for J. Grant
7:10.0,,,80-76,,C. Anthony enters the game for R. Lopez
7:10.0,R. Gobert makes free throw 2 of 2,1,81-76,,
6:55.0,,,81-76,,A. Afflalo misses 2-pt shot from 11 ft
6:54.0,Defensive rebound by R. Gobert,,81-76,,
6:44.0,T. Burke misses 2-pt shot from 1 ft,,81-76,,
6:43.0,,,81-76,,Defensive rebound by Team
6:43.0,Loose ball foul by R. Gobert (drawn by K. Porzingis),,81-76,,
6:43.0,,,81-77,1,K. Porzingis makes free throw 1 of 2
6:43.0,R. Neto enters the game for T. Burke,,81-77,,
6:43.0,R. Hood enters the game for C. Johnson,,81-77,,
6:43.0,,,81-78,1,K. Porzingis makes free throw 2 of 2
6:31.0,,,81-78,,Personal foul by A. Afflalo (drawn by G. Hayward)
6:31.0,,,81-78,,J. Calderon enters the game for A. Afflalo
6:21.0,Turnover by G. Hayward (lost ball),,81-78,,
6:02.0,,,81-80,2,D. Williams makes 2-pt shot at rim (assist by C. Anthony)
6:01.0,Utah full timeout,,81-80,,
5:36.0,R. Neto misses 2-pt shot from 19 ft,,81-80,,
5:34.0,Offensive rebound by T. Lyles,,81-80,,
5:29.0,G. Hayward misses 3-pt shot from 25 ft,,81-80,,
5:27.0,,,81-80,,Defensive rebound by D. Williams
5:11.0,,,81-82,2,C. Anthony makes 2-pt shot at rim
4:48.0,G. Hayward makes 2-pt shot from 14 ft,2,83-82,,
4:32.0,Violation by R. Gobert (def goaltending),,83-82,,
4:32.0,,,83-84,2,C. Anthony makes 2-pt shot from 2 ft
4:11.0,T. Lyles makes 3-pt shot from 23 ft (assist by R. Neto),3,86-84,,
3:54.0,,,86-87,3,K. Porzingis makes 3-pt shot from 24 ft (assist by C. Anthony)
3:36.0,R. Hood misses 2-pt shot from 2 ft (block by K. Porzingis),,86-87,,
3:33.0,,,86-87,,Defensive rebound by K. Porzingis
3:17.0,,,86-87,,J. Calderon misses 3-pt shot from 23 ft
3:16.0,Defensive rebound by Team,,86-87,,
3:16.0,,,86-87,,Loose ball foul by K. Porzingis (drawn by R. Gobert)
3:16.0,R. Gobert makes free throw 1 of 2,1,87-87,,
3:16.0,T. Booker enters the game for T. Lyles,,87-87,,
3:16.0,T. Burke enters the game for R. Neto,,87-87,,
3:16.0,,,87-87,,R. Lopez enters the game for K. Porzingis
3:16.0,,,87-87,,New York full timeout
3:16.0,,,87-87,,A. Afflalo enters the game for J. Calderon
3:16.0,R. Gobert makes free throw 2 of 2,1,88-87,,
3:02.0,,,88-89,2,L. Galloway makes 2-pt shot from 1 ft
2:48.0,R. Hood misses 2-pt shot from 5 ft,,88-89,,
2:46.0,Offensive rebound by R. Hood,,88-89,,
2:46.0,R. Hood misses 2-pt shot from 2 ft,,88-89,,
2:44.0,,,88-89,,Defensive rebound by R. Lopez
2:33.0,,,88-89,,L. Galloway misses 2-pt shot from 2 ft
2:32.0,Defensive rebound by Team,,88-89,,
2:18.0,R. Hood misses 2-pt shot from 2 ft,,88-89,,
2:17.0,Offensive rebound by Team,,88-89,,
1:57.0,T. Booker misses 2-pt shot from 5 ft,,88-89,,
1:55.0,,,88-89,,Defensive rebound by R. Lopez
1:35.0,Jump ball: T. Burke vs. R. Lopez,,,,Jump ball: T. Burke vs. R. Lopez
1:31.0,,,88-89,,L. Galloway misses 3-pt shot from 24 ft
1:30.0,,,88-89,,Offensive rebound by Team
1:30.0,,,88-89,,Turnover by Team (shot clock)
1:19.0,T. Booker misses 2-pt shot from 13 ft,,88-89,,
1:17.0,,,88-89,,Defensive rebound by D. Williams
1:01.0,,,88-92,3,A. Afflalo makes 3-pt shot from 24 ft (assist by C. Anthony)
1:01.0,Utah full timeout,,88-92,,
1:01.0,T. Lyles enters the game for T. Booker,,88-92,,
0:53.0,R. Hood makes 2-pt shot from 6 ft (assist by G. Hayward),2,90-92,,
0:36.0,,,90-95,3,L. Galloway makes 3-pt shot from 22 ft (assist by C. Anthony)
0:27.0,T. Burke makes 3-pt shot from 23 ft (assist by T. Lyles),3,93-95,,
0:16.0,,,93-97,2,C. Anthony makes 2-pt shot at rim (assist by L. Galloway)
0:16.0,Utah full timeout,,93-97,,
0:16.0,J. Ingles enters the game for R. Gobert,,93-97,,
0:16.0,,,93-97,,K. Porzingis enters the game for R. Lopez
0:11.0,R. Hood makes 3-pt shot from 24 ft,3,96-97,,
