time,Indiana,pts.away,score,pts.home,Portland
2:22.0,P. George misses 3-pt shot from 24 ft,,54-49,,
2:22.0,,,54-49,,Defensive rebound by M. Plumlee
2:13.0,,,54-49,,Shooting foul by I. Mahinmi (drawn by D. Lillard)
2:13.0,Indiana full timeout,,54-49,,
2:13.0,G. Hill enters the game for C. Budinger,,54-49,,
2:13.0,,,54-50,1,D. Lillard makes free throw 1 of 2
2:13.0,,,54-51,1,D. Lillard makes free throw 2 of 2
2:00.0,P. George misses 2-pt shot from 2 ft (block by M. Plumlee),,54-51,,
1:59.0,,,54-51,,Defensive rebound by M. Plumlee
1:52.0,,,54-54,3,D. Lillard makes 3-pt shot from 24 ft
1:43.0,G. Hill misses 2-pt shot from 18 ft (block by D. Lillard),,54-54,,
1:41.0,,,54-54,,Defensive rebound by A. Aminu
1:38.0,,,54-54,,Turnover by D. Lillard (bad pass)
1:25.0,G. Hill makes 3-pt shot from 24 ft,3,57-54,,
1:11.0,,,57-54,,Turnover by D. Lillard (bad pass)
1:11.0,,,57-54,,C. McCollum enters the game for M. Leonard
1:11.0,J. Hill enters the game for I. Mahinmi,,57-54,,
1:11.0,R. Stuckey enters the game for G. Hill,,57-54,,
1:00.0,P. George makes 2-pt shot at rim,2,59-54,,
0:42.0,,,59-54,,D. Lillard misses 3-pt shot from 25 ft
0:42.0,Defensive rebound by P. George,,59-54,,
0:26.0,Turnover by P. George (lost ball; steal by C. McCollum),,59-54,,
0:26.0,Personal foul by P. George (drawn by C. McCollum),,59-54,,
0:26.0,,,59-55,1,C. McCollum makes free throw 1 of 2
0:26.0,,,59-56,1,C. McCollum makes free throw 2 of 2
0:02.0,Turnover by P. George (bad pass; steal by G. Henderson),,59-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,59-56,,Shooting foul by I. Mahinmi (drawn by D. Lillard)
11:43.0,,,59-57,1,D. Lillard makes free throw 1 of 2
11:43.0,,,59-58,1,D. Lillard makes free throw 2 of 2
11:34.0,,,59-58,,Personal foul by M. Plumlee (drawn by P. George)
11:24.0,P. George misses 2-pt shot from 1 ft,,59-58,,
11:23.0,,,59-58,,Defensive rebound by A. Aminu
11:21.0,Personal foul by G. Hill (drawn by A. Aminu),,59-58,,
11:21.0,R. Stuckey enters the game for M. Ellis,,59-58,,
11:10.0,,,59-60,2,C. McCollum makes 2-pt shot from 11 ft
10:59.0,G. Hill misses 2-pt shot from 6 ft,,59-60,,
10:58.0,,,59-60,,Defensive rebound by C. McCollum
10:52.0,,,59-60,,A. Aminu misses 3-pt shot from 22 ft
10:51.0,,,59-60,,Offensive rebound by N. Vonleh
10:49.0,,,59-62,2,N. Vonleh makes 2-pt shot from 1 ft
10:41.0,C. Miles makes 3-pt shot from 25 ft,3,62-62,,
10:15.0,,,62-62,,C. McCollum misses 3-pt shot from 24 ft
10:14.0,Defensive rebound by P. George,,62-62,,
9:56.0,P. George makes 2-pt shot from 6 ft,2,64-62,,
9:42.0,,,64-62,,D. Lillard misses 2-pt shot from 3 ft
9:42.0,Defensive rebound by Team,,64-62,,
9:35.0,,,64-62,,Violation by M. Plumlee (def goaltending)
9:35.0,G. Hill makes 2-pt shot from 1 ft (assist by R. Stuckey),2,66-62,,
9:14.0,,,66-64,2,C. McCollum makes 2-pt shot from 12 ft
9:06.0,G. Hill misses 2-pt shot at rim,,66-64,,
9:06.0,,,66-64,,Defensive rebound by N. Vonleh
9:01.0,,,66-64,,Shooting foul by C. Miles (drawn by M. Plumlee)
9:01.0,,,66-64,,M. Plumlee misses free throw 1 of 2
9:01.0,,,66-64,,Offensive rebound by Team
9:01.0,,,66-64,,M. Plumlee misses free throw 2 of 2
9:00.0,,,66-64,,Offensive rebound by A. Aminu
8:56.0,,,66-64,,C. McCollum misses 3-pt shot from 26 ft
8:55.0,Defensive rebound by C. Miles,,66-64,,
8:46.0,I. Mahinmi misses 2-pt shot from 4 ft,,66-64,,
8:45.0,Offensive rebound by I. Mahinmi,,66-64,,
8:40.0,R. Stuckey misses 2-pt shot from 3 ft,,66-64,,
8:39.0,,,66-64,,Defensive rebound by M. Plumlee
8:20.0,,,66-64,,Shooting foul by G. Hill (drawn by A. Aminu)
8:20.0,,,66-65,1,A. Aminu makes free throw 1 of 2
8:20.0,C. Budinger enters the game for G. Hill,,66-65,,
8:20.0,,,66-66,1,A. Aminu makes free throw 2 of 2
8:05.0,P. George misses 3-pt shot from 24 ft,,66-66,,
8:04.0,,,66-66,,Defensive rebound by Team
7:47.0,,,66-66,,Shooting foul by I. Mahinmi (drawn by D. Lillard)
7:47.0,Technical foul by Team,,66-66,,
7:47.0,,,66-67,1,D. Lillard makes technical free throw
7:47.0,,,66-68,1,D. Lillard makes free throw 1 of 2
7:47.0,J. Hill enters the game for I. Mahinmi,,66-68,,
7:47.0,,,66-69,1,D. Lillard makes free throw 2 of 2
7:25.0,C. Miles makes 3-pt shot from 25 ft (assist by R. Stuckey),3,69-69,,
7:19.0,,,69-71,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
7:08.0,Shooting foul by N. Vonleh (drawn by J. Hill),,69-71,,
7:08.0,J. Hill makes free throw 1 of 2,1,70-71,,
7:08.0,J. Hill makes free throw 2 of 2,1,71-71,,
6:52.0,,,71-74,3,D. Lillard makes 3-pt shot from 24 ft (assist by M. Plumlee)
6:35.0,Turnover by P. George (bad pass; steal by D. Lillard),,71-74,,
6:29.0,,,71-76,2,C. McCollum makes 2-pt shot from 15 ft (assist by D. Lillard)
6:29.0,Indiana full timeout,,71-76,,
6:14.0,Turnover by J. Hill (bad pass; steal by C. McCollum),,71-76,,
6:09.0,,,71-76,,D. Lillard misses 2-pt shot from 2 ft
6:05.0,Defensive rebound by R. Stuckey,,71-76,,
6:01.0,P. George misses 3-pt shot from 23 ft,,71-76,,
6:00.0,,,71-76,,Defensive rebound by C. McCollum
5:50.0,,,71-79,3,A. Aminu makes 3-pt shot from 24 ft (assist by C. McCollum)
5:33.0,R. Stuckey makes 3-pt shot from 24 ft,3,74-79,,
5:15.0,,,74-79,,C. McCollum misses 3-pt shot from 22 ft
5:14.0,Defensive rebound by P. George,,74-79,,
5:09.0,P. George misses 3-pt shot from 25 ft,,74-79,,
5:07.0,,,74-79,,Defensive rebound by A. Aminu
4:58.0,,,74-81,2,N. Vonleh makes 2-pt shot at rim (assist by C. McCollum)
4:49.0,Shooting foul by M. Plumlee (drawn by R. Stuckey),,74-81,,
4:49.0,R. Stuckey makes free throw 1 of 2,1,75-81,,
4:49.0,R. Stuckey makes free throw 2 of 2,1,76-81,,
4:30.0,,,76-83,2,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Lillard)
4:18.0,R. Stuckey misses 3-pt shot from 24 ft,,76-83,,
4:16.0,,,76-83,,Defensive rebound by D. Lillard
4:12.0,,,76-83,,Turnover by D. Lillard (bad pass; steal by R. Stuckey)
4:10.0,Shooting foul by M. Plumlee (drawn by R. Stuckey),,76-83,,
4:10.0,R. Stuckey makes free throw 1 of 2,1,77-83,,
4:10.0,,,77-83,,A. Crabbe enters the game for C. McCollum
4:10.0,,,77-83,,E. Davis enters the game for M. Plumlee
4:10.0,R. Stuckey makes free throw 2 of 2,1,78-83,,
3:47.0,,,78-83,,D. Lillard misses 2-pt shot from 1 ft (block by C. Miles)
3:46.0,Defensive rebound by J. Hill,,78-83,,
3:42.0,P. George misses 2-pt shot from 1 ft,,78-83,,
3:41.0,Offensive rebound by J. Hill,,78-83,,
3:41.0,J. Hill makes 2-pt shot from 1 ft,2,80-83,,
3:26.0,,,80-83,,Turnover by A. Crabbe (bad pass; steal by R. Stuckey)
3:23.0,R. Stuckey makes 2-pt shot from 1 ft,2,82-83,,
3:23.0,,,82-83,,Portland full timeout
3:23.0,,,82-83,,M. Leonard enters the game for N. Vonleh
3:06.0,,,82-86,3,A. Aminu makes 3-pt shot from 22 ft (assist by D. Lillard)
2:53.0,Turnover by C. Miles (bad pass; steal by E. Davis),,82-86,,
2:47.0,,,82-89,3,A. Crabbe makes 3-pt shot from 24 ft (assist by A. Aminu)
2:33.0,Turnover by P. George (lost ball; steal by E. Davis),,82-89,,
2:30.0,,,82-89,,Offensive charge foul by A. Aminu
2:30.0,,,82-89,,Turnover by A. Aminu (offensive foul)
2:30.0,L. Allen enters the game for C. Miles,,82-89,,
2:18.0,Shooting foul by E. Davis (drawn by P. George),,82-89,,
2:18.0,P. George makes free throw 1 of 2,1,83-89,,
2:18.0,P. George makes free throw 2 of 2,1,84-89,,
2:06.0,,,84-92,3,D. Lillard makes 3-pt shot from 27 ft
1:53.0,R. Stuckey misses 2-pt shot from 4 ft,,84-92,,
1:52.0,Offensive rebound by R. Stuckey,,84-92,,
1:45.0,R. Stuckey misses 3-pt shot from 24 ft,,84-92,,
1:45.0,Offensive rebound by R. Stuckey,,84-92,,
1:35.0,P. George misses 3-pt shot from 24 ft,,84-92,,
1:34.0,,,84-92,,Defensive rebound by M. Leonard
1:22.0,,,84-92,,M. Leonard misses 3-pt shot from 24 ft
1:21.0,,,84-92,,Offensive rebound by E. Davis
1:17.0,,,84-92,,D. Lillard misses 3-pt shot from 24 ft
1:16.0,,,84-92,,Offensive rebound by E. Davis
1:14.0,,,84-94,2,E. Davis makes 2-pt shot at rim
1:01.0,Indiana full timeout,,84-94,,
1:01.0,,,84-94,,C. McCollum enters the game for D. Lillard
1:01.0,G. Robinson enters the game for P. George,,84-94,,
0:49.0,J. Hill misses 2-pt shot from 2 ft (block by E. Davis),,84-94,,
0:48.0,Offensive rebound by L. Allen,,84-94,,
0:48.0,L. Allen misses 2-pt shot at rim,,84-94,,
0:48.0,Offensive rebound by L. Allen,,84-94,,
0:48.0,L. Allen makes 2-pt shot at rim,2,86-94,,
0:37.0,,,86-97,3,M. Leonard makes 3-pt shot from 22 ft (assist by A. Aminu)
0:26.0,J. Hill makes 2-pt shot from 14 ft (assist by R. Stuckey),2,88-97,,
0:05.0,,,88-97,,C. McCollum misses 2-pt shot from 19 ft
0:04.0,Defensive rebound by R. Stuckey,,88-97,,
0:00.0,R. Stuckey makes 2-pt shot at rim,2,90-97,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,90-97,,Personal foul by A. Crabbe (drawn by C. Budinger)
11:41.0,,,90-97,,Violation by E. Davis (def goaltending)
11:41.0,L. Allen makes 2-pt shot from 1 ft,2,92-97,,
11:30.0,,,92-97,,Turnover by M. Leonard (step out of bounds)
11:30.0,,,92-97,,Technical foul by Team
11:30.0,G. Hill makes technical free throw,1,93-97,,
11:18.0,C. Budinger misses 2-pt shot from 15 ft,,93-97,,
11:18.0,,,93-97,,Defensive rebound by Team
10:56.0,,,93-97,,M. Harkless misses 2-pt shot at rim (block by J. Hill)
10:54.0,Defensive rebound by C. Budinger,,93-97,,
10:48.0,G. Robinson misses 2-pt shot from 2 ft,,93-97,,
10:47.0,Offensive rebound by L. Allen,,93-97,,
10:47.0,Shooting foul by M. Harkless (drawn by L. Allen),,93-97,,
10:47.0,L. Allen makes free throw 1 of 2,1,94-97,,
10:47.0,L. Allen makes free throw 2 of 2,1,95-97,,
10:32.0,,,95-97,,C. McCollum misses 2-pt shot from 2 ft (block by G. Robinson)
10:32.0,,,95-97,,Offensive rebound by Team
10:29.0,,,95-97,,A. Crabbe misses 2-pt shot from 15 ft
10:28.0,,,95-97,,Offensive rebound by E. Davis
10:25.0,,,95-100,3,A. Crabbe makes 3-pt shot from 23 ft (assist by E. Davis)
10:01.0,J. Hill misses 2-pt shot from 17 ft,,95-100,,
9:59.0,,,95-100,,Defensive rebound by M. Harkless
9:35.0,,,95-100,,C. McCollum misses 3-pt shot from 24 ft
9:33.0,,,95-100,,Offensive rebound by C. McCollum
9:31.0,,,95-103,3,C. McCollum makes 3-pt shot from 23 ft
9:22.0,,,95-103,,Personal foul by C. McCollum (drawn by G. Hill)
9:22.0,I. Mahinmi enters the game for L. Allen,,95-103,,
9:22.0,C. Miles enters the game for J. Hill,,95-103,,
9:16.0,G. Hill misses 2-pt shot from 17 ft,,95-103,,
9:15.0,,,95-103,,Defensive rebound by M. Harkless
9:02.0,,,95-105,2,M. Leonard makes 2-pt shot from 9 ft
8:44.0,C. Miles makes 3-pt shot from 26 ft (assist by G. Hill),3,98-105,,
8:19.0,,,98-105,,Turnover by M. Harkless (traveling)
8:19.0,Official timeout,,98-105,,
8:19.0,P. George enters the game for C. Budinger,,98-105,,
8:00.0,Turnover by G. Hill (lost ball; steal by M. Leonard),,98-105,,
7:43.0,,,98-105,,M. Leonard misses 2-pt shot from 18 ft
7:42.0,Defensive rebound by P. George,,98-105,,
7:33.0,,,98-105,,Personal foul by M. Leonard (drawn by I. Mahinmi)
7:33.0,,,98-105,,D. Lillard enters the game for C. McCollum
7:26.0,C. Miles makes 3-pt shot from 25 ft (assist by G. Hill),3,101-105,,
7:09.0,Personal foul by C. Miles (drawn by M. Leonard),,101-105,,
7:09.0,R. Stuckey enters the game for G. Hill,,101-105,,
7:03.0,,,101-105,,Turnover by D. Lillard (lost ball; steal by R. Stuckey)
6:56.0,C. Miles misses 3-pt shot from 24 ft,,101-105,,
6:55.0,Offensive rebound by I. Mahinmi,,101-105,,
6:52.0,Shooting foul by A. Crabbe (drawn by I. Mahinmi),,101-105,,
6:52.0,I. Mahinmi makes free throw 1 of 2,1,102-105,,
6:52.0,I. Mahinmi makes free throw 2 of 2,1,103-105,,
6:30.0,,,103-108,3,D. Lillard makes 3-pt shot from 26 ft
6:18.0,P. George misses 2-pt shot from 18 ft,,103-108,,
6:18.0,,,103-108,,Defensive rebound by M. Harkless
6:10.0,,,103-108,,D. Lillard misses 3-pt shot from 25 ft
6:08.0,Defensive rebound by P. George,,103-108,,
6:00.0,R. Stuckey misses 2-pt shot from 15 ft,,103-108,,
5:59.0,,,103-108,,Defensive rebound by E. Davis
5:46.0,,,103-108,,M. Leonard misses 3-pt shot from 24 ft
5:46.0,Defensive rebound by I. Mahinmi,,103-108,,
5:40.0,Shooting foul by M. Leonard (drawn by C. Miles),,103-108,,
5:40.0,,,103-108,,Portland full timeout
5:40.0,,,103-108,,M. Plumlee enters the game for E. Davis
5:40.0,,,103-108,,A. Aminu enters the game for M. Harkless
5:40.0,G. Hill enters the game for G. Robinson,,103-108,,
5:40.0,C. Miles makes free throw 1 of 2,1,104-108,,
5:40.0,C. Miles misses free throw 2 of 2,,104-108,,
5:39.0,,,104-108,,Defensive rebound by M. Plumlee
5:26.0,,,104-111,3,A. Crabbe makes 3-pt shot from 24 ft (assist by D. Lillard)
5:10.0,C. Miles makes 3-pt shot from 24 ft (assist by R. Stuckey),3,107-111,,
4:53.0,,,107-113,2,A. Crabbe makes 2-pt shot from 12 ft (assist by D. Lillard)
4:41.0,Turnover by C. Miles (lost ball; steal by A. Aminu),,107-113,,
4:38.0,Personal foul by P. George (drawn by A. Aminu),,107-113,,
4:38.0,,,107-113,,C. McCollum enters the game for M. Leonard
4:29.0,,,107-113,,Offensive charge foul by A. Crabbe
4:29.0,,,107-113,,Turnover by A. Crabbe (offensive foul)
4:13.0,I. Mahinmi makes 2-pt shot at rim (assist by P. George),2,109-113,,
3:54.0,,,109-113,,C. McCollum misses 2-pt shot from 14 ft
3:53.0,,,109-113,,Offensive rebound by A. Aminu
3:36.0,,,109-116,3,A. Crabbe makes 3-pt shot from 22 ft (assist by A. Aminu)
3:26.0,P. George misses 3-pt shot from 24 ft,,109-116,,
