time,Milwaukee,pts.away,score,pts.home,Sacramento
4:19.0,,,19-18,,Shooting foul by M. Plumlee (drawn by K. Koufos)
4:19.0,,,19-19,1,K. Koufos makes free throw 1 of 2
4:19.0,,,19-19,,K. Koufos misses free throw 2 of 2
4:19.0,Defensive rebound by J. Parker,,19-19,,
4:04.0,J. Parker makes 2-pt shot from 15 ft (assist by M. Carter-Williams),2,21-19,,
3:49.0,,,21-19,,Shooting foul by J. Bayless (drawn by O. Casspi)
3:49.0,,,21-20,1,O. Casspi makes free throw 1 of 2
3:49.0,,,21-20,,D. Collison enters the game for K. Koufos
3:49.0,,,21-21,1,O. Casspi makes free throw 2 of 2
3:37.0,J. Parker makes 2-pt shot at rim (assist by J. Bayless),2,23-21,,
3:26.0,,,23-21,,Turnover by R. Gay (bad pass; steal by K. Middleton)
3:14.0,Turnover by J. Bayless (bad pass),,23-21,,
2:53.0,,,23-23,2,D. Collison makes 2-pt shot from 18 ft (assist by R. Rondo)
2:36.0,M. Carter-Williams makes 2-pt shot from 16 ft,2,25-23,,
2:29.0,,,25-23,,Turnover by D. Collison (lost ball; steal by J. Bayless)
2:14.0,J. Bayless misses 3-pt shot from 23 ft,,25-23,,
2:13.0,,,25-23,,Defensive rebound by R. Gay
1:56.0,,,25-23,,O. Casspi misses 2-pt shot from 5 ft
1:55.0,,,25-23,,Offensive rebound by Q. Acy
1:55.0,,,25-23,,Q. Acy misses 2-pt shot from 1 ft
1:54.0,,,25-23,,Offensive rebound by Q. Acy
1:51.0,,,25-23,,Q. Acy misses 2-pt shot from 2 ft
1:50.0,Defensive rebound by M. Carter-Williams,,25-23,,
1:45.0,J. Parker makes 2-pt shot at rim (assist by M. Carter-Williams),2,27-23,,
1:25.0,Personal foul by M. Plumlee (drawn by R. Rondo),,27-23,,
1:25.0,Milwaukee full timeout,,27-23,,
1:25.0,G. Monroe enters the game for J. Parker,,27-23,,
1:25.0,R. Vaughn enters the game for K. Middleton,,27-23,,
1:25.0,G. Antetokounmpo enters the game for M. Plumlee,,27-23,,
1:25.0,,,27-23,,W. Cauley-Stein enters the game for R. Gay
1:16.0,,,27-23,,O. Casspi misses 3-pt shot from 26 ft
1:15.0,,,27-23,,Offensive rebound by Q. Acy
1:15.0,,,27-25,2,Q. Acy makes 2-pt shot from 1 ft
1:00.0,G. Antetokounmpo misses 2-pt shot from 6 ft,,27-25,,
0:59.0,,,27-25,,Defensive rebound by D. Collison
0:54.0,,,27-25,,D. Collison misses 2-pt shot from 8 ft
0:53.0,Defensive rebound by J. Bayless,,27-25,,
0:44.0,G. Monroe makes 2-pt shot from 2 ft (assist by J. Bayless),2,29-25,,
0:28.0,,,29-25,,Turnover by W. Cauley-Stein (lost ball; steal by G. Antetokounmpo)
0:21.0,R. Vaughn makes 3-pt shot from 23 ft (assist by M. Carter-Williams),3,32-25,,
0:02.0,,,32-25,,D. Collison misses 3-pt shot from 23 ft
0:01.0,Defensive rebound by G. Antetokounmpo,,32-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,Shooting foul by D. Collison (drawn by G. Antetokounmpo),,32-25,,
11:37.0,G. Antetokounmpo makes free throw 1 of 2,1,33-25,,
11:37.0,G. Antetokounmpo misses free throw 2 of 2,,33-25,,
11:36.0,,,33-25,,Defensive rebound by O. Casspi
11:21.0,,,33-25,,O. Casspi misses 2-pt shot from 7 ft
11:20.0,Defensive rebound by G. Monroe,,33-25,,
11:06.0,R. Vaughn misses 3-pt shot from 25 ft,,33-25,,
11:06.0,,,33-25,,Defensive rebound by Team
10:44.0,,,33-28,3,D. Collison makes 3-pt shot from 24 ft (assist by M. Belinelli)
10:22.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,33-28,,
10:22.0,,,33-28,,Defensive rebound by W. Cauley-Stein
10:11.0,,,33-30,2,M. Belinelli makes 2-pt shot from 21 ft (assist by Q. Acy)
9:50.0,R. Vaughn misses 2-pt shot from 5 ft (block by W. Cauley-Stein),,33-30,,
9:49.0,,,33-30,,Defensive rebound by W. Cauley-Stein
9:44.0,,,33-30,,Turnover by W. Cauley-Stein (bad pass; steal by R. Vaughn)
9:40.0,J. Bayless makes 3-pt shot from 24 ft (assist by R. Vaughn),3,36-30,,
9:29.0,Personal foul by J. O'Bryant (drawn by D. Collison),,36-30,,
9:17.0,,,36-30,,W. Cauley-Stein misses 2-pt shot from 2 ft
9:16.0,Defensive rebound by G. Monroe,,36-30,,
9:04.0,J. O'Bryant misses 2-pt shot from 6 ft,,36-30,,
9:02.0,,,36-30,,Defensive rebound by O. Casspi
8:55.0,,,36-30,,Turnover by M. Belinelli (lost ball; steal by G. Antetokounmpo)
8:54.0,,,36-30,,Personal foul by O. Casspi (drawn by G. Antetokounmpo)
8:54.0,Official timeout,,36-30,,
8:54.0,,,36-30,,K. Koufos enters the game for Q. Acy
8:46.0,Turnover by G. Antetokounmpo (bad pass),,36-30,,
8:25.0,,,36-32,2,D. Collison makes 2-pt shot from 9 ft
8:04.0,G. Monroe makes 2-pt shot from 7 ft,2,38-32,,
7:52.0,,,38-34,2,O. Casspi makes 2-pt shot from 6 ft
7:52.0,,,38-34,,Shooting foul by G. Antetokounmpo (drawn by O. Casspi)
7:52.0,,,38-35,1,O. Casspi makes free throw 1 of 1
7:34.0,G. Antetokounmpo makes 2-pt shot from 7 ft (assist by G. Monroe),2,40-35,,
7:23.0,,,40-37,2,O. Casspi makes 2-pt shot from 7 ft (assist by M. Belinelli)
7:09.0,G. Antetokounmpo misses 2-pt shot from 4 ft (block by W. Cauley-Stein),,40-37,,
7:08.0,Offensive rebound by G. Monroe,,40-37,,
7:07.0,Shooting foul by K. Koufos (drawn by G. Monroe),,40-37,,
7:07.0,G. Monroe makes free throw 1 of 2,1,41-37,,
7:07.0,,,41-37,,R. Gay enters the game for O. Casspi
7:07.0,G. Monroe misses free throw 2 of 2,,41-37,,
7:06.0,,,41-37,,Defensive rebound by K. Koufos
6:52.0,,,41-37,,K. Koufos misses 2-pt shot from 7 ft
6:52.0,Defensive rebound by J. Bayless,,41-37,,
6:44.0,R. Vaughn makes 3-pt shot from 24 ft (assist by J. Bayless),3,44-37,,
6:24.0,Personal block foul by R. Vaughn (drawn by D. Collison),,44-37,,
6:14.0,,,44-39,2,M. Belinelli makes 2-pt shot from 20 ft
5:59.0,J. O'Bryant misses 2-pt shot from 16 ft,,44-39,,
5:58.0,,,44-39,,Defensive rebound by R. Gay
5:48.0,,,44-41,2,R. Gay makes 2-pt shot from 10 ft
5:46.0,Milwaukee full timeout,,44-41,,
5:46.0,M. Carter-Williams enters the game for G. Antetokounmpo,,44-41,,
5:46.0,J. Parker enters the game for J. Bayless,,44-41,,
5:46.0,K. Middleton enters the game for J. O'Bryant,,44-41,,
5:28.0,G. Monroe makes 2-pt shot from 7 ft,2,46-41,,
5:08.0,,,46-41,,D. Collison misses 2-pt shot from 15 ft
5:07.0,Defensive rebound by G. Monroe,,46-41,,
4:51.0,K. Middleton misses 2-pt shot from 18 ft,,46-41,,
4:50.0,,,46-41,,Defensive rebound by W. Cauley-Stein
4:50.0,,,46-41,,Turnover by W. Cauley-Stein (lost ball)
4:50.0,,,46-41,,R. Rondo enters the game for W. Cauley-Stein
4:39.0,M. Carter-Williams makes 2-pt shot from 18 ft,2,48-41,,
4:25.0,Personal foul by J. Parker (drawn by R. Gay),,48-41,,
4:16.0,,,48-41,,M. Belinelli misses 3-pt shot from 27 ft
4:16.0,Defensive rebound by J. Parker,,48-41,,
4:14.0,Turnover by J. Parker (lost ball),,48-41,,
4:07.0,Personal foul by R. Vaughn (drawn by M. Belinelli),,48-41,,
4:07.0,,,48-41,,M. Belinelli misses free throw 1 of 2
4:07.0,,,48-41,,Offensive rebound by Team
4:07.0,,,48-42,1,M. Belinelli makes free throw 2 of 2
3:46.0,G. Monroe makes 2-pt shot from 7 ft,2,50-42,,
3:32.0,,,50-42,,R. Gay misses 3-pt shot from 24 ft
3:31.0,,,50-42,,Offensive rebound by M. Belinelli
3:23.0,,,50-44,2,D. Collison makes 2-pt shot from 6 ft
3:09.0,K. Middleton misses 2-pt shot from 17 ft,,50-44,,
3:09.0,,,50-44,,Defensive rebound by K. Koufos
2:49.0,,,50-47,3,R. Gay makes 3-pt shot from 23 ft (assist by R. Rondo)
2:25.0,G. Monroe makes 2-pt shot from 6 ft (assist by M. Carter-Williams),2,52-47,,
2:02.0,,,52-47,,K. Koufos misses 2-pt shot from 2 ft (block by M. Carter-Williams)
2:02.0,,,52-47,,Offensive rebound by Team
2:02.0,,,52-47,,Sacramento full timeout
2:02.0,,,52-47,,J. Anderson enters the game for M. Belinelli
2:02.0,,,52-47,,O. Casspi enters the game for D. Collison
2:02.0,J. Bayless enters the game for R. Vaughn,,52-47,,
2:01.0,Jump ball: M. Carter-Williams vs. K. Koufos (O. Casspi gains possession),,,,Jump ball: M. Carter-Williams vs. K. Koufos (O. Casspi gains possession)
1:53.0,,,52-47,,R. Rondo misses 2-pt shot from 22 ft
1:53.0,,,52-47,,Offensive rebound by Team
1:46.0,,,52-47,,Shooting foul by M. Carter-Williams (drawn by R. Rondo)
1:46.0,,,52-48,1,R. Rondo makes free throw 1 of 2
1:46.0,,,52-49,1,R. Rondo makes free throw 2 of 2
1:33.0,J. Parker makes 2-pt shot at rim (assist by M. Carter-Williams),2,54-49,,
1:16.0,,,54-49,,R. Rondo misses 2-pt shot from 3 ft
1:14.0,,,54-49,,Offensive rebound by K. Koufos
1:14.0,,,54-51,2,K. Koufos makes 2-pt shot from 2 ft
0:55.0,M. Carter-Williams makes 2-pt shot from 2 ft (assist by G. Monroe),2,56-51,,
0:55.0,Shooting foul by K. Koufos (drawn by M. Carter-Williams),,56-51,,
0:55.0,,,56-51,,W. Cauley-Stein enters the game for K. Koufos
0:55.0,M. Carter-Williams misses free throw 1 of 1,,56-51,,
0:54.0,Offensive rebound by J. Parker,,56-51,,
0:32.0,J. Parker misses 2-pt shot from 12 ft,,56-51,,
0:30.0,,,56-51,,Defensive rebound by O. Casspi
0:18.0,,,56-53,2,R. Gay makes 2-pt shot from 4 ft
0:01.0,K. Middleton misses 3-pt shot from 26 ft,,56-53,,
0:00.0,,,56-53,,Defensive rebound by O. Casspi
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,G. Monroe misses 2-pt shot from 17 ft,,56-53,,
11:35.0,,,56-53,,Defensive rebound by R. Gay
11:23.0,Personal foul by K. Middleton (drawn by M. Belinelli),,56-53,,
11:08.0,,,56-55,2,R. Gay makes 2-pt shot from 16 ft
10:57.0,M. Carter-Williams misses 2-pt shot from 8 ft,,56-55,,
10:55.0,Offensive rebound by G. Monroe,,56-55,,
10:55.0,G. Monroe makes 2-pt shot from 1 ft,2,58-55,,
10:33.0,,,58-55,,R. Gay misses 2-pt shot from 9 ft
10:32.0,,,58-55,,Offensive rebound by W. Cauley-Stein
10:28.0,,,58-55,,M. Belinelli misses 3-pt shot from 26 ft
10:28.0,Defensive rebound by G. Monroe,,58-55,,
10:20.0,K. Middleton makes 2-pt shot from 19 ft (assist by M. Carter-Williams),2,60-55,,
9:59.0,,,60-57,2,R. Gay makes 2-pt shot from 20 ft
9:46.0,K. Middleton makes 2-pt shot from 17 ft,2,62-57,,
9:46.0,Shooting foul by M. Belinelli (drawn by K. Middleton),,62-57,,
9:46.0,K. Middleton misses free throw 1 of 1,,62-57,,
9:45.0,,,62-57,,Defensive rebound by K. Koufos
9:40.0,,,62-57,,Turnover by R. Rondo (back court)
9:28.0,G. Antetokounmpo makes 2-pt shot from 20 ft (assist by M. Carter-Williams),2,64-57,,
9:00.0,,,64-60,3,R. Rondo makes 3-pt shot from 23 ft (assist by R. Gay)
8:51.0,,,64-60,,Personal foul by K. Koufos (drawn by K. Middleton)
8:51.0,,,64-60,,Q. Acy enters the game for K. Koufos
8:42.0,J. Parker misses 2-pt shot from 19 ft,,64-60,,
8:41.0,,,64-60,,Defensive rebound by R. Rondo
8:36.0,,,64-62,2,R. Rondo makes 2-pt shot from 3 ft
8:20.0,K. Middleton misses 3-pt shot from 23 ft,,64-62,,
8:19.0,,,64-62,,Defensive rebound by R. Gay
8:12.0,,,64-62,,R. Gay misses 3-pt shot from 24 ft
8:11.0,Defensive rebound by G. Monroe,,64-62,,
8:01.0,Turnover by K. Middleton (offensive foul),,64-62,,
8:01.0,Offensive foul by K. Middleton,,64-62,,
7:51.0,,,64-62,,R. Rondo misses 2-pt shot from 3 ft
7:50.0,Defensive rebound by G. Monroe,,64-62,,
7:45.0,Turnover by M. Carter-Williams (bad pass; steal by R. Gay),,64-62,,
7:40.0,,,64-64,2,Q. Acy makes 2-pt shot at rim (assist by M. Belinelli)
7:34.0,G. Monroe makes 2-pt shot at rim (assist by K. Middleton),2,66-64,,
7:15.0,,,66-64,,Turnover by M. Belinelli (lost ball; steal by J. Parker)
7:12.0,J. Parker makes 2-pt shot at rim,2,68-64,,
6:47.0,,,68-64,,M. Belinelli misses 3-pt shot from 24 ft
6:46.0,Defensive rebound by J. Parker,,68-64,,
6:38.0,K. Middleton misses 2-pt shot from 12 ft,,68-64,,
6:37.0,,,68-64,,Defensive rebound by W. Cauley-Stein
6:19.0,,,68-64,,R. Gay misses 2-pt shot from 5 ft
6:18.0,Defensive rebound by G. Antetokounmpo,,68-64,,
6:05.0,Turnover by K. Middleton (lost ball; steal by R. Rondo),,68-64,,
6:04.0,Personal foul by M. Carter-Williams (drawn by R. Gay),,68-64,,
6:04.0,,,68-64,,J. Anderson enters the game for M. Belinelli
6:04.0,J. Bayless enters the game for J. Parker,,68-64,,
5:53.0,Personal foul by J. Bayless (drawn by J. Anderson),,68-64,,
5:53.0,,,68-64,,Sacramento full timeout
5:53.0,M. Plumlee enters the game for G. Monroe,,68-64,,
5:40.0,,,68-67,3,R. Rondo makes 3-pt shot from 23 ft (assist by R. Gay)
5:28.0,Turnover by J. Bayless (traveling),,68-67,,
5:16.0,,,68-69,2,R. Gay makes 2-pt shot from 2 ft
5:03.0,Turnover by M. Carter-Williams (bad pass; steal by R. Rondo),,68-69,,
4:59.0,Violation by M. Plumlee (def goaltending),,68-69,,
4:59.0,,,68-71,2,R. Gay makes 2-pt shot from 2 ft (assist by R. Rondo)
4:46.0,,,68-71,,Personal foul by Q. Acy (drawn by K. Middleton)
4:46.0,,,68-71,,O. Casspi enters the game for W. Cauley-Stein
4:40.0,J. Bayless misses 2-pt shot from 15 ft,,68-71,,
4:39.0,,,68-71,,Defensive rebound by R. Gay
4:30.0,,,68-71,,Turnover by R. Rondo (bad pass; steal by K. Middleton)
4:27.0,Shooting foul by R. Gay (drawn by G. Antetokounmpo),,68-71,,
4:27.0,G. Antetokounmpo makes 2-pt shot from 4 ft (assist by K. Middleton),2,70-71,,
4:27.0,G. Antetokounmpo makes free throw 1 of 1,1,71-71,,
4:12.0,,,71-71,,Turnover by R. Rondo (bad pass; steal by K. Middleton)
4:05.0,Turnover by M. Carter-Williams (bad pass; steal by R. Rondo),,71-71,,
3:57.0,,,71-71,,J. Anderson misses 3-pt shot from 25 ft
3:56.0,Defensive rebound by J. Bayless,,71-71,,
3:51.0,Turnover by K. Middleton (step out of bounds),,71-71,,
3:51.0,,,71-71,,D. Collison enters the game for R. Gay
3:28.0,,,71-71,,Q. Acy misses 3-pt shot from 25 ft
3:27.0,Defensive rebound by G. Antetokounmpo,,71-71,,
3:19.0,J. Bayless misses 3-pt shot from 24 ft,,71-71,,
3:18.0,Offensive rebound by M. Plumlee,,71-71,,
3:14.0,J. Bayless misses 3-pt shot from 25 ft,,71-71,,
3:13.0,,,71-71,,Defensive rebound by D. Collison
2:56.0,,,71-71,,Offensive charge foul by D. Collison
2:56.0,,,71-71,,Turnover by D. Collison (offensive foul)
2:56.0,Milwaukee full timeout,,71-71,,
2:56.0,J. Parker enters the game for G. Antetokounmpo,,71-71,,
2:56.0,,,71-71,,M. Belinelli enters the game for R. Rondo
2:43.0,K. Middleton misses 2-pt shot from 3 ft,,71-71,,
2:41.0,Offensive rebound by M. Plumlee,,71-71,,
2:41.0,M. Plumlee misses 2-pt shot from 1 ft,,71-71,,
2:40.0,,,71-71,,Defensive rebound by J. Anderson
2:25.0,,,71-71,,Shooting foul by J. Parker (drawn by O. Casspi)
2:25.0,,,71-72,1,O. Casspi makes free throw 1 of 2
2:25.0,,,71-73,1,O. Casspi makes free throw 2 of 2
2:01.0,J. Bayless misses 2-pt shot from 12 ft,,71-73,,
2:00.0,,,71-73,,Defensive rebound by Q. Acy
1:47.0,,,71-73,,Shooting foul by M. Plumlee (drawn by O. Casspi)
1:47.0,,,71-74,1,O. Casspi makes free throw 1 of 2
1:47.0,,,71-74,,O. Casspi misses free throw 2 of 2
1:46.0,,,71-74,,Offensive rebound by Q. Acy
1:34.0,,,71-74,,D. Collison misses 3-pt shot from 25 ft
1:33.0,Defensive rebound by J. Bayless,,71-74,,
1:17.0,J. Bayless misses 3-pt shot from 24 ft,,71-74,,
1:16.0,,,71-74,,Defensive rebound by D. Collison
1:13.0,,,71-74,,M. Belinelli misses 2-pt shot from 2 ft
1:12.0,Defensive rebound by M. Carter-Williams,,71-74,,
1:05.0,Turnover by M. Plumlee (offensive goaltending),,71-74,,
0:49.0,,,71-74,,O. Casspi misses 2-pt shot from 4 ft
0:48.0,Defensive rebound by M. Plumlee,,71-74,,
0:33.0,M. Carter-Williams makes 3-pt shot from 23 ft (assist by J. Bayless),3,74-74,,
0:13.0,,,74-74,,D. Collison misses 2-pt shot from 3 ft
0:12.0,,,74-74,,Offensive rebound by Q. Acy
0:08.0,,,74-74,,M. Belinelli misses 3-pt shot from 27 ft
0:07.0,,,74-74,,Offensive rebound by Q. Acy
0:07.0,,,74-74,,Q. Acy misses 2-pt shot from 2 ft
0:06.0,,,74-74,,Offensive rebound by Q. Acy
0:06.0,,,74-74,,Q. Acy misses 2-pt shot from 2 ft
0:04.0,,,74-74,,Offensive rebound by Team
0:04.0,,,74-74,,R. Gay enters the game for Q. Acy
0:00.0,,,74-74,,D. Collison misses 3-pt shot from 22 ft
0:00.0,,,74-74,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,74-76,2,K. Koufos makes 2-pt shot from 1 ft (assist by O. Casspi)
11:23.0,G. Antetokounmpo makes 2-pt shot from 5 ft,2,76-76,,
11:05.0,,,76-76,,R. Gay misses 2-pt shot from 5 ft (block by M. Plumlee)
11:04.0,Defensive rebound by G. Antetokounmpo,,76-76,,
11:01.0,,,76-76,,Personal foul by D. Collison (drawn by J. Bayless)
10:39.0,G. Antetokounmpo misses 2-pt shot from 14 ft,,76-76,,
10:39.0,,,76-76,,Defensive rebound by K. Koufos
10:28.0,,,76-76,,O. Casspi misses 3-pt shot from 27 ft
10:28.0,,,76-76,,Offensive rebound by K. Koufos
10:23.0,,,76-76,,M. Belinelli misses 3-pt shot from 24 ft
10:22.0,Defensive rebound by J. Parker,,76-76,,
10:12.0,Turnover by M. Plumlee (bad pass; steal by R. Gay),,76-76,,
10:07.0,,,76-78,2,D. Collison makes 2-pt shot from 2 ft (assist by R. Gay)
9:51.0,Turnover by G. Antetokounmpo (lost ball; steal by K. Koufos),,76-78,,
9:50.0,Personal foul by G. Antetokounmpo (drawn by K. Koufos),,76-78,,
9:50.0,G. Monroe enters the game for M. Plumlee,,76-78,,
9:28.0,,,76-78,,O. Casspi misses 3-pt shot from 25 ft
9:28.0,Defensive rebound by R. Vaughn,,76-78,,
9:21.0,R. Vaughn makes 3-pt shot from 25 ft (assist by J. Parker),3,79-78,,
9:04.0,,,79-78,,Shooting foul by R. Vaughn (drawn by M. Belinelli)
9:04.0,,,79-79,1,M. Belinelli makes free throw 1 of 2
9:04.0,,,79-79,,W. Cauley-Stein enters the game for O. Casspi
9:04.0,,,79-79,,R. Rondo enters the game for D. Collison
9:04.0,,,79-80,1,M. Belinelli makes free throw 2 of 2
8:54.0,R. Vaughn misses 3-pt shot from 24 ft,,79-80,,
8:54.0,,,79-80,,Defensive rebound by W. Cauley-Stein
8:42.0,,,79-83,3,M. Belinelli makes 3-pt shot from 25 ft (assist by R. Rondo)
8:17.0,J. Bayless makes 3-pt shot from 25 ft,3,82-83,,
7:54.0,,,82-83,,K. Koufos misses 2-pt shot from 5 ft
7:53.0,,,82-83,,Offensive rebound by K. Koufos
7:53.0,Personal foul by J. Parker (drawn by K. Koufos),,82-83,,
7:53.0,Official timeout,,82-83,,
7:36.0,,,82-85,2,R. Rondo makes 2-pt shot from 22 ft
7:17.0,Turnover by G. Monroe (bad pass; steal by M. Belinelli),,82-85,,
7:11.0,,,82-85,,R. Rondo misses 2-pt shot from 3 ft (block by R. Vaughn)
7:11.0,Defensive rebound by Team,,82-85,,
6:54.0,G. Monroe misses 2-pt shot from 7 ft,,82-85,,
6:53.0,,,82-85,,Defensive rebound by R. Rondo
6:48.0,,,82-87,2,W. Cauley-Stein makes 2-pt shot at rim (assist by R. Rondo)
6:29.0,J. Parker makes 2-pt shot from 18 ft (assist by J. Bayless),2,84-87,,
6:08.0,,,84-89,2,R. Gay makes 2-pt shot from 12 ft (assist by R. Rondo)
5:47.0,J. Parker misses 2-pt shot from 17 ft,,84-89,,
5:46.0,,,84-89,,Defensive rebound by W. Cauley-Stein
5:34.0,Personal foul by J. Parker (drawn by W. Cauley-Stein),,84-89,,
5:34.0,,,84-89,,Sacramento full timeout
5:34.0,M. Carter-Williams enters the game for J. Bayless,,84-89,,
5:34.0,K. Middleton enters the game for R. Vaughn,,84-89,,
5:31.0,Personal foul by K. Middleton (drawn by M. Belinelli),,84-89,,
5:31.0,,,84-90,1,M. Belinelli makes free throw 1 of 2
5:31.0,,,84-91,1,M. Belinelli makes free throw 2 of 2
5:15.0,G. Antetokounmpo makes 2-pt shot from 10 ft,2,86-91,,
5:01.0,,,86-91,,Turnover by R. Rondo (bad pass; steal by G. Monroe)
4:57.0,Shooting foul by M. Belinelli (drawn by G. Antetokounmpo),,86-91,,
4:57.0,G. Antetokounmpo makes free throw 1 of 2,1,87-91,,
4:57.0,G. Antetokounmpo makes free throw 2 of 2,1,88-91,,
4:46.0,Personal foul by G. Antetokounmpo (drawn by R. Gay),,88-91,,
4:46.0,,,88-92,1,R. Gay makes free throw 1 of 2
4:46.0,,,88-92,,O. Casspi enters the game for W. Cauley-Stein
