time,New York,pts.away,score,pts.home,Indiana
3:32.0,,,27-22,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by M. Ellis)
3:14.0,R. Lopez misses 2-pt shot from 11 ft,,27-22,,
3:13.0,,,27-22,,Defensive rebound by S. Hill
3:05.0,,,27-22,,Shooting foul by D. Williams (drawn by M. Ellis)
3:05.0,,,27-22,,M. Ellis misses free throw 1 of 2
3:05.0,,,27-22,,Offensive rebound by Team
3:05.0,K. O'Quinn enters the game for R. Lopez,,27-22,,
3:05.0,,,27-23,1,M. Ellis makes free throw 2 of 2
2:52.0,J. Grant makes 2-pt shot from 12 ft,2,29-23,,
2:46.0,,,29-23,,Turnover by M. Ellis (lost ball; steal by J. Grant)
2:41.0,D. Williams makes 2-pt shot at rim (assist by L. Galloway),2,31-23,,
2:26.0,,,31-25,2,S. Hill makes 2-pt shot from 12 ft
2:00.0,L. Galloway misses 2-pt shot from 15 ft,,31-25,,
2:00.0,,,31-25,,Defensive rebound by S. Hill
1:44.0,,,31-25,,P. George misses 2-pt shot from 19 ft
1:43.0,,,31-25,,Offensive rebound by I. Mahinmi
1:41.0,Shooting block foul by A. Afflalo (drawn by P. George),,31-25,,
1:41.0,New York full timeout,,31-25,,
1:41.0,,,31-25,,T. Lawson enters the game for M. Ellis
1:41.0,,,31-25,,M. Turner enters the game for I. Mahinmi
1:41.0,L. Amundson enters the game for D. Williams,,31-25,,
1:41.0,,,31-26,1,P. George makes free throw 1 of 2
1:41.0,,,31-27,1,P. George makes free throw 2 of 2
1:23.0,J. Grant makes 2-pt shot at rim (assist by K. O'Quinn),2,33-27,,
1:02.0,,,33-27,,T. Lawson misses 2-pt shot from 13 ft (block by J. Grant)
1:00.0,Defensive rebound by J. Grant,,33-27,,
0:50.0,L. Galloway misses 3-pt shot from 23 ft,,33-27,,
0:49.0,Offensive rebound by K. O'Quinn,,33-27,,
0:46.0,L. Galloway misses 2-pt shot at rim,,33-27,,
0:45.0,,,33-27,,Defensive rebound by S. Hill
0:40.0,,,33-27,,Turnover by M. Turner (lost ball; steal by A. Afflalo)
0:28.0,K. O'Quinn misses 2-pt shot from 19 ft,,33-27,,
0:28.0,,,33-27,,Defensive rebound by M. Turner
0:04.0,,,33-29,2,R. Stuckey makes 2-pt shot from 2 ft (assist by S. Hill)
0:00.0,A. Afflalo makes 3-pt shot from 28 ft (assist by J. Grant),3,36-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Turnover by A. Afflalo (bad pass),,36-29,,
11:30.0,,,36-29,,R. Stuckey misses 2-pt shot from 1 ft (block by L. Galloway)
11:30.0,,,36-29,,Offensive rebound by Team
11:20.0,,,36-29,,S. Hill misses 3-pt shot from 24 ft
11:20.0,Defensive rebound by K. O'Quinn,,36-29,,
11:07.0,A. Afflalo misses 3-pt shot from 25 ft,,36-29,,
11:06.0,Offensive rebound by L. Amundson,,36-29,,
11:04.0,Turnover by J. Grant (bad pass),,36-29,,
10:57.0,,,36-29,,M. Turner misses 2-pt shot from 2 ft (block by K. O'Quinn)
10:56.0,Defensive rebound by A. Afflalo,,36-29,,
10:49.0,Shooting foul by M. Turner (drawn by L. Amundson),,36-29,,
10:49.0,L. Amundson makes free throw 1 of 2,1,37-29,,
10:49.0,L. Amundson makes free throw 2 of 2,1,38-29,,
10:35.0,,,38-29,,M. Turner misses 2-pt shot from 20 ft
10:35.0,Defensive rebound by J. Grant,,38-29,,
10:21.0,Turnover by K. O'Quinn (bad pass),,38-29,,
10:00.0,,,38-31,2,L. Allen makes 2-pt shot at rim (assist by T. Lawson)
9:34.0,K. O'Quinn misses 2-pt shot at rim (block by L. Allen),,38-31,,
9:33.0,,,38-31,,Defensive rebound by M. Turner
9:25.0,Personal foul by L. Amundson,,38-31,,
9:14.0,,,38-33,2,L. Allen makes 2-pt shot from 6 ft (assist by T. Lawson)
8:53.0,L. Amundson misses 2-pt shot from 15 ft,,38-33,,
8:53.0,,,38-33,,Defensive rebound by S. Hill
8:43.0,,,38-33,,Shooting foul by L. Amundson (drawn by M. Turner)
8:43.0,Official timeout,,38-33,,
8:43.0,R. Lopez enters the game for L. Galloway,,38-33,,
8:43.0,S. Vujacic enters the game for K. O'Quinn,,38-33,,
8:43.0,D. Williams enters the game for L. Amundson,,38-33,,
8:43.0,,,38-33,,M. Turner misses free throw 1 of 2
8:43.0,,,38-33,,Offensive rebound by Team
8:43.0,,,38-34,1,M. Turner makes free throw 2 of 2
8:21.0,R. Lopez misses 2-pt shot from 3 ft,,38-34,,
8:21.0,,,38-34,,Defensive rebound by L. Allen
8:08.0,,,38-36,2,M. Turner makes 2-pt shot from 19 ft (assist by T. Lawson)
7:46.0,R. Lopez makes 2-pt shot from 6 ft (assist by J. Grant),2,40-36,,
7:36.0,,,40-38,2,T. Lawson makes 2-pt shot from 1 ft
7:28.0,New York full timeout,,40-38,,
7:20.0,A. Afflalo makes 2-pt shot from 20 ft (assist by S. Vujacic),2,42-38,,
7:05.0,,,42-40,2,M. Turner makes 2-pt shot from 19 ft (assist by T. Lawson)
6:50.0,J. Grant makes 3-pt shot from 24 ft (assist by R. Lopez),3,45-40,,
6:36.0,,,45-40,,Turnover by M. Turner (offensive foul)
6:36.0,,,45-40,,Offensive foul by M. Turner
6:36.0,,,45-40,,G. Hill enters the game for L. Allen
6:36.0,,,45-40,,I. Mahinmi enters the game for M. Turner
6:24.0,A. Afflalo misses 2-pt shot from 7 ft,,45-40,,
6:24.0,,,45-40,,Defensive rebound by I. Mahinmi
6:10.0,,,45-40,,Turnover by G. Hill (lost ball; steal by D. Williams)
6:02.0,S. Vujacic misses 2-pt shot from 21 ft,,45-40,,
6:01.0,Offensive rebound by R. Lopez,,45-40,,
5:57.0,D. Williams makes 3-pt shot from 26 ft (assist by J. Grant),3,48-40,,
5:37.0,,,48-43,3,G. Hill makes 3-pt shot from 26 ft (assist by R. Stuckey)
5:06.0,A. Afflalo misses 3-pt shot from 30 ft,,48-43,,
5:06.0,,,48-43,,Defensive rebound by S. Hill
5:00.0,,,48-45,2,R. Stuckey makes 2-pt shot from 8 ft (assist by T. Lawson)
4:44.0,S. Vujacic misses 2-pt shot at rim (block by G. Hill),,48-45,,
4:43.0,,,48-45,,Defensive rebound by I. Mahinmi
4:40.0,,,48-45,,Shooting foul by D. Williams (drawn by R. Stuckey)
4:40.0,,,48-45,,R. Stuckey misses free throw 1 of 2
4:40.0,,,48-45,,Offensive rebound by Team
4:40.0,,,48-45,,M. Ellis enters the game for T. Lawson
4:40.0,,,48-45,,P. George enters the game for S. Hill
4:40.0,L. Galloway enters the game for R. Lopez,,48-45,,
4:40.0,K. Seraphin enters the game for S. Vujacic,,48-45,,
4:40.0,C. Early enters the game for A. Afflalo,,48-45,,
4:40.0,,,48-45,,R. Stuckey misses free throw 2 of 2
4:40.0,Defensive rebound by K. Seraphin,,48-45,,
4:25.0,Turnover by J. Grant (bad pass),,48-45,,
4:05.0,,,48-45,,P. George misses 3-pt shot from 23 ft
4:05.0,Defensive rebound by J. Grant,,48-45,,
3:55.0,L. Galloway misses 3-pt shot from 23 ft,,48-45,,
3:54.0,,,48-45,,Defensive rebound by I. Mahinmi
3:43.0,,,48-45,,Turnover by G. Hill (lost ball; steal by J. Grant)
3:39.0,L. Galloway makes 2-pt shot at rim (assist by D. Williams),2,50-45,,
3:32.0,,,50-45,,Indiana full timeout
3:32.0,,,50-45,,S. Hill enters the game for R. Stuckey
3:24.0,Personal foul by K. Seraphin,,50-45,,
3:14.0,,,50-45,,Turnover by I. Mahinmi (lost ball)
2:59.0,D. Williams misses 3-pt shot from 26 ft,,50-45,,
2:58.0,,,50-45,,Defensive rebound by P. George
2:52.0,,,50-47,2,M. Ellis makes 2-pt shot from 1 ft (assist by P. George)
2:43.0,Turnover by J. Grant (lost ball; steal by P. George),,50-47,,
2:38.0,,,50-49,2,G. Hill makes 2-pt shot at rim (assist by S. Hill)
2:16.0,K. Seraphin makes 2-pt shot from 6 ft,2,52-49,,
1:59.0,,,52-49,,G. Hill misses 3-pt shot from 24 ft
1:58.0,Defensive rebound by K. Seraphin,,52-49,,
1:49.0,J. Grant makes 2-pt shot from 1 ft,2,54-49,,
1:49.0,Shooting foul by S. Hill (drawn by J. Grant),,54-49,,
1:49.0,J. Grant misses free throw 1 of 1,,54-49,,
1:49.0,,,54-49,,Defensive rebound by S. Hill
1:34.0,,,54-49,,S. Hill misses 2-pt shot from 11 ft
1:34.0,Defensive rebound by C. Early,,54-49,,
1:12.0,K. Seraphin misses 2-pt shot from 12 ft,,54-49,,
1:12.0,,,54-49,,Defensive rebound by P. George
1:02.0,,,54-49,,Shooting foul by K. Seraphin (drawn by P. George)
1:02.0,,,54-50,1,P. George makes free throw 1 of 2
1:02.0,,,54-51,1,P. George makes free throw 2 of 2
0:51.0,Turnover by J. Grant (lost ball; steal by S. Hill),,54-51,,
0:45.0,,,54-53,2,M. Ellis makes 2-pt shot at rim (assist by G. Hill)
0:30.0,Turnover by D. Williams (lost ball; steal by P. George),,54-53,,
0:07.0,,,54-53,,M. Ellis misses 3-pt shot from 26 ft
0:06.0,Defensive rebound by K. Seraphin,,54-53,,
0:00.0,D. Williams misses 3-pt shot from 27 ft,,54-53,,
0:00.0,Offensive rebound by Team,,54-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Turnover by S. Vujacic (lost ball; steal by G. Hill),,54-53,,
11:45.0,,,54-55,2,G. Hill makes 2-pt shot at rim
11:26.0,S. Vujacic makes 2-pt shot from 17 ft (assist by R. Lopez),2,56-55,,
11:08.0,,,56-57,2,P. George makes 2-pt shot from 15 ft (assist by L. Allen)
10:54.0,C. Early makes 3-pt shot from 26 ft (assist by S. Vujacic),3,59-57,,
10:35.0,,,59-60,3,G. Hill makes 3-pt shot from 25 ft (assist by P. George)
10:08.0,R. Lopez misses 2-pt shot from 1 ft,,59-60,,
10:08.0,,,59-60,,Defensive rebound by L. Allen
9:57.0,,,59-60,,M. Ellis misses 2-pt shot from 2 ft
9:56.0,Defensive rebound by R. Lopez,,59-60,,
9:41.0,C. Early misses 3-pt shot from 24 ft,,59-60,,
9:40.0,,,59-60,,Defensive rebound by G. Hill
9:25.0,,,59-60,,Offensive foul by I. Mahinmi
9:25.0,,,59-60,,Turnover by I. Mahinmi (offensive foul)
9:09.0,J. Grant misses 3-pt shot from 29 ft,,59-60,,
9:08.0,,,59-60,,Defensive rebound by G. Hill
9:07.0,Personal foul by S. Vujacic,,59-60,,
8:50.0,,,59-60,,L. Allen misses 2-pt shot from 19 ft
8:49.0,Defensive rebound by Team,,59-60,,
8:27.0,Turnover by C. Early (lost ball; steal by M. Ellis),,59-60,,
8:22.0,,,59-62,2,G. Hill makes 2-pt shot at rim
8:22.0,New York full timeout,,59-62,,
8:22.0,L. Galloway enters the game for S. Vujacic,,59-62,,
7:57.0,L. Galloway makes 2-pt shot from 14 ft (assist by R. Lopez),2,61-62,,
7:34.0,,,61-62,,M. Ellis misses 3-pt shot from 23 ft
7:33.0,Defensive rebound by R. Lopez,,61-62,,
7:26.0,D. Williams makes 2-pt shot from 2 ft,2,63-62,,
7:26.0,Shooting foul by L. Allen (drawn by D. Williams),,63-62,,
7:26.0,D. Williams makes free throw 1 of 1,1,64-62,,
7:10.0,,,64-62,,Turnover by P. George (lost ball; steal by L. Galloway)
6:54.0,R. Lopez misses 2-pt shot from 10 ft,,64-62,,
6:54.0,,,64-62,,Defensive rebound by G. Hill
6:41.0,,,64-65,3,G. Hill makes 3-pt shot from 24 ft (assist by M. Ellis)
6:12.0,C. Early misses 3-pt shot from 23 ft,,64-65,,
6:11.0,,,64-65,,Defensive rebound by I. Mahinmi
5:51.0,,,64-65,,Turnover by P. George (step out of bounds)
5:37.0,D. Williams misses 3-pt shot from 24 ft,,64-65,,
5:36.0,,,64-65,,Defensive rebound by Team
5:18.0,,,64-67,2,P. George makes 2-pt shot from 1 ft (assist by M. Ellis)
5:03.0,J. Grant misses 2-pt shot at rim,,64-67,,
5:01.0,,,64-67,,Defensive rebound by P. George
4:58.0,,,64-69,2,G. Hill makes 2-pt shot from 10 ft
4:58.0,,,64-69,,Shooting foul by L. Galloway (drawn by G. Hill)
4:58.0,A. Afflalo enters the game for C. Early,,64-69,,
4:58.0,,,64-69,,S. Hill enters the game for L. Allen
4:58.0,,,64-69,,G. Hill misses free throw 1 of 1
4:58.0,Defensive rebound by R. Lopez,,64-69,,
4:42.0,Turnover by J. Grant (lost ball; steal by G. Hill),,64-69,,
4:34.0,,,64-69,,Turnover by G. Hill (bad pass)
4:13.0,A. Afflalo misses 2-pt shot from 17 ft,,64-69,,
4:13.0,,,64-69,,Defensive rebound by S. Hill
3:50.0,,,64-69,,S. Hill misses 2-pt shot from 14 ft
3:49.0,Defensive rebound by R. Lopez,,64-69,,
3:35.0,Turnover by D. Williams (lost ball; steal by M. Ellis),,64-69,,
3:28.0,,,64-69,,I. Mahinmi misses 2-pt shot from 6 ft
3:27.0,Defensive rebound by L. Galloway,,64-69,,
3:21.0,L. Galloway misses 2-pt shot from 19 ft,,64-69,,
3:20.0,,,64-69,,Defensive rebound by P. George
3:11.0,,,64-71,2,P. George makes 2-pt shot from 14 ft
2:43.0,Turnover by Team (shot clock),,64-71,,
2:43.0,,,64-71,,Indiana full timeout
2:43.0,K. O'Quinn enters the game for D. Williams,,64-71,,
2:43.0,C. Early enters the game for R. Lopez,,64-71,,
2:43.0,S. Vujacic enters the game for J. Grant,,64-71,,
2:43.0,,,64-71,,T. Lawson enters the game for M. Ellis
2:29.0,,,64-71,,P. George misses 3-pt shot from 25 ft
2:28.0,,,64-71,,Offensive rebound by Team
2:21.0,,,64-73,2,I. Mahinmi makes 2-pt shot at rim (assist by P. George)
2:03.0,S. Vujacic misses 3-pt shot from 25 ft,,64-73,,
2:02.0,,,64-73,,Defensive rebound by I. Mahinmi
1:54.0,,,64-75,2,S. Hill makes 2-pt shot from 1 ft (assist by T. Lawson)
1:25.0,K. O'Quinn makes 2-pt shot from 16 ft (assist by L. Galloway),2,66-75,,
1:19.0,,,66-77,2,P. George makes 2-pt shot from 4 ft
1:19.0,,,66-77,,Shooting foul by K. O'Quinn (drawn by P. George)
1:19.0,,,66-77,,R. Stuckey enters the game for G. Hill
1:19.0,,,66-77,,M. Turner enters the game for I. Mahinmi
1:19.0,,,66-77,,P. George misses free throw 1 of 1
1:19.0,Defensive rebound by K. O'Quinn,,66-77,,
1:01.0,S. Vujacic misses 3-pt shot from 25 ft,,66-77,,
1:00.0,,,66-77,,Defensive rebound by T. Lawson
0:52.0,,,66-79,2,M. Turner makes 2-pt shot from 18 ft (assist by T. Lawson)
0:52.0,New York full timeout,,66-79,,
0:33.0,Shooting foul by S. Hill (drawn by L. Galloway),,66-79,,
0:33.0,L. Galloway makes free throw 1 of 2,1,67-79,,
0:33.0,L. Galloway makes free throw 2 of 2,1,68-79,,
0:17.0,,,68-79,,P. George misses 3-pt shot from 23 ft
0:16.0,Defensive rebound by K. O'Quinn,,68-79,,
0:01.0,A. Afflalo makes 2-pt shot from 19 ft (assist by S. Vujacic),2,70-79,,
0:00.0,,,70-79,,R. Stuckey misses 3-pt shot from 82 ft
0:00.0,,,70-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,70-81,2,T. Lawson makes 2-pt shot from 19 ft
11:20.0,L. Galloway misses 3-pt shot from 26 ft,,70-81,,
11:19.0,,,70-81,,Defensive rebound by S. Hill
11:00.0,,,70-81,,M. Turner misses 2-pt shot from 20 ft
10:59.0,,,70-81,,Offensive rebound by S. Hill
10:50.0,,,70-83,2,M. Turner makes 2-pt shot at rim (assist by R. Stuckey)
10:30.0,K. O'Quinn makes 2-pt shot from 7 ft (assist by A. Afflalo),2,72-83,,
10:14.0,,,72-83,,Shooting foul by K. O'Quinn (drawn by M. Turner)
10:14.0,,,72-84,1,M. Turner makes free throw 1 of 2
10:14.0,,,72-85,1,M. Turner makes free throw 2 of 2
9:55.0,S. Vujacic misses 3-pt shot from 26 ft,,72-85,,
9:55.0,,,72-85,,Defensive rebound by Team
9:35.0,,,72-85,,S. Hill misses 3-pt shot from 23 ft
9:34.0,Defensive rebound by S. Vujacic,,72-85,,
9:18.0,,,72-85,,Personal foul by G. Hill
9:14.0,L. Galloway misses 2-pt shot from 12 ft,,72-85,,
9:13.0,Offensive rebound by K. O'Quinn,,72-85,,
9:11.0,K. O'Quinn misses 2-pt shot from 6 ft,,72-85,,
9:11.0,Offensive rebound by L. Galloway,,72-85,,
9:07.0,A. Afflalo makes 3-pt shot from 22 ft (assist by L. Galloway),3,75-85,,
8:49.0,,,75-85,,T. Lawson misses 3-pt shot from 22 ft
8:48.0,,,75-85,,Offensive rebound by T. Lawson
8:47.0,,,75-85,,Turnover by T. Lawson (step out of bounds)
8:47.0,Official timeout,,75-85,,
8:26.0,S. Vujacic makes 2-pt shot from 17 ft (assist by K. O'Quinn),2,77-85,,
8:11.0,,,77-85,,M. Turner misses 2-pt shot from 14 ft (block by K. O'Quinn)
8:11.0,,,77-85,,Offensive rebound by Team
8:11.0,J. Grant enters the game for S. Vujacic,,77-85,,
8:00.0,,,77-87,2,G. Hill makes 2-pt shot from 19 ft
7:39.0,Turnover by K. O'Quinn (lost ball; steal by R. Stuckey),,77-87,,
7:34.0,,,77-89,2,R. Stuckey makes 2-pt shot from 17 ft
7:17.0,Turnover by C. Early (bad pass),,77-89,,
7:01.0,,,77-89,,R. Stuckey misses 3-pt shot from 24 ft
6:59.0,Defensive rebound by K. O'Quinn,,77-89,,
6:52.0,A. Afflalo misses 2-pt shot from 17 ft,,77-89,,
6:51.0,,,77-89,,Defensive rebound by M. Turner
6:31.0,,,77-89,,R. Stuckey misses 2-pt shot from 1 ft
6:30.0,,,77-89,,Offensive rebound by R. Stuckey
6:30.0,,,77-89,,R. Stuckey misses 2-pt shot from 1 ft (block by K. O'Quinn)
6:28.0,Defensive rebound by K. O'Quinn,,77-89,,
6:18.0,K. O'Quinn misses 3-pt shot from 26 ft,,77-89,,
6:18.0,,,77-89,,Defensive rebound by M. Turner
6:10.0,,,77-91,2,R. Stuckey makes 2-pt shot from 1 ft (assist by T. Lawson)
6:10.0,New York full timeout,,77-91,,
6:10.0,D. Williams enters the game for K. O'Quinn,,77-91,,
6:10.0,K. Seraphin enters the game for C. Early,,77-91,,
5:58.0,Turnover by D. Williams (lost ball; steal by R. Stuckey),,77-91,,
5:58.0,Personal foul by J. Grant,,77-91,,
5:45.0,,,77-91,,S. Hill misses 2-pt shot from 1 ft
5:45.0,Defensive rebound by K. Seraphin,,77-91,,
5:38.0,Shooting foul by G. Hill (drawn by L. Galloway),,77-91,,
5:38.0,L. Galloway makes 2-pt shot at rim (assist by J. Grant),2,79-91,,
5:38.0,L. Galloway makes free throw 1 of 1,1,80-91,,
5:20.0,,,80-91,,G. Hill misses 3-pt shot from 23 ft
5:18.0,Defensive rebound by J. Grant,,80-91,,
5:10.0,,,80-91,,Personal foul by G. Hill
5:00.0,A. Afflalo misses 2-pt shot from 16 ft,,80-91,,
4:59.0,,,80-91,,Defensive rebound by M. Turner
4:52.0,,,80-91,,T. Lawson misses 2-pt shot from 1 ft (block by K. Seraphin)
4:50.0,Defensive rebound by K. Seraphin,,80-91,,
4:29.0,D. Williams makes 3-pt shot from 26 ft (assist by A. Afflalo),3,83-91,,
4:10.0,,,83-91,,Turnover by T. Lawson (lost ball; steal by L. Galloway)
4:05.0,J. Grant misses 2-pt shot at rim (block by M. Turner),,83-91,,
4:05.0,,,83-91,,Defensive rebound by Team
3:52.0,,,83-93,2,M. Turner makes 2-pt shot from 17 ft
3:39.0,K. Seraphin makes 2-pt shot from 15 ft (assist by D. Williams),2,85-93,,
3:20.0,,,85-95,2,T. Lawson makes 2-pt shot at rim
3:01.0,J. Grant makes 3-pt shot from 26 ft (assist by K. Seraphin),3,88-95,,
2:43.0,,,88-95,,Shooting foul by K. Seraphin (drawn by R. Stuckey)
2:43.0,,,88-95,,Indiana full timeout
2:43.0,C. Early enters the game for D. Williams,,88-95,,
2:43.0,L. Amundson enters the game for A. Afflalo,,88-95,,
2:43.0,,,88-95,,I. Mahinmi enters the game for M. Turner
2:43.0,,,88-96,1,R. Stuckey makes free throw 1 of 2
2:43.0,,,88-97,1,R. Stuckey makes free throw 2 of 2
2:31.0,J. Grant makes 2-pt shot at rim,2,90-97,,
2:09.0,Personal foul by J. Grant,,90-97,,
1:58.0,,,90-99,2,S. Hill makes 2-pt shot from 1 ft (assist by R. Stuckey)
1:42.0,L. Galloway misses 3-pt shot from 25 ft,,90-99,,
1:41.0,,,90-99,,Defensive rebound by R. Stuckey
1:27.0,,,90-102,3,T. Lawson makes 3-pt shot from 23 ft (assist by R. Stuckey)
1:16.0,K. Seraphin misses 2-pt shot from 19 ft,,90-102,,
1:15.0,,,90-102,,Defensive rebound by R. Stuckey
1:09.0,,,90-102,,R. Stuckey misses 2-pt shot from 1 ft (block by K. Seraphin)
1:08.0,Defensive rebound by C. Early,,90-102,,
1:00.0,C. Early misses 2-pt shot from 10 ft,,90-102,,
1:00.0,Offensive rebound by L. Amundson,,90-102,,
1:00.0,L. Amundson misses 2-pt shot from 1 ft,,90-102,,
0:59.0,,,90-102,,Defensive rebound by S. Hill
0:35.0,,,90-102,,T. Lawson misses 2-pt shot from 20 ft
0:33.0,Defensive rebound by J. Grant,,90-102,,
0:26.0,J. Grant misses 3-pt shot from 25 ft,,90-102,,
0:25.0,,,90-102,,Defensive rebound by S. Hill
0:01.0,,,90-102,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
