time,Boston,pts.away,score,pts.home,Miami
7:44.0,J. Crowder enters the game for K. Olynyk,,39-40,,
7:44.0,,,39-40,,D. Wade enters the game for G. Green
7:44.0,,,39-40,,H. Whiteside enters the game for J. McRoberts
7:38.0,Turnover by J. Sullinger (bad pass),,39-40,,
7:17.0,,,39-40,,Shooting foul by I. Thomas (drawn by J. Winslow)
7:17.0,,,39-41,1,J. Winslow makes free throw 1 of 2
7:17.0,,,39-41,,J. Winslow misses free throw 2 of 2
7:16.0,Defensive rebound by E. Turner,,39-41,,
6:57.0,J. Sullinger makes 2-pt shot from 12 ft,2,41-41,,
6:32.0,,,41-41,,D. Wade misses 2-pt shot from 13 ft
6:31.0,Defensive rebound by A. Johnson,,41-41,,
6:20.0,I. Thomas makes 2-pt shot from 13 ft,2,43-41,,
5:57.0,,,43-41,,Turnover by J. Winslow (lost ball; steal by J. Crowder)
5:46.0,A. Johnson makes 2-pt shot from 6 ft (assist by I. Thomas),2,45-41,,
5:21.0,,,45-41,,Turnover by J. Winslow (bad pass)
5:21.0,A. Bradley enters the game for I. Thomas,,45-41,,
5:21.0,,,45-41,,G. Dragic enters the game for J. Winslow
5:21.0,,,45-41,,G. Green enters the game for T. Johnson
5:09.0,E. Turner misses 2-pt shot from 19 ft,,45-41,,
5:08.0,,,45-41,,Defensive rebound by C. Bosh
4:53.0,,,45-43,2,G. Dragic makes 2-pt shot from 7 ft
4:25.0,Turnover by A. Johnson (lost ball; steal by H. Whiteside),,45-43,,
4:24.0,Loose ball foul by J. Crowder (drawn by G. Dragic),,45-43,,
4:24.0,,,45-43,,G. Dragic misses free throw 1 of 2
4:24.0,,,45-43,,Offensive rebound by Team
4:24.0,I. Thomas enters the game for J. Crowder,,45-43,,
4:24.0,,,45-43,,J. McRoberts enters the game for C. Bosh
4:24.0,,,45-43,,G. Dragic misses free throw 2 of 2
4:23.0,Defensive rebound by Team,,45-43,,
4:23.0,,,45-43,,Loose ball foul by H. Whiteside (drawn by J. Sullinger)
4:23.0,,,45-43,,C. Bosh enters the game for H. Whiteside
4:06.0,E. Turner misses 3-pt shot from 24 ft,,45-43,,
4:05.0,,,45-43,,Defensive rebound by G. Green
3:48.0,,,45-43,,D. Wade misses 2-pt shot from 18 ft
3:47.0,Defensive rebound by J. Sullinger,,45-43,,
3:39.0,Shooting foul by D. Wade (drawn by A. Bradley),,45-43,,
3:39.0,A. Bradley makes free throw 1 of 3,1,46-43,,
3:39.0,A. Bradley makes free throw 2 of 3,1,47-43,,
3:39.0,A. Bradley makes free throw 3 of 3,1,48-43,,
3:20.0,,,48-45,2,C. Bosh makes 2-pt shot from 5 ft (assist by J. McRoberts)
3:01.0,E. Turner misses 2-pt shot from 12 ft,,48-45,,
3:01.0,Offensive rebound by Team,,48-45,,
3:01.0,,,48-45,,Loose ball foul by J. McRoberts (drawn by A. Johnson)
3:01.0,A. Johnson misses free throw 1 of 2,,48-45,,
3:01.0,Offensive rebound by Team,,48-45,,
3:01.0,A. Johnson makes free throw 2 of 2,1,49-45,,
2:49.0,,,49-45,,Shooting foul by J. Sullinger (drawn by J. McRoberts)
2:49.0,Official timeout,,49-45,,
2:49.0,,,49-46,1,J. McRoberts makes free throw 1 of 2
2:49.0,,,49-47,1,J. McRoberts makes free throw 2 of 2
2:28.0,I. Thomas misses 2-pt shot from 19 ft,,49-47,,
2:27.0,,,49-47,,Defensive rebound by C. Bosh
2:19.0,,,49-47,,Turnover by D. Wade (lost ball; steal by E. Turner)
2:14.0,I. Thomas makes 2-pt shot from 2 ft,2,51-47,,
1:54.0,,,51-47,,C. Bosh misses 2-pt shot from 1 ft
1:53.0,Defensive rebound by A. Bradley,,51-47,,
1:46.0,J. Sullinger makes 2-pt shot from 2 ft (assist by I. Thomas),2,53-47,,
1:26.0,,,53-49,2,D. Wade makes 2-pt shot from 16 ft (assist by C. Bosh)
1:16.0,,,53-49,,Personal foul by G. Dragic (drawn by I. Thomas)
1:16.0,I. Thomas makes free throw 1 of 2,1,54-49,,
1:16.0,I. Thomas makes free throw 2 of 2,1,55-49,,
0:55.0,,,55-49,,G. Dragic misses 2-pt shot from 6 ft
0:54.0,,,55-49,,Offensive rebound by D. Wade
0:54.0,,,55-49,,Shooting foul by A. Bradley (drawn by D. Wade)
0:54.0,,,55-50,1,D. Wade makes free throw 1 of 2
0:54.0,,,55-51,1,D. Wade makes free throw 2 of 2
0:35.0,E. Turner makes 2-pt shot from 6 ft (assist by J. Sullinger),2,57-51,,
0:22.0,,,57-51,,D. Wade misses 2-pt shot from 16 ft
0:21.0,Defensive rebound by A. Johnson,,57-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,A. Bradley makes 2-pt shot from 6 ft (assist by I. Thomas),2,59-51,,
11:33.0,,,59-51,,Turnover by G. Dragic (bad pass; steal by A. Johnson)
11:30.0,I. Thomas misses 2-pt shot from 11 ft,,59-51,,
11:29.0,Offensive rebound by J. Crowder,,59-51,,
11:28.0,J. Crowder misses 2-pt shot at rim,,59-51,,
11:27.0,Offensive rebound by A. Johnson,,59-51,,
11:26.0,A. Johnson misses 2-pt shot at rim,,59-51,,
11:25.0,,,59-51,,Defensive rebound by H. Whiteside
11:17.0,,,59-51,,D. Wade misses 2-pt shot from 18 ft
11:15.0,Defensive rebound by J. Crowder,,59-51,,
11:09.0,I. Thomas misses 2-pt shot from 6 ft,,59-51,,
11:09.0,Offensive rebound by J. Sullinger,,59-51,,
11:08.0,J. Sullinger makes 2-pt shot from 1 ft,2,61-51,,
11:08.0,Shooting foul by C. Bosh (drawn by J. Sullinger),,61-51,,
11:08.0,J. Sullinger makes free throw 1 of 1,1,62-51,,
10:55.0,,,62-53,2,G. Green makes 2-pt shot from 11 ft (assist by D. Wade)
10:34.0,A. Johnson makes 3-pt shot from 25 ft (assist by I. Thomas),3,65-53,,
10:10.0,,,65-55,2,D. Wade makes 2-pt shot from 7 ft
9:57.0,A. Bradley misses 2-pt shot from 16 ft,,65-55,,
9:56.0,,,65-55,,Defensive rebound by H. Whiteside
9:47.0,,,65-55,,Turnover by D. Wade (bad pass; steal by J. Sullinger)
9:40.0,I. Thomas misses 3-pt shot from 24 ft,,65-55,,
9:39.0,Offensive rebound by A. Johnson,,65-55,,
9:29.0,A. Johnson misses 2-pt shot from 4 ft,,65-55,,
9:28.0,,,65-55,,Defensive rebound by G. Dragic
9:18.0,,,65-55,,Turnover by D. Wade (bad pass; steal by J. Crowder)
9:14.0,A. Bradley makes 2-pt shot from 1 ft (assist by J. Crowder),2,67-55,,
9:06.0,,,67-55,,Miami full timeout
8:59.0,Personal foul by A. Johnson (drawn by C. Bosh),,67-55,,
8:44.0,,,67-55,,G. Green misses 3-pt shot from 33 ft
8:43.0,,,67-55,,Offensive rebound by Team
8:43.0,,,67-55,,Turnover by Team (shot clock)
8:30.0,Turnover by J. Sullinger (bad pass; steal by D. Wade),,67-55,,
8:24.0,,,67-57,2,D. Wade makes 2-pt shot at rim
8:08.0,A. Johnson misses 2-pt shot from 3 ft (block by H. Whiteside),,67-57,,
8:07.0,,,67-57,,Defensive rebound by D. Wade
8:02.0,,,67-59,2,G. Dragic makes 2-pt shot from 1 ft (assist by D. Wade)
7:45.0,A. Bradley makes 3-pt shot from 24 ft (assist by I. Thomas),3,70-59,,
7:29.0,,,70-59,,Turnover by D. Wade (lost ball; steal by J. Crowder)
7:29.0,Jump ball: J. Crowder vs. D. Wade (J. Sullinger gains possession),,,,Jump ball: J. Crowder vs. D. Wade (J. Sullinger gains possession)
7:21.0,I. Thomas makes 3-pt shot from 24 ft,3,73-59,,
6:58.0,Personal foul by A. Johnson (drawn by C. Bosh),,73-59,,
6:52.0,,,73-59,,Shooting foul by J. Sullinger (drawn by D. Wade)
6:52.0,,,73-60,1,D. Wade makes free throw 1 of 2
6:52.0,,,73-61,1,D. Wade makes free throw 2 of 2
6:37.0,A. Bradley makes 2-pt shot from 18 ft (assist by A. Johnson),2,75-61,,
6:09.0,,,75-61,,H. Whiteside misses 2-pt shot from 7 ft
6:08.0,,,75-61,,Offensive rebound by G. Dragic
6:00.0,,,75-63,2,D. Wade makes 2-pt shot at rim (assist by C. Bosh)
5:45.0,Turnover by A. Johnson (bad pass; steal by D. Wade),,75-63,,
5:40.0,,,75-65,2,D. Wade makes 2-pt shot from 1 ft
5:19.0,I. Thomas misses 3-pt shot from 24 ft,,75-65,,
5:18.0,,,75-65,,Defensive rebound by C. Bosh
5:09.0,,,75-65,,Shooting foul by J. Crowder (drawn by D. Wade)
5:09.0,,,75-66,1,D. Wade makes free throw 1 of 2
5:09.0,,,75-66,,J. McRoberts enters the game for C. Bosh
5:09.0,E. Turner enters the game for J. Crowder,,75-66,,
5:09.0,D. Lee enters the game for A. Johnson,,75-66,,
5:09.0,,,75-67,1,D. Wade makes free throw 2 of 2
4:54.0,E. Turner misses 2-pt shot from 18 ft (block by H. Whiteside),,75-67,,
4:53.0,Offensive rebound by J. Sullinger,,75-67,,
4:52.0,Shooting foul by J. McRoberts (drawn by J. Sullinger),,75-67,,
4:52.0,J. Sullinger makes free throw 1 of 2,1,76-67,,
4:52.0,J. Sullinger misses free throw 2 of 2,,76-67,,
4:51.0,,,76-67,,Defensive rebound by H. Whiteside
4:37.0,,,76-69,2,G. Dragic makes 2-pt shot from 1 ft
4:33.0,Boston full timeout,,76-69,,
4:33.0,,,76-69,,J. Winslow enters the game for G. Green
4:21.0,Turnover by E. Turner (bad pass; steal by D. Wade),,76-69,,
4:11.0,,,76-69,,D. Wade misses 2-pt shot from 8 ft
4:10.0,Defensive rebound by J. Sullinger,,76-69,,
3:55.0,A. Bradley misses 3-pt shot from 22 ft,,76-69,,
3:54.0,Offensive rebound by D. Lee,,76-69,,
3:52.0,Turnover by D. Lee (lost ball; steal by G. Dragic),,76-69,,
3:31.0,,,76-69,,G. Dragic misses 3-pt shot from 25 ft
3:30.0,,,76-69,,Offensive rebound by D. Wade
3:23.0,,,76-71,2,H. Whiteside makes 2-pt shot from 6 ft (assist by D. Wade)
3:10.0,,,76-71,,Personal foul by J. McRoberts (drawn by I. Thomas)
3:10.0,,,76-71,,T. Johnson enters the game for D. Wade
3:10.0,K. Olynyk enters the game for J. Sullinger,,76-71,,
3:10.0,T. Rozier enters the game for I. Thomas,,76-71,,
2:59.0,K. Olynyk misses 3-pt shot from 24 ft,,76-71,,
2:58.0,,,76-71,,Defensive rebound by H. Whiteside
2:49.0,Personal foul by D. Lee (drawn by H. Whiteside),,76-71,,
2:49.0,,,76-71,,H. Whiteside misses free throw 1 of 2
2:49.0,,,76-71,,Offensive rebound by Team
2:49.0,,,76-71,,H. Whiteside misses free throw 2 of 2
2:48.0,Defensive rebound by K. Olynyk,,76-71,,
2:36.0,E. Turner misses 2-pt shot from 1 ft (block by H. Whiteside),,76-71,,
2:35.0,,,76-71,,Defensive rebound by J. McRoberts
2:27.0,,,76-73,2,H. Whiteside makes 2-pt shot from 1 ft (assist by G. Dragic)
2:07.0,A. Bradley makes 3-pt shot from 25 ft (assist by K. Olynyk),3,79-73,,
1:50.0,,,79-73,,Turnover by G. Dragic (lost ball; steal by A. Bradley)
1:49.0,,,79-73,,Personal foul by J. McRoberts (drawn by T. Rozier)
1:40.0,A. Bradley misses 2-pt shot from 18 ft,,79-73,,
1:39.0,,,79-73,,Defensive rebound by G. Dragic
1:18.0,,,79-73,,T. Johnson misses 2-pt shot from 11 ft
1:17.0,,,79-73,,Offensive rebound by J. Winslow
1:15.0,,,79-73,,J. Winslow misses 2-pt shot from 5 ft
1:14.0,Defensive rebound by D. Lee,,79-73,,
1:05.0,A. Bradley misses 3-pt shot from 24 ft,,79-73,,
1:04.0,Offensive rebound by D. Lee,,79-73,,
1:01.0,K. Olynyk makes 2-pt shot at rim (assist by E. Turner),2,81-73,,
0:42.0,,,81-73,,G. Dragic misses 2-pt shot from 19 ft
0:39.0,,,81-73,,Offensive rebound by T. Johnson
0:39.0,,,81-73,,G. Green enters the game for H. Whiteside
0:39.0,,,81-73,,C. Bosh enters the game for G. Dragic
0:39.0,A. Johnson enters the game for D. Lee,,81-73,,
0:26.0,,,81-75,2,C. Bosh makes 2-pt shot from 1 ft
0:02.0,K. Olynyk misses 2-pt shot from 6 ft,,81-75,,
0:00.0,Offensive rebound by Team,,81-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,81-77,2,C. Bosh makes 2-pt shot from 2 ft
11:25.0,D. Lee misses 2-pt shot at rim (block by C. Bosh),,81-77,,
11:24.0,,,81-77,,Defensive rebound by J. Winslow
11:10.0,,,81-77,,C. Bosh misses 2-pt shot from 17 ft
11:09.0,,,81-77,,Offensive rebound by J. McRoberts
11:00.0,,,81-77,,Turnover by J. McRoberts (lost ball; steal by K. Olynyk)
10:47.0,Turnover by T. Rozier (bad pass; steal by T. Johnson),,81-77,,
10:37.0,,,81-80,3,C. Bosh makes 3-pt shot from 25 ft (assist by T. Johnson)
10:08.0,A. Bradley makes 3-pt shot from 26 ft (assist by K. Olynyk),3,84-80,,
9:55.0,,,84-82,2,C. Bosh makes 2-pt shot from 2 ft (assist by T. Johnson)
9:55.0,,,84-82,,Shooting foul by D. Lee (drawn by C. Bosh)
9:55.0,J. Crowder enters the game for D. Lee,,84-82,,
9:55.0,A. Johnson enters the game for K. Olynyk,,84-82,,
9:55.0,J. Sullinger enters the game for T. Rozier,,84-82,,
9:55.0,,,84-83,1,C. Bosh makes free throw 1 of 1
9:40.0,A. Bradley makes 2-pt shot from 21 ft (assist by J. Sullinger),2,86-83,,
9:23.0,,,86-83,,Offensive charge foul by J. Winslow
9:23.0,,,86-83,,Turnover by J. Winslow (offensive foul)
9:03.0,J. Crowder makes 3-pt shot from 23 ft (assist by J. Sullinger),3,89-83,,
8:42.0,,,89-83,,C. Bosh misses 2-pt shot from 17 ft
8:41.0,Defensive rebound by E. Turner,,89-83,,
8:29.0,J. Crowder misses 2-pt shot from 3 ft (block by J. McRoberts),,89-83,,
8:28.0,,,89-83,,Defensive rebound by C. Bosh
8:20.0,,,89-83,,G. Green misses 3-pt shot from 24 ft
8:18.0,Defensive rebound by J. Sullinger,,89-83,,
8:06.0,Turnover by A. Bradley (bad pass),,89-83,,
8:06.0,Official timeout,,89-83,,
8:06.0,,,89-83,,H. Whiteside enters the game for J. McRoberts
7:50.0,,,89-83,,Turnover by C. Bosh (lost ball; steal by A. Bradley)
7:42.0,A. Johnson makes 2-pt shot from 5 ft (assist by E. Turner),2,91-83,,
7:24.0,,,91-83,,C. Bosh misses 2-pt shot from 5 ft (block by A. Johnson)
7:23.0,Defensive rebound by E. Turner,,91-83,,
7:03.0,J. Sullinger misses 2-pt shot from 12 ft,,91-83,,
7:02.0,,,91-83,,Defensive rebound by C. Bosh
6:55.0,Personal foul by E. Turner (drawn by T. Johnson),,91-83,,
6:55.0,,,91-83,,D. Wade enters the game for C. Bosh
6:55.0,I. Thomas enters the game for A. Bradley,,91-83,,
6:44.0,,,91-83,,D. Wade misses 2-pt shot from 20 ft
6:43.0,Defensive rebound by J. Crowder,,91-83,,
6:25.0,A. Johnson misses 2-pt shot from 7 ft,,91-83,,
6:24.0,Offensive rebound by A. Johnson,,91-83,,
6:07.0,J. Sullinger makes 3-pt shot from 24 ft (assist by I. Thomas),3,94-83,,
6:06.0,,,94-83,,Miami full timeout
6:06.0,,,94-83,,G. Dragic enters the game for H. Whiteside
6:06.0,,,94-83,,C. Bosh enters the game for T. Johnson
5:54.0,,,94-85,2,D. Wade makes 2-pt shot from 1 ft
5:34.0,J. Crowder misses 3-pt shot from 24 ft,,94-85,,
5:33.0,,,94-85,,Defensive rebound by G. Dragic
5:26.0,,,94-87,2,D. Wade makes 2-pt shot from 6 ft
5:09.0,J. Sullinger misses 2-pt shot from 7 ft,,94-87,,
5:08.0,,,94-87,,Defensive rebound by G. Green
5:00.0,,,94-89,2,D. Wade makes 2-pt shot from 6 ft
4:50.0,I. Thomas misses 2-pt shot from 2 ft,,94-89,,
4:49.0,Offensive rebound by Team,,94-89,,
4:49.0,,,94-89,,Loose ball foul by D. Wade (drawn by J. Sullinger)
4:49.0,A. Bradley enters the game for E. Turner,,94-89,,
4:40.0,J. Sullinger makes 2-pt shot from 1 ft (assist by A. Bradley),2,96-89,,
4:20.0,Personal foul by A. Johnson (drawn by C. Bosh),,96-89,,
4:10.0,,,96-89,,Turnover by D. Wade (lost ball; steal by A. Bradley)
4:10.0,,,96-89,,Personal foul by C. Bosh (drawn by A. Bradley)
3:50.0,I. Thomas misses 3-pt shot from 25 ft,,96-89,,
3:49.0,,,96-89,,Defensive rebound by C. Bosh
3:38.0,,,96-89,,Turnover by D. Wade (bad pass; steal by I. Thomas)
3:31.0,J. Crowder misses 2-pt shot from 14 ft,,96-89,,
3:30.0,,,96-89,,Defensive rebound by J. Winslow
3:24.0,,,96-91,2,D. Wade makes 2-pt shot from 2 ft (assist by G. Dragic)
3:24.0,Boston full timeout,,96-91,,
3:04.0,Turnover by A. Bradley (lost ball),,96-91,,
2:55.0,,,96-91,,G. Green misses 3-pt shot from 23 ft
2:54.0,Defensive rebound by J. Sullinger,,96-91,,
2:40.0,Turnover by A. Johnson (bad pass; steal by D. Wade),,96-91,,
2:30.0,,,96-91,,D. Wade misses 3-pt shot from 24 ft
2:29.0,Defensive rebound by A. Johnson,,96-91,,
2:14.0,I. Thomas misses 2-pt shot from 1 ft,,96-91,,
2:13.0,,,96-91,,Defensive rebound by C. Bosh
2:07.0,,,96-91,,G. Green misses 3-pt shot from 24 ft
2:06.0,,,96-91,,Offensive rebound by J. Winslow
2:05.0,,,96-91,,J. Winslow misses 2-pt shot at rim
2:04.0,,,96-91,,Offensive rebound by D. Wade
2:02.0,,,96-93,2,C. Bosh makes 2-pt shot at rim (assist by D. Wade)
1:52.0,Boston full timeout,,96-93,,
1:52.0,E. Turner enters the game for A. Johnson,,96-93,,
1:47.0,Shooting foul by G. Green (drawn by J. Crowder),,96-93,,
1:47.0,J. Crowder makes free throw 1 of 2,1,97-93,,
1:47.0,J. Jerebko enters the game for I. Thomas,,97-93,,
