time,Golden State,pts.away,score,pts.home,San Antonio
10:02.0,Turnover by S. Curry (lost ball; steal by K. Leonard),,16-25,,
9:40.0,,,16-25,,K. Leonard misses 2-pt shot from 19 ft
9:39.0,Defensive rebound by S. Curry,,16-25,,
9:26.0,S. Livingston makes 2-pt shot at rim (assist by S. Curry),2,18-25,,
9:26.0,,,18-25,,San Antonio full timeout
9:26.0,,,18-25,,T. Parker enters the game for P. Mills
9:26.0,M. Speights enters the game for A. Iguodala,,18-25,,
9:09.0,,,18-25,,Turnover by K. Martin (lost ball)
8:56.0,S. Curry misses 3-pt shot from 25 ft,,18-25,,
8:55.0,,,18-25,,Defensive rebound by K. Martin
8:44.0,,,18-25,,K. Anderson misses 2-pt shot from 1 ft (block by S. Livingston)
8:42.0,Defensive rebound by B. Rush,,18-25,,
8:32.0,,,18-25,,Personal foul by K. Anderson
8:17.0,Turnover by S. Curry (lost ball; steal by T. Parker),,18-25,,
8:03.0,,,18-25,,K. Martin misses 3-pt shot from 25 ft
8:02.0,,,18-25,,Offensive rebound by K. Leonard
8:01.0,Personal foul by S. Livingston,,18-25,,
8:01.0,,,18-25,,D. Green enters the game for K. Anderson
8:01.0,K. Thompson enters the game for S. Livingston,,18-25,,
7:50.0,,,18-25,,K. Leonard misses 2-pt shot from 1 ft
7:49.0,Defensive rebound by M. Speights,,18-25,,
7:34.0,M. Speights makes 2-pt shot from 4 ft (assist by D. Green),2,20-25,,
7:10.0,,,20-25,,K. Martin misses 2-pt shot from 18 ft
7:09.0,Defensive rebound by M. Speights,,20-25,,
6:58.0,S. Curry misses 2-pt shot from 14 ft,,20-25,,
6:56.0,,,20-25,,Defensive rebound by D. Green
6:45.0,,,20-25,,D. West misses 2-pt shot from 1 ft
6:44.0,,,20-25,,Offensive rebound by D. West
6:44.0,,,20-25,,D. West misses 2-pt shot from 1 ft
6:43.0,,,20-25,,Offensive rebound by K. Leonard
6:43.0,,,20-25,,Shooting foul by D. Green (drawn by K. Leonard)
6:43.0,Technical foul by D. Green,,20-25,,
6:43.0,,,20-26,1,K. Leonard makes technical free throw
6:43.0,,,20-27,1,K. Leonard makes free throw 1 of 2
6:43.0,A. Bogut enters the game for M. Speights,,20-27,,
6:43.0,,,20-27,,L. Aldridge enters the game for D. West
6:43.0,H. Barnes enters the game for D. Green,,20-27,,
6:43.0,,,20-27,,K. Leonard misses free throw 2 of 2
6:42.0,Defensive rebound by B. Rush,,20-27,,
6:24.0,B. Rush misses 2-pt shot from 1 ft (block by K. Leonard),,20-27,,
6:23.0,,,20-27,,Defensive rebound by L. Aldridge
6:07.0,,,20-27,,T. Parker misses 2-pt shot from 14 ft
6:06.0,Defensive rebound by B. Rush,,20-27,,
5:58.0,B. Rush makes 3-pt shot from 25 ft (assist by S. Curry),3,23-27,,
5:33.0,,,23-29,2,T. Parker makes 2-pt shot from 1 ft
5:23.0,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry),3,26-29,,
5:05.0,,,26-29,,D. Green misses 3-pt shot from 25 ft
5:03.0,Defensive rebound by K. Thompson,,26-29,,
4:54.0,K. Thompson misses 2-pt shot from 10 ft,,26-29,,
4:53.0,,,26-29,,Defensive rebound by T. Parker
4:49.0,Personal foul by A. Bogut,,26-29,,
4:49.0,Official timeout,,26-29,,
4:49.0,,,26-29,,M. Ginobili enters the game for K. Martin
4:49.0,,,26-29,,P. Mills enters the game for D. Green
4:49.0,S. Livingston enters the game for S. Curry,,26-29,,
4:49.0,A. Iguodala enters the game for B. Rush,,26-29,,
4:40.0,,,26-31,2,K. Leonard makes 2-pt shot from 16 ft
4:20.0,H. Barnes makes 2-pt shot from 5 ft,2,28-31,,
4:01.0,,,28-31,,M. Ginobili misses 2-pt shot from 1 ft
4:00.0,Defensive rebound by H. Barnes,,28-31,,
3:59.0,Turnover by H. Barnes (lost ball; steal by M. Ginobili),,28-31,,
3:55.0,,,28-31,,P. Mills misses 3-pt shot from 24 ft
3:54.0,Defensive rebound by A. Iguodala,,28-31,,
3:45.0,H. Barnes misses 3-pt shot from 25 ft,,28-31,,
3:44.0,,,28-31,,Defensive rebound by K. Leonard
3:26.0,,,28-31,,P. Mills misses 2-pt shot from 18 ft
3:25.0,Defensive rebound by S. Livingston,,28-31,,
3:03.0,K. Thompson makes 2-pt shot from 13 ft,2,30-31,,
2:44.0,,,30-31,,K. Leonard misses 2-pt shot from 17 ft
2:42.0,Defensive rebound by K. Thompson,,30-31,,
2:36.0,S. Livingston misses 2-pt shot from 9 ft,,30-31,,
2:35.0,,,30-31,,Defensive rebound by L. Aldridge
2:28.0,Personal foul by K. Thompson,,30-31,,
2:28.0,Golden State full timeout,,30-31,,
2:28.0,,,30-31,,D. Green enters the game for P. Mills
2:28.0,S. Curry enters the game for S. Livingston,,30-31,,
2:28.0,D. Green enters the game for A. Bogut,,30-31,,
2:28.0,,,30-32,1,M. Ginobili makes free throw 1 of 2
2:28.0,,,30-33,1,M. Ginobili makes free throw 2 of 2
2:15.0,H. Barnes misses 2-pt shot from 4 ft (block by L. Aldridge),,30-33,,
2:14.0,,,30-33,,Defensive rebound by Team
1:50.0,,,30-33,,K. Leonard misses 2-pt shot from 9 ft
1:48.0,Defensive rebound by K. Thompson,,30-33,,
1:37.0,D. Green makes 3-pt shot from 24 ft (assist by A. Iguodala),3,33-33,,
1:19.0,,,33-33,,T. Parker misses 2-pt shot from 19 ft
1:18.0,,,33-33,,Offensive rebound by Team
1:18.0,,,33-33,,Turnover by D. Green (lost ball; steal by K. Thompson)
1:12.0,S. Curry makes 2-pt shot from 9 ft,2,35-33,,
0:49.0,,,35-33,,K. Leonard misses 2-pt shot from 5 ft
0:47.0,,,35-33,,Offensive rebound by L. Aldridge
0:44.0,,,35-33,,M. Ginobili misses 3-pt shot from 25 ft
0:43.0,,,35-33,,Offensive rebound by D. Green
0:37.0,,,35-33,,M. Ginobili misses 2-pt shot from 1 ft
0:37.0,,,35-33,,Offensive rebound by L. Aldridge
0:37.0,,,35-35,2,L. Aldridge makes 2-pt shot at rim
0:26.0,,,35-35,,Personal foul by T. Parker
0:26.0,Golden State full timeout,,35-35,,
0:26.0,B. Rush enters the game for A. Iguodala,,35-35,,
0:17.0,K. Thompson misses 3-pt shot from 25 ft,,35-35,,
0:16.0,,,35-35,,Defensive rebound by Team
0:16.0,S. Livingston enters the game for S. Curry,,35-35,,
0:16.0,A. Bogut enters the game for D. Green,,35-35,,
0:16.0,,,35-35,,P. Mills enters the game for T. Parker
0:16.0,I. Clark enters the game for K. Thompson,,35-35,,
0:00.0,,,35-35,,K. Leonard misses 2-pt shot from 19 ft
0:00.0,Defensive rebound by B. Rush,,35-35,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,35-37,2,L. Aldridge makes 2-pt shot from 14 ft (assist by T. Parker)
11:35.0,,,35-37,,Personal foul by D. West
11:28.0,Turnover by S. Curry (lost ball; steal by D. West),,35-37,,
11:10.0,,,35-39,2,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Green)
10:56.0,Turnover by K. Thompson (lost ball; steal by K. Leonard),,35-39,,
10:50.0,,,35-39,,K. Leonard misses 3-pt shot from 24 ft
10:48.0,Defensive rebound by Team,,35-39,,
10:30.0,K. Thompson misses 2-pt shot from 8 ft,,35-39,,
10:29.0,Offensive rebound by K. Thompson,,35-39,,
10:26.0,D. Green misses 3-pt shot from 24 ft,,35-39,,
10:24.0,,,35-39,,Defensive rebound by T. Parker
10:17.0,,,35-41,2,T. Parker makes 2-pt shot from 16 ft
10:17.0,Golden State full timeout,,35-41,,
10:08.0,Turnover by K. Thompson (lost ball; steal by D. Green),,35-41,,
10:03.0,,,35-43,2,D. Green makes 2-pt shot from 1 ft
9:43.0,K. Thompson misses 3-pt shot from 24 ft,,35-43,,
9:42.0,Offensive rebound by D. Green,,35-43,,
9:42.0,D. Green makes 2-pt shot at rim,2,37-43,,
9:14.0,,,37-43,,D. Green misses 3-pt shot from 23 ft
9:13.0,Defensive rebound by K. Thompson,,37-43,,
9:03.0,S. Curry misses 3-pt shot from 25 ft,,37-43,,
9:02.0,,,37-43,,Defensive rebound by D. West
8:53.0,,,37-45,2,K. Leonard makes 2-pt shot at rim (assist by D. West)
8:36.0,,,37-45,,Personal foul by K. Leonard
8:31.0,S. Curry makes 3-pt shot from 25 ft (assist by H. Barnes),3,40-45,,
8:04.0,,,40-45,,K. Leonard misses 2-pt shot from 6 ft
8:03.0,Defensive rebound by S. Curry,,40-45,,
7:59.0,S. Curry makes 3-pt shot from 24 ft,3,43-45,,
7:59.0,,,43-45,,San Antonio full timeout
7:41.0,,,43-45,,L. Aldridge misses 2-pt shot from 6 ft
7:39.0,,,43-45,,Offensive rebound by D. West
7:37.0,,,43-45,,D. West misses 2-pt shot from 1 ft (block by D. Green)
7:35.0,Defensive rebound by K. Thompson,,43-45,,
7:30.0,K. Thompson makes 2-pt shot at rim,2,45-45,,
7:21.0,,,45-45,,Turnover by T. Parker (lost ball; steal by K. Thompson)
7:09.0,S. Curry misses 3-pt shot from 23 ft,,45-45,,
7:08.0,Offensive rebound by A. Bogut,,45-45,,
7:02.0,A. Bogut makes 2-pt shot from 9 ft,2,47-45,,
6:41.0,,,47-45,,D. Green misses 3-pt shot from 24 ft
6:40.0,Defensive rebound by A. Bogut,,47-45,,
6:38.0,,,47-45,,Personal foul by T. Parker
6:28.0,A. Bogut makes 2-pt shot from 1 ft (assist by D. Green),2,49-45,,
6:05.0,,,49-45,,Shooting foul by D. Green (drawn by L. Aldridge)
6:05.0,,,49-46,1,L. Aldridge makes free throw 1 of 2
6:05.0,,,49-47,1,L. Aldridge makes free throw 2 of 2
5:53.0,S. Curry makes 2-pt shot from 8 ft,2,51-47,,
5:36.0,,,51-49,2,D. West makes 2-pt shot from 10 ft (assist by K. Leonard)
5:36.0,,,51-49,,Shooting foul by H. Barnes (drawn by D. West)
5:36.0,A. Iguodala enters the game for H. Barnes,,51-49,,
5:36.0,,,51-49,,P. Mills enters the game for T. Parker
5:36.0,,,51-49,,M. Ginobili enters the game for D. Green
5:36.0,,,51-49,,D. West misses free throw 1 of 1
5:35.0,Defensive rebound by A. Iguodala,,51-49,,
5:14.0,A. Iguodala misses 3-pt shot from 25 ft,,51-49,,
5:13.0,,,51-49,,Defensive rebound by D. West
5:00.0,,,51-51,2,L. Aldridge makes 2-pt shot from 13 ft
4:44.0,S. Curry misses 2-pt shot from 15 ft,,51-51,,
4:43.0,,,51-51,,Defensive rebound by L. Aldridge
4:25.0,,,51-53,2,L. Aldridge makes 2-pt shot from 13 ft (assist by M. Ginobili)
4:16.0,,,51-53,,Personal foul by M. Ginobili
4:16.0,,,51-53,,K. Anderson enters the game for D. West
4:16.0,S. Livingston enters the game for K. Thompson,,51-53,,
4:16.0,H. Barnes enters the game for A. Bogut,,51-53,,
4:08.0,A. Iguodala makes 3-pt shot from 24 ft (assist by H. Barnes),3,54-53,,
3:52.0,,,54-53,,L. Aldridge misses 2-pt shot from 10 ft
3:51.0,Defensive rebound by S. Curry,,54-53,,
3:39.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Green),3,57-53,,
3:18.0,,,57-53,,Shooting foul by A. Iguodala (drawn by P. Mills)
3:18.0,,,57-54,1,P. Mills makes free throw 1 of 2
