time,Houston,pts.away,score,pts.home,Memphis
5:55.0,,,37-37,,Offensive rebound by Team
5:55.0,,,37-37,,M. Gasol enters the game for J. Green
5:55.0,Personal foul by J. Harden (drawn by J. Green),,37-37,,
5:44.0,,,37-37,,V. Carter misses 2-pt shot from 7 ft (block by C. Capela)
5:42.0,,,37-37,,Offensive rebound by V. Carter
5:42.0,,,37-37,,V. Carter misses 2-pt shot at rim
5:40.0,Defensive rebound by D. Howard,,37-37,,
5:23.0,D. Howard makes 2-pt shot from 1 ft,2,39-37,,
4:56.0,,,39-37,,T. Allen misses 3-pt shot from 24 ft
4:55.0,Defensive rebound by C. Capela,,39-37,,
4:45.0,J. Harden misses 3-pt shot from 25 ft,,39-37,,
4:45.0,,,39-37,,Defensive rebound by Team
4:39.0,,,39-37,,Turnover by J. Green (lost ball; steal by T. Ariza)
4:35.0,Shooting foul by J. Green (drawn by J. Harden),,39-37,,
4:35.0,J. Harden makes free throw 1 of 2,1,40-37,,
4:35.0,,,40-37,,M. Chalmers enters the game for V. Carter
4:35.0,J. Harden makes free throw 2 of 2,1,41-37,,
4:09.0,,,41-37,,Turnover by Team (shot clock)
3:50.0,T. Ariza misses 3-pt shot from 23 ft,,41-37,,
3:50.0,,,41-37,,Defensive rebound by Team
3:25.0,,,41-37,,T. Allen misses 2-pt shot from 2 ft (block by D. Howard)
3:24.0,Defensive rebound by P. Beverley,,41-37,,
3:19.0,T. Ariza makes 2-pt shot from 1 ft (assist by P. Beverley),2,43-37,,
3:00.0,,,43-37,,Turnover by M. Chalmers (lost ball; steal by P. Beverley)
2:53.0,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden),3,46-37,,
2:39.0,,,46-37,,Memphis full timeout
2:39.0,Houston full timeout,,46-37,,
2:39.0,T. Jones enters the game for C. Capela,,46-37,,
2:39.0,,,46-37,,C. Lee enters the game for J. Green
2:24.0,,,46-37,,M. Chalmers misses 3-pt shot from 25 ft
2:23.0,,,46-37,,Offensive rebound by Z. Randolph
2:23.0,,,46-37,,Offensive foul by Z. Randolph
2:23.0,,,46-37,,Turnover by Z. Randolph (offensive foul)
2:19.0,,,46-37,,Technical foul by Team
2:19.0,J. Harden misses technical free throw,,46-37,,
2:19.0,Offensive rebound by Team,,46-37,,
2:07.0,J. Harden misses 3-pt shot from 24 ft,,46-37,,
2:07.0,,,46-37,,Defensive rebound by Z. Randolph
1:48.0,,,46-37,,Z. Randolph misses 2-pt shot from 1 ft
1:48.0,,,46-37,,Offensive rebound by T. Allen
1:48.0,,,46-37,,Shooting foul by D. Howard (drawn by T. Allen)
1:48.0,,,46-37,,T. Allen misses free throw 1 of 2
1:48.0,,,46-37,,Offensive rebound by Team
1:48.0,,,46-38,1,T. Allen makes free throw 2 of 2
1:32.0,T. Jones misses 3-pt shot from 23 ft,,46-38,,
1:32.0,Offensive rebound by P. Beverley,,46-38,,
1:24.0,J. Harden makes 3-pt shot from 26 ft,3,49-38,,
1:09.0,,,49-38,,M. Gasol misses 2-pt shot from 16 ft
1:08.0,Defensive rebound by D. Howard,,49-38,,
1:01.0,J. Harden misses 3-pt shot from 24 ft,,49-38,,
0:59.0,Offensive rebound by T. Jones,,49-38,,
0:59.0,Shooting foul by T. Allen (drawn by T. Jones),,49-38,,
0:59.0,T. Jones makes free throw 1 of 2,1,50-38,,
0:59.0,T. Jones makes free throw 2 of 2,1,51-38,,
0:46.0,,,51-40,2,M. Chalmers makes 2-pt shot from 5 ft
0:36.0,Turnover by J. Harden (bad pass; steal by M. Chalmers),,51-40,,
0:35.0,Personal take foul by T. Jones (drawn by M. Chalmers),,51-40,,
0:35.0,,,51-40,,M. Chalmers misses free throw 1 of 2
0:35.0,,,51-40,,Offensive rebound by Team
0:35.0,,,51-41,1,M. Chalmers makes free throw 2 of 2
0:26.0,P. Beverley misses 2-pt shot from 1 ft,,51-41,,
0:25.0,,,51-41,,Defensive rebound by M. Gasol
0:20.0,,,51-41,,M. Chalmers misses 2-pt shot at rim
0:16.0,,,51-41,,Offensive rebound by Z. Randolph
0:15.0,,,51-41,,Z. Randolph misses 2-pt shot at rim
0:14.0,Defensive rebound by J. Harden,,51-41,,
0:03.0,Turnover by J. Harden (bad pass; steal by T. Allen),,51-41,,
0:01.0,,,51-44,3,C. Lee makes 3-pt shot from 27 ft (assist by T. Allen)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,51-47,3,M. Chalmers makes 3-pt shot from 24 ft (assist by M. Gasol)
11:19.0,J. Harden misses 3-pt shot from 25 ft,,51-47,,
11:19.0,,,51-47,,Defensive rebound by Z. Randolph
10:57.0,,,51-47,,C. Lee misses 2-pt shot from 20 ft
10:55.0,Defensive rebound by C. Capela,,51-47,,
10:36.0,C. Capela misses 2-pt shot at rim,,51-47,,
10:35.0,,,51-47,,Defensive rebound by M. Gasol
10:25.0,,,51-47,,Shooting foul by D. Howard (drawn by M. Chalmers)
10:25.0,,,51-48,1,M. Chalmers makes free throw 1 of 2
10:25.0,,,51-49,1,M. Chalmers makes free throw 2 of 2
10:09.0,D. Howard makes 2-pt shot from 4 ft (assist by T. Ariza),2,53-49,,
9:44.0,,,53-49,,Z. Randolph misses 3-pt shot from 26 ft
9:44.0,,,53-49,,Offensive rebound by Team
9:44.0,,,53-49,,Turnover by Team (shot clock)
9:23.0,Turnover by J. Harden (lost ball; steal by T. Allen),,53-49,,
9:17.0,,,53-49,,C. Lee misses 2-pt shot from 19 ft
9:15.0,,,53-49,,Offensive rebound by Z. Randolph
9:14.0,,,53-51,2,Z. Randolph makes 2-pt shot at rim
9:14.0,Houston full timeout,,53-51,,
8:52.0,P. Beverley misses 2-pt shot from 8 ft,,53-51,,
8:51.0,Offensive rebound by D. Howard,,53-51,,
8:43.0,T. Jones enters the game for C. Capela,,53-51,,
8:35.0,T. Ariza misses 2-pt shot from 1 ft,,53-51,,
8:32.0,,,53-51,,Defensive rebound by T. Allen
8:30.0,,,53-53,2,C. Lee makes 2-pt shot at rim (assist by T. Allen)
8:02.0,T. Jones misses 3-pt shot from 25 ft,,53-53,,
8:02.0,,,53-53,,Defensive rebound by T. Allen
7:43.0,,,53-56,3,T. Allen makes 3-pt shot from 24 ft (assist by M. Chalmers)
7:26.0,J. Harden misses 2-pt shot from 4 ft,,53-56,,
7:24.0,,,53-56,,Defensive rebound by Z. Randolph
7:19.0,Personal foul by P. Beverley (drawn by M. Chalmers),,53-56,,
7:19.0,Technical foul by P. Beverley (drawn by M. Chalmers),,53-56,,
7:19.0,,,53-57,1,C. Lee makes technical free throw
7:10.0,Personal foul by D. Howard (drawn by M. Gasol),,53-57,,
6:56.0,,,53-57,,Turnover by M. Gasol (lost ball; steal by D. Howard)
6:32.0,T. Ariza misses 3-pt shot from 25 ft,,53-57,,
6:31.0,Offensive rebound by Team,,53-57,,
6:31.0,,,53-57,,Loose ball foul by M. Gasol (drawn by D. Howard)
6:23.0,,,53-57,,Personal foul by T. Allen (drawn by T. Jones)
6:06.0,J. Harden makes 3-pt shot from 26 ft (assist by T. Ariza),3,56-57,,
5:38.0,,,56-59,2,Z. Randolph makes 2-pt shot from 4 ft
5:30.0,,,56-59,,Personal foul by Z. Randolph (drawn by T. Jones)
5:15.0,J. Harden makes 2-pt shot from 19 ft,2,58-59,,
4:51.0,,,58-61,2,M. Chalmers makes 2-pt shot from 11 ft (assist by M. Gasol)
4:32.0,J. Harden misses 2-pt shot from 11 ft,,58-61,,
4:29.0,Offensive rebound by T. Jones,,58-61,,
4:25.0,P. Beverley makes 3-pt shot from 26 ft (assist by T. Jones),3,61-61,,
4:07.0,,,61-61,,Shooting foul by J. Harden (drawn by T. Allen)
4:07.0,,,61-62,1,T. Allen makes free throw 1 of 2
4:07.0,J. Terry enters the game for T. Ariza,,61-62,,
4:07.0,C. Brewer enters the game for P. Beverley,,61-62,,
4:07.0,,,61-63,1,T. Allen makes free throw 2 of 2
3:50.0,Shooting foul by T. Allen (drawn by J. Harden),,61-63,,
3:50.0,J. Harden makes free throw 1 of 2,1,62-63,,
3:50.0,J. Harden makes free throw 2 of 2,1,63-63,,
3:34.0,,,63-65,2,Z. Randolph makes 2-pt shot from 1 ft (assist by C. Lee)
3:14.0,Offensive foul by J. Harden,,63-65,,
3:14.0,Turnover by J. Harden (offensive foul),,63-65,,
3:14.0,M. Thornton enters the game for J. Harden,,63-65,,
3:14.0,,,63-65,,V. Carter enters the game for T. Allen
2:54.0,,,63-65,,M. Gasol misses 2-pt shot from 19 ft
2:54.0,Defensive rebound by M. Thornton,,63-65,,
2:38.0,M. Thornton misses 2-pt shot from 18 ft,,63-65,,
2:38.0,Offensive rebound by D. Howard,,63-65,,
2:34.0,J. Terry makes 3-pt shot from 25 ft (assist by D. Howard),3,66-65,,
2:14.0,,,66-65,,M. Gasol misses 2-pt shot from 10 ft
2:14.0,,,66-65,,Offensive rebound by Z. Randolph
2:03.0,,,66-67,2,M. Gasol makes 2-pt shot from 7 ft (assist by M. Chalmers)
1:42.0,M. Thornton misses 2-pt shot from 15 ft,,66-67,,
1:42.0,,,66-67,,Defensive rebound by C. Lee
1:35.0,,,66-67,,Turnover by C. Lee (bad pass; steal by T. Jones)
1:30.0,T. Jones makes 2-pt shot from 1 ft (assist by J. Terry),2,68-67,,
1:30.0,,,68-67,,Memphis full timeout
1:30.0,C. Capela enters the game for T. Jones,,68-67,,
1:30.0,,,68-67,,J. Green enters the game for Z. Randolph
1:12.0,,,68-67,,M. Gasol misses 2-pt shot from 19 ft
1:12.0,Defensive rebound by C. Capela,,68-67,,
1:04.0,,,68-67,,Personal foul by M. Gasol (drawn by D. Howard)
1:04.0,D. Howard makes free throw 1 of 2,1,69-67,,
1:04.0,Turnover by C. Brewer (lane violation.),,69-67,,
0:49.0,,,69-69,2,V. Carter makes 2-pt shot from 20 ft (assist by M. Chalmers)
0:30.0,J. Terry misses 2-pt shot from 20 ft,,69-69,,
0:29.0,Offensive rebound by C. Capela,,69-69,,
0:17.0,C. Brewer makes 3-pt shot from 23 ft (assist by J. Terry),3,72-69,,
0:03.0,,,72-69,,C. Lee misses 3-pt shot from 24 ft
0:02.0,Defensive rebound by D. Howard,,72-69,,
0:00.0,J. Terry misses 3-pt shot from 60 ft,,72-69,,
0:00.0,Offensive rebound by Team,,72-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,M. Thornton makes 3-pt shot from 26 ft (assist by J. Terry),3,75-69,,
11:27.0,,,75-69,,Shooting foul by M. Thornton (drawn by M. Gasol)
11:27.0,,,75-70,1,M. Gasol makes free throw 1 of 2
11:27.0,,,75-71,1,M. Gasol makes free throw 2 of 2
11:08.0,C. Capela misses 2-pt shot from 3 ft (block by M. Gasol),,75-71,,
11:07.0,Offensive rebound by T. Jones,,75-71,,
11:07.0,Shooting foul by V. Carter (drawn by T. Jones),,75-71,,
11:07.0,T. Jones makes free throw 1 of 2,1,76-71,,
11:07.0,T. Jones makes free throw 2 of 2,1,77-71,,
10:47.0,,,77-71,,M. Gasol misses 2-pt shot from 9 ft
10:45.0,Defensive rebound by C. Brewer,,77-71,,
10:41.0,C. Brewer misses 2-pt shot from 2 ft (block by M. Gasol),,77-71,,
10:39.0,,,77-71,,Defensive rebound by M. Gasol
10:28.0,,,77-74,3,C. Lee makes 3-pt shot from 23 ft (assist by M. Chalmers)
10:14.0,Turnover by J. Terry (bad pass; steal by M. Chalmers),,77-74,,
10:10.0,,,77-76,2,V. Carter makes 2-pt shot at rim (assist by M. Chalmers)
10:10.0,Houston full timeout,,77-76,,
10:10.0,,,77-76,,E. Williams enters the game for M. Chalmers
9:46.0,M. Thornton misses 2-pt shot at rim,,77-76,,
9:44.0,Offensive rebound by M. Thornton,,77-76,,
9:38.0,C. Brewer makes 3-pt shot from 23 ft (assist by M. Thornton),3,80-76,,
9:20.0,Personal foul by T. Jones (drawn by E. Williams),,80-76,,
9:10.0,,,80-78,2,M. Gasol makes 2-pt shot from 1 ft
9:10.0,,,80-78,,Shooting foul by C. Capela (drawn by M. Gasol)
9:10.0,D. Howard enters the game for C. Capela,,80-78,,
9:10.0,,,80-79,1,M. Gasol makes free throw 1 of 1
8:50.0,Turnover by T. Jones (lost ball; steal by J. Green),,80-79,,
8:45.0,Personal foul by J. Terry (drawn by E. Williams),,80-79,,
8:45.0,Technical foul by Team,,80-79,,
8:45.0,,,80-79,,C. Lee misses technical free throw
8:45.0,,,80-79,,Offensive rebound by Team
8:35.0,,,80-79,,E. Williams misses 2-pt shot from 20 ft
8:34.0,Defensive rebound by D. Howard,,80-79,,
8:27.0,J. Terry misses 3-pt shot from 26 ft,,80-79,,
8:25.0,Offensive rebound by C. Brewer,,80-79,,
8:25.0,C. Brewer misses 2-pt shot at rim,,80-79,,
8:23.0,,,80-79,,Defensive rebound by V. Carter
8:17.0,Personal foul by D. Howard (drawn by M. Gasol),,80-79,,
8:17.0,,,80-80,1,M. Gasol makes free throw 1 of 2
8:17.0,Technical foul by D. Howard (drawn by M. Gasol),,80-80,,
8:17.0,,,80-80,,C. Lee misses technical free throw
8:17.0,,,80-80,,Offensive rebound by Team
8:17.0,J. Harden enters the game for M. Thornton,,80-80,,
8:17.0,,,80-80,,M. Gasol misses free throw 2 of 2
8:17.0,Defensive rebound by D. Howard,,80-80,,
7:58.0,T. Jones makes 3-pt shot from 25 ft (assist by J. Harden),3,83-80,,
7:35.0,,,83-80,,Shooting foul by C. Brewer (drawn by V. Carter)
7:35.0,,,83-82,2,V. Carter makes 2-pt shot from 2 ft
7:35.0,,,83-82,,T. Allen enters the game for C. Lee
7:35.0,,,83-83,1,V. Carter makes free throw 1 of 1
7:13.0,T. Jones makes 3-pt shot from 22 ft (assist by J. Terry),3,86-83,,
6:58.0,,,86-83,,V. Carter misses 2-pt shot from 2 ft (block by T. Jones)
6:55.0,,,86-83,,Offensive rebound by M. Gasol
6:51.0,,,86-83,,E. Williams misses 3-pt shot from 25 ft
6:50.0,Defensive rebound by C. Brewer,,86-83,,
6:42.0,Shooting foul by J. Green (drawn by J. Harden),,86-83,,
6:42.0,J. Harden makes free throw 1 of 2,1,87-83,,
6:42.0,T. Ariza enters the game for J. Terry,,87-83,,
6:42.0,P. Beverley enters the game for C. Brewer,,87-83,,
6:42.0,,,87-83,,Z. Randolph enters the game for J. Green
6:42.0,,,87-83,,M. Chalmers enters the game for E. Williams
6:42.0,J. Harden makes free throw 2 of 2,1,88-83,,
6:42.0,,,88-83,,Memphis full timeout
6:30.0,,,88-83,,M. Gasol misses 2-pt shot from 19 ft
6:29.0,Defensive rebound by J. Harden,,88-83,,
6:14.0,J. Harden makes 2-pt shot from 14 ft,2,90-83,,
5:59.0,,,90-83,,M. Chalmers misses 2-pt shot from 5 ft
5:57.0,,,90-83,,Offensive rebound by T. Allen
5:57.0,,,90-85,2,T. Allen makes 2-pt shot at rim
5:40.0,P. Beverley misses 2-pt shot from 5 ft,,90-85,,
5:38.0,,,90-85,,Defensive rebound by M. Chalmers
5:27.0,,,90-85,,Turnover by V. Carter (bad pass; steal by T. Ariza)
5:15.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,92-85,,
4:51.0,,,92-85,,T. Allen misses 2-pt shot at rim (block by D. Howard)
4:50.0,,,92-85,,Offensive rebound by Team
4:50.0,,,92-85,,C. Lee enters the game for V. Carter
4:50.0,,,92-85,,Turnover by T. Allen (bad pass)
4:31.0,T. Jones makes 2-pt shot from 1 ft,2,94-85,,
4:13.0,,,94-85,,C. Lee misses 2-pt shot from 10 ft
4:11.0,,,94-85,,Offensive rebound by C. Lee
4:06.0,,,94-85,,Turnover by T. Allen (step out of bounds)
3:44.0,P. Beverley misses 3-pt shot from 25 ft,,94-85,,
3:43.0,,,94-85,,Defensive rebound by Z. Randolph
3:37.0,,,94-85,,Turnover by T. Allen (lost ball)
3:23.0,,,94-85,,Personal foul by T. Allen (drawn by J. Harden)
3:07.0,J. Harden makes 3-pt shot from 25 ft,3,97-85,,
3:07.0,,,97-85,,Memphis full timeout
2:54.0,,,97-85,,Turnover by T. Allen (lost ball; steal by J. Harden)
2:53.0,,,97-85,,Personal take foul by M. Chalmers (drawn by D. Howard)
2:50.0,,,97-85,,Personal take foul by M. Chalmers (drawn by D. Howard)
2:50.0,D. Howard makes free throw 1 of 2,1,98-85,,
2:50.0,D. Howard makes free throw 2 of 2,1,99-85,,
2:34.0,,,99-87,2,T. Allen makes 2-pt shot from 19 ft (assist by M. Chalmers)
2:26.0,,,99-87,,Personal take foul by M. Chalmers (drawn by D. Howard)
2:26.0,D. Howard makes free throw 1 of 2,1,100-87,,
2:26.0,D. Howard makes free throw 2 of 2,1,101-87,,
2:05.0,,,101-87,,M. Chalmers misses 3-pt shot from 26 ft
2:03.0,,,101-87,,Offensive rebound by T. Allen
2:03.0,,,101-87,,T. Allen misses 2-pt shot at rim
2:00.0,Defensive rebound by D. Howard,,101-87,,
1:56.0,T. Jones misses 2-pt shot at rim,,101-87,,
1:54.0,,,101-87,,Defensive rebound by M. Chalmers
1:48.0,,,101-89,2,M. Gasol makes 2-pt shot from 5 ft (assist by M. Chalmers)
