time,Detroit,pts.away,score,pts.home,Brooklyn
8:30.0,,,2-7,2,T. Young makes 2-pt shot from 4 ft (assist by J. Johnson)
8:06.0,A. Drummond misses 2-pt shot from 5 ft,,2-7,,
8:05.0,,,2-7,,Defensive rebound by J. Johnson
7:57.0,,,2-7,,T. Young misses 2-pt shot from 7 ft
7:56.0,Defensive rebound by A. Drummond,,2-7,,
7:50.0,R. Jackson misses 2-pt shot from 2 ft (block by T. Young),,2-7,,
7:48.0,Offensive rebound by E. Ilyasova,,2-7,,
7:46.0,E. Ilyasova misses 2-pt shot from 2 ft (block by B. Lopez),,2-7,,
7:44.0,,,2-7,,Defensive rebound by R. Hollis-Jefferson
7:36.0,,,2-7,,B. Lopez misses 2-pt shot from 6 ft
7:35.0,Defensive rebound by R. Jackson,,2-7,,
7:31.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by R. Jackson),2,4-7,,
7:04.0,,,4-7,,Turnover by T. Young (lost ball; steal by M. Morris)
6:54.0,Shooting foul by T. Young (drawn by A. Drummond),,4-7,,
6:54.0,A. Drummond misses free throw 1 of 2,,4-7,,
6:54.0,Offensive rebound by Team,,4-7,,
6:54.0,A. Drummond misses free throw 2 of 2,,4-7,,
6:53.0,Offensive rebound by E. Ilyasova,,4-7,,
6:46.0,E. Ilyasova makes 2-pt shot from 7 ft,2,6-7,,
6:36.0,,,6-7,,J. Jack misses 2-pt shot from 20 ft
6:35.0,Defensive rebound by Team,,6-7,,
6:20.0,K. Caldwell-Pope makes 2-pt shot from 9 ft,2,8-7,,
6:06.0,,,8-7,,Turnover by B. Lopez (bad pass; steal by A. Drummond)
5:41.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,8-7,,
5:40.0,,,8-7,,Defensive rebound by J. Jack
5:32.0,,,8-10,3,J. Jack makes 3-pt shot from 24 ft
5:15.0,M. Morris makes 3-pt shot from 24 ft (assist by R. Jackson),3,11-10,,
5:12.0,,,11-10,,Brooklyn full timeout
5:12.0,,,11-10,,A. Bargnani enters the game for J. Johnson
5:12.0,,,11-10,,B. Bogdanovic enters the game for T. Young
5:01.0,,,11-12,2,B. Lopez makes 2-pt shot from 10 ft (assist by J. Jack)
4:42.0,R. Jackson misses 2-pt shot from 2 ft (block by R. Hollis-Jefferson),,11-12,,
4:41.0,Offensive rebound by Team,,11-12,,
4:37.0,E. Ilyasova makes 2-pt shot from 19 ft (assist by M. Morris),2,13-12,,
4:22.0,,,13-12,,Turnover by J. Jack (bad pass)
4:22.0,A. Tolliver enters the game for M. Morris,,13-12,,
4:22.0,S. Johnson enters the game for E. Ilyasova,,13-12,,
4:03.0,R. Jackson misses 2-pt shot from 21 ft,,13-12,,
4:02.0,,,13-12,,Defensive rebound by B. Bogdanovic
3:54.0,,,13-12,,A. Bargnani misses 2-pt shot from 17 ft
3:53.0,,,13-12,,Offensive rebound by B. Lopez
3:51.0,,,13-12,,B. Lopez misses 2-pt shot from 1 ft
3:50.0,Defensive rebound by A. Tolliver,,13-12,,
3:39.0,S. Johnson misses 2-pt shot from 9 ft,,13-12,,
3:38.0,Offensive rebound by A. Drummond,,13-12,,
3:37.0,A. Drummond misses 2-pt shot at rim,,13-12,,
3:36.0,Offensive rebound by K. Caldwell-Pope,,13-12,,
3:27.0,Shooting foul by A. Bargnani (drawn by K. Caldwell-Pope),,13-12,,
3:27.0,K. Caldwell-Pope misses free throw 1 of 2,,13-12,,
3:27.0,Offensive rebound by Team,,13-12,,
3:27.0,K. Caldwell-Pope misses free throw 2 of 2,,13-12,,
3:25.0,Offensive rebound by K. Caldwell-Pope,,13-12,,
3:23.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,13-12,,
3:22.0,,,13-12,,Defensive rebound by B. Lopez
3:11.0,,,13-12,,Turnover by J. Jack (bad pass; steal by A. Tolliver)
3:03.0,R. Jackson misses 2-pt shot from 1 ft,,13-12,,
3:02.0,Offensive rebound by R. Jackson,,13-12,,
3:01.0,R. Jackson makes 2-pt shot at rim,2,15-12,,
2:55.0,Personal foul by S. Johnson (drawn by B. Lopez),,15-12,,
2:55.0,Detroit full timeout,,15-12,,
2:55.0,S. Blake enters the game for R. Jackson,,15-12,,
2:55.0,,,15-12,,T. Robinson enters the game for B. Lopez
2:44.0,,,15-12,,J. Jack misses 2-pt shot from 17 ft
2:43.0,,,15-12,,Offensive rebound by R. Hollis-Jefferson
2:41.0,,,15-12,,J. Johnson enters the game for A. Bargnani
2:29.0,,,15-12,,B. Bogdanovic misses 2-pt shot from 12 ft
2:28.0,Defensive rebound by A. Drummond,,15-12,,
2:06.0,A. Drummond misses 2-pt shot from 2 ft,,15-12,,
2:04.0,Offensive rebound by A. Drummond,,15-12,,
2:02.0,A. Drummond misses 2-pt shot from 1 ft,,15-12,,
2:01.0,,,15-12,,Defensive rebound by R. Hollis-Jefferson
1:58.0,,,15-14,2,T. Robinson makes 2-pt shot from 1 ft (assist by J. Jack)
1:34.0,S. Johnson misses 2-pt shot from 12 ft,,15-14,,
1:33.0,Offensive rebound by Team,,15-14,,
1:33.0,,,15-14,,Loose ball foul by T. Robinson (drawn by A. Drummond)
1:33.0,A. Drummond misses free throw 1 of 2,,15-14,,
1:33.0,Offensive rebound by Team,,15-14,,
1:33.0,,,15-14,,S. Larkin enters the game for J. Jack
1:33.0,A. Drummond makes free throw 2 of 2,1,16-14,,
1:20.0,,,16-14,,Shooting foul by S. Johnson (drawn by J. Johnson)
1:20.0,,,16-15,1,J. Johnson makes free throw 1 of 2
1:20.0,,,16-16,1,J. Johnson makes free throw 2 of 2
1:10.0,A. Drummond misses 2-pt shot from 1 ft (block by T. Robinson),,16-16,,
1:09.0,Offensive rebound by Team,,16-16,,
1:07.0,Shooting foul by S. Larkin (drawn by K. Caldwell-Pope),,16-16,,
1:07.0,K. Caldwell-Pope makes free throw 1 of 2,1,17-16,,
1:07.0,K. Caldwell-Pope makes free throw 2 of 2,1,18-16,,
0:59.0,,,18-16,,B. Bogdanovic misses 2-pt shot from 15 ft
0:58.0,Defensive rebound by A. Drummond,,18-16,,
0:43.0,K. Caldwell-Pope makes 2-pt shot from 17 ft (assist by S. Blake),2,20-16,,
0:36.0,,,20-18,2,S. Larkin makes 2-pt shot from 7 ft
0:24.0,A. Drummond makes 2-pt shot at rim (assist by S. Blake),2,22-18,,
0:02.0,,,22-18,,T. Robinson misses 2-pt shot from 1 ft
0:01.0,Defensive rebound by S. Johnson,,22-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,22-18,,W. Ellington misses 2-pt shot from 21 ft
11:44.0,,,22-18,,Offensive rebound by T. Robinson
11:31.0,,,22-20,2,J. Johnson makes 2-pt shot from 8 ft
11:16.0,M. Morris misses 2-pt shot from 15 ft,,22-20,,
11:15.0,,,22-20,,Defensive rebound by T. Robinson
11:03.0,,,22-20,,S. Larkin misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by A. Tolliver,,22-20,,
10:48.0,S. Johnson misses 2-pt shot from 1 ft,,22-20,,
10:47.0,,,22-20,,Defensive rebound by T. Robinson
10:41.0,,,22-20,,S. Larkin misses 2-pt shot from 2 ft
10:40.0,Defensive rebound by S. Johnson,,22-20,,
10:24.0,A. Baynes misses 2-pt shot from 2 ft (block by T. Robinson),,22-20,,
10:23.0,Offensive rebound by Team,,22-20,,
10:17.0,A. Tolliver misses 3-pt shot from 25 ft,,22-20,,
10:16.0,Offensive rebound by Team,,22-20,,
10:16.0,Turnover by Team (shot clock),,22-20,,
9:58.0,,,22-20,,Shooting foul by M. Morris (drawn by J. Johnson)
9:58.0,,,22-21,1,J. Johnson makes free throw 1 of 2
9:58.0,,,22-22,1,J. Johnson makes free throw 2 of 2
9:47.0,A. Tolliver misses 3-pt shot from 24 ft,,22-22,,
9:46.0,,,22-22,,Defensive rebound by J. Johnson
9:40.0,,,22-25,3,J. Johnson makes 3-pt shot from 25 ft
9:29.0,Offensive foul by A. Baynes,,22-25,,
9:29.0,Turnover by A. Baynes (offensive foul),,22-25,,
9:18.0,,,22-25,,S. Larkin misses 2-pt shot from 12 ft
9:16.0,Defensive rebound by A. Tolliver,,22-25,,
9:08.0,Turnover by A. Baynes (lost ball),,22-25,,
8:52.0,,,22-25,,Turnover by J. Johnson (lost ball)
8:52.0,Official timeout,,22-25,,
8:52.0,,,22-25,,B. Lopez enters the game for T. Robinson
8:28.0,A. Baynes misses 3-pt shot from 22 ft,,22-25,,
8:27.0,,,22-25,,Defensive rebound by W. Ellington
8:14.0,,,22-25,,Turnover by S. Larkin (bad pass; steal by S. Johnson)
8:11.0,Turnover by S. Johnson (bad pass; steal by S. Larkin),,22-25,,
8:03.0,,,22-25,,S. Larkin misses 2-pt shot from 20 ft
8:02.0,Defensive rebound by A. Tolliver,,22-25,,
7:45.0,S. Johnson misses 3-pt shot from 25 ft,,22-25,,
7:44.0,,,22-25,,Defensive rebound by J. Johnson
7:32.0,,,22-25,,B. Lopez misses 2-pt shot from 14 ft
7:31.0,Defensive rebound by Team,,22-25,,
7:17.0,M. Morris makes 2-pt shot from 11 ft (assist by S. Blake),2,24-25,,
7:00.0,,,24-27,2,J. Johnson makes 2-pt shot from 6 ft
6:45.0,S. Blake makes 2-pt shot from 16 ft,2,26-27,,
6:27.0,,,26-27,,B. Bogdanovic misses 3-pt shot from 25 ft
6:26.0,Defensive rebound by S. Blake,,26-27,,
6:12.0,A. Baynes makes 2-pt shot from 1 ft (assist by S. Blake),2,28-27,,
5:52.0,,,28-27,,W. Ellington misses 2-pt shot from 18 ft
5:50.0,Defensive rebound by A. Baynes,,28-27,,
5:42.0,Turnover by M. Morris (bad pass),,28-27,,
5:42.0,,,28-27,,Brooklyn full timeout
5:42.0,,,28-27,,T. Young enters the game for B. Bogdanovic
5:42.0,,,28-27,,S. Karasev enters the game for W. Ellington
5:42.0,E. Ilyasova enters the game for A. Baynes,,28-27,,
5:42.0,R. Jackson enters the game for S. Blake,,28-27,,
5:42.0,A. Drummond enters the game for A. Tolliver,,28-27,,
5:29.0,,,28-27,,S. Larkin misses 3-pt shot from 22 ft
5:28.0,Defensive rebound by A. Drummond,,28-27,,
5:16.0,R. Jackson misses 2-pt shot from 9 ft,,28-27,,
5:15.0,,,28-27,,Defensive rebound by T. Young
4:56.0,,,28-27,,J. Johnson misses 2-pt shot from 14 ft
4:54.0,Defensive rebound by S. Johnson,,28-27,,
4:49.0,S. Johnson makes 2-pt shot from 8 ft,2,30-27,,
4:26.0,,,30-29,2,T. Young makes 2-pt shot from 5 ft
4:08.0,M. Morris misses 3-pt shot from 24 ft,,30-29,,
4:07.0,,,30-29,,Defensive rebound by T. Young
4:00.0,,,30-29,,Turnover by T. Young (lost ball; steal by R. Jackson)
3:55.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by R. Jackson),2,32-29,,
3:38.0,,,32-31,2,S. Larkin makes 2-pt shot from 1 ft (assist by B. Lopez)
3:21.0,Turnover by R. Jackson (bad pass; steal by B. Lopez),,32-31,,
3:14.0,,,32-31,,J. Johnson misses 3-pt shot from 24 ft
3:13.0,Defensive rebound by E. Ilyasova,,32-31,,
3:02.0,S. Johnson makes 3-pt shot from 23 ft (assist by R. Jackson),3,35-31,,
2:54.0,,,35-31,,Brooklyn full timeout
2:54.0,Detroit full timeout,,35-31,,
2:54.0,K. Caldwell-Pope enters the game for M. Morris,,35-31,,
2:54.0,,,35-31,,J. Jack enters the game for S. Larkin
2:38.0,,,35-31,,Turnover by J. Johnson (bad pass)
2:26.0,E. Ilyasova misses 2-pt shot from 16 ft,,35-31,,
2:25.0,,,35-31,,Defensive rebound by S. Karasev
2:10.0,,,35-31,,Turnover by J. Jack (bad pass)
2:10.0,,,35-31,,R. Hollis-Jefferson enters the game for T. Young
1:59.0,A. Drummond misses 2-pt shot from 1 ft,,35-31,,
1:58.0,,,35-31,,Defensive rebound by B. Lopez
1:49.0,,,35-33,2,J. Jack makes 2-pt shot from 22 ft
1:24.0,R. Jackson makes 2-pt shot from 15 ft,2,37-33,,
1:12.0,,,37-33,,B. Lopez misses 2-pt shot from 9 ft
1:11.0,Defensive rebound by K. Caldwell-Pope,,37-33,,
0:58.0,Turnover by A. Drummond (lost ball; steal by B. Lopez),,37-33,,
0:52.0,,,37-35,2,J. Johnson makes 2-pt shot from 1 ft
0:42.0,R. Jackson makes 2-pt shot from 1 ft,2,39-35,,
0:33.0,,,39-35,,J. Jack misses 2-pt shot from 6 ft
0:32.0,Defensive rebound by A. Drummond,,39-35,,
0:19.0,R. Jackson misses 2-pt shot from 2 ft (block by B. Lopez),,39-35,,
0:17.0,Offensive rebound by A. Drummond,,39-35,,
0:15.0,A. Drummond makes 2-pt shot from 2 ft,2,41-35,,
0:04.0,,,41-35,,B. Lopez misses 2-pt shot from 19 ft
0:03.0,Defensive rebound by E. Ilyasova,,41-35,,
0:00.0,A. Drummond misses 2-pt shot from 1 ft,,41-35,,
0:00.0,Offensive rebound by Team,,41-35,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,41-35,,B. Lopez misses 2-pt shot from 3 ft
11:44.0,Defensive rebound by A. Drummond,,41-35,,
11:29.0,Shooting foul by B. Lopez (drawn by A. Drummond),,41-35,,
11:29.0,A. Drummond misses free throw 1 of 2,,41-35,,
11:29.0,Offensive rebound by Team,,41-35,,
11:29.0,A. Drummond misses free throw 2 of 2,,41-35,,
11:28.0,,,41-35,,Defensive rebound by J. Johnson
11:12.0,,,41-35,,J. Johnson misses 2-pt shot from 16 ft
11:11.0,,,41-35,,Offensive rebound by Team
10:54.0,,,41-35,,Shooting foul by E. Ilyasova (drawn by B. Lopez)
10:54.0,,,41-35,,B. Lopez misses free throw 1 of 2
10:54.0,,,41-35,,Offensive rebound by Team
10:54.0,,,41-36,1,B. Lopez makes free throw 2 of 2
10:44.0,Shooting foul by R. Hollis-Jefferson (drawn by K. Caldwell-Pope),,41-36,,
10:44.0,K. Caldwell-Pope makes free throw 1 of 2,1,42-36,,
10:44.0,K. Caldwell-Pope misses free throw 2 of 2,,42-36,,
10:43.0,,,42-36,,Defensive rebound by B. Lopez
10:25.0,,,42-36,,R. Hollis-Jefferson misses 2-pt shot from 20 ft
10:24.0,Defensive rebound by K. Caldwell-Pope,,42-36,,
10:16.0,E. Ilyasova makes 2-pt shot from 22 ft (assist by K. Caldwell-Pope),2,44-36,,
10:02.0,,,44-36,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
10:01.0,Defensive rebound by K. Caldwell-Pope,,44-36,,
9:49.0,K. Caldwell-Pope misses 2-pt shot from 11 ft (block by B. Lopez),,44-36,,
9:48.0,,,44-36,,Defensive rebound by J. Johnson
9:46.0,,,44-36,,Shooting foul by R. Jackson (drawn by R. Hollis-Jefferson)
9:46.0,,,44-37,1,R. Hollis-Jefferson makes free throw 1 of 2
9:46.0,,,44-38,1,R. Hollis-Jefferson makes free throw 2 of 2
9:36.0,A. Drummond makes 2-pt shot at rim (assist by M. Morris),2,46-38,,
9:36.0,Shooting foul by J. Jack (drawn by A. Drummond),,46-38,,
9:36.0,A. Drummond misses free throw 1 of 1,,46-38,,
9:35.0,,,46-38,,Defensive rebound by T. Young
9:25.0,,,46-40,2,T. Young makes 2-pt shot from 18 ft (assist by J. Jack)
9:09.0,R. Jackson misses 2-pt shot from 2 ft,,46-40,,
9:08.0,Offensive rebound by A. Drummond,,46-40,,
9:07.0,A. Drummond misses 2-pt shot at rim,,46-40,,
9:05.0,Offensive rebound by A. Drummond,,46-40,,
9:04.0,A. Drummond makes 2-pt shot at rim,2,48-40,,
8:52.0,,,48-42,2,T. Young makes 2-pt shot at rim
8:34.0,R. Jackson makes 2-pt shot from 8 ft,2,50-42,,
8:18.0,,,50-42,,J. Jack misses 2-pt shot from 9 ft
8:16.0,Defensive rebound by M. Morris,,50-42,,
8:10.0,A. Drummond misses 2-pt shot from 3 ft,,50-42,,
8:09.0,,,50-42,,Defensive rebound by Team
7:53.0,,,50-42,,R. Hollis-Jefferson misses 2-pt shot from 9 ft
7:52.0,Defensive rebound by R. Jackson,,50-42,,
7:40.0,K. Caldwell-Pope misses 2-pt shot from 21 ft,,50-42,,
7:39.0,,,50-42,,Defensive rebound by B. Lopez
7:29.0,,,50-44,2,B. Lopez makes 2-pt shot from 12 ft (assist by T. Young)
7:07.0,M. Morris misses 2-pt shot from 21 ft,,50-44,,
7:06.0,,,50-44,,Defensive rebound by B. Lopez
6:58.0,,,50-46,2,T. Young makes 2-pt shot from 1 ft (assist by J. Jack)
6:45.0,K. Caldwell-Pope misses 2-pt shot from 1 ft (block by B. Lopez),,50-46,,
6:44.0,Offensive rebound by Team,,50-46,,
6:44.0,,,50-46,,W. Ellington enters the game for J. Johnson
6:43.0,Shooting foul by B. Lopez (drawn by K. Caldwell-Pope),,50-46,,
6:43.0,K. Caldwell-Pope makes free throw 1 of 2,1,51-46,,
6:43.0,K. Caldwell-Pope makes free throw 2 of 2,1,52-46,,
6:22.0,,,52-46,,Turnover by W. Ellington (bad pass; steal by A. Drummond)
6:20.0,Shooting foul by B. Lopez (drawn by A. Drummond),,52-46,,
6:20.0,A. Drummond makes 2-pt shot from 1 ft,2,54-46,,
6:20.0,,,54-46,,T. Robinson enters the game for B. Lopez
6:20.0,,,54-46,,B. Bogdanovic enters the game for R. Hollis-Jefferson
6:20.0,A. Drummond makes free throw 1 of 1,1,55-46,,
6:07.0,,,55-46,,Turnover by T. Robinson (lost ball; steal by A. Drummond)
6:02.0,R. Jackson misses 3-pt shot from 24 ft,,55-46,,
6:01.0,Offensive rebound by A. Drummond,,55-46,,
5:55.0,E. Ilyasova misses 2-pt shot from 22 ft,,55-46,,
5:54.0,Offensive rebound by A. Drummond,,55-46,,
5:52.0,A. Drummond misses 2-pt shot from 1 ft,,55-46,,
5:51.0,,,55-46,,Defensive rebound by T. Robinson
5:38.0,,,55-48,2,T. Young makes 2-pt shot from 5 ft
5:24.0,E. Ilyasova misses 2-pt shot from 20 ft,,55-48,,
5:23.0,Offensive rebound by R. Jackson,,55-48,,
5:19.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by R. Jackson),3,58-48,,
5:18.0,,,58-48,,Brooklyn full timeout
5:18.0,A. Tolliver enters the game for M. Morris,,58-48,,
5:18.0,S. Johnson enters the game for E. Ilyasova,,58-48,,
4:58.0,,,58-48,,J. Jack misses 3-pt shot from 24 ft
4:57.0,Defensive rebound by Team,,58-48,,
4:41.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,58-48,,
4:40.0,Offensive rebound by K. Caldwell-Pope,,58-48,,
4:39.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,58-48,,
4:38.0,,,58-48,,Defensive rebound by T. Robinson
4:25.0,,,58-51,3,W. Ellington makes 3-pt shot from 23 ft (assist by T. Young)
4:09.0,R. Jackson misses 3-pt shot from 24 ft,,58-51,,
4:08.0,,,58-51,,Defensive rebound by T. Young
3:51.0,,,58-53,2,B. Bogdanovic makes 2-pt shot from 6 ft
3:38.0,Turnover by R. Jackson (lost ball; steal by J. Jack),,58-53,,
3:32.0,,,58-55,2,B. Bogdanovic makes 2-pt shot at rim
3:30.0,Detroit full timeout,,58-55,,
3:30.0,S. Blake enters the game for R. Jackson,,58-55,,
3:13.0,A. Tolliver misses 3-pt shot from 23 ft,,58-55,,
3:12.0,Offensive rebound by A. Drummond,,58-55,,
3:10.0,A. Drummond makes 2-pt shot from 1 ft,2,60-55,,
2:48.0,,,60-55,,T. Young misses 2-pt shot from 19 ft
2:47.0,Defensive rebound by K. Caldwell-Pope,,60-55,,
2:34.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,60-55,,
2:33.0,,,60-55,,Defensive rebound by T. Young
2:21.0,,,60-57,2,W. Ellington makes 2-pt shot from 18 ft
1:54.0,S. Blake misses 2-pt shot from 6 ft,,60-57,,
1:53.0,,,60-57,,Defensive rebound by W. Ellington
1:48.0,,,60-57,,Turnover by T. Robinson (lost ball)
1:39.0,Turnover by S. Blake (bad pass),,60-57,,
1:27.0,,,60-57,,T. Young misses 2-pt shot from 8 ft
1:26.0,,,60-57,,Offensive rebound by T. Robinson
1:25.0,,,60-57,,T. Robinson misses 2-pt shot from 1 ft
1:24.0,,,60-57,,Offensive rebound by T. Robinson
1:23.0,,,60-57,,T. Robinson misses 2-pt shot at rim
1:22.0,Defensive rebound by Team,,60-57,,
1:05.0,S. Blake makes 3-pt shot from 25 ft (assist by S. Johnson),3,63-57,,
0:50.0,Personal foul by S. Blake (drawn by J. Jack),,63-57,,
0:44.0,,,63-59,2,J. Jack makes 2-pt shot from 20 ft
0:30.0,S. Blake misses 3-pt shot from 24 ft,,63-59,,
0:29.0,Offensive rebound by A. Drummond,,63-59,,
0:22.0,S. Blake makes 2-pt shot from 22 ft,2,65-59,,
0:06.0,,,65-59,,Turnover by J. Jack (bad pass; steal by K. Caldwell-Pope)
0:05.0,,,65-59,,Personal foul by J. Jack (drawn by K. Caldwell-Pope)
0:05.0,K. Caldwell-Pope makes free throw 1 of 2,1,66-59,,
0:05.0,,,66-59,,S. Larkin enters the game for T. Young
0:05.0,K. Caldwell-Pope makes free throw 2 of 2,1,67-59,,
0:02.0,,,67-59,,Turnover by J. Jack (bad pass)
0:01.0,Turnover by S. Blake (bad pass; steal by T. Robinson),,67-59,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,M. Morris misses 3-pt shot from 23 ft,,67-59,,
11:41.0,,,67-59,,Defensive rebound by W. Ellington
11:25.0,,,67-61,2,W. Ellington makes 2-pt shot from 17 ft
11:01.0,A. Tolliver misses 3-pt shot from 25 ft,,67-61,,
11:00.0,,,67-61,,Defensive rebound by S. Larkin
10:48.0,,,67-61,,B. Lopez misses 2-pt shot from 10 ft
10:47.0,Defensive rebound by S. Johnson,,67-61,,
10:44.0,A. Baynes misses 2-pt shot from 1 ft (block by B. Lopez),,67-61,,
10:42.0,,,67-61,,Defensive rebound by W. Ellington
10:35.0,,,67-63,2,W. Ellington makes 2-pt shot from 9 ft
10:35.0,,,67-63,,Shooting foul by S. Johnson (drawn by W. Ellington)
10:35.0,,,67-64,1,W. Ellington makes free throw 1 of 1
10:12.0,M. Morris misses 2-pt shot from 20 ft,,67-64,,
10:11.0,Offensive rebound by A. Tolliver,,67-64,,
10:02.0,Turnover by M. Morris (traveling),,67-64,,
9:41.0,,,67-64,,J. Johnson misses 3-pt shot from 25 ft
9:40.0,Defensive rebound by S. Johnson,,67-64,,
9:35.0,S. Johnson misses 2-pt shot from 2 ft (block by W. Ellington),,67-64,,
9:31.0,Jump ball: W. Ellington vs. S. Johnson (M. Morris gains possession),,,,Jump ball: W. Ellington vs. S. Johnson (M. Morris gains possession)
9:31.0,Offensive rebound by Team,,67-64,,
9:24.0,S. Johnson misses 2-pt shot from 19 ft,,67-64,,
9:23.0,,,67-64,,Defensive rebound by B. Bogdanovic
9:21.0,,,67-64,,Turnover by W. Ellington (lost ball)
9:10.0,S. Johnson makes 2-pt shot from 1 ft (assist by A. Baynes),2,69-64,,
8:47.0,,,69-64,,B. Bogdanovic misses 3-pt shot from 24 ft
8:46.0,Defensive rebound by Team,,69-64,,
8:46.0,Official timeout,,69-64,,
8:46.0,,,69-64,,T. Young enters the game for B. Bogdanovic
8:33.0,A. Baynes misses 2-pt shot from 20 ft,,69-64,,
8:32.0,,,69-64,,Defensive rebound by T. Young
8:20.0,,,69-66,2,W. Ellington makes 2-pt shot from 18 ft (assist by B. Lopez)
8:01.0,A. Tolliver misses 3-pt shot from 25 ft,,69-66,,
8:00.0,,,69-66,,Defensive rebound by W. Ellington
7:42.0,,,69-68,2,S. Larkin makes 2-pt shot from 5 ft (assist by B. Lopez)
7:25.0,S. Johnson makes 3-pt shot from 24 ft (assist by A. Tolliver),3,72-68,,
7:10.0,,,72-68,,Turnover by W. Ellington (bad pass; steal by M. Morris)
7:04.0,A. Tolliver misses 2-pt shot at rim,,72-68,,
7:03.0,,,72-68,,Defensive rebound by Team
7:02.0,A. Drummond enters the game for S. Johnson,,72-68,,
7:02.0,R. Jackson enters the game for S. Blake,,72-68,,
7:02.0,K. Caldwell-Pope enters the game for A. Baynes,,72-68,,
6:52.0,,,72-70,2,B. Lopez makes 2-pt shot from 13 ft (assist by S. Larkin)
6:40.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,74-70,,
6:25.0,,,74-72,2,B. Lopez makes 2-pt shot from 7 ft
6:10.0,R. Jackson misses 2-pt shot from 11 ft,,74-72,,
6:09.0,,,74-72,,Defensive rebound by T. Young
6:01.0,,,74-74,2,T. Young makes 2-pt shot from 2 ft
6:01.0,Detroit full timeout,,74-74,,
6:01.0,E. Ilyasova enters the game for A. Tolliver,,74-74,,
5:48.0,R. Jackson misses 2-pt shot from 2 ft (block by B. Lopez),,74-74,,
5:47.0,Offensive rebound by M. Morris,,74-74,,
5:45.0,M. Morris makes 2-pt shot from 7 ft,2,76-74,,
5:24.0,,,76-76,2,B. Lopez makes 2-pt shot from 8 ft
5:02.0,K. Caldwell-Pope misses 2-pt shot from 7 ft,,76-76,,
5:01.0,,,76-76,,Defensive rebound by S. Larkin
4:55.0,,,76-79,3,S. Larkin makes 3-pt shot from 24 ft
