time,Indiana,pts.away,score,pts.home,New Orleans
5:37.0,,,10-12,,A. Ajinca misses 2-pt shot from 1 ft
5:36.0,Defensive rebound by M. Turner,,10-12,,
5:11.0,P. George misses 2-pt shot from 6 ft,,10-12,,
5:11.0,Offensive rebound by Team,,10-12,,
5:11.0,Turnover by Team (shot clock),,10-12,,
5:00.0,,,10-14,2,J. Holiday makes 2-pt shot from 1 ft
5:00.0,Indiana full timeout,,10-14,,
4:49.0,C. Miles misses 3-pt shot from 24 ft,,10-14,,
4:48.0,,,10-14,,Defensive rebound by A. Ajinca
4:35.0,,,10-14,,Shooting foul by P. George (drawn by R. Anderson)
4:35.0,,,10-14,,R. Anderson misses free throw 1 of 2
4:35.0,,,10-14,,Offensive rebound by Team
4:35.0,R. Stuckey enters the game for G. Hill,,10-14,,
4:35.0,G. Robinson enters the game for P. George,,10-14,,
4:35.0,,,10-15,1,R. Anderson makes free throw 2 of 2
4:21.0,Shooting foul by R. Anderson (drawn by M. Turner),,10-15,,
4:21.0,M. Turner misses free throw 1 of 2,,10-15,,
4:21.0,Offensive rebound by Team,,10-15,,
4:21.0,M. Turner makes free throw 2 of 2,1,11-15,,
4:07.0,,,11-15,,R. Anderson misses 2-pt shot from 2 ft (block by C. Miles)
4:07.0,,,11-15,,Offensive rebound by Team
3:59.0,,,11-17,2,T. Evans makes 2-pt shot from 2 ft (assist by A. Ajinca)
3:37.0,G. Robinson misses 3-pt shot from 24 ft,,11-17,,
3:36.0,,,11-17,,Defensive rebound by A. Ajinca
3:27.0,,,11-20,3,E. Gordon makes 3-pt shot from 23 ft (assist by T. Evans)
3:16.0,C. Miles makes 3-pt shot from 24 ft (assist by M. Turner),3,14-20,,
3:02.0,,,14-20,,Turnover by R. Anderson (lost ball; steal by C. Miles)
2:52.0,R. Stuckey misses 2-pt shot from 18 ft,,14-20,,
2:51.0,,,14-20,,Defensive rebound by T. Evans
2:41.0,,,14-22,2,J. Holiday makes 2-pt shot from 2 ft (assist by T. Evans)
2:32.0,C. Miles misses 3-pt shot from 25 ft,,14-22,,
2:30.0,,,14-22,,Defensive rebound by T. Evans
2:24.0,,,14-25,3,R. Anderson makes 3-pt shot from 24 ft (assist by T. Evans)
2:22.0,Indiana full timeout,,14-25,,
2:22.0,,,14-25,,N. Cole enters the game for T. Evans
2:22.0,,,14-25,,Violation by Team (delay of game)
2:03.0,M. Ellis misses 3-pt shot from 24 ft,,14-25,,
2:02.0,Offensive rebound by M. Turner,,14-25,,
1:56.0,G. Robinson misses 2-pt shot from 2 ft (block by A. Ajinca),,14-25,,
1:56.0,,,14-25,,Defensive rebound by N. Cole
1:43.0,,,14-27,2,A. Ajinca makes 2-pt shot at rim (assist by N. Cole)
1:31.0,C. Miles misses 2-pt shot from 3 ft,,14-27,,
1:29.0,,,14-27,,Defensive rebound by A. Ajinca
1:19.0,,,14-27,,Turnover by R. Anderson (bad pass)
1:02.0,M. Turner makes 2-pt shot from 1 ft (assist by M. Ellis),2,16-27,,
0:53.0,,,16-30,3,R. Anderson makes 3-pt shot from 22 ft (assist by J. Holiday)
0:33.0,C. Miles misses 3-pt shot from 25 ft,,16-30,,
0:33.0,Offensive rebound by R. Stuckey,,16-30,,
0:18.0,,,16-30,,Personal foul by N. Cole (drawn by M. Turner)
0:09.0,Turnover by M. Ellis (bad pass; steal by A. Ajinca),,16-30,,
0:03.0,,,16-30,,E. Gordon misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by C. Miles,,16-30,,
0:00.0,C. Miles misses 3-pt shot from 61 ft,,16-30,,
0:00.0,Offensive rebound by Team,,16-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,Turnover by G. Hill (bad pass; steal by A. Ajinca),,16-30,,
11:46.0,,,16-30,,N. Cole misses 2-pt shot from 2 ft (block by M. Turner)
11:46.0,Defensive rebound by C. Miles,,16-30,,
11:26.0,R. Stuckey misses 2-pt shot from 21 ft,,16-30,,
11:26.0,Offensive rebound by G. Robinson,,16-30,,
11:15.0,,,16-30,,Personal foul by N. Cole (drawn by M. Turner)
10:56.0,G. Robinson makes 2-pt shot from 9 ft,2,18-30,,
10:46.0,Personal foul by C. Miles (drawn by A. Ajinca),,18-30,,
10:41.0,,,18-30,,N. Cole misses 2-pt shot from 16 ft
10:40.0,Defensive rebound by G. Robinson,,18-30,,
10:24.0,Turnover by G. Robinson (bad pass; steal by A. Ajinca),,18-30,,
10:19.0,,,18-30,,R. Anderson misses 3-pt shot from 24 ft
10:18.0,Defensive rebound by M. Turner,,18-30,,
10:03.0,C. Miles makes 2-pt shot from 21 ft,2,20-30,,
9:45.0,,,20-30,,N. Cole misses 3-pt shot from 25 ft
9:43.0,Defensive rebound by R. Stuckey,,20-30,,
9:31.0,,,20-30,,Personal foul by T. Evans (drawn by G. Hill)
9:31.0,J. Hill enters the game for M. Turner,,20-30,,
9:31.0,,,20-30,,D. Cunningham enters the game for A. Ajinca
9:23.0,Turnover by R. Stuckey (lost ball; steal by J. Holiday),,20-30,,
9:17.0,,,20-30,,N. Cole misses 2-pt shot from 7 ft
9:14.0,Defensive rebound by G. Robinson,,20-30,,
8:59.0,C. Miles makes 2-pt shot from 2 ft,2,22-30,,
8:52.0,,,22-32,2,N. Cole makes 2-pt shot from 7 ft
8:33.0,G. Hill misses 2-pt shot from 19 ft,,22-32,,
8:32.0,,,22-32,,Defensive rebound by T. Evans
8:23.0,,,22-32,,T. Evans misses 2-pt shot from 2 ft
8:22.0,Defensive rebound by G. Hill,,22-32,,
8:15.0,Turnover by G. Robinson (lost ball; steal by J. Holiday),,22-32,,
8:09.0,,,22-32,,T. Evans misses 3-pt shot from 23 ft
8:07.0,,,22-32,,Offensive rebound by R. Anderson
8:06.0,,,22-34,2,R. Anderson makes 2-pt shot from 1 ft
7:41.0,R. Stuckey makes 2-pt shot from 2 ft (assist by G. Robinson),2,24-34,,
7:28.0,,,24-34,,Turnover by J. Holiday (bad pass)
7:28.0,Official timeout,,24-34,,
7:28.0,L. Allen enters the game for C. Miles,,24-34,,
7:28.0,P. George enters the game for G. Robinson,,24-34,,
7:14.0,Shooting foul by J. Holiday (drawn by P. George),,24-34,,
7:14.0,P. George makes free throw 1 of 2,1,25-34,,
7:14.0,P. George makes free throw 2 of 2,1,26-34,,
6:56.0,,,26-34,,T. Evans misses 2-pt shot from 2 ft
6:55.0,Defensive rebound by R. Stuckey,,26-34,,
6:50.0,R. Stuckey makes 2-pt shot from 1 ft,2,28-34,,
6:45.0,,,28-34,,New Orleans full timeout
6:45.0,,,28-34,,O. Asik enters the game for R. Anderson
6:45.0,,,28-34,,E. Gordon enters the game for N. Cole
6:26.0,,,28-34,,J. Holiday misses 2-pt shot from 22 ft
6:26.0,Defensive rebound by Team,,28-34,,
6:07.0,P. George misses 2-pt shot from 16 ft,,28-34,,
6:06.0,Offensive rebound by J. Hill,,28-34,,
5:52.0,Offensive foul by J. Hill,,28-34,,
5:52.0,Turnover by J. Hill (offensive foul),,28-34,,
5:52.0,,,28-34,,Offensive foul by O. Asik
5:52.0,,,28-34,,Turnover by O. Asik (offensive foul)
5:26.0,J. Hill makes 2-pt shot from 1 ft,2,30-34,,
5:15.0,,,30-34,,D. Cunningham misses 3-pt shot from 24 ft
5:14.0,Defensive rebound by P. George,,30-34,,
5:04.0,G. Hill misses 3-pt shot from 24 ft,,30-34,,
5:04.0,,,30-34,,Defensive rebound by O. Asik
4:54.0,,,30-36,2,T. Evans makes 2-pt shot from 1 ft
4:44.0,P. George misses 2-pt shot from 16 ft,,30-36,,
4:43.0,,,30-36,,Defensive rebound by O. Asik
4:20.0,,,30-36,,Turnover by Team (shot clock)
4:20.0,,,30-36,,R. Anderson enters the game for D. Cunningham
4:20.0,M. Ellis enters the game for G. Hill,,30-36,,
4:02.0,Turnover by J. Hill (bad pass; steal by R. Anderson),,30-36,,
3:49.0,,,30-36,,R. Anderson misses 2-pt shot from 11 ft
3:49.0,Defensive rebound by P. George,,30-36,,
3:43.0,L. Allen makes 2-pt shot from 1 ft (assist by R. Stuckey),2,32-36,,
3:26.0,,,32-36,,R. Anderson misses 3-pt shot from 25 ft
3:25.0,,,32-36,,Offensive rebound by R. Anderson
3:25.0,Loose ball foul by P. George (drawn by R. Anderson),,32-36,,
3:25.0,G. Hill enters the game for P. George,,32-36,,
3:25.0,I. Mahinmi enters the game for J. Hill,,32-36,,
3:25.0,,,32-36,,N. Cole enters the game for T. Evans
3:22.0,,,32-36,,Shooting foul by M. Ellis (drawn by E. Gordon)
3:22.0,,,32-36,,E. Gordon misses free throw 1 of 2
3:22.0,,,32-36,,Offensive rebound by Team
3:22.0,,,32-37,1,E. Gordon makes free throw 2 of 2
3:03.0,I. Mahinmi misses 2-pt shot from 2 ft,,32-37,,
3:02.0,Offensive rebound by I. Mahinmi,,32-37,,
2:51.0,,,32-37,,Personal foul by J. Holiday (drawn by R. Stuckey)
2:51.0,Indiana full timeout,,32-37,,
2:41.0,R. Stuckey misses 3-pt shot from 24 ft,,32-37,,
2:40.0,Offensive rebound by I. Mahinmi,,32-37,,
2:34.0,M. Ellis makes 2-pt shot from 17 ft (assist by I. Mahinmi),2,34-37,,
2:16.0,,,34-40,3,J. Holiday makes 3-pt shot from 25 ft (assist by R. Anderson)
1:58.0,I. Mahinmi misses 2-pt shot from 18 ft,,34-40,,
1:56.0,Offensive rebound by M. Ellis,,34-40,,
1:53.0,M. Ellis makes 2-pt shot from 12 ft,2,36-40,,
1:47.0,,,36-40,,E. Gordon misses 3-pt shot from 24 ft
1:45.0,Defensive rebound by I. Mahinmi,,36-40,,
1:36.0,R. Stuckey misses 3-pt shot from 23 ft,,36-40,,
1:35.0,,,36-40,,Defensive rebound by E. Gordon
1:20.0,,,36-43,3,R. Anderson makes 3-pt shot from 28 ft (assist by J. Holiday)
0:56.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by R. Stuckey),2,38-43,,
0:41.0,,,38-43,,Turnover by R. Anderson (bad pass)
0:41.0,,,38-43,,A. Ajinca enters the game for O. Asik
0:41.0,,,38-43,,T. Evans enters the game for J. Holiday
0:34.0,M. Ellis misses 2-pt shot from 18 ft,,38-43,,
0:32.0,,,38-43,,Defensive rebound by R. Anderson
0:15.0,,,38-43,,R. Anderson misses 2-pt shot from 16 ft
0:13.0,Defensive rebound by Team,,38-43,,
0:00.0,M. Ellis misses 2-pt shot from 15 ft,,38-43,,
0:00.0,Offensive rebound by Team,,38-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,P. George makes 2-pt shot from 1 ft,2,40-43,,
11:24.0,,,40-43,,E. Gordon misses 3-pt shot from 25 ft
11:24.0,Defensive rebound by G. Hill,,40-43,,
11:03.0,I. Mahinmi misses 2-pt shot from 17 ft,,40-43,,
11:02.0,,,40-43,,Defensive rebound by R. Anderson
10:50.0,,,40-43,,Shooting foul by I. Mahinmi (drawn by O. Asik)
10:50.0,,,40-43,,O. Asik misses free throw 1 of 2
10:50.0,,,40-43,,Offensive rebound by Team
10:50.0,,,40-44,1,O. Asik makes free throw 2 of 2
10:33.0,M. Ellis makes 2-pt shot from 9 ft (assist by P. George),2,42-44,,
10:16.0,,,42-44,,R. Anderson misses 3-pt shot from 24 ft
10:15.0,Defensive rebound by P. George,,42-44,,
10:08.0,P. George makes 3-pt shot from 25 ft,3,45-44,,
9:50.0,,,45-46,2,T. Evans makes 2-pt shot from 19 ft (assist by O. Asik)
9:43.0,P. George misses 3-pt shot from 24 ft,,45-46,,
9:42.0,,,45-46,,Defensive rebound by O. Asik
9:39.0,,,45-46,,Turnover by T. Evans (bad pass; steal by M. Ellis)
9:36.0,Turnover by M. Ellis (bad pass; steal by O. Asik),,45-46,,
9:31.0,Personal foul by M. Ellis (drawn by T. Evans),,45-46,,
9:19.0,,,45-46,,O. Asik misses 2-pt shot from 3 ft (block by I. Mahinmi)
9:18.0,Defensive rebound by I. Mahinmi,,45-46,,
9:12.0,Turnover by M. Ellis (lost ball; steal by R. Anderson),,45-46,,
9:04.0,,,45-46,,Shooting foul by G. Hill (drawn by T. Evans)
9:04.0,,,45-47,1,T. Evans makes free throw 1 of 2
9:04.0,,,45-48,1,T. Evans makes free throw 2 of 2
8:53.0,P. George misses 3-pt shot from 26 ft,,45-48,,
8:53.0,,,45-48,,Defensive rebound by O. Asik
8:43.0,,,45-51,3,T. Evans makes 3-pt shot from 24 ft
8:35.0,I. Mahinmi makes 2-pt shot from 2 ft (assist by M. Ellis),2,47-51,,
8:35.0,Shooting foul by T. Evans (drawn by I. Mahinmi),,47-51,,
8:35.0,,,47-51,,N. Cole enters the game for T. Evans
8:35.0,I. Mahinmi makes free throw 1 of 1,1,48-51,,
8:20.0,,,48-51,,E. Gordon misses 2-pt shot from 1 ft
8:19.0,Defensive rebound by L. Allen,,48-51,,
8:12.0,L. Allen makes 2-pt shot from 7 ft (assist by M. Ellis),2,50-51,,
7:47.0,,,50-51,,N. Cole misses 2-pt shot from 16 ft
7:46.0,,,50-51,,Offensive rebound by D. Cunningham
7:41.0,,,50-51,,E. Gordon misses 2-pt shot from 2 ft (block by I. Mahinmi)
7:40.0,Defensive rebound by P. George,,50-51,,
7:28.0,G. Hill misses 2-pt shot from 3 ft,,50-51,,
7:27.0,,,50-51,,Defensive rebound by O. Asik
7:25.0,,,50-51,,Turnover by O. Asik (bad pass; steal by L. Allen)
7:24.0,Shooting foul by E. Gordon (drawn by L. Allen),,50-51,,
7:24.0,L. Allen makes free throw 1 of 2,1,51-51,,
7:24.0,,,51-51,,A. Ajinca enters the game for O. Asik
7:24.0,,,51-51,,T. Evans enters the game for N. Cole
7:24.0,L. Allen misses free throw 2 of 2,,51-51,,
7:23.0,,,51-51,,Defensive rebound by A. Ajinca
7:09.0,,,51-51,,D. Cunningham misses 3-pt shot from 23 ft
7:08.0,Defensive rebound by M. Ellis,,51-51,,
7:02.0,Turnover by M. Ellis (bad pass; steal by A. Ajinca),,51-51,,
6:44.0,,,51-53,2,T. Evans makes 2-pt shot from 2 ft
6:29.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by M. Ellis),2,53-53,,
6:14.0,,,53-55,2,T. Evans makes 2-pt shot from 2 ft (assist by R. Anderson)
6:05.0,,,53-55,,J. Holiday enters the game for D. Cunningham
6:00.0,Turnover by L. Allen (bad pass; steal by T. Evans),,53-55,,
5:57.0,,,53-55,,Turnover by T. Evans (lost ball; steal by G. Hill)
5:53.0,G. Hill makes 2-pt shot from 8 ft,2,55-55,,
5:39.0,,,55-57,2,E. Gordon makes 2-pt shot from 18 ft (assist by A. Ajinca)
5:22.0,I. Mahinmi misses 2-pt shot from 3 ft (block by R. Anderson),,55-57,,
5:21.0,Offensive rebound by I. Mahinmi,,55-57,,
5:20.0,I. Mahinmi makes 2-pt shot at rim,2,57-57,,
5:10.0,,,57-57,,Shooting foul by M. Ellis (drawn by J. Holiday)
5:10.0,,,57-57,,New Orleans full timeout
5:10.0,C. Miles enters the game for L. Allen,,57-57,,
5:10.0,R. Stuckey enters the game for G. Hill,,57-57,,
5:10.0,,,57-58,1,J. Holiday makes free throw 1 of 2
5:10.0,,,57-59,1,J. Holiday makes free throw 2 of 2
4:52.0,P. George misses 3-pt shot from 24 ft,,57-59,,
4:51.0,,,57-59,,Defensive rebound by T. Evans
4:39.0,,,57-62,3,T. Evans makes 3-pt shot from 24 ft (assist by J. Holiday)
4:26.0,C. Miles makes 3-pt shot from 24 ft (assist by M. Ellis),3,60-62,,
4:13.0,,,60-62,,A. Ajinca misses 2-pt shot from 18 ft
4:12.0,Defensive rebound by R. Stuckey,,60-62,,
3:53.0,R. Stuckey makes 2-pt shot from 8 ft (assist by M. Ellis),2,62-62,,
3:42.0,,,62-62,,J. Holiday misses 2-pt shot from 18 ft
3:41.0,,,62-62,,Offensive rebound by R. Anderson
3:34.0,,,62-62,,R. Anderson misses 3-pt shot from 22 ft
3:33.0,Defensive rebound by C. Miles,,62-62,,
3:21.0,M. Ellis misses 2-pt shot from 2 ft,,62-62,,
3:21.0,,,62-62,,Defensive rebound by Team
3:04.0,,,62-64,2,R. Anderson makes 2-pt shot from 18 ft (assist by T. Evans)
2:50.0,M. Ellis makes 2-pt shot from 2 ft,2,64-64,,
2:36.0,,,64-66,2,J. Holiday makes 2-pt shot at rim
2:20.0,Turnover by P. George (lost ball),,64-66,,
2:20.0,Indiana full timeout,,64-66,,
2:20.0,,,64-66,,N. Cole enters the game for E. Gordon
2:20.0,,,64-66,,D. Cunningham enters the game for R. Anderson
2:20.0,M. Turner enters the game for I. Mahinmi,,64-66,,
2:03.0,,,64-66,,A. Ajinca misses 2-pt shot from 6 ft
2:02.0,Defensive rebound by C. Miles,,64-66,,
1:42.0,P. George misses 3-pt shot from 23 ft,,64-66,,
1:41.0,,,64-66,,Defensive rebound by Team
1:31.0,,,64-66,,Turnover by J. Holiday (bad pass; steal by P. George)
1:28.0,,,64-66,,Personal foul by A. Ajinca (drawn by M. Turner)
1:16.0,M. Turner makes 2-pt shot from 1 ft (assist by M. Ellis),2,66-66,,
1:02.0,,,66-68,2,J. Holiday makes 2-pt shot from 17 ft
0:38.0,M. Turner misses 2-pt shot from 10 ft,,66-68,,
0:37.0,,,66-68,,Defensive rebound by T. Evans
0:20.0,,,66-68,,J. Holiday misses 2-pt shot from 17 ft
0:19.0,,,66-68,,Offensive rebound by A. Ajinca
0:06.0,,,66-68,,Shooting foul by M. Turner (drawn by T. Evans)
0:06.0,,,66-69,1,T. Evans makes free throw 1 of 2
0:06.0,,,66-69,,A. Gee enters the game for A. Ajinca
0:06.0,J. Hill enters the game for C. Miles,,66-69,,
0:06.0,,,66-70,1,T. Evans makes free throw 2 of 2
0:00.0,R. Stuckey makes 2-pt shot from 1 ft,2,68-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,68-70,,Shooting foul by G. Hill (drawn by N. Cole)
11:44.0,,,68-71,1,N. Cole makes free throw 1 of 2
11:44.0,,,68-72,1,N. Cole makes free throw 2 of 2
11:34.0,Shooting foul by N. Cole (drawn by G. Hill),,68-72,,
11:34.0,G. Hill makes free throw 1 of 2,1,69-72,,
11:34.0,G. Hill makes free throw 2 of 2,1,70-72,,
11:19.0,,,70-72,,J. Holiday misses 2-pt shot from 18 ft
11:18.0,Defensive rebound by C. Miles,,70-72,,
11:10.0,Turnover by G. Hill (lost ball; steal by J. Holiday),,70-72,,
11:10.0,Jump ball: G. Hill vs. J. Holiday (A. Ajinca gains possession),,,,Jump ball: G. Hill vs. J. Holiday (A. Ajinca gains possession)
10:53.0,,,70-72,,N. Cole misses 2-pt shot from 17 ft
10:53.0,Defensive rebound by G. Hill,,70-72,,
10:40.0,Turnover by P. George (bad pass; steal by J. Holiday),,70-72,,
10:36.0,,,70-72,,T. Evans misses 2-pt shot from 2 ft
10:35.0,Defensive rebound by P. George,,70-72,,
10:27.0,P. George misses 3-pt shot from 25 ft,,70-72,,
10:26.0,,,70-72,,Defensive rebound by A. Ajinca
10:25.0,,,70-72,,Turnover by A. Ajinca (bad pass; steal by P. George)
10:21.0,G. Hill makes 3-pt shot from 23 ft (assist by P. George),3,73-72,,
10:14.0,,,73-72,,J. Holiday misses 2-pt shot from 1 ft
10:12.0,,,73-72,,Offensive rebound by D. Cunningham
10:11.0,,,73-74,2,D. Cunningham makes 2-pt shot from 2 ft
9:45.0,J. Hill makes 2-pt shot from 1 ft (assist by R. Stuckey),2,75-74,,
9:29.0,,,75-77,3,T. Evans makes 3-pt shot from 24 ft (assist by A. Ajinca)
9:11.0,Turnover by P. George (lost ball; steal by T. Evans),,75-77,,
9:05.0,,,75-77,,N. Cole misses 3-pt shot from 25 ft
9:02.0,Defensive rebound by R. Stuckey,,75-77,,
8:59.0,Turnover by R. Stuckey (lost ball; steal by N. Cole),,75-77,,
8:42.0,,,75-77,,T. Evans misses 3-pt shot from 24 ft
8:42.0,,,75-77,,Offensive rebound by Team
8:42.0,Official timeout,,75-77,,
8:42.0,,,75-77,,E. Gordon enters the game for T. Evans
8:42.0,,,75-77,,R. Anderson enters the game for A. Ajinca
8:42.0,G. Robinson enters the game for P. George,,75-77,,
8:37.0,,,75-77,,J. Holiday misses 2-pt shot from 14 ft
8:36.0,Defensive rebound by R. Stuckey,,75-77,,
8:19.0,C. Miles makes 3-pt shot from 26 ft (assist by R. Stuckey),3,78-77,,
8:01.0,,,78-80,3,R. Anderson makes 3-pt shot from 25 ft (assist by E. Gordon)
7:46.0,Turnover by J. Hill (lost ball),,78-80,,
7:24.0,,,78-80,,R. Anderson misses 2-pt shot from 19 ft
7:24.0,Defensive rebound by J. Hill,,78-80,,
7:14.0,Turnover by R. Stuckey (lost ball; steal by R. Anderson),,78-80,,
7:10.0,Shooting block foul by C. Miles (drawn by J. Holiday),,78-80,,
7:10.0,,,78-80,,J. Holiday misses free throw 1 of 2
7:10.0,,,78-80,,Offensive rebound by Team
7:10.0,,,78-80,,J. Holiday misses free throw 2 of 2
7:08.0,Defensive rebound by C. Miles,,78-80,,
6:54.0,G. Robinson misses 2-pt shot from 13 ft,,78-80,,
6:53.0,Offensive rebound by J. Hill,,78-80,,
6:52.0,,,78-80,,Personal foul by D. Cunningham (drawn by J. Hill)
6:41.0,G. Robinson makes 2-pt shot from 1 ft (assist by G. Hill),2,80-80,,
6:26.0,,,80-82,2,D. Cunningham makes 2-pt shot from 6 ft (assist by E. Gordon)
6:09.0,G. Hill misses 2-pt shot from 12 ft,,80-82,,
6:08.0,Offensive rebound by J. Hill,,80-82,,
6:07.0,J. Hill misses 2-pt shot from 2 ft (block by J. Holiday),,80-82,,
6:06.0,,,80-82,,Defensive rebound by E. Gordon
5:51.0,,,80-82,,N. Cole misses 2-pt shot from 19 ft
5:49.0,Defensive rebound by J. Hill,,80-82,,
5:38.0,Turnover by J. Hill (bad pass; steal by D. Cunningham),,80-82,,
5:28.0,,,80-82,,E. Gordon misses 3-pt shot from 23 ft
5:27.0,Defensive rebound by G. Hill,,80-82,,
5:21.0,R. Stuckey misses 2-pt shot from 5 ft (block by J. Holiday),,80-82,,
5:20.0,Offensive rebound by R. Stuckey,,80-82,,
5:18.0,Shooting foul by E. Gordon (drawn by G. Robinson),,80-82,,
5:18.0,,,80-82,,New Orleans full timeout
5:18.0,,,80-82,,T. Evans enters the game for N. Cole
5:18.0,,,80-82,,A. Ajinca enters the game for D. Cunningham
5:18.0,I. Mahinmi enters the game for J. Hill,,80-82,,
5:18.0,P. George enters the game for R. Stuckey,,80-82,,
5:18.0,M. Ellis enters the game for G. Hill,,80-82,,
5:18.0,G. Robinson makes free throw 1 of 2,1,81-82,,
5:18.0,G. Robinson misses free throw 2 of 2,,81-82,,
5:16.0,,,81-82,,Defensive rebound by A. Ajinca
5:02.0,,,81-82,,E. Gordon misses 2-pt shot from 3 ft (block by I. Mahinmi)
5:00.0,Defensive rebound by I. Mahinmi,,81-82,,
4:46.0,I. Mahinmi makes 2-pt shot from 3 ft (assist by M. Ellis),2,83-82,,
4:46.0,Shooting foul by R. Anderson (drawn by I. Mahinmi),,83-82,,
4:46.0,I. Mahinmi makes free throw 1 of 1,1,84-82,,
4:31.0,,,84-82,,Turnover by T. Evans (bad pass)
4:11.0,Shooting foul by A. Ajinca (drawn by I. Mahinmi),,84-82,,
4:11.0,I. Mahinmi misses free throw 1 of 2,,84-82,,
4:11.0,Offensive rebound by Team,,84-82,,
4:11.0,I. Mahinmi makes free throw 2 of 2,1,85-82,,
