time,Phoenix,pts.away,score,pts.home,Denver
7:11.0,B. Knight makes free throw 1 of 2,1,32-41,,
7:11.0,E. Bledsoe enters the game for R. Price,,32-41,,
7:11.0,B. Knight makes free throw 2 of 2,1,33-41,,
6:56.0,,,33-43,2,J. Hickson makes 2-pt shot from 1 ft (assist by J. Nelson)
6:48.0,Turnover by B. Knight (bad pass; steal by W. Barton),,33-43,,
6:45.0,,,33-45,2,W. Barton makes 2-pt shot from 2 ft
6:45.0,,,33-45,,Shooting foul by E. Bledsoe (drawn by W. Barton)
6:45.0,,,33-45,,D. Gallinari enters the game for D. Arthur
6:45.0,,,33-46,1,W. Barton makes free throw 1 of 1
6:33.0,E. Bledsoe misses 2-pt shot from 6 ft,,33-46,,
6:33.0,,,33-46,,Defensive rebound by D. Gallinari
6:27.0,,,33-48,2,J. Hickson makes 2-pt shot at rim (assist by D. Gallinari)
6:08.0,E. Bledsoe misses 2-pt shot from 2 ft,,33-48,,
6:07.0,Offensive rebound by Team,,33-48,,
6:07.0,,,33-48,,Loose ball foul by J. Nelson (drawn by T. Chandler)
6:07.0,J. Leuer enters the game for T. Chandler,,33-48,,
6:07.0,,,33-48,,E. Mudiay enters the game for J. Nelson
6:01.0,B. Knight misses 3-pt shot from 23 ft,,33-48,,
5:59.0,Offensive rebound by P. Tucker,,33-48,,
5:58.0,Shooting foul by R. Foye (drawn by P. Tucker),,33-48,,
5:58.0,,,33-48,,Denver full timeout
5:58.0,P. Tucker makes free throw 1 of 2,1,34-48,,
5:58.0,P. Tucker makes free throw 2 of 2,1,35-48,,
5:37.0,,,35-48,,D. Gallinari misses 2-pt shot from 22 ft
5:36.0,Defensive rebound by B. Knight,,35-48,,
5:28.0,M. Teletovic misses 3-pt shot from 24 ft,,35-48,,
5:27.0,Offensive rebound by Team,,35-48,,
5:27.0,,,35-48,,Loose ball foul by E. Mudiay (drawn by P. Tucker)
5:27.0,P. Tucker makes free throw 1 of 2,1,36-48,,
5:27.0,,,36-48,,K. Faried enters the game for J. Hickson
5:27.0,P. Tucker makes free throw 2 of 2,1,37-48,,
5:27.0,,,37-48,,Turnover by K. Faried (bad pass; steal by E. Bledsoe)
5:26.0,Turnover by B. Knight (step out of bounds),,37-48,,
5:01.0,,,37-48,,E. Mudiay misses 2-pt shot from 4 ft
4:59.0,,,37-48,,Offensive rebound by K. Faried
4:59.0,,,37-48,,K. Faried misses 2-pt shot from 5 ft
4:57.0,Defensive rebound by J. Leuer,,37-48,,
4:51.0,P. Tucker makes 2-pt shot from 1 ft (assist by J. Leuer),2,39-48,,
4:35.0,,,39-50,2,W. Barton makes 2-pt shot from 1 ft (assist by D. Gallinari)
4:24.0,B. Knight makes 3-pt shot from 24 ft (assist by J. Leuer),3,42-50,,
3:56.0,,,42-50,,W. Barton misses 3-pt shot from 25 ft
3:55.0,,,42-50,,Offensive rebound by E. Mudiay
3:52.0,,,42-52,2,E. Mudiay makes 2-pt shot from 2 ft
3:47.0,,,42-52,,Personal foul by R. Foye (drawn by B. Knight)
3:47.0,B. Knight misses free throw 1 of 2,,42-52,,
3:47.0,Offensive rebound by Team,,42-52,,
3:47.0,,,42-52,,G. Harris enters the game for R. Foye
3:47.0,B. Knight makes free throw 2 of 2,1,43-52,,
3:35.0,,,43-54,2,E. Mudiay makes 2-pt shot from 1 ft
3:27.0,B. Knight misses 2-pt shot from 2 ft (block by D. Gallinari),,43-54,,
3:26.0,Offensive rebound by B. Knight,,43-54,,
3:24.0,M. Teletovic misses 3-pt shot from 25 ft,,43-54,,
3:23.0,,,43-54,,Defensive rebound by D. Gallinari
3:23.0,Loose ball foul by J. Leuer (drawn by D. Gallinari),,43-54,,
3:14.0,,,43-54,,Turnover by K. Faried (lost ball)
2:56.0,Turnover by M. Teletovic (bad pass; steal by K. Faried),,43-54,,
2:50.0,,,43-56,2,D. Gallinari makes 2-pt shot at rim (assist by E. Mudiay)
2:35.0,Offensive charge foul by M. Teletovic,,43-56,,
2:35.0,Turnover by M. Teletovic (offensive foul),,43-56,,
2:35.0,Phoenix full timeout,,43-56,,
2:35.0,M. Morris enters the game for M. Teletovic,,43-56,,
2:19.0,,,43-56,,W. Barton misses 3-pt shot from 24 ft
2:17.0,,,43-56,,Offensive rebound by K. Faried
2:13.0,,,43-56,,Turnover by D. Gallinari (bad pass; steal by J. Leuer)
2:10.0,,,43-56,,Personal take foul by G. Harris (drawn by E. Bledsoe)
2:10.0,E. Bledsoe makes free throw 1 of 2,1,44-56,,
2:10.0,E. Bledsoe makes free throw 2 of 2,1,45-56,,
1:59.0,,,45-56,,Shooting foul by J. Leuer (drawn by D. Gallinari)
1:59.0,,,45-57,1,D. Gallinari makes free throw 1 of 2
1:59.0,,,45-58,1,D. Gallinari makes free throw 2 of 2
1:38.0,E. Bledsoe misses 2-pt shot from 3 ft,,45-58,,
1:38.0,Offensive rebound by M. Morris,,45-58,,
1:35.0,M. Morris makes 2-pt shot from 2 ft,2,47-58,,
1:23.0,,,47-60,2,E. Mudiay makes 2-pt shot from 16 ft
1:10.0,Offensive charge foul by E. Bledsoe,,47-60,,
1:10.0,Turnover by E. Bledsoe (offensive foul),,47-60,,
0:51.0,,,47-60,,Shooting foul by P. Tucker (drawn by E. Mudiay)
0:51.0,,,47-60,,E. Mudiay misses free throw 1 of 2
0:51.0,,,47-60,,Offensive rebound by Team
0:51.0,T. Warren enters the game for P. Tucker,,47-60,,
0:51.0,,,47-61,1,E. Mudiay makes free throw 2 of 2
0:33.0,B. Knight makes 2-pt shot from 2 ft,2,49-61,,
0:13.0,,,49-63,2,E. Mudiay makes 2-pt shot from 5 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,49-66,3,E. Mudiay makes 3-pt shot from 25 ft
11:20.0,E. Bledsoe makes 2-pt shot from 18 ft,2,51-66,,
11:00.0,,,51-68,2,G. Harris makes 2-pt shot from 2 ft (assist by E. Mudiay)
10:50.0,E. Bledsoe makes 2-pt shot from 4 ft (assist by M. Morris),2,53-68,,
10:31.0,,,53-68,,Turnover by E. Mudiay (bad pass; steal by E. Bledsoe)
10:22.0,M. Morris misses 2-pt shot from 18 ft,,53-68,,
10:21.0,,,53-68,,Defensive rebound by N. Jokic
10:06.0,,,53-68,,G. Harris misses 2-pt shot from 1 ft
10:05.0,Defensive rebound by M. Morris,,53-68,,
10:03.0,P. Tucker misses 2-pt shot from 1 ft (block by D. Gallinari),,53-68,,
10:02.0,Offensive rebound by Team,,53-68,,
9:50.0,P. Tucker misses 2-pt shot from 1 ft,,53-68,,
9:50.0,,,53-68,,Defensive rebound by E. Mudiay
9:50.0,,,53-68,,Offensive foul by K. Faried
9:50.0,,,53-68,,Turnover by K. Faried (offensive foul)
9:45.0,Turnover by E. Bledsoe (lost ball),,53-68,,
9:20.0,,,53-68,,E. Mudiay misses 3-pt shot from 26 ft
9:19.0,Defensive rebound by B. Knight,,53-68,,
9:14.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by B. Knight),2,55-68,,
9:14.0,,,55-68,,Denver full timeout
9:03.0,,,55-68,,Shooting foul by T. Chandler (drawn by D. Gallinari)
9:03.0,,,55-69,1,D. Gallinari makes free throw 1 of 2
9:03.0,,,55-70,1,D. Gallinari makes free throw 2 of 2
8:52.0,M. Morris makes 2-pt shot from 2 ft,2,57-70,,
8:52.0,Shooting foul by K. Faried (drawn by M. Morris),,57-70,,
8:52.0,M. Morris misses free throw 1 of 1,,57-70,,
8:52.0,Offensive rebound by B. Knight,,57-70,,
8:42.0,B. Knight makes 3-pt shot from 25 ft,3,60-70,,
8:18.0,,,60-70,,E. Mudiay misses 2-pt shot from 12 ft
8:14.0,Defensive rebound by Team,,60-70,,
8:14.0,,,60-70,,D. Arthur enters the game for K. Faried
8:01.0,E. Bledsoe makes 3-pt shot from 24 ft,3,63-70,,
7:54.0,Personal foul by T. Chandler (drawn by N. Jokic),,63-70,,
7:45.0,,,63-70,,G. Harris misses 3-pt shot from 26 ft
7:44.0,Defensive rebound by P. Tucker,,63-70,,
7:36.0,M. Morris makes 2-pt shot from 7 ft (assist by E. Bledsoe),2,65-70,,
7:13.0,,,65-70,,D. Arthur misses 2-pt shot from 21 ft
7:12.0,Defensive rebound by T. Chandler,,65-70,,
7:06.0,E. Bledsoe misses 3-pt shot from 25 ft,,65-70,,
7:04.0,,,65-70,,Defensive rebound by N. Jokic
6:52.0,,,65-73,3,G. Harris makes 3-pt shot from 26 ft (assist by N. Jokic)
6:52.0,Phoenix full timeout,,65-73,,
6:37.0,M. Morris misses 2-pt shot from 18 ft,,65-73,,
6:36.0,,,65-73,,Defensive rebound by G. Harris
6:22.0,,,65-75,2,E. Mudiay makes 2-pt shot from 20 ft (assist by D. Gallinari)
6:05.0,B. Knight makes 3-pt shot from 24 ft (assist by M. Morris),3,68-75,,
5:59.0,Flagrant foul type 1 by T. Chandler (drawn by N. Jokic),,68-75,,
5:59.0,,,68-75,,Technical foul by N. Jokic
5:59.0,B. Knight makes technical free throw,1,69-75,,
5:59.0,,,69-76,1,N. Jokic makes flagrant free throw 1 of 2
5:59.0,,,69-77,1,N. Jokic makes flagrant free throw 2 of 2
5:40.0,,,69-79,2,D. Arthur makes 2-pt shot at rim (assist by E. Mudiay)
5:33.0,Turnover by B. Knight (bad pass; steal by E. Mudiay),,69-79,,
5:29.0,,,69-79,,Turnover by E. Mudiay (turnover)
5:09.0,M. Morris misses 2-pt shot from 1 ft,,69-79,,
5:08.0,,,69-79,,Defensive rebound by Team
4:49.0,,,69-79,,E. Mudiay misses 2-pt shot from 13 ft
4:47.0,Defensive rebound by M. Morris,,69-79,,
4:37.0,B. Knight misses 2-pt shot from 2 ft,,69-79,,
4:36.0,,,69-79,,Defensive rebound by D. Gallinari
4:27.0,,,69-79,,G. Harris misses 3-pt shot from 24 ft
4:27.0,,,69-79,,Offensive rebound by D. Arthur
4:21.0,,,69-81,2,G. Harris makes 2-pt shot at rim (assist by D. Arthur)
4:04.0,M. Morris misses 2-pt shot from 16 ft,,69-81,,
4:02.0,Offensive rebound by B. Knight,,69-81,,
3:56.0,B. Knight misses 2-pt shot from 15 ft,,69-81,,
3:54.0,Offensive rebound by Team,,69-81,,
3:54.0,,,69-81,,J. Nelson enters the game for E. Mudiay
3:54.0,,,69-81,,J. Hickson enters the game for N. Jokic
3:54.0,J. Leuer enters the game for M. Morris,,69-81,,
3:46.0,D. Booker enters the game for T. Chandler,,69-81,,
3:46.0,A. Len enters the game for B. Knight,,69-81,,
3:35.0,A. Len makes 2-pt shot at rim (assist by P. Tucker),2,71-81,,
3:28.0,,,71-81,,W. Barton enters the game for G. Harris
3:25.0,Personal foul by D. Booker (drawn by W. Barton),,71-81,,
3:16.0,,,71-81,,J. Hickson misses 2-pt shot from 9 ft
3:15.0,Defensive rebound by J. Leuer,,71-81,,
3:02.0,A. Len makes 2-pt shot from 19 ft (assist by D. Booker),2,73-81,,
2:39.0,,,73-81,,D. Arthur misses 2-pt shot from 1 ft
2:35.0,Defensive rebound by A. Len,,73-81,,
2:26.0,E. Bledsoe makes 3-pt shot from 25 ft,3,76-81,,
2:20.0,,,76-81,,Shooting foul by A. Len (drawn by D. Gallinari)
2:20.0,,,76-81,,D. Gallinari misses free throw 1 of 2
2:20.0,,,76-81,,Offensive rebound by Team
2:20.0,,,76-82,1,D. Gallinari makes free throw 2 of 2
2:02.0,,,76-82,,Personal foul by J. Hickson (drawn by A. Len)
1:50.0,E. Bledsoe makes 2-pt shot from 8 ft,2,78-82,,
1:39.0,,,78-82,,D. Gallinari misses 3-pt shot from 25 ft
1:38.0,Defensive rebound by J. Leuer,,78-82,,
1:31.0,,,78-82,,Personal block foul by D. Gallinari (drawn by P. Tucker)
1:31.0,,,78-82,,K. Papanikolaou enters the game for J. Hickson
1:20.0,E. Bledsoe misses 2-pt shot from 18 ft,,78-82,,
1:20.0,,,78-82,,Defensive rebound by W. Barton
1:06.0,,,78-82,,D. Gallinari misses 2-pt shot from 18 ft
1:06.0,Defensive rebound by P. Tucker,,78-82,,
0:49.0,A. Len makes 2-pt shot from 15 ft (assist by P. Tucker),2,80-82,,
0:38.0,,,80-82,,J. Nelson misses 2-pt shot from 4 ft
0:35.0,,,80-82,,Offensive rebound by D. Arthur
0:35.0,,,80-84,2,D. Arthur makes 2-pt shot at rim
0:21.0,Turnover by E. Bledsoe (bad pass; steal by W. Barton),,80-84,,
0:01.0,,,80-84,,K. Papanikolaou misses 3-pt shot from 25 ft
0:00.0,,,80-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,Violation by Team (delay of game),,80-84,,
11:46.0,J. Leuer misses 2-pt shot from 6 ft,,80-84,,
11:42.0,,,80-84,,Defensive rebound by J. Nelson
11:36.0,,,80-84,,W. Barton misses 2-pt shot from 20 ft
11:36.0,Defensive rebound by A. Len,,80-84,,
11:28.0,E. Bledsoe misses 2-pt shot from 3 ft,,80-84,,
11:27.0,Offensive rebound by A. Len,,80-84,,
11:26.0,Shooting foul by D. Arthur (drawn by A. Len),,80-84,,
11:26.0,A. Len makes free throw 1 of 2,1,81-84,,
11:26.0,A. Len misses free throw 2 of 2,,81-84,,
11:24.0,,,81-84,,Defensive rebound by W. Barton
11:06.0,,,81-84,,J. Nelson misses 3-pt shot from 25 ft
11:06.0,Defensive rebound by J. Leuer,,81-84,,
10:46.0,R. Price misses 3-pt shot from 25 ft,,81-84,,
10:45.0,Offensive rebound by Team,,81-84,,
10:45.0,,,81-84,,Loose ball foul by R. Foye (drawn by J. Leuer)
10:36.0,A. Len makes 2-pt shot from 1 ft,2,83-84,,
10:23.0,,,83-84,,J. Nelson misses 2-pt shot from 5 ft
10:22.0,,,83-84,,Offensive rebound by D. Arthur
10:19.0,,,83-84,,D. Arthur misses 2-pt shot from 1 ft (block by R. Price)
10:18.0,,,83-84,,Offensive rebound by R. Foye
10:11.0,,,83-84,,W. Barton misses 2-pt shot from 4 ft (block by E. Bledsoe)
10:09.0,Defensive rebound by D. Booker,,83-84,,
10:04.0,Turnover by J. Leuer (traveling),,83-84,,
10:04.0,,,83-84,,N. Jokic enters the game for D. Arthur
9:51.0,,,83-86,2,N. Jokic makes 2-pt shot from 5 ft (assist by J. Nelson)
9:36.0,Offensive foul by D. Booker,,83-86,,
9:36.0,Turnover by D. Booker (offensive foul),,83-86,,
9:36.0,B. Knight enters the game for E. Bledsoe,,83-86,,
9:25.0,M. Teletovic enters the game for A. Len,,83-86,,
9:16.0,,,83-88,2,R. Foye makes 2-pt shot from 20 ft
9:03.0,Shooting foul by W. Barton (drawn by B. Knight),,83-88,,
9:03.0,B. Knight makes free throw 1 of 2,1,84-88,,
9:03.0,B. Knight misses free throw 2 of 2,,84-88,,
8:59.0,Offensive rebound by M. Teletovic,,84-88,,
8:59.0,M. Teletovic makes 2-pt shot at rim,2,86-88,,
8:50.0,Personal foul by J. Leuer (drawn by N. Jokic),,86-88,,
8:50.0,Official timeout,,86-88,,
8:41.0,,,86-88,,R. Foye misses 2-pt shot from 20 ft
8:41.0,Defensive rebound by B. Knight,,86-88,,
8:22.0,J. Leuer makes 3-pt shot from 27 ft (assist by B. Knight),3,89-88,,
8:05.0,,,89-88,,J. Nelson misses 3-pt shot from 24 ft
8:04.0,Defensive rebound by J. Leuer,,89-88,,
7:57.0,B. Knight misses 3-pt shot from 24 ft,,89-88,,
7:55.0,Offensive rebound by B. Knight,,89-88,,
7:52.0,B. Knight makes 3-pt shot from 24 ft,3,92-88,,
7:52.0,,,92-88,,Denver full timeout
7:52.0,,,92-88,,D. Gallinari enters the game for K. Papanikolaou
7:38.0,,,92-88,,R. Foye misses 3-pt shot from 24 ft
7:37.0,Defensive rebound by R. Price,,92-88,,
7:17.0,J. Leuer misses 3-pt shot from 25 ft,,92-88,,
7:15.0,Offensive rebound by M. Teletovic,,92-88,,
7:15.0,M. Teletovic makes 2-pt shot from 2 ft,2,94-88,,
7:05.0,,,94-88,,D. Gallinari misses 2-pt shot from 4 ft
7:04.0,Defensive rebound by M. Teletovic,,94-88,,
7:04.0,,,94-88,,Loose ball foul by N. Jokic (drawn by M. Teletovic)
7:04.0,,,94-88,,G. Harris enters the game for R. Foye
6:52.0,Turnover by B. Knight (bad pass; steal by N. Jokic),,94-88,,
6:49.0,,,94-88,,Shooting foul by M. Teletovic (drawn by G. Harris)
6:49.0,,,94-89,1,G. Harris makes free throw 1 of 2
6:49.0,E. Bledsoe enters the game for D. Booker,,94-89,,
6:49.0,,,94-89,,K. Faried enters the game for N. Jokic
6:49.0,,,94-90,1,G. Harris makes free throw 2 of 2
6:37.0,Turnover by E. Bledsoe (traveling),,94-90,,
6:17.0,,,94-90,,D. Gallinari misses 3-pt shot from 24 ft
6:16.0,Defensive rebound by B. Knight,,94-90,,
6:08.0,,,94-90,,E. Mudiay enters the game for J. Nelson
5:57.0,B. Knight misses 2-pt shot from 1 ft,,94-90,,
5:56.0,,,94-90,,Defensive rebound by K. Faried
5:56.0,Loose ball foul by J. Leuer (drawn by K. Faried),,94-90,,
5:53.0,Personal foul by R. Price (drawn by E. Mudiay),,94-90,,
5:40.0,,,94-90,,Turnover by E. Mudiay (bad pass; steal by J. Leuer)
5:29.0,B. Knight makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,96-90,,
5:14.0,,,96-90,,J. Nelson enters the game for W. Barton
5:14.0,,,96-90,,Denver full timeout
5:08.0,,,96-92,2,G. Harris makes 2-pt shot from 1 ft
4:53.0,M. Teletovic makes 3-pt shot from 23 ft,3,99-92,,
4:35.0,,,99-92,,D. Gallinari misses 2-pt shot from 2 ft (block by M. Teletovic)
4:33.0,Defensive rebound by M. Teletovic,,99-92,,
