time,Minnesota,pts.away,score,pts.home,Boston
7:26.0,Personal foul by D. Rudez (drawn by I. Thomas),,35-46,,
7:13.0,,,35-46,,R. Hunter misses 3-pt shot from 25 ft (block by K. Martin)
7:12.0,,,35-46,,Offensive rebound by Team
7:12.0,,,35-46,,Turnover by Team (shot clock)
7:01.0,Z. LaVine makes 2-pt shot from 13 ft,2,37-46,,
6:45.0,,,37-46,,Shooting foul by K. Martin (drawn by D. Lee)
6:45.0,,,37-47,1,D. Lee makes free throw 1 of 2
6:45.0,,,37-47,,K. Olynyk enters the game for J. Jerebko
6:45.0,,,37-48,1,D. Lee makes free throw 2 of 2
6:28.0,A. Wiggins makes 2-pt shot from 1 ft (assist by G. Dieng),2,39-48,,
6:18.0,,,39-48,,D. Lee misses 2-pt shot from 6 ft
6:17.0,Defensive rebound by G. Dieng,,39-48,,
6:04.0,Shooting foul by J. Young (drawn by A. Wiggins),,39-48,,
6:04.0,A. Wiggins makes free throw 1 of 2,1,40-48,,
6:04.0,,,40-48,,J. Crowder enters the game for R. Hunter
6:04.0,,,40-48,,A. Bradley enters the game for J. Young
6:04.0,K. Towns enters the game for K. Martin,,40-48,,
6:04.0,R. Rubio enters the game for D. Rudez,,40-48,,
6:04.0,A. Wiggins makes free throw 2 of 2,1,41-48,,
5:50.0,Personal foul by R. Rubio (drawn by K. Olynyk),,41-48,,
5:50.0,,,41-48,,Boston full timeout
5:50.0,,,41-48,,K. Olynyk misses free throw 1 of 2
5:50.0,,,41-48,,Offensive rebound by Team
5:50.0,,,41-49,1,K. Olynyk makes free throw 2 of 2
5:31.0,G. Dieng makes 2-pt shot from 12 ft,2,43-49,,
5:17.0,,,43-49,,Shooting foul by K. Towns (drawn by K. Olynyk)
5:17.0,,,43-50,1,K. Olynyk makes free throw 1 of 2
5:17.0,T. Prince enters the game for Z. LaVine,,43-50,,
5:17.0,,,43-50,,K. Olynyk misses free throw 2 of 2
5:17.0,Defensive rebound by K. Towns,,43-50,,
5:05.0,G. Dieng misses 2-pt shot from 19 ft,,43-50,,
5:04.0,,,43-50,,Defensive rebound by A. Bradley
4:58.0,,,43-53,3,K. Olynyk makes 3-pt shot from 23 ft (assist by A. Bradley)
4:39.0,Shooting foul by D. Lee (drawn by G. Dieng),,43-53,,
4:39.0,G. Dieng misses free throw 1 of 2,,43-53,,
4:39.0,Offensive rebound by Team,,43-53,,
4:39.0,G. Dieng misses free throw 2 of 2,,43-53,,
4:39.0,,,43-53,,Defensive rebound by J. Crowder
4:25.0,,,43-53,,A. Bradley misses 3-pt shot from 23 ft
4:24.0,Defensive rebound by T. Prince,,43-53,,
4:18.0,A. Wiggins misses 3-pt shot from 24 ft,,43-53,,
4:16.0,,,43-53,,Defensive rebound by D. Lee
4:08.0,,,43-53,,J. Crowder misses 3-pt shot from 25 ft
4:07.0,Defensive rebound by R. Rubio,,43-53,,
3:53.0,G. Dieng makes 2-pt shot from 1 ft,2,45-53,,
3:37.0,,,45-56,3,K. Olynyk makes 3-pt shot from 25 ft (assist by I. Thomas)
3:28.0,Minnesota full timeout,,45-56,,
3:28.0,N. Bjelica enters the game for G. Dieng,,45-56,,
3:22.0,A. Wiggins makes 2-pt shot from 16 ft (assist by T. Prince),2,47-56,,
3:09.0,,,47-56,,Turnover by D. Lee (traveling)
3:09.0,,,47-56,,J. Jerebko enters the game for D. Lee
2:57.0,A. Wiggins misses 3-pt shot from 25 ft,,47-56,,
2:56.0,Offensive rebound by T. Prince,,47-56,,
2:54.0,T. Prince makes 2-pt shot from 12 ft,2,49-56,,
2:35.0,,,49-56,,J. Jerebko misses 2-pt shot from 6 ft (block by K. Towns)
2:34.0,,,49-56,,Offensive rebound by J. Jerebko
2:31.0,,,49-58,2,J. Crowder makes 2-pt shot from 1 ft (assist by I. Thomas)
2:31.0,,,49-58,,Shooting foul by A. Wiggins (drawn by J. Crowder)
2:31.0,,,49-58,,J. Crowder misses free throw 1 of 1
2:31.0,Defensive rebound by K. Towns,,49-58,,
2:18.0,K. Towns misses 2-pt shot from 20 ft,,49-58,,
2:17.0,Offensive rebound by T. Prince,,49-58,,
2:07.0,R. Rubio misses 2-pt shot from 13 ft,,49-58,,
2:06.0,,,49-58,,Defensive rebound by J. Crowder
1:52.0,,,49-58,,Turnover by I. Thomas (traveling)
