time,Dallas,pts.away,score,pts.home,New Orleans
7:27.0,,,30-31,,Shooting foul by C. Villanueva (drawn by D. Cunningham)
7:27.0,,,30-31,,D. Cunningham misses free throw 1 of 2
7:27.0,,,30-31,,Offensive rebound by Team
7:27.0,,,30-31,,T. Evans enters the game for N. Cole
7:27.0,,,30-32,1,D. Cunningham makes free throw 2 of 2
7:05.0,C. Parsons makes 2-pt shot from 2 ft,2,32-32,,
7:05.0,Shooting foul by A. Ajinca (drawn by C. Parsons),,32-32,,
7:05.0,C. Parsons makes free throw 1 of 1,1,33-32,,
6:55.0,,,33-34,2,J. Holiday makes 2-pt shot from 1 ft
6:31.0,Shooting foul by J. Holiday (drawn by R. Felton),,33-34,,
6:31.0,R. Felton makes free throw 1 of 2,1,34-34,,
6:31.0,R. Felton makes free throw 2 of 2,1,35-34,,
6:20.0,,,35-34,,Shooting foul by J. McGee (drawn by R. Anderson)
6:20.0,,,35-35,1,R. Anderson makes free throw 1 of 2
6:20.0,,,35-35,,R. Anderson misses free throw 2 of 2
6:16.0,Defensive rebound by J. McGee,,35-35,,
6:15.0,Turnover by J. McGee (bad pass; steal by D. Cunningham),,35-35,,
6:02.0,,,35-37,2,R. Anderson makes 2-pt shot from 7 ft (assist by T. Evans)
5:54.0,Dallas full timeout,,35-37,,
5:54.0,,,35-37,,A. Davis enters the game for A. Ajinca
5:41.0,R. Felton makes 3-pt shot from 26 ft,3,38-37,,
5:26.0,,,38-39,2,R. Anderson makes 2-pt shot from 2 ft (assist by J. Holiday)
5:10.0,C. Villanueva misses 3-pt shot from 25 ft,,38-39,,
5:10.0,,,38-39,,Defensive rebound by T. Evans
4:58.0,,,38-39,,J. Holiday misses 2-pt shot from 1 ft (block by J. McGee)
4:58.0,,,38-39,,Offensive rebound by Team
4:58.0,D. Powell enters the game for J. McGee,,38-39,,
4:58.0,,,38-39,,N. Cole enters the game for T. Evans
4:58.0,D. Harris enters the game for J. Jenkins,,38-39,,
