time,Minnesota,pts.away,score,pts.home,Chicago
3:08.0,R. Rubio misses 2-pt shot from 1 ft,,23-22,,
3:07.0,,,23-22,,Defensive rebound by J. Noah
2:59.0,,,23-25,3,A. Brooks makes 3-pt shot from 24 ft (assist by J. Noah)
2:37.0,A. Wiggins misses 2-pt shot at rim (block by P. Gasol),,23-25,,
2:36.0,,,23-25,,Defensive rebound by T. Snell
2:25.0,,,23-25,,A. Brooks misses 2-pt shot from 3 ft (block by A. Wiggins)
2:24.0,Defensive rebound by R. Rubio,,23-25,,
2:18.0,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio),2,25-25,,
2:07.0,,,25-25,,Turnover by J. Butler (bad pass; steal by G. Dieng)
1:54.0,Offensive charge foul by S. Muhammad,,25-25,,
1:54.0,Turnover by S. Muhammad (offensive foul),,25-25,,
1:54.0,,,25-25,,T. Gibson enters the game for P. Gasol
1:54.0,Z. LaVine enters the game for R. Rubio,,25-25,,
1:54.0,T. Prince enters the game for A. Wiggins,,25-25,,
1:54.0,,,25-25,,D. Rose enters the game for J. Butler
1:38.0,,,25-25,,J. Noah misses 2-pt shot from 6 ft
1:37.0,Defensive rebound by S. Muhammad,,25-25,,
1:26.0,S. Muhammad misses 2-pt shot from 11 ft,,25-25,,
1:25.0,Offensive rebound by G. Dieng,,25-25,,
1:09.0,N. Bjelica makes 2-pt shot from 2 ft,2,27-25,,
1:00.0,,,27-28,3,A. Brooks makes 3-pt shot from 25 ft (assist by J. Noah)
0:42.0,Z. LaVine makes 3-pt shot from 24 ft (assist by S. Muhammad),3,30-28,,
0:19.0,,,30-28,,T. Snell misses 3-pt shot from 24 ft
0:17.0,Defensive rebound by T. Prince,,30-28,,
0:01.0,Z. LaVine misses 3-pt shot from 23 ft,,30-28,,
0:00.0,Offensive rebound by Team,,30-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Turnover by G. Dieng (3 sec),,30-28,,
11:37.0,Violation by G. Dieng (def goaltending),,30-28,,
11:37.0,,,30-30,2,D. Rose makes 2-pt shot from 1 ft
11:18.0,N. Bjelica makes 3-pt shot from 25 ft,3,33-30,,
11:03.0,,,33-32,2,N. Mirotic makes 2-pt shot from 1 ft (assist by T. Gibson)
10:36.0,G. Dieng makes 2-pt shot from 9 ft (assist by N. Bjelica),2,35-32,,
10:18.0,,,35-35,3,E. Moore makes 3-pt shot from 24 ft (assist by D. Rose)
10:00.0,,,35-35,,Personal foul by T. Snell (drawn by S. Muhammad)
10:00.0,A. Payne enters the game for G. Dieng,,35-35,,
9:49.0,Turnover by Z. LaVine (lost ball; steal by N. Mirotic),,35-35,,
9:39.0,,,35-37,2,T. Gibson makes 2-pt shot at rim (assist by D. Rose)
9:13.0,A. Payne misses 2-pt shot from 13 ft,,35-37,,
9:13.0,,,35-37,,Defensive rebound by T. Snell
9:13.0,Personal foul by A. Payne (drawn by T. Snell),,35-37,,
9:08.0,,,35-37,,Shooting foul by Z. LaVine (drawn by D. Rose)
9:08.0,,,35-38,1,D. Rose makes free throw 1 of 2
9:08.0,,,35-39,1,D. Rose makes free throw 2 of 2
8:54.0,Z. LaVine misses 2-pt shot from 20 ft,,35-39,,
8:51.0,,,35-39,,Defensive rebound by N. Mirotic
8:31.0,,,35-39,,N. Mirotic misses 3-pt shot from 25 ft
8:30.0,Defensive rebound by T. Prince,,35-39,,
8:18.0,Turnover by T. Prince (lost ball; steal by D. Rose),,35-39,,
8:15.0,,,35-39,,Shooting foul by N. Bjelica (drawn by N. Mirotic)
8:15.0,,,35-39,,Chicago full timeout
8:15.0,,,35-39,,D. McDermott enters the game for T. Snell
8:15.0,R. Rubio enters the game for T. Prince,,35-39,,
8:15.0,A. Wiggins enters the game for S. Muhammad,,35-39,,
8:15.0,,,35-40,1,N. Mirotic makes free throw 1 of 2
8:15.0,,,35-41,1,N. Mirotic makes free throw 2 of 2
8:03.0,A. Wiggins makes 3-pt shot from 24 ft (assist by Z. LaVine),3,38-41,,
7:48.0,,,38-41,,N. Mirotic misses 3-pt shot from 24 ft
7:47.0,Defensive rebound by Z. LaVine,,38-41,,
7:18.0,R. Rubio makes 2-pt shot from 19 ft,2,40-41,,
7:16.0,,,40-41,,Turnover by D. Rose (bad pass; steal by N. Bjelica)
7:13.0,A. Wiggins misses 2-pt shot from 12 ft,,40-41,,
7:13.0,Offensive rebound by Z. LaVine,,40-41,,
7:13.0,Z. LaVine makes 2-pt shot from 1 ft,2,42-41,,
7:13.0,Shooting foul by N. Mirotic (drawn by Z. LaVine),,42-41,,
7:13.0,,,42-41,,P. Gasol enters the game for D. McDermott
7:13.0,,,42-41,,J. Butler enters the game for N. Mirotic
7:13.0,Z. LaVine makes free throw 1 of 1,1,43-41,,
7:02.0,,,43-41,,D. Rose misses 2-pt shot from 2 ft
7:01.0,Defensive rebound by N. Bjelica,,43-41,,
6:57.0,A. Payne makes 2-pt shot from 2 ft (assist by N. Bjelica),2,45-41,,
6:45.0,,,45-41,,J. Butler misses 3-pt shot from 24 ft
6:44.0,Defensive rebound by R. Rubio,,45-41,,
6:41.0,A. Wiggins makes 2-pt shot from 2 ft (assist by R. Rubio),2,47-41,,
6:38.0,,,47-41,,Chicago full timeout
6:38.0,K. Towns enters the game for N. Bjelica,,47-41,,
6:26.0,,,47-43,2,P. Gasol makes 2-pt shot from 2 ft (assist by J. Butler)
6:26.0,,,47-43,,Shooting foul by A. Payne (drawn by P. Gasol)
6:26.0,,,47-44,1,P. Gasol makes free throw 1 of 1
6:15.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,49-44,,
6:01.0,Personal foul by A. Payne (drawn by T. Gibson),,49-44,,
6:01.0,,,49-44,,T. Gibson misses free throw 1 of 2
6:01.0,,,49-44,,Offensive rebound by Team
6:01.0,N. Bjelica enters the game for A. Payne,,49-44,,
6:01.0,,,49-45,1,T. Gibson makes free throw 2 of 2
5:46.0,K. Towns misses 2-pt shot from 5 ft,,49-45,,
5:44.0,,,49-45,,Defensive rebound by P. Gasol
5:29.0,,,49-45,,T. Gibson misses 2-pt shot from 2 ft (block by N. Bjelica)
5:27.0,Defensive rebound by Z. LaVine,,49-45,,
5:21.0,N. Bjelica makes 3-pt shot from 25 ft (assist by R. Rubio),3,52-45,,
5:08.0,,,52-45,,P. Gasol misses 2-pt shot from 14 ft
5:07.0,,,52-45,,Offensive rebound by T. Gibson
5:06.0,,,52-45,,Turnover by T. Gibson (lost ball; steal by R. Rubio)
4:52.0,K. Towns makes 2-pt shot from 1 ft,2,54-45,,
4:35.0,,,54-47,2,D. Rose makes 2-pt shot from 2 ft (assist by T. Gibson)
4:17.0,Turnover by R. Rubio (bad pass),,54-47,,
4:17.0,,,54-47,,J. Noah enters the game for T. Gibson
4:17.0,,,54-47,,A. Brooks enters the game for E. Moore
4:05.0,,,54-49,2,P. Gasol makes 2-pt shot from 8 ft
3:51.0,R. Rubio makes 2-pt shot from 14 ft,2,56-49,,
3:29.0,,,56-49,,J. Noah misses 2-pt shot from 4 ft
3:28.0,Defensive rebound by N. Bjelica,,56-49,,
3:22.0,Z. LaVine misses 3-pt shot from 23 ft,,56-49,,
3:21.0,,,56-49,,Defensive rebound by J. Butler
3:07.0,,,56-49,,Turnover by D. Rose (traveling)
3:07.0,Minnesota full timeout,,56-49,,
3:07.0,,,56-49,,T. Snell enters the game for D. Rose
3:07.0,G. Dieng enters the game for K. Towns,,56-49,,
3:07.0,S. Muhammad enters the game for Z. LaVine,,56-49,,
2:53.0,S. Muhammad misses 2-pt shot from 2 ft (block by T. Snell),,56-49,,
2:52.0,,,56-49,,Defensive rebound by J. Butler
2:44.0,,,56-49,,Shooting foul by A. Wiggins (drawn by J. Butler)
2:44.0,,,56-51,2,J. Butler makes 2-pt shot from 1 ft
2:44.0,,,56-52,1,J. Butler makes free throw 1 of 1
2:37.0,Shooting foul by P. Gasol (drawn by A. Wiggins),,56-52,,
2:37.0,A. Wiggins makes free throw 1 of 2,1,57-52,,
2:37.0,A. Wiggins makes free throw 2 of 2,1,58-52,,
2:27.0,,,58-52,,Offensive charge foul by J. Butler
2:27.0,,,58-52,,Turnover by J. Butler (offensive foul)
2:12.0,A. Wiggins misses 2-pt shot from 12 ft,,58-52,,
2:11.0,,,58-52,,Defensive rebound by T. Snell
1:54.0,,,58-52,,P. Gasol misses 2-pt shot from 4 ft
1:53.0,,,58-52,,Offensive rebound by J. Noah
1:53.0,Personal foul by R. Rubio (drawn by J. Noah),,58-52,,
1:53.0,,,58-52,,J. Noah misses free throw 1 of 2
1:53.0,,,58-52,,Offensive rebound by Team
1:53.0,,,58-53,1,J. Noah makes free throw 2 of 2
1:37.0,R. Rubio misses 2-pt shot from 20 ft (block by A. Brooks),,58-53,,
1:35.0,,,58-53,,Defensive rebound by P. Gasol
1:30.0,,,58-53,,Offensive foul by J. Noah
1:30.0,,,58-53,,Turnover by J. Noah (offensive foul)
1:30.0,,,58-53,,T. Gibson enters the game for J. Noah
1:07.0,R. Rubio misses 2-pt shot from 22 ft,,58-53,,
1:06.0,,,58-53,,Defensive rebound by T. Snell
0:56.0,,,58-53,,T. Gibson misses 2-pt shot from 2 ft
0:56.0,,,58-53,,Offensive rebound by P. Gasol
0:56.0,,,58-55,2,P. Gasol makes 2-pt shot from 4 ft
0:41.0,A. Wiggins misses 3-pt shot from 24 ft,,58-55,,
0:40.0,,,58-55,,Defensive rebound by P. Gasol
0:35.0,,,58-55,,A. Brooks misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by R. Rubio,,58-55,,
0:34.0,,,58-55,,Personal foul by A. Brooks (drawn by R. Rubio)
0:21.0,Turnover by N. Bjelica (lost ball; steal by T. Gibson),,58-55,,
0:02.0,,,58-55,,T. Snell misses 2-pt shot from 21 ft
0:01.0,,,58-55,,Offensive rebound by P. Gasol
0:01.0,,,58-57,2,P. Gasol makes 2-pt shot from 1 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,K. Towns misses 2-pt shot from 6 ft,,58-57,,
11:38.0,,,58-57,,Defensive rebound by D. Rose
11:18.0,,,58-57,,J. Butler misses 2-pt shot from 2 ft
11:16.0,Defensive rebound by R. Rubio,,58-57,,
11:03.0,T. Prince misses 3-pt shot from 24 ft,,58-57,,
11:02.0,Offensive rebound by K. Towns,,58-57,,
11:02.0,K. Towns misses 2-pt shot from 1 ft,,58-57,,
11:02.0,,,58-57,,Defensive rebound by Team
10:48.0,,,58-60,3,D. Rose makes 3-pt shot from 23 ft (assist by J. Butler)
10:36.0,A. Wiggins misses 2-pt shot from 2 ft,,58-60,,
10:36.0,,,58-60,,Defensive rebound by Team
10:18.0,,,58-60,,N. Mirotic misses 3-pt shot from 26 ft
10:17.0,Defensive rebound by K. Towns,,58-60,,
10:09.0,Turnover by R. Rubio (bad pass; steal by J. Butler),,58-60,,
10:04.0,,,58-60,,N. Mirotic misses 2-pt shot from 1 ft
10:03.0,Defensive rebound by K. Garnett,,58-60,,
9:50.0,K. Towns misses 2-pt shot from 17 ft,,58-60,,
9:48.0,,,58-60,,Defensive rebound by P. Gasol
9:48.0,Personal foul by K. Garnett (drawn by N. Mirotic),,58-60,,
9:32.0,,,58-60,,P. Gasol misses 2-pt shot from 4 ft
9:32.0,,,58-60,,Offensive rebound by Team
9:29.0,,,58-60,,J. Butler misses 2-pt shot from 10 ft
9:28.0,Defensive rebound by K. Garnett,,58-60,,
9:21.0,Shooting foul by N. Mirotic (drawn by R. Rubio),,58-60,,
9:21.0,R. Rubio makes free throw 1 of 2,1,59-60,,
9:21.0,,,59-60,,J. Noah enters the game for N. Mirotic
9:21.0,R. Rubio makes free throw 2 of 2,1,60-60,,
9:21.0,Technical foul by K. Garnett,,60-60,,
9:21.0,,,60-60,,J. Butler misses technical free throw
9:21.0,,,60-60,,Offensive rebound by Team
9:21.0,Z. LaVine enters the game for R. Rubio,,60-60,,
9:07.0,,,60-60,,Offensive foul by D. Rose
9:07.0,,,60-60,,Turnover by D. Rose (offensive foul)
8:52.0,A. Wiggins makes 2-pt shot from 12 ft,2,62-60,,
8:33.0,,,62-60,,D. Rose misses 3-pt shot from 24 ft
8:32.0,,,62-60,,Offensive rebound by J. Noah
8:29.0,,,62-62,2,P. Gasol makes 2-pt shot from 18 ft (assist by J. Noah)
8:13.0,A. Wiggins misses 2-pt shot from 21 ft,,62-62,,
8:12.0,,,62-62,,Defensive rebound by D. McDermott
8:03.0,,,62-62,,J. Butler misses 3-pt shot from 23 ft
8:02.0,Defensive rebound by K. Garnett,,62-62,,
7:53.0,Z. LaVine makes 2-pt shot from 19 ft,2,64-62,,
7:40.0,,,64-62,,J. Noah misses 2-pt shot from 1 ft (block by K. Towns)
7:38.0,Defensive rebound by Z. LaVine,,64-62,,
7:33.0,Turnover by Z. LaVine (bad pass; steal by J. Noah),,64-62,,
7:33.0,Personal foul by A. Wiggins (drawn by J. Noah),,64-62,,
7:20.0,,,64-62,,Turnover by J. Noah (bad pass; steal by K. Towns)
7:10.0,K. Towns makes 2-pt shot from 1 ft (assist by K. Garnett),2,66-62,,
7:10.0,Shooting foul by D. McDermott (drawn by K. Towns),,66-62,,
7:10.0,R. Rubio enters the game for Z. LaVine,,66-62,,
7:10.0,N. Bjelica enters the game for K. Garnett,,66-62,,
7:10.0,K. Towns makes free throw 1 of 1,1,67-62,,
7:00.0,Personal foul by K. Towns (drawn by P. Gasol),,67-62,,
6:50.0,,,67-64,2,J. Butler makes 2-pt shot from 12 ft (assist by P. Gasol)
6:38.0,Turnover by N. Bjelica (traveling),,67-64,,
6:23.0,,,67-64,,Turnover by J. Noah (3 sec)
6:13.0,Shooting foul by J. Noah (drawn by A. Wiggins),,67-64,,
6:13.0,A. Wiggins misses free throw 1 of 2,,67-64,,
6:13.0,Offensive rebound by Team,,67-64,,
6:13.0,A. Wiggins makes free throw 2 of 2,1,68-64,,
5:56.0,,,68-66,2,J. Butler makes 2-pt shot from 2 ft
5:42.0,K. Towns misses 2-pt shot from 4 ft,,68-66,,
5:41.0,,,68-66,,Defensive rebound by J. Butler
5:28.0,,,68-69,3,D. McDermott makes 3-pt shot from 24 ft (assist by J. Noah)
5:07.0,N. Bjelica misses 3-pt shot from 25 ft,,68-69,,
5:05.0,Offensive rebound by K. Towns,,68-69,,
5:00.0,K. Towns makes 2-pt shot from 6 ft,2,70-69,,
4:53.0,,,70-69,,P. Gasol misses 2-pt shot from 13 ft
4:52.0,Defensive rebound by R. Rubio,,70-69,,
4:33.0,K. Towns makes 2-pt shot from 3 ft (assist by R. Rubio),2,72-69,,
4:32.0,,,72-69,,Chicago full timeout
4:32.0,S. Muhammad enters the game for T. Prince,,72-69,,
4:08.0,,,72-69,,P. Gasol misses 2-pt shot from 14 ft (block by K. Towns)
4:07.0,Defensive rebound by N. Bjelica,,72-69,,
4:04.0,Turnover by R. Rubio (bad pass; steal by P. Gasol),,72-69,,
3:59.0,Personal foul by R. Rubio (drawn by J. Butler),,72-69,,
3:48.0,,,72-71,2,J. Butler makes 2-pt shot from 1 ft (assist by P. Gasol)
3:30.0,A. Wiggins misses 2-pt shot from 18 ft (block by J. Butler),,72-71,,
3:26.0,,,72-71,,Defensive rebound by J. Noah
3:17.0,,,72-71,,P. Gasol misses 2-pt shot at rim
3:16.0,,,72-71,,Offensive rebound by J. Noah
3:16.0,,,72-71,,J. Noah misses 2-pt shot from 1 ft
3:15.0,Defensive rebound by N. Bjelica,,72-71,,
3:00.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,74-71,,
2:43.0,,,74-71,,D. Rose misses 2-pt shot from 18 ft
2:42.0,Defensive rebound by K. Towns,,74-71,,
2:28.0,N. Bjelica misses 3-pt shot from 25 ft,,74-71,,
2:28.0,,,74-71,,Defensive rebound by Team
2:28.0,Minnesota full timeout,,74-71,,
2:28.0,,,74-71,,E. Moore enters the game for D. Rose
2:28.0,Z. LaVine enters the game for K. Towns,,74-71,,
2:28.0,T. Prince enters the game for A. Wiggins,,74-71,,
2:28.0,G. Dieng enters the game for R. Rubio,,74-71,,
2:07.0,,,74-71,,E. Moore misses 2-pt shot from 9 ft
2:06.0,,,74-71,,Offensive rebound by J. Noah
2:06.0,,,74-71,,J. Noah misses 2-pt shot at rim
2:05.0,,,74-71,,Offensive rebound by J. Noah
2:05.0,,,74-73,2,J. Noah makes 2-pt shot at rim
1:42.0,G. Dieng misses 2-pt shot from 9 ft (block by J. Noah),,74-73,,
1:40.0,,,74-73,,Defensive rebound by J. Butler
1:26.0,,,74-73,,Shooting foul by S. Muhammad (drawn by J. Butler)
1:26.0,,,74-73,,J. Butler misses free throw 1 of 2
1:26.0,,,74-73,,Offensive rebound by Team
1:26.0,,,74-73,,T. Snell enters the game for D. McDermott
1:26.0,,,74-73,,J. Butler misses free throw 2 of 2
1:24.0,Defensive rebound by N. Bjelica,,74-73,,
1:12.0,T. Prince makes 2-pt shot from 20 ft (assist by Z. LaVine),2,76-73,,
0:47.0,,,76-75,2,T. Snell makes 2-pt shot from 4 ft (assist by E. Moore)
0:37.0,Z. LaVine misses 2-pt shot from 18 ft,,76-75,,
0:37.0,,,76-75,,Defensive rebound by Team
0:37.0,Loose ball foul by G. Dieng (drawn by P. Gasol),,76-75,,
0:37.0,,,76-76,1,P. Gasol makes free throw 1 of 2
0:37.0,,,76-77,1,P. Gasol makes free throw 2 of 2
0:16.0,N. Bjelica misses 3-pt shot from 25 ft,,76-77,,
0:15.0,,,76-77,,Defensive rebound by J. Noah
0:05.0,,,76-77,,T. Snell misses 3-pt shot from 24 ft
0:04.0,Defensive rebound by G. Dieng,,76-77,,
0:02.0,,,76-77,,T. Gibson enters the game for P. Gasol
0:00.0,G. Dieng misses 2-pt shot from 15 ft,,76-77,,
0:00.0,,,76-77,,Defensive rebound by J. Butler
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,76-77,,T. Snell misses 2-pt shot from 19 ft
11:40.0,Defensive rebound by N. Bjelica,,76-77,,
11:23.0,N. Bjelica makes 2-pt shot from 2 ft (assist by Z. LaVine),2,78-77,,
11:10.0,,,78-80,3,T. Snell makes 3-pt shot from 24 ft (assist by J. Noah)
10:48.0,Z. LaVine misses 2-pt shot from 21 ft,,78-80,,
10:47.0,,,78-80,,Defensive rebound by J. Noah
10:41.0,Personal foul by Z. LaVine (drawn by T. Gibson),,78-80,,
10:31.0,,,78-80,,Turnover by T. Snell (bad pass; steal by G. Dieng)
10:28.0,Offensive charge foul by Z. LaVine,,78-80,,
10:28.0,Turnover by Z. LaVine (offensive foul),,78-80,,
10:14.0,,,78-80,,A. Brooks misses 3-pt shot from 24 ft
10:14.0,Defensive rebound by Team,,78-80,,
10:14.0,,,78-80,,Loose ball foul by T. Gibson (drawn by G. Dieng)
9:59.0,Z. LaVine misses 2-pt shot at rim,,78-80,,
9:58.0,,,78-80,,Defensive rebound by J. Noah
9:49.0,,,78-80,,A. Brooks misses 2-pt shot from 6 ft
9:48.0,Defensive rebound by S. Muhammad,,78-80,,
9:45.0,Shooting foul by T. Gibson (drawn by S. Muhammad),,78-80,,
9:45.0,S. Muhammad makes free throw 1 of 2,1,79-80,,
9:45.0,,,79-80,,N. Mirotic enters the game for J. Noah
9:45.0,S. Muhammad makes free throw 2 of 2,1,80-80,,
9:29.0,,,80-80,,E. Moore misses 2-pt shot from 8 ft
9:28.0,Defensive rebound by N. Bjelica,,80-80,,
9:15.0,Turnover by S. Muhammad (offensive foul),,80-80,,
9:15.0,Offensive charge foul by S. Muhammad,,80-80,,
9:03.0,,,80-82,2,A. Brooks makes 2-pt shot at rim
8:41.0,G. Dieng makes 2-pt shot from 1 ft (assist by Z. LaVine),2,82-82,,
8:15.0,,,82-84,2,E. Moore makes 2-pt shot from 6 ft
8:08.0,Minnesota full timeout,,82-84,,
8:08.0,R. Rubio enters the game for S. Muhammad,,82-84,,
8:08.0,A. Wiggins enters the game for Z. LaVine,,82-84,,
7:58.0,T. Prince misses 2-pt shot from 9 ft,,82-84,,
7:57.0,Offensive rebound by T. Prince,,82-84,,
7:57.0,Turnover by A. Wiggins (traveling),,82-84,,
7:46.0,,,82-84,,A. Brooks misses 3-pt shot from 24 ft
7:44.0,Defensive rebound by G. Dieng,,82-84,,
7:24.0,G. Dieng misses 2-pt shot from 6 ft,,82-84,,
7:23.0,,,82-84,,Defensive rebound by N. Mirotic
7:04.0,,,82-86,2,A. Brooks makes 2-pt shot from 2 ft
6:49.0,Shooting foul by T. Gibson (drawn by A. Wiggins),,82-86,,
6:49.0,A. Wiggins makes free throw 1 of 2,1,83-86,,
6:49.0,K. Garnett enters the game for G. Dieng,,83-86,,
6:49.0,K. Towns enters the game for N. Bjelica,,83-86,,
6:49.0,,,83-86,,D. Rose enters the game for A. Brooks
6:49.0,,,83-86,,J. Butler enters the game for E. Moore
6:49.0,A. Wiggins misses free throw 2 of 2,,83-86,,
6:47.0,,,83-86,,Defensive rebound by N. Mirotic
6:34.0,,,83-89,3,T. Snell makes 3-pt shot from 23 ft (assist by D. Rose)
6:15.0,K. Towns misses 2-pt shot from 12 ft,,83-89,,
6:14.0,,,83-89,,Defensive rebound by T. Snell
6:00.0,,,83-89,,T. Gibson misses 2-pt shot from 1 ft
5:59.0,Defensive rebound by K. Towns,,83-89,,
5:55.0,,,83-89,,Personal foul by N. Mirotic (drawn by A. Wiggins)
5:55.0,Minnesota full timeout,,83-89,,
5:55.0,,,83-89,,P. Gasol enters the game for N. Mirotic
5:55.0,A. Wiggins misses free throw 1 of 2,,83-89,,
5:55.0,Offensive rebound by Team,,83-89,,
5:55.0,A. Wiggins makes free throw 2 of 2,1,84-89,,
5:40.0,,,84-89,,D. Rose misses 2-pt shot from 3 ft
5:39.0,Defensive rebound by K. Garnett,,84-89,,
5:20.0,A. Wiggins misses 2-pt shot from 13 ft,,84-89,,
5:18.0,,,84-89,,Defensive rebound by T. Snell
