time,Charlotte,pts.away,score,pts.home,Boston
4:18.0,K. Walker makes clear path free throw 2 of 2,1,48-39,,
4:05.0,,,48-39,,Personal foul by A. Bradley
4:05.0,J. Lin makes free throw 1 of 2,1,49-39,,
4:05.0,,,49-39,,J. Jerebko enters the game for J. Sullinger
4:05.0,,,49-39,,E. Turner enters the game for J. Crowder
4:05.0,,,49-39,,M. Smart enters the game for A. Bradley
4:05.0,J. Lin makes free throw 2 of 2,1,50-39,,
3:53.0,,,50-39,,Turnover by E. Turner (lost ball; steal by J. Lin)
3:45.0,K. Walker makes 2-pt shot at rim (assist by J. Lin),2,52-39,,
3:34.0,,,52-39,,Turnover by I. Thomas (lost ball; steal by A. Jefferson)
3:29.0,M. Williams misses 3-pt shot from 24 ft,,52-39,,
3:28.0,Offensive rebound by K. Walker,,52-39,,
3:28.0,Turnover by M. Williams (step out of bounds),,52-39,,
3:18.0,,,52-39,,Turnover by I. Thomas (lost ball; steal by K. Walker)
3:12.0,K. Walker makes 2-pt shot at rim,2,54-39,,
3:03.0,,,54-39,,Boston full timeout
3:03.0,,,54-39,,T. Rozier enters the game for A. Johnson
3:03.0,,,54-39,,T. Zeller enters the game for I. Thomas
2:58.0,,,54-39,,M. Smart misses 3-pt shot from 25 ft
2:57.0,Defensive rebound by N. Batum,,54-39,,
2:45.0,Turnover by K. Walker (bad pass),,54-39,,
2:45.0,Charlotte full timeout,,54-39,,
2:26.0,,,54-39,,T. Rozier misses 2-pt shot at rim
2:25.0,Defensive rebound by K. Walker,,54-39,,
2:12.0,Shooting foul by E. Turner (drawn by M. Williams),,54-39,,
2:12.0,M. Williams makes 2-pt shot from 2 ft (assist by A. Jefferson),2,56-39,,
2:12.0,M. Williams misses free throw 1 of 1,,56-39,,
2:12.0,,,56-39,,Defensive rebound by T. Rozier
2:00.0,,,56-39,,T. Zeller misses 2-pt shot from 19 ft
1:58.0,Defensive rebound by K. Walker,,56-39,,
1:52.0,J. Lin misses 3-pt shot from 25 ft,,56-39,,
1:51.0,,,56-39,,Defensive rebound by T. Rozier
1:28.0,,,56-39,,T. Rozier misses 3-pt shot from 23 ft
1:26.0,,,56-39,,Offensive rebound by M. Smart
1:26.0,,,56-41,2,M. Smart makes 2-pt shot from 1 ft
1:00.0,A. Jefferson makes 2-pt shot from 10 ft,2,58-41,,
0:41.0,,,58-41,,E. Turner misses 2-pt shot from 2 ft (block by J. Lin)
0:40.0,Defensive rebound by N. Batum,,58-41,,
0:31.0,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum),3,61-41,,
0:12.0,,,61-41,,J. Jerebko misses 2-pt shot from 16 ft
0:11.0,,,61-41,,Offensive rebound by M. Smart
0:11.0,,,61-41,,M. Smart misses 2-pt shot at rim
0:09.0,Defensive rebound by J. Lin,,61-41,,
0:03.0,Shooting foul by E. Turner (drawn by J. Lin),,61-41,,
0:03.0,J. Lin makes free throw 1 of 2,1,62-41,,
0:03.0,J. Lin makes free throw 2 of 2,1,63-41,,
0:00.0,,,63-41,,M. Smart misses 2-pt shot from 1 ft
0:00.0,,,63-41,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,C. Lee makes 2-pt shot from 3 ft (assist by N. Batum),2,65-41,,
11:40.0,Personal take foul by K. Walker,,65-41,,
11:40.0,J. Lin enters the game for N. Batum,,65-41,,
11:25.0,,,65-43,2,I. Thomas makes 2-pt shot at rim (assist by J. Sullinger)
11:04.0,A. Jefferson makes 2-pt shot from 8 ft (assist by K. Walker),2,67-43,,
10:50.0,,,67-43,,I. Thomas misses 2-pt shot from 6 ft
10:49.0,Defensive rebound by A. Jefferson,,67-43,,
10:48.0,,,67-43,,Personal foul by I. Thomas
10:35.0,K. Walker makes 2-pt shot at rim,2,69-43,,
10:20.0,,,69-43,,A. Johnson misses 2-pt shot from 6 ft
10:18.0,Defensive rebound by A. Jefferson,,69-43,,
10:07.0,A. Jefferson misses 2-pt shot from 8 ft,,69-43,,
10:06.0,,,69-43,,Defensive rebound by J. Crowder
9:56.0,,,69-43,,Shooting foul by A. Jefferson (drawn by I. Thomas)
9:56.0,,,69-44,1,I. Thomas makes free throw 1 of 2
9:56.0,,,69-44,,I. Thomas misses free throw 2 of 2
9:56.0,Defensive rebound by A. Jefferson,,69-44,,
9:34.0,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker),3,72-44,,
9:13.0,,,72-44,,J. Sullinger misses 2-pt shot from 1 ft
9:12.0,,,72-44,,Offensive rebound by J. Sullinger
9:12.0,,,72-46,2,J. Sullinger makes 2-pt shot from 1 ft
8:50.0,Turnover by K. Walker (lost ball; steal by A. Johnson),,72-46,,
8:44.0,,,72-48,2,A. Johnson makes 2-pt shot at rim (assist by I. Thomas)
8:31.0,M. Williams misses 2-pt shot at rim,,72-48,,
8:30.0,Offensive rebound by A. Jefferson,,72-48,,
8:29.0,A. Jefferson misses 2-pt shot from 2 ft (block by J. Crowder),,72-48,,
8:28.0,Offensive rebound by Team,,72-48,,
8:18.0,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker),3,75-48,,
8:05.0,Personal foul by M. Williams,,75-48,,
7:55.0,,,75-50,2,A. Bradley makes 2-pt shot at rim (assist by J. Sullinger)
7:36.0,M. Williams misses 3-pt shot from 24 ft,,75-50,,
7:35.0,,,75-50,,Defensive rebound by A. Johnson
7:28.0,,,75-50,,J. Sullinger misses 3-pt shot from 25 ft
7:27.0,Defensive rebound by A. Jefferson,,75-50,,
7:17.0,Turnover by C. Lee (discontinued dribble),,75-50,,
7:10.0,,,75-52,2,A. Bradley makes 2-pt shot from 17 ft (assist by A. Johnson)
6:55.0,J. Lin misses 2-pt shot from 3 ft,,75-52,,
6:54.0,Offensive rebound by M. Williams,,75-52,,
6:53.0,M. Williams misses 2-pt shot from 1 ft,,75-52,,
6:51.0,,,75-52,,Defensive rebound by J. Sullinger
6:39.0,,,75-52,,Shooting foul by A. Jefferson (drawn by I. Thomas)
6:39.0,,,75-53,1,I. Thomas makes free throw 1 of 2
6:39.0,,,75-53,,I. Thomas misses free throw 2 of 2
6:37.0,,,75-53,,Offensive rebound by A. Johnson
6:37.0,,,75-53,,A. Johnson misses 2-pt shot from 2 ft
6:36.0,Defensive rebound by C. Lee,,75-53,,
6:17.0,A. Jefferson makes 2-pt shot from 8 ft,2,77-53,,
6:08.0,,,77-53,,I. Thomas misses 2-pt shot at rim
6:07.0,Defensive rebound by A. Jefferson,,77-53,,
5:58.0,C. Lee makes 3-pt shot from 23 ft (assist by M. Williams),3,80-53,,
5:57.0,,,80-53,,Boston full timeout
5:45.0,,,80-56,3,I. Thomas makes 3-pt shot from 24 ft (assist by J. Sullinger)
5:28.0,Turnover by A. Jefferson (lost ball),,80-56,,
5:19.0,,,80-56,,Shooting foul by A. Jefferson (drawn by A. Johnson)
5:19.0,,,80-57,1,A. Johnson makes free throw 1 of 2
5:19.0,S. Hawes enters the game for A. Jefferson,,80-57,,
5:19.0,,,80-57,,A. Johnson misses free throw 2 of 2
5:17.0,Defensive rebound by S. Hawes,,80-57,,
5:05.0,J. Lin makes 2-pt shot from 1 ft (assist by K. Walker),2,82-57,,
4:57.0,,,82-59,2,I. Thomas makes 2-pt shot from 1 ft
4:57.0,,,82-59,,Shooting foul by S. Hawes (drawn by I. Thomas)
4:57.0,,,82-59,,K. Olynyk enters the game for J. Crowder
4:57.0,,,82-59,,M. Smart enters the game for A. Bradley
4:57.0,,,82-59,,E. Turner enters the game for J. Sullinger
4:57.0,,,82-60,1,I. Thomas makes free throw 1 of 1
4:45.0,J. Lin makes 2-pt shot from 2 ft,2,84-60,,
4:36.0,,,84-60,,Turnover by I. Thomas (lost ball; steal by M. Williams)
4:30.0,C. Lee misses 3-pt shot from 24 ft,,84-60,,
4:29.0,,,84-60,,Defensive rebound by A. Johnson
4:23.0,,,84-62,2,E. Turner makes 2-pt shot from 18 ft (assist by I. Thomas)
4:03.0,K. Walker misses 2-pt shot from 20 ft,,84-62,,
4:02.0,,,84-62,,Defensive rebound by E. Turner
3:55.0,,,84-62,,Offensive foul by I. Thomas
3:55.0,,,84-62,,Turnover by I. Thomas (offensive foul)
3:55.0,,,84-62,,Technical foul by I. Thomas
3:55.0,K. Walker makes technical free throw,1,85-62,,
3:55.0,,,85-62,,A. Bradley enters the game for I. Thomas
3:40.0,J. Lin misses 3-pt shot from 25 ft,,85-62,,
3:40.0,,,85-62,,Defensive rebound by K. Olynyk
3:26.0,,,85-62,,M. Smart misses 2-pt shot from 5 ft (block by M. Williams)
3:25.0,Defensive rebound by S. Hawes,,85-62,,
3:16.0,S. Hawes makes 3-pt shot from 25 ft (assist by J. Lin),3,88-62,,
3:14.0,,,88-62,,Boston full timeout
3:14.0,F. Kaminsky enters the game for M. Williams,,88-62,,
3:14.0,T. Daniels enters the game for C. Lee,,88-62,,
3:02.0,,,88-62,,A. Bradley misses 2-pt shot from 18 ft
3:01.0,Defensive rebound by F. Kaminsky,,88-62,,
2:38.0,F. Kaminsky misses 2-pt shot from 14 ft,,88-62,,
2:37.0,,,88-62,,Defensive rebound by K. Olynyk
2:24.0,,,88-65,3,E. Turner makes 3-pt shot from 23 ft (assist by M. Smart)
2:10.0,Offensive foul by J. Lin,,88-65,,
2:10.0,Turnover by J. Lin (offensive foul),,88-65,,
2:00.0,,,88-67,2,A. Bradley makes 2-pt shot from 17 ft (assist by A. Johnson)
1:59.0,Charlotte full timeout,,88-67,,
1:42.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by J. Lin),3,91-67,,
1:21.0,,,91-67,,A. Bradley misses 2-pt shot from 18 ft
1:20.0,Defensive rebound by K. Walker,,91-67,,
1:12.0,K. Walker misses 2-pt shot from 19 ft,,91-67,,
1:11.0,,,91-67,,Defensive rebound by A. Johnson
1:07.0,Personal foul by J. Lin,,91-67,,
1:07.0,,,91-68,1,E. Turner makes free throw 1 of 2
1:07.0,,,91-68,,J. Jerebko enters the game for A. Johnson
1:07.0,,,91-69,1,E. Turner makes free throw 2 of 2
0:51.0,K. Walker misses 2-pt shot from 18 ft,,91-69,,
0:50.0,,,91-69,,Defensive rebound by A. Bradley
0:43.0,,,91-69,,K. Olynyk misses 3-pt shot from 26 ft
0:42.0,Defensive rebound by F. Kaminsky,,91-69,,
0:31.0,K. Walker misses 2-pt shot from 2 ft,,91-69,,
0:30.0,Offensive rebound by F. Kaminsky,,91-69,,
0:26.0,S. Hawes misses 2-pt shot from 10 ft,,91-69,,
0:25.0,Offensive rebound by S. Hawes,,91-69,,
0:03.0,K. Walker makes 3-pt shot from 26 ft,3,94-69,,
0:01.0,Shooting block foul by F. Kaminsky (drawn by M. Smart),,94-69,,
0:01.0,,,94-70,1,M. Smart makes free throw 1 of 3
0:01.0,,,94-71,1,M. Smart makes free throw 2 of 3
0:01.0,,,94-72,1,M. Smart makes free throw 3 of 3
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,94-72,,M. Smart misses 3-pt shot from 25 ft
11:42.0,Defensive rebound by S. Hawes,,94-72,,
11:24.0,T. Daniels makes 2-pt shot from 17 ft (assist by C. Lee),2,96-72,,
11:13.0,,,96-74,2,E. Turner makes 2-pt shot from 1 ft
10:53.0,T. Daniels makes 3-pt shot from 27 ft (assist by J. Lin),3,99-74,,
10:52.0,Violation by Team (delay of game),,99-74,,
10:44.0,,,99-74,,J. Jerebko misses 3-pt shot from 25 ft
10:43.0,Defensive rebound by T. Daniels,,99-74,,
10:31.0,J. Lin misses 3-pt shot from 25 ft,,99-74,,
10:30.0,,,99-74,,Defensive rebound by K. Olynyk
10:17.0,,,99-76,2,E. Turner makes 2-pt shot from 5 ft
10:05.0,F. Kaminsky misses 3-pt shot from 24 ft,,99-76,,
10:04.0,,,99-76,,Defensive rebound by K. Olynyk
9:56.0,,,99-79,3,R. Hunter makes 3-pt shot from 23 ft
9:35.0,J. Lin misses 2-pt shot from 20 ft,,99-79,,
9:34.0,,,99-79,,Defensive rebound by J. Jerebko
9:28.0,,,99-81,2,K. Olynyk makes 2-pt shot at rim (assist by E. Turner)
9:28.0,Charlotte full timeout,,99-81,,
9:09.0,Shooting foul by K. Olynyk (drawn by F. Kaminsky),,99-81,,
9:09.0,F. Kaminsky makes free throw 1 of 2,1,100-81,,
9:09.0,F. Kaminsky misses free throw 2 of 2,,100-81,,
9:09.0,,,100-81,,Defensive rebound by J. Jerebko
8:58.0,Personal block foul by S. Hawes,,100-81,,
8:46.0,,,100-81,,R. Hunter misses 2-pt shot from 20 ft
8:44.0,,,100-81,,Offensive rebound by Team
8:41.0,,,100-81,,K. Olynyk misses 3-pt shot from 23 ft
8:40.0,Defensive rebound by C. Lee,,100-81,,
8:23.0,T. Daniels misses 3-pt shot from 25 ft,,100-81,,
8:21.0,,,100-81,,Defensive rebound by Team
8:08.0,,,100-81,,E. Turner misses 2-pt shot from 3 ft
8:07.0,,,100-81,,Offensive rebound by K. Olynyk
8:06.0,,,100-81,,K. Olynyk misses 2-pt shot at rim
8:05.0,,,100-81,,Offensive rebound by E. Turner
8:05.0,,,100-83,2,E. Turner makes 2-pt shot at rim
7:38.0,C. Lee misses 2-pt shot from 20 ft,,100-83,,
7:37.0,,,100-83,,Defensive rebound by R. Hunter
7:26.0,,,100-85,2,K. Olynyk makes 2-pt shot from 2 ft (assist by M. Smart)
7:05.0,T. Daniels makes 3-pt shot from 26 ft (assist by J. Lin),3,103-85,,
6:45.0,,,103-85,,E. Turner misses 2-pt shot at rim
6:45.0,Defensive rebound by F. Kaminsky,,103-85,,
6:45.0,,,103-85,,Personal foul by M. Smart
6:45.0,M. Williams enters the game for S. Hawes,,103-85,,
6:45.0,K. Walker enters the game for T. Daniels,,103-85,,
6:45.0,A. Jefferson enters the game for F. Kaminsky,,103-85,,
6:22.0,A. Jefferson misses 2-pt shot from 7 ft,,103-85,,
6:21.0,,,103-85,,Defensive rebound by R. Hunter
6:15.0,,,103-85,,K. Olynyk misses 2-pt shot from 1 ft
6:12.0,,,103-85,,Offensive rebound by M. Smart
6:10.0,,,103-88,3,R. Hunter makes 3-pt shot from 25 ft (assist by M. Smart)
5:51.0,C. Lee misses 2-pt shot from 2 ft,,103-88,,
5:51.0,,,103-88,,Defensive rebound by K. Olynyk
5:47.0,,,103-88,,K. Olynyk misses 3-pt shot from 24 ft
5:45.0,Defensive rebound by Team,,103-88,,
5:45.0,Official timeout,,103-88,,
5:26.0,A. Jefferson makes 2-pt shot at rim,2,105-88,,
5:11.0,,,105-88,,Turnover by E. Turner (lost ball; steal by J. Lin)
4:55.0,Turnover by A. Jefferson (lost ball; steal by J. Jerebko),,105-88,,
4:52.0,Shooting block foul by J. Lin (drawn by M. Smart),,105-88,,
4:52.0,,,105-89,1,M. Smart makes free throw 1 of 2
4:52.0,,,105-90,1,M. Smart makes free throw 2 of 2
4:30.0,K. Walker misses 2-pt shot from 18 ft,,105-90,,
4:29.0,,,105-90,,Defensive rebound by E. Turner
4:18.0,,,105-90,,E. Turner misses 2-pt shot from 7 ft
4:15.0,Defensive rebound by J. Lin,,105-90,,
4:10.0,,,105-90,,Personal foul by E. Turner
3:52.0,M. Williams misses 3-pt shot from 23 ft,,105-90,,
3:51.0,,,105-90,,Defensive rebound by K. Olynyk
3:44.0,,,105-90,,K. Olynyk misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by Team,,105-90,,
3:27.0,,,105-90,,Violation by J. Jerebko (kicked ball)
3:27.0,,,105-90,,T. Zeller enters the game for K. Olynyk
3:21.0,J. Lin misses 3-pt shot from 25 ft,,105-90,,
3:21.0,,,105-90,,Defensive rebound by T. Zeller
3:13.0,,,105-90,,E. Turner misses 2-pt shot from 2 ft (block by M. Williams)
3:12.0,Defensive rebound by J. Lin,,105-90,,
