time,Dallas,pts.away,score,pts.home,LA Clippers
4:43.0,,,12-13,,C. Paul misses 3-pt shot from 24 ft
4:41.0,Defensive rebound by D. Lee,,12-13,,
4:23.0,R. Felton misses 3-pt shot from 25 ft,,12-13,,
4:20.0,,,12-13,,Defensive rebound by C. Paul
4:03.0,,,12-13,,B. Griffin misses 2-pt shot from 21 ft
4:01.0,Defensive rebound by R. Felton,,12-13,,
3:45.0,,,12-13,,Personal foul by C. Paul
3:45.0,,,12-13,,J. Crawford enters the game for J. Redick
3:45.0,,,12-13,,J. Green enters the game for B. Griffin
3:30.0,D. Harris misses 3-pt shot from 24 ft,,12-13,,
3:30.0,Offensive rebound by Team,,12-13,,
3:30.0,Turnover by Team (shot clock),,12-13,,
3:19.0,,,12-15,2,C. Paul makes 2-pt shot from 16 ft
3:04.0,Turnover by W. Matthews (lost ball; steal by J. Green),,12-15,,
3:00.0,,,12-17,2,J. Green makes 2-pt shot at rim
3:00.0,Dallas full timeout,,12-17,,
3:00.0,,,12-17,,A. Rivers enters the game for C. Paul
2:38.0,Turnover by R. Felton (lost ball; steal by J. Green),,12-17,,
2:32.0,,,12-20,3,J. Crawford makes 3-pt shot from 24 ft (assist by J. Green)
2:11.0,R. Felton makes 2-pt shot from 1 ft (assist by W. Matthews),2,14-20,,
2:11.0,Shooting foul by A. Rivers (drawn by R. Felton),,14-20,,
2:11.0,D. Nowitzki enters the game for Z. Pachulia,,14-20,,
2:11.0,J. Anderson enters the game for W. Matthews,,14-20,,
2:11.0,R. Felton misses free throw 1 of 1,,14-20,,
2:08.0,,,14-20,,Defensive rebound by J. Green
1:54.0,,,14-20,,Offensive foul by D. Jordan
1:54.0,,,14-20,,Turnover by D. Jordan (offensive foul)
1:44.0,Turnover by R. Felton (lost ball; steal by J. Green),,14-20,,
1:40.0,,,14-22,2,J. Green makes 2-pt shot at rim
1:16.0,R. Felton makes 3-pt shot from 26 ft (assist by D. Harris),3,17-22,,
0:59.0,,,17-22,,J. Green misses 2-pt shot from 7 ft
0:56.0,Defensive rebound by J. Anderson,,17-22,,
0:50.0,R. Felton makes 2-pt shot from 2 ft,2,19-22,,
0:38.0,,,19-22,,J. Green misses 3-pt shot from 26 ft
0:36.0,Defensive rebound by J. Anderson,,19-22,,
0:29.0,,,19-22,,Personal foul by A. Rivers
0:29.0,R. Felton makes free throw 1 of 2,1,20-22,,
0:29.0,R. Felton makes free throw 2 of 2,1,21-22,,
0:08.0,,,21-22,,Shooting foul by D. Harris (drawn by J. Crawford)
0:08.0,,,21-23,1,J. Crawford makes free throw 1 of 3
0:08.0,,,21-23,,J. Crawford misses free throw 2 of 3
0:08.0,,,21-23,,Offensive rebound by Team
0:08.0,,,21-23,,L. Mbah a Moute enters the game for A. Rivers
0:08.0,,,21-23,,C. Aldrich enters the game for D. Jordan
0:08.0,,,21-23,,J. Crawford misses free throw 3 of 3
0:07.0,Defensive rebound by J. Anderson,,21-23,,
0:01.0,D. Nowitzki misses 3-pt shot from 25 ft,,21-23,,
0:00.0,Offensive rebound by Team,,21-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,21-23,,A. Rivers misses 2-pt shot from 5 ft (block by R. Felton)
11:40.0,Defensive rebound by J. Anderson,,21-23,,
11:40.0,Shooting foul by J. Crawford (drawn by J. Anderson),,21-23,,
11:40.0,J. Anderson makes free throw 1 of 2,1,22-23,,
11:40.0,D. Williams enters the game for D. Harris,,22-23,,
11:40.0,J. Anderson makes free throw 2 of 2,1,23-23,,
11:27.0,,,23-26,3,J. Crawford makes 3-pt shot from 27 ft
11:09.0,J. Anderson misses 3-pt shot from 26 ft,,23-26,,
11:07.0,,,23-26,,Defensive rebound by C. Aldrich
10:54.0,,,23-26,,J. Crawford misses 3-pt shot from 25 ft
10:53.0,Defensive rebound by R. Felton,,23-26,,
10:47.0,,,23-26,,Personal block foul by C. Aldrich
10:47.0,,,23-26,,P. Prigioni enters the game for W. Johnson
10:47.0,S. Mejri enters the game for D. Lee,,23-26,,
10:40.0,R. Felton makes 2-pt shot from 5 ft,2,25-26,,
10:30.0,,,25-26,,A. Rivers misses 2-pt shot from 7 ft
10:28.0,Defensive rebound by R. Felton,,25-26,,
10:21.0,R. Felton makes 2-pt shot from 6 ft,2,27-26,,
9:59.0,,,27-26,,J. Green misses 2-pt shot from 3 ft (block by S. Mejri)
9:57.0,,,27-26,,Offensive rebound by C. Aldrich
9:53.0,,,27-29,3,J. Crawford makes 3-pt shot from 28 ft (assist by C. Aldrich)
9:44.0,,,27-29,,Shooting block foul by P. Prigioni (drawn by S. Mejri)
9:44.0,S. Mejri misses free throw 1 of 2,,27-29,,
9:44.0,Offensive rebound by Team,,27-29,,
9:44.0,,,27-29,,C. Paul enters the game for A. Rivers
9:44.0,S. Mejri makes free throw 2 of 2,1,28-29,,
9:33.0,,,28-29,,Turnover by J. Crawford (lost ball; steal by J. Anderson)
9:21.0,,,28-29,,Def 3 sec tech foul by C. Aldrich
9:21.0,D. Nowitzki makes technical free throw,1,29-29,,
9:18.0,Turnover by S. Mejri (lost ball; steal by P. Prigioni),,29-29,,
9:09.0,Violation by S. Mejri (def goaltending),,29-29,,
9:09.0,,,29-31,2,C. Aldrich makes 2-pt shot from 3 ft (assist by C. Paul)
8:49.0,S. Mejri misses 2-pt shot from 2 ft,,29-31,,
8:46.0,,,29-31,,Defensive rebound by C. Aldrich
8:41.0,Violation by S. Mejri (def goaltending),,29-31,,
8:41.0,,,29-33,2,J. Crawford makes 2-pt shot from 2 ft
8:27.0,D. Williams makes 2-pt shot from 22 ft (assist by R. Felton),2,31-33,,
8:15.0,,,31-33,,J. Green misses 2-pt shot from 3 ft
8:12.0,Defensive rebound by S. Mejri,,31-33,,
8:06.0,D. Williams misses 3-pt shot from 24 ft,,31-33,,
8:04.0,,,31-33,,Defensive rebound by C. Aldrich
7:50.0,,,31-35,2,C. Aldrich makes 2-pt shot from 3 ft (assist by J. Crawford)
7:49.0,Dallas full timeout,,31-35,,
7:49.0,,,31-35,,J. Redick enters the game for J. Crawford
7:49.0,,,31-35,,B. Griffin enters the game for J. Green
7:49.0,D. Harris enters the game for J. Anderson,,31-35,,
7:49.0,D. Lee enters the game for D. Nowitzki,,31-35,,
7:49.0,W. Matthews enters the game for R. Felton,,31-35,,
7:23.0,D. Harris misses 2-pt shot from 18 ft,,31-35,,
7:23.0,Offensive rebound by Team,,31-35,,
7:23.0,Turnover by Team (shot clock),,31-35,,
7:12.0,,,31-35,,C. Aldrich misses 2-pt shot from 6 ft
7:09.0,Defensive rebound by D. Williams,,31-35,,
6:59.0,D. Williams makes 2-pt shot from 11 ft,2,33-35,,
6:43.0,,,33-37,2,B. Griffin makes 2-pt shot from 16 ft (assist by C. Paul)
6:19.0,W. Matthews makes 2-pt shot from 13 ft,2,35-37,,
6:04.0,,,35-37,,B. Griffin misses 2-pt shot from 16 ft
6:03.0,Defensive rebound by S. Mejri,,35-37,,
5:43.0,D. Williams misses 3-pt shot from 27 ft,,35-37,,
5:41.0,,,35-37,,Defensive rebound by C. Aldrich
5:37.0,,,35-37,,LA Clippers full timeout
5:37.0,Z. Pachulia enters the game for S. Mejri,,35-37,,
5:37.0,,,35-37,,D. Jordan enters the game for C. Aldrich
5:18.0,,,35-39,2,D. Jordan makes 2-pt shot from 2 ft (assist by B. Griffin)
4:55.0,D. Williams misses 2-pt shot from 15 ft,,35-39,,
4:53.0,,,35-39,,Defensive rebound by B. Griffin
4:49.0,,,35-39,,Shooting foul by D. Lee (drawn by D. Jordan)
4:49.0,,,35-40,1,D. Jordan makes free throw 1 of 2
4:49.0,R. Felton enters the game for D. Williams,,35-40,,
4:49.0,,,35-40,,D. Jordan misses free throw 2 of 2
4:48.0,Defensive rebound by D. Lee,,35-40,,
4:29.0,D. Lee misses 2-pt shot from 5 ft,,35-40,,
4:27.0,,,35-40,,Defensive rebound by D. Jordan
4:17.0,,,35-40,,B. Griffin misses 2-pt shot from 15 ft
4:16.0,,,35-40,,Offensive rebound by D. Jordan
4:16.0,Personal foul by W. Matthews,,35-40,,
4:16.0,D. Nowitzki enters the game for D. Lee,,35-40,,
4:16.0,S. Mejri enters the game for Z. Pachulia,,35-40,,
4:13.0,Personal foul by R. Felton,,35-40,,
3:59.0,,,35-40,,B. Griffin misses 2-pt shot from 3 ft
3:56.0,Defensive rebound by S. Mejri,,35-40,,
3:53.0,,,35-40,,Shooting block foul by P. Prigioni (drawn by R. Felton)
3:53.0,R. Felton makes free throw 1 of 2,1,36-40,,
3:53.0,R. Felton makes free throw 2 of 2,1,37-40,,
3:31.0,,,37-40,,B. Griffin misses 2-pt shot from 2 ft
3:29.0,Defensive rebound by D. Nowitzki,,37-40,,
3:23.0,D. Harris makes 3-pt shot from 24 ft (assist by R. Felton),3,40-40,,
3:12.0,Personal block foul by R. Felton,,40-40,,
3:12.0,,,40-40,,J. Crawford enters the game for P. Prigioni
2:54.0,,,40-40,,C. Paul misses 2-pt shot from 19 ft
2:51.0,Defensive rebound by D. Harris,,40-40,,
2:35.0,,,40-40,,Personal foul by B. Griffin
2:35.0,Official timeout,,40-40,,
2:35.0,D. Nowitzki makes free throw 1 of 2,1,41-40,,
2:35.0,D. Nowitzki makes free throw 2 of 2,1,42-40,,
2:20.0,,,42-43,3,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul)
2:04.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by W. Matthews),2,44-43,,
1:45.0,,,44-43,,C. Paul misses 2-pt shot from 20 ft
1:42.0,Defensive rebound by D. Harris,,44-43,,
1:22.0,D. Nowitzki misses 3-pt shot from 25 ft,,44-43,,
1:21.0,,,44-43,,Defensive rebound by D. Jordan
1:11.0,,,44-45,2,J. Crawford makes 2-pt shot from 16 ft
0:58.0,R. Felton misses 2-pt shot from 11 ft,,44-45,,
0:54.0,,,44-45,,Defensive rebound by D. Jordan
0:52.0,,,44-47,2,C. Paul makes 2-pt shot from 1 ft
0:52.0,Dallas full timeout,,44-47,,
0:34.0,W. Matthews makes 3-pt shot from 27 ft (assist by R. Felton),3,47-47,,
0:32.0,Personal take foul by S. Mejri,,47-47,,
0:32.0,,,47-47,,D. Jordan misses free throw 1 of 2
0:32.0,,,47-47,,Offensive rebound by Team
0:32.0,,,47-47,,L. Mbah a Moute enters the game for J. Crawford
0:32.0,,,47-47,,P. Prigioni enters the game for B. Griffin
0:32.0,,,47-47,,D. Jordan misses free throw 2 of 2
0:31.0,Defensive rebound by D. Harris,,47-47,,
0:15.0,R. Felton misses 2-pt shot from 2 ft (block by D. Jordan),,47-47,,
0:12.0,Offensive rebound by R. Felton,,47-47,,
0:08.0,D. Harris misses 3-pt shot from 25 ft,,47-47,,
0:08.0,,,47-47,,Defensive rebound by C. Paul
0:08.0,,,47-47,,LA Clippers full timeout
0:08.0,,,47-47,,W. Johnson enters the game for L. Mbah a Moute
0:08.0,,,47-47,,B. Griffin enters the game for D. Jordan
0:08.0,,,47-47,,J. Crawford enters the game for P. Prigioni
0:08.0,J. Anderson enters the game for D. Nowitzki,,47-47,,
0:02.0,,,47-49,2,J. Redick makes 2-pt shot from 5 ft (assist by C. Paul)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,47-49,,J. Redick misses 2-pt shot from 19 ft (block by Z. Pachulia)
11:42.0,,,47-49,,Offensive rebound by B. Griffin
11:39.0,,,47-49,,B. Griffin misses 2-pt shot from 19 ft
11:38.0,Defensive rebound by J. Anderson,,47-49,,
11:31.0,Shooting foul by B. Griffin (drawn by Z. Pachulia),,47-49,,
11:31.0,Z. Pachulia misses free throw 1 of 2,,47-49,,
11:31.0,Offensive rebound by Team,,47-49,,
11:31.0,Z. Pachulia makes free throw 2 of 2,1,48-49,,
11:12.0,,,48-51,2,D. Jordan makes 2-pt shot from 2 ft (assist by C. Paul)
11:12.0,,,48-51,,Violation by Team (delay of game)
11:00.0,D. Williams misses 2-pt shot from 15 ft,,48-51,,
10:57.0,,,48-51,,Defensive rebound by B. Griffin
10:42.0,,,48-51,,Shooting foul by D. Nowitzki (drawn by D. Jordan)
10:42.0,,,48-51,,D. Jordan misses free throw 1 of 2
10:42.0,,,48-51,,Offensive rebound by Team
10:42.0,,,48-51,,D. Jordan misses free throw 2 of 2
10:40.0,Defensive rebound by D. Nowitzki,,48-51,,
10:22.0,D. Nowitzki misses 2-pt shot from 13 ft,,48-51,,
10:18.0,Offensive rebound by Z. Pachulia,,48-51,,
10:17.0,Z. Pachulia misses 2-pt shot from 1 ft,,48-51,,
10:16.0,,,48-51,,Defensive rebound by B. Griffin
10:08.0,,,48-51,,Turnover by L. Mbah a Moute (traveling)
9:59.0,Turnover by D. Williams (bad pass),,48-51,,
9:47.0,,,48-51,,Shooting foul by J. Anderson (drawn by D. Jordan)
9:47.0,,,48-51,,D. Jordan misses free throw 1 of 2
9:47.0,,,48-51,,Offensive rebound by Team
9:47.0,,,48-51,,D. Jordan misses free throw 2 of 2
9:46.0,Defensive rebound by Z. Pachulia,,48-51,,
9:36.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Williams),3,51-51,,
9:22.0,Shooting block foul by D. Nowitzki (drawn by B. Griffin),,51-51,,
9:22.0,,,51-51,,B. Griffin misses free throw 1 of 2
9:22.0,,,51-51,,Offensive rebound by Team
9:22.0,,,51-52,1,B. Griffin makes free throw 2 of 2
9:05.0,Turnover by D. Williams (lost ball; steal by L. Mbah a Moute),,51-52,,
9:05.0,Personal foul by J. Anderson,,51-52,,
8:51.0,,,51-54,2,B. Griffin makes 2-pt shot from 3 ft
8:27.0,W. Matthews misses 2-pt shot from 14 ft,,51-54,,
8:26.0,,,51-54,,Defensive rebound by C. Paul
8:13.0,,,51-56,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
8:13.0,Dallas full timeout,,51-56,,
7:47.0,W. Matthews misses 2-pt shot from 18 ft,,51-56,,
7:47.0,Offensive rebound by Team,,51-56,,
7:47.0,R. Felton enters the game for J. Anderson,,51-56,,
7:46.0,Shooting foul by L. Mbah a Moute (drawn by W. Matthews),,51-56,,
7:46.0,W. Matthews makes free throw 1 of 2,1,52-56,,
7:46.0,W. Matthews makes free throw 2 of 2,1,53-56,,
7:45.0,Personal take foul by D. Williams,,53-56,,
7:45.0,,,53-56,,D. Jordan misses free throw 1 of 2
7:45.0,,,53-56,,Offensive rebound by Team
7:45.0,,,53-56,,D. Jordan misses free throw 2 of 2
7:44.0,Defensive rebound by Z. Pachulia,,53-56,,
7:27.0,D. Nowitzki misses 3-pt shot from 26 ft,,53-56,,
7:25.0,,,53-56,,Defensive rebound by C. Paul
7:21.0,,,53-56,,Turnover by B. Griffin (bad pass)
7:01.0,R. Felton misses 3-pt shot from 25 ft,,53-56,,
7:00.0,,,53-56,,Defensive rebound by B. Griffin
6:43.0,,,53-59,3,J. Redick makes 3-pt shot from 28 ft (assist by B. Griffin)
6:24.0,W. Matthews misses 3-pt shot from 26 ft,,53-59,,
6:23.0,,,53-59,,Defensive rebound by C. Paul
6:20.0,S. Mejri enters the game for Z. Pachulia,,53-59,,
6:12.0,Personal take foul by R. Felton,,53-59,,
6:12.0,,,53-59,,D. Jordan misses free throw 1 of 2
6:12.0,,,53-59,,Offensive rebound by Team
6:12.0,,,53-59,,D. Jordan misses free throw 2 of 2
6:10.0,,,53-59,,Offensive rebound by B. Griffin
6:06.0,,,53-62,3,J. Redick makes 3-pt shot from 24 ft (assist by B. Griffin)
5:40.0,R. Felton makes 2-pt shot from 5 ft (assist by W. Matthews),2,55-62,,
5:37.0,Personal take foul by S. Mejri,,55-62,,
5:37.0,,,55-63,1,D. Jordan makes free throw 1 of 2
5:37.0,D. Lee enters the game for D. Nowitzki,,55-63,,
5:37.0,,,55-63,,D. Jordan misses free throw 2 of 2
5:36.0,Defensive rebound by D. Lee,,55-63,,
5:31.0,Turnover by D. Lee (lost ball; steal by B. Griffin),,55-63,,
5:27.0,,,55-63,,Turnover by B. Griffin (lost ball; steal by S. Mejri)
5:24.0,Turnover by W. Matthews (lost ball; steal by L. Mbah a Moute),,55-63,,
5:24.0,Technical foul by W. Matthews,,55-63,,
5:24.0,,,55-64,1,C. Paul makes technical free throw
5:24.0,D. Harris enters the game for D. Williams,,55-64,,
5:15.0,,,55-64,,C. Paul misses 3-pt shot from 27 ft
5:14.0,Defensive rebound by S. Mejri,,55-64,,
4:56.0,R. Felton misses 3-pt shot from 27 ft,,55-64,,
4:54.0,,,55-64,,Defensive rebound by B. Griffin
4:39.0,,,55-64,,C. Paul misses 3-pt shot from 25 ft
4:38.0,Defensive rebound by Team,,55-64,,
4:38.0,,,55-64,,J. Crawford enters the game for L. Mbah a Moute
4:13.0,D. Harris makes 2-pt shot from 20 ft,2,57-64,,
4:13.0,Violation by Team (delay of game),,57-64,,
4:07.0,Shooting block foul by S. Mejri (drawn by B. Griffin),,57-64,,
4:07.0,,,57-65,1,B. Griffin makes free throw 1 of 2
4:07.0,,,57-65,,J. Green enters the game for J. Redick
4:07.0,,,57-65,,B. Griffin misses free throw 2 of 2
4:05.0,Defensive rebound by D. Lee,,57-65,,
3:58.0,Turnover by R. Felton (lost ball; steal by B. Griffin),,57-65,,
3:56.0,,,57-65,,Turnover by B. Griffin (lost ball; steal by D. Lee)
3:46.0,Shooting foul by B. Griffin (drawn by D. Lee),,57-65,,
3:46.0,D. Lee makes free throw 1 of 2,1,58-65,,
3:46.0,,,58-65,,W. Johnson enters the game for B. Griffin
3:46.0,D. Lee makes free throw 2 of 2,1,59-65,,
3:45.0,Personal take foul by D. Harris,,59-65,,
3:45.0,,,59-66,1,D. Jordan makes free throw 1 of 2
3:45.0,,,59-67,1,D. Jordan makes free throw 2 of 2
3:28.0,D. Lee misses 2-pt shot from 5 ft (block by W. Johnson),,59-67,,
3:27.0,,,59-67,,Defensive rebound by D. Jordan
3:24.0,,,59-69,2,J. Green makes 2-pt shot from 3 ft (assist by C. Paul)
3:24.0,,,59-69,,Shooting foul by D. Harris (drawn by J. Green)
3:24.0,,,59-70,1,J. Green makes free throw 1 of 1
3:05.0,R. Felton misses 3-pt shot from 26 ft,,59-70,,
3:03.0,Offensive rebound by D. Lee,,59-70,,
2:50.0,Turnover by W. Matthews (lost ball; steal by J. Crawford),,59-70,,
2:44.0,,,59-70,,C. Paul misses 2-pt shot from 2 ft
2:39.0,Defensive rebound by D. Lee,,59-70,,
2:34.0,W. Matthews misses 3-pt shot from 28 ft,,59-70,,
2:31.0,,,59-70,,Defensive rebound by D. Jordan
2:22.0,,,59-70,,J. Crawford misses 2-pt shot from 12 ft
2:21.0,Defensive rebound by S. Mejri,,59-70,,
2:11.0,D. Harris misses 3-pt shot from 24 ft,,59-70,,
2:11.0,,,59-70,,Defensive rebound by C. Paul
2:11.0,,,59-70,,LA Clippers full timeout
2:11.0,,,59-70,,A. Rivers enters the game for C. Paul
2:11.0,J. Anderson enters the game for W. Matthews,,59-70,,
2:11.0,D. Nowitzki enters the game for D. Lee,,59-70,,
2:11.0,D. Williams enters the game for S. Mejri,,59-70,,
1:52.0,,,59-72,2,D. Jordan makes 2-pt shot from 2 ft (assist by J. Crawford)
1:52.0,,,59-72,,Shooting foul by D. Williams (drawn by D. Jordan)
1:52.0,,,59-72,,C. Aldrich enters the game for D. Jordan
1:52.0,,,59-72,,D. Jordan misses free throw 1 of 1
1:52.0,Defensive rebound by Team,,59-72,,
1:41.0,J. Anderson misses 3-pt shot from 26 ft,,59-72,,
1:39.0,,,59-72,,Defensive rebound by C. Aldrich
1:33.0,Personal foul by D. Williams,,59-72,,
1:33.0,,,59-73,1,J. Crawford makes free throw 1 of 2
1:33.0,,,59-74,1,J. Crawford makes free throw 2 of 2
1:23.0,Shooting foul by C. Aldrich (drawn by J. Anderson),,59-74,,
1:23.0,J. Anderson misses free throw 1 of 2,,59-74,,
1:23.0,Offensive rebound by Team,,59-74,,
1:23.0,J. Anderson misses free throw 2 of 2,,59-74,,
1:20.0,,,59-74,,Defensive rebound by C. Aldrich
1:00.0,,,59-76,2,J. Crawford makes 2-pt shot from 6 ft
1:00.0,Dallas full timeout,,59-76,,
1:00.0,C. Villanueva enters the game for J. Anderson,,59-76,,
0:46.0,Turnover by R. Felton (lost ball; steal by A. Rivers),,59-76,,
0:41.0,,,59-76,,A. Rivers misses 2-pt shot from 1 ft (block by R. Felton)
0:41.0,,,59-76,,Offensive rebound by Team
0:35.0,,,59-76,,J. Crawford misses 3-pt shot from 26 ft
0:33.0,Defensive rebound by D. Nowitzki,,59-76,,
0:23.0,C. Villanueva misses 2-pt shot from 3 ft (block by C. Aldrich),,59-76,,
0:18.0,,,59-76,,Defensive rebound by W. Johnson
0:02.0,,,59-76,,J. Crawford misses 2-pt shot from 16 ft
0:01.0,,,59-76,,Offensive rebound by C. Aldrich
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,D. Nowitzki makes 2-pt shot from 2 ft (assist by C. Villanueva),2,61-76,,
11:20.0,,,61-78,2,J. Green makes 2-pt shot from 14 ft
11:01.0,D. Harris makes 3-pt shot from 26 ft (assist by C. Villanueva),3,64-78,,
10:30.0,,,64-78,,J. Green misses 2-pt shot from 7 ft
10:28.0,Defensive rebound by D. Nowitzki,,64-78,,
10:19.0,C. Villanueva misses 2-pt shot from 3 ft (block by J. Green),,64-78,,
10:19.0,Offensive rebound by Team,,64-78,,
10:19.0,,,64-78,,B. Griffin enters the game for C. Aldrich
10:11.0,D. Williams makes 2-pt shot from 17 ft (assist by D. Nowitzki),2,66-78,,
9:47.0,,,66-80,2,J. Green makes 2-pt shot from 14 ft
9:37.0,D. Williams makes 2-pt shot from 1 ft,2,68-80,,
9:15.0,,,68-80,,A. Rivers misses 3-pt shot from 28 ft
9:13.0,Defensive rebound by D. Williams,,68-80,,
9:00.0,Shooting foul by W. Johnson (drawn by D. Williams),,68-80,,
9:00.0,D. Williams misses free throw 1 of 2,,68-80,,
9:00.0,Offensive rebound by Team,,68-80,,
9:00.0,D. Williams misses free throw 2 of 2,,68-80,,
8:59.0,,,68-80,,Defensive rebound by B. Griffin
8:42.0,,,68-83,3,W. Johnson makes 3-pt shot from 25 ft (assist by B. Griffin)
8:41.0,Dallas full timeout,,68-83,,
8:41.0,J. Anderson enters the game for D. Nowitzki,,68-83,,
8:41.0,D. Powell enters the game for R. Felton,,68-83,,
8:28.0,C. Villanueva misses 2-pt shot from 1 ft,,68-83,,
8:26.0,Offensive rebound by C. Villanueva,,68-83,,
8:26.0,C. Villanueva makes 2-pt shot at rim,2,70-83,,
8:13.0,,,70-83,,Turnover by A. Rivers (lost ball; steal by D. Williams)
8:11.0,Shooting foul by W. Johnson (drawn by J. Anderson),,70-83,,
8:11.0,J. Anderson makes free throw 1 of 2,1,71-83,,
8:11.0,J. Anderson misses free throw 2 of 2,,71-83,,
8:09.0,,,71-83,,Defensive rebound by Team
7:55.0,,,71-83,,Turnover by J. Crawford (lost ball; steal by D. Harris)
7:51.0,D. Powell makes 2-pt shot at rim (assist by J. Anderson),2,73-83,,
7:38.0,,,73-83,,J. Crawford misses 2-pt shot from 12 ft
7:36.0,Defensive rebound by D. Powell,,73-83,,
7:36.0,,,73-83,,Technical foul by J. Crawford
7:36.0,D. Williams makes technical free throw,1,74-83,,
7:36.0,,,74-83,,C. Paul enters the game for A. Rivers
7:36.0,,,74-83,,J. Redick enters the game for W. Johnson
