time,Charlotte,pts.away,score,pts.home,Orlando
7:20.0,P. Hairston misses 3-pt shot from 24 ft,,8-12,,
7:18.0,Offensive rebound by P. Hairston,,8-12,,
7:16.0,Turnover by P. Hairston (bad pass; steal by C. Frye),,8-12,,
7:10.0,,,8-12,,Turnover by T. Harris (lost ball; steal by C. Zeller)
7:02.0,K. Walker misses 2-pt shot from 18 ft,,8-12,,
7:01.0,,,8-12,,Defensive rebound by C. Frye
6:40.0,,,8-15,3,T. Harris makes 3-pt shot from 23 ft (assist by N. Vucevic)
6:33.0,Charlotte full timeout,,8-15,,
6:24.0,Turnover by N. Batum (bad pass; steal by N. Vucevic),,8-15,,
6:19.0,,,8-15,,E. Payton misses 2-pt shot from 1 ft (block by M. Williams)
6:19.0,,,8-15,,Offensive rebound by Team
6:05.0,,,8-17,2,N. Vucevic makes 2-pt shot at rim (assist by E. Fournier)
5:48.0,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum),3,11-17,,
5:29.0,,,11-20,3,T. Harris makes 3-pt shot from 22 ft (assist by E. Payton)
5:17.0,N. Batum misses 2-pt shot from 20 ft,,11-20,,
5:17.0,,,11-20,,Defensive rebound by N. Vucevic
5:07.0,,,11-23,3,E. Fournier makes 3-pt shot from 24 ft (assist by N. Vucevic)
4:50.0,P. Hairston misses 3-pt shot from 25 ft,,11-23,,
4:50.0,,,11-23,,Defensive rebound by E. Payton
4:33.0,,,11-23,,N. Vucevic misses 2-pt shot from 1 ft (block by M. Williams)
4:31.0,Defensive rebound by C. Zeller,,11-23,,
4:29.0,P. Hairston makes 2-pt shot from 1 ft (assist by K. Walker),2,13-23,,
4:29.0,Shooting foul by E. Payton (drawn by P. Hairston),,13-23,,
4:29.0,F. Kaminsky enters the game for M. Williams,,13-23,,
4:29.0,,,13-23,,V. Oladipo enters the game for E. Fournier
4:29.0,,,13-23,,A. Nicholson enters the game for C. Frye
4:29.0,P. Hairston makes free throw 1 of 1,1,14-23,,
4:17.0,,,14-23,,T. Harris misses 2-pt shot from 1 ft
4:16.0,Defensive rebound by F. Kaminsky,,14-23,,
4:03.0,K. Walker misses 3-pt shot from 24 ft,,14-23,,
4:02.0,Offensive rebound by N. Batum,,14-23,,
3:55.0,P. Hairston makes 3-pt shot from 25 ft (assist by K. Walker),3,17-23,,
3:35.0,,,17-23,,T. Harris misses 3-pt shot from 24 ft
3:34.0,Defensive rebound by K. Walker,,17-23,,
3:29.0,K. Walker misses 2-pt shot from 2 ft (block by T. Harris),,17-23,,
3:28.0,,,17-23,,Defensive rebound by A. Nicholson
3:22.0,,,17-25,2,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Payton)
3:09.0,Shooting foul by A. Nicholson (drawn by K. Walker),,17-25,,
3:09.0,K. Walker misses free throw 1 of 2,,17-25,,
3:09.0,Offensive rebound by Team,,17-25,,
3:09.0,S. Hawes enters the game for P. Hairston,,17-25,,
3:09.0,J. Lin enters the game for C. Zeller,,17-25,,
3:09.0,,,17-25,,M. Hezonja enters the game for E. Payton
3:09.0,,,17-25,,A. Gordon enters the game for T. Harris
3:09.0,K. Walker misses free throw 2 of 2,,17-25,,
3:08.0,,,17-25,,Defensive rebound by A. Gordon
2:50.0,,,17-25,,N. Vucevic misses 2-pt shot from 6 ft
2:49.0,Defensive rebound by F. Kaminsky,,17-25,,
2:39.0,N. Batum misses 3-pt shot from 25 ft,,17-25,,
2:38.0,,,17-25,,Defensive rebound by M. Hezonja
2:22.0,,,17-25,,Shooting foul by S. Hawes (drawn by N. Vucevic)
2:22.0,,,17-25,,Orlando full timeout
2:22.0,J. Lamb enters the game for N. Batum,,17-25,,
2:22.0,,,17-25,,N. Vucevic misses free throw 1 of 2
2:22.0,,,17-25,,Offensive rebound by Team
2:22.0,,,17-25,,N. Vucevic misses free throw 2 of 2
2:21.0,Defensive rebound by J. Lamb,,17-25,,
2:08.0,K. Walker misses 2-pt shot from 2 ft,,17-25,,
2:08.0,,,17-25,,Defensive rebound by N. Vucevic
1:52.0,,,17-27,2,A. Nicholson makes 2-pt shot from 6 ft
1:39.0,Turnover by J. Lamb (bad pass; steal by A. Gordon),,17-27,,
1:33.0,,,17-27,,Turnover by V. Oladipo (bad pass; steal by J. Lamb)
1:27.0,J. Lamb makes 2-pt shot from 1 ft,2,19-27,,
1:09.0,,,19-27,,N. Vucevic misses 2-pt shot from 18 ft
1:08.0,Defensive rebound by J. Lin,,19-27,,
1:00.0,J. Lin makes 2-pt shot from 17 ft,2,21-27,,
0:43.0,,,21-30,3,V. Oladipo makes 3-pt shot from 23 ft
0:31.0,J. Lin makes 2-pt shot from 1 ft,2,23-30,,
0:13.0,,,23-30,,N. Vucevic misses 2-pt shot from 20 ft
0:12.0,Defensive rebound by F. Kaminsky,,23-30,,
0:00.0,J. Lin misses 2-pt shot from 20 ft,,23-30,,
0:00.0,Offensive rebound by Team,,23-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,F. Kaminsky misses 2-pt shot from 2 ft,,23-30,,
11:45.0,,,23-30,,Defensive rebound by M. Hezonja
11:27.0,,,23-32,2,J. Smith makes 2-pt shot from 19 ft (assist by V. Oladipo)
11:10.0,Offensive charge foul by F. Kaminsky,,23-32,,
11:10.0,Turnover by F. Kaminsky (offensive foul),,23-32,,
10:57.0,,,23-32,,V. Oladipo misses 2-pt shot from 15 ft
10:56.0,Defensive rebound by J. Lamb,,23-32,,
10:40.0,Turnover by F. Kaminsky (traveling),,23-32,,
10:25.0,,,23-32,,A. Nicholson misses 3-pt shot from 25 ft
10:24.0,,,23-32,,Offensive rebound by M. Hezonja
10:24.0,,,23-34,2,M. Hezonja makes 2-pt shot from 1 ft
10:04.0,,,23-34,,Personal block foul by A. Nicholson (drawn by F. Kaminsky)
9:56.0,F. Kaminsky makes 2-pt shot at rim (assist by J. Lin),2,25-34,,
9:37.0,,,25-36,2,A. Gordon makes 2-pt shot from 19 ft (assist by M. Hezonja)
9:25.0,J. Lamb makes 2-pt shot from 7 ft,2,27-36,,
9:25.0,,,27-36,,Shooting block foul by J. Smith (drawn by J. Lamb)
9:25.0,,,27-36,,E. Payton enters the game for M. Hezonja
9:25.0,,,27-36,,C. Frye enters the game for A. Nicholson
9:25.0,J. Lamb makes free throw 1 of 1,1,28-36,,
9:13.0,,,28-36,,V. Oladipo misses 2-pt shot from 19 ft
9:12.0,,,28-36,,Offensive rebound by A. Gordon
8:56.0,,,28-36,,V. Oladipo misses 3-pt shot from 26 ft
8:55.0,Defensive rebound by F. Kaminsky,,28-36,,
8:38.0,J. Lamb makes 2-pt shot at rim,2,30-36,,
8:30.0,,,30-39,3,C. Frye makes 3-pt shot from 24 ft (assist by E. Payton)
8:13.0,F. Kaminsky makes 2-pt shot from 20 ft,2,32-39,,
7:52.0,,,32-39,,E. Payton misses 3-pt shot from 25 ft
7:51.0,Defensive rebound by M. Williams,,32-39,,
7:39.0,S. Hawes makes 2-pt shot at rim (assist by J. Lamb),2,34-39,,
7:17.0,,,34-41,2,J. Smith makes 2-pt shot from 17 ft (assist by E. Payton)
6:58.0,,,34-41,,Violation by E. Payton (kicked ball)
6:58.0,Official timeout,,34-41,,
6:47.0,S. Hawes misses 3-pt shot from 24 ft,,34-41,,
6:46.0,,,34-41,,Defensive rebound by V. Oladipo
6:36.0,,,34-43,2,V. Oladipo makes 2-pt shot from 1 ft
6:16.0,S. Hawes misses 2-pt shot from 2 ft (block by J. Smith),,34-43,,
6:15.0,,,34-43,,Defensive rebound by V. Oladipo
6:02.0,,,34-45,2,J. Smith makes 2-pt shot from 17 ft (assist by V. Oladipo)
5:53.0,Charlotte full timeout,,34-45,,
5:53.0,,,34-45,,T. Harris enters the game for A. Gordon
5:53.0,N. Batum enters the game for S. Hawes,,34-45,,
5:53.0,C. Zeller enters the game for J. Lamb,,34-45,,
5:44.0,J. Lin makes 3-pt shot from 24 ft (assist by N. Batum),3,37-45,,
5:29.0,,,37-45,,Turnover by V. Oladipo (bad pass; steal by C. Zeller)
5:20.0,N. Batum misses 2-pt shot from 16 ft,,37-45,,
5:19.0,,,37-45,,Defensive rebound by T. Harris
5:03.0,,,37-47,2,J. Smith makes 2-pt shot from 20 ft (assist by V. Oladipo)
4:49.0,C. Zeller makes 2-pt shot from 19 ft (assist by J. Lin),2,39-47,,
4:37.0,,,39-47,,Turnover by V. Oladipo (lost ball; steal by F. Kaminsky)
4:33.0,Turnover by N. Batum (bad pass; steal by J. Smith),,39-47,,
4:26.0,,,39-50,3,C. Frye makes 3-pt shot from 25 ft (assist by E. Payton)
4:05.0,M. Williams misses 2-pt shot from 23 ft,,39-50,,
4:04.0,,,39-50,,Defensive rebound by T. Harris
3:54.0,,,39-50,,C. Frye misses 3-pt shot from 23 ft
3:54.0,Defensive rebound by Team,,39-50,,
3:54.0,,,39-50,,N. Vucevic enters the game for J. Smith
3:54.0,,,39-50,,E. Fournier enters the game for V. Oladipo
3:54.0,T. Hansbrough enters the game for C. Zeller,,39-50,,
3:54.0,K. Walker enters the game for M. Williams,,39-50,,
3:33.0,F. Kaminsky makes 3-pt shot from 24 ft (assist by K. Walker),3,42-50,,
3:22.0,,,42-50,,Turnover by E. Payton (bad pass; steal by K. Walker)
3:17.0,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker),3,45-50,,
3:14.0,,,45-50,,Orlando full timeout
2:58.0,,,45-50,,Turnover by N. Vucevic (traveling)
2:51.0,,,45-50,,Personal foul by T. Harris (drawn by N. Batum)
2:43.0,F. Kaminsky misses 3-pt shot from 25 ft,,45-50,,
2:43.0,,,45-50,,Defensive rebound by T. Harris
2:21.0,,,45-50,,T. Harris misses 2-pt shot from 20 ft
2:20.0,Defensive rebound by K. Walker,,45-50,,
2:14.0,K. Walker misses 2-pt shot from 20 ft,,45-50,,
2:13.0,,,45-50,,Defensive rebound by E. Fournier
2:01.0,,,45-53,3,E. Fournier makes 3-pt shot from 25 ft (assist by E. Payton)
1:41.0,Turnover by N. Batum (lost ball; steal by E. Fournier),,45-53,,
1:32.0,,,45-56,3,C. Frye makes 3-pt shot from 25 ft (assist by E. Payton)
1:18.0,N. Batum misses 2-pt shot from 18 ft,,45-56,,
1:18.0,,,45-56,,Defensive rebound by E. Payton
1:06.0,,,45-56,,T. Harris misses 2-pt shot from 2 ft
1:06.0,,,45-56,,Offensive rebound by N. Vucevic
1:06.0,,,45-56,,N. Vucevic misses 2-pt shot from 1 ft
1:04.0,Defensive rebound by T. Hansbrough,,45-56,,
0:56.0,T. Hansbrough misses 2-pt shot from 3 ft,,45-56,,
0:55.0,,,45-56,,Defensive rebound by C. Frye
0:43.0,Personal foul by N. Batum (drawn by N. Vucevic),,45-56,,
0:36.0,,,45-58,2,E. Payton makes 2-pt shot from 18 ft
0:28.0,F. Kaminsky misses 3-pt shot from 27 ft,,45-58,,
0:27.0,Offensive rebound by T. Hansbrough,,45-58,,
0:04.0,J. Lin misses 3-pt shot from 25 ft,,45-58,,
0:02.0,,,45-58,,Defensive rebound by T. Harris
0:01.0,,,45-58,,Turnover by T. Harris (bad pass; steal by N. Batum)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,N. Batum misses 3-pt shot from 25 ft,,45-58,,
11:37.0,,,45-58,,Defensive rebound by N. Vucevic
11:16.0,,,45-58,,N. Vucevic misses 2-pt shot from 10 ft
11:15.0,Defensive rebound by M. Williams,,45-58,,
11:03.0,K. Walker misses 3-pt shot from 25 ft,,45-58,,
11:03.0,,,45-58,,Defensive rebound by C. Frye
10:46.0,,,45-58,,T. Harris misses 3-pt shot from 24 ft
10:46.0,Defensive rebound by K. Walker,,45-58,,
10:36.0,M. Williams makes 3-pt shot from 23 ft (assist by C. Zeller),3,48-58,,
10:20.0,,,48-58,,E. Fournier misses 2-pt shot from 8 ft
10:20.0,,,48-58,,Offensive rebound by Team
10:20.0,Loose ball foul by N. Batum (drawn by N. Vucevic),,48-58,,
10:18.0,Personal foul by J. Lin (drawn by E. Fournier),,48-58,,
10:11.0,,,48-60,2,E. Payton makes 2-pt shot from 3 ft
9:47.0,M. Williams misses 3-pt shot from 24 ft,,48-60,,
9:47.0,,,48-60,,Defensive rebound by N. Vucevic
9:28.0,,,48-62,2,T. Harris makes 2-pt shot at rim
9:06.0,J. Lin misses 3-pt shot from 22 ft,,48-62,,
9:06.0,,,48-62,,Defensive rebound by N. Vucevic
8:50.0,,,48-62,,E. Fournier misses 3-pt shot from 25 ft
8:50.0,Defensive rebound by M. Williams,,48-62,,
8:41.0,K. Walker makes 2-pt shot at rim,2,50-62,,
8:22.0,,,50-64,2,E. Payton makes 2-pt shot from 2 ft
7:57.0,K. Walker misses 3-pt shot from 23 ft,,50-64,,
7:57.0,,,50-64,,Defensive rebound by T. Harris
7:46.0,Personal foul by N. Batum (drawn by E. Payton),,50-64,,
7:46.0,P. Hairston enters the game for N. Batum,,50-64,,
7:33.0,,,50-66,2,N. Vucevic makes 2-pt shot from 22 ft (assist by T. Harris)
7:23.0,Turnover by M. Williams (bad pass; steal by T. Harris),,50-66,,
7:19.0,,,50-68,2,T. Harris makes 2-pt shot at rim
7:19.0,Charlotte full timeout,,50-68,,
7:04.0,P. Hairston makes 2-pt shot from 18 ft (assist by M. Williams),2,52-68,,
6:43.0,,,52-70,2,N. Vucevic makes 2-pt shot from 10 ft (assist by E. Fournier)
6:25.0,M. Williams misses 3-pt shot from 22 ft,,52-70,,
6:24.0,,,52-70,,Defensive rebound by E. Fournier
6:24.0,,,52-70,,Turnover by E. Fournier (step out of bounds)
6:10.0,Shooting foul by N. Vucevic (drawn by K. Walker),,52-70,,
6:10.0,K. Walker makes free throw 1 of 2,1,53-70,,
6:10.0,K. Walker makes free throw 2 of 2,1,54-70,,
5:49.0,,,54-70,,N. Vucevic misses 2-pt shot from 5 ft
5:48.0,Defensive rebound by M. Williams,,54-70,,
5:40.0,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker),2,56-70,,
5:24.0,Personal foul by K. Walker (drawn by N. Vucevic),,56-70,,
5:17.0,,,56-72,2,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Payton)
4:55.0,Turnover by K. Walker (bad pass; steal by T. Harris),,56-72,,
4:51.0,,,56-72,,Turnover by T. Harris (lost ball; steal by P. Hairston)
4:33.0,P. Hairston makes 3-pt shot from 24 ft (assist by J. Lin),3,59-72,,
4:18.0,Personal foul by J. Lin (drawn by C. Frye),,59-72,,
4:18.0,F. Kaminsky enters the game for M. Williams,,59-72,,
4:18.0,,,59-73,1,C. Frye makes free throw 1 of 2
4:18.0,,,59-73,,V. Oladipo enters the game for E. Fournier
4:18.0,,,59-74,1,C. Frye makes free throw 2 of 2
4:05.0,C. Zeller makes 2-pt shot at rim (assist by K. Walker),2,61-74,,
3:53.0,,,61-74,,Turnover by C. Frye (bad pass; steal by C. Zeller)
3:42.0,K. Walker misses 2-pt shot from 14 ft,,61-74,,
3:40.0,,,61-74,,Defensive rebound by N. Vucevic
3:32.0,,,61-74,,Shooting foul by C. Zeller (drawn by E. Payton)
3:32.0,,,61-75,1,E. Payton makes free throw 1 of 2
3:32.0,S. Hawes enters the game for C. Zeller,,61-75,,
3:32.0,J. Lamb enters the game for J. Lin,,61-75,,
3:32.0,,,61-75,,A. Nicholson enters the game for C. Frye
3:32.0,,,61-75,,A. Gordon enters the game for T. Harris
3:32.0,,,61-76,1,E. Payton makes free throw 2 of 2
3:15.0,Turnover by S. Hawes (bad pass; steal by V. Oladipo),,61-76,,
3:10.0,,,61-78,2,V. Oladipo makes 2-pt shot at rim
2:59.0,,,61-78,,Def 3 sec tech foul by N. Vucevic
2:59.0,,,61-78,,Orlando full timeout
2:59.0,K. Walker makes technical free throw,1,62-78,,
2:46.0,J. Lamb makes 3-pt shot from 25 ft (assist by K. Walker),3,65-78,,
2:28.0,,,65-80,2,N. Vucevic makes 2-pt shot from 21 ft (assist by A. Gordon)
2:12.0,F. Kaminsky makes 2-pt shot from 5 ft,2,67-80,,
1:58.0,,,67-80,,V. Oladipo misses 2-pt shot from 8 ft
1:57.0,Defensive rebound by S. Hawes,,67-80,,
1:50.0,K. Walker makes 2-pt shot from 2 ft,2,69-80,,
1:36.0,,,69-82,2,E. Payton makes 2-pt shot from 19 ft
1:22.0,P. Hairston misses 3-pt shot from 24 ft,,69-82,,
1:22.0,,,69-82,,Defensive rebound by N. Vucevic
1:06.0,,,69-84,2,V. Oladipo makes 2-pt shot from 16 ft
0:53.0,K. Walker makes 2-pt shot from 12 ft,2,71-84,,
0:41.0,,,71-87,3,A. Nicholson makes 3-pt shot from 25 ft (assist by N. Vucevic)
0:28.0,,,71-87,,Def 3 sec tech foul by N. Vucevic
0:28.0,K. Walker makes technical free throw,1,72-87,,
0:28.0,,,72-87,,J. Smith enters the game for N. Vucevic
0:28.0,J. Lin enters the game for K. Walker,,72-87,,
0:21.0,J. Lin misses 2-pt shot from 2 ft,,72-87,,
0:20.0,,,72-87,,Defensive rebound by J. Smith
0:05.0,,,72-89,2,V. Oladipo makes 2-pt shot from 1 ft
0:01.0,Shooting foul by J. Smith (drawn by J. Lin),,72-89,,
0:01.0,J. Lin makes free throw 1 of 2,1,73-89,,
0:01.0,J. Lin misses free throw 2 of 2,,73-89,,
0:00.0,,,73-89,,Defensive rebound by J. Smith
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,73-89,,A. Nicholson misses 2-pt shot from 5 ft
11:37.0,Defensive rebound by P. Hairston,,73-89,,
11:23.0,J. Lamb makes 2-pt shot from 1 ft,2,75-89,,
11:04.0,,,75-89,,M. Hezonja misses 3-pt shot from 25 ft
11:04.0,,,75-89,,Offensive rebound by Team
10:54.0,,,75-91,2,J. Smith makes 2-pt shot from 1 ft
10:39.0,J. Lin misses 3-pt shot from 24 ft,,75-91,,
10:37.0,Offensive rebound by F. Kaminsky,,75-91,,
10:34.0,Offensive charge foul by J. Lin,,75-91,,
10:34.0,Turnover by J. Lin (offensive foul),,75-91,,
10:15.0,,,75-94,3,M. Hezonja makes 3-pt shot from 24 ft (assist by V. Oladipo)
10:14.0,Charlotte full timeout,,75-94,,
9:52.0,S. Hawes misses 2-pt shot from 12 ft,,75-94,,
9:52.0,,,75-94,,Defensive rebound by M. Hezonja
9:36.0,,,75-94,,Turnover by M. Hezonja (lost ball; steal by J. Lamb)
9:31.0,,,75-94,,Personal foul by M. Hezonja (drawn by J. Lamb)
9:23.0,J. Lamb makes 2-pt shot from 18 ft (assist by J. Lin),2,77-94,,
9:09.0,,,77-94,,Turnover by A. Nicholson (offensive foul)
9:09.0,,,77-94,,Offensive charge foul by A. Nicholson
8:57.0,,,77-94,,Personal foul by V. Oladipo (drawn by J. Lin)
8:57.0,,,77-94,,E. Fournier enters the game for M. Hezonja
8:47.0,F. Kaminsky misses 3-pt shot from 27 ft,,77-94,,
8:45.0,Offensive rebound by J. Lin,,77-94,,
8:45.0,,,77-94,,Personal foul by V. Oladipo (drawn by J. Lin)
8:45.0,,,77-94,,C. Frye enters the game for A. Nicholson
8:34.0,P. Hairston misses 2-pt shot from 2 ft,,77-94,,
8:34.0,,,77-94,,Defensive rebound by V. Oladipo
8:24.0,,,77-94,,J. Smith misses 2-pt shot from 1 ft
8:23.0,Defensive rebound by J. Lamb,,77-94,,
8:16.0,P. Hairston misses 3-pt shot from 23 ft,,77-94,,
8:16.0,,,77-94,,Defensive rebound by E. Fournier
7:59.0,,,77-94,,Turnover by J. Smith (bad pass; steal by F. Kaminsky)
7:45.0,J. Lin misses 2-pt shot from 15 ft,,77-94,,
7:44.0,,,77-94,,Defensive rebound by A. Gordon
7:22.0,,,77-97,3,E. Fournier makes 3-pt shot from 24 ft (assist by J. Smith)
6:57.0,J. Lamb misses 3-pt shot from 25 ft,,77-97,,
6:56.0,,,77-97,,Defensive rebound by A. Gordon
6:40.0,Personal foul by F. Kaminsky (drawn by V. Oladipo),,77-97,,
6:40.0,,,77-97,,Orlando full timeout
6:40.0,M. Williams enters the game for P. Hairston,,77-97,,
6:40.0,T. Hansbrough enters the game for F. Kaminsky,,77-97,,
6:40.0,B. Roberts enters the game for S. Hawes,,77-97,,
6:40.0,T. Daniels enters the game for J. Lin,,77-97,,
6:30.0,,,77-99,2,E. Fournier makes 2-pt shot from 3 ft (assist by C. Frye)
6:08.0,Turnover by J. Lamb (lost ball; steal by A. Gordon),,77-99,,
6:02.0,,,77-99,,C. Frye misses 3-pt shot from 24 ft
6:00.0,Defensive rebound by B. Roberts,,77-99,,
5:51.0,J. Lamb misses 2-pt shot from 1 ft,,77-99,,
5:50.0,Offensive rebound by J. Lamb,,77-99,,
5:50.0,J. Lamb misses 2-pt shot from 1 ft,,77-99,,
5:49.0,,,77-99,,Defensive rebound by A. Gordon
5:43.0,,,77-99,,A. Gordon misses 2-pt shot from 1 ft
5:42.0,,,77-99,,Offensive rebound by A. Gordon
5:42.0,,,77-101,2,A. Gordon makes 2-pt shot from 1 ft
5:42.0,Charlotte full timeout,,77-101,,
5:18.0,M. Williams misses 2-pt shot at rim (block by J. Smith),,77-101,,
5:17.0,,,77-101,,Defensive rebound by V. Oladipo
5:00.0,,,77-101,,Turnover by E. Fournier (lost ball; steal by J. Lamb)
4:47.0,T. Daniels makes 3-pt shot from 23 ft (assist by J. Lamb),3,80-101,,
4:27.0,,,80-104,3,C. Frye makes 3-pt shot from 24 ft (assist by A. Gordon)
4:00.0,B. Roberts makes 2-pt shot from 16 ft (assist by J. Lamb),2,82-104,,
3:44.0,,,82-104,,Shooting foul by T. Daniels (drawn by E. Fournier)
3:44.0,,,82-105,1,E. Fournier makes free throw 1 of 2
3:44.0,C. Zeller enters the game for M. Williams,,82-105,,
3:44.0,,,82-105,,M. Hezonja enters the game for C. Frye
3:44.0,,,82-105,,D. Dedmon enters the game for V. Oladipo
3:44.0,,,82-105,,A. Nicholson enters the game for J. Smith
3:44.0,,,82-106,1,E. Fournier makes free throw 2 of 2
3:35.0,Shooting foul by D. Dedmon (drawn by C. Zeller),,82-106,,
3:35.0,C. Zeller makes free throw 1 of 2,1,83-106,,
3:35.0,,,83-106,,S. Napier enters the game for E. Fournier
3:35.0,C. Zeller makes free throw 2 of 2,1,84-106,,
3:18.0,,,84-109,3,M. Hezonja makes 3-pt shot from 25 ft (assist by A. Gordon)
2:59.0,T. Hansbrough misses 2-pt shot from 4 ft (block by A. Nicholson),,84-109,,
2:59.0,,,84-109,,Defensive rebound by Team
2:47.0,Personal foul by T. Hansbrough (drawn by S. Napier),,84-109,,
2:41.0,,,84-109,,S. Napier misses 2-pt shot from 20 ft
2:38.0,Defensive rebound by T. Hansbrough,,84-109,,
2:32.0,T. Daniels makes 3-pt shot from 24 ft (assist by J. Lamb),3,87-109,,
2:18.0,,,87-109,,Turnover by S. Napier (bad pass; steal by J. Lamb)
2:13.0,J. Lamb makes 2-pt shot from 1 ft,2,89-109,,
1:56.0,,,89-109,,S. Napier misses 2-pt shot from 18 ft
1:55.0,Defensive rebound by T. Daniels,,89-109,,
1:46.0,T. Daniels misses 2-pt shot from 15 ft,,89-109,,
1:46.0,,,89-109,,Defensive rebound by A. Gordon
1:33.0,,,89-109,,Shooting foul by J. Lamb (drawn by A. Gordon)
1:33.0,,,89-110,1,A. Gordon makes free throw 1 of 2
1:33.0,,,89-111,1,A. Gordon makes free throw 2 of 2
1:14.0,T. Daniels makes 3-pt shot from 27 ft (assist by C. Zeller),3,92-111,,
1:14.0,,,92-111,,Away from play foul by D. Dedmon (drawn by C. Zeller)
1:14.0,C. Zeller makes free throw 1 of 1,1,93-111,,
1:02.0,,,93-111,,M. Hezonja misses 2-pt shot from 18 ft
1:02.0,Defensive rebound by J. Lamb,,93-111,,
1:02.0,,,93-111,,Personal foul by D. Dedmon (drawn by T. Hansbrough)
1:02.0,Personal foul by T. Hansbrough,,93-111,,
0:51.0,,,93-111,,Personal foul by D. Dedmon (drawn by C. Zeller)
0:51.0,C. Zeller makes free throw 1 of 2,1,94-111,,
0:51.0,C. Zeller makes free throw 2 of 2,1,95-111,,
0:42.0,,,95-111,,Turnover by D. Dedmon (3 sec)
0:35.0,B. Roberts makes 3-pt shot from 25 ft,3,98-111,,
0:20.0,Personal foul by C. Zeller (drawn by A. Nicholson),,98-111,,
0:20.0,,,98-112,1,A. Nicholson makes free throw 1 of 2
0:20.0,,,98-113,1,A. Nicholson makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
