time,San Antonio,pts.away,score,pts.home,Toronto
4:17.0,,,35-43,,Turnover by K. Lowry (lost ball; steal by D. Green)
4:10.0,,,35-43,,Personal foul by B. Biyombo (drawn by T. Parker)
4:10.0,,,35-43,,Toronto full timeout
4:10.0,M. Ginobili enters the game for D. Green,,35-43,,
4:03.0,T. Duncan makes 2-pt shot at rim (assist by T. Parker),2,37-43,,
3:46.0,,,37-43,,Shooting foul by J. Simmons (drawn by D. DeRozan)
3:46.0,,,37-44,1,D. DeRozan makes free throw 1 of 2
3:46.0,,,37-45,1,D. DeRozan makes free throw 2 of 2
3:29.0,T. Duncan makes 2-pt shot from 4 ft,2,39-45,,
3:14.0,,,39-45,,Turnover by D. DeRozan (traveling)
3:05.0,,,39-45,,Personal foul by L. Scola (drawn by T. Duncan)
3:05.0,,,39-45,,P. Patterson enters the game for L. Scola
2:54.0,T. Parker makes 2-pt shot from 1 ft,2,41-45,,
2:39.0,,,41-47,2,D. DeRozan makes 2-pt shot from 14 ft (assist by K. Lowry)
2:23.0,M. Ginobili makes 3-pt shot from 25 ft (assist by J. Simmons),3,44-47,,
2:05.0,,,44-47,,Shooting foul by T. Duncan (drawn by B. Biyombo)
2:05.0,,,44-49,2,B. Biyombo makes 2-pt shot from 4 ft (assist by J. Johnson)
2:05.0,,,44-49,,Toronto full timeout
2:05.0,,,44-49,,T. Ross enters the game for K. Lowry
2:05.0,,,44-49,,C. Joseph enters the game for J. Johnson
2:05.0,K. Leonard enters the game for J. Simmons,,44-49,,
2:05.0,,,44-49,,B. Biyombo misses free throw 1 of 1
2:04.0,Defensive rebound by K. Leonard,,44-49,,
1:46.0,M. Ginobili misses 3-pt shot from 26 ft,,44-49,,
1:45.0,,,44-49,,Defensive rebound by B. Biyombo
1:31.0,,,44-49,,Shooting foul by L. Aldridge (drawn by P. Patterson)
1:31.0,,,44-50,1,P. Patterson makes free throw 1 of 2
1:31.0,B. Diaw enters the game for T. Duncan,,44-50,,
1:31.0,P. Mills enters the game for T. Parker,,44-50,,
1:31.0,,,44-51,1,P. Patterson makes free throw 2 of 2
1:13.0,L. Aldridge misses 2-pt shot from 17 ft,,44-51,,
1:12.0,,,44-51,,Defensive rebound by D. DeRozan
1:05.0,,,44-53,2,D. DeRozan makes 2-pt shot from 17 ft
0:56.0,Shooting foul by B. Biyombo (drawn by M. Ginobili),,44-53,,
0:56.0,M. Ginobili makes free throw 1 of 2,1,45-53,,
0:56.0,M. Ginobili makes free throw 2 of 2,1,46-53,,
0:37.0,,,46-53,,C. Joseph misses 3-pt shot from 24 ft
0:37.0,,,46-53,,Offensive rebound by B. Biyombo
0:13.0,,,46-53,,D. DeRozan misses 2-pt shot from 22 ft
0:13.0,Defensive rebound by M. Ginobili,,46-53,,
0:03.0,M. Ginobili misses 2-pt shot from 3 ft,,46-53,,
0:02.0,,,46-53,,Defensive rebound by B. Biyombo
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,46-53,,D. DeRozan misses 2-pt shot from 15 ft
11:40.0,Defensive rebound by D. Green,,46-53,,
11:26.0,D. Green misses 2-pt shot from 13 ft,,46-53,,
11:25.0,,,46-53,,Defensive rebound by L. Scola
11:13.0,,,46-55,2,D. DeRozan makes 2-pt shot at rim
10:58.0,Shooting foul by B. Biyombo (drawn by L. Aldridge),,46-55,,
10:58.0,L. Aldridge makes free throw 1 of 2,1,47-55,,
10:58.0,L. Aldridge misses free throw 2 of 2,,47-55,,
10:58.0,,,47-55,,Defensive rebound by B. Biyombo
10:44.0,,,47-55,,K. Lowry misses 2-pt shot from 19 ft
10:43.0,Defensive rebound by D. Green,,47-55,,
10:29.0,T. Duncan makes 2-pt shot from 9 ft,2,49-55,,
10:04.0,,,49-55,,T. Ross misses 2-pt shot from 19 ft
10:04.0,Defensive rebound by D. Green,,49-55,,
9:53.0,K. Leonard misses 2-pt shot from 4 ft (block by D. DeRozan),,49-55,,
9:52.0,,,49-55,,Defensive rebound by K. Lowry
9:48.0,,,49-57,2,T. Ross makes 2-pt shot at rim (assist by K. Lowry)
9:24.0,T. Parker misses 2-pt shot from 10 ft,,49-57,,
9:23.0,Offensive rebound by T. Duncan,,49-57,,
9:18.0,T. Parker misses 3-pt shot from 23 ft,,49-57,,
9:17.0,Offensive rebound by T. Parker,,49-57,,
9:11.0,L. Aldridge misses 2-pt shot from 1 ft,,49-57,,
9:11.0,Offensive rebound by T. Duncan,,49-57,,
9:05.0,D. Green misses 3-pt shot from 24 ft,,49-57,,
9:05.0,,,49-57,,Defensive rebound by K. Lowry
8:54.0,,,49-57,,D. DeRozan misses 2-pt shot from 19 ft
8:54.0,,,49-57,,Offensive rebound by Team
8:50.0,,,49-57,,Turnover by T. Ross (lost ball; steal by D. Green)
8:43.0,T. Parker misses 2-pt shot from 1 ft,,49-57,,
8:41.0,,,49-57,,Defensive rebound by L. Scola
8:36.0,,,49-59,2,L. Scola makes 2-pt shot from 1 ft (assist by K. Lowry)
8:34.0,San Antonio full timeout,,49-59,,
8:34.0,Violation by Team (delay of game),,49-59,,
8:15.0,L. Aldridge makes 2-pt shot from 9 ft,2,51-59,,
8:00.0,,,51-59,,Turnover by D. DeRozan (lost ball; steal by K. Leonard)
7:59.0,,,51-59,,Personal foul by D. DeRozan (drawn by K. Leonard)
7:48.0,L. Aldridge misses 2-pt shot from 17 ft,,51-59,,
7:48.0,Offensive rebound by K. Leonard,,51-59,,
7:42.0,K. Leonard misses 2-pt shot from 5 ft,,51-59,,
7:42.0,Offensive rebound by K. Leonard,,51-59,,
7:36.0,D. Green misses 3-pt shot from 26 ft,,51-59,,
7:35.0,,,51-59,,Defensive rebound by B. Biyombo
7:27.0,,,51-59,,Shooting foul by K. Leonard (drawn by L. Scola)
7:27.0,,,51-61,2,L. Scola makes 2-pt shot from 3 ft (assist by D. DeRozan)
7:27.0,,,51-61,,L. Scola misses free throw 1 of 1
7:26.0,Defensive rebound by L. Aldridge,,51-61,,
7:26.0,,,51-61,,Personal foul by B. Biyombo (drawn by L. Aldridge)
7:26.0,K. Anderson enters the game for K. Leonard,,51-61,,
7:26.0,,,51-61,,P. Patterson enters the game for B. Biyombo
7:02.0,D. Green misses 3-pt shot from 24 ft,,51-61,,
7:02.0,,,51-61,,Defensive rebound by T. Ross
6:51.0,,,51-61,,Turnover by L. Scola (lost ball; steal by D. Green)
6:42.0,T. Duncan misses 2-pt shot at rim,,51-61,,
6:42.0,,,51-61,,Defensive rebound by T. Ross
6:40.0,,,51-61,,Offensive charge foul by D. DeRozan
6:40.0,,,51-61,,Turnover by D. DeRozan (offensive foul)
6:26.0,T. Duncan misses 2-pt shot from 5 ft,,51-61,,
6:26.0,,,51-61,,Defensive rebound by K. Lowry
6:03.0,,,51-63,2,K. Lowry makes 2-pt shot from 2 ft (assist by D. DeRozan)
5:40.0,K. Anderson makes 3-pt shot from 23 ft (assist by L. Aldridge),3,54-63,,
5:12.0,,,54-63,,K. Lowry misses 2-pt shot from 13 ft
5:12.0,Defensive rebound by K. Anderson,,54-63,,
4:55.0,,,54-63,,Personal foul by L. Scola (drawn by T. Duncan)
4:55.0,P. Mills enters the game for T. Duncan,,54-63,,
4:55.0,B. Diaw enters the game for D. Green,,54-63,,
4:55.0,M. Ginobili enters the game for T. Parker,,54-63,,
4:55.0,,,54-63,,C. Joseph enters the game for T. Ross
4:46.0,,,54-63,,Personal foul by P. Patterson (drawn by B. Diaw)
4:46.0,B. Diaw makes free throw 1 of 2,1,55-63,,
4:46.0,B. Diaw makes free throw 2 of 2,1,56-63,,
4:21.0,,,56-65,2,C. Joseph makes 2-pt shot from 10 ft
3:59.0,P. Mills misses 3-pt shot from 25 ft,,56-65,,
3:58.0,,,56-65,,Defensive rebound by P. Patterson
3:50.0,,,56-67,2,L. Scola makes 2-pt shot from 5 ft (assist by K. Lowry)
3:38.0,Offensive charge foul by B. Diaw,,56-67,,
3:38.0,Turnover by B. Diaw (offensive foul),,56-67,,
3:38.0,,,56-67,,Toronto full timeout
3:38.0,,,56-67,,T. Ross enters the game for K. Lowry
3:38.0,,,56-67,,Violation by Team (delay of game)
3:30.0,Personal foul by M. Ginobili (drawn by D. DeRozan),,56-67,,
3:15.0,,,56-69,2,D. DeRozan makes 2-pt shot from 21 ft
2:56.0,K. Anderson makes 2-pt shot from 6 ft,2,58-69,,
2:41.0,,,58-69,,J. Johnson enters the game for L. Scola
2:32.0,,,58-69,,Turnover by Team (back court)
2:19.0,Turnover by B. Diaw (bad pass),,58-69,,
2:07.0,,,58-69,,Offensive charge foul by T. Ross
2:07.0,,,58-69,,Turnover by T. Ross (offensive foul)
2:07.0,D. West enters the game for L. Aldridge,,58-69,,
1:56.0,B. Diaw misses 3-pt shot from 25 ft,,58-69,,
1:55.0,Offensive rebound by M. Ginobili,,58-69,,
1:53.0,M. Ginobili makes 2-pt shot at rim,2,60-69,,
1:32.0,,,60-69,,Turnover by P. Patterson (bad pass)
1:16.0,,,60-69,,Personal foul by C. Joseph (drawn by M. Ginobili)
1:16.0,M. Ginobili misses free throw 1 of 2,,60-69,,
1:16.0,Offensive rebound by Team,,60-69,,
1:16.0,M. Ginobili makes free throw 2 of 2,1,61-69,,
1:03.0,Personal foul by B. Diaw (drawn by C. Joseph),,61-69,,
0:54.0,,,61-69,,Shooting foul by M. Ginobili (drawn by C. Joseph)
0:54.0,,,61-70,1,C. Joseph makes free throw 1 of 2
0:54.0,,,61-71,1,C. Joseph makes free throw 2 of 2
0:32.0,Shooting foul by J. Johnson (drawn by D. West),,61-71,,
0:32.0,D. West misses free throw 1 of 2,,61-71,,
0:32.0,Offensive rebound by Team,,61-71,,
0:32.0,J. Simmons enters the game for M. Ginobili,,61-71,,
0:32.0,D. West makes free throw 2 of 2,1,62-71,,
0:21.0,Personal foul by J. Simmons (drawn by D. DeRozan),,62-71,,
0:21.0,,,62-72,1,D. DeRozan makes free throw 1 of 2
0:21.0,,,62-73,1,D. DeRozan makes free throw 2 of 2
0:02.0,Turnover by J. Simmons (lost ball; steal by J. Johnson),,62-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Shooting foul by T. Ross (drawn by J. Simmons),,62-73,,
11:45.0,J. Simmons makes free throw 1 of 2,1,63-73,,
11:45.0,J. Simmons makes free throw 2 of 2,1,64-73,,
11:37.0,,,64-73,,Offensive foul by C. Joseph
11:37.0,,,64-73,,Turnover by C. Joseph (offensive foul)
11:20.0,K. Anderson misses 2-pt shot from 4 ft,,64-73,,
11:20.0,,,64-73,,Defensive rebound by J. Johnson
11:15.0,,,64-75,2,T. Ross makes 2-pt shot at rim (assist by J. Johnson)
10:58.0,D. West makes 2-pt shot from 2 ft (assist by K. Anderson),2,66-75,,
10:44.0,,,66-75,,Turnover by L. Scola (bad pass; steal by P. Mills)
10:28.0,D. West makes 2-pt shot from 18 ft (assist by J. Simmons),2,68-75,,
10:04.0,,,68-78,3,P. Patterson makes 3-pt shot from 22 ft (assist by J. Johnson)
9:54.0,Offensive foul by D. West,,68-78,,
9:54.0,Turnover by D. West (offensive foul),,68-78,,
9:54.0,,,68-78,,K. Lowry enters the game for T. Ross
9:41.0,,,68-80,2,L. Scola makes 2-pt shot from 5 ft (assist by C. Joseph)
9:24.0,D. West misses 2-pt shot from 4 ft,,68-80,,
9:24.0,Offensive rebound by B. Diaw,,68-80,,
9:19.0,P. Mills makes 3-pt shot from 25 ft (assist by K. Anderson),3,71-80,,
9:16.0,Technical foul by Team,,71-80,,
9:16.0,,,71-81,1,K. Lowry makes technical free throw
8:53.0,,,71-83,2,P. Patterson makes 2-pt shot from 6 ft
8:43.0,D. West makes 2-pt shot from 8 ft (assist by P. Mills),2,73-83,,
8:43.0,Shooting foul by L. Scola (drawn by D. West),,73-83,,
8:43.0,Official timeout,,73-83,,
8:43.0,K. Leonard enters the game for K. Anderson,,73-83,,
8:43.0,D. West makes free throw 1 of 1,1,74-83,,
8:28.0,,,74-85,2,K. Lowry makes 2-pt shot from 10 ft
8:12.0,P. Mills misses 2-pt shot from 18 ft,,74-85,,
8:11.0,,,74-85,,Defensive rebound by J. Johnson
7:56.0,,,74-85,,J. Johnson misses 2-pt shot from 2 ft
7:55.0,Defensive rebound by D. West,,74-85,,
7:41.0,D. West misses 2-pt shot from 15 ft,,74-85,,
7:40.0,,,74-85,,Defensive rebound by J. Johnson
7:19.0,,,74-85,,K. Lowry misses 3-pt shot from 23 ft
7:19.0,,,74-85,,Offensive rebound by L. Scola
7:17.0,,,74-85,,L. Scola misses 2-pt shot from 1 ft (block by K. Leonard)
7:15.0,Defensive rebound by P. Mills,,74-85,,
7:12.0,K. Leonard makes 2-pt shot from 14 ft (assist by P. Mills),2,76-85,,
7:12.0,Shooting foul by J. Johnson (drawn by K. Leonard),,76-85,,
7:12.0,M. Ginobili enters the game for B. Diaw,,76-85,,
7:12.0,T. Parker enters the game for J. Simmons,,76-85,,
7:12.0,,,76-85,,D. DeRozan enters the game for J. Johnson
7:12.0,K. Leonard misses free throw 1 of 1,,76-85,,
7:10.0,,,76-85,,Defensive rebound by L. Scola
6:54.0,,,76-85,,Turnover by C. Joseph (lost ball; steal by T. Parker)
6:40.0,,,76-85,,Violation by K. Lowry (kicked ball)
6:30.0,Turnover by D. West (bad pass),,76-85,,
6:18.0,,,76-85,,Turnover by D. DeRozan (bad pass; steal by M. Ginobili)
6:08.0,K. Leonard makes 2-pt shot from 15 ft,2,78-85,,
5:58.0,,,78-85,,Toronto full timeout
5:58.0,L. Aldridge enters the game for D. West,,78-85,,
5:48.0,,,78-85,,Shooting foul by L. Aldridge (drawn by K. Lowry)
5:48.0,,,78-86,1,K. Lowry makes free throw 1 of 2
5:48.0,,,78-86,,B. Biyombo enters the game for L. Scola
5:48.0,,,78-87,1,K. Lowry makes free throw 2 of 2
5:34.0,M. Ginobili misses 3-pt shot from 23 ft,,78-87,,
5:34.0,Offensive rebound by P. Mills,,78-87,,
5:22.0,M. Ginobili makes 2-pt shot from 3 ft (assist by P. Mills),2,80-87,,
4:58.0,,,80-89,2,K. Lowry makes 2-pt shot from 4 ft
4:44.0,K. Leonard makes 3-pt shot from 25 ft (assist by M. Ginobili),3,83-89,,
4:28.0,,,83-89,,Turnover by C. Joseph (lost ball; steal by T. Parker)
4:12.0,K. Leonard misses 3-pt shot from 25 ft,,83-89,,
4:11.0,Offensive rebound by L. Aldridge,,83-89,,
4:05.0,P. Mills misses 2-pt shot from 10 ft,,83-89,,
4:03.0,,,83-89,,Defensive rebound by P. Patterson
3:57.0,,,83-91,2,D. DeRozan makes 2-pt shot from 7 ft (assist by K. Lowry)
3:46.0,M. Ginobili makes 2-pt shot from 1 ft,2,85-91,,
3:24.0,,,85-91,,B. Biyombo misses 2-pt shot at rim
3:22.0,Defensive rebound by T. Parker,,85-91,,
3:14.0,Shooting foul by K. Lowry (drawn by L. Aldridge),,85-91,,
3:14.0,L. Aldridge makes free throw 1 of 2,1,86-91,,
3:14.0,D. Green enters the game for P. Mills,,86-91,,
3:14.0,L. Aldridge makes free throw 2 of 2,1,87-91,,
3:04.0,,,87-93,2,D. DeRozan makes 2-pt shot from 18 ft
3:03.0,San Antonio full timeout,,87-93,,
2:47.0,D. Green makes 3-pt shot from 24 ft (assist by M. Ginobili),3,90-93,,
2:31.0,,,90-93,,Turnover by D. DeRozan (lost ball; steal by M. Ginobili)
2:14.0,M. Ginobili misses 3-pt shot from 26 ft,,90-93,,
2:13.0,,,90-93,,Defensive rebound by Team
1:50.0,,,90-95,2,B. Biyombo makes 2-pt shot at rim (assist by P. Patterson)
1:42.0,,,90-95,,Personal foul by C. Joseph (drawn by M. Ginobili)
1:42.0,M. Ginobili makes free throw 1 of 2,1,91-95,,
1:42.0,,,91-95,,L. Scola enters the game for B. Biyombo
1:42.0,M. Ginobili makes free throw 2 of 2,1,92-95,,
1:22.0,,,92-97,2,D. DeRozan makes 2-pt shot from 3 ft (assist by K. Lowry)
1:04.0,Turnover by D. Green (bad pass; steal by P. Patterson),,92-97,,
0:49.0,,,92-97,,Turnover by K. Lowry (lost ball)
0:49.0,,,92-97,,B. Biyombo enters the game for L. Scola
0:38.0,K. Leonard misses 2-pt shot from 6 ft,,92-97,,
0:37.0,Offensive rebound by L. Aldridge,,92-97,,
0:35.0,L. Aldridge misses 2-pt shot at rim,,92-97,,
0:34.0,Offensive rebound by K. Leonard,,92-97,,
0:31.0,M. Ginobili misses 3-pt shot from 27 ft,,92-97,,
0:31.0,Offensive rebound by K. Leonard,,92-97,,
0:29.0,K. Leonard makes 2-pt shot at rim,2,94-97,,
0:09.0,,,94-97,,K. Lowry misses 2-pt shot from 6 ft
