time,Atlanta,pts.away,score,pts.home,San Antonio
1:34.0,,,37-48,,M. Ginobili enters the game for D. Green
1:34.0,,,37-49,1,K. Leonard makes free throw 2 of 2
1:20.0,Turnover by K. Bazemore (lost ball; steal by K. Leonard),,37-49,,
1:15.0,,,37-51,2,K. Leonard makes 2-pt shot at rim (assist by P. Mills)
1:00.0,K. Bazemore misses 2-pt shot at rim,,37-51,,
0:59.0,,,37-51,,Defensive rebound by Team
0:39.0,,,37-51,,Shooting foul by K. Bazemore (drawn by K. Leonard)
0:39.0,,,37-52,1,K. Leonard makes free throw 1 of 3
0:39.0,,,37-53,1,K. Leonard makes free throw 2 of 3
0:39.0,Atlanta full timeout,,37-53,,
0:39.0,,,37-54,1,K. Leonard makes free throw 3 of 3
0:37.0,,,37-54,,Personal foul by M. Ginobili (drawn by K. Bazemore)
0:27.0,J. Teague misses 2-pt shot at rim,,37-54,,
0:26.0,,,37-54,,Defensive rebound by T. Duncan
0:02.0,,,37-54,,M. Ginobili misses 3-pt shot from 25 ft
0:00.0,,,37-54,,Offensive rebound by K. Leonard
0:00.0,,,37-54,,K. Leonard misses 2-pt shot from 8 ft
0:00.0,Defensive rebound by K. Bazemore,,37-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,A. Horford misses 2-pt shot from 15 ft,,37-54,,
11:40.0,,,37-54,,Defensive rebound by K. Leonard
11:23.0,,,37-57,3,K. Leonard makes 3-pt shot from 24 ft (assist by T. Duncan)
11:05.0,A. Horford misses 2-pt shot from 16 ft,,37-57,,
11:04.0,Offensive rebound by P. Millsap,,37-57,,
10:58.0,Shooting foul by T. Duncan (drawn by A. Horford),,37-57,,
10:58.0,A. Horford makes free throw 1 of 2,1,38-57,,
10:58.0,A. Horford makes free throw 2 of 2,1,39-57,,
10:45.0,,,39-57,,Turnover by D. Green (bad pass; steal by T. Sefolosha)
10:40.0,T. Sefolosha makes 2-pt shot from 1 ft (assist by A. Horford),2,41-57,,
10:23.0,,,41-59,2,T. Duncan makes 2-pt shot from 9 ft (assist by T. Parker)
10:07.0,Turnover by K. Korver (lost ball; steal by L. Aldridge),,41-59,,
9:58.0,,,41-59,,K. Leonard misses 2-pt shot from 12 ft
9:58.0,Defensive rebound by P. Millsap,,41-59,,
9:52.0,Shooting foul by D. Green (drawn by P. Millsap),,41-59,,
9:52.0,P. Millsap misses free throw 1 of 2,,41-59,,
9:52.0,Offensive rebound by Team,,41-59,,
9:52.0,P. Millsap misses free throw 2 of 2,,41-59,,
9:52.0,,,41-59,,Defensive rebound by K. Leonard
9:33.0,,,41-59,,L. Aldridge misses 2-pt shot from 13 ft
9:32.0,,,41-59,,Offensive rebound by T. Duncan
9:25.0,,,41-59,,Turnover by K. Leonard (lost ball; steal by P. Millsap)
9:17.0,Turnover by J. Teague (lost ball; steal by T. Duncan),,41-59,,
9:11.0,,,41-61,2,T. Parker makes 2-pt shot from 1 ft (assist by D. Green)
9:04.0,A. Horford misses 2-pt shot at rim,,41-61,,
9:03.0,Offensive rebound by A. Horford,,41-61,,
9:03.0,A. Horford makes 2-pt shot at rim,2,43-61,,
8:48.0,,,43-63,2,T. Parker makes 2-pt shot from 8 ft (assist by K. Leonard)
8:48.0,,,43-63,,Shooting foul by J. Teague (drawn by T. Parker)
8:48.0,,,43-64,1,T. Parker makes free throw 1 of 1
8:37.0,J. Teague makes 2-pt shot at rim,2,45-64,,
8:27.0,Personal foul by J. Teague (drawn by T. Parker),,45-64,,
8:16.0,,,45-66,2,K. Leonard makes 2-pt shot from 10 ft (assist by L. Aldridge)
7:54.0,P. Millsap misses 2-pt shot from 5 ft,,45-66,,
7:53.0,,,45-66,,Defensive rebound by K. Leonard
7:53.0,Personal foul by T. Sefolosha (drawn by L. Aldridge),,45-66,,
7:37.0,,,45-68,2,T. Parker makes 2-pt shot from 2 ft
7:14.0,J. Teague misses 2-pt shot from 8 ft,,45-68,,
7:13.0,,,45-68,,Defensive rebound by T. Duncan
7:10.0,,,45-68,,D. Green misses 2-pt shot from 3 ft (block by K. Korver)
7:09.0,,,45-68,,Offensive rebound by D. Green
6:53.0,,,45-68,,T. Duncan misses 2-pt shot from 6 ft
6:51.0,,,45-68,,Offensive rebound by L. Aldridge
6:46.0,,,45-68,,L. Aldridge misses 2-pt shot from 15 ft
6:45.0,Defensive rebound by A. Horford,,45-68,,
6:31.0,A. Horford misses 2-pt shot from 5 ft (block by K. Leonard),,45-68,,
6:29.0,Offensive rebound by A. Horford,,45-68,,
6:26.0,T. Sefolosha makes 3-pt shot from 23 ft (assist by P. Millsap),3,48-68,,
6:25.0,,,48-68,,San Antonio full timeout
6:25.0,M. Muscala enters the game for A. Horford,,48-68,,
6:25.0,D. Schroder enters the game for J. Teague,,48-68,,
6:07.0,,,48-70,2,K. Leonard makes 2-pt shot from 10 ft
5:50.0,Turnover by M. Muscala (bad pass; steal by L. Aldridge),,48-70,,
5:40.0,,,48-72,2,T. Parker makes 2-pt shot from 13 ft
5:21.0,P. Millsap misses 2-pt shot from 16 ft,,48-72,,
5:20.0,Offensive rebound by P. Millsap,,48-72,,
5:15.0,D. Schroder misses 3-pt shot from 26 ft,,48-72,,
5:14.0,,,48-72,,Defensive rebound by T. Duncan
4:56.0,,,48-74,2,L. Aldridge makes 2-pt shot from 16 ft (assist by T. Duncan)
4:46.0,M. Muscala misses 3-pt shot from 24 ft,,48-74,,
4:45.0,,,48-74,,Defensive rebound by T. Parker
4:28.0,,,48-74,,Turnover by T. Parker (bad pass; steal by D. Schroder)
4:23.0,K. Korver makes 2-pt shot from 22 ft (assist by D. Schroder),2,50-74,,
4:09.0,,,50-74,,Turnover by T. Parker (traveling)
4:09.0,,,50-74,,P. Mills enters the game for T. Parker
4:09.0,,,50-74,,M. Ginobili enters the game for D. Green
4:09.0,M. Scott enters the game for K. Korver,,50-74,,
4:09.0,K. Bazemore enters the game for T. Sefolosha,,50-74,,
4:09.0,L. Patterson enters the game for P. Millsap,,50-74,,
4:01.0,M. Muscala makes 2-pt shot from 16 ft (assist by D. Schroder),2,52-74,,
3:44.0,,,52-76,2,T. Duncan makes 2-pt shot from 6 ft
3:32.0,M. Muscala misses 2-pt shot from 18 ft,,52-76,,
3:31.0,,,52-76,,Defensive rebound by K. Leonard
3:27.0,,,52-76,,Turnover by K. Leonard (bad pass; steal by K. Bazemore)
3:25.0,,,52-76,,Personal foul by T. Duncan (drawn by L. Patterson)
3:25.0,,,52-76,,B. Diaw enters the game for L. Aldridge
3:25.0,,,52-76,,K. Anderson enters the game for K. Leonard
3:16.0,M. Scott makes 3-pt shot from 24 ft (assist by D. Schroder),3,55-76,,
2:52.0,,,55-78,2,B. Diaw makes 2-pt shot from 8 ft
2:41.0,Turnover by L. Patterson (bad pass),,55-78,,
2:41.0,Atlanta full timeout,,55-78,,
2:28.0,,,55-78,,Turnover by B. Diaw (bad pass)
2:12.0,D. Schroder misses 2-pt shot from 7 ft (block by T. Duncan),,55-78,,
2:10.0,,,55-78,,Defensive rebound by K. Anderson
2:01.0,,,55-78,,B. Diaw misses 2-pt shot from 15 ft
2:00.0,,,55-78,,Offensive rebound by T. Duncan
2:00.0,,,55-78,,T. Duncan misses 2-pt shot from 2 ft
2:00.0,,,55-78,,Offensive rebound by T. Duncan
2:00.0,Loose ball foul by K. Bazemore (drawn by T. Duncan),,55-78,,
1:51.0,,,55-78,,K. Anderson misses 2-pt shot from 18 ft
1:50.0,,,55-78,,Offensive rebound by T. Duncan
1:32.0,,,55-78,,M. Ginobili misses 2-pt shot from 3 ft
1:31.0,Defensive rebound by D. Schroder,,55-78,,
1:16.0,D. Schroder makes 2-pt shot from 3 ft,2,57-78,,
1:02.0,,,57-80,2,B. Diaw makes 2-pt shot from 7 ft
0:47.0,,,57-80,,Violation by B. Diaw (kicked ball)
0:44.0,M. Scott misses 2-pt shot from 17 ft (block by T. Duncan),,57-80,,
0:42.0,,,57-80,,Defensive rebound by T. Duncan
0:36.0,,,57-80,,M. Ginobili misses 3-pt shot from 25 ft
0:32.0,Defensive rebound by L. Patterson,,57-80,,
0:27.0,K. Bazemore misses 3-pt shot from 25 ft,,57-80,,
0:26.0,,,57-80,,Defensive rebound by T. Duncan
0:06.0,,,57-80,,Turnover by M. Ginobili (bad pass; steal by D. Schroder)
0:02.0,D. Schroder makes 2-pt shot from 1 ft (assist by L. Patterson),2,59-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,59-82,2,M. Ginobili makes 2-pt shot from 2 ft (assist by K. Leonard)
11:35.0,K. Bazemore makes 2-pt shot from 4 ft (assist by T. Hardaway),2,61-82,,
11:35.0,,,61-82,,Shooting block foul by P. Mills (drawn by K. Bazemore)
11:35.0,K. Bazemore makes free throw 1 of 1,1,62-82,,
11:26.0,Personal foul by T. Sefolosha (drawn by K. Leonard),,62-82,,
11:10.0,,,62-84,2,P. Mills makes 2-pt shot from 8 ft
10:59.0,D. Schroder makes 2-pt shot from 2 ft (assist by M. Scott),2,64-84,,
10:54.0,,,64-84,,Turnover by K. Anderson (bad pass; steal by D. Schroder)
10:45.0,T. Sefolosha makes 2-pt shot from 20 ft (assist by M. Scott),2,66-84,,
10:25.0,,,66-87,3,K. Anderson makes 3-pt shot from 23 ft (assist by B. Diaw)
10:13.0,Turnover by T. Hardaway (bad pass; steal by M. Ginobili),,66-87,,
10:08.0,,,66-89,2,M. Ginobili makes 2-pt shot at rim
9:52.0,K. Bazemore makes 2-pt shot from 1 ft,2,68-89,,
9:39.0,,,68-89,,M. Ginobili misses 3-pt shot from 24 ft
9:38.0,Defensive rebound by K. Bazemore,,68-89,,
9:30.0,Turnover by K. Bazemore (lost ball; steal by B. Diaw),,68-89,,
9:21.0,,,68-89,,K. Anderson misses 2-pt shot from 4 ft
9:20.0,Defensive rebound by T. Sefolosha,,68-89,,
9:13.0,T. Hardaway misses 3-pt shot from 22 ft,,68-89,,
9:13.0,Offensive rebound by Team,,68-89,,
9:13.0,,,68-89,,Loose ball foul by B. Diaw (drawn by M. Scott)
9:13.0,L. Patterson enters the game for K. Bazemore,,68-89,,
8:58.0,Turnover by L. Patterson (lost ball; steal by K. Anderson),,68-89,,
8:54.0,,,68-91,2,P. Mills makes 2-pt shot at rim
8:29.0,M. Scott misses 2-pt shot from 2 ft,,68-91,,
8:28.0,,,68-91,,Defensive rebound by B. Diaw
8:18.0,,,68-94,3,P. Mills makes 3-pt shot from 24 ft (assist by M. Ginobili)
8:16.0,Atlanta full timeout,,68-94,,
8:16.0,,,68-94,,J. Simmons enters the game for M. Ginobili
8:16.0,,,68-94,,R. Butler enters the game for K. Leonard
8:16.0,J. Holiday enters the game for D. Schroder,,68-94,,
8:16.0,M. Muscala enters the game for L. Patterson,,68-94,,
8:16.0,S. Mack enters the game for M. Scott,,68-94,,
8:04.0,T. Hardaway misses 2-pt shot from 21 ft,,68-94,,
8:03.0,,,68-94,,Defensive rebound by K. Anderson
7:52.0,,,68-94,,B. Diaw misses 2-pt shot from 5 ft
7:51.0,Defensive rebound by M. Muscala,,68-94,,
7:31.0,J. Holiday misses 3-pt shot from 23 ft,,68-94,,
7:30.0,Offensive rebound by M. Muscala,,68-94,,
7:27.0,M. Muscala misses 2-pt shot from 2 ft (block by R. Butler),,68-94,,
7:26.0,,,68-94,,Defensive rebound by B. Diaw
7:21.0,,,68-97,3,P. Mills makes 3-pt shot from 23 ft (assist by B. Diaw)
7:10.0,,,68-97,,Personal foul by J. Simmons (drawn by J. Holiday)
7:02.0,T. Hardaway makes 2-pt shot from 2 ft (assist by S. Mack),2,70-97,,
6:38.0,,,70-100,3,B. Diaw makes 3-pt shot from 25 ft (assist by J. Simmons)
6:16.0,M. Muscala makes 2-pt shot from 6 ft,2,72-100,,
6:16.0,,,72-100,,San Antonio full timeout
6:16.0,,,72-100,,B. Marjanovic enters the game for B. Diaw
6:16.0,,,72-100,,D. Green enters the game for P. Mills
6:16.0,M. Scott enters the game for T. Sefolosha,,72-100,,
5:52.0,,,72-100,,B. Marjanovic misses 2-pt shot from 4 ft (block by M. Muscala)
5:50.0,Defensive rebound by T. Hardaway,,72-100,,
5:41.0,M. Scott makes 2-pt shot from 10 ft (assist by S. Mack),2,74-100,,
5:20.0,,,74-102,2,J. Simmons makes 2-pt shot from 16 ft (assist by D. Green)
5:05.0,M. Scott makes 2-pt shot from 6 ft (assist by S. Mack),2,76-102,,
4:43.0,,,76-104,2,J. Simmons makes 2-pt shot from 6 ft (assist by D. Green)
4:43.0,,,76-104,,Shooting foul by T. Hardaway (drawn by J. Simmons)
4:43.0,L. Patterson enters the game for M. Muscala,,76-104,,
4:43.0,,,76-105,1,J. Simmons makes free throw 1 of 1
4:33.0,L. Patterson misses 2-pt shot from 17 ft,,76-105,,
4:32.0,Offensive rebound by M. Scott,,76-105,,
4:25.0,M. Scott misses 2-pt shot from 8 ft,,76-105,,
4:24.0,,,76-105,,Defensive rebound by B. Marjanovic
4:07.0,,,76-105,,B. Marjanovic misses 2-pt shot from 4 ft (block by M. Scott)
4:07.0,Defensive rebound by Team,,76-105,,
4:00.0,S. Mack makes 2-pt shot from 8 ft (assist by M. Scott),2,78-105,,
4:00.0,,,78-105,,San Antonio full timeout
3:42.0,,,78-105,,R. Butler misses 2-pt shot from 18 ft
