time,Memphis,pts.away,score,pts.home,Houston
8:24.0,J. Green misses 3-pt shot from 23 ft,,7-7,,
8:24.0,Offensive rebound by M. Gasol,,7-7,,
8:21.0,M. Gasol misses 2-pt shot from 11 ft,,7-7,,
8:21.0,Offensive rebound by Team,,7-7,,
8:17.0,M. Gasol makes 2-pt shot from 18 ft (assist by M. Conley),2,9-7,,
8:00.0,,,9-7,,J. Terry misses 3-pt shot from 24 ft
7:59.0,Defensive rebound by Team,,9-7,,
7:38.0,M. Gasol misses 2-pt shot from 2 ft (block by T. Jones),,9-7,,
7:37.0,,,9-7,,Defensive rebound by J. Harden
7:33.0,,,9-7,,Turnover by T. Ariza (bad pass)
7:28.0,J. Green makes 2-pt shot from 2 ft (assist by M. Barnes),2,11-7,,
7:21.0,,,11-7,,Houston full timeout
7:13.0,,,11-7,,T. Ariza misses 3-pt shot from 23 ft
7:12.0,Defensive rebound by M. Barnes,,11-7,,
7:00.0,Turnover by T. Allen (bad pass; steal by J. Terry),,11-7,,
6:53.0,,,11-7,,J. Terry misses 3-pt shot from 24 ft
6:53.0,Defensive rebound by M. Gasol,,11-7,,
6:39.0,Turnover by M. Gasol (bad pass; steal by J. Terry),,11-7,,
6:20.0,,,11-7,,D. Howard misses 2-pt shot at rim (block by T. Allen)
6:19.0,Defensive rebound by M. Barnes,,11-7,,
6:12.0,Turnover by T. Allen (lost ball; steal by D. Howard),,11-7,,
6:06.0,,,11-9,2,J. Harden makes 2-pt shot from 2 ft
5:59.0,Memphis full timeout,,11-9,,
5:59.0,,,11-9,,P. Beverley enters the game for J. Terry
5:45.0,M. Conley misses 3-pt shot from 25 ft,,11-9,,
5:45.0,,,11-9,,Defensive rebound by T. Jones
5:23.0,,,11-11,2,T. Ariza makes 2-pt shot from 2 ft (assist by P. Beverley)
5:06.0,M. Conley makes 2-pt shot from 17 ft,2,13-11,,
4:51.0,,,13-11,,P. Beverley misses 2-pt shot from 20 ft
4:50.0,Defensive rebound by M. Barnes,,13-11,,
4:48.0,M. Conley makes 2-pt shot from 1 ft (assist by M. Barnes),2,15-11,,
4:48.0,Shooting foul by P. Beverley (drawn by M. Conley),,15-11,,
4:48.0,M. Chalmers enters the game for T. Allen,,15-11,,
4:48.0,,,15-11,,C. Capela enters the game for D. Howard
4:48.0,,,15-11,,C. Brewer enters the game for T. Ariza
4:48.0,M. Conley makes free throw 1 of 1,1,16-11,,
4:36.0,,,16-11,,C. Brewer misses 2-pt shot from 3 ft
4:35.0,Defensive rebound by M. Chalmers,,16-11,,
4:19.0,J. Green makes 2-pt shot from 5 ft,2,18-11,,
3:59.0,,,18-11,,Turnover by T. Jones (traveling)
3:59.0,J. Green enters the game for M. Gasol,,18-11,,
3:53.0,J. Green misses 2-pt shot from 2 ft (block by C. Capela),,18-11,,
3:52.0,Offensive rebound by J. Green,,18-11,,
3:50.0,J. Green misses 2-pt shot from 1 ft (block by C. Capela),,18-11,,
3:49.0,,,18-11,,Defensive rebound by C. Brewer
3:49.0,Personal foul by M. Chalmers (drawn by C. Brewer),,18-11,,
3:49.0,,,18-11,,M. Thornton enters the game for T. Jones
3:39.0,,,18-13,2,P. Beverley makes 2-pt shot from 11 ft
3:19.0,M. Conley makes 2-pt shot from 18 ft,2,20-13,,
3:05.0,Personal block foul by J. Green (drawn by J. Harden),,20-13,,
3:01.0,,,20-16,3,J. Harden makes 3-pt shot from 25 ft (assist by P. Beverley)
2:43.0,Shooting foul by C. Capela (drawn by J. Green),,20-16,,
2:43.0,J. Green makes free throw 1 of 2,1,21-16,,
2:43.0,C. Lee enters the game for J. Green,,21-16,,
2:43.0,J. Green makes free throw 2 of 2,1,22-16,,
2:29.0,,,22-18,2,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden)
2:13.0,J. Green makes 2-pt shot from 1 ft (assist by M. Chalmers),2,24-18,,
1:58.0,,,24-18,,C. Capela misses 2-pt shot from 1 ft
1:57.0,,,24-18,,Offensive rebound by C. Capela
1:56.0,,,24-20,2,C. Capela makes 2-pt shot from 1 ft
1:39.0,M. Barnes misses 3-pt shot from 25 ft,,24-20,,
1:39.0,,,24-20,,Defensive rebound by J. Harden
1:25.0,,,24-20,,Shooting foul by M. Barnes (drawn by C. Brewer)
1:25.0,,,24-21,1,C. Brewer makes free throw 1 of 2
1:25.0,V. Carter enters the game for M. Barnes,,24-21,,
1:25.0,,,24-22,1,C. Brewer makes free throw 2 of 2
1:11.0,Turnover by M. Conley (lost ball; steal by C. Capela),,24-22,,
1:05.0,,,24-24,2,J. Harden makes 2-pt shot from 2 ft (assist by C. Capela)
1:00.0,J. Green makes 2-pt shot at rim (assist by M. Chalmers),2,26-24,,
0:42.0,,,26-24,,J. Harden misses 3-pt shot from 24 ft
0:41.0,Defensive rebound by V. Carter,,26-24,,
0:31.0,,,26-24,,Personal foul by M. Thornton (drawn by M. Chalmers)
0:31.0,M. Chalmers makes free throw 1 of 2,1,27-24,,
0:31.0,M. Gasol enters the game for J. Green,,27-24,,
0:31.0,M. Chalmers makes free throw 2 of 2,1,28-24,,
0:16.0,,,28-24,,P. Beverley misses 3-pt shot from 25 ft
0:15.0,Defensive rebound by V. Carter,,28-24,,
0:03.0,C. Lee misses 3-pt shot from 23 ft,,28-24,,
0:03.0,,,28-24,,Defensive rebound by P. Beverley
0:00.0,,,28-24,,P. Beverley misses 3-pt shot from 40 ft
0:00.0,,,28-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,Personal foul by M. Gasol (drawn by D. Howard),,28-24,,
11:41.0,,,28-24,,T. Ariza misses 3-pt shot from 23 ft
11:40.0,Defensive rebound by V. Carter,,28-24,,
11:25.0,C. Lee misses 2-pt shot from 15 ft,,28-24,,
11:24.0,,,28-24,,Defensive rebound by T. Ariza
11:14.0,,,28-24,,Turnover by D. Howard (bad pass)
10:51.0,C. Lee makes 2-pt shot from 2 ft (assist by V. Carter),2,30-24,,
10:40.0,,,30-26,2,M. Thornton makes 2-pt shot from 16 ft
10:22.0,C. Lee makes 2-pt shot from 18 ft,2,32-26,,
10:10.0,,,32-26,,M. Thornton misses 3-pt shot from 25 ft
10:09.0,Defensive rebound by M. Gasol,,32-26,,
9:57.0,M. Gasol misses 2-pt shot from 11 ft,,32-26,,
9:55.0,Offensive rebound by V. Carter,,32-26,,
9:43.0,M. Chalmers makes 2-pt shot from 3 ft,2,34-26,,
9:28.0,,,34-26,,D. Howard misses 2-pt shot from 3 ft (block by M. Gasol)
9:27.0,Defensive rebound by C. Lee,,34-26,,
9:19.0,C. Lee makes 2-pt shot from 18 ft,2,36-26,,
9:19.0,,,36-26,,Houston full timeout
9:19.0,,,36-26,,T. Jones enters the game for P. Beverley
9:19.0,,,36-26,,J. Harden enters the game for M. Thornton
9:19.0,,,36-26,,J. Terry enters the game for T. Lawson
9:19.0,M. Barnes enters the game for J. Green,,36-26,,
9:10.0,,,36-26,,Turnover by J. Harden (bad pass; steal by V. Carter)
9:05.0,M. Gasol makes 2-pt shot at rim (assist by M. Chalmers),2,38-26,,
8:43.0,,,38-26,,T. Jones misses 3-pt shot from 23 ft
8:42.0,Defensive rebound by M. Chalmers,,38-26,,
8:20.0,C. Lee misses 2-pt shot from 4 ft (block by D. Howard),,38-26,,
8:19.0,,,38-26,,Defensive rebound by T. Ariza
8:17.0,,,38-26,,Shooting foul by M. Chalmers (drawn by J. Harden)
8:17.0,,,38-27,1,J. Harden makes free throw 1 of 2
8:17.0,,,38-28,1,J. Harden makes free throw 2 of 2
7:59.0,Turnover by M. Gasol (bad pass; steal by J. Harden),,38-28,,
7:53.0,,,38-30,2,D. Howard makes 2-pt shot at rim (assist by T. Ariza)
7:40.0,M. Gasol misses 2-pt shot from 10 ft,,38-30,,
7:39.0,,,38-30,,Defensive rebound by T. Jones
7:29.0,,,38-30,,T. Jones misses 2-pt shot from 6 ft
7:28.0,Defensive rebound by M. Gasol,,38-30,,
7:12.0,M. Gasol misses 2-pt shot from 19 ft,,38-30,,
7:11.0,Offensive rebound by V. Carter,,38-30,,
7:06.0,M. Chalmers misses 3-pt shot from 24 ft,,38-30,,
7:03.0,,,38-30,,Defensive rebound by T. Ariza
6:56.0,,,38-30,,Turnover by J. Harden (lost ball; steal by M. Barnes)
6:50.0,M. Chalmers makes 2-pt shot from 1 ft (assist by C. Lee),2,40-30,,
6:33.0,,,40-30,,Turnover by T. Ariza (offensive foul)
6:33.0,,,40-30,,Offensive foul by T. Ariza
6:16.0,V. Carter misses 3-pt shot from 22 ft,,40-30,,
6:14.0,,,40-30,,Defensive rebound by D. Howard
6:02.0,,,40-32,2,D. Howard makes 2-pt shot from 1 ft (assist by T. Jones)
5:49.0,M. Barnes makes 2-pt shot from 8 ft (assist by M. Chalmers),2,42-32,,
5:21.0,,,42-35,3,J. Terry makes 3-pt shot from 25 ft (assist by T. Ariza)
5:02.0,M. Chalmers misses 2-pt shot from 3 ft (block by J. Terry),,42-35,,
5:02.0,,,42-35,,Defensive rebound by T. Ariza
4:54.0,,,42-35,,T. Ariza misses 3-pt shot from 24 ft
4:54.0,Defensive rebound by M. Barnes,,42-35,,
4:34.0,M. Chalmers misses 3-pt shot from 24 ft,,42-35,,
4:33.0,,,42-35,,Defensive rebound by T. Ariza
4:09.0,,,42-37,2,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden)
4:04.0,M. Barnes makes 2-pt shot from 1 ft,2,44-37,,
4:04.0,Shooting foul by J. Terry (drawn by M. Barnes),,44-37,,
4:04.0,Memphis full timeout,,44-37,,
4:04.0,J. Green enters the game for M. Chalmers,,44-37,,
4:04.0,M. Conley enters the game for V. Carter,,44-37,,
4:04.0,,,44-37,,C. Brewer enters the game for T. Jones
4:04.0,M. Barnes makes free throw 1 of 1,1,45-37,,
3:49.0,,,45-40,3,J. Terry makes 3-pt shot from 25 ft (assist by J. Harden)
3:32.0,Turnover by M. Gasol (lost ball; steal by D. Howard),,45-40,,
3:22.0,,,45-42,2,D. Howard makes 2-pt shot at rim (assist by J. Terry)
3:08.0,,,45-42,,Personal foul by C. Brewer (drawn by C. Lee)
2:58.0,M. Gasol makes 2-pt shot from 16 ft (assist by M. Barnes),2,47-42,,
2:44.0,,,47-44,2,J. Harden makes 2-pt shot from 1 ft
2:24.0,C. Lee misses 3-pt shot from 25 ft,,47-44,,
2:24.0,,,47-44,,Defensive rebound by J. Harden
2:20.0,,,47-46,2,J. Terry makes 2-pt shot from 1 ft (assist by J. Harden)
2:13.0,Memphis full timeout,,47-46,,
2:01.0,Turnover by M. Barnes (bad pass; steal by C. Brewer),,47-46,,
1:55.0,,,47-48,2,J. Harden makes 2-pt shot from 2 ft
1:39.0,M. Barnes makes 3-pt shot from 23 ft (assist by M. Gasol),3,50-48,,
1:25.0,,,50-51,3,J. Harden makes 3-pt shot from 25 ft
1:15.0,M. Conley makes 2-pt shot from 8 ft,2,52-51,,
1:15.0,Shooting foul by J. Terry (drawn by M. Conley),,52-51,,
1:15.0,,,52-51,,P. Beverley enters the game for J. Terry
1:15.0,M. Conley makes free throw 1 of 1,1,53-51,,
1:00.0,,,53-51,,C. Brewer misses 3-pt shot from 23 ft
1:00.0,,,53-51,,Offensive rebound by J. Harden
0:53.0,,,53-51,,Turnover by T. Ariza (bad pass)
0:45.0,,,53-51,,Personal foul by C. Brewer (drawn by C. Lee)
0:45.0,C. Lee makes free throw 1 of 2,1,54-51,,
0:45.0,C. Lee misses free throw 2 of 2,,54-51,,
0:45.0,,,54-51,,Defensive rebound by D. Howard
0:30.0,,,54-51,,Turnover by J. Harden (lost ball)
0:10.0,M. Barnes misses 3-pt shot from 22 ft,,54-51,,
0:10.0,Offensive rebound by J. Green,,54-51,,
0:09.0,J. Green makes 2-pt shot at rim,2,56-51,,
0:03.0,Personal take foul by C. Lee (drawn by J. Harden),,56-51,,
0:03.0,,,56-51,,Houston full timeout
0:03.0,M. Chalmers enters the game for M. Barnes,,56-51,,
0:00.0,,,56-53,2,J. Harden makes 2-pt shot from 21 ft (assist by C. Brewer)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,56-53,,J. Harden misses 2-pt shot from 13 ft
11:45.0,Defensive rebound by J. Green,,56-53,,
11:24.0,M. Gasol makes 2-pt shot from 19 ft (assist by M. Conley),2,58-53,,
11:00.0,,,58-53,,J. Harden misses 3-pt shot from 22 ft
10:59.0,Defensive rebound by M. Gasol,,58-53,,
10:56.0,Turnover by M. Gasol (bad pass; steal by J. Harden),,58-53,,
10:53.0,,,58-55,2,J. Harden makes 2-pt shot from 1 ft
10:37.0,M. Conley makes 2-pt shot from 16 ft,2,60-55,,
10:23.0,,,60-55,,T. Jones misses 2-pt shot from 7 ft
10:22.0,Defensive rebound by Team,,60-55,,
10:04.0,J. Green makes 2-pt shot from 6 ft,2,62-55,,
10:04.0,Shooting foul by D. Howard (drawn by J. Green),,62-55,,
10:04.0,J. Green makes free throw 1 of 1,1,63-55,,
9:42.0,,,63-58,3,J. Harden makes 3-pt shot from 25 ft
9:42.0,,,63-58,,Shooting foul by T. Allen (drawn by J. Harden)
9:42.0,,,63-59,1,J. Harden makes free throw 1 of 1
9:21.0,J. Green makes 2-pt shot from 4 ft,2,65-59,,
9:21.0,Shooting foul by T. Ariza (drawn by J. Green),,65-59,,
9:21.0,J. Green makes free throw 1 of 1,1,66-59,,
9:06.0,,,66-59,,Shooting foul by M. Conley (drawn by J. Terry)
9:06.0,,,66-60,1,J. Terry makes free throw 1 of 2
9:06.0,,,66-61,1,J. Terry makes free throw 2 of 2
8:50.0,T. Allen misses 2-pt shot from 2 ft (block by J. Harden),,66-61,,
8:49.0,,,66-61,,Defensive rebound by T. Jones
8:28.0,,,66-64,3,T. Jones makes 3-pt shot from 24 ft (assist by J. Harden)
8:15.0,T. Allen makes 2-pt shot from 1 ft (assist by M. Conley),2,68-64,,
8:06.0,,,68-64,,T. Ariza misses 2-pt shot from 16 ft
8:05.0,Defensive rebound by M. Barnes,,68-64,,
8:03.0,Offensive foul by M. Conley,,68-64,,
8:03.0,Turnover by M. Conley (offensive foul),,68-64,,
7:44.0,,,68-64,,Turnover by D. Howard (3 sec)
7:27.0,T. Allen misses 2-pt shot from 20 ft,,68-64,,
7:26.0,,,68-64,,Defensive rebound by J. Terry
7:20.0,,,68-64,,Shooting foul by M. Barnes (drawn by J. Harden)
7:20.0,,,68-65,1,J. Harden makes free throw 1 of 2
7:20.0,,,68-66,1,J. Harden makes free throw 2 of 2
7:03.0,J. Green misses 2-pt shot from 9 ft,,68-66,,
7:02.0,Offensive rebound by T. Allen,,68-66,,
7:02.0,T. Allen makes 2-pt shot from 1 ft,2,70-66,,
6:40.0,,,70-66,,Turnover by T. Jones (bad pass; steal by M. Gasol)
6:21.0,Shooting foul by D. Howard (drawn by J. Green),,70-66,,
6:21.0,J. Green makes free throw 1 of 2,1,71-66,,
6:21.0,J. Green makes free throw 2 of 2,1,72-66,,
6:06.0,,,72-66,,Turnover by T. Jones (bad pass; steal by J. Green)
6:01.0,M. Barnes makes 2-pt shot from 1 ft (assist by J. Green),2,74-66,,
6:01.0,,,74-66,,Houston full timeout
6:01.0,,,74-66,,C. Brewer enters the game for T. Jones
5:34.0,,,74-66,,C. Brewer misses 3-pt shot from 23 ft
5:33.0,,,74-66,,Offensive rebound by C. Brewer
5:29.0,,,74-69,3,J. Harden makes 3-pt shot from 25 ft (assist by J. Terry)
5:07.0,M. Barnes misses 2-pt shot from 8 ft,,74-69,,
5:06.0,,,74-69,,Defensive rebound by D. Howard
4:53.0,,,74-69,,J. Terry misses 3-pt shot from 24 ft
4:52.0,Defensive rebound by T. Allen,,74-69,,
4:32.0,,,74-69,,P. Beverley enters the game for J. Terry
4:26.0,M. Conley makes 2-pt shot from 17 ft,2,76-69,,
4:18.0,,,76-69,,J. Harden misses 3-pt shot from 25 ft
4:17.0,Defensive rebound by M. Barnes,,76-69,,
4:01.0,M. Gasol makes 2-pt shot from 4 ft (assist by M. Conley),2,78-69,,
3:44.0,,,78-69,,Turnover by D. Howard (dbl dribble)
3:44.0,,,78-69,,M. Thornton enters the game for T. Ariza
3:44.0,M. Chalmers enters the game for T. Allen,,78-69,,
3:44.0,J. Green enters the game for M. Gasol,,78-69,,
3:31.0,Turnover by J. Green (bad pass),,78-69,,
3:23.0,Shooting block foul by J. Green (drawn by J. Harden),,78-69,,
3:23.0,,,78-70,1,J. Harden makes free throw 1 of 2
3:23.0,,,78-70,,C. Capela enters the game for D. Howard
3:23.0,,,78-71,1,J. Harden makes free throw 2 of 2
3:06.0,J. Green misses 2-pt shot from 3 ft,,78-71,,
3:05.0,,,78-71,,Defensive rebound by C. Brewer
3:00.0,,,78-71,,C. Brewer misses 2-pt shot from 2 ft
2:59.0,Defensive rebound by J. Green,,78-71,,
2:58.0,,,78-71,,Personal foul by J. Harden (drawn by M. Conley)
2:58.0,Memphis full timeout,,78-71,,
2:43.0,J. Green misses 2-pt shot at rim (block by C. Capela),,78-71,,
2:42.0,Offensive rebound by M. Barnes,,78-71,,
2:38.0,Shooting foul by C. Capela (drawn by J. Green),,78-71,,
2:38.0,J. Green makes free throw 1 of 2,1,79-71,,
2:38.0,J. Green makes free throw 2 of 2,1,80-71,,
2:18.0,,,80-73,2,P. Beverley makes 2-pt shot from 1 ft (assist by C. Brewer)
2:00.0,M. Barnes misses 3-pt shot from 23 ft,,80-73,,
1:59.0,,,80-73,,Defensive rebound by C. Brewer
1:44.0,,,80-75,2,C. Capela makes 2-pt shot at rim (assist by M. Thornton)
1:31.0,Turnover by M. Chalmers (lost ball; steal by C. Capela),,80-75,,
1:29.0,,,80-75,,Turnover by C. Brewer (traveling)
1:12.0,J. Green misses 2-pt shot from 3 ft,,80-75,,
1:11.0,,,80-75,,Defensive rebound by J. Harden
1:07.0,Personal foul by M. Chalmers (drawn by J. Harden),,80-75,,
1:07.0,,,80-76,1,J. Harden makes free throw 1 of 2
1:07.0,,,80-77,1,J. Harden makes free throw 2 of 2
1:00.0,,,80-77,,Personal foul by C. Brewer (drawn by J. Green)
1:00.0,J. Green makes free throw 1 of 2,1,81-77,,
1:00.0,T. Allen enters the game for M. Barnes,,81-77,,
1:00.0,J. Green makes free throw 2 of 2,1,82-77,,
0:36.0,,,82-77,,J. Harden misses 2-pt shot from 21 ft
0:35.0,Defensive rebound by M. Conley,,82-77,,
0:26.0,M. Chalmers misses 3-pt shot from 25 ft,,82-77,,
0:25.0,,,82-77,,Defensive rebound by C. Capela
0:01.0,,,82-77,,J. Harden misses 2-pt shot from 2 ft (block by J. Green)
0:01.0,,,82-77,,Offensive rebound by Team
0:01.0,,,82-77,,Turnover by Team (shot clock)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,Turnover by J. Green (lost ball; steal by T. Ariza),,82-77,,
11:21.0,,,82-77,,Shooting foul by T. Allen (drawn by M. Thornton)
11:21.0,,,82-77,,M. Thornton misses free throw 1 of 2
11:21.0,,,82-77,,Offensive rebound by Team
11:21.0,,,82-77,,M. Thornton misses free throw 2 of 2
11:21.0,Defensive rebound by J. Green,,82-77,,
10:59.0,M. Chalmers misses 2-pt shot from 9 ft,,82-77,,
10:59.0,Offensive rebound by Team,,82-77,,
10:59.0,Turnover by M. Chalmers (traveling),,82-77,,
10:49.0,,,82-77,,Offensive foul by T. Ariza
10:49.0,,,82-77,,Turnover by T. Ariza (offensive foul)
10:31.0,J. Green misses 2-pt shot from 11 ft,,82-77,,
10:31.0,,,82-77,,Defensive rebound by Team
10:31.0,V. Carter enters the game for J. Green,,82-77,,
10:31.0,Jump ball: J. Green vs. D. Howard (P. Beverley gains possession),,,,Jump ball: J. Green vs. D. Howard (P. Beverley gains possession)
10:20.0,Personal foul by J. Green (drawn by D. Howard),,82-77,,
10:15.0,Personal foul by J. Green (drawn by D. Howard),,82-77,,
10:06.0,Personal foul by J. Green (drawn by D. Howard),,82-77,,
9:53.0,,,82-77,,C. Brewer misses 3-pt shot from 25 ft
9:52.0,,,82-77,,Offensive rebound by P. Beverley
9:47.0,,,82-77,,D. Howard misses 2-pt shot from 1 ft
9:47.0,Defensive rebound by J. Green,,82-77,,
9:47.0,,,82-77,,Technical foul by D. Howard
9:47.0,Technical foul by J. Green,,82-77,,
9:47.0,M. Gasol enters the game for J. Green,,82-77,,
9:32.0,Turnover by V. Carter (lost ball; steal by T. Ariza),,82-77,,
9:32.0,Personal foul by V. Carter (drawn by T. Ariza),,82-77,,
9:32.0,,,82-78,1,T. Ariza makes free throw 1 of 2
9:32.0,,,82-79,1,T. Ariza makes free throw 2 of 2
9:23.0,,,82-79,,Personal foul by D. Howard (drawn by M. Gasol)
9:12.0,C. Lee makes 2-pt shot from 19 ft (assist by M. Chalmers),2,84-79,,
8:48.0,,,84-79,,M. Thornton misses 3-pt shot from 24 ft
8:47.0,Defensive rebound by Team,,84-79,,
8:47.0,Memphis full timeout,,84-79,,
8:30.0,C. Lee misses 3-pt shot from 24 ft,,84-79,,
8:30.0,Offensive rebound by T. Allen,,84-79,,
8:25.0,C. Lee makes 2-pt shot from 12 ft (assist by T. Allen),2,86-79,,
8:01.0,,,86-79,,Turnover by P. Beverley (bad pass; steal by T. Allen)
7:42.0,C. Lee makes 2-pt shot from 10 ft,2,88-79,,
7:35.0,,,88-79,,Houston full timeout
7:35.0,,,88-79,,J. Harden enters the game for P. Beverley
7:35.0,,,88-79,,J. Terry enters the game for M. Thornton
7:25.0,,,88-79,,Turnover by J. Terry (bad pass; steal by C. Lee)
7:05.0,T. Allen misses 2-pt shot from 2 ft,,88-79,,
7:03.0,,,88-79,,Defensive rebound by J. Terry
6:55.0,Personal foul by C. Lee (drawn by D. Howard),,88-79,,
6:55.0,,,88-80,1,D. Howard makes free throw 1 of 2
6:55.0,,,88-80,,D. Howard misses free throw 2 of 2
6:55.0,Defensive rebound by V. Carter,,88-80,,
6:31.0,M. Gasol misses 2-pt shot from 19 ft,,88-80,,
6:30.0,,,88-80,,Defensive rebound by T. Ariza
6:24.0,Personal foul by M. Gasol (drawn by D. Howard),,88-80,,
6:24.0,,,88-81,1,D. Howard makes free throw 1 of 2
6:24.0,,,88-82,1,D. Howard makes free throw 2 of 2
6:13.0,,,88-82,,Personal foul by T. Ariza (drawn by M. Gasol)
6:01.0,T. Allen makes 2-pt shot from 1 ft (assist by V. Carter),2,90-82,,
5:49.0,,,90-82,,T. Ariza misses 3-pt shot from 23 ft
5:48.0,Defensive rebound by M. Chalmers,,90-82,,
5:32.0,C. Lee makes 2-pt shot from 14 ft,2,92-82,,
5:13.0,,,92-82,,T. Ariza misses 2-pt shot from 1 ft
5:13.0,,,92-82,,Offensive rebound by D. Howard
5:13.0,,,92-82,,Shooting foul by V. Carter (drawn by D. Howard)
5:13.0,,,92-83,1,D. Howard makes free throw 1 of 2
5:13.0,M. Conley enters the game for M. Chalmers,,92-83,,
5:13.0,J. Green enters the game for V. Carter,,92-83,,
5:13.0,,,92-83,,D. Howard misses free throw 2 of 2
5:13.0,Defensive rebound by T. Allen,,92-83,,
4:59.0,Turnover by M. Gasol (lost ball; steal by C. Brewer),,92-83,,
4:57.0,Personal foul by C. Lee (drawn by J. Harden),,92-83,,
4:57.0,,,92-84,1,J. Harden makes free throw 1 of 2
4:57.0,,,92-85,1,J. Harden makes free throw 2 of 2
4:38.0,M. Gasol misses 2-pt shot from 17 ft,,92-85,,
4:35.0,,,92-85,,Defensive rebound by T. Ariza
4:27.0,,,92-85,,J. Terry misses 3-pt shot from 23 ft
4:26.0,Defensive rebound by J. Green,,92-85,,
4:10.0,Shooting foul by D. Howard (drawn by M. Gasol),,92-85,,
4:10.0,M. Gasol makes free throw 1 of 2,1,93-85,,
4:10.0,M. Gasol misses free throw 2 of 2,,93-85,,
4:10.0,,,93-85,,Defensive rebound by T. Ariza
3:58.0,,,93-85,,C. Brewer misses 3-pt shot from 24 ft
3:57.0,Defensive rebound by T. Allen,,93-85,,
3:42.0,M. Conley makes 3-pt shot from 23 ft,3,96-85,,
3:31.0,,,96-85,,J. Harden misses 3-pt shot from 24 ft
3:30.0,Defensive rebound by Team,,96-85,,
3:30.0,Memphis full timeout,,96-85,,
3:09.0,J. Green misses 2-pt shot from 8 ft,,96-85,,
3:08.0,Offensive rebound by J. Green,,96-85,,
2:54.0,M. Conley misses 2-pt shot from 1 ft,,96-85,,
2:53.0,,,96-85,,Defensive rebound by T. Ariza
2:32.0,,,96-85,,Turnover by T. Ariza (bad pass; steal by C. Lee)
2:26.0,T. Allen makes 2-pt shot from 1 ft (assist by C. Lee),2,98-85,,
2:01.0,,,98-88,3,J. Terry makes 3-pt shot from 24 ft (assist by D. Howard)
1:43.0,T. Allen misses 2-pt shot from 15 ft,,98-88,,
1:42.0,,,98-88,,Defensive rebound by T. Ariza
1:27.0,,,98-91,3,C. Brewer makes 3-pt shot from 23 ft (assist by J. Terry)
1:27.0,Memphis full timeout,,98-91,,
1:11.0,C. Lee makes 2-pt shot from 20 ft (assist by M. Gasol),2,100-91,,
1:00.0,,,100-91,,C. Brewer misses 3-pt shot from 23 ft
0:59.0,Defensive rebound by J. Green,,100-91,,
0:36.0,C. Lee misses 2-pt shot from 3 ft,,100-91,,
0:34.0,,,100-91,,Defensive rebound by C. Brewer
