time,Miami,pts.away,score,pts.home,Sacramento
5:52.0,,,54-35,,Defensive rebound by R. Gay
5:42.0,Personal foul by J. Richardson,,54-35,,
5:42.0,,,54-35,,Sacramento full timeout
5:42.0,,,54-35,,S. Curry enters the game for B. McLemore
5:42.0,,,54-35,,R. Rondo enters the game for J. Anderson
5:26.0,,,54-35,,D. Collison misses 3-pt shot from 25 ft
5:24.0,,,54-35,,Offensive rebound by R. Gay
5:22.0,,,54-35,,Turnover by R. Gay (lost ball; steal by G. Green)
5:11.0,G. Green makes 2-pt shot from 16 ft,2,56-35,,
4:54.0,,,56-35,,W. Cauley-Stein misses 2-pt shot from 10 ft (block by H. Whiteside)
4:54.0,,,56-35,,Offensive rebound by Team
4:49.0,,,56-35,,S. Curry misses 2-pt shot from 5 ft (block by H. Whiteside)
4:49.0,,,56-35,,Offensive rebound by Team
4:49.0,,,56-35,,Turnover by Team (5 sec inbounds)
4:24.0,J. Johnson makes 3-pt shot from 24 ft,3,59-35,,
4:13.0,,,59-35,,R. Rondo misses 2-pt shot from 18 ft
4:12.0,Defensive rebound by G. Green,,59-35,,
4:07.0,G. Green misses 2-pt shot from 22 ft,,59-35,,
4:05.0,Offensive rebound by J. Winslow,,59-35,,
3:49.0,G. Green misses 2-pt shot from 14 ft,,59-35,,
3:48.0,,,59-35,,Defensive rebound by R. Gay
3:39.0,,,59-38,3,D. Collison makes 3-pt shot from 23 ft (assist by S. Curry)
3:30.0,Miami full timeout,,59-38,,
3:30.0,G. Dragic enters the game for J. Richardson,,59-38,,
3:30.0,,,59-38,,K. Koufos enters the game for W. Cauley-Stein
3:15.0,H. Whiteside misses 2-pt shot from 17 ft,,59-38,,
3:15.0,Offensive rebound by J. Winslow,,59-38,,
3:12.0,Turnover by J. Winslow (lost ball; steal by S. Curry),,59-38,,
3:06.0,,,59-40,2,R. Gay makes 2-pt shot from 1 ft
2:49.0,J. Winslow misses 2-pt shot from 3 ft (block by K. Koufos),,59-40,,
2:49.0,Offensive rebound by Team,,59-40,,
2:45.0,Turnover by G. Dragic (lost ball; steal by R. Gay),,59-40,,
2:42.0,Personal foul by J. Winslow,,59-40,,
2:42.0,,,59-41,1,D. Collison makes free throw 1 of 2
2:42.0,L. Deng enters the game for J. Winslow,,59-41,,
2:42.0,,,59-42,1,D. Collison makes free throw 2 of 2
2:30.0,Turnover by G. Dragic (lost ball; steal by S. Curry),,59-42,,
2:29.0,Personal foul by G. Dragic,,59-42,,
2:29.0,A. Stoudemire enters the game for H. Whiteside,,59-42,,
2:17.0,,,59-42,,R. Rondo misses 2-pt shot from 2 ft (block by G. Dragic)
2:17.0,,,59-42,,Offensive rebound by Team
2:09.0,,,59-44,2,R. Gay makes 2-pt shot from 5 ft
1:54.0,G. Dragic misses 2-pt shot from 15 ft,,59-44,,
1:54.0,,,59-44,,Defensive rebound by R. Rondo
1:47.0,,,59-46,2,R. Gay makes 2-pt shot from 2 ft (assist by R. Rondo)
1:36.0,Miami full timeout,,59-46,,
1:18.0,G. Green makes 3-pt shot from 24 ft (assist by J. Johnson),3,62-46,,
1:04.0,,,62-46,,Turnover by R. Gay (bad pass)
1:04.0,J. Richardson enters the game for G. Dragic,,62-46,,
0:45.0,Shooting foul by R. Gay (drawn by A. Stoudemire),,62-46,,
0:45.0,A. Stoudemire makes free throw 1 of 2,1,63-46,,
0:45.0,A. Stoudemire makes free throw 2 of 2,1,64-46,,
0:40.0,,,64-48,2,K. Koufos makes 2-pt shot from 8 ft (assist by R. Rondo)
0:27.0,J. Johnson makes 2-pt shot from 7 ft,2,66-48,,
0:07.0,,,66-48,,R. Rondo misses 2-pt shot from 2 ft
0:07.0,,,66-48,,Offensive rebound by K. Koufos
0:06.0,Personal foul by A. Stoudemire,,66-48,,
0:06.0,,,66-48,,K. Koufos misses free throw 1 of 2
0:06.0,,,66-48,,Offensive rebound by Team
0:06.0,,,66-48,,J. Anderson enters the game for R. Rondo
0:06.0,H. Whiteside enters the game for A. Stoudemire,,66-48,,
0:06.0,G. Dragic enters the game for J. Richardson,,66-48,,
0:06.0,,,66-48,,K. Koufos misses free throw 2 of 2
0:06.0,,,66-48,,Offensive rebound by K. Koufos
0:04.0,,,66-48,,K. Koufos misses 2-pt shot from 12 ft
0:02.0,Defensive rebound by J. Johnson,,66-48,,
0:00.0,J. Johnson misses 3-pt shot from 61 ft,,66-48,,
0:00.0,Offensive rebound by Team,,66-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,L. Deng makes 3-pt shot from 24 ft (assist by J. Johnson),3,69-48,,
11:30.0,,,69-48,,Shooting foul by G. Dragic (drawn by S. Curry)
11:30.0,,,69-49,1,S. Curry makes free throw 1 of 3
11:30.0,,,69-50,1,S. Curry makes free throw 2 of 3
11:30.0,,,69-50,,S. Curry misses free throw 3 of 3
11:29.0,,,69-50,,Offensive rebound by R. Gay
11:22.0,,,69-53,3,J. Anderson makes 3-pt shot from 24 ft (assist by R. Rondo)
11:01.0,Turnover by J. Johnson (lost ball; steal by R. Gay),,69-53,,
10:57.0,,,69-53,,Turnover by R. Gay (lost ball; steal by G. Green)
10:50.0,Shooting foul by Q. Acy (drawn by G. Dragic),,69-53,,
10:50.0,G. Dragic makes free throw 1 of 2,1,70-53,,
10:50.0,G. Dragic makes free throw 2 of 2,1,71-53,,
10:35.0,,,71-55,2,J. Anderson makes 2-pt shot from 3 ft
10:23.0,G. Green makes 2-pt shot from 16 ft (assist by G. Dragic),2,73-55,,
10:13.0,,,73-57,2,Q. Acy makes 2-pt shot from 20 ft (assist by R. Rondo)
9:51.0,J. Johnson makes 2-pt shot from 12 ft,2,75-57,,
9:45.0,,,75-57,,Turnover by R. Rondo (lost ball; steal by J. Johnson)
9:39.0,G. Dragic makes 2-pt shot from 12 ft (assist by J. Johnson),2,77-57,,
9:39.0,Violation by Team (jump ball),,77-57,,
9:28.0,,,77-59,2,R. Gay makes 2-pt shot from 2 ft
9:05.0,L. Deng makes 2-pt shot from 7 ft (assist by J. Johnson),2,79-59,,
8:57.0,Personal foul by G. Dragic,,79-59,,
8:57.0,J. Richardson enters the game for G. Dragic,,79-59,,
8:43.0,,,79-59,,Turnover by S. Curry (traveling)
8:26.0,Turnover by J. Johnson (bad pass),,79-59,,
8:12.0,,,79-59,,S. Curry misses 2-pt shot from 10 ft
8:11.0,Defensive rebound by J. Johnson,,79-59,,
8:03.0,G. Green misses 3-pt shot from 25 ft,,79-59,,
8:03.0,,,79-59,,Defensive rebound by R. Rondo
8:00.0,,,79-61,2,J. Anderson makes 2-pt shot at rim (assist by R. Rondo)
7:40.0,G. Green makes 2-pt shot from 16 ft (assist by J. Johnson),2,81-61,,
7:27.0,,,81-61,,R. Rondo misses 2-pt shot from 3 ft
7:26.0,Defensive rebound by A. Stoudemire,,81-61,,
7:11.0,,,81-61,,Personal foul by Q. Acy
7:06.0,Turnover by J. Johnson (lost ball),,81-61,,
6:57.0,,,81-63,2,R. Gay makes 2-pt shot at rim (assist by S. Curry)
6:34.0,G. Green misses 3-pt shot from 24 ft,,81-63,,
6:33.0,,,81-63,,Defensive rebound by R. Gay
6:20.0,,,81-63,,R. Gay misses 2-pt shot from 17 ft
6:20.0,Defensive rebound by J. Richardson,,81-63,,
6:10.0,G. Green makes 3-pt shot from 23 ft (assist by J. Johnson),3,84-63,,
5:58.0,,,84-63,,Q. Acy misses 3-pt shot from 25 ft
5:57.0,Defensive rebound by J. Johnson,,84-63,,
5:51.0,,,84-63,,Personal foul by R. Gay
5:51.0,,,84-63,,Sacramento full timeout
5:51.0,,,84-63,,W. Cauley-Stein enters the game for Q. Acy
5:51.0,,,84-63,,D. Collison enters the game for S. Curry
5:51.0,G. Green makes free throw 1 of 3,1,85-63,,
5:51.0,G. Green makes free throw 2 of 3,1,86-63,,
5:51.0,G. Green makes free throw 3 of 3,1,87-63,,
5:46.0,Personal foul by L. Deng,,87-63,,
5:46.0,J. Winslow enters the game for L. Deng,,87-63,,
5:36.0,,,87-63,,J. Anderson misses 3-pt shot from 25 ft
5:36.0,Defensive rebound by A. Stoudemire,,87-63,,
5:25.0,J. Richardson misses 2-pt shot from 4 ft (block by W. Cauley-Stein),,87-63,,
5:23.0,,,87-63,,Defensive rebound by R. Rondo
5:15.0,,,87-63,,Shooting foul by J. Johnson (drawn by D. Collison)
5:15.0,,,87-64,1,D. Collison makes free throw 1 of 2
5:15.0,,,87-65,1,D. Collison makes free throw 2 of 2
4:53.0,J. Winslow misses 2-pt shot from 14 ft (block by J. Anderson),,87-65,,
4:52.0,Offensive rebound by Team,,87-65,,
4:49.0,G. Green misses 3-pt shot from 25 ft,,87-65,,
4:48.0,,,87-65,,Defensive rebound by W. Cauley-Stein
4:44.0,,,87-65,,Turnover by R. Gay (lost ball)
4:44.0,H. Whiteside enters the game for A. Stoudemire,,87-65,,
4:35.0,Offensive foul by H. Whiteside,,87-65,,
4:35.0,Turnover by H. Whiteside (offensive foul),,87-65,,
4:16.0,,,87-67,2,R. Gay makes 2-pt shot from 8 ft
4:05.0,J. Richardson makes 2-pt shot from 20 ft (assist by G. Green),2,89-67,,
3:48.0,,,89-69,2,D. Collison makes 2-pt shot from 17 ft (assist by R. Rondo)
3:48.0,Miami full timeout,,89-69,,
3:31.0,G. Green misses 3-pt shot from 24 ft,,89-69,,
3:31.0,,,89-69,,Defensive rebound by R. Gay
3:23.0,,,89-69,,J. Anderson misses 3-pt shot from 24 ft
3:23.0,,,89-69,,Offensive rebound by W. Cauley-Stein
3:23.0,,,89-69,,W. Cauley-Stein misses 2-pt shot from 2 ft
3:23.0,,,89-69,,Offensive rebound by W. Cauley-Stein
3:23.0,,,89-69,,Shooting foul by G. Green (drawn by W. Cauley-Stein)
3:23.0,,,89-70,1,W. Cauley-Stein makes free throw 1 of 2
3:23.0,,,89-71,1,W. Cauley-Stein makes free throw 2 of 2
2:58.0,J. Johnson misses 3-pt shot from 24 ft,,89-71,,
2:58.0,,,89-71,,Defensive rebound by R. Gay
2:51.0,,,89-71,,D. Collison misses 2-pt shot from 6 ft (block by J. Richardson)
2:49.0,,,89-71,,Offensive rebound by D. Collison
2:45.0,,,89-73,2,R. Gay makes 2-pt shot from 15 ft (assist by J. Anderson)
2:27.0,J. Johnson misses 3-pt shot from 23 ft,,89-73,,
2:26.0,,,89-73,,Defensive rebound by R. Rondo
2:22.0,,,89-75,2,W. Cauley-Stein makes 2-pt shot at rim (assist by R. Rondo)
1:57.0,Offensive foul by J. Johnson,,89-75,,
1:57.0,Turnover by J. Johnson (offensive foul),,89-75,,
1:57.0,,,89-75,,B. McLemore enters the game for J. Anderson
1:32.0,,,89-75,,R. Rondo misses 2-pt shot from 3 ft
1:30.0,Defensive rebound by H. Whiteside,,89-75,,
1:21.0,,,89-75,,Personal foul by B. McLemore
1:21.0,L. Deng enters the game for J. Johnson,,89-75,,
1:12.0,Turnover by J. Richardson (traveling),,89-75,,
0:56.0,,,89-75,,W. Cauley-Stein misses 2-pt shot from 14 ft
0:56.0,Defensive rebound by H. Whiteside,,89-75,,
0:42.0,J. Winslow makes 2-pt shot from 4 ft,2,91-75,,
0:42.0,,,91-75,,Shooting block foul by W. Cauley-Stein (drawn by J. Winslow)
0:42.0,J. Winslow makes free throw 1 of 1,1,92-75,,
0:36.0,Personal foul by G. Green,,92-75,,
0:36.0,,,92-76,1,R. Rondo makes free throw 1 of 2
0:36.0,,,92-76,,J. Anderson enters the game for R. Gay
0:36.0,,,92-76,,R. Rondo misses free throw 2 of 2
0:36.0,Defensive rebound by H. Whiteside,,92-76,,
0:21.0,L. Deng misses 2-pt shot from 3 ft,,92-76,,
0:19.0,Offensive rebound by L. Deng,,92-76,,
0:03.0,J. Richardson misses 2-pt shot from 5 ft (block by W. Cauley-Stein),,92-76,,
0:01.0,Offensive rebound by G. Green,,92-76,,
0:00.0,G. Green misses 2-pt shot from 21 ft,,92-76,,
0:00.0,Offensive rebound by Team,,92-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,92-78,2,B. McLemore makes 2-pt shot from 3 ft (assist by K. Koufos)
11:26.0,G. Dragic misses 2-pt shot from 5 ft,,92-78,,
11:26.0,,,92-78,,Defensive rebound by K. Koufos
11:19.0,,,92-78,,B. McLemore misses 3-pt shot from 25 ft
11:18.0,Defensive rebound by H. Whiteside,,92-78,,
11:07.0,Turnover by G. Dragic (traveling),,92-78,,
10:47.0,,,92-80,2,K. Koufos makes 2-pt shot from 7 ft (assist by D. Collison)
10:24.0,H. Whiteside misses 2-pt shot from 6 ft,,92-80,,
10:24.0,,,92-80,,Defensive rebound by Team
10:24.0,Loose ball foul by H. Whiteside,,92-80,,
10:11.0,,,92-80,,Shooting foul by J. Richardson (drawn by D. Collison)
10:11.0,,,92-81,1,D. Collison makes free throw 1 of 2
10:11.0,,,92-82,1,D. Collison makes free throw 2 of 2
9:47.0,G. Dragic makes 3-pt shot from 24 ft,3,95-82,,
9:32.0,,,95-82,,B. McLemore misses 2-pt shot from 2 ft
9:31.0,Defensive rebound by L. Deng,,95-82,,
9:27.0,Turnover by L. Deng (lost ball; steal by B. McLemore),,95-82,,
9:22.0,,,95-82,,Offensive foul by D. Collison
9:22.0,,,95-82,,Turnover by D. Collison (offensive foul)
9:06.0,L. Deng misses 2-pt shot from 18 ft,,95-82,,
9:05.0,,,95-82,,Defensive rebound by K. Koufos
9:02.0,,,95-84,2,D. Collison makes 2-pt shot from 2 ft
9:02.0,,,95-84,,Shooting foul by J. Richardson (drawn by D. Collison)
9:02.0,,,95-85,1,D. Collison makes free throw 1 of 1
8:45.0,J. Richardson misses 2-pt shot from 23 ft,,95-85,,
8:44.0,,,95-85,,Defensive rebound by K. Koufos
8:34.0,,,95-88,3,S. Curry makes 3-pt shot from 25 ft
8:34.0,Miami full timeout,,95-88,,
8:12.0,G. Dragic misses 2-pt shot from 17 ft,,95-88,,
8:12.0,,,95-88,,Defensive rebound by J. Anderson
8:06.0,,,95-90,2,D. Collison makes 2-pt shot from 2 ft
7:42.0,J. Winslow makes 2-pt shot from 3 ft,2,97-90,,
7:28.0,,,97-90,,Shooting foul by J. Richardson (drawn by D. Collison)
7:28.0,,,97-91,1,D. Collison makes free throw 1 of 2
7:28.0,J. Johnson enters the game for J. Richardson,,97-91,,
7:28.0,,,97-91,,R. Gay enters the game for J. Anderson
7:28.0,,,97-92,1,D. Collison makes free throw 2 of 2
7:09.0,L. Deng misses 2-pt shot from 14 ft,,97-92,,
7:08.0,,,97-92,,Defensive rebound by R. Gay
6:59.0,,,97-92,,Offensive foul by K. Koufos
6:59.0,,,97-92,,Turnover by K. Koufos (offensive foul)
6:59.0,,,97-92,,Technical foul by K. Koufos
6:59.0,J. Johnson makes technical free throw,1,98-92,,
6:49.0,Turnover by J. Johnson (bad pass),,98-92,,
6:35.0,,,98-92,,R. Gay misses 3-pt shot from 25 ft
6:35.0,Defensive rebound by H. Whiteside,,98-92,,
6:15.0,G. Dragic misses 2-pt shot from 6 ft,,98-92,,
6:14.0,Offensive rebound by Team,,98-92,,
6:06.0,J. Winslow misses 2-pt shot from 9 ft,,98-92,,
6:04.0,,,98-92,,Defensive rebound by B. McLemore
5:55.0,,,98-94,2,D. Collison makes 2-pt shot from 17 ft
5:39.0,Shooting foul by K. Koufos (drawn by G. Dragic),,98-94,,
5:39.0,Official timeout,,98-94,,
5:39.0,G. Dragic misses free throw 1 of 2,,98-94,,
5:39.0,Offensive rebound by Team,,98-94,,
5:39.0,G. Dragic makes free throw 2 of 2,1,99-94,,
5:31.0,,,99-94,,Shooting foul by H. Whiteside (drawn by S. Curry)
5:31.0,,,99-95,1,S. Curry makes free throw 1 of 2
5:31.0,G. Green enters the game for L. Deng,,99-95,,
5:31.0,,,99-96,1,S. Curry makes free throw 2 of 2
5:08.0,J. Johnson makes 2-pt shot from 5 ft,2,101-96,,
4:46.0,,,101-96,,K. Koufos misses 2-pt shot from 9 ft
4:46.0,Defensive rebound by H. Whiteside,,101-96,,
4:32.0,G. Dragic misses 2-pt shot from 8 ft,,101-96,,
4:31.0,,,101-96,,Defensive rebound by B. McLemore
4:25.0,,,101-96,,S. Curry misses 3-pt shot from 25 ft
4:24.0,Defensive rebound by G. Dragic,,101-96,,
4:04.0,Shooting foul by K. Koufos (drawn by G. Dragic),,101-96,,
4:04.0,,,101-96,,Sacramento full timeout
4:04.0,G. Dragic makes free throw 1 of 2,1,102-96,,
4:04.0,G. Dragic makes free throw 2 of 2,1,103-96,,
3:50.0,,,103-98,2,K. Koufos makes 2-pt shot from 8 ft (assist by R. Gay)
3:32.0,J. Winslow misses 2-pt shot from 6 ft (block by K. Koufos),,103-98,,
3:30.0,,,103-98,,Defensive rebound by D. Collison
3:28.0,,,103-98,,Turnover by D. Collison (back court)
3:07.0,J. Johnson misses 2-pt shot from 17 ft,,103-98,,
3:07.0,,,103-98,,Defensive rebound by S. Curry
2:47.0,,,103-98,,D. Collison misses 2-pt shot from 15 ft
2:46.0,,,103-98,,Offensive rebound by K. Koufos
2:41.0,,,103-101,3,S. Curry makes 3-pt shot from 24 ft (assist by K. Koufos)
2:23.0,G. Green misses 2-pt shot from 17 ft,,103-101,,
2:23.0,Offensive rebound by Team,,103-101,,
2:23.0,L. Deng enters the game for J. Winslow,,103-101,,
2:18.0,Shooting foul by K. Koufos (drawn by H. Whiteside),,103-101,,
2:18.0,Technical foul by G. Green,,103-101,,
2:18.0,,,103-102,1,S. Curry makes technical free throw
2:18.0,H. Whiteside makes free throw 1 of 2,1,104-102,,
2:18.0,H. Whiteside makes free throw 2 of 2,1,105-102,,
2:07.0,,,105-102,,R. Gay misses 2-pt shot from 19 ft
2:06.0,Defensive rebound by H. Whiteside,,105-102,,
1:45.0,L. Deng misses 2-pt shot from 10 ft,,105-102,,
1:45.0,,,105-102,,Defensive rebound by R. Gay
1:36.0,,,105-102,,R. Gay misses 2-pt shot from 4 ft
