time,Charlotte,pts.away,score,pts.home,Brooklyn
8:05.0,,,8-9,2,D. Sloan makes 2-pt shot from 2 ft (assist by B. Lopez)
7:48.0,N. Batum misses 3-pt shot from 24 ft,,8-9,,
7:47.0,,,8-9,,Defensive rebound by B. Lopez
7:29.0,,,8-9,,B. Lopez misses 2-pt shot from 9 ft
7:28.0,Defensive rebound by M. Williams,,8-9,,
7:26.0,Turnover by N. Batum (bad pass),,8-9,,
7:10.0,,,8-9,,Shooting foul by M. Williams (drawn by J. Johnson)
7:10.0,,,8-10,1,J. Johnson makes free throw 1 of 2
7:10.0,,,8-11,1,J. Johnson makes free throw 2 of 2
6:56.0,,,8-11,,Def 3 sec tech foul by B. Lopez
6:56.0,N. Batum makes technical free throw,1,9-11,,
6:50.0,C. Zeller makes 2-pt shot from 7 ft (assist by N. Batum),2,11-11,,
6:36.0,,,11-11,,Shooting foul by N. Batum (drawn by J. Johnson)
6:36.0,,,11-12,1,J. Johnson makes free throw 1 of 2
6:36.0,,,11-13,1,J. Johnson makes free throw 2 of 2
6:25.0,C. Zeller makes 2-pt shot from 2 ft (assist by N. Batum),2,13-13,,
6:03.0,,,13-13,,D. Sloan misses 3-pt shot from 25 ft
6:02.0,,,13-13,,Offensive rebound by B. Lopez
5:59.0,,,13-15,2,B. Lopez makes 2-pt shot at rim
5:44.0,C. Zeller misses 2-pt shot from 3 ft,,13-15,,
5:43.0,,,13-15,,Defensive rebound by T. Young
5:36.0,,,13-17,2,B. Lopez makes 2-pt shot from 2 ft (assist by T. Young)
5:36.0,,,13-17,,Shooting foul by C. Zeller (drawn by B. Lopez)
5:36.0,,,13-17,,Brooklyn full timeout
5:36.0,A. Jefferson enters the game for C. Zeller,,13-17,,
5:36.0,,,13-18,1,B. Lopez makes free throw 1 of 1
5:13.0,M. Williams makes 3-pt shot from 24 ft (assist by N. Batum),3,16-18,,
4:58.0,,,16-18,,Turnover by D. Sloan (lost ball)
4:58.0,J. Lin enters the game for C. Lee,,16-18,,
4:44.0,K. Walker makes 2-pt shot from 2 ft (assist by N. Batum),2,18-18,,
4:29.0,,,18-18,,Turnover by T. Young (lost ball; steal by K. Walker)
4:26.0,Shooting foul by D. Sloan (drawn by J. Lin),,18-18,,
4:26.0,J. Lin makes free throw 1 of 2,1,19-18,,
4:26.0,,,19-18,,B. Bogdanovic enters the game for W. Ellington
4:26.0,J. Lin makes free throw 2 of 2,1,20-18,,
4:10.0,,,20-18,,B. Bogdanovic misses 2-pt shot from 2 ft
4:09.0,Defensive rebound by M. Williams,,20-18,,
3:58.0,K. Walker misses 3-pt shot from 23 ft,,20-18,,
3:57.0,,,20-18,,Defensive rebound by B. Bogdanovic
3:49.0,,,20-18,,B. Bogdanovic misses 3-pt shot from 24 ft
3:48.0,Defensive rebound by M. Williams,,20-18,,
3:41.0,,,20-18,,Violation by J. Johnson (kicked ball)
3:41.0,J. Lamb enters the game for N. Batum,,20-18,,
3:29.0,K. Walker misses 3-pt shot from 25 ft,,20-18,,
3:28.0,,,20-18,,Defensive rebound by T. Young
3:17.0,Personal foul by J. Lamb (drawn by J. Johnson),,20-18,,
3:17.0,F. Kaminsky enters the game for M. Williams,,20-18,,
3:05.0,,,20-18,,D. Sloan misses 3-pt shot from 25 ft
3:04.0,,,20-18,,Offensive rebound by B. Lopez
3:03.0,,,20-20,2,B. Lopez makes 2-pt shot from 2 ft
2:44.0,A. Jefferson makes 2-pt shot from 16 ft,2,22-20,,
2:24.0,,,22-20,,B. Lopez misses 2-pt shot from 15 ft
2:23.0,Defensive rebound by K. Walker,,22-20,,
2:13.0,J. Lamb misses 3-pt shot from 24 ft,,22-20,,
2:11.0,,,22-20,,Defensive rebound by B. Lopez
1:58.0,,,22-22,2,J. Johnson makes 2-pt shot from 5 ft
1:35.0,A. Jefferson makes 2-pt shot from 5 ft,2,24-22,,
1:25.0,,,24-22,,Shooting foul by A. Jefferson (drawn by T. Young)
1:25.0,Charlotte full timeout,,24-22,,
1:25.0,,,24-22,,M. Brown enters the game for J. Johnson
1:25.0,,,24-23,1,T. Young makes free throw 1 of 2
1:25.0,,,24-24,1,T. Young makes free throw 2 of 2
1:09.0,A. Jefferson makes 2-pt shot from 7 ft,2,26-24,,
0:55.0,,,26-26,2,T. Young makes 2-pt shot at rim
0:36.0,J. Lamb misses 3-pt shot from 24 ft,,26-26,,
0:35.0,,,26-26,,Defensive rebound by B. Lopez
0:23.0,,,26-26,,Turnover by T. Young (bad pass; steal by F. Kaminsky)
0:06.0,,,26-26,,Personal foul by D. Sloan (drawn by K. Walker)
0:06.0,,,26-26,,S. Larkin enters the game for D. Sloan
0:06.0,,,26-26,,T. Robinson enters the game for B. Lopez
0:02.0,K. Walker makes 3-pt shot from 25 ft,3,29-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,A. Jefferson makes 2-pt shot from 4 ft (assist by J. Lin),2,31-26,,
11:29.0,,,31-26,,B. Bogdanovic misses 3-pt shot from 23 ft
11:28.0,Defensive rebound by F. Kaminsky,,31-26,,
11:11.0,A. Jefferson makes 2-pt shot from 16 ft (assist by J. Lamb),2,33-26,,
10:56.0,,,33-26,,B. Bogdanovic misses 2-pt shot from 1 ft
10:55.0,Defensive rebound by A. Jefferson,,33-26,,
10:49.0,J. Lin makes 2-pt shot from 1 ft (assist by N. Batum),2,35-26,,
10:47.0,,,35-26,,Brooklyn full timeout
10:31.0,,,35-28,2,M. Brown makes 2-pt shot from 2 ft
10:13.0,A. Jefferson misses 2-pt shot from 14 ft,,35-28,,
10:12.0,,,35-28,,Defensive rebound by T. Robinson
10:06.0,,,35-28,,S. Larkin misses 3-pt shot from 24 ft
10:05.0,Defensive rebound by Team,,35-28,,
9:47.0,A. Jefferson misses 2-pt shot from 2 ft (block by T. Robinson),,35-28,,
9:46.0,,,35-28,,Defensive rebound by M. Brown
9:40.0,,,35-30,2,M. Brown makes 2-pt shot from 1 ft
9:40.0,,,35-30,,Shooting foul by F. Kaminsky (drawn by M. Brown)
9:40.0,C. Zeller enters the game for A. Jefferson,,35-30,,
9:40.0,,,35-31,1,M. Brown makes free throw 1 of 1
9:25.0,J. Lamb makes 3-pt shot from 25 ft,3,38-31,,
9:10.0,,,38-31,,C. McCullough misses 3-pt shot from 25 ft
9:09.0,,,38-31,,Offensive rebound by C. McCullough
9:08.0,,,38-31,,C. McCullough misses 2-pt shot from 1 ft
9:07.0,,,38-31,,Offensive rebound by Team
9:07.0,Loose ball foul by F. Kaminsky (drawn by T. Robinson),,38-31,,
8:59.0,Personal foul by J. Lamb (drawn by S. Larkin),,38-31,,
8:59.0,,,38-32,1,S. Larkin makes free throw 1 of 2
8:59.0,,,38-33,1,S. Larkin makes free throw 2 of 2
8:35.0,J. Lamb misses 2-pt shot from 10 ft,,38-33,,
8:34.0,,,38-33,,Defensive rebound by T. Robinson
8:28.0,,,38-33,,M. Brown misses 3-pt shot from 24 ft
8:27.0,Defensive rebound by F. Kaminsky,,38-33,,
8:14.0,J. Lin makes 2-pt shot from 2 ft (assist by F. Kaminsky),2,40-33,,
7:57.0,,,40-33,,T. Robinson misses 2-pt shot from 2 ft
7:56.0,Defensive rebound by F. Kaminsky,,40-33,,
7:48.0,F. Kaminsky misses 3-pt shot from 24 ft,,40-33,,
7:47.0,Offensive rebound by J. Lamb,,40-33,,
7:45.0,J. Lamb makes 2-pt shot from 4 ft,2,42-33,,
7:30.0,,,42-33,,T. Robinson misses 2-pt shot from 2 ft
7:29.0,Defensive rebound by J. Lin,,42-33,,
7:24.0,J. Lin makes 2-pt shot from 1 ft,2,44-33,,
7:24.0,,,44-33,,Brooklyn full timeout
7:24.0,,,44-33,,B. Lopez enters the game for T. Robinson
7:24.0,,,44-33,,T. Young enters the game for C. McCullough
7:11.0,,,44-33,,B. Lopez misses 2-pt shot from 19 ft
7:10.0,Defensive rebound by N. Batum,,44-33,,
7:03.0,Offensive foul by C. Zeller,,44-33,,
7:03.0,Turnover by C. Zeller (offensive foul),,44-33,,
6:50.0,,,44-33,,M. Brown misses 2-pt shot from 13 ft
6:49.0,Defensive rebound by C. Zeller,,44-33,,
6:38.0,Offensive foul by C. Zeller,,44-33,,
6:38.0,Turnover by C. Zeller (offensive foul),,44-33,,
6:38.0,,,44-33,,W. Ellington enters the game for M. Brown
6:38.0,A. Jefferson enters the game for C. Zeller,,44-33,,
6:26.0,,,44-33,,S. Larkin misses 2-pt shot from 9 ft
6:25.0,Defensive rebound by J. Lin,,44-33,,
6:19.0,J. Lin misses 2-pt shot from 1 ft (block by B. Lopez),,44-33,,
6:17.0,Offensive rebound by A. Jefferson,,44-33,,
6:10.0,Shooting foul by B. Lopez (drawn by J. Lin),,44-33,,
6:10.0,J. Lin makes free throw 1 of 2,1,45-33,,
6:10.0,,,45-33,,D. Sloan enters the game for S. Larkin
6:10.0,C. Lee enters the game for J. Lamb,,45-33,,
6:10.0,J. Lin makes free throw 2 of 2,1,46-33,,
5:53.0,,,46-33,,Offensive foul by B. Lopez
5:53.0,,,46-33,,Turnover by B. Lopez (offensive foul)
5:53.0,Official timeout,,46-33,,
5:53.0,M. Williams enters the game for F. Kaminsky,,46-33,,
5:53.0,,,46-33,,J. Johnson enters the game for B. Bogdanovic
5:53.0,,,46-33,,W. Reed enters the game for B. Lopez
5:36.0,A. Jefferson misses 2-pt shot from 19 ft,,46-33,,
5:35.0,,,46-33,,Defensive rebound by W. Ellington
5:11.0,,,46-33,,W. Ellington misses 2-pt shot from 21 ft
5:10.0,Defensive rebound by N. Batum,,46-33,,
4:57.0,C. Lee misses 2-pt shot from 2 ft (block by W. Reed),,46-33,,
4:55.0,,,46-33,,Defensive rebound by W. Ellington
4:50.0,,,46-33,,Offensive charge foul by T. Young
4:50.0,,,46-33,,Turnover by T. Young (offensive foul)
4:50.0,K. Walker enters the game for J. Lin,,46-33,,
4:34.0,N. Batum makes 2-pt shot from 19 ft (assist by M. Williams),2,48-33,,
4:21.0,,,48-33,,Turnover by T. Young (traveling)
4:08.0,,,48-33,,Personal foul by T. Young (drawn by N. Batum)
4:06.0,Offensive foul by N. Batum,,48-33,,
4:06.0,Turnover by N. Batum (offensive foul),,48-33,,
4:06.0,Technical foul by N. Batum,,48-33,,
4:06.0,,,48-33,,J. Johnson misses technical free throw
4:06.0,,,48-33,,Offensive rebound by Team
3:45.0,,,48-35,2,W. Ellington makes 2-pt shot from 1 ft (assist by T. Young)
3:25.0,Turnover by C. Lee (bad pass; steal by T. Young),,48-35,,
3:17.0,,,48-35,,Shooting foul by A. Jefferson (drawn by D. Sloan)
3:17.0,,,48-36,1,D. Sloan makes free throw 1 of 2
3:17.0,,,48-37,1,D. Sloan makes free throw 2 of 2
3:05.0,K. Walker makes 2-pt shot from 20 ft,2,50-37,,
2:53.0,,,50-39,2,W. Reed makes 2-pt shot from 3 ft (assist by D. Sloan)
2:33.0,A. Jefferson misses 2-pt shot from 15 ft,,50-39,,
2:32.0,,,50-39,,Defensive rebound by T. Young
2:27.0,Charlotte full timeout,,50-39,,
2:27.0,T. Hansbrough enters the game for A. Jefferson,,50-39,,
2:27.0,,,50-39,,S. Larkin enters the game for W. Ellington
2:27.0,J. Lin enters the game for C. Lee,,50-39,,
2:18.0,,,50-42,3,J. Johnson makes 3-pt shot from 24 ft (assist by S. Larkin)
2:04.0,N. Batum makes 2-pt shot from 12 ft (assist by K. Walker),2,52-42,,
1:39.0,,,52-42,,T. Young misses 2-pt shot from 1 ft
1:38.0,,,52-42,,Offensive rebound by T. Young
1:36.0,,,52-42,,T. Young misses 2-pt shot from 4 ft
1:35.0,,,52-42,,Offensive rebound by W. Reed
1:34.0,,,52-44,2,W. Reed makes 2-pt shot from 1 ft
1:24.0,Turnover by K. Walker (bad pass; steal by J. Johnson),,52-44,,
1:21.0,,,52-46,2,T. Young makes 2-pt shot at rim (assist by J. Johnson)
1:04.0,Turnover by N. Batum (bad pass; steal by J. Johnson),,52-46,,
0:56.0,,,52-46,,D. Sloan misses 2-pt shot from 1 ft
0:55.0,Defensive rebound by M. Williams,,52-46,,
0:36.0,C. Lee enters the game for N. Batum,,52-46,,
0:36.0,Jump ball: J. Lin vs. T. Young (M. Williams gains possession),,,,Jump ball: J. Lin vs. T. Young (M. Williams gains possession)
0:31.0,J. Lin misses 2-pt shot from 13 ft,,52-46,,
0:30.0,,,52-46,,Defensive rebound by W. Reed
0:21.0,Personal foul by C. Lee (drawn by J. Johnson),,52-46,,
0:21.0,,,52-47,1,J. Johnson makes free throw 1 of 2
0:21.0,,,52-47,,W. Ellington enters the game for D. Sloan
0:21.0,,,52-47,,M. Brown enters the game for T. Young
0:21.0,,,52-48,1,J. Johnson makes free throw 2 of 2
0:03.0,K. Walker misses 3-pt shot from 26 ft,,52-48,,
0:02.0,Offensive rebound by Team,,52-48,,
0:02.0,,,52-48,,Loose ball foul by S. Larkin (drawn by T. Hansbrough)
0:02.0,N. Batum enters the game for C. Lee,,52-48,,
0:02.0,C. Zeller enters the game for T. Hansbrough,,52-48,,
0:02.0,,,52-48,,B. Bogdanovic enters the game for W. Reed
0:00.0,N. Batum makes 3-pt shot from 27 ft (assist by M. Williams),3,55-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,C. Zeller makes 2-pt shot from 17 ft (assist by M. Williams),2,57-48,,
11:31.0,,,57-50,2,J. Johnson makes 2-pt shot from 2 ft (assist by B. Lopez)
11:04.0,M. Williams misses 2-pt shot from 12 ft,,57-50,,
11:03.0,,,57-50,,Defensive rebound by D. Sloan
10:53.0,,,57-52,2,T. Young makes 2-pt shot from 1 ft (assist by B. Lopez)
10:36.0,C. Lee makes 3-pt shot from 24 ft (assist by N. Batum),3,60-52,,
10:17.0,,,60-52,,Turnover by T. Young (lost ball; steal by M. Williams)
10:05.0,C. Zeller misses 2-pt shot from 8 ft,,60-52,,
10:04.0,Offensive rebound by M. Williams,,60-52,,
10:02.0,M. Williams misses 2-pt shot from 1 ft,,60-52,,
10:01.0,Offensive rebound by M. Williams,,60-52,,
10:00.0,M. Williams makes 2-pt shot from 1 ft,2,62-52,,
9:42.0,,,62-52,,W. Ellington misses 2-pt shot from 19 ft
9:41.0,Defensive rebound by N. Batum,,62-52,,
9:20.0,N. Batum makes 3-pt shot from 24 ft (assist by M. Williams),3,65-52,,
9:06.0,,,65-52,,D. Sloan misses 3-pt shot from 25 ft
9:05.0,Defensive rebound by M. Williams,,65-52,,
8:55.0,C. Lee misses 2-pt shot from 19 ft,,65-52,,
8:54.0,,,65-52,,Defensive rebound by W. Ellington
8:46.0,,,65-52,,Shooting foul by C. Lee (drawn by W. Ellington)
8:46.0,,,65-53,1,W. Ellington makes free throw 1 of 2
8:46.0,,,65-54,1,W. Ellington makes free throw 2 of 2
8:31.0,Turnover by K. Walker (lost ball; steal by T. Young),,65-54,,
8:15.0,,,65-56,2,W. Ellington makes 2-pt shot from 2 ft (assist by B. Lopez)
7:57.0,N. Batum misses 3-pt shot from 23 ft,,65-56,,
7:56.0,,,65-56,,Defensive rebound by D. Sloan
7:52.0,,,65-56,,Turnover by J. Johnson (bad pass; steal by M. Williams)
7:34.0,M. Williams misses 3-pt shot from 23 ft,,65-56,,
7:33.0,,,65-56,,Defensive rebound by B. Lopez
7:19.0,,,65-56,,Turnover by T. Young (bad pass; steal by N. Batum)
7:02.0,K. Walker makes 3-pt shot from 27 ft (assist by C. Lee),3,68-56,,
6:55.0,,,68-56,,Brooklyn full timeout
6:42.0,,,68-58,2,B. Lopez makes 2-pt shot from 3 ft (assist by T. Young)
6:27.0,C. Zeller misses 2-pt shot from 6 ft,,68-58,,
6:26.0,,,68-58,,Defensive rebound by T. Young
6:18.0,,,68-60,2,T. Young makes 2-pt shot from 1 ft (assist by B. Lopez)
5:57.0,K. Walker makes 2-pt shot from 8 ft,2,70-60,,
5:43.0,,,70-62,2,W. Ellington makes 2-pt shot from 18 ft
5:29.0,N. Batum makes 3-pt shot from 24 ft,3,73-62,,
5:16.0,,,73-62,,D. Sloan misses 2-pt shot from 3 ft
5:15.0,Defensive rebound by M. Williams,,73-62,,
4:59.0,N. Batum misses 3-pt shot from 26 ft,,73-62,,
4:58.0,,,73-62,,Defensive rebound by J. Johnson
4:53.0,,,73-62,,Shooting foul by K. Walker (drawn by J. Johnson)
4:53.0,,,73-63,1,J. Johnson makes free throw 1 of 2
4:53.0,A. Jefferson enters the game for C. Zeller,,73-63,,
4:53.0,,,73-64,1,J. Johnson makes free throw 2 of 2
4:35.0,Shooting foul by T. Young (drawn by M. Williams),,73-64,,
4:35.0,M. Williams makes free throw 1 of 2,1,74-64,,
4:35.0,M. Williams makes free throw 2 of 2,1,75-64,,
4:21.0,,,75-66,2,B. Lopez makes 2-pt shot from 8 ft
4:21.0,,,75-66,,Shooting foul by A. Jefferson (drawn by B. Lopez)
4:21.0,,,75-66,,B. Lopez misses free throw 1 of 1
4:20.0,Defensive rebound by M. Williams,,75-66,,
4:08.0,K. Walker makes 2-pt shot from 9 ft,2,77-66,,
3:56.0,,,77-66,,Shooting foul by K. Walker (drawn by D. Sloan)
3:56.0,,,77-67,1,D. Sloan makes free throw 1 of 2
3:56.0,J. Lin enters the game for C. Lee,,77-67,,
3:56.0,,,77-67,,S. Larkin enters the game for W. Ellington
3:56.0,,,77-68,1,D. Sloan makes free throw 2 of 2
3:41.0,K. Walker makes 3-pt shot from 26 ft,3,80-68,,
3:25.0,,,80-68,,Turnover by B. Lopez (lost ball; steal by K. Walker)
3:12.0,K. Walker makes 2-pt shot from 16 ft,2,82-68,,
2:50.0,,,82-68,,D. Sloan misses 2-pt shot from 2 ft
2:49.0,Defensive rebound by N. Batum,,82-68,,
2:36.0,Turnover by A. Jefferson (traveling),,82-68,,
2:36.0,Charlotte full timeout,,82-68,,
2:36.0,F. Kaminsky enters the game for M. Williams,,82-68,,
2:36.0,J. Lamb enters the game for N. Batum,,82-68,,
2:36.0,,,82-68,,B. Bogdanovic enters the game for J. Johnson
2:36.0,,,82-68,,M. Brown enters the game for D. Sloan
2:25.0,,,82-68,,T. Young misses 2-pt shot from 5 ft
2:24.0,Defensive rebound by A. Jefferson,,82-68,,
2:11.0,K. Walker misses 2-pt shot from 21 ft,,82-68,,
2:10.0,,,82-68,,Defensive rebound by T. Young
1:52.0,,,82-68,,S. Larkin misses 3-pt shot from 24 ft
1:51.0,Defensive rebound by J. Lamb,,82-68,,
1:33.0,Turnover by K. Walker (bad pass; steal by B. Lopez),,82-68,,
1:29.0,,,82-68,,B. Bogdanovic misses 2-pt shot from 1 ft
1:28.0,,,82-68,,Offensive rebound by M. Brown
1:27.0,,,82-70,2,M. Brown makes 2-pt shot from 2 ft
1:06.0,J. Lamb misses 2-pt shot from 11 ft,,82-70,,
1:05.0,,,82-70,,Defensive rebound by B. Lopez
0:55.0,,,82-70,,M. Brown misses 2-pt shot from 18 ft
0:53.0,Defensive rebound by A. Jefferson,,82-70,,
0:38.0,A. Jefferson makes 2-pt shot from 14 ft (assist by J. Lamb),2,84-70,,
0:26.0,,,84-70,,B. Bogdanovic misses 3-pt shot from 23 ft
0:25.0,Defensive rebound by A. Jefferson,,84-70,,
0:02.0,A. Jefferson makes 2-pt shot from 17 ft (assist by K. Walker),2,86-70,,
0:01.0,,,86-73,3,B. Lopez makes 3-pt shot from 37 ft (assist by T. Young)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,86-73,,C. McCullough misses 2-pt shot from 5 ft
11:40.0,Defensive rebound by A. Jefferson,,86-73,,
11:35.0,,,86-73,,Personal foul by B. Bogdanovic (drawn by J. Lamb)
11:21.0,F. Kaminsky makes 2-pt shot from 18 ft (assist by J. Lamb),2,88-73,,
11:01.0,,,88-75,2,S. Larkin makes 2-pt shot from 3 ft (assist by M. Brown)
10:45.0,J. Lin misses 2-pt shot from 2 ft,,88-75,,
10:44.0,,,88-75,,Defensive rebound by T. Robinson
10:34.0,,,88-75,,M. Brown misses 3-pt shot from 24 ft
10:33.0,Defensive rebound by J. Lamb,,88-75,,
10:19.0,J. Lin misses 3-pt shot from 23 ft,,88-75,,
10:18.0,,,88-75,,Defensive rebound by T. Robinson
10:05.0,,,88-77,2,C. McCullough makes 2-pt shot from 19 ft (assist by S. Larkin)
9:59.0,,,88-77,,Personal foul by M. Brown (drawn by K. Walker)
9:45.0,J. Lamb misses 2-pt shot from 19 ft,,88-77,,
9:44.0,,,88-77,,Defensive rebound by T. Robinson
9:33.0,,,88-77,,B. Bogdanovic misses 2-pt shot from 9 ft (block by J. Lin)
9:32.0,,,88-77,,Offensive rebound by Team
9:28.0,,,88-79,2,M. Brown makes 2-pt shot from 18 ft (assist by B. Bogdanovic)
9:11.0,Shooting foul by M. Brown (drawn by K. Walker),,88-79,,
9:11.0,K. Walker makes free throw 1 of 2,1,89-79,,
9:11.0,K. Walker makes free throw 2 of 2,1,90-79,,
8:57.0,,,90-82,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by M. Brown)
8:31.0,A. Jefferson makes 2-pt shot from 18 ft (assist by J. Lamb),2,92-82,,
8:21.0,Personal foul by J. Lin (drawn by M. Brown),,92-82,,
8:21.0,Official timeout,,92-82,,
8:21.0,C. Lee enters the game for J. Lamb,,92-82,,
8:21.0,N. Batum enters the game for K. Walker,,92-82,,
8:09.0,,,92-82,,M. Brown misses 3-pt shot from 26 ft
8:08.0,Defensive rebound by J. Lin,,92-82,,
8:05.0,J. Lin misses 2-pt shot from 2 ft,,92-82,,
8:04.0,,,92-82,,Defensive rebound by T. Robinson
7:49.0,,,92-82,,B. Bogdanovic misses 3-pt shot from 23 ft
7:48.0,Defensive rebound by C. Lee,,92-82,,
7:31.0,F. Kaminsky misses 3-pt shot from 25 ft,,92-82,,
7:30.0,,,92-82,,Defensive rebound by B. Bogdanovic
7:22.0,,,92-84,2,M. Brown makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
7:03.0,N. Batum misses 3-pt shot from 22 ft,,92-84,,
7:02.0,,,92-84,,Defensive rebound by S. Larkin
6:55.0,,,92-84,,S. Larkin misses 2-pt shot from 8 ft
6:54.0,,,92-84,,Offensive rebound by B. Bogdanovic
6:46.0,,,92-84,,Shooting foul by C. Lee (drawn by M. Brown)
6:46.0,,,92-84,,M. Brown misses free throw 1 of 2
6:46.0,,,92-84,,Offensive rebound by Team
6:46.0,,,92-84,,J. Johnson enters the game for C. McCullough
6:46.0,M. Williams enters the game for F. Kaminsky,,92-84,,
6:46.0,,,92-85,1,M. Brown makes free throw 2 of 2
6:31.0,Shooting foul by S. Larkin (drawn by J. Lin),,92-85,,
6:31.0,J. Lin makes free throw 1 of 2,1,93-85,,
6:31.0,,,93-85,,B. Lopez enters the game for T. Robinson
6:31.0,,,93-85,,T. Young enters the game for M. Brown
6:31.0,J. Lin misses free throw 2 of 2,,93-85,,
6:30.0,,,93-85,,Defensive rebound by B. Bogdanovic
6:20.0,,,93-87,2,S. Larkin makes 2-pt shot from 2 ft (assist by B. Lopez)
6:19.0,Charlotte full timeout,,93-87,,
6:19.0,K. Walker enters the game for C. Lee,,93-87,,
6:01.0,A. Jefferson makes 2-pt shot from 6 ft,2,95-87,,
5:37.0,,,95-87,,S. Larkin misses 3-pt shot from 24 ft
5:36.0,,,95-87,,Offensive rebound by B. Lopez
5:35.0,,,95-87,,B. Lopez misses 2-pt shot from 2 ft
5:34.0,Defensive rebound by A. Jefferson,,95-87,,
5:34.0,,,95-87,,M. Brown enters the game for B. Bogdanovic
5:33.0,Turnover by A. Jefferson (lost ball; steal by B. Lopez),,95-87,,
5:33.0,Jump ball: A. Jefferson vs. B. Lopez (T. Young gains possession),,,,Jump ball: A. Jefferson vs. B. Lopez (T. Young gains possession)
5:26.0,,,95-89,2,T. Young makes 2-pt shot from 8 ft
4:59.0,N. Batum misses 3-pt shot from 28 ft,,95-89,,
4:56.0,Offensive rebound by M. Williams,,95-89,,
4:55.0,C. Zeller enters the game for A. Jefferson,,95-89,,
4:54.0,Turnover by M. Williams (lost ball; steal by T. Young),,95-89,,
4:54.0,Jump ball: M. Williams vs. T. Young (B. Lopez gains possession),,,,Jump ball: M. Williams vs. T. Young (B. Lopez gains possession)
4:42.0,,,95-91,2,B. Lopez makes 2-pt shot at rim (assist by M. Brown)
4:25.0,K. Walker makes 2-pt shot from 2 ft,2,97-91,,
4:05.0,Personal foul by J. Lin (drawn by B. Lopez),,97-91,,
3:53.0,,,97-91,,M. Brown misses 2-pt shot at rim
3:52.0,,,97-91,,Offensive rebound by B. Lopez
3:48.0,,,97-91,,Turnover by S. Larkin (bad pass; steal by J. Lin)
3:34.0,K. Walker misses 3-pt shot from 26 ft,,97-91,,
3:33.0,,,97-91,,Defensive rebound by T. Young
3:21.0,,,97-91,,Turnover by M. Brown (lost ball)
3:21.0,,,97-91,,D. Sloan enters the game for S. Larkin
3:11.0,Shooting foul by M. Brown (drawn by N. Batum),,97-91,,
3:11.0,N. Batum makes free throw 1 of 2,1,98-91,,
3:11.0,N. Batum makes free throw 2 of 2,1,99-91,,
3:00.0,,,99-91,,J. Johnson misses 3-pt shot from 26 ft
2:59.0,Defensive rebound by K. Walker,,99-91,,
2:54.0,Offensive foul by C. Zeller,,99-91,,
2:54.0,Turnover by C. Zeller (offensive foul),,99-91,,
2:54.0,,,99-91,,Brooklyn full timeout
2:35.0,,,99-91,,M. Brown misses 2-pt shot from 14 ft
2:34.0,Defensive rebound by J. Lin,,99-91,,
2:14.0,J. Lin misses 2-pt shot from 10 ft,,99-91,,
2:13.0,,,99-91,,Defensive rebound by B. Lopez
2:04.0,,,99-91,,Turnover by D. Sloan (lost ball)
