time,Brooklyn,pts.away,score,pts.home,Golden State
6:44.0,J. Jack makes 3-pt shot from 26 ft,3,67-61,,
6:24.0,,,67-63,2,H. Barnes makes 2-pt shot from 10 ft
6:10.0,B. Bogdanovic enters the game for J. Johnson,,67-63,,
6:10.0,,,67-63,,A. Bogut enters the game for F. Ezeli
6:10.0,Jump ball: B. Lopez vs. B. Rush (B. Bogdanovic gains possession),,,,Jump ball: B. Lopez vs. B. Rush (B. Bogdanovic gains possession)
5:59.0,B. Lopez misses 2-pt shot from 8 ft,,67-63,,
5:58.0,Offensive rebound by B. Lopez,,67-63,,
5:56.0,B. Lopez makes 2-pt shot from 5 ft,2,69-63,,
5:35.0,,,69-65,2,S. Curry makes 2-pt shot from 10 ft (assist by D. Green)
5:15.0,T. Young misses 2-pt shot from 10 ft,,69-65,,
5:12.0,,,69-65,,Defensive rebound by A. Bogut
5:05.0,,,69-65,,Turnover by D. Green (bad pass; steal by R. Hollis-Jefferson)
4:59.0,T. Young makes 2-pt shot at rim (assist by J. Jack),2,71-65,,
4:55.0,,,71-65,,Golden State full timeout
4:55.0,,,71-65,,A. Iguodala enters the game for B. Rush
4:55.0,A. Bargnani enters the game for B. Lopez,,71-65,,
4:45.0,,,71-65,,A. Iguodala misses 3-pt shot from 24 ft
4:44.0,Defensive rebound by R. Hollis-Jefferson,,71-65,,
4:24.0,A. Bargnani misses 2-pt shot from 9 ft,,71-65,,
4:23.0,,,71-65,,Defensive rebound by A. Bogut
4:15.0,,,71-65,,D. Green misses 3-pt shot from 23 ft
4:14.0,Defensive rebound by B. Bogdanovic,,71-65,,
3:48.0,T. Young misses 3-pt shot from 49 ft,,71-65,,
3:45.0,,,71-65,,Defensive rebound by A. Iguodala
3:39.0,,,71-65,,Offensive foul by A. Iguodala
3:39.0,,,71-65,,Turnover by A. Iguodala (offensive foul)
3:24.0,T. Young misses 2-pt shot from 8 ft,,71-65,,
3:23.0,,,71-65,,Defensive rebound by A. Bogut
3:13.0,,,71-68,3,S. Curry makes 3-pt shot from 25 ft (assist by A. Bogut)
2:52.0,A. Bargnani misses 2-pt shot from 20 ft,,71-68,,
2:49.0,,,71-68,,Defensive rebound by A. Iguodala
2:43.0,,,71-68,,H. Barnes misses 2-pt shot from 2 ft
2:42.0,Defensive rebound by T. Young,,71-68,,
2:38.0,,,71-68,,Personal foul by A. Bogut (drawn by B. Bogdanovic)
2:38.0,Brooklyn full timeout,,71-68,,
2:38.0,B. Lopez enters the game for T. Young,,71-68,,
2:38.0,J. Johnson enters the game for A. Bargnani,,71-68,,
2:38.0,,,71-68,,S. Livingston enters the game for H. Barnes
2:26.0,B. Lopez makes 2-pt shot at rim (assist by J. Jack),2,73-68,,
2:09.0,,,73-70,2,S. Curry makes 2-pt shot from 4 ft (assist by A. Bogut)
1:57.0,,,73-70,,Personal foul by S. Livingston (drawn by J. Jack)
1:49.0,J. Jack misses 2-pt shot from 20 ft,,73-70,,
1:45.0,,,73-70,,Defensive rebound by S. Curry
1:37.0,,,73-70,,D. Green misses 3-pt shot from 24 ft
1:36.0,Defensive rebound by B. Bogdanovic,,73-70,,
1:17.0,Turnover by J. Jack (lost ball; steal by A. Iguodala),,73-70,,
1:11.0,,,73-70,,S. Curry misses 3-pt shot from 26 ft
1:11.0,Defensive rebound by J. Jack,,73-70,,
1:00.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft,,73-70,,
1:00.0,,,73-70,,Defensive rebound by A. Iguodala
0:47.0,,,73-70,,S. Livingston misses 2-pt shot from 13 ft
0:47.0,Defensive rebound by J. Johnson,,73-70,,
0:39.0,J. Johnson makes 2-pt shot from 18 ft,2,75-70,,
0:31.0,,,75-70,,S. Curry misses 3-pt shot from 25 ft
0:31.0,,,75-70,,Offensive rebound by A. Iguodala
0:26.0,,,75-70,,S. Curry misses 3-pt shot from 26 ft
0:23.0,Defensive rebound by J. Johnson,,75-70,,
0:04.0,J. Johnson misses 3-pt shot from 25 ft,,75-70,,
0:03.0,,,75-70,,Defensive rebound by A. Iguodala
0:03.0,,,75-70,,Turnover by A. Iguodala (bad pass; steal by J. Jack)
0:00.0,J. Jack makes 2-pt shot from 6 ft,2,77-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,77-70,,Personal foul by A. Bogut (drawn by J. Johnson)
11:33.0,J. Johnson misses 3-pt shot from 26 ft,,77-70,,
11:32.0,,,77-70,,Defensive rebound by A. Bogut
11:17.0,,,77-72,2,A. Bogut makes 2-pt shot from 7 ft
10:59.0,Turnover by J. Johnson (bad pass; steal by A. Bogut),,77-72,,
10:51.0,Personal foul by W. Ellington (drawn by S. Livingston),,77-72,,
10:40.0,,,77-74,2,I. Clark makes 2-pt shot from 6 ft
10:16.0,B. Bogdanovic misses 3-pt shot from 25 ft,,77-74,,
10:15.0,,,77-74,,Defensive rebound by A. Bogut
10:02.0,,,77-74,,I. Clark misses 3-pt shot from 23 ft
10:01.0,Defensive rebound by S. Larkin,,77-74,,
9:48.0,S. Larkin makes 2-pt shot from 16 ft,2,79-74,,
9:37.0,,,79-76,2,A. Bogut makes 2-pt shot from 4 ft (assist by S. Livingston)
9:18.0,,,79-76,,Personal foul by A. Bogut (drawn by J. Johnson)
9:03.0,B. Lopez makes 2-pt shot at rim (assist by B. Bogdanovic),2,81-76,,
8:42.0,,,81-76,,S. Livingston misses 2-pt shot from 17 ft
8:41.0,Defensive rebound by B. Bogdanovic,,81-76,,
8:31.0,B. Lopez misses 2-pt shot from 19 ft,,81-76,,
8:30.0,,,81-76,,Defensive rebound by Team
8:30.0,Official timeout,,81-76,,
8:30.0,,,81-76,,S. Curry enters the game for I. Clark
8:30.0,J. Jack enters the game for J. Johnson,,81-76,,
8:13.0,,,81-76,,A. Iguodala misses 3-pt shot from 25 ft
8:13.0,Defensive rebound by S. Larkin,,81-76,,
8:05.0,B. Bogdanovic makes 2-pt shot at rim (assist by S. Larkin),2,83-76,,
7:52.0,,,83-76,,A. Bogut misses 2-pt shot from 9 ft
7:51.0,Defensive rebound by B. Lopez,,83-76,,
7:41.0,S. Larkin misses 3-pt shot from 24 ft,,83-76,,
7:41.0,,,83-76,,Defensive rebound by A. Iguodala
7:38.0,Personal foul by J. Jack (drawn by A. Iguodala),,83-76,,
7:27.0,,,83-79,3,S. Curry makes 3-pt shot from 25 ft (assist by A. Iguodala)
7:07.0,B. Bogdanovic misses 3-pt shot from 26 ft,,83-79,,
7:07.0,,,83-79,,Defensive rebound by H. Barnes
