time,Toronto,pts.away,score,pts.home,Brooklyn
4:13.0,K. Lowry makes free throw 2 of 2,1,33-34,,
4:01.0,,,33-34,,Turnover by W. Ellington (bad pass; steal by J. Valanciunas)
3:53.0,,,33-34,,Personal foul by W. Ellington (drawn by D. DeRozan)
3:44.0,D. DeRozan misses 2-pt shot from 13 ft,,33-34,,
3:43.0,,,33-34,,Defensive rebound by T. Young
3:23.0,,,33-34,,Turnover by S. Larkin (bad pass; steal by K. Lowry)
3:15.0,L. Scola misses 2-pt shot from 6 ft,,33-34,,
3:14.0,,,33-34,,Defensive rebound by B. Lopez
3:01.0,,,33-34,,W. Ellington misses 3-pt shot from 23 ft
3:00.0,Defensive rebound by L. Scola,,33-34,,
2:57.0,,,33-34,,Personal foul by T. Young (drawn by K. Lowry)
2:57.0,,,33-34,,Brooklyn full timeout
2:57.0,C. Joseph enters the game for K. Lowry,,33-34,,
2:57.0,,,33-34,,B. Bogdanovic enters the game for W. Ellington
2:35.0,D. DeRozan makes 3-pt shot from 25 ft,3,36-34,,
2:19.0,,,36-34,,Turnover by B. Lopez (bad pass; steal by C. Joseph)
2:15.0,,,36-34,,Personal foul by B. Bogdanovic (drawn by D. DeRozan)
2:15.0,D. DeRozan makes free throw 1 of 2,1,37-34,,
2:15.0,D. DeRozan misses free throw 2 of 2,,37-34,,
2:14.0,Offensive rebound by L. Scola,,37-34,,
2:14.0,,,37-34,,T. Robinson enters the game for T. Young
2:14.0,,,37-34,,W. Ellington enters the game for B. Bogdanovic
2:08.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by L. Scola),2,39-34,,
1:46.0,,,39-36,2,B. Lopez makes 2-pt shot from 2 ft
1:26.0,L. Scola makes 2-pt shot from 8 ft,2,41-36,,
1:15.0,,,41-36,,T. Robinson misses 2-pt shot from 13 ft
1:14.0,Defensive rebound by J. Johnson,,41-36,,
1:00.0,J. Valanciunas makes 2-pt shot at rim (assist by C. Joseph),2,43-36,,
0:37.0,,,43-36,,B. Lopez misses 2-pt shot from 9 ft
0:36.0,Defensive rebound by C. Joseph,,43-36,,
0:29.0,C. Joseph makes 2-pt shot from 6 ft,2,45-36,,
0:06.0,,,45-36,,J. Johnson misses 2-pt shot from 10 ft
0:05.0,,,45-36,,Offensive rebound by Team
0:05.0,,,45-36,,Turnover by Team (shot clock)
0:05.0,Toronto full timeout,,45-36,,
0:05.0,K. Lowry enters the game for J. Johnson,,45-36,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,D. DeRozan misses 2-pt shot from 19 ft,,45-36,,
11:42.0,,,45-36,,Defensive rebound by T. Young
11:28.0,,,45-36,,B. Lopez misses 2-pt shot from 3 ft
11:27.0,Defensive rebound by L. Scola,,45-36,,
11:15.0,J. Johnson misses 3-pt shot from 23 ft,,45-36,,
11:14.0,,,45-36,,Defensive rebound by B. Lopez
10:59.0,,,45-38,2,B. Lopez makes 2-pt shot at rim (assist by S. Larkin)
10:31.0,D. DeRozan misses 3-pt shot from 23 ft,,45-38,,
10:30.0,,,45-38,,Defensive rebound by J. Johnson
10:22.0,,,45-41,3,J. Johnson makes 3-pt shot from 24 ft (assist by S. Larkin)
10:02.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,47-41,,
9:46.0,,,47-41,,T. Young misses 2-pt shot from 5 ft
9:45.0,Defensive rebound by J. Valanciunas,,47-41,,
9:39.0,Turnover by J. Johnson (traveling),,47-41,,
9:23.0,,,47-41,,B. Lopez misses 2-pt shot from 10 ft
9:22.0,Defensive rebound by J. Johnson,,47-41,,
9:08.0,J. Valanciunas misses 2-pt shot from 18 ft,,47-41,,
9:07.0,,,47-41,,Defensive rebound by B. Lopez
8:59.0,,,47-41,,J. Johnson misses 2-pt shot from 16 ft
8:58.0,Defensive rebound by D. DeRozan,,47-41,,
8:50.0,J. Johnson misses 2-pt shot from 1 ft,,47-41,,
8:49.0,Offensive rebound by J. Valanciunas,,47-41,,
8:48.0,J. Valanciunas misses 2-pt shot from 1 ft,,47-41,,
8:47.0,Offensive rebound by J. Valanciunas,,47-41,,
8:46.0,J. Valanciunas misses 2-pt shot from 4 ft,,47-41,,
8:45.0,Offensive rebound by J. Johnson,,47-41,,
8:34.0,Shooting foul by T. Young (drawn by J. Valanciunas),,47-41,,
8:34.0,J. Valanciunas makes free throw 1 of 2,1,48-41,,
8:34.0,J. Valanciunas makes free throw 2 of 2,1,49-41,,
8:19.0,Personal foul by J. Johnson (drawn by J. Johnson),,49-41,,
8:07.0,,,49-43,2,B. Lopez makes 2-pt shot from 11 ft (assist by S. Larkin)
7:44.0,D. DeRozan misses 2-pt shot from 18 ft,,49-43,,
7:43.0,,,49-43,,Defensive rebound by B. Bogdanovic
7:36.0,Personal foul by D. DeRozan (drawn by B. Lopez),,49-43,,
7:28.0,,,49-45,2,S. Larkin makes 2-pt shot from 18 ft
7:11.0,K. Lowry misses 3-pt shot from 27 ft,,49-45,,
7:10.0,,,49-45,,Defensive rebound by T. Young
7:02.0,,,49-45,,Shooting foul by L. Scola (drawn by B. Lopez)
7:02.0,,,49-46,1,B. Lopez makes free throw 1 of 2
7:02.0,,,49-47,1,B. Lopez makes free throw 2 of 2
6:58.0,,,49-47,,Personal foul by S. Larkin (drawn by J. Valanciunas)
6:40.0,J. Johnson makes 2-pt shot from 18 ft,2,51-47,,
6:29.0,,,51-47,,T. Young misses 3-pt shot from 24 ft
6:28.0,Defensive rebound by J. Valanciunas,,51-47,,
6:18.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. DeRozan),2,53-47,,
6:12.0,,,53-47,,Brooklyn full timeout
6:01.0,,,53-47,,Turnover by J. Johnson (bad pass)
5:42.0,J. Valanciunas misses 2-pt shot from 15 ft,,53-47,,
5:41.0,,,53-47,,Defensive rebound by S. Larkin
5:29.0,,,53-47,,S. Larkin misses 3-pt shot from 25 ft
5:28.0,,,53-47,,Offensive rebound by B. Lopez
5:26.0,,,53-47,,J. Johnson misses 3-pt shot from 24 ft
5:25.0,Defensive rebound by K. Lowry,,53-47,,
5:24.0,,,53-47,,Personal foul by S. Larkin (drawn by K. Lowry)
5:24.0,,,53-47,,D. Sloan enters the game for S. Larkin
5:24.0,,,53-47,,W. Ellington enters the game for B. Bogdanovic
5:15.0,,,53-47,,Personal foul by J. Johnson (drawn by J. Johnson)
5:15.0,J. Johnson makes free throw 1 of 2,1,54-47,,
5:15.0,J. Johnson makes free throw 2 of 2,1,55-47,,
5:02.0,,,55-49,2,T. Young makes 2-pt shot from 10 ft
5:02.0,,,55-49,,Shooting foul by J. Johnson (drawn by T. Young)
5:02.0,P. Patterson enters the game for L. Scola,,55-49,,
5:02.0,,,55-50,1,T. Young makes free throw 1 of 1
4:37.0,Turnover by J. Valanciunas (lost ball; steal by B. Lopez),,55-50,,
4:31.0,,,55-50,,Turnover by T. Young (bad pass; steal by K. Lowry)
4:28.0,K. Lowry makes 2-pt shot at rim,2,57-50,,
4:14.0,,,57-52,2,B. Lopez makes 2-pt shot from 3 ft (assist by D. Sloan)
3:52.0,J. Valanciunas misses 2-pt shot from 12 ft,,57-52,,
3:51.0,,,57-52,,Defensive rebound by T. Young
3:39.0,,,57-52,,Turnover by D. Sloan (bad pass; steal by K. Lowry)
3:34.0,K. Lowry makes 2-pt shot from 3 ft,2,59-52,,
3:15.0,,,59-54,2,B. Lopez makes 2-pt shot from 3 ft
2:54.0,K. Lowry misses 3-pt shot from 25 ft,,59-54,,
2:53.0,Offensive rebound by P. Patterson,,59-54,,
2:45.0,P. Patterson makes 3-pt shot from 24 ft (assist by D. DeRozan),3,62-54,,
2:21.0,,,62-54,,W. Ellington misses 3-pt shot from 26 ft
2:20.0,Defensive rebound by D. DeRozan,,62-54,,
2:09.0,Shooting foul by B. Lopez (drawn by J. Valanciunas),,62-54,,
2:09.0,Toronto full timeout,,62-54,,
2:09.0,C. Joseph enters the game for J. Johnson,,62-54,,
2:09.0,T. Ross enters the game for K. Lowry,,62-54,,
2:09.0,J. Valanciunas makes free throw 1 of 2,1,63-54,,
2:09.0,,,63-54,,W. Reed enters the game for J. Johnson
2:09.0,,,63-54,,B. Bogdanovic enters the game for T. Young
2:09.0,,,63-54,,A. Bargnani enters the game for B. Lopez
2:09.0,J. Valanciunas makes free throw 2 of 2,1,64-54,,
1:55.0,,,64-54,,Turnover by D. Sloan (bad pass; steal by D. DeRozan)
1:49.0,Turnover by D. DeRozan (bad pass),,64-54,,
1:49.0,B. Biyombo enters the game for J. Valanciunas,,64-54,,
1:25.0,,,64-54,,B. Bogdanovic misses 3-pt shot from 25 ft
1:24.0,Defensive rebound by Team,,64-54,,
1:05.0,C. Joseph makes 2-pt shot from 8 ft,2,66-54,,
0:52.0,,,66-54,,B. Bogdanovic misses 3-pt shot from 22 ft
0:51.0,Defensive rebound by T. Ross,,66-54,,
0:42.0,Shooting foul by W. Reed (drawn by D. DeRozan),,66-54,,
0:42.0,D. DeRozan makes free throw 1 of 2,1,67-54,,
0:42.0,D. DeRozan makes free throw 2 of 2,1,68-54,,
0:35.0,,,68-56,2,D. Sloan makes 2-pt shot from 2 ft
0:20.0,D. DeRozan makes 2-pt shot from 10 ft,2,70-56,,
0:02.0,,,70-56,,Turnover by D. Sloan (bad pass)
0:01.0,Turnover by D. DeRozan (step out of bounds),,70-56,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,70-56,,W. Ellington misses 2-pt shot from 6 ft
11:42.0,,,70-56,,Offensive rebound by W. Ellington
11:41.0,,,70-56,,Turnover by W. Ellington (traveling)
11:30.0,C. Joseph makes 2-pt shot from 6 ft,2,72-56,,
11:14.0,Inbound foul by P. Patterson,,72-56,,
11:14.0,,,72-56,,A. Bargnani misses free throw 1 of 2
11:14.0,,,72-56,,Offensive rebound by Team
11:14.0,,,72-57,1,A. Bargnani makes free throw 2 of 2
10:59.0,P. Patterson makes 3-pt shot from 23 ft (assist by C. Joseph),3,75-57,,
10:40.0,,,75-59,2,A. Bargnani makes 2-pt shot from 8 ft (assist by W. Ellington)
10:30.0,C. Joseph misses 2-pt shot from 2 ft (block by B. Lopez),,75-59,,
10:29.0,,,75-59,,Defensive rebound by Team
10:14.0,Personal foul by B. Biyombo (drawn by B. Lopez),,75-59,,
10:09.0,,,75-59,,Turnover by D. Sloan (bad pass; steal by P. Patterson)
10:06.0,Shooting foul by W. Ellington (drawn by C. Joseph),,75-59,,
10:06.0,C. Joseph makes free throw 1 of 2,1,76-59,,
10:06.0,C. Joseph makes free throw 2 of 2,1,77-59,,
9:53.0,,,77-61,2,B. Lopez makes 2-pt shot from 5 ft
9:53.0,,,77-61,,Shooting foul by B. Biyombo (drawn by B. Lopez)
9:53.0,,,77-61,,B. Lopez misses free throw 1 of 1
9:52.0,Defensive rebound by B. Biyombo,,77-61,,
9:32.0,P. Patterson misses 2-pt shot at rim (block by B. Lopez),,77-61,,
9:31.0,Offensive rebound by P. Patterson,,77-61,,
9:26.0,C. Joseph misses 2-pt shot from 23 ft,,77-61,,
9:25.0,,,77-61,,Defensive rebound by A. Bargnani
9:13.0,,,77-61,,Turnover by B. Lopez (lost ball; steal by T. Ross)
9:05.0,K. Lowry misses 3-pt shot from 25 ft,,77-61,,
9:04.0,,,77-61,,Defensive rebound by B. Lopez
8:53.0,,,77-61,,B. Bogdanovic misses 2-pt shot from 14 ft
8:52.0,Defensive rebound by K. Lowry,,77-61,,
8:40.0,B. Biyombo misses 2-pt shot from 12 ft,,77-61,,
8:39.0,,,77-61,,Defensive rebound by A. Bargnani
8:27.0,,,77-61,,A. Bargnani misses 2-pt shot from 17 ft
8:26.0,Defensive rebound by K. Lowry,,77-61,,
8:25.0,Toronto full timeout,,77-61,,
8:25.0,,,77-61,,J. Johnson enters the game for W. Ellington
8:25.0,,,77-61,,S. Larkin enters the game for A. Bargnani
8:25.0,,,77-61,,T. Young enters the game for B. Bogdanovic
8:25.0,D. DeRozan enters the game for C. Joseph,,77-61,,
8:15.0,K. Lowry makes 2-pt shot from 11 ft,2,79-61,,
7:55.0,,,79-61,,D. Sloan misses 2-pt shot from 1 ft (block by B. Biyombo)
7:53.0,,,79-61,,Offensive rebound by B. Lopez
7:52.0,,,79-63,2,B. Lopez makes 2-pt shot from 1 ft
7:48.0,Turnover by B. Biyombo (bad pass; steal by S. Larkin),,79-63,,
7:43.0,,,79-63,,S. Larkin misses 3-pt shot from 25 ft
7:42.0,Defensive rebound by Team,,79-63,,
7:42.0,,,79-63,,B. Bogdanovic enters the game for D. Sloan
7:27.0,T. Ross misses 2-pt shot from 19 ft,,79-63,,
7:26.0,,,79-63,,Defensive rebound by T. Young
7:17.0,,,79-65,2,T. Young makes 2-pt shot from 7 ft
6:53.0,T. Ross misses 2-pt shot from 22 ft,,79-65,,
6:52.0,,,79-65,,Defensive rebound by S. Larkin
6:36.0,,,79-65,,Shooting foul by K. Lowry (drawn by B. Bogdanovic)
6:36.0,,,79-66,1,B. Bogdanovic makes free throw 1 of 2
6:36.0,C. Joseph enters the game for K. Lowry,,79-66,,
6:36.0,,,79-67,1,B. Bogdanovic makes free throw 2 of 2
6:11.0,C. Joseph misses 2-pt shot from 18 ft,,79-67,,
6:10.0,,,79-67,,Defensive rebound by B. Lopez
5:59.0,,,79-67,,Turnover by J. Johnson (lost ball; steal by D. DeRozan)
5:45.0,T. Ross misses 3-pt shot from 22 ft,,79-67,,
5:44.0,,,79-67,,Defensive rebound by T. Young
5:34.0,,,79-67,,T. Young misses 2-pt shot from 18 ft
5:33.0,Defensive rebound by C. Joseph,,79-67,,
5:29.0,,,79-67,,Personal foul by S. Larkin (drawn by C. Joseph)
5:29.0,Official timeout,,79-67,,
5:29.0,J. Valanciunas enters the game for B. Biyombo,,79-67,,
5:16.0,D. DeRozan misses 2-pt shot from 20 ft,,79-67,,
5:15.0,,,79-67,,Defensive rebound by B. Bogdanovic
5:07.0,,,79-69,2,T. Young makes 2-pt shot from 1 ft (assist by S. Larkin)
4:49.0,C. Joseph misses 2-pt shot from 18 ft,,79-69,,
4:48.0,,,79-69,,Defensive rebound by S. Larkin
4:42.0,,,79-69,,T. Young misses 2-pt shot from 5 ft
4:41.0,Defensive rebound by J. Valanciunas,,79-69,,
4:31.0,,,79-69,,Violation by B. Lopez (kicked ball)
4:31.0,K. Lowry enters the game for T. Ross,,79-69,,
4:17.0,K. Lowry makes 2-pt shot from 21 ft,2,81-69,,
4:03.0,,,81-69,,T. Young misses 2-pt shot from 2 ft
4:02.0,Defensive rebound by K. Lowry,,81-69,,
3:57.0,C. Joseph makes 2-pt shot from 1 ft (assist by K. Lowry),2,83-69,,
3:57.0,,,83-69,,Brooklyn full timeout
3:45.0,,,83-69,,Shooting foul by J. Valanciunas (drawn by B. Lopez)
3:45.0,,,83-69,,B. Lopez misses free throw 1 of 2
3:45.0,,,83-69,,Offensive rebound by Team
3:45.0,,,83-69,,B. Lopez misses free throw 2 of 2
3:44.0,Defensive rebound by J. Valanciunas,,83-69,,
3:30.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,85-69,,
3:15.0,,,85-71,2,J. Johnson makes 2-pt shot from 7 ft
2:48.0,K. Lowry makes 2-pt shot from 1 ft,2,87-71,,
2:35.0,,,87-71,,Offensive foul by J. Johnson
2:35.0,,,87-71,,Turnover by J. Johnson (offensive foul)
2:35.0,,,87-71,,W. Reed enters the game for B. Lopez
2:35.0,,,87-71,,M. Brown enters the game for J. Johnson
2:35.0,,,87-71,,S. Karasev enters the game for B. Bogdanovic
2:35.0,,,87-71,,T. Robinson enters the game for T. Young
2:19.0,Turnover by D. DeRozan (offensive foul),,87-71,,
2:19.0,Offensive charge foul by D. DeRozan,,87-71,,
2:19.0,J. Johnson enters the game for D. DeRozan,,87-71,,
2:19.0,D. Wright enters the game for K. Lowry,,87-71,,
2:00.0,,,87-71,,T. Robinson misses 2-pt shot from 5 ft
1:59.0,Defensive rebound by J. Valanciunas,,87-71,,
1:48.0,Turnover by C. Joseph (lost ball),,87-71,,
1:48.0,L. Nogueira enters the game for J. Valanciunas,,87-71,,
1:29.0,,,87-71,,M. Brown misses 3-pt shot from 25 ft
1:27.0,Defensive rebound by P. Patterson,,87-71,,
1:20.0,J. Johnson makes 2-pt shot at rim,2,89-71,,
