time,Golden State,pts.away,score,pts.home,Toronto
3:54.0,,,45-45,2,D. Carroll makes 2-pt shot at rim (assist by K. Lowry)
3:44.0,,,45-45,,Personal foul by D. Carroll (drawn by K. Thompson)
3:44.0,A. Iguodala enters the game for S. Livingston,,45-45,,
3:44.0,,,45-45,,B. Biyombo enters the game for L. Scola
3:44.0,,,45-45,,C. Joseph enters the game for K. Lowry
3:35.0,D. Green misses 2-pt shot from 17 ft,,45-45,,
3:34.0,Offensive rebound by F. Ezeli,,45-45,,
3:29.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry),3,48-45,,
3:04.0,,,48-45,,P. Patterson misses 3-pt shot from 24 ft
3:04.0,Defensive rebound by A. Iguodala,,48-45,,
2:49.0,K. Thompson misses 2-pt shot from 6 ft,,48-45,,
2:49.0,,,48-45,,Defensive rebound by D. Carroll
2:38.0,Def 3 sec tech foul by F. Ezeli,,48-45,,
2:38.0,Official timeout,,48-45,,
2:38.0,,,48-46,1,D. DeRozan makes technical free throw
2:25.0,,,48-46,,D. DeRozan misses 2-pt shot from 11 ft
2:24.0,Defensive rebound by Team,,48-46,,
2:10.0,S. Curry makes 3-pt shot from 24 ft (assist by A. Iguodala),3,51-46,,
1:50.0,,,51-46,,D. Carroll misses 2-pt shot from 3 ft (block by F. Ezeli)
1:48.0,Defensive rebound by D. Green,,51-46,,
1:33.0,,,51-46,,Personal foul by B. Biyombo (drawn by F. Ezeli)
1:25.0,S. Curry makes 2-pt shot from 4 ft,2,53-46,,
1:22.0,Personal take foul by F. Ezeli (drawn by C. Joseph),,53-46,,
1:22.0,Golden State full timeout,,53-46,,
1:22.0,I. Clark enters the game for S. Curry,,53-46,,
1:22.0,,,53-47,1,C. Joseph makes free throw 1 of 2
1:22.0,,,53-47,,C. Joseph misses free throw 2 of 2
1:21.0,Defensive rebound by D. Green,,53-47,,
1:05.0,K. Thompson misses 3-pt shot from 24 ft,,53-47,,
1:05.0,,,53-47,,Defensive rebound by B. Biyombo
0:54.0,,,53-47,,D. DeRozan misses 2-pt shot from 9 ft
0:53.0,Defensive rebound by D. Green,,53-47,,
0:48.0,K. Thompson makes 3-pt shot from 24 ft (assist by A. Iguodala),3,56-47,,
0:25.0,,,56-47,,Shooting foul by D. Green (drawn by D. DeRozan)
0:25.0,,,56-48,1,D. DeRozan makes free throw 1 of 2
0:25.0,,,56-48,,L. Nogueira enters the game for B. Biyombo
0:25.0,,,56-48,,T. Ross enters the game for D. Carroll
0:25.0,S. Curry enters the game for D. Green,,56-48,,
0:25.0,,,56-49,1,D. DeRozan makes free throw 2 of 2
0:05.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry),3,59-49,,
0:00.0,,,59-49,,D. DeRozan misses 3-pt shot from 24 ft
0:00.0,,,59-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Turnover by S. Curry (bad pass; steal by D. Carroll),,59-49,,
11:27.0,,,59-51,2,K. Lowry makes 2-pt shot from 2 ft
11:20.0,S. Curry misses 3-pt shot from 24 ft,,59-51,,
11:20.0,,,59-51,,Defensive rebound by B. Biyombo
11:07.0,,,59-51,,D. DeRozan misses 2-pt shot from 17 ft
11:07.0,Defensive rebound by B. Rush,,59-51,,
11:01.0,Shooting foul by L. Scola (drawn by D. Green),,59-51,,
11:01.0,D. Green misses free throw 1 of 2,,59-51,,
11:01.0,Offensive rebound by Team,,59-51,,
11:01.0,D. Green makes free throw 2 of 2,1,60-51,,
10:49.0,,,60-51,,Shooting foul by S. Curry (drawn by K. Lowry)
10:49.0,,,60-52,1,K. Lowry makes free throw 1 of 2
10:49.0,,,60-53,1,K. Lowry makes free throw 2 of 2
10:33.0,B. Rush makes 3-pt shot from 23 ft (assist by K. Thompson),3,63-53,,
10:08.0,,,63-53,,K. Lowry misses 2-pt shot from 8 ft
10:07.0,,,63-53,,Offensive rebound by D. DeRozan
10:01.0,,,63-55,2,K. Lowry makes 2-pt shot from 22 ft (assist by D. DeRozan)
9:50.0,D. Green misses 2-pt shot from 6 ft,,63-55,,
9:49.0,,,63-55,,Defensive rebound by D. Carroll
9:42.0,,,63-55,,D. Carroll misses 2-pt shot from 6 ft
9:40.0,Defensive rebound by B. Rush,,63-55,,
9:33.0,Turnover by S. Curry (lost ball),,63-55,,
9:20.0,,,63-58,3,K. Lowry makes 3-pt shot from 24 ft (assist by D. DeRozan)
9:07.0,,,63-58,,Personal foul by D. Carroll (drawn by D. Green)
9:01.0,,,63-58,,Personal foul by L. Scola (drawn by D. Green)
8:53.0,Turnover by D. Green (lost ball; steal by K. Lowry),,63-58,,
8:46.0,,,63-58,,D. Carroll misses 3-pt shot from 25 ft
8:45.0,Defensive rebound by Team,,63-58,,
8:45.0,,,63-58,,Loose ball foul by B. Biyombo (drawn by F. Ezeli)
8:36.0,Shooting foul by B. Biyombo (drawn by S. Curry),,63-58,,
8:36.0,S. Curry makes free throw 1 of 2,1,64-58,,
8:36.0,,,64-58,,L. Nogueira enters the game for B. Biyombo
8:36.0,S. Curry misses free throw 2 of 2,,64-58,,
8:35.0,,,64-58,,Defensive rebound by L. Scola
8:11.0,,,64-60,2,D. DeRozan makes 2-pt shot from 19 ft
8:01.0,K. Thompson misses 3-pt shot from 24 ft,,64-60,,
8:01.0,Offensive rebound by F. Ezeli,,64-60,,
7:43.0,S. Curry makes 2-pt shot from 4 ft (assist by D. Green),2,66-60,,
7:29.0,,,66-60,,Shooting foul by F. Ezeli (drawn by K. Lowry)
7:29.0,,,66-61,1,K. Lowry makes free throw 1 of 2
7:29.0,,,66-62,1,K. Lowry makes free throw 2 of 2
7:18.0,,,66-62,,Shooting block foul by L. Scola (drawn by F. Ezeli)
7:18.0,F. Ezeli misses free throw 1 of 2,,66-62,,
7:18.0,Offensive rebound by Team,,66-62,,
7:18.0,,,66-62,,P. Patterson enters the game for L. Scola
7:18.0,F. Ezeli makes free throw 2 of 2,1,67-62,,
7:00.0,,,67-62,,D. DeRozan misses 2-pt shot from 17 ft
7:00.0,Defensive rebound by K. Thompson,,67-62,,
6:41.0,F. Ezeli makes 2-pt shot from 7 ft,2,69-62,,
6:19.0,,,69-62,,Shooting foul by K. Thompson (drawn by D. DeRozan)
6:19.0,,,69-63,1,D. DeRozan makes free throw 1 of 2
6:19.0,,,69-63,,D. DeRozan misses free throw 2 of 2
6:19.0,Defensive rebound by D. Green,,69-63,,
5:59.0,,,69-63,,Personal foul by D. DeRozan (drawn by F. Ezeli)
5:59.0,,,69-63,,Toronto full timeout
5:59.0,A. Iguodala enters the game for B. Rush,,69-63,,
5:59.0,F. Ezeli misses free throw 1 of 2,,69-63,,
5:59.0,Offensive rebound by Team,,69-63,,
5:59.0,F. Ezeli makes free throw 2 of 2,1,70-63,,
5:41.0,,,70-65,2,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry)
5:16.0,F. Ezeli misses 2-pt shot from 8 ft,,70-65,,
5:11.0,,,70-65,,Defensive rebound by D. DeRozan
5:10.0,,,70-65,,Turnover by D. DeRozan (step out of bounds)
4:45.0,F. Ezeli makes 2-pt shot from 3 ft (assist by D. Green),2,72-65,,
4:20.0,,,72-65,,K. Lowry misses 3-pt shot from 24 ft
4:20.0,,,72-65,,Offensive rebound by L. Nogueira
4:09.0,,,72-67,2,L. Nogueira makes 2-pt shot from 1 ft (assist by D. Carroll)
3:57.0,,,72-67,,Personal block foul by D. Carroll (drawn by K. Thompson)
3:57.0,K. Thompson makes free throw 1 of 2,1,73-67,,
3:57.0,,,73-67,,C. Joseph enters the game for D. Carroll
3:57.0,S. Livingston enters the game for F. Ezeli,,73-67,,
3:57.0,K. Thompson makes free throw 2 of 2,1,74-67,,
3:44.0,,,74-69,2,K. Lowry makes 2-pt shot from 1 ft
3:33.0,S. Curry misses 2-pt shot from 9 ft,,74-69,,
3:33.0,Offensive rebound by Team,,74-69,,
3:33.0,,,74-69,,Loose ball foul by K. Lowry (drawn by D. Green)
3:33.0,D. Green makes free throw 1 of 2,1,75-69,,
3:33.0,D. Green makes free throw 2 of 2,1,76-69,,
3:28.0,Personal foul by S. Curry (drawn by C. Joseph),,76-69,,
3:13.0,,,76-71,2,C. Joseph makes 2-pt shot from 7 ft
3:04.0,K. Thompson misses 2-pt shot from 18 ft,,76-71,,
3:03.0,,,76-71,,Defensive rebound by P. Patterson
2:52.0,,,76-73,2,L. Nogueira makes 2-pt shot at rim (assist by D. DeRozan)
2:52.0,Golden State full timeout,,76-73,,
2:52.0,M. Speights enters the game for K. Thompson,,76-73,,
2:52.0,,,76-73,,T. Ross enters the game for K. Lowry
2:35.0,D. Green makes 2-pt shot from 2 ft (assist by M. Speights),2,78-73,,
2:22.0,,,78-73,,L. Nogueira misses 2-pt shot from 2 ft (block by S. Livingston)
2:22.0,,,78-73,,Offensive rebound by Team
2:11.0,,,78-75,2,P. Patterson makes 2-pt shot from 8 ft (assist by C. Joseph)
1:58.0,S. Curry misses 2-pt shot from 15 ft (block by C. Joseph),,78-75,,
1:56.0,Offensive rebound by S. Curry,,78-75,,
1:50.0,S. Curry makes 3-pt shot from 23 ft (assist by M. Speights),3,81-75,,
1:20.0,,,81-77,2,C. Joseph makes 2-pt shot from 1 ft
1:05.0,S. Curry misses 3-pt shot from 24 ft,,81-77,,
1:05.0,,,81-77,,Defensive rebound by P. Patterson
0:52.0,,,81-79,2,D. DeRozan makes 2-pt shot from 1 ft
0:37.0,M. Speights misses 2-pt shot from 5 ft,,81-79,,
0:36.0,Offensive rebound by S. Livingston,,81-79,,
0:25.0,M. Speights misses 2-pt shot from 17 ft,,81-79,,
0:24.0,Offensive rebound by Team,,81-79,,
0:02.0,S. Curry makes 2-pt shot from 8 ft,2,83-79,,
0:00.0,,,83-79,,C. Joseph misses 3-pt shot from 35 ft
0:00.0,,,83-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,83-79,,C. Joseph misses 2-pt shot from 2 ft
11:39.0,Defensive rebound by J. McAdoo,,83-79,,
11:28.0,,,83-79,,Personal foul by C. Joseph (drawn by J. McAdoo)
11:22.0,L. Barbosa misses 2-pt shot from 11 ft,,83-79,,
11:21.0,,,83-79,,Defensive rebound by L. Nogueira
11:09.0,,,83-82,3,K. Lowry makes 3-pt shot from 25 ft (assist by L. Nogueira)
10:47.0,Shooting foul by J. Johnson (drawn by M. Speights),,83-82,,
10:47.0,M. Speights misses free throw 1 of 2,,83-82,,
10:47.0,Offensive rebound by Team,,83-82,,
10:47.0,M. Speights makes free throw 2 of 2,1,84-82,,
10:32.0,,,84-84,2,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry)
10:15.0,S. Livingston misses 2-pt shot from 10 ft,,84-84,,
10:14.0,,,84-84,,Defensive rebound by Team
10:14.0,Loose ball foul by S. Livingston (drawn by K. Lowry),,84-84,,
9:50.0,,,84-84,,Turnover by K. Lowry (lost ball; steal by A. Iguodala)
9:36.0,J. McAdoo misses 2-pt shot from 4 ft,,84-84,,
9:36.0,,,84-84,,Defensive rebound by P. Patterson
9:30.0,,,84-84,,Shooting foul by J. McAdoo (drawn by J. Johnson)
9:30.0,,,84-84,,J. Johnson misses free throw 1 of 2
9:30.0,,,84-84,,Offensive rebound by Team
9:30.0,,,84-85,1,J. Johnson makes free throw 2 of 2
9:16.0,Offensive charge foul by M. Speights,,84-85,,
9:16.0,Turnover by M. Speights (offensive foul),,84-85,,
8:50.0,,,84-85,,K. Lowry misses 2-pt shot from 2 ft
8:50.0,Defensive rebound by J. McAdoo,,84-85,,
8:42.0,Turnover by L. Barbosa (bad pass; steal by L. Nogueira),,84-85,,
8:41.0,Personal foul by S. Livingston (drawn by J. Johnson),,84-85,,
8:41.0,Official timeout,,84-85,,
8:41.0,D. Green enters the game for A. Iguodala,,84-85,,
8:41.0,S. Curry enters the game for L. Barbosa,,84-85,,
8:41.0,K. Thompson enters the game for M. Speights,,84-85,,
8:41.0,F. Ezeli enters the game for J. McAdoo,,84-85,,
8:28.0,,,84-85,,K. Lowry misses 2-pt shot from 2 ft
8:28.0,Defensive rebound by D. Green,,84-85,,
8:28.0,,,84-85,,Personal foul by L. Nogueira (drawn by D. Green)
8:16.0,K. Thompson misses 2-pt shot from 2 ft (block by K. Lowry),,84-85,,
8:16.0,,,84-85,,Defensive rebound by Team
8:04.0,,,84-85,,K. Lowry misses 2-pt shot from 2 ft
8:03.0,Defensive rebound by K. Thompson,,84-85,,
7:53.0,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry),3,87-85,,
7:31.0,,,87-85,,P. Patterson misses 3-pt shot from 24 ft
7:30.0,Defensive rebound by K. Thompson,,87-85,,
7:22.0,Turnover by K. Thompson (bad pass; steal by K. Lowry),,87-85,,
7:16.0,,,87-87,2,K. Lowry makes 2-pt shot from 2 ft (assist by J. Johnson)
7:06.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Green),3,90-87,,
6:41.0,,,90-87,,Turnover by L. Nogueira (lost ball)
6:31.0,S. Livingston makes 2-pt shot from 3 ft (assist by S. Curry),2,92-87,,
6:31.0,,,92-87,,Toronto full timeout
6:31.0,,,92-87,,L. Scola enters the game for L. Nogueira
6:31.0,,,92-87,,D. DeRozan enters the game for J. Johnson
6:23.0,,,92-87,,Shooting foul by F. Ezeli (drawn by L. Scola)
6:23.0,,,92-88,1,L. Scola makes free throw 1 of 2
6:23.0,,,92-89,1,L. Scola makes free throw 2 of 2
6:08.0,D. Green makes 2-pt shot from 6 ft (assist by S. Curry),2,94-89,,
5:55.0,,,94-92,3,K. Lowry makes 3-pt shot from 24 ft
5:42.0,Shooting foul by L. Scola (drawn by F. Ezeli),,94-92,,
5:42.0,F. Ezeli misses free throw 1 of 2,,94-92,,
5:42.0,Offensive rebound by Team,,94-92,,
5:42.0,A. Iguodala enters the game for S. Livingston,,94-92,,
5:42.0,F. Ezeli makes free throw 2 of 2,1,95-92,,
5:19.0,,,95-94,2,D. DeRozan makes 2-pt shot from 2 ft (assist by P. Patterson)
5:06.0,S. Curry misses 2-pt shot from 10 ft,,95-94,,
5:05.0,,,95-94,,Defensive rebound by K. Lowry
4:53.0,,,95-96,2,K. Lowry makes 2-pt shot from 2 ft
4:28.0,Golden State full timeout,,95-96,,
4:28.0,S. Livingston enters the game for F. Ezeli,,95-96,,
4:23.0,S. Curry misses 3-pt shot from 28 ft,,95-96,,
4:23.0,,,95-96,,Defensive rebound by P. Patterson
4:13.0,,,95-96,,D. DeRozan misses 2-pt shot from 1 ft
4:13.0,,,95-96,,Offensive rebound by L. Scola
4:13.0,,,95-96,,Shooting foul by A. Iguodala (drawn by L. Scola)
4:13.0,,,95-97,1,L. Scola makes free throw 1 of 2
4:13.0,,,95-98,1,L. Scola makes free throw 2 of 2
4:00.0,D. Green misses 2-pt shot from 6 ft,,95-98,,
4:00.0,,,95-98,,Defensive rebound by Team
3:44.0,,,95-98,,D. DeRozan misses 2-pt shot from 19 ft
3:42.0,Defensive rebound by S. Curry,,95-98,,
