time,Dallas,pts.away,score,pts.home,Cleveland
7:37.0,,,6-8,1,K. Love makes free throw 2 of 2
7:21.0,D. Nowitzki makes 2-pt shot from 1 ft (assist by W. Matthews),2,8-8,,
7:11.0,,,8-10,2,K. Irving makes 2-pt shot from 13 ft
7:01.0,,,8-10,,Violation by I. Shumpert (kicked ball)
7:01.0,,,8-10,,R. Jefferson enters the game for K. Love
6:49.0,R. Felton misses 3-pt shot from 25 ft,,8-10,,
6:48.0,,,8-10,,Defensive rebound by R. Jefferson
6:33.0,,,8-10,,Turnover by R. Jefferson (lost ball)
6:24.0,,,8-10,,Personal foul by K. Irving
6:09.0,D. Nowitzki makes 2-pt shot at rim (assist by D. Williams),2,10-10,,
5:51.0,,,10-10,,J. Smith misses 2-pt shot from 6 ft
5:50.0,,,10-10,,Offensive rebound by J. Smith
5:46.0,,,10-13,3,R. Jefferson makes 3-pt shot from 22 ft (assist by J. Smith)
5:46.0,Dallas full timeout,,10-13,,
5:46.0,D. Lee enters the game for D. Nowitzki,,10-13,,
5:31.0,D. Lee makes 2-pt shot from 1 ft (assist by C. Parsons),2,12-13,,
5:10.0,,,12-15,2,K. Irving makes 2-pt shot from 18 ft
5:00.0,Turnover by D. Williams (lost ball; steal by I. Shumpert),,12-15,,
4:54.0,,,12-17,2,K. Irving makes 2-pt shot at rim (assist by I. Shumpert)
4:39.0,D. Lee makes 2-pt shot from 1 ft (assist by C. Parsons),2,14-17,,
4:39.0,Shooting foul by K. Irving (drawn by D. Lee),,14-17,,
4:39.0,,,14-17,,M. Dellavedova enters the game for K. Irving
4:39.0,D. Lee makes free throw 1 of 1,1,15-17,,
4:16.0,,,15-19,2,I. Shumpert makes 2-pt shot from 1 ft (assist by M. Dellavedova)
4:06.0,D. Lee misses 2-pt shot from 2 ft (block by I. Shumpert),,15-19,,
4:06.0,Offensive rebound by Team,,15-19,,
4:06.0,D. Harris enters the game for R. Felton,,15-19,,
4:06.0,,,15-19,,C. Frye enters the game for T. Thompson
4:04.0,C. Parsons misses 2-pt shot from 1 ft,,15-19,,
4:03.0,,,15-19,,Defensive rebound by C. Frye
3:56.0,,,15-21,2,R. Jefferson makes 2-pt shot from 1 ft (assist by M. Dellavedova)
3:56.0,,,15-21,,Shooting foul by D. Lee (drawn by R. Jefferson)
3:56.0,J. Barea enters the game for D. Williams,,15-21,,
3:56.0,,,15-22,1,R. Jefferson makes free throw 1 of 1
3:39.0,D. Lee makes 2-pt shot from 8 ft (assist by C. Parsons),2,17-22,,
3:29.0,,,17-22,,Turnover by R. Jefferson (lost ball)
3:17.0,Turnover by C. Parsons (lost ball; steal by J. Smith),,17-22,,
3:05.0,,,17-22,,J. Smith misses 3-pt shot from 25 ft
3:05.0,,,17-22,,Offensive rebound by C. Frye
2:56.0,,,17-22,,Offensive foul by C. Frye
2:56.0,,,17-22,,Turnover by C. Frye (offensive foul)
2:56.0,,,17-22,,Cleveland full timeout
2:43.0,Turnover by C. Parsons (lost ball; steal by J. Smith),,17-22,,
2:38.0,,,17-24,2,J. Smith makes 2-pt shot at rim
2:26.0,J. Barea makes 2-pt shot from 15 ft,2,19-24,,
2:08.0,,,19-26,2,C. Frye makes 2-pt shot from 4 ft (assist by J. Smith)
1:58.0,D. Lee makes 2-pt shot at rim (assist by J. Barea),2,21-26,,
1:46.0,,,21-26,,J. Smith misses 3-pt shot from 25 ft
1:46.0,Defensive rebound by J. Barea,,21-26,,
1:36.0,J. Anderson enters the game for C. Parsons,,21-26,,
1:36.0,D. Nowitzki enters the game for W. Matthews,,21-26,,
1:36.0,,,21-26,,K. Love enters the game for I. Shumpert
1:22.0,D. Nowitzki misses 3-pt shot from 24 ft,,21-26,,
1:22.0,,,21-26,,Defensive rebound by J. Smith
1:13.0,,,21-26,,J. Smith misses 2-pt shot from 15 ft
1:13.0,Defensive rebound by D. Lee,,21-26,,
1:05.0,J. Barea makes 3-pt shot from 25 ft (assist by D. Lee),3,24-26,,
0:52.0,,,24-28,2,M. Dellavedova makes 2-pt shot from 1 ft
0:39.0,J. Barea makes 3-pt shot from 24 ft,3,27-28,,
0:29.0,,,27-31,3,C. Frye makes 3-pt shot from 25 ft (assist by M. Dellavedova)
0:05.0,,,27-31,,Shooting block foul by R. Jefferson (drawn by D. Nowitzki)
0:05.0,D. Nowitzki misses free throw 1 of 2,,27-31,,
0:05.0,Offensive rebound by Team,,27-31,,
0:05.0,W. Matthews enters the game for D. Lee,,27-31,,
0:05.0,D. Nowitzki makes free throw 2 of 2,1,28-31,,
0:03.0,Personal foul by J. Barea,,28-31,,
0:03.0,D. Lee enters the game for D. Nowitzki,,28-31,,
0:00.0,,,28-31,,K. Love misses 3-pt shot from 24 ft
0:00.0,,,28-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,D. Harris misses 2-pt shot from 8 ft,,28-31,,
11:45.0,,,28-31,,Defensive rebound by K. Love
11:29.0,,,28-31,,K. Love misses 2-pt shot from 5 ft (block by D. Nowitzki)
11:29.0,,,28-31,,Offensive rebound by Team
11:19.0,,,28-31,,R. Jefferson misses 3-pt shot from 23 ft
11:18.0,Defensive rebound by D. Harris,,28-31,,
11:11.0,D. Nowitzki misses 3-pt shot from 25 ft,,28-31,,
11:10.0,,,28-31,,Defensive rebound by K. Love
10:56.0,,,28-33,2,K. Love makes 2-pt shot from 3 ft (assist by M. Dellavedova)
10:45.0,Turnover by J. Barea (lost ball; steal by C. Frye),,28-33,,
10:35.0,,,28-36,3,C. Frye makes 3-pt shot from 24 ft (assist by M. Dellavedova)
10:35.0,Dallas full timeout,,28-36,,
10:17.0,J. Anderson misses 3-pt shot from 24 ft,,28-36,,
10:16.0,,,28-36,,Defensive rebound by K. Irving
10:11.0,,,28-36,,C. Frye misses 3-pt shot from 24 ft
10:10.0,Defensive rebound by D. Harris,,28-36,,
10:09.0,,,28-36,,Personal foul by K. Love
9:58.0,D. Nowitzki misses 2-pt shot from 17 ft,,28-36,,
9:58.0,,,28-36,,Defensive rebound by K. Love
9:50.0,,,28-39,3,K. Irving makes 3-pt shot from 24 ft (assist by M. Dellavedova)
9:31.0,D. Nowitzki misses 2-pt shot from 15 ft,,28-39,,
9:30.0,,,28-39,,Defensive rebound by K. Love
9:16.0,,,28-41,2,K. Irving makes 2-pt shot from 1 ft
9:16.0,Dallas full timeout,,28-41,,
9:16.0,C. Parsons enters the game for D. Nowitzki,,28-41,,
9:16.0,D. Powell enters the game for D. Lee,,28-41,,
8:56.0,J. Anderson misses 2-pt shot from 10 ft,,28-41,,
8:55.0,,,28-41,,Defensive rebound by Team
8:55.0,W. Matthews enters the game for J. Anderson,,28-41,,
8:39.0,,,28-41,,K. Love misses 2-pt shot from 4 ft
8:37.0,,,28-41,,Offensive rebound by K. Love
8:37.0,,,28-43,2,K. Love makes 2-pt shot from 1 ft
8:26.0,J. Barea misses 2-pt shot at rim (block by K. Love),,28-43,,
8:25.0,,,28-43,,Defensive rebound by R. Jefferson
8:17.0,,,28-45,2,C. Frye makes 2-pt shot at rim (assist by M. Dellavedova)
8:17.0,,,28-45,,Shooting foul by J. Barea (drawn by C. Frye)
8:17.0,R. Felton enters the game for J. Barea,,28-45,,
8:17.0,D. Williams enters the game for D. Harris,,28-45,,
8:17.0,,,28-46,1,C. Frye makes free throw 1 of 1
8:01.0,W. Matthews misses 2-pt shot from 18 ft,,28-46,,
7:59.0,Offensive rebound by C. Parsons,,28-46,,
7:47.0,R. Felton misses 3-pt shot from 25 ft,,28-46,,
7:47.0,,,28-46,,Defensive rebound by K. Love
7:33.0,Personal block foul by W. Matthews,,28-46,,
7:33.0,,,28-46,,J. Smith enters the game for C. Frye
7:20.0,,,28-46,,K. Irving misses 2-pt shot from 6 ft
7:20.0,Defensive rebound by Team,,28-46,,
7:11.0,D. Powell makes 2-pt shot at rim (assist by C. Parsons),2,30-46,,
6:49.0,,,30-46,,K. Irving misses 2-pt shot from 11 ft
6:48.0,,,30-46,,Offensive rebound by Team
6:48.0,Personal foul by D. Powell,,30-46,,
6:42.0,,,30-46,,Shooting foul by D. Powell (drawn by K. Love)
6:42.0,,,30-47,1,K. Love makes free throw 1 of 2
6:42.0,D. Lee enters the game for D. Powell,,30-47,,
6:42.0,,,30-47,,I. Shumpert enters the game for R. Jefferson
6:42.0,,,30-48,1,K. Love makes free throw 2 of 2
6:33.0,D. Williams misses 2-pt shot from 17 ft,,30-48,,
6:32.0,Offensive rebound by D. Lee,,30-48,,
6:26.0,W. Matthews misses 3-pt shot from 25 ft,,30-48,,
6:26.0,,,30-48,,Defensive rebound by K. Love
6:09.0,,,30-50,2,K. Love makes 2-pt shot from 8 ft
6:07.0,Dallas full timeout,,30-50,,
6:07.0,D. Nowitzki enters the game for R. Felton,,30-50,,
6:07.0,,,30-50,,T. Thompson enters the game for M. Dellavedova
5:57.0,Shooting foul by T. Thompson (drawn by D. Nowitzki),,30-50,,
5:57.0,D. Nowitzki makes free throw 1 of 2,1,31-50,,
5:57.0,D. Nowitzki makes free throw 2 of 2,1,32-50,,
5:46.0,,,32-50,,Turnover by K. Love (traveling)
5:27.0,C. Parsons makes 2-pt shot from 17 ft (assist by D. Williams),2,34-50,,
4:58.0,,,34-52,2,J. Smith makes 2-pt shot from 17 ft
4:33.0,Turnover by Team (shot clock),,34-52,,
4:10.0,,,34-52,,Turnover by K. Irving (lost ball; steal by D. Williams)
4:04.0,D. Lee makes 2-pt shot at rim (assist by D. Williams),2,36-52,,
3:58.0,,,36-52,,Cleveland full timeout
3:58.0,,,36-52,,C. Frye enters the game for K. Love
3:51.0,,,36-52,,K. Irving misses 2-pt shot from 16 ft
3:50.0,Defensive rebound by C. Parsons,,36-52,,
3:33.0,W. Matthews makes 2-pt shot from 11 ft (assist by C. Parsons),2,38-52,,
3:19.0,,,38-52,,J. Smith misses 2-pt shot from 17 ft
3:19.0,Defensive rebound by D. Nowitzki,,38-52,,
3:09.0,D. Nowitzki makes 2-pt shot from 11 ft (assist by C. Parsons),2,40-52,,
2:52.0,,,40-52,,T. Thompson misses 2-pt shot from 1 ft (block by D. Nowitzki)
2:50.0,Defensive rebound by W. Matthews,,40-52,,
2:43.0,,,40-52,,Personal foul by J. Smith
2:43.0,W. Matthews makes free throw 1 of 3,1,41-52,,
2:43.0,W. Matthews makes free throw 2 of 3,1,42-52,,
2:43.0,,,42-52,,M. Dellavedova enters the game for K. Irving
2:43.0,W. Matthews makes free throw 3 of 3,1,43-52,,
2:23.0,,,43-52,,Turnover by I. Shumpert (bad pass)
2:12.0,Turnover by D. Williams (lost ball; steal by M. Dellavedova),,43-52,,
2:04.0,,,43-52,,C. Frye misses 3-pt shot from 24 ft
2:02.0,Defensive rebound by C. Parsons,,43-52,,
1:48.0,D. Lee makes 2-pt shot from 2 ft (assist by D. Williams),2,45-52,,
1:48.0,Shooting foul by C. Frye (drawn by D. Lee),,45-52,,
1:48.0,,,45-52,,K. Love enters the game for C. Frye
1:48.0,D. Lee makes free throw 1 of 1,1,46-52,,
1:34.0,,,46-52,,Turnover by M. Dellavedova (lost ball; steal by C. Parsons)
1:21.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by C. Parsons),3,49-52,,
1:21.0,,,49-52,,Cleveland full timeout
0:56.0,,,49-55,3,K. Love makes 3-pt shot from 25 ft (assist by T. Thompson)
0:45.0,C. Parsons misses 2-pt shot from 5 ft,,49-55,,
0:44.0,,,49-55,,Defensive rebound by M. Dellavedova
0:40.0,,,49-57,2,M. Dellavedova makes 2-pt shot at rim
0:40.0,,,49-57,,Shooting foul by D. Williams (drawn by M. Dellavedova)
0:40.0,,,49-57,,M. Dellavedova misses free throw 1 of 1
0:40.0,Defensive rebound by D. Nowitzki,,49-57,,
0:32.0,D. Williams misses 2-pt shot from 4 ft (block by K. Love),,49-57,,
0:30.0,,,49-57,,Defensive rebound by J. Smith
0:16.0,,,49-57,,Turnover by M. Dellavedova (lost ball; steal by C. Parsons)
0:02.0,Shooting foul by K. Love (drawn by D. Nowitzki),,49-57,,
0:02.0,D. Nowitzki makes free throw 1 of 2,1,50-57,,
0:02.0,D. Nowitzki makes free throw 2 of 2,1,51-57,,
0:00.0,,,51-57,,J. Smith misses 3-pt shot from 43 ft
0:00.0,,,51-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Turnover by C. Parsons (lost ball; steal by I. Shumpert),,51-57,,
11:37.0,,,51-59,2,K. Irving makes 2-pt shot from 19 ft
11:19.0,C. Parsons misses 3-pt shot from 23 ft,,51-59,,
11:18.0,,,51-59,,Defensive rebound by K. Love
11:08.0,,,51-61,2,J. Smith makes 2-pt shot from 4 ft
10:44.0,Shooting foul by I. Shumpert (drawn by D. Lee),,51-61,,
10:44.0,D. Lee makes free throw 1 of 2,1,52-61,,
10:44.0,D. Lee makes free throw 2 of 2,1,53-61,,
10:29.0,,,53-61,,K. Irving misses 3-pt shot from 24 ft
10:29.0,Defensive rebound by D. Lee,,53-61,,
10:09.0,W. Matthews misses 3-pt shot from 24 ft,,53-61,,
10:09.0,,,53-61,,Defensive rebound by K. Love
10:00.0,,,53-63,2,J. Smith makes 2-pt shot at rim
10:00.0,Dallas full timeout,,53-63,,
9:46.0,D. Lee misses 2-pt shot from 7 ft,,53-63,,
9:45.0,,,53-63,,Defensive rebound by K. Irving
9:32.0,,,53-63,,K. Irving misses 2-pt shot from 1 ft
9:32.0,,,53-63,,Offensive rebound by Team
9:32.0,Loose ball foul by C. Parsons,,53-63,,
9:32.0,R. Felton enters the game for D. Lee,,53-63,,
9:10.0,,,53-65,2,K. Irving makes 2-pt shot from 3 ft
9:03.0,Shooting foul by J. Smith (drawn by D. Williams),,53-65,,
9:03.0,D. Williams makes free throw 1 of 2,1,54-65,,
9:03.0,D. Williams misses free throw 2 of 2,,54-65,,
9:01.0,,,54-65,,Defensive rebound by K. Love
8:46.0,,,54-65,,I. Shumpert misses 2-pt shot from 2 ft (block by D. Nowitzki)
8:44.0,,,54-65,,Offensive rebound by I. Shumpert
8:38.0,,,54-68,3,J. Smith makes 3-pt shot from 24 ft (assist by I. Shumpert)
8:27.0,Turnover by W. Matthews (lost ball; steal by I. Shumpert),,54-68,,
8:20.0,,,54-71,3,K. Irving makes 3-pt shot from 24 ft (assist by I. Shumpert)
8:20.0,Dallas full timeout,,54-71,,
8:20.0,D. Harris enters the game for W. Matthews,,54-71,,
8:03.0,D. Nowitzki misses 2-pt shot from 4 ft,,54-71,,
8:01.0,,,54-71,,Defensive rebound by K. Love
7:53.0,,,54-71,,K. Irving misses 3-pt shot from 25 ft
7:52.0,,,54-71,,Offensive rebound by I. Shumpert
7:45.0,,,54-74,3,K. Love makes 3-pt shot from 23 ft (assist by K. Irving)
7:29.0,C. Parsons makes 2-pt shot at rim (assist by D. Nowitzki),2,56-74,,
7:14.0,Personal foul by D. Williams,,56-74,,
7:05.0,,,56-76,2,K. Love makes 2-pt shot from 16 ft (assist by J. Smith)
6:51.0,D. Nowitzki makes 2-pt shot from 10 ft (assist by C. Parsons),2,58-76,,
6:34.0,,,58-76,,Offensive foul by J. Smith
6:34.0,,,58-76,,Turnover by J. Smith (offensive foul)
6:20.0,Turnover by D. Nowitzki (lost ball; steal by J. Smith),,58-76,,
6:14.0,,,58-76,,K. Love misses 3-pt shot from 26 ft
6:12.0,,,58-76,,Offensive rebound by T. Thompson
6:11.0,,,58-76,,Turnover by I. Shumpert (step out of bounds)
5:45.0,D. Harris misses 2-pt shot from 9 ft,,58-76,,
5:43.0,Offensive rebound by R. Felton,,58-76,,
5:31.0,C. Parsons misses 3-pt shot from 24 ft,,58-76,,
5:31.0,,,58-76,,Defensive rebound by I. Shumpert
5:24.0,,,58-76,,Cleveland full timeout
5:24.0,D. Lee enters the game for D. Nowitzki,,58-76,,
5:10.0,,,58-76,,Turnover by K. Irving (lost ball; steal by D. Harris)
4:55.0,D. Lee makes 2-pt shot from 2 ft (assist by D. Williams),2,60-76,,
4:41.0,,,60-76,,Offensive foul by K. Love
4:41.0,,,60-76,,Turnover by K. Love (offensive foul)
4:23.0,D. Williams misses 2-pt shot from 9 ft,,60-76,,
4:23.0,,,60-76,,Defensive rebound by K. Love
4:12.0,,,60-78,2,K. Irving makes 2-pt shot from 6 ft (assist by J. Smith)
3:57.0,C. Parsons makes 2-pt shot from 19 ft,2,62-78,,
3:35.0,,,62-78,,K. Love misses 2-pt shot from 5 ft (block by D. Williams)
3:35.0,,,62-78,,Offensive rebound by Team
3:35.0,,,62-78,,R. Jefferson enters the game for I. Shumpert
3:35.0,,,62-78,,M. Dellavedova enters the game for K. Irving
3:35.0,J. Barea enters the game for D. Williams,,62-78,,
3:31.0,,,62-80,2,J. Smith makes 2-pt shot from 17 ft (assist by R. Jefferson)
3:13.0,R. Felton makes 2-pt shot at rim,2,64-80,,
3:00.0,Personal foul by D. Lee,,64-80,,
3:00.0,,,64-80,,C. Frye enters the game for T. Thompson
2:50.0,,,64-82,2,K. Love makes 2-pt shot from 14 ft
2:27.0,D. Lee misses 2-pt shot from 9 ft,,64-82,,
2:26.0,,,64-82,,Defensive rebound by R. Jefferson
2:24.0,Personal foul by D. Harris,,64-82,,
2:24.0,J. Anderson enters the game for C. Parsons,,64-82,,
2:24.0,,,64-82,,T. Thompson enters the game for K. Love
2:24.0,D. Nowitzki enters the game for R. Felton,,64-82,,
2:03.0,,,64-82,,J. Smith misses 3-pt shot from 25 ft
2:03.0,,,64-82,,Offensive rebound by T. Thompson
2:00.0,,,64-82,,M. Dellavedova misses 3-pt shot from 26 ft
1:59.0,,,64-82,,Offensive rebound by T. Thompson
1:55.0,,,64-82,,J. Smith misses 3-pt shot from 25 ft
1:54.0,Defensive rebound by J. Anderson,,64-82,,
1:43.0,D. Lee makes 2-pt shot at rim,2,66-82,,
1:28.0,,,66-82,,Turnover by M. Dellavedova (lost ball; steal by J. Anderson)
1:28.0,Shooting foul by T. Thompson (drawn by J. Anderson),,66-82,,
1:28.0,J. Anderson makes free throw 1 of 2,1,67-82,,
1:28.0,,,67-82,,K. Irving enters the game for J. Smith
1:28.0,Z. Pachulia enters the game for D. Lee,,67-82,,
1:28.0,J. Anderson makes free throw 2 of 2,1,68-82,,
1:10.0,,,68-82,,R. Jefferson misses 3-pt shot from 25 ft
1:09.0,Defensive rebound by J. Barea,,68-82,,
1:01.0,D. Nowitzki misses 3-pt shot from 25 ft,,68-82,,
1:00.0,,,68-82,,Defensive rebound by K. Irving
0:50.0,,,68-82,,M. Dellavedova misses 3-pt shot from 26 ft
0:49.0,,,68-82,,Offensive rebound by K. Irving
0:41.0,Violation by D. Harris (kicked ball),,68-82,,
0:27.0,,,68-84,2,M. Dellavedova makes 2-pt shot from 5 ft
0:03.0,J. Anderson misses 2-pt shot from 2 ft,,68-84,,
0:00.0,,,68-84,,Defensive rebound by R. Jefferson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,68-84,,K. Irving misses 2-pt shot at rim (block by J. Anderson)
11:33.0,Defensive rebound by Z. Pachulia,,68-84,,
11:21.0,D. Harris makes 3-pt shot from 25 ft (assist by J. Barea),3,71-84,,
11:03.0,,,71-87,3,C. Frye makes 3-pt shot from 24 ft (assist by T. Thompson)
10:43.0,D. Harris misses 2-pt shot from 1 ft,,71-87,,
10:41.0,,,71-87,,Defensive rebound by T. Thompson
10:36.0,,,71-87,,M. Dellavedova misses 3-pt shot from 24 ft
10:34.0,Defensive rebound by J. Barea,,71-87,,
10:20.0,D. Nowitzki misses 2-pt shot from 7 ft,,71-87,,
10:18.0,,,71-87,,Defensive rebound by R. Jefferson
10:04.0,,,71-87,,R. Jefferson misses 3-pt shot from 24 ft
10:03.0,Defensive rebound by Z. Pachulia,,71-87,,
9:55.0,J. Barea misses 2-pt shot from 15 ft,,71-87,,
9:54.0,,,71-87,,Defensive rebound by T. Thompson
9:46.0,Personal foul by Z. Pachulia,,71-87,,
9:46.0,,,71-87,,J. Smith enters the game for R. Jefferson
9:31.0,,,71-89,2,M. Dellavedova makes 2-pt shot from 19 ft
9:15.0,Z. Pachulia misses 2-pt shot from 6 ft,,71-89,,
9:15.0,,,71-89,,Defensive rebound by C. Frye
9:01.0,,,71-89,,M. Dellavedova misses 3-pt shot from 23 ft
9:01.0,Defensive rebound by D. Harris,,71-89,,
8:39.0,D. Nowitzki misses 3-pt shot from 25 ft,,71-89,,
8:38.0,Offensive rebound by J. Anderson,,71-89,,
8:35.0,J. Anderson makes 2-pt shot at rim,2,73-89,,
8:21.0,,,73-89,,K. Irving misses 2-pt shot from 4 ft
8:21.0,Defensive rebound by Team,,73-89,,
8:21.0,,,73-89,,Loose ball foul by T. Thompson
8:21.0,Official timeout,,73-89,,
8:04.0,J. Barea makes 3-pt shot from 26 ft (assist by D. Nowitzki),3,76-89,,
7:40.0,,,76-89,,J. Smith misses 3-pt shot from 22 ft
7:39.0,,,76-89,,Offensive rebound by T. Thompson
7:38.0,,,76-89,,Offensive foul by T. Thompson
7:38.0,,,76-89,,Turnover by T. Thompson (offensive foul)
7:38.0,,,76-89,,K. Love enters the game for C. Frye
7:27.0,Z. Pachulia makes 2-pt shot at rim (assist by J. Barea),2,78-89,,
7:14.0,,,78-89,,Turnover by K. Irving (lost ball; steal by Z. Pachulia)
7:11.0,Z. Pachulia makes 2-pt shot at rim,2,80-89,,
7:11.0,,,80-89,,Cleveland full timeout
6:52.0,,,80-89,,K. Irving misses 2-pt shot from 17 ft
6:51.0,Defensive rebound by Z. Pachulia,,80-89,,
6:42.0,J. Barea makes 2-pt shot at rim,2,82-89,,
6:28.0,,,82-89,,Shooting foul by D. Harris (drawn by K. Irving)
6:28.0,,,82-90,1,K. Irving makes free throw 1 of 2
6:28.0,C. Parsons enters the game for D. Nowitzki,,82-90,,
6:28.0,,,82-90,,I. Shumpert enters the game for M. Dellavedova
6:28.0,,,82-91,1,K. Irving makes free throw 2 of 2
6:13.0,J. Barea makes 2-pt shot at rim,2,84-91,,
5:55.0,,,84-91,,K. Irving misses 3-pt shot from 25 ft
5:55.0,Defensive rebound by Z. Pachulia,,84-91,,
5:44.0,Z. Pachulia misses 2-pt shot from 1 ft,,84-91,,
5:42.0,,,84-91,,Defensive rebound by K. Love
5:25.0,,,84-91,,J. Smith misses 2-pt shot from 5 ft (block by D. Harris)
5:24.0,,,84-91,,Offensive rebound by K. Love
5:23.0,Jump ball: D. Harris vs. K. Love (K. Irving gains possession),,,,Jump ball: D. Harris vs. K. Love (K. Irving gains possession)
5:16.0,,,84-91,,K. Irving misses 3-pt shot from 26 ft
5:15.0,Defensive rebound by D. Harris,,84-91,,
4:55.0,J. Barea makes 2-pt shot from 5 ft,2,86-91,,
4:39.0,,,86-93,2,K. Irving makes 2-pt shot at rim
4:25.0,J. Barea misses 2-pt shot from 13 ft,,86-93,,
4:23.0,,,86-93,,Defensive rebound by K. Love
4:21.0,Personal foul by J. Barea,,86-93,,
4:12.0,Personal foul by D. Harris,,86-93,,
4:06.0,,,86-93,,K. Love misses 3-pt shot from 24 ft
4:05.0,Defensive rebound by C. Parsons,,86-93,,
3:54.0,D. Harris makes 3-pt shot from 24 ft (assist by J. Barea),3,89-93,,
3:37.0,Personal foul by C. Parsons,,89-93,,
3:37.0,,,89-94,1,K. Love makes free throw 1 of 2
3:37.0,D. Nowitzki enters the game for J. Anderson,,89-94,,
3:37.0,,,89-95,1,K. Love makes free throw 2 of 2
3:32.0,Shooting foul by I. Shumpert (drawn by Z. Pachulia),,89-95,,
3:32.0,Z. Pachulia makes free throw 1 of 2,1,90-95,,
3:32.0,Z. Pachulia makes free throw 2 of 2,1,91-95,,
3:17.0,,,91-95,,K. Love misses 3-pt shot from 22 ft
3:17.0,Defensive rebound by D. Nowitzki,,91-95,,
2:59.0,Z. Pachulia makes 2-pt shot at rim (assist by D. Nowitzki),2,93-95,,
2:35.0,,,93-95,,K. Love misses 2-pt shot from 2 ft
2:35.0,Defensive rebound by Team,,93-95,,
2:35.0,,,93-95,,Loose ball foul by T. Thompson
2:35.0,Dallas full timeout,,93-95,,
2:21.0,D. Nowitzki misses 3-pt shot from 25 ft,,93-95,,
2:20.0,,,93-95,,Defensive rebound by K. Irving
2:05.0,,,93-95,,K. Irving misses 2-pt shot from 6 ft (block by D. Harris)
2:04.0,Defensive rebound by D. Harris,,93-95,,
1:57.0,D. Harris misses 3-pt shot from 26 ft,,93-95,,
1:56.0,,,93-95,,Defensive rebound by Team
1:36.0,,,93-97,2,K. Irving makes 2-pt shot from 2 ft (assist by K. Love)
1:24.0,,,93-97,,Personal foul by I. Shumpert
1:17.0,Z. Pachulia misses 2-pt shot from 2 ft (block by K. Irving),,93-97,,
1:17.0,Offensive rebound by Team,,93-97,,
1:11.0,D. Nowitzki makes 2-pt shot from 14 ft,2,95-97,,
0:49.0,,,95-97,,K. Irving misses 3-pt shot from 23 ft
0:48.0,Defensive rebound by D. Harris,,95-97,,
0:36.0,Turnover by J. Barea (bad pass),,95-97,,
0:36.0,,,95-97,,Cleveland full timeout
0:36.0,,,95-97,,M. Dellavedova enters the game for I. Shumpert
0:17.0,,,95-97,,Turnover by K. Irving (bad pass)
0:17.0,,,95-97,,I. Shumpert enters the game for M. Dellavedova
