time,Indiana,pts.away,score,pts.home,Orlando
5:41.0,,,33-41,2,V. Oladipo makes 2-pt shot from 1 ft (assist by E. Payton)
5:16.0,M. Ellis makes 2-pt shot from 2 ft,2,35-41,,
5:09.0,I. Mahinmi enters the game for J. Hill,,35-41,,
5:09.0,G. Hill enters the game for S. Hill,,35-41,,
5:03.0,Personal foul by P. George (drawn by E. Fournier),,35-41,,
4:52.0,,,35-41,,N. Vucevic misses 2-pt shot from 1 ft (block by M. Turner)
4:49.0,Defensive rebound by I. Mahinmi,,35-41,,
4:41.0,P. George misses 3-pt shot from 24 ft,,35-41,,
4:40.0,,,35-41,,Defensive rebound by V. Oladipo
4:33.0,,,35-41,,Turnover by N. Vucevic (3 sec)
4:19.0,G. Hill misses 2-pt shot from 17 ft,,35-41,,
4:18.0,,,35-41,,Defensive rebound by A. Gordon
4:05.0,,,35-41,,N. Vucevic misses 2-pt shot from 6 ft
4:04.0,Defensive rebound by M. Turner,,35-41,,
3:40.0,M. Ellis makes 3-pt shot from 23 ft (assist by P. George),3,38-41,,
3:24.0,,,38-43,2,V. Oladipo makes 2-pt shot from 19 ft
3:16.0,,,38-43,,Personal foul by E. Payton (drawn by G. Hill)
3:04.0,I. Mahinmi makes 2-pt shot at rim (assist by G. Hill),2,40-43,,
2:44.0,,,40-43,,E. Fournier misses 2-pt shot from 2 ft (block by M. Ellis)
2:43.0,Defensive rebound by I. Mahinmi,,40-43,,
2:38.0,P. George makes 3-pt shot from 22 ft (assist by M. Ellis),3,43-43,,
2:38.0,,,43-43,,Orlando full timeout
2:38.0,Official timeout,,43-43,,
2:20.0,,,43-43,,A. Gordon misses 2-pt shot from 3 ft (block by M. Turner)
2:20.0,,,43-43,,Offensive rebound by Team
2:14.0,,,43-43,,V. Oladipo misses 2-pt shot from 11 ft
2:14.0,,,43-43,,Offensive rebound by Team
2:13.0,,,43-43,,Turnover by Team (shot clock)
2:00.0,Turnover by I. Mahinmi (bad pass),,43-43,,
2:00.0,,,43-43,,C. Watson enters the game for E. Fournier
1:49.0,,,43-45,2,N. Vucevic makes 2-pt shot from 14 ft (assist by A. Gordon)
1:30.0,,,43-45,,Personal foul by E. Payton (drawn by G. Hill)
1:30.0,G. Hill makes free throw 1 of 2,1,44-45,,
1:30.0,G. Hill makes free throw 2 of 2,1,45-45,,
1:14.0,,,45-45,,V. Oladipo misses 3-pt shot from 24 ft
1:13.0,Defensive rebound by I. Mahinmi,,45-45,,
1:01.0,P. George misses 3-pt shot from 24 ft,,45-45,,
1:00.0,,,45-45,,Defensive rebound by N. Vucevic
0:52.0,,,45-45,,A. Gordon misses 2-pt shot from 1 ft
0:51.0,,,45-45,,Offensive rebound by A. Gordon
0:51.0,,,45-45,,A. Gordon misses 2-pt shot from 1 ft
0:49.0,Defensive rebound by M. Turner,,45-45,,
0:46.0,P. George makes 2-pt shot at rim,2,47-45,,
0:36.0,C. Miles enters the game for P. George,,47-45,,
0:26.0,,,47-45,,Shooting foul by G. Hill (drawn by E. Payton)
0:26.0,,,47-46,1,E. Payton makes free throw 1 of 2
0:26.0,Indiana full timeout,,47-46,,
0:26.0,,,47-47,1,E. Payton makes free throw 2 of 2
0:05.0,Turnover by M. Ellis (bad pass),,47-47,,
0:00.0,,,47-47,,E. Payton misses 3-pt shot from 25 ft (block by G. Hill)
0:00.0,,,47-47,,Offensive rebound by E. Payton
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,47-47,,E. Payton misses 2-pt shot from 7 ft
11:44.0,,,47-47,,Offensive rebound by N. Vucevic
11:44.0,,,47-49,2,N. Vucevic makes 2-pt shot from 1 ft
11:36.0,G. Hill misses 2-pt shot from 2 ft,,47-49,,
11:35.0,,,47-49,,Defensive rebound by E. Payton
11:30.0,,,47-49,,Turnover by E. Payton (bad pass)
11:14.0,,,47-49,,Personal foul by E. Fournier (drawn by P. George)
11:08.0,P. George makes 2-pt shot from 1 ft (assist by I. Mahinmi),2,49-49,,
10:49.0,,,49-51,2,A. Gordon makes 2-pt shot from 5 ft
10:33.0,M. Turner makes 2-pt shot from 20 ft (assist by G. Hill),2,51-51,,
10:22.0,,,51-51,,Shooting foul by P. George (drawn by E. Fournier)
10:22.0,,,51-53,2,E. Fournier makes 2-pt shot from 1 ft (assist by V. Oladipo)
10:22.0,,,51-54,1,E. Fournier makes free throw 1 of 1
10:10.0,G. Hill misses 2-pt shot from 2 ft,,51-54,,
10:08.0,,,51-54,,Defensive rebound by N. Vucevic
10:00.0,,,51-54,,A. Gordon misses 3-pt shot from 24 ft
9:58.0,Defensive rebound by M. Ellis,,51-54,,
9:54.0,M. Ellis misses 2-pt shot from 2 ft,,51-54,,
9:53.0,,,51-54,,Defensive rebound by A. Gordon
9:47.0,,,51-54,,V. Oladipo misses 2-pt shot from 1 ft
9:45.0,Defensive rebound by G. Hill,,51-54,,
9:40.0,Shooting foul by N. Vucevic (drawn by G. Hill),,51-54,,
9:40.0,G. Hill misses free throw 1 of 2,,51-54,,
9:40.0,Offensive rebound by Team,,51-54,,
9:40.0,G. Hill makes free throw 2 of 2,1,52-54,,
9:28.0,Personal foul by M. Ellis (drawn by V. Oladipo),,52-54,,
9:21.0,,,52-54,,Turnover by V. Oladipo (bad pass; steal by I. Mahinmi)
9:17.0,G. Hill makes 2-pt shot from 2 ft (assist by P. George),2,54-54,,
9:08.0,,,54-56,2,E. Payton makes 2-pt shot at rim
9:01.0,,,54-56,,Personal foul by A. Gordon (drawn by M. Ellis)
8:52.0,M. Turner misses 2-pt shot from 19 ft,,54-56,,
8:50.0,,,54-56,,Defensive rebound by V. Oladipo
8:43.0,,,54-58,2,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton)
8:40.0,Turnover by I. Mahinmi (bad pass; steal by E. Payton),,54-58,,
8:37.0,,,54-58,,E. Payton misses 2-pt shot at rim
8:36.0,Defensive rebound by G. Hill,,54-58,,
8:29.0,M. Turner misses 2-pt shot from 2 ft,,54-58,,
8:26.0,,,54-58,,Defensive rebound by A. Gordon
8:17.0,,,54-58,,A. Gordon misses 3-pt shot from 23 ft
8:16.0,Defensive rebound by I. Mahinmi,,54-58,,
8:01.0,,,54-58,,Personal foul by E. Payton (drawn by P. George)
7:58.0,P. George makes 2-pt shot at rim,2,56-58,,
7:38.0,,,56-60,2,V. Oladipo makes 2-pt shot from 6 ft
7:24.0,P. George misses 2-pt shot from 17 ft,,56-60,,
7:23.0,,,56-60,,Defensive rebound by N. Vucevic
7:14.0,,,56-60,,Turnover by E. Payton (bad pass; steal by M. Ellis)
7:08.0,Shooting foul by V. Oladipo (drawn by P. George),,56-60,,
7:08.0,P. George makes free throw 1 of 2,1,57-60,,
7:08.0,P. George misses free throw 2 of 2,,57-60,,
7:07.0,,,57-60,,Defensive rebound by A. Gordon
6:53.0,,,57-60,,V. Oladipo misses 3-pt shot from 25 ft
6:52.0,Defensive rebound by M. Turner,,57-60,,
6:42.0,I. Mahinmi makes 2-pt shot from 1 ft,2,59-60,,
6:29.0,,,59-60,,Shooting foul by M. Turner (drawn by V. Oladipo)
6:29.0,,,59-60,,V. Oladipo misses free throw 1 of 2
6:29.0,,,59-60,,Offensive rebound by Team
6:29.0,,,59-60,,J. Smith enters the game for N. Vucevic
6:29.0,,,59-60,,B. Jennings enters the game for E. Payton
6:29.0,,,59-61,1,V. Oladipo makes free throw 2 of 2
6:06.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by P. George),2,61-61,,
5:53.0,,,61-64,3,B. Jennings makes 3-pt shot from 25 ft (assist by A. Gordon)
5:52.0,Indiana full timeout,,61-64,,
5:40.0,P. George misses 3-pt shot from 27 ft,,61-64,,
5:39.0,,,61-64,,Defensive rebound by J. Smith
5:23.0,,,61-67,3,E. Fournier makes 3-pt shot from 25 ft (assist by V. Oladipo)
5:10.0,,,61-67,,Personal foul by E. Fournier (drawn by P. George)
5:10.0,P. George makes free throw 1 of 2,1,62-67,,
5:10.0,,,62-67,,C. Watson enters the game for E. Fournier
5:10.0,P. George makes free throw 2 of 2,1,63-67,,
4:59.0,,,63-69,2,V. Oladipo makes 2-pt shot from 14 ft
4:43.0,M. Turner misses 2-pt shot from 2 ft (block by J. Smith),,63-69,,
4:41.0,,,63-69,,Defensive rebound by A. Gordon
4:34.0,,,63-69,,Turnover by B. Jennings (bad pass; steal by G. Hill)
4:19.0,M. Ellis misses 2-pt shot from 23 ft,,63-69,,
4:18.0,,,63-69,,Defensive rebound by Team
4:07.0,,,63-69,,A. Gordon misses 2-pt shot from 3 ft
4:05.0,Defensive rebound by M. Turner,,63-69,,
3:53.0,M. Ellis makes 3-pt shot from 22 ft (assist by G. Hill),3,66-69,,
3:39.0,,,66-71,2,J. Smith makes 2-pt shot from 18 ft (assist by B. Jennings)
3:12.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by M. Ellis),2,68-71,,
2:59.0,,,68-73,2,J. Smith makes 2-pt shot from 18 ft (assist by B. Jennings)
2:42.0,P. George makes 3-pt shot from 25 ft (assist by G. Hill),3,71-73,,
2:30.0,,,71-73,,Turnover by B. Jennings (bad pass; steal by M. Turner)
2:24.0,G. Hill misses 3-pt shot from 27 ft,,71-73,,
2:23.0,,,71-73,,Defensive rebound by J. Smith
2:18.0,,,71-73,,Shooting foul by I. Mahinmi (drawn by V. Oladipo)
2:18.0,,,71-73,,Orlando full timeout
2:18.0,,,71-73,,E. Ilyasova enters the game for A. Gordon
2:18.0,C. Miles enters the game for M. Turner,,71-73,,
2:18.0,L. Allen enters the game for M. Ellis,,71-73,,
2:18.0,,,71-73,,V. Oladipo misses free throw 1 of 2
2:18.0,,,71-73,,Offensive rebound by Team
2:18.0,,,71-74,1,V. Oladipo makes free throw 2 of 2
2:01.0,L. Allen makes 2-pt shot from 19 ft (assist by P. George),2,73-74,,
1:48.0,,,73-77,3,B. Jennings makes 3-pt shot from 23 ft (assist by J. Smith)
1:28.0,P. George makes 2-pt shot from 2 ft,2,75-77,,
1:28.0,Shooting foul by V. Oladipo (drawn by P. George),,75-77,,
1:28.0,J. Hill enters the game for I. Mahinmi,,75-77,,
1:28.0,P. George makes free throw 1 of 1,1,76-77,,
1:17.0,,,76-79,2,V. Oladipo makes 2-pt shot from 17 ft (assist by B. Jennings)
1:04.0,C. Miles makes 2-pt shot from 2 ft (assist by G. Hill),2,78-79,,
0:44.0,,,78-79,,J. Smith misses 2-pt shot from 18 ft
0:43.0,Defensive rebound by J. Hill,,78-79,,
0:35.0,Offensive charge foul by P. George,,78-79,,
0:35.0,Turnover by P. George (offensive foul),,78-79,,
0:35.0,S. Hill enters the game for P. George,,78-79,,
0:27.0,,,78-79,,J. Smith misses 2-pt shot from 18 ft
0:26.0,Defensive rebound by J. Hill,,78-79,,
0:04.0,J. Hill makes 2-pt shot from 14 ft (assist by G. Hill),2,80-79,,
0:00.0,,,80-79,,V. Oladipo misses 2-pt shot from 11 ft
0:00.0,,,80-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,C. Miles makes 3-pt shot from 23 ft (assist by J. Hill),3,83-79,,
11:40.0,Personal take foul by M. Ellis (drawn by B. Jennings),,83-79,,
11:40.0,J. Young enters the game for C. Miles,,83-79,,
11:20.0,,,83-81,2,N. Vucevic makes 2-pt shot from 11 ft (assist by E. Fournier)
11:18.0,Turnover by J. Young (bad pass; steal by C. Watson),,83-81,,
11:13.0,,,83-83,2,E. Ilyasova makes 2-pt shot at rim (assist by C. Watson)
10:53.0,,,83-83,,Personal foul by E. Ilyasova (drawn by M. Ellis)
10:42.0,J. Hill misses 2-pt shot from 20 ft,,83-83,,
10:42.0,Offensive rebound by Team,,83-83,,
10:42.0,,,83-83,,Personal foul by E. Ilyasova (drawn by L. Allen)
10:35.0,M. Ellis makes 3-pt shot from 24 ft,3,86-83,,
10:22.0,,,86-83,,Shooting foul by J. Young (drawn by B. Jennings)
10:22.0,,,86-84,1,B. Jennings makes free throw 1 of 3
10:22.0,,,86-85,1,B. Jennings makes free throw 2 of 3
10:22.0,,,86-85,,B. Jennings misses free throw 3 of 3
10:21.0,Defensive rebound by J. Hill,,86-85,,
10:14.0,M. Ellis makes 2-pt shot from 1 ft,2,88-85,,
10:07.0,Personal foul by J. Young,,88-85,,
10:04.0,Personal foul by L. Allen (drawn by B. Jennings),,88-85,,
9:58.0,,,88-87,2,E. Fournier makes 2-pt shot at rim (assist by B. Jennings)
9:32.0,J. Hill makes 2-pt shot from 1 ft (assist by S. Hill),2,90-87,,
9:20.0,,,90-87,,B. Jennings misses 3-pt shot from 26 ft
9:19.0,,,90-87,,Offensive rebound by B. Jennings
9:15.0,,,90-87,,Turnover by C. Watson (step out of bounds)
9:15.0,P. George enters the game for J. Young,,90-87,,
9:04.0,Turnover by S. Hill (lost ball; steal by E. Ilyasova),,90-87,,
9:04.0,Personal foul by S. Hill (drawn by C. Watson),,90-87,,
9:04.0,,,90-88,1,C. Watson makes free throw 1 of 2
9:04.0,,,90-89,1,C. Watson makes free throw 2 of 2
8:54.0,L. Allen misses 2-pt shot from 16 ft,,90-89,,
8:52.0,Offensive rebound by S. Hill,,90-89,,
8:48.0,J. Hill misses 2-pt shot from 1 ft,,90-89,,
8:47.0,,,90-89,,Defensive rebound by N. Vucevic
8:41.0,,,90-89,,C. Watson misses 3-pt shot from 25 ft
8:40.0,,,90-89,,Offensive rebound by B. Jennings
8:38.0,,,90-89,,B. Jennings misses 2-pt shot at rim
8:37.0,,,90-89,,Offensive rebound by B. Jennings
8:37.0,,,90-91,2,B. Jennings makes 2-pt shot at rim
8:28.0,,,90-91,,Personal foul by E. Ilyasova (drawn by L. Allen)
8:28.0,Official timeout,,90-91,,
8:21.0,P. George misses 2-pt shot from 18 ft,,90-91,,
8:19.0,,,90-91,,Defensive rebound by N. Vucevic
8:09.0,,,90-91,,Shooting foul by J. Hill (drawn by N. Vucevic)
8:09.0,,,90-91,,N. Vucevic misses free throw 1 of 2
8:09.0,,,90-91,,Offensive rebound by Team
8:09.0,,,90-92,1,N. Vucevic makes free throw 2 of 2
7:51.0,M. Ellis makes 3-pt shot from 26 ft (assist by L. Allen),3,93-92,,
7:27.0,,,93-92,,Turnover by B. Jennings (bad pass)
7:27.0,,,93-92,,V. Oladipo enters the game for C. Watson
7:27.0,G. Hill enters the game for S. Hill,,93-92,,
7:14.0,,,93-92,,Personal foul by E. Fournier (drawn by P. George)
7:14.0,M. Turner enters the game for L. Allen,,93-92,,
6:59.0,J. Hill misses 2-pt shot from 9 ft,,93-92,,
6:58.0,,,93-92,,Defensive rebound by B. Jennings
6:51.0,,,93-92,,B. Jennings misses 2-pt shot from 17 ft
6:50.0,Defensive rebound by P. George,,93-92,,
6:38.0,P. George makes 2-pt shot from 8 ft,2,95-92,,
6:20.0,,,95-92,,Shooting foul by J. Hill (drawn by E. Fournier)
6:20.0,,,95-93,1,E. Fournier makes free throw 1 of 2
6:20.0,I. Mahinmi enters the game for J. Hill,,95-93,,
6:20.0,,,95-93,,E. Fournier misses free throw 2 of 2
6:19.0,Defensive rebound by P. George,,95-93,,
5:57.0,M. Ellis misses 2-pt shot from 16 ft,,95-93,,
5:56.0,,,95-93,,Defensive rebound by E. Fournier
5:50.0,,,95-93,,Turnover by E. Ilyasova (traveling)
5:50.0,,,95-93,,Orlando full timeout
5:50.0,,,95-93,,A. Gordon enters the game for E. Ilyasova
5:32.0,,,95-93,,Personal foul by N. Vucevic (drawn by G. Hill)
5:32.0,G. Hill misses free throw 1 of 2,,95-93,,
5:32.0,Offensive rebound by Team,,95-93,,
5:32.0,G. Hill makes free throw 2 of 2,1,96-93,,
