time,Chicago,pts.away,score,pts.home,Houston
1:21.0,N. Mirotic makes free throw 1 of 3,1,20-21,,
1:21.0,N. Mirotic makes free throw 2 of 3,1,21-21,,
1:21.0,C. Felicio enters the game for P. Gasol,,21-21,,
1:21.0,E. Moore enters the game for J. Butler,,21-21,,
1:21.0,,,21-21,,C. Brewer enters the game for T. Ariza
1:21.0,,,21-21,,P. Beverley enters the game for J. Harden
1:21.0,N. Mirotic misses free throw 3 of 3,,21-21,,
1:21.0,,,21-21,,Defensive rebound by M. Beasley
1:06.0,,,21-24,3,P. Beverley makes 3-pt shot from 23 ft (assist by M. Beasley)
0:49.0,D. McDermott misses 3-pt shot from 26 ft,,21-24,,
0:49.0,,,21-24,,Defensive rebound by C. Capela
0:38.0,,,21-24,,M. Beasley misses 2-pt shot from 15 ft
0:37.0,Defensive rebound by C. Felicio,,21-24,,
0:20.0,Shooting foul by M. Beasley (drawn by N. Mirotic),,21-24,,
0:20.0,N. Mirotic makes free throw 1 of 3,1,22-24,,
0:20.0,N. Mirotic makes free throw 2 of 3,1,23-24,,
0:20.0,,,23-24,,D. Howard enters the game for C. Capela
0:20.0,,,23-24,,J. Harden enters the game for M. Beasley
0:20.0,N. Mirotic makes free throw 3 of 3,1,24-24,,
0:06.0,Personal foul by E. Moore,,24-24,,
0:01.0,,,24-24,,J. Harden misses 2-pt shot from 4 ft
0:00.0,Defensive rebound by C. Felicio,,24-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,24-24,,Shooting foul by D. McDermott (drawn by M. Beasley)
11:39.0,,,24-25,1,M. Beasley makes free throw 1 of 2
11:39.0,,,24-26,1,M. Beasley makes free throw 2 of 2
11:15.0,C. Felicio misses 2-pt shot from 20 ft,,24-26,,
11:15.0,,,24-26,,Defensive rebound by C. Brewer
11:00.0,,,24-28,2,M. Beasley makes 2-pt shot from 3 ft (assist by P. Beverley)
10:46.0,A. Brooks makes 3-pt shot from 26 ft (assist by N. Mirotic),3,27-28,,
10:31.0,Personal foul by E. Moore,,27-28,,
10:17.0,,,27-28,,C. Brewer misses 2-pt shot from 21 ft
10:16.0,,,27-28,,Offensive rebound by P. Beverley
10:14.0,,,27-30,2,P. Beverley makes 2-pt shot at rim
9:59.0,D. McDermott misses 2-pt shot from 10 ft,,27-30,,
9:58.0,,,27-30,,Defensive rebound by D. Howard
9:52.0,,,27-30,,C. Brewer misses 2-pt shot from 2 ft
9:51.0,Defensive rebound by C. Felicio,,27-30,,
9:45.0,D. McDermott makes 2-pt shot at rim (assist by C. Felicio),2,29-30,,
9:27.0,,,29-32,2,M. Beasley makes 2-pt shot from 1 ft (assist by P. Beverley)
9:10.0,C. Felicio misses 2-pt shot from 4 ft,,29-32,,
9:09.0,,,29-32,,Defensive rebound by P. Beverley
9:04.0,,,29-34,2,P. Beverley makes 2-pt shot from 2 ft
9:04.0,Shooting block foul by A. Brooks (drawn by P. Beverley),,29-34,,
9:04.0,,,29-35,1,P. Beverley makes free throw 1 of 1
8:54.0,A. Brooks misses 2-pt shot from 19 ft,,29-35,,
8:51.0,,,29-35,,Defensive rebound by M. Beasley
8:44.0,,,29-37,2,M. Beasley makes 2-pt shot from 4 ft
8:43.0,Chicago full timeout,,29-37,,
8:43.0,J. Butler enters the game for A. Brooks,,29-37,,
8:35.0,D. McDermott makes 2-pt shot from 2 ft (assist by C. Felicio),2,31-37,,
8:19.0,,,31-37,,C. Brewer misses 2-pt shot from 1 ft
8:18.0,,,31-37,,Offensive rebound by D. Howard
8:13.0,,,31-39,2,D. Howard makes 2-pt shot from 6 ft
8:01.0,N. Mirotic makes 3-pt shot from 25 ft (assist by C. Felicio),3,34-39,,
7:45.0,,,34-39,,M. Beasley misses 2-pt shot from 4 ft
7:44.0,Defensive rebound by J. Butler,,34-39,,
7:28.0,E. Moore misses 2-pt shot from 11 ft (block by D. Howard),,34-39,,
7:27.0,,,34-39,,Defensive rebound by M. Beasley
7:22.0,Personal foul by C. Felicio,,34-39,,
7:22.0,,,34-39,,T. Ariza enters the game for D. Howard
7:22.0,,,34-39,,J. Harden enters the game for M. Beasley
7:22.0,,,34-39,,C. Capela enters the game for J. Terry
7:22.0,D. Rose enters the game for C. Felicio,,34-39,,
7:22.0,P. Gasol enters the game for E. Moore,,34-39,,
7:09.0,,,34-39,,C. Brewer misses 3-pt shot from 23 ft
7:09.0,Defensive rebound by P. Gasol,,34-39,,
6:52.0,N. Mirotic misses 2-pt shot from 7 ft,,34-39,,
6:50.0,,,34-39,,Defensive rebound by C. Capela
6:46.0,,,34-39,,P. Beverley misses 3-pt shot from 22 ft
6:44.0,Defensive rebound by P. Gasol,,34-39,,
6:34.0,Turnover by D. Rose (bad pass),,34-39,,
6:13.0,,,34-39,,T. Ariza misses 3-pt shot from 22 ft
6:12.0,,,34-39,,Offensive rebound by C. Capela
6:11.0,,,34-39,,C. Capela misses 2-pt shot from 2 ft
6:10.0,,,34-39,,Offensive rebound by Team
6:10.0,,,34-39,,Turnover by Team (shot clock)
5:53.0,J. Butler makes 2-pt shot from 13 ft,2,36-39,,
5:26.0,,,36-39,,T. Ariza misses 2-pt shot from 21 ft
5:24.0,,,36-39,,Offensive rebound by C. Brewer
5:22.0,,,36-39,,C. Brewer misses 2-pt shot from 2 ft
5:21.0,Defensive rebound by P. Gasol,,36-39,,
5:05.0,N. Mirotic makes 3-pt shot from 25 ft (assist by J. Butler),3,39-39,,
4:41.0,,,39-41,2,J. Harden makes 2-pt shot from 5 ft (assist by P. Beverley)
4:20.0,N. Mirotic makes 3-pt shot from 23 ft (assist by J. Butler),3,42-41,,
4:05.0,,,42-43,2,P. Beverley makes 2-pt shot from 5 ft
3:56.0,Chicago full timeout,,42-43,,
3:56.0,E. Moore enters the game for D. Rose,,42-43,,
3:53.0,P. Gasol misses 3-pt shot from 23 ft,,42-43,,
3:52.0,,,42-43,,Defensive rebound by T. Ariza
3:42.0,,,42-43,,T. Ariza misses 3-pt shot from 24 ft
3:41.0,Defensive rebound by N. Mirotic,,42-43,,
3:34.0,,,42-43,,Personal foul by T. Ariza
3:34.0,,,42-43,,D. Howard enters the game for C. Capela
3:24.0,N. Mirotic makes 3-pt shot from 23 ft (assist by E. Moore),3,45-43,,
3:05.0,Personal foul by P. Gasol,,45-43,,
3:05.0,,,45-43,,D. Howard misses free throw 1 of 2
3:05.0,,,45-43,,Offensive rebound by Team
3:05.0,,,45-43,,M. Beasley enters the game for C. Brewer
3:05.0,,,45-44,1,D. Howard makes free throw 2 of 2
2:48.0,E. Moore makes 3-pt shot from 23 ft,3,48-44,,
2:36.0,,,48-44,,Turnover by M. Beasley (lost ball; steal by P. Gasol)
2:32.0,,,48-44,,Personal foul by P. Beverley
2:32.0,,,48-44,,Houston full timeout
2:29.0,N. Mirotic misses 3-pt shot from 25 ft,,48-44,,
2:29.0,,,48-44,,Defensive rebound by P. Beverley
2:13.0,,,48-46,2,J. Harden makes 2-pt shot from 9 ft
2:02.0,P. Gasol misses 2-pt shot from 10 ft,,48-46,,
2:00.0,,,48-46,,Defensive rebound by M. Beasley
1:48.0,,,48-46,,Shooting foul by E. Moore (drawn by J. Harden)
1:48.0,,,48-47,1,J. Harden makes free throw 1 of 2
1:48.0,A. Brooks enters the game for E. Moore,,48-47,,
1:48.0,,,48-48,1,J. Harden makes free throw 2 of 2
1:33.0,A. Brooks misses 2-pt shot from 1 ft (block by D. Howard),,48-48,,
1:33.0,Offensive rebound by Team,,48-48,,
1:33.0,C. Felicio enters the game for P. Gasol,,48-48,,
1:30.0,J. Butler misses 2-pt shot from 1 ft,,48-48,,
1:30.0,,,48-48,,Defensive rebound by D. Howard
1:28.0,Shooting block foul by D. McDermott (drawn by J. Harden),,48-48,,
1:28.0,,,48-49,1,J. Harden makes free throw 1 of 2
1:28.0,,,48-50,1,J. Harden makes free throw 2 of 2
1:17.0,J. Butler makes 2-pt shot at rim (assist by N. Mirotic),2,50-50,,
1:03.0,,,50-52,2,J. Harden makes 2-pt shot from 1 ft
0:45.0,D. McDermott misses 2-pt shot from 3 ft,,50-52,,
0:43.0,Offensive rebound by J. Butler,,50-52,,
0:43.0,D. McDermott misses 2-pt shot from 1 ft,,50-52,,
0:43.0,Offensive rebound by Team,,50-52,,
0:37.0,J. Butler misses 2-pt shot from 18 ft,,50-52,,
0:36.0,,,50-52,,Defensive rebound by Team
0:27.0,,,50-52,,J. Harden misses 3-pt shot from 24 ft
0:26.0,Defensive rebound by J. Butler,,50-52,,
0:17.0,N. Mirotic makes 2-pt shot from 20 ft,2,52-52,,
0:00.0,,,52-52,,J. Harden misses 3-pt shot from 27 ft
0:00.0,,,52-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,52-52,,D. Motiejunas misses 2-pt shot from 8 ft
11:39.0,Defensive rebound by B. Portis,,52-52,,
11:26.0,J. Butler misses 2-pt shot from 14 ft (block by J. Harden),,52-52,,
11:24.0,,,52-52,,Defensive rebound by D. Motiejunas
11:12.0,,,52-52,,J. Harden misses 2-pt shot from 18 ft
11:12.0,Defensive rebound by P. Gasol,,52-52,,
10:53.0,B. Portis misses 2-pt shot from 18 ft,,52-52,,
10:52.0,,,52-52,,Defensive rebound by P. Beverley
10:48.0,Personal foul by M. Dunleavy,,52-52,,
10:31.0,,,52-52,,J. Harden misses 3-pt shot from 25 ft
10:30.0,Defensive rebound by Team,,52-52,,
10:11.0,P. Gasol misses 2-pt shot from 17 ft,,52-52,,
10:11.0,Offensive rebound by Team,,52-52,,
10:11.0,,,52-52,,Loose ball foul by J. Harden
10:00.0,Turnover by P. Gasol (bad pass),,52-52,,
9:46.0,,,52-52,,P. Beverley misses 2-pt shot from 18 ft
9:43.0,Defensive rebound by J. Butler,,52-52,,
9:43.0,,,52-52,,Personal foul by P. Beverley
9:39.0,,,52-52,,Personal block foul by D. Motiejunas
9:24.0,P. Gasol misses 2-pt shot from 20 ft,,52-52,,
9:23.0,,,52-52,,Defensive rebound by T. Ariza
9:14.0,,,52-55,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
8:50.0,A. Brooks misses 2-pt shot from 3 ft,,52-55,,
8:49.0,,,52-55,,Defensive rebound by D. Howard
8:38.0,,,52-58,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
8:18.0,Turnover by J. Butler (lost ball; steal by T. Ariza),,52-58,,
8:10.0,,,52-58,,Shooting foul by P. Gasol (drawn by J. Harden)
8:10.0,,,52-60,2,J. Harden makes 2-pt shot at rim (assist by P. Beverley)
8:10.0,Chicago full timeout,,52-60,,
8:10.0,D. McDermott enters the game for M. Dunleavy,,52-60,,
8:10.0,,,52-61,1,J. Harden makes free throw 1 of 1
7:46.0,J. Butler makes 2-pt shot from 17 ft,2,54-61,,
7:29.0,,,54-61,,D. Motiejunas misses 2-pt shot from 10 ft
7:28.0,,,54-61,,Offensive rebound by D. Howard
7:17.0,,,54-64,3,T. Ariza makes 3-pt shot from 23 ft (assist by P. Beverley)
7:08.0,Offensive charge foul by J. Butler,,54-64,,
7:08.0,Turnover by J. Butler (offensive foul),,54-64,,
7:08.0,N. Mirotic enters the game for B. Portis,,54-64,,
6:56.0,,,54-66,2,P. Beverley makes 2-pt shot from 7 ft (assist by J. Harden)
6:37.0,J. Butler makes 3-pt shot from 24 ft (assist by A. Brooks),3,57-66,,
6:26.0,,,57-68,2,J. Harden makes 2-pt shot from 19 ft
6:08.0,D. McDermott misses 3-pt shot from 23 ft,,57-68,,
6:07.0,,,57-68,,Defensive rebound by D. Howard
6:00.0,,,57-68,,Turnover by J. Harden (lost ball; steal by A. Brooks)
5:55.0,D. McDermott misses 2-pt shot from 4 ft,,57-68,,
5:54.0,,,57-68,,Defensive rebound by D. Howard
5:31.0,,,57-71,3,P. Beverley makes 3-pt shot from 25 ft
5:08.0,P. Gasol makes 2-pt shot from 10 ft (assist by J. Butler),2,59-71,,
4:50.0,,,59-73,2,P. Beverley makes 2-pt shot from 8 ft (assist by J. Harden)
4:44.0,Chicago full timeout,,59-73,,
4:44.0,E. Moore enters the game for A. Brooks,,59-73,,
4:44.0,,,59-73,,M. Beasley enters the game for D. Motiejunas
4:44.0,,,59-73,,C. Capela enters the game for D. Howard
4:38.0,Turnover by P. Gasol (lost ball; steal by T. Ariza),,59-73,,
4:31.0,,,59-73,,C. Capela misses 2-pt shot from 5 ft (block by P. Gasol)
4:29.0,Defensive rebound by J. Butler,,59-73,,
4:22.0,,,59-73,,Shooting block foul by C. Capela (drawn by J. Butler)
4:22.0,J. Butler makes free throw 1 of 2,1,60-73,,
4:22.0,,,60-73,,J. Terry enters the game for P. Beverley
4:22.0,J. Butler makes free throw 2 of 2,1,61-73,,
4:08.0,Personal foul by N. Mirotic,,61-73,,
3:59.0,,,61-73,,J. Harden misses 2-pt shot from 16 ft
3:59.0,Defensive rebound by Team,,61-73,,
3:41.0,Turnover by J. Butler (bad pass),,61-73,,
3:29.0,,,61-73,,Turnover by M. Beasley (lost ball; steal by J. Butler)
3:23.0,J. Butler makes 2-pt shot at rim (assist by D. McDermott),2,63-73,,
2:57.0,,,63-76,3,J. Terry makes 3-pt shot from 25 ft (assist by J. Harden)
2:40.0,P. Gasol makes 2-pt shot from 6 ft,2,65-76,,
2:27.0,,,65-76,,M. Beasley misses 2-pt shot from 22 ft
2:27.0,Defensive rebound by N. Mirotic,,65-76,,
2:09.0,Turnover by P. Gasol (lost ball; steal by C. Capela),,65-76,,
2:01.0,,,65-78,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Terry)
1:51.0,Shooting foul by C. Capela (drawn by J. Butler),,65-78,,
1:51.0,,,65-78,,Houston full timeout
1:51.0,C. Felicio enters the game for P. Gasol,,65-78,,
1:51.0,,,65-78,,C. Brewer enters the game for T. Ariza
1:51.0,J. Butler makes free throw 1 of 2,1,66-78,,
1:51.0,J. Butler makes free throw 2 of 2,1,67-78,,
1:26.0,,,67-78,,C. Brewer misses 2-pt shot from 20 ft
1:25.0,,,67-78,,Offensive rebound by M. Beasley
1:21.0,,,67-80,2,C. Capela makes 2-pt shot at rim (assist by M. Beasley)
1:00.0,J. Butler makes 2-pt shot from 14 ft,2,69-80,,
0:48.0,,,69-80,,J. Harden misses 2-pt shot from 3 ft
0:48.0,Defensive rebound by J. Butler,,69-80,,
0:38.0,D. McDermott makes 2-pt shot from 6 ft (assist by E. Moore),2,71-80,,
0:14.0,,,71-80,,J. Terry misses 3-pt shot from 23 ft
0:14.0,,,71-80,,Offensive rebound by C. Capela
0:11.0,,,71-80,,C. Capela misses 2-pt shot from 5 ft
0:10.0,,,71-80,,Offensive rebound by M. Beasley
0:10.0,,,71-80,,M. Beasley misses 2-pt shot at rim
0:10.0,Defensive rebound by D. McDermott,,71-80,,
0:01.0,E. Moore misses 2-pt shot from 17 ft (block by C. Brewer),,71-80,,
0:01.0,,,71-80,,Defensive rebound by J. Harden
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,71-80,,Personal foul by C. Capela
11:29.0,C. Felicio makes 2-pt shot from 3 ft (assist by E. Moore),2,73-80,,
11:09.0,,,73-80,,Shooting foul by N. Mirotic (drawn by M. Beasley)
11:09.0,,,73-81,1,M. Beasley makes free throw 1 of 2
11:09.0,,,73-82,1,M. Beasley makes free throw 2 of 2
10:50.0,Shooting foul by J. Terry (drawn by J. Holiday),,73-82,,
10:50.0,J. Holiday makes free throw 1 of 2,1,74-82,,
10:50.0,J. Holiday makes free throw 2 of 2,1,75-82,,
10:35.0,,,75-82,,M. Beasley misses 2-pt shot at rim
10:34.0,,,75-82,,Offensive rebound by M. Beasley
10:34.0,,,75-84,2,M. Beasley makes 2-pt shot at rim
10:11.0,J. Holiday makes 3-pt shot from 25 ft (assist by D. McDermott),3,78-84,,
9:52.0,,,78-86,2,M. Beasley makes 2-pt shot from 16 ft
9:44.0,,,78-86,,Personal foul by M. Beasley
9:40.0,Turnover by N. Mirotic (bad pass),,78-86,,
9:29.0,,,78-86,,Turnover by J. Harden (bad pass)
9:15.0,C. Felicio makes 2-pt shot from 16 ft (assist by J. Holiday),2,80-86,,
9:00.0,,,80-86,,Turnover by J. Terry (lost ball; steal by J. Holiday)
8:57.0,Shooting foul by J. Terry (drawn by C. Felicio),,80-86,,
8:57.0,Chicago full timeout,,80-86,,
8:57.0,C. Felicio makes free throw 1 of 2,1,81-86,,
8:57.0,C. Felicio misses free throw 2 of 2,,81-86,,
8:57.0,,,81-86,,Defensive rebound by M. Beasley
8:38.0,,,81-86,,J. Terry misses 3-pt shot from 24 ft
8:38.0,Defensive rebound by D. McDermott,,81-86,,
8:15.0,E. Moore misses 2-pt shot from 8 ft,,81-86,,
8:15.0,Offensive rebound by E. Moore,,81-86,,
8:12.0,E. Moore makes 2-pt shot from 1 ft,2,83-86,,
7:52.0,,,83-86,,C. Brewer misses 2-pt shot from 4 ft
7:51.0,Defensive rebound by C. Felicio,,83-86,,
7:40.0,N. Mirotic makes 2-pt shot from 18 ft (assist by E. Moore),2,85-86,,
7:39.0,,,85-86,,Houston full timeout
7:39.0,,,85-86,,D. Howard enters the game for C. Capela
7:39.0,,,85-86,,P. Beverley enters the game for J. Terry
7:39.0,,,85-86,,T. Ariza enters the game for C. Brewer
7:39.0,J. Butler enters the game for E. Moore,,85-86,,
7:19.0,,,85-86,,Offensive foul by D. Howard
7:19.0,,,85-86,,Turnover by D. Howard (offensive foul)
7:05.0,N. Mirotic misses 3-pt shot from 27 ft,,85-86,,
7:05.0,,,85-86,,Defensive rebound by Team
6:53.0,,,85-86,,P. Beverley misses 2-pt shot from 3 ft (block by C. Felicio)
6:52.0,Defensive rebound by J. Holiday,,85-86,,
6:46.0,D. McDermott misses 3-pt shot from 24 ft,,85-86,,
6:44.0,Offensive rebound by D. McDermott,,85-86,,
6:41.0,D. McDermott misses 2-pt shot from 1 ft,,85-86,,
6:40.0,Offensive rebound by D. McDermott,,85-86,,
6:40.0,D. McDermott makes 2-pt shot from 1 ft,2,87-86,,
6:20.0,,,87-86,,Shooting foul by N. Mirotic (drawn by J. Harden)
6:20.0,,,87-87,1,J. Harden makes free throw 1 of 2
6:20.0,P. Gasol enters the game for C. Felicio,,87-87,,
6:20.0,,,87-87,,J. Harden misses free throw 2 of 2
6:20.0,Defensive rebound by N. Mirotic,,87-87,,
6:06.0,Turnover by P. Gasol (bad pass),,87-87,,
5:56.0,,,87-87,,M. Beasley misses 2-pt shot from 13 ft
5:55.0,Defensive rebound by J. Holiday,,87-87,,
5:41.0,J. Holiday makes 2-pt shot from 2 ft (assist by J. Butler),2,89-87,,
5:26.0,,,89-87,,Turnover by D. Howard (3 sec)
5:00.0,N. Mirotic misses 3-pt shot from 31 ft,,89-87,,
5:00.0,Offensive rebound by Team,,89-87,,
5:00.0,Turnover by Team (shot clock),,89-87,,
5:00.0,E. Moore enters the game for D. McDermott,,89-87,,
4:48.0,,,89-87,,J. Harden misses 2-pt shot from 14 ft
4:46.0,,,89-87,,Offensive rebound by M. Beasley
4:35.0,,,89-89,2,M. Beasley makes 2-pt shot from 1 ft
4:16.0,Offensive foul by P. Gasol,,89-89,,
4:16.0,Turnover by P. Gasol (offensive foul),,89-89,,
3:53.0,,,89-89,,M. Beasley misses 2-pt shot from 6 ft
3:50.0,,,89-89,,Offensive rebound by M. Beasley
3:50.0,,,89-89,,M. Beasley misses 2-pt shot from 2 ft
3:48.0,,,89-89,,Offensive rebound by D. Howard
3:48.0,,,89-89,,D. Howard misses 2-pt shot at rim
3:46.0,Defensive rebound by J. Holiday,,89-89,,
3:23.0,E. Moore misses 2-pt shot from 16 ft (block by J. Harden),,89-89,,
3:22.0,,,89-89,,Defensive rebound by J. Harden
3:18.0,,,89-91,2,M. Beasley makes 2-pt shot from 1 ft (assist by J. Harden)
3:18.0,Chicago full timeout,,89-91,,
3:18.0,D. McDermott enters the game for J. Holiday,,89-91,,
2:56.0,N. Mirotic makes 3-pt shot from 22 ft (assist by J. Butler),3,92-91,,
2:29.0,,,92-91,,J. Harden misses 2-pt shot from 16 ft
2:27.0,Defensive rebound by P. Gasol,,92-91,,
2:08.0,J. Butler makes 2-pt shot at rim (assist by P. Gasol),2,94-91,,
2:08.0,Technical foul by J. Butler,,94-91,,
2:08.0,,,94-91,,J. Harden misses technical free throw
2:08.0,,,94-91,,Offensive rebound by Team
1:48.0,,,94-91,,T. Ariza misses 3-pt shot from 25 ft
1:47.0,Defensive rebound by E. Moore,,94-91,,
1:30.0,E. Moore makes 3-pt shot from 25 ft (assist by J. Butler),3,97-91,,
1:30.0,,,97-91,,Houston full timeout
1:30.0,,,97-91,,J. Terry enters the game for D. Howard
1:30.0,J. Holiday enters the game for P. Gasol,,97-91,,
1:18.0,,,97-91,,M. Beasley misses 2-pt shot from 5 ft (block by J. Butler)
1:17.0,Defensive rebound by D. McDermott,,97-91,,
0:55.0,Turnover by Team (shot clock),,97-91,,
0:47.0,,,97-91,,J. Terry misses 3-pt shot from 25 ft
0:46.0,Defensive rebound by D. McDermott,,97-91,,
0:45.0,,,97-91,,Personal foul by P. Beverley
0:45.0,D. McDermott makes free throw 1 of 2,1,98-91,,
0:45.0,D. McDermott makes free throw 2 of 2,1,99-91,,
0:45.0,,,99-91,,Houston full timeout
0:40.0,,,99-91,,P. Beverley misses 2-pt shot from 7 ft
0:39.0,Defensive rebound by D. McDermott,,99-91,,
0:37.0,Offensive foul by D. McDermott,,99-91,,
0:37.0,Turnover by D. McDermott (offensive foul),,99-91,,
0:36.0,Personal foul by E. Moore,,99-91,,
0:36.0,,,99-91,,Houston full timeout
0:31.0,,,99-91,,Shooting foul by N. Mirotic (drawn by T. Ariza)
