time,Oklahoma City,pts.away,score,pts.home,Detroit
3:22.0,,,37-42,,Offensive rebound by K. Caldwell-Pope
3:05.0,,,37-44,2,R. Jackson makes 2-pt shot from 13 ft (assist by T. Harris)
2:53.0,R. Westbrook makes 2-pt shot at rim,2,39-44,,
2:37.0,,,39-44,,R. Jackson misses 2-pt shot from 10 ft
2:36.0,Defensive rebound by S. Adams,,39-44,,
2:33.0,Shooting foul by R. Jackson (drawn by R. Westbrook),,39-44,,
2:33.0,R. Westbrook makes 2-pt shot from 5 ft,2,41-44,,
2:33.0,,,41-44,,S. Blake enters the game for R. Jackson
2:33.0,R. Westbrook misses free throw 1 of 1,,41-44,,
2:31.0,,,41-44,,Defensive rebound by A. Drummond
2:12.0,,,41-44,,S. Johnson enters the game for M. Morris
2:10.0,,,41-44,,Shooting foul by A. Roberson (drawn by T. Harris)
2:10.0,,,41-45,1,T. Harris makes free throw 1 of 2
2:10.0,,,41-46,1,T. Harris makes free throw 2 of 2
1:59.0,R. Westbrook makes 2-pt shot at rim,2,43-46,,
1:46.0,,,43-46,,Turnover by K. Caldwell-Pope (bad pass)
1:39.0,Turnover by A. Roberson (step out of bounds),,43-46,,
1:24.0,,,43-46,,K. Caldwell-Pope misses 2-pt shot from 4 ft
1:24.0,Defensive rebound by Team,,43-46,,
1:11.0,,,43-46,,Violation by A. Drummond (def goaltending)
1:11.0,R. Westbrook makes 2-pt shot at rim,2,45-46,,
0:50.0,,,45-46,,S. Johnson misses 2-pt shot from 1 ft
0:49.0,Defensive rebound by S. Adams,,45-46,,
0:42.0,J. Huestis makes 3-pt shot from 24 ft (assist by R. Westbrook),3,48-46,,
0:29.0,,,48-46,,Turnover by S. Johnson (bad pass)
0:06.0,R. Westbrook misses 3-pt shot from 27 ft,,48-46,,
0:04.0,,,48-46,,Defensive rebound by S. Blake
0:01.0,,,48-46,,S. Blake misses 3-pt shot from 26 ft
0:00.0,,,48-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
