time,Denver,pts.away,score,pts.home,Philadelphia
6:02.0,,,44-45,2,N. Noel makes 2-pt shot from 10 ft
5:44.0,J. Nelson misses 3-pt shot from 25 ft,,44-45,,
5:42.0,Offensive rebound by D. Arthur,,44-45,,
5:38.0,R. Foye makes 2-pt shot from 2 ft (assist by D. Arthur),2,46-45,,
5:38.0,Shooting foul by N. Stauskas (drawn by R. Foye),,46-45,,
5:38.0,R. Foye makes free throw 1 of 1,1,47-45,,
5:25.0,,,47-45,,Shooting foul by J. Nelson (drawn by N. Stauskas)
5:25.0,,,47-45,,N. Stauskas misses free throw 1 of 2
5:25.0,,,47-45,,Offensive rebound by Team
5:25.0,,,47-46,1,N. Stauskas makes free throw 2 of 2
5:20.0,Turnover by E. Mudiay (lost ball),,47-46,,
5:09.0,,,47-46,,T. Wroten misses 2-pt shot from 2 ft
5:07.0,Defensive rebound by D. Gallinari,,47-46,,
4:59.0,R. Foye misses 3-pt shot from 25 ft,,47-46,,
4:58.0,,,47-46,,Defensive rebound by N. Noel
4:45.0,,,47-46,,R. Covington misses 3-pt shot from 24 ft
4:43.0,,,47-46,,Offensive rebound by N. Noel
4:37.0,,,47-48,2,N. Stauskas makes 2-pt shot from 17 ft
4:25.0,E. Mudiay misses 2-pt shot from 17 ft,,47-48,,
4:23.0,,,47-48,,Defensive rebound by R. Covington
4:19.0,,,47-48,,Shooting foul by D. Gallinari (drawn by N. Noel)
4:19.0,Denver full timeout,,47-48,,
4:19.0,,,47-49,1,N. Noel makes free throw 1 of 2
4:19.0,,,47-50,1,N. Noel makes free throw 2 of 2
4:04.0,Turnover by E. Mudiay (traveling),,47-50,,
4:04.0,W. Barton enters the game for J. Nelson,,47-50,,
3:51.0,,,47-50,,Turnover by N. Stauskas (bad pass; steal by D. Arthur)
3:47.0,Turnover by E. Mudiay (lost ball; steal by N. Stauskas),,47-50,,
3:47.0,,,47-50,,Shooting foul by D. Arthur (drawn by N. Noel)
3:47.0,,,47-50,,N. Noel misses free throw 1 of 2
3:47.0,,,47-50,,Offensive rebound by Team
3:47.0,,,47-50,,T. McConnell enters the game for T. Wroten
3:47.0,,,47-50,,J. Sampson enters the game for H. Thompson
3:47.0,,,47-50,,N. Noel misses free throw 2 of 2
3:44.0,Defensive rebound by W. Barton,,47-50,,
3:32.0,R. Foye makes 2-pt shot from 1 ft (assist by E. Mudiay),2,49-50,,
3:09.0,,,49-50,,N. Stauskas misses 3-pt shot from 22 ft
3:07.0,Defensive rebound by D. Gallinari,,49-50,,
3:00.0,Turnover by W. Barton (lost ball; steal by R. Covington),,49-50,,
2:56.0,,,49-53,3,R. Covington makes 3-pt shot from 23 ft (assist by T. McConnell)
2:41.0,,,49-53,,Personal foul by R. Covington (drawn by D. Gallinari)
2:41.0,Official timeout,,49-53,,
2:41.0,,,49-53,,J. Grant enters the game for R. Covington
2:31.0,D. Gallinari misses 3-pt shot from 25 ft,,49-53,,
2:29.0,,,49-53,,Defensive rebound by T. McConnell
2:17.0,,,49-53,,Turnover by T. McConnell (bad pass; steal by D. Gallinari)
2:13.0,Turnover by E. Mudiay (lost ball),,49-53,,
2:01.0,,,49-55,2,T. McConnell makes 2-pt shot from 18 ft
1:45.0,Turnover by D. Arthur (bad pass; steal by J. Grant),,49-55,,
1:40.0,,,49-55,,Shooting foul by D. Arthur (drawn by J. Sampson)
1:40.0,,,49-56,1,J. Sampson makes free throw 1 of 2
1:40.0,,,49-56,,J. Sampson misses free throw 2 of 2
1:38.0,Defensive rebound by W. Barton,,49-56,,
1:18.0,R. Foye misses 3-pt shot from 25 ft,,49-56,,
1:16.0,,,49-56,,Defensive rebound by T. McConnell
1:10.0,,,49-58,2,N. Noel makes 2-pt shot from 1 ft
1:10.0,,,49-58,,Shooting foul by R. Foye (drawn by N. Noel)
1:10.0,,,49-59,1,N. Noel makes free throw 1 of 1
1:00.0,D. Arthur misses 3-pt shot from 22 ft,,49-59,,
0:58.0,Offensive rebound by D. Gallinari,,49-59,,
0:54.0,Shooting foul by N. Noel (drawn by D. Gallinari),,49-59,,
0:54.0,D. Gallinari makes 2-pt shot from 5 ft,2,51-59,,
0:54.0,,,51-59,,H. Thompson enters the game for J. Sampson
0:54.0,J. Hickson enters the game for D. Arthur,,51-59,,
0:54.0,D. Gallinari makes free throw 1 of 1,1,52-59,,
0:33.0,,,52-59,,J. Grant misses 2-pt shot from 12 ft
0:31.0,Defensive rebound by J. Hickson,,52-59,,
0:23.0,Turnover by R. Foye (bad pass; steal by T. McConnell),,52-59,,
0:04.0,,,52-59,,T. McConnell misses 2-pt shot at rim
0:02.0,Defensive rebound by D. Gallinari,,52-59,,
0:01.0,D. Gallinari misses 3-pt shot from 39 ft,,52-59,,
0:00.0,Offensive rebound by Team,,52-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Turnover by E. Mudiay (lost ball; steal by T. McConnell),,52-59,,
11:44.0,,,52-59,,I. Canaan misses 3-pt shot from 24 ft
11:42.0,Defensive rebound by D. Arthur,,52-59,,
11:18.0,D. Gallinari misses 3-pt shot from 34 ft,,52-59,,
11:16.0,Offensive rebound by J. Lauvergne,,52-59,,
11:15.0,J. Lauvergne misses 2-pt shot from 2 ft (block by N. Noel),,52-59,,
11:13.0,,,52-59,,Defensive rebound by T. McConnell
11:08.0,,,52-59,,R. Covington misses 3-pt shot from 26 ft
11:06.0,Defensive rebound by E. Mudiay,,52-59,,
11:00.0,E. Mudiay makes 2-pt shot from 2 ft,2,54-59,,
10:38.0,,,54-59,,Turnover by N. Noel (bad pass; steal by E. Mudiay)
10:31.0,Shooting foul by J. Grant (drawn by D. Gallinari),,54-59,,
10:31.0,D. Gallinari makes free throw 1 of 2,1,55-59,,
10:31.0,D. Gallinari makes free throw 2 of 2,1,56-59,,
10:11.0,,,56-59,,N. Noel misses 2-pt shot from 3 ft
10:10.0,Defensive rebound by D. Arthur,,56-59,,
9:54.0,E. Mudiay misses 2-pt shot from 17 ft,,56-59,,
9:51.0,,,56-59,,Defensive rebound by R. Covington
9:41.0,,,56-61,2,T. McConnell makes 2-pt shot from 2 ft
9:32.0,Shooting foul by N. Noel (drawn by D. Gallinari),,56-61,,
9:32.0,D. Gallinari makes free throw 1 of 2,1,57-61,,
9:32.0,D. Gallinari makes free throw 2 of 2,1,58-61,,
9:08.0,,,58-61,,Turnover by I. Canaan (lost ball; steal by J. Lauvergne)
8:49.0,Turnover by E. Mudiay (lost ball; steal by R. Covington),,58-61,,
8:46.0,,,58-61,,Shooting foul by R. Foye (drawn by R. Covington)
8:46.0,,,58-61,,R. Covington misses free throw 1 of 2
8:46.0,,,58-61,,Offensive rebound by Team
8:46.0,,,58-61,,N. Stauskas enters the game for N. Noel
8:46.0,,,58-61,,R. Holmes enters the game for I. Canaan
8:46.0,,,58-62,1,R. Covington makes free throw 2 of 2
8:32.0,Offensive foul by J. Lauvergne,,58-62,,
8:32.0,Turnover by J. Lauvergne (offensive foul),,58-62,,
8:32.0,,,58-62,,J. Sampson enters the game for R. Covington
8:32.0,W. Barton enters the game for J. Lauvergne,,58-62,,
8:20.0,,,58-65,3,R. Holmes makes 3-pt shot from 24 ft (assist by J. Grant)
8:06.0,W. Barton misses 3-pt shot from 26 ft,,58-65,,
8:05.0,,,58-65,,Defensive rebound by N. Stauskas
7:56.0,,,58-65,,Shooting foul by D. Gallinari (drawn by J. Grant)
7:56.0,,,58-65,,J. Grant misses free throw 1 of 2
7:56.0,,,58-65,,Offensive rebound by Team
7:56.0,,,58-65,,J. Grant misses free throw 2 of 2
7:54.0,Defensive rebound by W. Barton,,58-65,,
7:42.0,E. Mudiay misses 3-pt shot from 25 ft,,58-65,,
7:40.0,,,58-65,,Defensive rebound by J. Sampson
7:28.0,,,58-65,,J. Grant misses 2-pt shot from 3 ft (block by D. Arthur)
7:26.0,Defensive rebound by R. Foye,,58-65,,
7:21.0,W. Barton makes 2-pt shot from 4 ft,2,60-65,,
7:01.0,,,60-65,,N. Stauskas misses 2-pt shot from 21 ft
6:59.0,Defensive rebound by W. Barton,,60-65,,
6:52.0,Shooting foul by N. Stauskas (drawn by D. Gallinari),,60-65,,
6:52.0,D. Gallinari misses free throw 1 of 2,,60-65,,
6:52.0,Offensive rebound by Team,,60-65,,
6:52.0,J. Nelson enters the game for E. Mudiay,,60-65,,
6:52.0,,,60-65,,T. Wroten enters the game for T. McConnell
6:52.0,,,60-65,,R. Covington enters the game for J. Grant
6:52.0,D. Gallinari misses free throw 2 of 2,,60-65,,
6:51.0,,,60-65,,Defensive rebound by R. Covington
6:50.0,Personal foul by D. Arthur (drawn by R. Covington),,60-65,,
6:39.0,,,60-65,,R. Covington misses 3-pt shot from 26 ft
6:37.0,,,60-65,,Offensive rebound by J. Sampson
6:37.0,,,60-65,,Shooting foul by R. Foye (drawn by J. Sampson)
6:37.0,,,60-66,1,J. Sampson makes free throw 1 of 2
6:37.0,M. Miller enters the game for R. Foye,,60-66,,
6:37.0,,,60-66,,J. Sampson misses free throw 2 of 2
6:37.0,,,60-66,,Offensive rebound by R. Covington
6:27.0,,,60-66,,Turnover by R. Covington (lost ball)
6:16.0,D. Arthur misses 3-pt shot from 26 ft,,60-66,,
6:14.0,,,60-66,,Defensive rebound by R. Covington
6:05.0,,,60-68,2,R. Holmes makes 2-pt shot from 2 ft (assist by T. Wroten)
6:05.0,,,60-68,,Shooting foul by D. Arthur (drawn by R. Holmes)
6:05.0,K. Faried enters the game for D. Arthur,,60-68,,
6:05.0,,,60-69,1,R. Holmes makes free throw 1 of 1
5:52.0,W. Barton makes 2-pt shot from 4 ft,2,62-69,,
5:52.0,Shooting foul by J. Sampson (drawn by W. Barton),,62-69,,
5:52.0,,,62-69,,Philadelphia full timeout
5:52.0,W. Barton makes free throw 1 of 1,1,63-69,,
5:38.0,,,63-69,,J. Sampson misses 2-pt shot at rim (block by K. Faried)
5:34.0,,,63-69,,Offensive rebound by R. Holmes
5:33.0,,,63-71,2,R. Holmes makes 2-pt shot from 1 ft
5:22.0,W. Barton misses 2-pt shot from 2 ft (block by R. Holmes),,63-71,,
5:20.0,,,63-71,,Defensive rebound by J. Sampson
5:15.0,,,63-73,2,T. Wroten makes 2-pt shot at rim (assist by J. Sampson)
5:15.0,Denver full timeout,,63-73,,
5:02.0,Turnover by K. Faried (back court),,63-73,,
4:48.0,,,63-73,,N. Stauskas misses 3-pt shot from 27 ft
4:46.0,Defensive rebound by K. Faried,,63-73,,
4:29.0,J. Nelson misses 2-pt shot from 18 ft,,63-73,,
4:27.0,,,63-73,,Defensive rebound by N. Stauskas
4:17.0,,,63-73,,T. Wroten misses 2-pt shot from 13 ft
4:15.0,Defensive rebound by W. Barton,,63-73,,
4:10.0,D. Gallinari makes 2-pt shot at rim (assist by M. Miller),2,65-73,,
3:53.0,,,65-76,3,R. Covington makes 3-pt shot from 23 ft (assist by T. Wroten)
3:32.0,D. Gallinari makes 3-pt shot from 25 ft (assist by W. Barton),3,68-76,,
3:11.0,,,68-78,2,R. Holmes makes 2-pt shot from 2 ft (assist by R. Covington)
2:57.0,D. Gallinari makes 3-pt shot from 25 ft (assist by J. Nelson),3,71-78,,
2:40.0,,,71-78,,Turnover by T. Wroten (traveling)
2:40.0,,,71-78,,H. Thompson enters the game for N. Stauskas
2:40.0,,,71-78,,T. McConnell enters the game for T. Wroten
2:27.0,J. Nelson makes 3-pt shot from 27 ft (assist by M. Miller),3,74-78,,
2:12.0,,,74-78,,T. McConnell misses 3-pt shot from 26 ft
2:10.0,,,74-78,,Offensive rebound by R. Holmes
1:49.0,,,74-80,2,J. Sampson makes 2-pt shot from 1 ft (assist by H. Thompson)
1:26.0,W. Barton makes 3-pt shot from 26 ft (assist by K. Faried),3,77-80,,
0:59.0,,,77-83,3,J. Sampson makes 3-pt shot from 24 ft (assist by T. McConnell)
0:39.0,W. Barton misses 2-pt shot from 4 ft,,77-83,,
0:38.0,Offensive rebound by K. Faried,,77-83,,
0:37.0,K. Faried misses 2-pt shot from 1 ft (block by R. Covington),,77-83,,
0:37.0,,,77-83,,Defensive rebound by Team
0:37.0,,,77-83,,J. Grant enters the game for R. Holmes
0:37.0,,,77-83,,I. Canaan enters the game for J. Grant
0:37.0,,,77-83,,N. Noel enters the game for J. Sampson
0:32.0,,,77-83,,I. Canaan misses 3-pt shot from 25 ft
0:30.0,Defensive rebound by K. Faried,,77-83,,
0:09.0,J. Nelson misses 2-pt shot from 21 ft,,77-83,,
0:08.0,,,77-83,,Defensive rebound by Team
0:04.0,,,77-85,2,T. McConnell makes 2-pt shot from 1 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,77-85,,T. McConnell misses 2-pt shot from 15 ft
11:47.0,Defensive rebound by D. Gallinari,,77-85,,
11:33.0,Turnover by J. Nelson (bad pass; steal by T. McConnell),,77-85,,
11:21.0,,,77-85,,Offensive charge foul by H. Thompson
11:21.0,,,77-85,,Turnover by H. Thompson (offensive foul)
11:21.0,R. Foye enters the game for D. Gallinari,,77-85,,
11:06.0,K. Faried misses 2-pt shot from 4 ft (block by J. Grant),,77-85,,
11:06.0,Offensive rebound by Team,,77-85,,
11:02.0,Shooting foul by T. McConnell (drawn by K. Faried),,77-85,,
11:02.0,K. Faried misses free throw 1 of 2,,77-85,,
11:02.0,Offensive rebound by Team,,77-85,,
11:02.0,,,77-85,,N. Stauskas enters the game for T. McConnell
11:02.0,K. Faried makes free throw 2 of 2,1,78-85,,
10:48.0,,,78-85,,Turnover by N. Noel (bad pass; steal by W. Barton)
10:38.0,J. Nelson misses 3-pt shot from 26 ft,,78-85,,
10:37.0,Offensive rebound by R. Foye,,78-85,,
10:21.0,K. Faried makes 2-pt shot from 1 ft (assist by M. Miller),2,80-85,,
10:21.0,Shooting foul by H. Thompson (drawn by K. Faried),,80-85,,
10:21.0,K. Faried misses free throw 1 of 1,,80-85,,
10:20.0,,,80-85,,Defensive rebound by N. Noel
10:08.0,,,80-88,3,I. Canaan makes 3-pt shot from 25 ft (assist by H. Thompson)
9:56.0,Shooting foul by I. Canaan (drawn by K. Faried),,80-88,,
9:56.0,K. Faried makes free throw 1 of 2,1,81-88,,
9:56.0,K. Faried misses free throw 2 of 2,,81-88,,
9:54.0,,,81-88,,Defensive rebound by H. Thompson
9:35.0,,,81-88,,Shooting foul by M. Miller (drawn by J. Grant)
9:35.0,,,81-89,1,J. Grant makes free throw 1 of 2
9:35.0,,,81-90,1,J. Grant makes free throw 2 of 2
9:15.0,R. Foye misses 3-pt shot from 24 ft,,81-90,,
9:13.0,Offensive rebound by K. Faried,,81-90,,
9:11.0,M. Miller makes 3-pt shot from 24 ft (assist by K. Faried),3,84-90,,
9:09.0,,,84-90,,Philadelphia full timeout
9:09.0,E. Mudiay enters the game for J. Nelson,,84-90,,
8:54.0,,,84-92,2,N. Noel makes 2-pt shot at rim (assist by N. Stauskas)
8:51.0,,,84-92,,Technical foul by N. Noel
8:51.0,W. Barton makes technical free throw,1,85-92,,
8:28.0,E. Mudiay misses 3-pt shot from 26 ft,,85-92,,
8:24.0,Offensive rebound by K. Faried,,85-92,,
8:24.0,K. Faried makes 2-pt shot from 1 ft,2,87-92,,
8:11.0,,,87-92,,I. Canaan misses 3-pt shot from 28 ft
8:09.0,Defensive rebound by W. Barton,,87-92,,
7:57.0,R. Foye misses 3-pt shot from 25 ft,,87-92,,
7:56.0,,,87-92,,Defensive rebound by Team
7:31.0,,,87-92,,J. Grant misses 3-pt shot from 23 ft
7:29.0,Defensive rebound by E. Mudiay,,87-92,,
7:24.0,E. Mudiay misses 2-pt shot from 5 ft (block by H. Thompson),,87-92,,
7:22.0,Offensive rebound by Team,,87-92,,
7:22.0,,,87-92,,T. McConnell enters the game for I. Canaan
7:22.0,,,87-92,,R. Holmes enters the game for N. Noel
7:22.0,D. Gallinari enters the game for M. Miller,,87-92,,
7:21.0,Jump ball: K. Faried vs. J. Grant,,,,Jump ball: K. Faried vs. J. Grant
7:21.0,Turnover by K. Faried (lost ball; steal by J. Grant),,87-92,,
6:59.0,,,87-92,,T. McConnell misses 2-pt shot from 1 ft
6:57.0,Defensive rebound by D. Gallinari,,87-92,,
6:47.0,K. Faried misses 2-pt shot from 8 ft (block by J. Grant),,87-92,,
6:45.0,,,87-92,,Defensive rebound by T. McConnell
6:37.0,,,87-94,2,J. Grant makes 2-pt shot from 2 ft (assist by H. Thompson)
6:36.0,Denver full timeout,,87-94,,
6:36.0,,,87-94,,R. Covington enters the game for J. Grant
6:36.0,D. Arthur enters the game for K. Faried,,87-94,,
6:16.0,W. Barton misses 3-pt shot from 22 ft,,87-94,,
