time,Miami,pts.away,score,pts.home,LA Lakers
10:27.0,,,51-44,,D. Russell misses free throw 2 of 2
10:24.0,Defensive rebound by A. Stoudemire,,51-44,,
10:21.0,,,51-44,,Personal foul by D. Russell
10:12.0,Turnover by J. Johnson (lost ball; steal by R. Hibbert),,51-44,,
10:07.0,,,51-46,2,D. Russell makes 2-pt shot from 15 ft (assist by L. Nance)
9:51.0,Turnover by D. Wade (lost ball; steal by D. Russell),,51-46,,
9:46.0,,,51-48,2,J. Randle makes 2-pt shot at rim (assist by D. Russell)
9:28.0,D. Wade misses 2-pt shot from 16 ft,,51-48,,
9:27.0,,,51-48,,Defensive rebound by J. Clarkson
9:20.0,,,51-48,,J. Clarkson misses 2-pt shot from 2 ft (block by D. Wade)
9:19.0,,,51-48,,Offensive rebound by J. Clarkson
9:15.0,,,51-48,,L. Nance misses 2-pt shot from 7 ft
9:14.0,,,51-48,,Offensive rebound by R. Hibbert
9:10.0,,,51-48,,D. Russell misses 3-pt shot from 24 ft
9:09.0,,,51-48,,Offensive rebound by J. Clarkson
9:05.0,,,51-48,,J. Clarkson misses 2-pt shot from 2 ft
9:04.0,Defensive rebound by J. Johnson,,51-48,,
8:56.0,G. Dragic makes 2-pt shot from 1 ft (assist by J. Johnson),2,53-48,,
8:34.0,,,53-48,,J. Randle misses 2-pt shot from 1 ft
8:31.0,Defensive rebound by D. Wade,,53-48,,
8:10.0,A. Stoudemire misses 2-pt shot from 15 ft,,53-48,,
8:09.0,,,53-48,,Defensive rebound by J. Randle
7:53.0,,,53-50,2,R. Hibbert makes 2-pt shot from 4 ft
7:30.0,L. Deng misses 3-pt shot from 22 ft,,53-50,,
7:29.0,,,53-50,,Defensive rebound by D. Russell
7:18.0,,,53-52,2,D. Russell makes 2-pt shot from 15 ft
7:17.0,Violation by Team (jump ball),,53-52,,
7:05.0,Shooting foul by L. Nance (drawn by J. Johnson),,53-52,,
7:05.0,J. Johnson makes free throw 1 of 2,1,54-52,,
7:05.0,J. Johnson makes free throw 2 of 2,1,55-52,,
6:51.0,,,55-54,2,J. Clarkson makes 2-pt shot from 4 ft
6:31.0,H. Whiteside enters the game for A. Stoudemire,,55-54,,
6:31.0,J. Richardson enters the game for G. Dragic,,55-54,,
6:25.0,J. Richardson misses 2-pt shot from 5 ft (block by R. Hibbert),,55-54,,
6:24.0,Offensive rebound by J. Richardson,,55-54,,
6:22.0,J. Richardson misses 2-pt shot from 2 ft (block by R. Hibbert),,55-54,,
6:22.0,,,55-54,,Defensive rebound by R. Hibbert
6:22.0,Personal foul by J. Richardson,,55-54,,
6:10.0,,,55-57,3,J. Clarkson makes 3-pt shot from 24 ft (assist by J. Randle)
5:46.0,L. Deng misses 2-pt shot from 2 ft (block by R. Hibbert),,55-57,,
5:44.0,Offensive rebound by L. Deng,,55-57,,
5:42.0,L. Deng misses 2-pt shot from 2 ft (block by L. Nance),,55-57,,
5:42.0,Offensive rebound by L. Deng,,55-57,,
5:42.0,Turnover by Team (shot clock),,55-57,,
5:42.0,,,55-57,,LA Lakers full timeout
5:42.0,J. Winslow enters the game for L. Deng,,55-57,,
5:22.0,,,55-59,2,J. Randle makes 2-pt shot at rim (assist by J. Clarkson)
5:02.0,J. Richardson misses 3-pt shot from 23 ft,,55-59,,
5:01.0,,,55-59,,Defensive rebound by J. Randle
4:53.0,,,55-59,,D. Russell misses 3-pt shot from 26 ft
4:50.0,Defensive rebound by Team,,55-59,,
4:39.0,Offensive foul by H. Whiteside,,55-59,,
4:39.0,Turnover by H. Whiteside (offensive foul),,55-59,,
4:39.0,,,55-59,,R. Kelly enters the game for L. Nance
4:16.0,,,55-59,,J. Clarkson misses 2-pt shot from 19 ft
4:15.0,Defensive rebound by Team,,55-59,,
4:15.0,,,55-59,,M. Huertas enters the game for J. Clarkson
4:15.0,,,55-59,,L. Williams enters the game for D. Russell
3:57.0,H. Whiteside makes 2-pt shot from 5 ft,2,57-59,,
3:46.0,,,57-61,2,R. Kelly makes 2-pt shot from 14 ft (assist by M. Huertas)
3:26.0,J. Winslow makes 2-pt shot from 18 ft (assist by J. Richardson),2,59-61,,
3:08.0,,,59-61,,R. Hibbert misses 2-pt shot from 5 ft
3:07.0,Defensive rebound by D. Wade,,59-61,,
3:00.0,D. Wade makes 2-pt shot from 12 ft,2,61-61,,
2:44.0,,,61-61,,R. Hibbert misses 2-pt shot from 18 ft
2:43.0,,,61-61,,Offensive rebound by J. Randle
2:41.0,,,61-61,,Shooting foul by J. Winslow (drawn by J. Randle)
2:41.0,Miami full timeout,,61-61,,
2:41.0,,,61-61,,B. Bass enters the game for R. Hibbert
2:41.0,G. Dragic enters the game for J. Johnson,,61-61,,
2:41.0,L. Deng enters the game for D. Wade,,61-61,,
2:41.0,,,61-62,1,J. Randle makes free throw 1 of 2
2:41.0,,,61-63,1,J. Randle makes free throw 2 of 2
