time,Sacramento,pts.away,score,pts.home,San Antonio
8:13.0,,,28-38,,Defensive rebound by P. Mills
8:07.0,,,28-38,,D. West misses 2-pt shot from 18 ft
8:05.0,Defensive rebound by Q. Acy,,28-38,,
7:52.0,R. Gay makes 2-pt shot at rim (assist by Q. Acy),2,30-38,,
7:36.0,,,30-38,,P. Mills misses 3-pt shot from 23 ft
7:35.0,Defensive rebound by Q. Acy,,30-38,,
7:25.0,M. Belinelli misses 2-pt shot from 12 ft,,30-38,,
7:25.0,Offensive rebound by Team,,30-38,,
7:25.0,R. Rondo enters the game for O. Casspi,,30-38,,
7:25.0,,,30-38,,T. Parker enters the game for P. Mills
7:25.0,,,30-38,,B. Diaw enters the game for D. West
7:18.0,Turnover by M. Belinelli (lost ball; steal by B. Diaw),,30-38,,
7:14.0,,,30-38,,Turnover by T. Parker (lost ball)
7:03.0,R. Gay misses 3-pt shot from 24 ft,,30-38,,
7:02.0,,,30-38,,Defensive rebound by K. Leonard
6:46.0,,,30-38,,J. Simmons misses 2-pt shot from 1 ft
6:46.0,Defensive rebound by R. Gay,,30-38,,
6:39.0,R. Rondo makes 2-pt shot from 1 ft,2,32-38,,
6:39.0,,,32-38,,San Antonio full timeout
6:39.0,D. Cousins enters the game for Q. Acy,,32-38,,
6:24.0,,,32-38,,Shooting foul by D. Cousins (drawn by K. Leonard)
6:24.0,,,32-38,,K. Leonard misses free throw 1 of 2
6:24.0,,,32-38,,Offensive rebound by Team
6:24.0,,,32-39,1,K. Leonard makes free throw 2 of 2
6:07.0,Shooting foul by J. Simmons (drawn by D. Cousins),,32-39,,
6:07.0,,,32-39,,Violation by K. Leonard (def goaltending)
6:07.0,D. Cousins makes 2-pt shot from 1 ft (assist by D. Collison),2,34-39,,
6:07.0,,,34-39,,P. Mills enters the game for K. Anderson
6:07.0,D. Cousins misses free throw 1 of 1,,34-39,,
6:05.0,,,34-39,,Defensive rebound by K. Leonard
6:02.0,,,34-39,,Turnover by K. Leonard (lost ball; steal by R. Rondo)
5:55.0,R. Rondo misses 2-pt shot from 1 ft,,34-39,,
5:54.0,Offensive rebound by D. Cousins,,34-39,,
5:50.0,D. Cousins makes 2-pt shot from 1 ft,2,36-39,,
5:42.0,,,36-41,2,K. Leonard makes 2-pt shot at rim (assist by P. Mills)
5:30.0,R. Rondo makes 2-pt shot from 1 ft,2,38-41,,
5:12.0,,,38-41,,B. Diaw misses 3-pt shot from 24 ft
5:12.0,Defensive rebound by M. Belinelli,,38-41,,
5:07.0,D. Cousins makes 2-pt shot at rim (assist by R. Rondo),2,40-41,,
4:57.0,,,40-41,,K. Leonard misses 2-pt shot from 17 ft
4:57.0,Defensive rebound by M. Belinelli,,40-41,,
4:43.0,D. Cousins misses 2-pt shot from 3 ft,,40-41,,
4:43.0,Offensive rebound by D. Cousins,,40-41,,
4:43.0,Shooting foul by B. Diaw (drawn by D. Cousins),,40-41,,
4:43.0,D. Cousins misses free throw 1 of 2,,40-41,,
4:43.0,Offensive rebound by Team,,40-41,,
4:43.0,,,40-41,,B. Marjanovic enters the game for B. Diaw
4:43.0,D. Cousins makes free throw 2 of 2,1,41-41,,
4:30.0,,,41-43,2,K. Leonard makes 2-pt shot from 9 ft
4:30.0,,,41-43,,Shooting foul by R. Gay (drawn by K. Leonard)
4:30.0,,,41-43,,B. Diaw enters the game for J. Simmons
4:30.0,,,41-44,1,K. Leonard makes free throw 1 of 1
4:16.0,M. Belinelli misses 2-pt shot from 16 ft,,41-44,,
4:15.0,,,41-44,,Defensive rebound by B. Marjanovic
4:07.0,,,41-44,,K. Leonard misses 2-pt shot from 7 ft
4:06.0,,,41-44,,Offensive rebound by K. Leonard
3:59.0,,,41-47,3,B. Diaw makes 3-pt shot from 24 ft (assist by K. Leonard)
3:44.0,D. Collison misses 2-pt shot from 17 ft,,41-47,,
3:44.0,,,41-47,,Defensive rebound by B. Marjanovic
3:32.0,,,41-47,,K. Leonard misses 3-pt shot from 24 ft
3:31.0,,,41-47,,Offensive rebound by B. Diaw
3:25.0,,,41-47,,K. Leonard misses 3-pt shot from 24 ft
3:24.0,Defensive rebound by D. Collison,,41-47,,
3:19.0,R. Gay makes 2-pt shot at rim (assist by D. Collison),2,43-47,,
2:52.0,,,43-50,3,P. Mills makes 3-pt shot from 23 ft (assist by B. Marjanovic)
2:46.0,Sacramento full timeout,,43-50,,
2:46.0,Official timeout,,43-50,,
2:46.0,B. McLemore enters the game for M. Belinelli,,43-50,,
2:46.0,Q. Acy enters the game for D. Collison,,43-50,,
2:37.0,Shooting foul by B. Marjanovic (drawn by D. Cousins),,43-50,,
2:37.0,D. Cousins makes free throw 1 of 2,1,44-50,,
2:37.0,,,44-50,,M. Ginobili enters the game for P. Mills
2:37.0,D. Cousins makes free throw 2 of 2,1,45-50,,
2:20.0,,,45-50,,K. Leonard misses 2-pt shot from 7 ft
2:20.0,,,45-50,,Offensive rebound by K. Leonard
2:20.0,,,45-50,,Shooting foul by R. Gay (drawn by K. Leonard)
2:20.0,,,45-51,1,K. Leonard makes free throw 1 of 2
2:20.0,,,45-51,,D. West enters the game for B. Marjanovic
2:20.0,,,45-52,1,K. Leonard makes free throw 2 of 2
2:18.0,,,45-52,,Personal foul by B. Diaw (drawn by D. Cousins)
2:18.0,D. Cousins makes free throw 1 of 2,1,46-52,,
2:18.0,D. Cousins makes free throw 2 of 2,1,47-52,,
2:04.0,,,47-52,,Turnover by K. Leonard (lost ball; steal by R. Gay)
1:54.0,R. Gay misses 2-pt shot at rim (block by K. Leonard),,47-52,,
1:52.0,Offensive rebound by R. Gay,,47-52,,
1:50.0,R. Gay makes 2-pt shot at rim,2,49-52,,
1:37.0,,,49-52,,M. Ginobili misses 3-pt shot from 25 ft
1:37.0,Defensive rebound by R. Gay,,49-52,,
1:28.0,D. Cousins misses 3-pt shot from 23 ft,,49-52,,
1:27.0,,,49-52,,Defensive rebound by B. Diaw
1:13.0,,,49-54,2,M. Ginobili makes 2-pt shot from 1 ft (assist by K. Leonard)
1:08.0,Turnover by R. Rondo (bad pass; steal by K. Leonard),,49-54,,
0:56.0,,,49-54,,Turnover by M. Ginobili (bad pass; steal by Q. Acy)
0:48.0,R. Rondo makes 2-pt shot at rim,2,51-54,,
0:35.0,,,51-54,,T. Parker misses 2-pt shot at rim
0:33.0,Defensive rebound by D. Cousins,,51-54,,
0:31.0,Turnover by R. Rondo (bad pass),,51-54,,
0:18.0,,,51-54,,San Antonio full timeout
0:18.0,,,51-54,,M. Bonner enters the game for B. Diaw
0:18.0,,,51-54,,P. Mills enters the game for K. Leonard
0:18.0,W. Cauley-Stein enters the game for D. Cousins,,51-54,,
0:10.0,,,51-57,3,M. Bonner makes 3-pt shot from 24 ft (assist by T. Parker)
0:00.0,R. Rondo makes 3-pt shot from 23 ft (assist by R. Gay),3,54-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:34.0,R. Rondo misses 2-pt shot from 4 ft,,54-57,,
11:33.0,,,54-57,,Defensive rebound by M. Bonner
11:13.0,,,54-57,,T. Parker misses 2-pt shot from 18 ft
11:12.0,Defensive rebound by Q. Acy,,54-57,,
10:55.0,Turnover by D. Cousins (bad pass; steal by K. Anderson),,54-57,,
10:49.0,,,54-59,2,K. Leonard makes 2-pt shot from 1 ft (assist by D. West)
10:32.0,,,54-59,,Personal foul by D. West (drawn by D. Cousins)
10:24.0,D. Cousins misses 2-pt shot from 1 ft,,54-59,,
10:22.0,,,54-59,,Defensive rebound by K. Anderson
10:13.0,Violation by Q. Acy (def goaltending),,54-59,,
10:13.0,,,54-61,2,K. Leonard makes 2-pt shot from 1 ft
10:00.0,D. Cousins misses 2-pt shot from 21 ft,,54-61,,
9:59.0,,,54-61,,Defensive rebound by K. Leonard
9:52.0,,,54-64,3,K. Leonard makes 3-pt shot from 25 ft
9:51.0,Sacramento full timeout,,54-64,,
9:33.0,B. McLemore misses 2-pt shot from 21 ft,,54-64,,
9:32.0,Offensive rebound by D. Cousins,,54-64,,
9:32.0,,,54-64,,Personal foul by D. West (drawn by D. Cousins)
9:20.0,Turnover by R. Gay (bad pass; steal by D. West),,54-64,,
9:11.0,,,54-66,2,K. Leonard makes 2-pt shot from 19 ft
9:04.0,Turnover by B. McLemore (lost ball),,54-66,,
8:54.0,Personal foul by B. McLemore (drawn by K. Anderson),,54-66,,
8:43.0,,,54-69,3,M. Bonner makes 3-pt shot from 24 ft (assist by K. Leonard)
8:29.0,O. Casspi enters the game for Q. Acy,,54-69,,
8:22.0,B. McLemore misses 2-pt shot from 3 ft,,54-69,,
8:21.0,,,54-69,,Defensive rebound by M. Bonner
8:08.0,,,54-69,,K. Leonard misses 2-pt shot from 18 ft
8:07.0,Defensive rebound by B. McLemore,,54-69,,
8:03.0,Turnover by R. Rondo (lost ball),,54-69,,
7:48.0,,,54-69,,K. Anderson misses 3-pt shot from 23 ft
7:47.0,Defensive rebound by D. Cousins,,54-69,,
7:35.0,O. Casspi misses 3-pt shot from 24 ft,,54-69,,
7:34.0,,,54-69,,Defensive rebound by K. Anderson
7:24.0,Personal block foul by O. Casspi (drawn by K. Anderson),,54-69,,
7:24.0,D. Collison enters the game for B. McLemore,,54-69,,
7:17.0,,,54-69,,K. Leonard misses 2-pt shot from 19 ft
7:16.0,,,54-69,,Offensive rebound by K. Anderson
6:58.0,,,54-69,,M. Bonner misses 3-pt shot from 24 ft
6:57.0,Defensive rebound by D. Cousins,,54-69,,
6:46.0,O. Casspi makes 2-pt shot from 6 ft (assist by R. Rondo),2,56-69,,
6:36.0,,,56-69,,Shooting foul by R. Gay (drawn by K. Leonard)
6:36.0,,,56-70,1,K. Leonard makes free throw 1 of 2
6:36.0,,,56-70,,M. Ginobili enters the game for M. Bonner
6:36.0,,,56-71,1,K. Leonard makes free throw 2 of 2
6:18.0,D. Collison makes 2-pt shot from 18 ft,2,58-71,,
5:51.0,,,58-71,,Turnover by T. Parker (lost ball; steal by D. Collison)
5:47.0,D. Collison makes 2-pt shot from 1 ft (assist by R. Rondo),2,60-71,,
5:29.0,,,60-71,,D. West misses 2-pt shot from 17 ft
5:28.0,,,60-71,,Offensive rebound by K. Leonard
5:13.0,,,60-71,,M. Ginobili misses 3-pt shot from 26 ft
5:12.0,Defensive rebound by O. Casspi,,60-71,,
5:02.0,,,60-71,,Personal foul by K. Leonard (drawn by R. Gay)
4:53.0,Turnover by R. Rondo (bad pass),,60-71,,
4:39.0,,,60-73,2,M. Ginobili makes 2-pt shot from 1 ft (assist by D. West)
4:30.0,Turnover by D. Cousins (bad pass),,60-73,,
4:30.0,,,60-73,,B. Diaw enters the game for K. Anderson
4:12.0,,,60-75,2,M. Ginobili makes 2-pt shot from 13 ft (assist by T. Parker)
4:01.0,D. Cousins makes 3-pt shot from 25 ft (assist by R. Rondo),3,63-75,,
4:01.0,,,63-75,,San Antonio full timeout
