time,Milwaukee,pts.away,score,pts.home,Orlando
6:54.0,,,10-17,,Defensive rebound by D. Dedmon
6:43.0,,,10-19,2,E. Ilyasova makes 2-pt shot at rim (assist by E. Payton)
6:43.0,Milwaukee full timeout,,10-19,,
6:43.0,T. Ennis enters the game for K. Middleton,,10-19,,
6:23.0,G. Monroe misses 2-pt shot at rim (block by D. Dedmon),,10-19,,
6:21.0,,,10-19,,Defensive rebound by D. Dedmon
6:18.0,,,10-19,,Shooting foul by G. Monroe (drawn by D. Dedmon)
6:18.0,,,10-20,1,D. Dedmon makes free throw 1 of 2
6:18.0,,,10-21,1,D. Dedmon makes free throw 2 of 2
6:01.0,J. Parker misses 2-pt shot from 21 ft,,10-21,,
5:59.0,,,10-21,,Defensive rebound by E. Fournier
5:54.0,,,10-23,2,M. Hezonja makes 2-pt shot at rim (assist by E. Fournier)
5:29.0,G. Monroe makes 2-pt shot at rim (assist by T. Ennis),2,12-23,,
5:10.0,,,12-23,,E. Payton misses 3-pt shot from 22 ft
5:08.0,Defensive rebound by J. Parker,,12-23,,
5:01.0,G. Antetokounmpo makes 2-pt shot at rim,2,14-23,,
4:41.0,,,14-23,,M. Hezonja misses 3-pt shot from 24 ft
4:40.0,Defensive rebound by G. Antetokounmpo,,14-23,,
4:35.0,G. Monroe makes 2-pt shot at rim (assist by G. Antetokounmpo),2,16-23,,
4:16.0,,,16-25,2,D. Dedmon makes 2-pt shot from 1 ft (assist by E. Payton)
3:58.0,Shooting foul by D. Dedmon (drawn by G. Monroe),,16-25,,
3:58.0,G. Monroe makes free throw 1 of 2,1,17-25,,
3:58.0,,,17-25,,J. Smith enters the game for D. Dedmon
3:58.0,,,17-25,,C. Watson enters the game for E. Payton
3:58.0,G. Monroe misses free throw 2 of 2,,17-25,,
3:57.0,,,17-25,,Defensive rebound by C. Watson
3:38.0,,,17-25,,Turnover by E. Fournier (lost ball)
3:28.0,J. Parker misses 2-pt shot from 1 ft (block by J. Smith),,17-25,,
3:26.0,Offensive rebound by G. Monroe,,17-25,,
3:26.0,G. Monroe misses 2-pt shot from 1 ft (block by E. Ilyasova),,17-25,,
3:24.0,Offensive rebound by G. Monroe,,17-25,,
3:23.0,G. Monroe makes 2-pt shot from 1 ft,2,19-25,,
3:03.0,,,19-27,2,E. Fournier makes 2-pt shot at rim (assist by M. Hezonja)
2:46.0,G. Monroe misses 2-pt shot from 12 ft,,19-27,,
2:45.0,,,19-27,,Defensive rebound by E. Ilyasova
2:37.0,,,19-27,,J. Smith misses 2-pt shot from 19 ft
2:36.0,,,19-27,,Offensive rebound by E. Fournier
2:33.0,,,19-29,2,E. Ilyasova makes 2-pt shot at rim
2:22.0,Offensive foul by G. Monroe,,19-29,,
2:22.0,Turnover by G. Monroe (offensive foul),,19-29,,
2:22.0,,,19-29,,Orlando full timeout
2:22.0,,,19-29,,D. Marble enters the game for M. Hezonja
2:22.0,G. Vasquez enters the game for G. Monroe,,19-29,,
2:22.0,M. Plumlee enters the game for T. Ennis,,19-29,,
2:10.0,,,19-29,,J. Smith misses 2-pt shot from 19 ft (block by M. Plumlee)
2:08.0,,,19-29,,Offensive rebound by J. Smith
2:07.0,,,19-29,,Shooting foul by G. Antetokounmpo (drawn by D. Marble)
2:07.0,,,19-30,1,D. Marble makes free throw 1 of 2
2:07.0,,,19-30,,D. Marble misses free throw 2 of 2
2:05.0,Defensive rebound by G. Antetokounmpo,,19-30,,
1:48.0,R. Vaughn misses 2-pt shot from 15 ft,,19-30,,
1:47.0,Offensive rebound by M. Plumlee,,19-30,,
1:30.0,Shooting foul by D. Marble (drawn by R. Vaughn),,19-30,,
1:30.0,R. Vaughn makes free throw 1 of 2,1,20-30,,
1:30.0,R. Vaughn misses free throw 2 of 2,,20-30,,
1:28.0,,,20-30,,Defensive rebound by J. Smith
1:11.0,,,20-32,2,J. Smith makes 2-pt shot from 18 ft (assist by E. Fournier)
0:48.0,J. Parker makes 2-pt shot from 19 ft,2,22-32,,
0:27.0,,,22-32,,E. Ilyasova misses 2-pt shot from 13 ft
0:26.0,Defensive rebound by M. Plumlee,,22-32,,
0:08.0,Turnover by G. Antetokounmpo (lost ball; steal by D. Marble),,22-32,,
0:03.0,,,22-32,,D. Marble misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
0:01.0,,,22-32,,Offensive rebound by C. Watson
0:00.0,,,22-32,,C. Watson misses 2-pt shot from 21 ft
0:00.0,,,22-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Turnover by G. Vasquez (lost ball; steal by C. Watson),,22-32,,
11:39.0,,,22-32,,A. Nicholson misses 3-pt shot from 25 ft
11:37.0,Defensive rebound by G. Vasquez,,22-32,,
11:23.0,G. Vasquez makes 3-pt shot from 24 ft (assist by K. Middleton),3,25-32,,
10:55.0,,,25-32,,M. Hezonja misses 3-pt shot from 29 ft
10:52.0,Defensive rebound by M. Plumlee,,25-32,,
10:41.0,J. Parker misses 2-pt shot at rim,,25-32,,
10:38.0,Offensive rebound by M. Plumlee,,25-32,,
10:35.0,M. Plumlee misses 2-pt shot from 5 ft,,25-32,,
10:33.0,,,25-32,,Defensive rebound by J. Smith
10:16.0,,,25-32,,Offensive foul by A. Nicholson
10:16.0,,,25-32,,Turnover by A. Nicholson (offensive foul)
10:05.0,J. Henson misses 2-pt shot from 7 ft,,25-32,,
10:02.0,,,25-32,,Defensive rebound by J. Smith
9:45.0,,,25-32,,J. Smith misses 3-pt shot from 26 ft
9:43.0,Defensive rebound by M. Plumlee,,25-32,,
9:39.0,J. Parker makes 2-pt shot at rim (assist by G. Vasquez),2,27-32,,
9:25.0,,,27-34,2,M. Hezonja makes 2-pt shot from 1 ft (assist by C. Watson)
9:14.0,Turnover by G. Vasquez (lost ball; steal by M. Hezonja),,27-34,,
9:11.0,,,27-36,2,M. Hezonja makes 2-pt shot at rim
8:55.0,G. Vasquez misses 3-pt shot from 26 ft,,27-36,,
8:54.0,Offensive rebound by M. Plumlee,,27-36,,
8:51.0,Shooting foul by J. Smith (drawn by K. Middleton),,27-36,,
8:51.0,Official timeout,,27-36,,
8:51.0,G. Antetokounmpo enters the game for J. Parker,,27-36,,
8:51.0,K. Middleton makes free throw 1 of 2,1,28-36,,
8:51.0,K. Middleton makes free throw 2 of 2,1,29-36,,
8:29.0,,,29-38,2,D. Marble makes 2-pt shot from 1 ft
8:15.0,Shooting foul by A. Nicholson (drawn by J. Henson),,29-38,,
8:15.0,J. Henson makes free throw 1 of 2,1,30-38,,
8:15.0,J. Henson misses free throw 2 of 2,,30-38,,
8:12.0,Offensive rebound by M. Plumlee,,30-38,,
8:09.0,Turnover by K. Middleton (lost ball; steal by J. Smith),,30-38,,
8:02.0,,,30-38,,A. Nicholson misses 3-pt shot from 26 ft
8:00.0,Defensive rebound by M. Plumlee,,30-38,,
7:48.0,J. Henson makes 2-pt shot from 2 ft (assist by K. Middleton),2,32-38,,
7:30.0,,,32-38,,A. Nicholson misses 2-pt shot from 8 ft
7:28.0,Defensive rebound by G. Antetokounmpo,,32-38,,
7:17.0,J. Henson misses 2-pt shot from 3 ft (block by J. Smith),,32-38,,
7:14.0,Offensive rebound by J. Henson,,32-38,,
7:11.0,G. Vasquez makes 2-pt shot from 11 ft,2,34-38,,
6:58.0,Personal foul by G. Vasquez,,34-38,,
6:58.0,,,34-38,,E. Fournier enters the game for D. Marble
6:50.0,,,34-38,,E. Payton enters the game for C. Watson
6:50.0,,,34-40,2,J. Smith makes 2-pt shot at rim (assist by E. Payton)
6:38.0,K. Middleton misses 2-pt shot from 3 ft (block by J. Smith),,34-40,,
6:38.0,Jump ball: K. Middleton vs. J. Smith (M. Plumlee gains possession),,,,Jump ball: K. Middleton vs. J. Smith (M. Plumlee gains possession)
6:38.0,Offensive rebound by Team,,34-40,,
6:31.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,34-40,,
6:28.0,,,34-40,,Defensive rebound by E. Payton
6:19.0,Violation by J. Henson (def goaltending),,34-40,,
6:19.0,,,34-42,2,M. Hezonja makes 2-pt shot from 4 ft
6:05.0,K. Middleton misses 3-pt shot from 25 ft,,34-42,,
6:04.0,,,34-42,,Defensive rebound by E. Fournier
5:54.0,,,34-42,,M. Hezonja misses 3-pt shot from 25 ft
5:53.0,Defensive rebound by K. Middleton,,34-42,,
5:35.0,Turnover by J. Henson (lost ball; steal by M. Hezonja),,34-42,,
5:23.0,,,34-44,2,J. Smith makes 2-pt shot from 20 ft (assist by E. Payton)
5:23.0,Milwaukee full timeout,,34-44,,
5:23.0,,,34-44,,E. Ilyasova enters the game for A. Nicholson
5:23.0,T. Ennis enters the game for M. Plumlee,,34-44,,
5:23.0,J. Parker enters the game for G. Vasquez,,34-44,,
5:23.0,G. Monroe enters the game for J. Henson,,34-44,,
4:59.0,Turnover by T. Ennis (lost ball; steal by E. Payton),,34-44,,
4:53.0,,,34-44,,Turnover by E. Payton (lost ball; steal by K. Middleton)
4:48.0,Turnover by T. Ennis (lost ball; steal by J. Smith),,34-44,,
4:37.0,,,34-46,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by M. Hezonja)
4:24.0,K. Middleton makes 2-pt shot from 1 ft,2,36-46,,
4:02.0,,,36-48,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by E. Payton)
3:43.0,J. Parker makes 2-pt shot from 18 ft (assist by G. Monroe),2,38-48,,
3:24.0,,,38-48,,J. Smith misses 2-pt shot from 7 ft
3:23.0,Defensive rebound by K. Middleton,,38-48,,
3:16.0,K. Middleton makes 2-pt shot from 11 ft,2,40-48,,
2:57.0,,,40-48,,Offensive charge foul by M. Hezonja
2:57.0,,,40-48,,Turnover by M. Hezonja (offensive foul)
2:57.0,,,40-48,,Orlando full timeout
2:57.0,,,40-48,,D. Dedmon enters the game for M. Hezonja
2:57.0,,,40-48,,D. Marble enters the game for J. Smith
2:40.0,K. Middleton makes 2-pt shot from 8 ft,2,42-48,,
2:28.0,,,42-48,,E. Fournier misses 3-pt shot from 25 ft
2:26.0,,,42-48,,Offensive rebound by D. Dedmon
2:24.0,,,42-48,,D. Dedmon misses 2-pt shot at rim
2:24.0,,,42-48,,Offensive rebound by D. Dedmon
2:24.0,,,42-48,,Shooting foul by K. Middleton (drawn by D. Dedmon)
2:24.0,,,42-49,1,D. Dedmon makes free throw 1 of 2
2:24.0,,,42-50,1,D. Dedmon makes free throw 2 of 2
2:12.0,J. Parker misses 2-pt shot from 1 ft (block by D. Dedmon),,42-50,,
2:09.0,,,42-50,,Defensive rebound by E. Ilyasova
2:04.0,,,42-52,2,E. Ilyasova makes 2-pt shot at rim
1:49.0,Offensive foul by K. Middleton,,42-52,,
1:49.0,Turnover by K. Middleton (offensive foul),,42-52,,
1:38.0,,,42-55,3,D. Marble makes 3-pt shot from 25 ft (assist by E. Payton)
1:25.0,J. Parker makes 2-pt shot from 2 ft,2,44-55,,
1:10.0,,,44-57,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by E. Payton)
0:54.0,Turnover by K. Middleton (lost ball; steal by D. Dedmon),,44-57,,
0:45.0,,,44-57,,D. Marble misses 3-pt shot from 24 ft
0:43.0,Defensive rebound by G. Antetokounmpo,,44-57,,
0:37.0,,,44-57,,Shooting block foul by D. Dedmon (drawn by G. Antetokounmpo)
0:37.0,G. Antetokounmpo misses free throw 1 of 2,,44-57,,
0:37.0,Offensive rebound by Team,,44-57,,
0:37.0,,,44-57,,J. Smith enters the game for D. Dedmon
0:37.0,G. Antetokounmpo misses free throw 2 of 2,,44-57,,
0:35.0,,,44-57,,Defensive rebound by E. Fournier
0:20.0,,,44-57,,Shooting foul by T. Ennis (drawn by E. Payton)
0:20.0,,,44-58,1,E. Payton makes free throw 1 of 2
0:20.0,,,44-58,,E. Payton misses free throw 2 of 2
0:19.0,Defensive rebound by J. Parker,,44-58,,
0:04.0,Turnover by K. Middleton (lost ball; steal by E. Fournier),,44-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,Turnover by G. Antetokounmpo (lost ball; steal by D. Dedmon),,44-58,,
11:44.0,,,44-60,2,E. Ilyasova makes 2-pt shot from 16 ft (assist by M. Hezonja)
11:24.0,G. Monroe makes 2-pt shot from 8 ft,2,46-60,,
11:04.0,,,46-60,,Turnover by M. Hezonja (lost ball; steal by G. Monroe)
10:57.0,J. Parker misses 3-pt shot from 25 ft,,46-60,,
10:56.0,,,46-60,,Defensive rebound by E. Payton
10:48.0,,,46-62,2,E. Payton makes 2-pt shot from 5 ft
10:22.0,G. Monroe makes 2-pt shot from 6 ft,2,48-62,,
10:12.0,,,48-62,,Turnover by E. Payton (lost ball; steal by G. Antetokounmpo)
10:11.0,,,48-62,,Personal foul by E. Payton
9:55.0,R. Vaughn misses 3-pt shot from 23 ft,,48-62,,
9:54.0,,,48-62,,Defensive rebound by D. Dedmon
9:44.0,,,48-64,2,E. Ilyasova makes 2-pt shot from 10 ft (assist by E. Payton)
9:26.0,K. Middleton makes 2-pt shot from 8 ft,2,50-64,,
9:03.0,,,50-64,,D. Dedmon misses 2-pt shot from 1 ft
9:01.0,Defensive rebound by G. Monroe,,50-64,,
8:58.0,Turnover by K. Middleton (lost ball; steal by E. Payton),,50-64,,
8:47.0,,,50-66,2,E. Fournier makes 2-pt shot from 2 ft (assist by M. Hezonja)
8:38.0,J. Parker makes 2-pt shot from 20 ft,2,52-66,,
8:17.0,,,52-66,,D. Dedmon misses 2-pt shot from 5 ft
8:16.0,Defensive rebound by G. Monroe,,52-66,,
8:10.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,54-66,,
7:58.0,,,54-68,2,E. Payton makes 2-pt shot at rim
7:39.0,K. Middleton misses 3-pt shot from 27 ft,,54-68,,
7:38.0,Offensive rebound by G. Antetokounmpo,,54-68,,
7:38.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,56-68,,
7:22.0,,,56-68,,D. Dedmon misses 2-pt shot from 17 ft
7:20.0,,,56-68,,Offensive rebound by M. Hezonja
7:16.0,,,56-71,3,M. Hezonja makes 3-pt shot from 26 ft
6:57.0,,,56-71,,Shooting block foul by E. Ilyasova (drawn by J. Parker)
6:57.0,J. Parker misses free throw 1 of 2,,56-71,,
6:57.0,Offensive rebound by Team,,56-71,,
6:57.0,J. Parker makes free throw 2 of 2,1,57-71,,
6:44.0,,,57-74,3,E. Ilyasova makes 3-pt shot from 23 ft (assist by E. Payton)
6:26.0,Turnover by K. Middleton (lost ball; steal by D. Dedmon),,57-74,,
6:20.0,,,57-74,,D. Dedmon misses 2-pt shot from 1 ft (block by G. Monroe)
6:16.0,,,57-74,,Offensive rebound by D. Dedmon
6:15.0,,,57-76,2,D. Dedmon makes 2-pt shot from 1 ft
5:53.0,Turnover by G. Antetokounmpo (step out of bounds),,57-76,,
5:53.0,,,57-76,,Orlando full timeout
5:53.0,T. Ennis enters the game for K. Middleton,,57-76,,
5:40.0,,,57-76,,E. Fournier misses 3-pt shot from 27 ft
5:39.0,Defensive rebound by T. Ennis,,57-76,,
5:28.0,Offensive foul by G. Antetokounmpo,,57-76,,
5:28.0,Turnover by G. Antetokounmpo (offensive foul),,57-76,,
5:13.0,,,57-76,,E. Payton misses 2-pt shot from 6 ft
5:12.0,Defensive rebound by G. Antetokounmpo,,57-76,,
4:57.0,J. Parker misses 2-pt shot from 15 ft,,57-76,,
4:54.0,,,57-76,,Defensive rebound by E. Payton
4:48.0,Personal foul by R. Vaughn,,57-76,,
4:35.0,,,57-76,,Shooting foul by G. Antetokounmpo (drawn by D. Dedmon)
4:35.0,,,57-76,,D. Dedmon misses free throw 1 of 2
4:35.0,,,57-76,,Offensive rebound by Team
4:35.0,,,57-77,1,D. Dedmon makes free throw 2 of 2
4:18.0,,,57-77,,Violation by D. Dedmon (kicked ball)
4:07.0,Shooting foul by D. Dedmon (drawn by G. Monroe),,57-77,,
4:07.0,G. Monroe makes free throw 1 of 2,1,58-77,,
4:07.0,G. Monroe makes free throw 2 of 2,1,59-77,,
3:55.0,,,59-77,,E. Payton misses 3-pt shot from 24 ft
3:54.0,Defensive rebound by G. Monroe,,59-77,,
3:38.0,G. Monroe misses 2-pt shot from 1 ft,,59-77,,
3:35.0,Offensive rebound by G. Antetokounmpo,,59-77,,
3:35.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,61-77,,
3:32.0,,,61-77,,Shooting foul by T. Ennis (drawn by E. Payton)
3:32.0,,,61-77,,E. Payton misses free throw 1 of 2
3:32.0,,,61-77,,Offensive rebound by Team
3:32.0,,,61-77,,J. Smith enters the game for D. Dedmon
3:32.0,,,61-77,,D. Marble enters the game for M. Hezonja
3:32.0,,,61-78,1,E. Payton makes free throw 2 of 2
3:15.0,G. Monroe makes 2-pt shot from 2 ft,2,63-78,,
2:49.0,,,63-78,,J. Smith misses 2-pt shot from 17 ft
2:48.0,Defensive rebound by G. Antetokounmpo,,63-78,,
2:41.0,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo),2,65-78,,
2:23.0,,,65-78,,Shooting foul by G. Antetokounmpo (drawn by E. Fournier)
2:23.0,Milwaukee full timeout,,65-78,,
2:23.0,,,65-78,,C. Watson enters the game for E. Payton
2:23.0,,,65-79,1,E. Fournier makes free throw 1 of 2
2:23.0,,,65-80,1,E. Fournier makes free throw 2 of 2
2:08.0,T. Ennis makes 2-pt shot from 1 ft (assist by G. Monroe),2,67-80,,
1:47.0,,,67-80,,Turnover by E. Fournier (lost ball; steal by G. Monroe)
1:42.0,J. Parker makes 2-pt shot at rim,2,69-80,,
1:26.0,,,69-82,2,D. Marble makes 2-pt shot at rim (assist by C. Watson)
1:10.0,T. Ennis makes 2-pt shot from 12 ft,2,71-82,,
0:52.0,,,71-85,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by C. Watson)
0:41.0,T. Ennis makes 2-pt shot from 11 ft,2,73-85,,
0:17.0,,,73-85,,E. Fournier misses 3-pt shot from 26 ft
0:16.0,Defensive rebound by T. Ennis,,73-85,,
0:06.0,,,73-85,,Personal take foul by C. Watson
0:03.0,J. Parker misses 2-pt shot from 5 ft (block by J. Smith),,73-85,,
0:01.0,,,73-85,,Defensive rebound by E. Fournier
0:00.0,,,73-85,,E. Fournier misses 3-pt shot from 69 ft
0:00.0,,,73-85,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,73-85,,Turnover by C. Watson (lost ball; steal by K. Middleton)
11:45.0,K. Middleton makes 2-pt shot from 2 ft,2,75-85,,
11:31.0,,,75-87,2,C. Watson makes 2-pt shot from 15 ft (assist by D. Marble)
11:15.0,G. Vasquez misses 2-pt shot from 16 ft,,75-87,,
11:13.0,,,75-87,,Defensive rebound by A. Nicholson
10:50.0,,,75-87,,D. Marble misses 2-pt shot from 2 ft
10:47.0,,,75-87,,Offensive rebound by A. Nicholson
10:47.0,,,75-87,,A. Nicholson misses 2-pt shot from 1 ft
10:46.0,Defensive rebound by G. Vasquez,,75-87,,
10:32.0,G. Vasquez misses 3-pt shot from 26 ft,,75-87,,
10:31.0,,,75-87,,Defensive rebound by M. Hezonja
10:14.0,,,75-89,2,C. Watson makes 2-pt shot from 15 ft
9:47.0,K. Middleton makes 2-pt shot from 10 ft (assist by G. Vasquez),2,77-89,,
9:31.0,,,77-89,,D. Marble misses 3-pt shot from 24 ft
9:30.0,Defensive rebound by J. Henson,,77-89,,
9:22.0,T. Ennis makes 2-pt shot from 1 ft (assist by G. Vasquez),2,79-89,,
9:07.0,,,79-91,2,C. Watson makes 2-pt shot from 14 ft (assist by J. Smith)
8:46.0,J. Henson makes 2-pt shot at rim (assist by K. Middleton),2,81-91,,
8:26.0,,,81-91,,A. Nicholson misses 3-pt shot from 22 ft
8:25.0,,,81-91,,Offensive rebound by D. Marble
8:24.0,,,81-91,,Shooting foul by G. Vasquez (drawn by D. Marble)
8:24.0,Official timeout,,81-91,,
8:24.0,,,81-91,,D. Marble misses free throw 1 of 2
8:24.0,,,81-91,,Offensive rebound by Team
8:24.0,,,81-91,,D. Marble misses free throw 2 of 2
8:22.0,Defensive rebound by K. Middleton,,81-91,,
8:02.0,J. Henson misses 2-pt shot from 1 ft,,81-91,,
7:58.0,Offensive rebound by G. Vasquez,,81-91,,
7:56.0,G. Vasquez makes 3-pt shot from 26 ft,3,84-91,,
7:37.0,,,84-91,,Shooting foul by J. Henson (drawn by D. Marble)
7:37.0,,,84-92,1,D. Marble makes free throw 1 of 2
7:37.0,,,84-92,,E. Ilyasova enters the game for A. Nicholson
7:37.0,,,84-92,,D. Marble misses free throw 2 of 2
7:36.0,Defensive rebound by M. Plumlee,,84-92,,
7:21.0,G. Vasquez misses 3-pt shot from 26 ft,,84-92,,
7:20.0,,,84-92,,Defensive rebound by E. Ilyasova
7:01.0,,,84-92,,D. Marble misses 2-pt shot from 16 ft
7:00.0,Defensive rebound by J. Henson,,84-92,,
6:44.0,M. Plumlee makes 2-pt shot from 7 ft (assist by K. Middleton),2,86-92,,
6:44.0,,,86-92,,Orlando full timeout
6:44.0,,,86-92,,E. Payton enters the game for C. Watson
6:44.0,,,86-92,,E. Fournier enters the game for D. Marble
6:22.0,,,86-92,,J. Smith misses 2-pt shot from 18 ft
6:20.0,,,86-92,,Offensive rebound by E. Ilyasova
6:20.0,,,86-92,,E. Ilyasova misses 2-pt shot from 1 ft
6:18.0,Defensive rebound by K. Middleton,,86-92,,
6:09.0,T. Ennis makes 2-pt shot from 4 ft (assist by K. Middleton),2,88-92,,
5:57.0,,,88-94,2,J. Smith makes 2-pt shot from 18 ft (assist by E. Payton)
5:42.0,M. Plumlee makes 2-pt shot at rim (assist by T. Ennis),2,90-94,,
5:30.0,,,90-97,3,M. Hezonja makes 3-pt shot from 25 ft (assist by E. Payton)
5:10.0,Turnover by T. Ennis (lost ball; steal by M. Hezonja),,90-97,,
5:05.0,,,90-97,,M. Hezonja misses 2-pt shot from 1 ft (block by M. Plumlee)
5:03.0,,,90-97,,Offensive rebound by E. Ilyasova
5:03.0,,,90-97,,E. Ilyasova misses 2-pt shot from 1 ft
5:03.0,Defensive rebound by Team,,90-97,,
4:51.0,K. Middleton misses 2-pt shot from 16 ft,,90-97,,
4:50.0,,,90-97,,Defensive rebound by J. Smith
4:43.0,Personal foul by G. Vasquez,,90-97,,
4:33.0,,,90-97,,J. Smith misses 2-pt shot from 16 ft
4:32.0,Defensive rebound by K. Middleton,,90-97,,
4:16.0,Turnover by J. Henson (lost ball; steal by E. Ilyasova),,90-97,,
4:12.0,,,90-97,,Shooting foul by T. Ennis (drawn by E. Payton)
4:12.0,,,90-97,,E. Payton misses free throw 1 of 2
4:12.0,,,90-97,,Offensive rebound by Team
4:12.0,R. Vaughn enters the game for G. Vasquez,,90-97,,
4:12.0,,,90-98,1,E. Payton makes free throw 2 of 2
4:01.0,T. Ennis misses 2-pt shot from 1 ft,,90-98,,
4:01.0,,,90-98,,Defensive rebound by Team
4:01.0,Loose ball foul by J. Henson,,90-98,,
4:01.0,,,90-99,1,J. Smith makes free throw 1 of 2
4:01.0,J. Parker enters the game for T. Ennis,,90-99,,
4:01.0,G. Antetokounmpo enters the game for J. Henson,,90-99,,
4:01.0,,,90-100,1,J. Smith makes free throw 2 of 2
3:52.0,G. Antetokounmpo makes 3-pt shot from 25 ft (assist by K. Middleton),3,93-100,,
3:35.0,,,93-100,,E. Fournier misses 2-pt shot at rim (block by G. Antetokounmpo)
3:33.0,Defensive rebound by G. Antetokounmpo,,93-100,,
3:25.0,Shooting foul by E. Ilyasova (drawn by K. Middleton),,93-100,,
3:25.0,K. Middleton makes free throw 1 of 3,1,94-100,,
3:25.0,K. Middleton makes free throw 2 of 3,1,95-100,,
3:25.0,K. Middleton makes free throw 3 of 3,1,96-100,,
3:12.0,,,96-100,,E. Payton misses 2-pt shot from 1 ft
3:11.0,Defensive rebound by M. Plumlee,,96-100,,
2:49.0,J. Parker misses 3-pt shot from 25 ft,,96-100,,
2:47.0,,,96-100,,Defensive rebound by M. Hezonja
2:25.0,,,96-103,3,M. Hezonja makes 3-pt shot from 22 ft (assist by E. Fournier)
2:24.0,Milwaukee full timeout,,96-103,,
2:10.0,R. Vaughn makes 2-pt shot from 8 ft (assist by G. Antetokounmpo),2,98-103,,
1:52.0,,,98-103,,E. Fournier misses 3-pt shot from 23 ft
1:51.0,Defensive rebound by M. Plumlee,,98-103,,
1:43.0,Turnover by J. Parker (lost ball; steal by M. Hezonja),,98-103,,
1:29.0,,,98-103,,E. Payton misses 2-pt shot from 1 ft (block by R. Vaughn)
1:27.0,Defensive rebound by M. Plumlee,,98-103,,
1:15.0,Turnover by J. Parker (lost ball; steal by J. Smith),,98-103,,
1:15.0,Loose ball foul by J. Parker,,98-103,,
1:15.0,,,98-104,1,M. Hezonja makes free throw 1 of 2
