time,Chicago,pts.away,score,pts.home,Atlanta
3:09.0,Turnover by A. Brooks (bad pass),,15-20,,
2:59.0,,,15-22,2,M. Muscala makes 2-pt shot from 17 ft (assist by D. Schroder)
2:41.0,B. Portis makes 2-pt shot from 17 ft (assist by J. Holiday),2,17-22,,
2:32.0,,,17-22,,P. Millsap misses 2-pt shot from 6 ft
2:30.0,Defensive rebound by P. Gasol,,17-22,,
2:21.0,P. Gasol makes 2-pt shot from 15 ft (assist by J. Holiday),2,19-22,,
2:06.0,,,19-22,,D. Schroder misses 2-pt shot from 17 ft
2:04.0,Defensive rebound by P. Gasol,,19-22,,
1:57.0,D. McDermott misses 2-pt shot from 8 ft,,19-22,,
1:56.0,,,19-22,,Defensive rebound by T. Hardaway
1:45.0,,,19-22,,Turnover by P. Millsap (traveling)
1:45.0,,,19-22,,A. Horford enters the game for M. Muscala
1:45.0,,,19-22,,M. Scott enters the game for P. Millsap
1:24.0,D. McDermott misses 3-pt shot from 24 ft,,19-22,,
1:23.0,,,19-22,,Defensive rebound by T. Hardaway
1:06.0,,,19-24,2,A. Horford makes 2-pt shot from 17 ft (assist by D. Schroder)
0:52.0,A. Brooks misses 2-pt shot from 2 ft (block by D. Schroder),,19-24,,
0:50.0,,,19-24,,Defensive rebound by D. Schroder
0:43.0,,,19-24,,A. Horford misses 3-pt shot from 24 ft
0:41.0,,,19-24,,Offensive rebound by T. Sefolosha
0:34.0,,,19-26,2,D. Schroder makes 2-pt shot from 19 ft
0:26.0,,,19-26,,Personal foul by T. Sefolosha (drawn by D. McDermott)
0:26.0,C. Felicio enters the game for P. Gasol,,19-26,,
0:17.0,B. Portis makes 2-pt shot from 15 ft (assist by A. Brooks),2,21-26,,
0:08.0,Personal take foul by J. Holiday (drawn by D. Schroder),,21-26,,
0:08.0,,,21-26,,K. Korver enters the game for T. Sefolosha
0:02.0,,,21-26,,T. Hardaway misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by B. Portis,,21-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,Offensive foul by B. Portis,,21-26,,
11:38.0,Turnover by B. Portis (offensive foul),,21-26,,
11:23.0,,,21-26,,D. Schroder misses 2-pt shot from 19 ft
11:21.0,,,21-26,,Offensive rebound by Team
11:19.0,,,21-28,2,T. Sefolosha makes 2-pt shot from 2 ft (assist by T. Hardaway)
10:58.0,C. Felicio misses 2-pt shot from 20 ft,,21-28,,
10:55.0,,,21-28,,Defensive rebound by M. Scott
10:43.0,,,21-30,2,D. Schroder makes 2-pt shot from 1 ft
10:27.0,Shooting foul by M. Scott (drawn by B. Portis),,21-30,,
10:27.0,B. Portis makes free throw 1 of 2,1,22-30,,
10:27.0,E. Moore enters the game for A. Brooks,,22-30,,
10:27.0,B. Portis makes free throw 2 of 2,1,23-30,,
10:12.0,,,23-30,,T. Sefolosha misses 3-pt shot from 23 ft
10:10.0,Defensive rebound by C. Felicio,,23-30,,
9:57.0,Turnover by E. Moore (bad pass; steal by M. Scott),,23-30,,
9:52.0,,,23-32,2,T. Hardaway makes 2-pt shot from 3 ft (assist by M. Scott)
9:24.0,Turnover by Team (shot clock),,23-32,,
9:24.0,T. Gibson enters the game for C. Felicio,,23-32,,
9:10.0,,,23-32,,Turnover by D. Schroder (bad pass; steal by B. Portis)
8:58.0,B. Portis misses 2-pt shot from 10 ft,,23-32,,
8:57.0,,,23-32,,Defensive rebound by T. Hardaway
8:52.0,,,23-32,,Shooting foul by J. Holiday (drawn by D. Schroder)
8:52.0,Official timeout,,23-32,,
8:52.0,,,23-32,,K. Bazemore enters the game for T. Sefolosha
8:52.0,,,23-33,1,D. Schroder makes free throw 1 of 2
8:52.0,,,23-34,1,D. Schroder makes free throw 2 of 2
8:31.0,Turnover by E. Moore (lost ball; steal by A. Horford),,23-34,,
8:24.0,,,23-34,,K. Bazemore misses 3-pt shot from 23 ft
8:23.0,Defensive rebound by D. McDermott,,23-34,,
8:14.0,B. Portis misses 2-pt shot from 2 ft (block by A. Horford),,23-34,,
8:10.0,Offensive rebound by D. McDermott,,23-34,,
7:58.0,Turnover by T. Gibson (bad pass; steal by T. Hardaway),,23-34,,
7:50.0,,,23-34,,K. Bazemore misses 3-pt shot from 23 ft
7:49.0,Defensive rebound by D. McDermott,,23-34,,
7:42.0,J. Holiday misses 2-pt shot from 22 ft,,23-34,,
7:39.0,,,23-34,,Defensive rebound by T. Hardaway
7:19.0,,,23-36,2,M. Scott makes 2-pt shot at rim (assist by A. Horford)
7:04.0,E. Moore makes 2-pt shot from 18 ft,2,25-36,,
6:47.0,,,25-38,2,K. Bazemore makes 2-pt shot from 1 ft (assist by A. Horford)
6:31.0,T. Gibson misses 2-pt shot from 13 ft,,25-38,,
6:29.0,Offensive rebound by B. Portis,,25-38,,
6:28.0,B. Portis misses 2-pt shot at rim,,25-38,,
6:27.0,Offensive rebound by T. Gibson,,25-38,,
6:23.0,D. McDermott misses 3-pt shot from 25 ft,,25-38,,
6:22.0,Offensive rebound by B. Portis,,25-38,,
6:20.0,,,25-38,,Shooting block foul by T. Hardaway (drawn by D. McDermott)
6:20.0,D. McDermott makes free throw 1 of 2,1,26-38,,
6:20.0,,,26-38,,J. Teague enters the game for A. Horford
6:20.0,,,26-38,,K. Korver enters the game for T. Hardaway
6:20.0,,,26-38,,P. Millsap enters the game for D. Schroder
6:20.0,,,26-38,,M. Muscala enters the game for M. Scott
6:20.0,M. Dunleavy enters the game for J. Holiday,,26-38,,
6:20.0,D. McDermott makes free throw 2 of 2,1,27-38,,
6:01.0,,,27-38,,P. Millsap misses 2-pt shot from 12 ft (block by T. Gibson)
5:58.0,Defensive rebound by B. Portis,,27-38,,
5:49.0,B. Portis misses 3-pt shot from 25 ft,,27-38,,
5:47.0,,,27-38,,Defensive rebound by K. Korver
5:35.0,,,27-40,2,M. Muscala makes 2-pt shot from 2 ft (assist by J. Teague)
5:20.0,E. Moore makes 2-pt shot from 17 ft,2,29-40,,
5:11.0,,,29-42,2,J. Teague makes 2-pt shot from 1 ft
5:10.0,Chicago full timeout,,29-42,,
5:10.0,A. Brooks enters the game for E. Moore,,29-42,,
5:10.0,P. Gasol enters the game for B. Portis,,29-42,,
5:00.0,M. Dunleavy misses 2-pt shot from 2 ft (block by P. Millsap),,29-42,,
4:58.0,,,29-42,,Defensive rebound by K. Bazemore
4:48.0,,,29-44,2,P. Millsap makes 2-pt shot at rim (assist by M. Muscala)
4:39.0,Turnover by P. Gasol (bad pass),,29-44,,
4:31.0,,,29-44,,J. Teague misses 3-pt shot from 25 ft
4:31.0,Defensive rebound by Team,,29-44,,
4:22.0,,,29-44,,Personal foul by J. Teague (drawn by P. Gasol)
4:12.0,Turnover by A. Brooks (bad pass; steal by M. Muscala),,29-44,,
4:04.0,,,29-44,,K. Korver misses 3-pt shot from 24 ft
4:03.0,Defensive rebound by M. Dunleavy,,29-44,,
3:46.0,D. McDermott misses 2-pt shot from 11 ft,,29-44,,
3:45.0,Offensive rebound by D. McDermott,,29-44,,
3:43.0,D. McDermott misses 2-pt shot from 1 ft (block by P. Millsap),,29-44,,
3:42.0,Offensive rebound by P. Gasol,,29-44,,
3:42.0,P. Gasol misses 2-pt shot at rim,,29-44,,
3:42.0,Offensive rebound by D. McDermott,,29-44,,
3:42.0,Shooting foul by K. Korver (drawn by D. McDermott),,29-44,,
3:42.0,D. McDermott makes free throw 1 of 2,1,30-44,,
3:42.0,,,30-44,,A. Horford enters the game for M. Muscala
3:42.0,D. McDermott makes free throw 2 of 2,1,31-44,,
3:31.0,,,31-44,,P. Millsap misses 2-pt shot from 1 ft
3:29.0,Defensive rebound by P. Gasol,,31-44,,
3:20.0,A. Brooks makes 2-pt shot from 1 ft,2,33-44,,
3:12.0,,,33-46,2,A. Horford makes 2-pt shot from 19 ft (assist by J. Teague)
2:55.0,D. McDermott makes 2-pt shot from 2 ft (assist by T. Gibson),2,35-46,,
2:41.0,,,35-46,,K. Bazemore misses 2-pt shot from 3 ft (block by M. Dunleavy)
2:41.0,,,35-46,,Offensive rebound by Team
2:41.0,,,35-46,,Atlanta full timeout
2:41.0,,,35-46,,Shooting foul by A. Brooks (drawn by J. Teague)
2:41.0,,,35-47,1,J. Teague makes free throw 1 of 2
2:41.0,,,35-48,1,J. Teague makes free throw 2 of 2
2:26.0,P. Gasol misses 2-pt shot from 2 ft,,35-48,,
2:25.0,Offensive rebound by Team,,35-48,,
2:23.0,P. Gasol misses 2-pt shot from 19 ft,,35-48,,
2:21.0,,,35-48,,Defensive rebound by K. Bazemore
2:04.0,,,35-48,,K. Bazemore misses 3-pt shot from 23 ft
2:03.0,Defensive rebound by M. Dunleavy,,35-48,,
1:50.0,T. Gibson makes 2-pt shot at rim (assist by P. Gasol),2,37-48,,
1:43.0,Personal foul by T. Gibson (drawn by P. Millsap),,37-48,,
1:43.0,,,37-48,,T. Hardaway enters the game for K. Bazemore
1:29.0,,,37-48,,P. Millsap misses 2-pt shot from 6 ft
1:27.0,Defensive rebound by M. Dunleavy,,37-48,,
1:19.0,M. Dunleavy makes 3-pt shot from 24 ft (assist by A. Brooks),3,40-48,,
1:05.0,,,40-48,,Turnover by J. Teague (bad pass; steal by M. Dunleavy)
1:00.0,D. McDermott makes 2-pt shot at rim (assist by M. Dunleavy),2,42-48,,
1:00.0,,,42-48,,Atlanta full timeout
0:43.0,,,42-48,,Turnover by P. Millsap (bad pass)
0:36.0,P. Gasol misses 2-pt shot from 9 ft,,42-48,,
0:33.0,,,42-48,,Defensive rebound by K. Korver
0:30.0,,,42-48,,K. Korver misses 2-pt shot from 24 ft
0:28.0,,,42-48,,Offensive rebound by T. Hardaway
0:26.0,,,42-51,3,T. Hardaway makes 3-pt shot from 25 ft
0:05.0,M. Dunleavy misses 3-pt shot from 23 ft,,42-51,,
0:03.0,Offensive rebound by Team,,42-51,,
0:03.0,,,42-51,,Atlanta full timeout
0:03.0,,,42-51,,K. Bazemore enters the game for K. Korver
0:03.0,,,42-51,,T. Sefolosha enters the game for J. Teague
0:03.0,,,42-51,,D. Schroder enters the game for T. Hardaway
0:03.0,E. Moore enters the game for A. Brooks,,42-51,,
0:01.0,D. McDermott makes 2-pt shot from 19 ft (assist by E. Moore),2,44-51,,
0:00.0,,,44-51,,K. Bazemore misses 3-pt shot from 49 ft
0:00.0,,,44-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,M. Dunleavy misses 3-pt shot from 24 ft,,44-51,,
11:42.0,Offensive rebound by P. Gasol,,44-51,,
11:41.0,P. Gasol makes 2-pt shot from 1 ft,2,46-51,,
11:31.0,,,46-51,,Turnover by A. Horford (offensive foul)
11:31.0,,,46-51,,Offensive foul by A. Horford
11:14.0,T. Gibson misses 2-pt shot from 16 ft,,46-51,,
11:13.0,,,46-51,,Defensive rebound by K. Bazemore
11:04.0,,,46-51,,Shooting foul by T. Snell (drawn by K. Bazemore)
11:04.0,,,46-52,1,K. Bazemore makes free throw 1 of 2
11:04.0,,,46-53,1,K. Bazemore makes free throw 2 of 2
10:43.0,T. Snell misses 2-pt shot from 1 ft (block by K. Korver),,46-53,,
10:43.0,Offensive rebound by Team,,46-53,,
10:41.0,P. Gasol misses 2-pt shot from 19 ft,,46-53,,
10:39.0,,,46-53,,Defensive rebound by A. Horford
10:31.0,,,46-53,,K. Bazemore misses 3-pt shot from 25 ft
10:29.0,Defensive rebound by T. Gibson,,46-53,,
10:25.0,Turnover by E. Moore (bad pass; steal by K. Bazemore),,46-53,,
10:21.0,,,46-55,2,K. Bazemore makes 2-pt shot from 1 ft
10:07.0,Shooting foul by K. Bazemore (drawn by M. Dunleavy),,46-55,,
10:07.0,M. Dunleavy misses free throw 1 of 2,,46-55,,
10:07.0,Offensive rebound by Team,,46-55,,
10:07.0,M. Dunleavy makes free throw 2 of 2,1,47-55,,
9:54.0,,,47-57,2,K. Korver makes 2-pt shot from 3 ft (assist by J. Teague)
9:46.0,,,47-57,,Personal foul by P. Millsap (drawn by T. Gibson)
9:38.0,P. Gasol misses 2-pt shot from 8 ft,,47-57,,
9:38.0,Offensive rebound by T. Gibson,,47-57,,
9:38.0,T. Gibson makes 2-pt shot from 1 ft,2,49-57,,
9:38.0,Shooting foul by K. Bazemore (drawn by T. Gibson),,49-57,,
9:38.0,T. Gibson makes free throw 1 of 1,1,50-57,,
9:26.0,,,50-57,,J. Teague misses 2-pt shot from 3 ft
9:23.0,Defensive rebound by P. Gasol,,50-57,,
9:09.0,Turnover by T. Gibson (lost ball),,50-57,,
8:47.0,,,50-60,3,A. Horford makes 3-pt shot from 24 ft (assist by J. Teague)
8:34.0,,,50-60,,Def 3 sec tech foul by K. Bazemore
8:34.0,M. Dunleavy misses technical free throw,,50-60,,
8:34.0,Offensive rebound by Team,,50-60,,
8:30.0,E. Moore misses 2-pt shot from 5 ft,,50-60,,
8:27.0,,,50-60,,Defensive rebound by P. Millsap
8:12.0,,,50-63,3,K. Korver makes 3-pt shot from 23 ft (assist by P. Millsap)
8:10.0,Chicago full timeout,,50-63,,
7:52.0,E. Moore misses 2-pt shot from 21 ft,,50-63,,
7:50.0,Offensive rebound by P. Gasol,,50-63,,
7:49.0,P. Gasol makes 2-pt shot at rim,2,52-63,,
7:38.0,,,52-63,,Shooting foul by E. Moore (drawn by J. Teague)
7:38.0,,,52-64,1,J. Teague makes free throw 1 of 2
7:38.0,,,52-65,1,J. Teague makes free throw 2 of 2
7:19.0,,,52-65,,Personal foul by K. Bazemore (drawn by E. Moore)
7:06.0,P. Gasol misses 3-pt shot from 25 ft,,52-65,,
7:04.0,,,52-65,,Defensive rebound by K. Bazemore
6:57.0,,,52-65,,K. Bazemore misses 2-pt shot from 1 ft
6:56.0,Defensive rebound by P. Gasol,,52-65,,
6:50.0,T. Snell misses 2-pt shot from 6 ft,,52-65,,
6:48.0,Offensive rebound by T. Snell,,52-65,,
6:47.0,T. Snell makes 2-pt shot at rim,2,54-65,,
6:35.0,,,54-67,2,A. Horford makes 2-pt shot from 18 ft (assist by J. Teague)
6:16.0,Loose ball foul by T. Gibson (drawn by K. Bazemore),,54-67,,
6:16.0,Turnover by T. Gibson (offensive foul),,54-67,,
6:16.0,,,54-67,,T. Sefolosha enters the game for K. Bazemore
6:00.0,,,54-69,2,J. Teague makes 2-pt shot from 1 ft
5:40.0,T. Snell misses 2-pt shot from 12 ft (block by A. Horford),,54-69,,
5:38.0,,,54-69,,Defensive rebound by P. Millsap
5:26.0,,,54-72,3,J. Teague makes 3-pt shot from 24 ft
5:26.0,Chicago full timeout,,54-72,,
5:26.0,,,54-72,,M. Muscala enters the game for A. Horford
5:26.0,D. McDermott enters the game for M. Dunleavy,,54-72,,
5:26.0,J. Holiday enters the game for T. Gibson,,54-72,,
5:26.0,A. Brooks enters the game for T. Snell,,54-72,,
5:26.0,B. Portis enters the game for E. Moore,,54-72,,
5:09.0,Shooting foul by M. Muscala (drawn by P. Gasol),,54-72,,
5:09.0,P. Gasol makes free throw 1 of 2,1,55-72,,
5:09.0,P. Gasol misses free throw 2 of 2,,55-72,,
5:07.0,,,55-72,,Defensive rebound by T. Sefolosha
4:57.0,,,55-72,,K. Korver misses 2-pt shot at rim
4:51.0,Defensive rebound by P. Gasol,,55-72,,
4:48.0,J. Holiday misses 2-pt shot from 18 ft,,55-72,,
4:47.0,,,55-72,,Defensive rebound by P. Millsap
4:29.0,,,55-72,,T. Sefolosha misses 2-pt shot from 20 ft
4:27.0,Defensive rebound by A. Brooks,,55-72,,
4:17.0,D. McDermott makes 3-pt shot from 26 ft (assist by B. Portis),3,58-72,,
3:55.0,,,58-72,,J. Teague misses 2-pt shot from 2 ft
3:52.0,Defensive rebound by P. Gasol,,58-72,,
3:37.0,Shooting foul by M. Muscala (drawn by A. Brooks),,58-72,,
3:37.0,A. Brooks makes free throw 1 of 2,1,59-72,,
3:37.0,,,59-72,,D. Schroder enters the game for J. Teague
3:37.0,,,59-72,,T. Hardaway enters the game for K. Korver
3:37.0,,,59-72,,A. Horford enters the game for P. Millsap
3:37.0,A. Brooks makes free throw 2 of 2,1,60-72,,
3:28.0,,,60-72,,Turnover by D. Schroder (bad pass; steal by J. Holiday)
3:21.0,Turnover by A. Brooks (bad pass; steal by D. Schroder),,60-72,,
3:20.0,Personal foul by A. Brooks (drawn by D. Schroder),,60-72,,
3:05.0,,,60-72,,D. Schroder misses 2-pt shot from 18 ft
3:02.0,,,60-72,,Offensive rebound by M. Muscala
3:00.0,Personal foul by A. Brooks (drawn by D. Schroder),,60-72,,
3:00.0,,,60-72,,D. Schroder misses free throw 1 of 2
3:00.0,,,60-72,,Offensive rebound by Team
3:00.0,,,60-73,1,D. Schroder makes free throw 2 of 2
2:51.0,A. Brooks makes 2-pt shot from 12 ft,2,62-73,,
2:38.0,,,62-73,,D. Schroder misses 3-pt shot from 25 ft
2:37.0,Defensive rebound by P. Gasol,,62-73,,
2:29.0,A. Brooks makes 3-pt shot from 24 ft,3,65-73,,
2:28.0,,,65-73,,Atlanta full timeout
2:28.0,,,65-73,,M. Scott enters the game for M. Muscala
2:04.0,,,65-73,,D. Schroder misses 3-pt shot from 27 ft
2:03.0,Defensive rebound by P. Gasol,,65-73,,
1:47.0,B. Portis misses 3-pt shot from 24 ft,,65-73,,
1:46.0,,,65-73,,Defensive rebound by D. Schroder
1:35.0,,,65-75,2,T. Sefolosha makes 2-pt shot from 2 ft (assist by M. Scott)
1:22.0,P. Gasol misses 2-pt shot from 19 ft,,65-75,,
1:20.0,,,65-75,,Defensive rebound by D. Schroder
1:13.0,,,65-77,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by D. Schroder)
1:00.0,Turnover by P. Gasol (lost ball; steal by T. Sefolosha),,65-77,,
0:55.0,,,65-77,,Shooting foul by A. Brooks (drawn by T. Hardaway)
0:55.0,,,65-78,1,T. Hardaway makes free throw 1 of 2
0:55.0,,,65-79,1,T. Hardaway makes free throw 2 of 2
0:37.0,P. Gasol makes 2-pt shot from 19 ft (assist by A. Brooks),2,67-79,,
0:29.0,,,67-79,,Turnover by D. Schroder (traveling)
0:29.0,,,67-79,,Violation by Team (jump ball)
0:08.0,P. Gasol misses 2-pt shot from 10 ft (block by A. Horford),,67-79,,
0:05.0,,,67-79,,Defensive rebound by A. Horford
0:03.0,,,67-79,,Offensive charge foul by T. Sefolosha
0:03.0,,,67-79,,Turnover by T. Sefolosha (offensive foul)
0:00.0,J. Holiday misses 3-pt shot from 41 ft,,67-79,,
0:00.0,Offensive rebound by Team,,67-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,67-79,,T. Hardaway misses 3-pt shot from 24 ft
11:39.0,Defensive rebound by Team,,67-79,,
11:25.0,,,67-79,,Violation by D. Schroder (kicked ball)
11:20.0,D. McDermott misses 3-pt shot from 25 ft,,67-79,,
11:19.0,,,67-79,,Defensive rebound by T. Hardaway
10:59.0,,,67-79,,A. Horford misses 2-pt shot from 6 ft
10:58.0,,,67-79,,Offensive rebound by T. Sefolosha
10:58.0,Personal foul by T. Gibson (drawn by T. Sefolosha),,67-79,,
10:49.0,,,67-79,,Turnover by A. Horford (3 sec)
10:33.0,D. McDermott makes 2-pt shot at rim (assist by T. Gibson),2,69-79,,
10:33.0,Shooting foul by M. Scott (drawn by D. McDermott),,69-79,,
10:33.0,,,69-79,,J. Teague enters the game for D. Schroder
10:33.0,D. McDermott makes free throw 1 of 1,1,70-79,,
10:14.0,,,70-81,2,T. Sefolosha makes 2-pt shot from 5 ft
10:07.0,A. Brooks misses 3-pt shot from 25 ft,,70-81,,
10:05.0,,,70-81,,Defensive rebound by A. Horford
10:01.0,,,70-81,,Offensive charge foul by T. Hardaway
10:01.0,,,70-81,,Turnover by T. Hardaway (offensive foul)
10:01.0,,,70-81,,K. Korver enters the game for T. Hardaway
9:48.0,B. Portis makes 2-pt shot from 19 ft (assist by A. Brooks),2,72-81,,
9:32.0,,,72-83,2,A. Horford makes 2-pt shot from 6 ft (assist by J. Teague)
9:22.0,B. Portis misses 2-pt shot from 18 ft,,72-83,,
9:20.0,,,72-83,,Defensive rebound by J. Teague
9:06.0,,,72-83,,M. Scott misses 2-pt shot from 9 ft
9:02.0,Defensive rebound by J. Holiday,,72-83,,
8:57.0,Chicago full timeout,,72-83,,
8:57.0,,,72-83,,K. Bazemore enters the game for T. Sefolosha
8:57.0,T. Snell enters the game for J. Holiday,,72-83,,
8:47.0,Turnover by A. Brooks (bad pass; steal by J. Teague),,72-83,,
8:44.0,,,72-83,,Shooting foul by T. Snell (drawn by K. Bazemore)
8:44.0,,,72-84,1,K. Bazemore makes free throw 1 of 2
8:44.0,,,72-84,,P. Millsap enters the game for A. Horford
8:44.0,E. Moore enters the game for A. Brooks,,72-84,,
8:44.0,,,72-85,1,K. Bazemore makes free throw 2 of 2
8:32.0,,,72-85,,Personal foul by J. Teague (drawn by E. Moore)
8:20.0,Turnover by T. Snell (bad pass; steal by M. Scott),,72-85,,
8:07.0,,,72-85,,P. Millsap misses 3-pt shot from 25 ft
8:05.0,Defensive rebound by B. Portis,,72-85,,
7:48.0,B. Portis misses 2-pt shot from 15 ft,,72-85,,
7:47.0,,,72-85,,Defensive rebound by P. Millsap
7:30.0,,,72-85,,J. Teague misses 2-pt shot from 1 ft
7:28.0,Defensive rebound by T. Gibson,,72-85,,
7:24.0,D. McDermott makes 2-pt shot from 2 ft (assist by T. Gibson),2,74-85,,
6:53.0,,,74-85,,M. Scott misses 3-pt shot from 22 ft
6:51.0,Defensive rebound by Team,,74-85,,
6:51.0,,,74-85,,Loose ball foul by P. Millsap (drawn by E. Moore)
6:51.0,,,74-85,,A. Horford enters the game for M. Scott
6:51.0,P. Gasol enters the game for T. Snell,,74-85,,
6:51.0,M. Dunleavy enters the game for B. Portis,,74-85,,
6:33.0,P. Gasol misses 2-pt shot from 2 ft (block by P. Millsap),,74-85,,
6:29.0,Offensive rebound by P. Gasol,,74-85,,
