time,Utah,pts.away,score,pts.home,San Antonio
9:40.0,,,20-33,,D. Green enters the game for J. Simmons
9:40.0,G. Hayward enters the game for E. Millsap,,20-33,,
9:40.0,,,20-34,1,M. Ginobili makes free throw 2 of 2
9:31.0,,,20-34,,Personal foul by D. Green (drawn by G. Hayward)
9:31.0,,,20-34,,K. Leonard enters the game for M. Ginobili
9:25.0,A. Burks makes 2-pt shot from 18 ft (assist by J. Ingles),2,22-34,,
9:02.0,,,22-34,,D. West misses 2-pt shot at rim
9:02.0,Defensive rebound by T. Booker,,22-34,,
8:56.0,A. Burks misses 2-pt shot from 8 ft,,22-34,,
8:55.0,Offensive rebound by A. Burks,,22-34,,
8:53.0,A. Burks misses 2-pt shot from 2 ft,,22-34,,
8:52.0,,,22-34,,Defensive rebound by D. Green
8:42.0,,,22-34,,P. Mills misses 2-pt shot from 19 ft
8:42.0,Defensive rebound by T. Booker,,22-34,,
8:33.0,J. Ingles misses 3-pt shot from 24 ft,,22-34,,
8:33.0,,,22-34,,Defensive rebound by K. Leonard
8:16.0,,,22-34,,D. Green misses 3-pt shot from 25 ft
8:15.0,,,22-34,,Offensive rebound by D. West
8:15.0,,,22-36,2,D. West makes 2-pt shot at rim
8:15.0,,,22-36,,Shooting foul by T. Booker (drawn by D. West)
8:15.0,Official timeout,,22-36,,
8:15.0,,,22-36,,T. Parker enters the game for P. Mills
8:15.0,,,22-36,,T. Duncan enters the game for B. Diaw
8:15.0,T. Lyles enters the game for J. Withey,,22-36,,
8:15.0,,,22-37,1,D. West makes free throw 1 of 1
7:58.0,A. Burks misses 2-pt shot from 12 ft,,22-37,,
7:58.0,Offensive rebound by Team,,22-37,,
7:38.0,D. Favors enters the game for T. Booker,,22-37,,
7:34.0,A. Burks misses 2-pt shot from 18 ft,,22-37,,
7:33.0,,,22-37,,Defensive rebound by D. Green
7:13.0,,,22-39,2,T. Parker makes 2-pt shot from 16 ft
6:50.0,J. Ingles misses 2-pt shot at rim,,22-39,,
6:49.0,,,22-39,,Defensive rebound by D. Green
6:43.0,,,22-39,,Shooting foul by T. Lyles (drawn by T. Parker)
6:43.0,,,22-40,1,T. Parker makes free throw 1 of 2
6:43.0,R. Hood enters the game for J. Ingles,,22-40,,
6:43.0,T. Burke enters the game for T. Lyles,,22-40,,
6:43.0,,,22-41,1,T. Parker makes free throw 2 of 2
6:30.0,D. Favors misses 2-pt shot from 13 ft,,22-41,,
6:29.0,,,22-41,,Defensive rebound by D. Green
6:17.0,,,22-41,,Shooting foul by G. Hayward (drawn by K. Leonard)
6:17.0,,,22-42,1,K. Leonard makes free throw 1 of 2
6:17.0,,,22-42,,J. Simmons enters the game for D. West
6:17.0,,,22-43,1,K. Leonard makes free throw 2 of 2
6:02.0,T. Burke misses 3-pt shot from 25 ft,,22-43,,
6:01.0,,,22-43,,Defensive rebound by D. Green
5:57.0,,,22-45,2,K. Leonard makes 2-pt shot at rim (assist by D. Green)
5:57.0,Utah full timeout,,22-45,,
5:57.0,,,22-45,,L. Aldridge enters the game for J. Simmons
5:46.0,T. Burke makes 2-pt shot from 15 ft,2,24-45,,
5:16.0,,,24-47,2,K. Leonard makes 2-pt shot from 16 ft
5:01.0,Turnover by R. Hood (bad pass; steal by K. Leonard),,24-47,,
4:59.0,Personal foul by G. Hayward (drawn by K. Leonard),,24-47,,
4:59.0,,,24-48,1,K. Leonard makes free throw 1 of 2
4:59.0,,,24-49,1,K. Leonard makes free throw 2 of 2
4:50.0,Offensive foul by D. Favors,,24-49,,
4:50.0,Turnover by D. Favors (offensive foul),,24-49,,
4:42.0,Personal foul by G. Hayward (drawn by L. Aldridge),,24-49,,
4:42.0,,,24-50,1,L. Aldridge makes free throw 1 of 2
4:42.0,T. Booker enters the game for G. Hayward,,24-50,,
4:42.0,,,24-51,1,L. Aldridge makes free throw 2 of 2
4:32.0,Turnover by T. Burke (bad pass; steal by T. Parker),,24-51,,
4:26.0,,,24-53,2,T. Parker makes 2-pt shot at rim (assist by K. Leonard)
4:11.0,D. Favors makes 2-pt shot at rim,2,26-53,,
4:11.0,Shooting foul by T. Duncan (drawn by D. Favors),,26-53,,
4:11.0,D. Favors makes free throw 1 of 1,1,27-53,,
3:58.0,,,27-53,,Turnover by T. Duncan (bad pass; steal by T. Booker)
3:51.0,,,27-53,,Violation by K. Leonard (kicked ball)
3:51.0,,,27-53,,M. Ginobili enters the game for D. Green
3:43.0,D. Favors misses 2-pt shot from 16 ft,,27-53,,
3:42.0,Offensive rebound by T. Booker,,27-53,,
3:40.0,T. Booker misses 2-pt shot from 1 ft,,27-53,,
3:39.0,,,27-53,,Defensive rebound by T. Duncan
3:29.0,,,27-55,2,K. Leonard makes 2-pt shot from 7 ft
3:07.0,Shooting foul by M. Ginobili (drawn by A. Burks),,27-55,,
3:07.0,A. Burks makes free throw 1 of 2,1,28-55,,
3:07.0,,,28-55,,San Antonio full timeout
3:07.0,,,28-55,,D. West enters the game for T. Duncan
3:07.0,T. Lyles enters the game for T. Booker,,28-55,,
3:07.0,A. Burks makes free throw 2 of 2,1,29-55,,
2:48.0,,,29-55,,L. Aldridge misses 2-pt shot from 10 ft
2:47.0,Defensive rebound by D. Favors,,29-55,,
2:40.0,R. Hood makes 2-pt shot at rim,2,31-55,,
2:26.0,,,31-55,,D. West misses 2-pt shot from 17 ft
2:25.0,Defensive rebound by T. Lyles,,31-55,,
2:08.0,A. Burks misses 2-pt shot from 6 ft,,31-55,,
2:07.0,Offensive rebound by T. Burke,,31-55,,
1:52.0,D. Favors misses 2-pt shot from 6 ft,,31-55,,
1:51.0,,,31-55,,Defensive rebound by D. West
1:34.0,,,31-57,2,D. West makes 2-pt shot from 18 ft (assist by M. Ginobili)
1:15.0,T. Burke misses 2-pt shot from 13 ft,,31-57,,
1:15.0,Offensive rebound by Team,,31-57,,
1:15.0,,,31-57,,Loose ball foul by D. West (drawn by D. Favors)
1:15.0,D. Favors makes free throw 1 of 2,1,32-57,,
1:15.0,J. Ingles enters the game for A. Burks,,32-57,,
1:15.0,D. Favors misses free throw 2 of 2,,32-57,,
1:13.0,,,32-57,,Defensive rebound by K. Leonard
0:55.0,,,32-57,,Shooting foul by T. Lyles (drawn by D. West)
0:55.0,,,32-58,1,D. West makes free throw 1 of 2
0:55.0,,,32-59,1,D. West makes free throw 2 of 2
0:41.0,Shooting foul by L. Aldridge (drawn by D. Favors),,32-59,,
0:41.0,D. Favors makes free throw 1 of 2,1,33-59,,
0:41.0,D. Favors makes free throw 2 of 2,1,34-59,,
0:31.0,,,34-59,,M. Ginobili misses 3-pt shot from 23 ft
0:30.0,Defensive rebound by R. Hood,,34-59,,
0:22.0,D. Favors makes 2-pt shot at rim (assist by T. Burke),2,36-59,,
0:02.0,,,36-59,,K. Leonard misses 2-pt shot from 16 ft
0:01.0,,,36-59,,Offensive rebound by M. Ginobili
0:00.0,,,36-59,,M. Ginobili misses 2-pt shot from 10 ft
0:00.0,Defensive rebound by J. Ingles,,36-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,G. Hayward makes 2-pt shot from 18 ft (assist by R. Hood),2,38-59,,
11:24.0,,,38-62,3,K. Leonard makes 3-pt shot from 24 ft (assist by D. Green)
11:05.0,R. Hood misses 3-pt shot from 22 ft,,38-62,,
11:01.0,,,38-62,,Defensive rebound by L. Aldridge
10:46.0,,,38-62,,T. Parker misses 3-pt shot from 24 ft
10:44.0,,,38-62,,Offensive rebound by L. Aldridge
10:39.0,,,38-65,3,T. Parker makes 3-pt shot from 22 ft (assist by D. Green)
10:19.0,R. Neto makes 3-pt shot from 24 ft (assist by G. Hayward),3,41-65,,
9:57.0,,,41-65,,L. Aldridge misses 2-pt shot from 18 ft
9:54.0,Defensive rebound by D. Favors,,41-65,,
9:33.0,D. Favors makes 2-pt shot from 1 ft (assist by R. Hood),2,43-65,,
9:33.0,Shooting foul by T. Duncan (drawn by D. Favors),,43-65,,
9:33.0,D. Favors misses free throw 1 of 1,,43-65,,
9:25.0,,,43-65,,Defensive rebound by L. Aldridge
9:13.0,,,43-67,2,T. Parker makes 2-pt shot from 3 ft
8:53.0,R. Hood misses 3-pt shot from 25 ft,,43-67,,
8:51.0,,,43-67,,Defensive rebound by K. Leonard
8:48.0,Personal foul by R. Neto (drawn by K. Leonard),,43-67,,
8:38.0,,,43-69,2,K. Leonard makes 2-pt shot from 15 ft
8:21.0,R. Hood misses 2-pt shot from 4 ft,,43-69,,
8:18.0,,,43-69,,Defensive rebound by D. Green
8:11.0,,,43-71,2,T. Parker makes 2-pt shot from 2 ft
7:52.0,G. Hayward misses 2-pt shot from 16 ft,,43-71,,
7:49.0,,,43-71,,Defensive rebound by T. Duncan
7:46.0,,,43-73,2,T. Parker makes 2-pt shot from 2 ft
7:46.0,,,43-73,,Shooting foul by D. Favors (drawn by T. Parker)
7:46.0,T. Burke enters the game for R. Neto,,43-73,,
7:46.0,,,43-74,1,T. Parker makes free throw 1 of 1
7:24.0,R. Hood misses 2-pt shot from 6 ft,,43-74,,
7:22.0,,,43-74,,Defensive rebound by K. Leonard
7:15.0,,,43-74,,K. Leonard misses 2-pt shot from 16 ft
7:13.0,Defensive rebound by R. Hood,,43-74,,
7:01.0,T. Lyles misses 2-pt shot from 21 ft,,43-74,,
7:00.0,,,43-74,,Defensive rebound by L. Aldridge
6:56.0,,,43-76,2,K. Leonard makes 2-pt shot at rim (assist by D. Green)
6:56.0,Utah full timeout,,43-76,,
6:56.0,,,43-76,,P. Mills enters the game for T. Parker
6:56.0,,,43-76,,D. West enters the game for T. Duncan
6:56.0,T. Booker enters the game for T. Lyles,,43-76,,
6:46.0,G. Hayward misses 2-pt shot from 16 ft,,43-76,,
6:45.0,,,43-76,,Defensive rebound by Team
6:27.0,,,43-79,3,P. Mills makes 3-pt shot from 22 ft (assist by D. West)
6:06.0,T. Burke misses 3-pt shot from 26 ft,,43-79,,
6:04.0,,,43-79,,Defensive rebound by K. Leonard
5:57.0,,,43-81,2,L. Aldridge makes 2-pt shot at rim (assist by K. Leonard)
5:34.0,D. Favors misses 2-pt shot from 10 ft,,43-81,,
5:34.0,Offensive rebound by Team,,43-81,,
5:34.0,A. Burks enters the game for R. Hood,,43-81,,
5:34.0,,,43-81,,M. Bonner enters the game for L. Aldridge
5:26.0,D. Favors makes 2-pt shot from 2 ft (assist by A. Burks),2,45-81,,
5:07.0,,,45-81,,Shooting foul by G. Hayward (drawn by K. Leonard)
5:07.0,,,45-82,1,K. Leonard makes free throw 1 of 2
5:07.0,,,45-83,1,K. Leonard makes free throw 2 of 2
4:54.0,A. Burks misses 2-pt shot from 5 ft,,45-83,,
4:52.0,,,45-83,,Defensive rebound by M. Bonner
4:45.0,,,45-86,3,K. Leonard makes 3-pt shot from 23 ft (assist by P. Mills)
4:34.0,Shooting foul by D. Green (drawn by G. Hayward),,45-86,,
4:34.0,G. Hayward makes free throw 1 of 2,1,46-86,,
4:34.0,,,46-86,,K. Anderson enters the game for K. Leonard
4:34.0,J. Withey enters the game for D. Favors,,46-86,,
4:34.0,G. Hayward makes free throw 2 of 2,1,47-86,,
4:19.0,,,47-86,,D. West misses 2-pt shot from 4 ft
4:16.0,,,47-86,,Offensive rebound by P. Mills
4:16.0,,,47-88,2,P. Mills makes 2-pt shot from 2 ft
4:00.0,Shooting foul by M. Bonner (drawn by J. Withey),,47-88,,
4:00.0,J. Withey makes free throw 1 of 2,1,48-88,,
4:00.0,,,48-88,,J. Simmons enters the game for D. Green
4:00.0,J. Withey misses free throw 2 of 2,,48-88,,
3:58.0,,,48-88,,Defensive rebound by M. Bonner
3:40.0,Personal block foul by T. Burke (drawn by P. Mills),,48-88,,
3:29.0,,,48-88,,J. Simmons misses 2-pt shot from 5 ft
3:27.0,Defensive rebound by T. Booker,,48-88,,
3:21.0,,,48-88,,Personal foul by P. Mills (drawn by G. Hayward)
3:14.0,Turnover by T. Burke (lost ball; steal by P. Mills),,48-88,,
3:03.0,,,48-90,2,K. Anderson makes 2-pt shot from 13 ft
2:44.0,T. Booker makes 2-pt shot at rim (assist by A. Burks),2,50-90,,
2:27.0,,,50-90,,D. West misses 2-pt shot from 17 ft
2:26.0,Defensive rebound by T. Burke,,50-90,,
2:18.0,T. Burke misses 2-pt shot from 7 ft,,50-90,,
2:15.0,,,50-90,,Defensive rebound by D. West
2:04.0,,,50-90,,Turnover by D. West (bad pass; steal by G. Hayward)
1:59.0,J. Withey makes 2-pt shot from 3 ft (assist by A. Burks),2,52-90,,
1:36.0,,,52-90,,J. Simmons misses 2-pt shot from 4 ft (block by J. Withey)
1:34.0,,,52-90,,Offensive rebound by P. Mills
1:33.0,,,52-93,3,P. Mills makes 3-pt shot from 23 ft
1:29.0,Shooting foul by K. Anderson (drawn by A. Burks),,52-93,,
1:29.0,,,52-93,,San Antonio full timeout
1:29.0,J. Ingles enters the game for G. Hayward,,52-93,,
1:29.0,A. Burks makes free throw 1 of 2,1,53-93,,
1:29.0,A. Burks makes free throw 2 of 2,1,54-93,,
1:10.0,,,54-93,,Shooting foul by J. Withey (drawn by D. West)
1:10.0,,,54-94,1,D. West makes free throw 1 of 2
1:10.0,E. Millsap enters the game for A. Burks,,54-94,,
1:10.0,,,54-94,,D. West misses free throw 2 of 2
1:08.0,Defensive rebound by T. Booker,,54-94,,
0:54.0,Turnover by J. Withey (offensive goaltending),,54-94,,
0:53.0,Personal foul by J. Ingles (drawn by K. Anderson),,54-94,,
0:53.0,,,54-95,1,K. Anderson makes free throw 1 of 2
0:53.0,,,54-96,1,K. Anderson makes free throw 2 of 2
0:36.0,E. Millsap makes 2-pt shot from 1 ft,2,56-96,,
0:30.0,,,56-96,,Turnover by D. West (traveling)
0:21.0,T. Burke makes 2-pt shot from 14 ft,2,58-96,,
0:00.0,,,58-98,2,J. Simmons makes 2-pt shot from 19 ft (assist by P. Mills)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Personal foul by E. Millsap (drawn by M. Bonner),,58-98,,
11:40.0,,,58-101,3,M. Bonner makes 3-pt shot from 24 ft (assist by J. Simmons)
11:16.0,T. Lyles misses 2-pt shot from 15 ft,,58-101,,
11:15.0,,,58-101,,Defensive rebound by J. Simmons
11:04.0,,,58-101,,J. Simmons misses 3-pt shot from 26 ft
11:02.0,,,58-101,,Offensive rebound by M. Bonner
10:48.0,,,58-104,3,M. Bonner makes 3-pt shot from 26 ft (assist by J. Simmons)
10:39.0,T. Lyles makes 2-pt shot from 17 ft (assist by E. Millsap),2,60-104,,
10:13.0,,,60-104,,J. Simmons misses 2-pt shot from 17 ft
10:12.0,Defensive rebound by T. Booker,,60-104,,
10:02.0,J. Ingles misses 3-pt shot from 25 ft,,60-104,,
10:00.0,,,60-104,,Defensive rebound by J. Simmons
9:42.0,,,60-104,,B. Diaw misses 2-pt shot from 4 ft
9:41.0,Defensive rebound by E. Millsap,,60-104,,
9:32.0,E. Millsap makes 2-pt shot from 2 ft,2,62-104,,
9:12.0,,,62-106,2,M. Bonner makes 2-pt shot from 5 ft
8:58.0,,,62-106,,Personal foul by K. Anderson (drawn by J. Ingles)
8:58.0,Official timeout,,62-106,,
8:58.0,C. Johnson enters the game for T. Booker,,62-106,,
8:58.0,J. Withey enters the game for T. Lyles,,62-106,,
8:52.0,R. Neto makes 2-pt shot from 1 ft (assist by J. Ingles),2,64-106,,
8:44.0,,,64-106,,San Antonio full timeout
8:24.0,,,64-106,,K. Anderson misses 2-pt shot from 18 ft
8:23.0,Defensive rebound by J. Ingles,,64-106,,
8:12.0,,,64-106,,Personal foul by R. Butler (drawn by J. Ingles)
8:03.0,J. Ingles makes 2-pt shot from 2 ft (assist by R. Neto),2,66-106,,
7:48.0,,,66-108,2,B. Diaw makes 2-pt shot at rim (assist by J. Simmons)
7:29.0,J. Withey misses 2-pt shot from 1 ft,,66-108,,
7:28.0,,,66-108,,Defensive rebound by M. Bonner
7:18.0,,,66-110,2,M. Bonner makes 2-pt shot from 19 ft (assist by J. Simmons)
7:06.0,R. Neto makes 3-pt shot from 27 ft (assist by E. Millsap),3,69-110,,
6:40.0,Shooting block foul by E. Millsap (drawn by R. Butler),,69-110,,
6:40.0,,,69-111,1,R. Butler makes free throw 1 of 2
6:40.0,,,69-111,,R. Butler misses free throw 2 of 2
6:39.0,Defensive rebound by J. Withey,,69-111,,
6:17.0,R. Neto makes 2-pt shot from 19 ft,2,71-111,,
6:02.0,,,71-111,,Turnover by R. Butler (bad pass; steal by J. Ingles)
5:53.0,C. Johnson misses 3-pt shot from 23 ft,,71-111,,
5:53.0,,,71-111,,Defensive rebound by B. Diaw
5:39.0,,,71-111,,J. Simmons misses 3-pt shot from 23 ft
5:36.0,Defensive rebound by R. Neto,,71-111,,
5:22.0,C. Johnson misses 2-pt shot from 2 ft (block by R. Butler),,71-111,,
5:22.0,Offensive rebound by C. Johnson,,71-111,,
5:22.0,E. Millsap misses 2-pt shot from 20 ft,,71-111,,
5:20.0,,,71-111,,Defensive rebound by R. Butler
5:10.0,,,71-113,2,B. Diaw makes 2-pt shot from 3 ft
4:52.0,Turnover by R. Neto (lost ball; steal by J. Simmons),,71-113,,
4:36.0,,,71-113,,J. Simmons misses 2-pt shot at rim (block by J. Withey)
4:34.0,Defensive rebound by R. Neto,,71-113,,
4:31.0,,,71-113,,Violation by B. Diaw (def goaltending)
4:31.0,C. Johnson makes 2-pt shot from 3 ft,2,73-113,,
4:11.0,,,73-113,,J. Simmons misses 3-pt shot from 26 ft
4:10.0,Defensive rebound by C. Johnson,,73-113,,
4:02.0,J. Ingles misses 3-pt shot from 25 ft,,73-113,,
4:01.0,,,73-113,,Defensive rebound by K. Anderson
3:47.0,,,73-113,,Turnover by J. Simmons (lost ball; steal by C. Johnson)
3:40.0,Turnover by C. Johnson (lost ball; steal by J. Simmons),,73-113,,
3:27.0,,,73-115,2,K. Anderson makes 2-pt shot from 19 ft
3:17.0,,,73-115,,Personal foul by J. Simmons (drawn by R. Neto)
3:17.0,Utah full timeout,,73-115,,
3:11.0,E. Millsap misses 2-pt shot from 2 ft,,73-115,,
3:09.0,,,73-115,,Defensive rebound by M. Bonner
2:46.0,,,73-115,,J. Simmons misses 2-pt shot from 14 ft
2:45.0,Defensive rebound by J. Withey,,73-115,,
2:30.0,J. Ingles makes 2-pt shot from 4 ft (assist by C. Johnson),2,75-115,,
2:06.0,,,75-115,,J. Simmons misses 2-pt shot from 4 ft
2:05.0,Defensive rebound by J. Withey,,75-115,,
1:58.0,R. Neto makes 2-pt shot from 7 ft,2,77-115,,
1:39.0,,,77-115,,Turnover by K. Anderson (bad pass; steal by R. Neto)
1:28.0,C. Johnson makes 2-pt shot from 19 ft (assist by E. Millsap),2,79-115,,
1:13.0,,,79-115,,M. Bonner misses 3-pt shot from 26 ft
1:11.0,Defensive rebound by J. Withey,,79-115,,
1:05.0,R. Neto misses 2-pt shot from 6 ft,,79-115,,
1:05.0,Offensive rebound by J. Withey,,79-115,,
1:05.0,J. Withey makes 2-pt shot at rim,2,81-115,,
0:44.0,,,81-118,3,J. Simmons makes 3-pt shot from 25 ft (assist by K. Anderson)
0:20.0,J. Withey misses 2-pt shot from 4 ft (block by B. Diaw),,81-118,,
0:19.0,Offensive rebound by E. Millsap,,81-118,,
0:18.0,Turnover by Team (shot clock),,81-118,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
