time,Houston,pts.away,score,pts.home,Phoenix
7:34.0,,,5-15,,Defensive rebound by T. Chandler
7:19.0,,,5-17,2,M. Morris makes 2-pt shot from 12 ft
6:54.0,M. Thornton misses 2-pt shot from 4 ft,,5-17,,
6:54.0,Offensive rebound by C. Capela,,5-17,,
6:52.0,Turnover by C. Capela (lost ball; steal by P. Tucker),,5-17,,
6:51.0,Personal block foul by T. Lawson (drawn by P. Tucker),,5-17,,
6:43.0,,,5-17,,Turnover by A. Goodwin (bad pass)
6:27.0,T. Lawson misses 2-pt shot from 10 ft,,5-17,,
6:25.0,,,5-17,,Defensive rebound by P. Tucker
6:18.0,,,5-20,3,D. Booker makes 3-pt shot from 25 ft (assist by T. Chandler)
6:04.0,M. Thornton misses 3-pt shot from 24 ft,,5-20,,
6:03.0,,,5-20,,Defensive rebound by P. Tucker
5:58.0,,,5-20,,M. Morris misses 2-pt shot at rim (block by J. Smith)
5:57.0,Defensive rebound by J. Terry,,5-20,,
5:51.0,C. Capela makes 2-pt shot at rim (assist by T. Lawson),2,7-20,,
5:36.0,,,7-20,,D. Booker misses 2-pt shot from 1 ft
5:34.0,Defensive rebound by J. Smith,,7-20,,
5:26.0,M. Thornton misses 2-pt shot at rim,,7-20,,
5:25.0,Offensive rebound by M. Thornton,,7-20,,
5:25.0,Shooting foul by T. Chandler (drawn by M. Thornton),,7-20,,
5:25.0,M. Thornton makes free throw 1 of 2,1,8-20,,
5:25.0,,,8-20,,S. Weems enters the game for A. Goodwin
5:25.0,,,8-20,,A. Len enters the game for T. Chandler
5:25.0,M. Thornton makes free throw 2 of 2,1,9-20,,
5:07.0,,,9-20,,Turnover by M. Morris (bad pass; steal by J. Terry)
4:59.0,J. Smith misses 3-pt shot from 24 ft,,9-20,,
4:58.0,,,9-20,,Defensive rebound by A. Len
4:48.0,,,9-20,,A. Len misses 2-pt shot from 16 ft
4:47.0,,,9-20,,Offensive rebound by P. Tucker
4:35.0,Personal block foul by C. Capela (drawn by A. Len),,9-20,,
4:26.0,,,9-20,,S. Weems misses 2-pt shot from 14 ft
4:24.0,Defensive rebound by T. Lawson,,9-20,,
4:21.0,,,9-20,,Violation by M. Morris (kicked ball)
4:14.0,,,9-20,,Personal foul by S. Weems (drawn by T. Lawson)
4:01.0,J. Terry misses 3-pt shot from 24 ft,,9-20,,
4:00.0,,,9-20,,Defensive rebound by D. Booker
3:49.0,,,9-20,,S. Weems misses 2-pt shot from 12 ft
3:49.0,,,9-20,,Offensive rebound by A. Len
3:43.0,,,9-20,,S. Weems misses 2-pt shot from 4 ft (block by C. Capela)
3:42.0,Defensive rebound by C. Capela,,9-20,,
3:36.0,M. Thornton misses 3-pt shot from 25 ft,,9-20,,
3:34.0,,,9-20,,Defensive rebound by P. Tucker
3:17.0,,,9-20,,P. Tucker misses 3-pt shot from 24 ft
3:16.0,Defensive rebound by J. Smith,,9-20,,
3:08.0,Shooting foul by P. Tucker (drawn by J. Smith),,9-20,,
3:08.0,J. Smith makes free throw 1 of 2,1,10-20,,
3:08.0,,,10-20,,A. Goodwin enters the game for P. Tucker
3:08.0,J. Smith makes free throw 2 of 2,1,11-20,,
2:57.0,,,11-20,,Turnover by A. Goodwin (bad pass)
2:57.0,,,11-20,,Phoenix full timeout
2:57.0,,,11-20,,M. Teletovic enters the game for M. Morris
2:37.0,J. Terry makes 3-pt shot from 25 ft (assist by J. Smith),3,14-20,,
2:22.0,Personal foul by J. Terry (drawn by D. Booker),,14-20,,
2:22.0,,,14-21,1,D. Booker makes free throw 1 of 2
2:22.0,,,14-22,1,D. Booker makes free throw 2 of 2
2:11.0,Turnover by T. Lawson (bad pass),,14-22,,
2:00.0,,,14-22,,Shooting foul by C. Capela (drawn by D. Booker)
2:00.0,,,14-23,1,D. Booker makes free throw 1 of 2
2:00.0,,,14-24,1,D. Booker makes free throw 2 of 2
1:40.0,M. Thornton makes 2-pt shot from 7 ft,2,16-24,,
1:25.0,,,16-24,,M. Teletovic misses 3-pt shot from 26 ft
1:25.0,Defensive rebound by J. Terry,,16-24,,
1:11.0,M. Thornton misses 3-pt shot from 27 ft,,16-24,,
1:08.0,,,16-24,,Defensive rebound by A. Len
0:59.0,,,16-24,,Turnover by S. Weems (traveling)
0:48.0,T. Lawson makes 3-pt shot from 25 ft,3,19-24,,
0:29.0,,,19-24,,M. Teletovic misses 3-pt shot from 24 ft
0:28.0,,,19-24,,Offensive rebound by A. Len
0:24.0,,,19-24,,A. Goodwin misses 2-pt shot at rim
0:24.0,,,19-24,,Offensive rebound by M. Teletovic
0:24.0,,,19-26,2,M. Teletovic makes 2-pt shot from 1 ft
0:05.0,Turnover by T. Lawson (lost ball; steal by D. Booker),,19-26,,
0:03.0,,,19-28,2,A. Goodwin makes 2-pt shot at rim (assist by D. Booker)
0:00.0,M. Thornton misses 3-pt shot from 36 ft,,19-28,,
0:00.0,Offensive rebound by Team,,19-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Turnover by P. Beverley (lost ball),,19-28,,
11:34.0,,,19-28,,A. Len misses 2-pt shot from 2 ft
11:33.0,,,19-28,,Offensive rebound by A. Len
11:33.0,,,19-28,,A. Len misses 2-pt shot from 2 ft
11:32.0,Defensive rebound by D. Howard,,19-28,,
11:22.0,C. Brewer makes 2-pt shot from 9 ft,2,21-28,,
11:22.0,,,21-28,,Shooting block foul by M. Teletovic (drawn by C. Brewer)
11:22.0,C. Brewer makes free throw 1 of 1,1,22-28,,
11:10.0,Personal foul by C. Brewer (drawn by D. Booker),,22-28,,
10:58.0,,,22-31,3,J. McRae makes 3-pt shot from 26 ft (assist by A. Len)
10:48.0,J. Harden makes 2-pt shot at rim,2,24-31,,
10:38.0,,,24-31,,A. Goodwin misses 2-pt shot from 1 ft
10:36.0,Defensive rebound by D. Howard,,24-31,,
10:36.0,,,24-31,,Personal block foul by D. Booker (drawn by C. Brewer)
10:26.0,J. Harden misses 3-pt shot from 25 ft,,24-31,,
10:26.0,,,24-31,,Defensive rebound by J. McRae
10:11.0,,,24-33,2,A. Len makes 2-pt shot at rim (assist by A. Goodwin)
9:53.0,C. Brewer makes 2-pt shot from 1 ft,2,26-33,,
9:29.0,,,26-35,2,A. Goodwin makes 2-pt shot from 18 ft
9:19.0,T. Ariza misses 3-pt shot from 23 ft,,26-35,,
9:18.0,,,26-35,,Defensive rebound by A. Len
9:04.0,,,26-37,2,D. Booker makes 2-pt shot from 21 ft (assist by A. Len)
8:49.0,T. Ariza misses 2-pt shot from 4 ft,,26-37,,
8:48.0,,,26-37,,Defensive rebound by D. Booker
8:47.0,Flagrant foul type 1 by J. Harden (drawn by D. Booker),,26-37,,
8:47.0,Official timeout,,26-37,,
8:47.0,,,26-37,,M. Morris enters the game for M. Teletovic
8:47.0,,,26-38,1,D. Booker makes flagrant free throw 1 of 2
8:47.0,,,26-39,1,D. Booker makes flagrant free throw 2 of 2
8:45.0,,,26-39,,D. Booker misses 3-pt shot from 24 ft
8:41.0,Defensive rebound by Team,,26-39,,
8:29.0,Shooting foul by A. Len (drawn by T. Ariza),,26-39,,
8:29.0,T. Ariza makes free throw 1 of 2,1,27-39,,
8:29.0,T. Ariza makes free throw 2 of 2,1,28-39,,
8:21.0,Personal foul by C. Brewer (drawn by A. Goodwin),,28-39,,
8:12.0,,,28-39,,M. Morris misses 2-pt shot from 1 ft
8:10.0,Defensive rebound by D. Howard,,28-39,,
8:04.0,P. Beverley makes 3-pt shot from 23 ft (assist by T. Ariza),3,31-39,,
7:43.0,,,31-41,2,A. Len makes 2-pt shot from 18 ft
7:31.0,J. Harden misses 2-pt shot from 17 ft,,31-41,,
7:29.0,Offensive rebound by D. Howard,,31-41,,
7:27.0,D. Howard makes 2-pt shot from 1 ft,2,33-41,,
7:11.0,,,33-41,,Turnover by M. Morris (lost ball; steal by T. Ariza)
7:08.0,Shooting foul by A. Goodwin (drawn by T. Ariza),,33-41,,
7:08.0,T. Ariza makes free throw 1 of 2,1,34-41,,
7:08.0,J. Smith enters the game for C. Brewer,,34-41,,
7:08.0,T. Ariza misses free throw 2 of 2,,34-41,,
7:08.0,,,34-41,,Defensive rebound by M. Morris
6:50.0,,,34-41,,M. Morris misses 2-pt shot from 11 ft
6:49.0,Defensive rebound by D. Howard,,34-41,,
6:43.0,J. Harden misses 2-pt shot from 1 ft (block by M. Morris),,34-41,,
6:42.0,,,34-41,,Defensive rebound by J. McRae
6:34.0,,,34-43,2,J. McRae makes 2-pt shot from 12 ft (assist by A. Goodwin)
6:18.0,Shooting foul by D. Booker (drawn by T. Ariza),,34-43,,
6:18.0,T. Ariza makes free throw 1 of 2,1,35-43,,
6:18.0,,,35-43,,P. Tucker enters the game for D. Booker
6:18.0,T. Ariza makes free throw 2 of 2,1,36-43,,
6:02.0,,,36-43,,A. Len misses 2-pt shot from 17 ft
6:01.0,,,36-43,,Offensive rebound by A. Goodwin
5:56.0,,,36-43,,A. Goodwin misses 2-pt shot at rim
5:56.0,Defensive rebound by Team,,36-43,,
5:56.0,,,36-43,,Loose ball foul by A. Goodwin (drawn by J. Harden)
5:56.0,,,36-43,,Phoenix full timeout
5:56.0,,,36-43,,T. Chandler enters the game for A. Len
5:56.0,,,36-43,,D. Booker enters the game for J. McRae
5:56.0,J. Harden makes free throw 1 of 2,1,37-43,,
5:56.0,J. Harden makes free throw 2 of 2,1,38-43,,
5:38.0,,,38-43,,Shooting foul by J. Smith (drawn by M. Morris)
5:38.0,,,38-44,1,M. Morris makes free throw 1 of 2
5:38.0,,,38-45,1,M. Morris makes free throw 2 of 2
5:21.0,D. Howard makes 2-pt shot at rim (assist by J. Smith),2,40-45,,
5:00.0,,,40-45,,M. Morris misses 2-pt shot from 17 ft
4:59.0,,,40-45,,Offensive rebound by M. Morris
4:54.0,,,40-45,,D. Booker misses 2-pt shot from 2 ft (block by P. Beverley)
4:53.0,Defensive rebound by P. Beverley,,40-45,,
4:48.0,T. Ariza makes 2-pt shot at rim (assist by J. Smith),2,42-45,,
4:37.0,,,42-45,,Turnover by D. Booker (bad pass; steal by T. Ariza)
4:28.0,T. Ariza misses 2-pt shot at rim,,42-45,,
4:26.0,Offensive rebound by P. Beverley,,42-45,,
4:26.0,P. Beverley makes 2-pt shot from 2 ft,2,44-45,,
4:23.0,,,44-45,,Phoenix full timeout
4:17.0,Personal foul by P. Beverley (drawn by D. Booker),,44-45,,
4:17.0,,,44-46,1,D. Booker makes free throw 1 of 2
4:17.0,,,44-46,,D. Booker misses free throw 2 of 2
4:16.0,Defensive rebound by J. Harden,,44-46,,
3:56.0,J. Smith misses 2-pt shot from 20 ft,,44-46,,
3:55.0,Offensive rebound by J. Harden,,44-46,,
3:51.0,J. Harden misses 2-pt shot from 15 ft,,44-46,,
3:50.0,,,44-46,,Defensive rebound by T. Chandler
3:45.0,,,44-46,,Shooting foul by P. Beverley (drawn by D. Booker)
3:45.0,,,44-47,1,D. Booker makes free throw 1 of 2
3:45.0,T. Lawson enters the game for P. Beverley,,44-47,,
3:45.0,C. Capela enters the game for D. Howard,,44-47,,
3:45.0,,,44-48,1,D. Booker makes free throw 2 of 2
3:34.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,46-48,,
3:17.0,,,46-51,3,A. Goodwin makes 3-pt shot from 24 ft (assist by M. Morris)
3:09.0,,,46-51,,Personal block foul by T. Chandler (drawn by J. Harden)
3:09.0,J. Harden makes free throw 1 of 2,1,47-51,,
3:09.0,J. Harden makes free throw 2 of 2,1,48-51,,
2:53.0,,,48-51,,P. Tucker misses 2-pt shot from 2 ft
2:52.0,Defensive rebound by C. Capela,,48-51,,
2:36.0,J. Harden misses 2-pt shot from 14 ft,,48-51,,
2:34.0,Offensive rebound by T. Ariza,,48-51,,
2:30.0,J. Smith makes 3-pt shot from 24 ft (assist by T. Lawson),3,51-51,,
2:05.0,,,51-51,,Turnover by D. Booker (bad pass; steal by J. Smith)
2:02.0,Shooting foul by M. Morris (drawn by J. Smith),,51-51,,
2:02.0,Houston full timeout,,51-51,,
2:02.0,J. Smith makes free throw 1 of 2,1,52-51,,
2:02.0,J. Smith misses free throw 2 of 2,,52-51,,
2:01.0,,,52-51,,Defensive rebound by P. Tucker
1:41.0,,,52-54,3,P. Tucker makes 3-pt shot from 23 ft (assist by D. Booker)
1:32.0,T. Lawson misses 3-pt shot from 25 ft,,52-54,,
1:31.0,Offensive rebound by J. Smith,,52-54,,
1:25.0,C. Capela makes 2-pt shot at rim (assist by T. Lawson),2,54-54,,
1:21.0,,,54-54,,Phoenix full timeout
1:21.0,,,54-54,,J. McRae enters the game for D. Booker
1:08.0,,,54-54,,Turnover by A. Goodwin (bad pass; steal by T. Ariza)
1:04.0,Turnover by T. Ariza (bad pass; steal by P. Tucker),,54-54,,
1:01.0,,,54-54,,Shooting foul by J. Smith (drawn by P. Tucker)
1:01.0,,,54-55,1,P. Tucker makes free throw 1 of 2
1:01.0,,,54-56,1,P. Tucker makes free throw 2 of 2
0:44.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,56-56,,
0:20.0,,,56-56,,Shooting foul by T. Ariza (drawn by M. Morris)
0:20.0,,,56-57,1,M. Morris makes free throw 1 of 3
0:20.0,,,56-58,1,M. Morris makes free throw 2 of 3
0:20.0,,,56-59,1,M. Morris makes free throw 3 of 3
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,T. Ariza makes 3-pt shot from 24 ft,3,59-59,,
11:13.0,,,59-59,,P. Tucker misses 3-pt shot from 25 ft
11:11.0,,,59-59,,Offensive rebound by T. Chandler
11:09.0,,,59-59,,A. Goodwin misses 2-pt shot from 2 ft
11:05.0,Defensive rebound by D. Howard,,59-59,,
11:03.0,C. Brewer makes 2-pt shot at rim (assist by J. Harden),2,61-59,,
10:48.0,,,61-59,,D. Booker misses 2-pt shot from 7 ft (block by D. Howard)
10:45.0,,,61-59,,Offensive rebound by M. Morris
10:43.0,,,61-59,,Turnover by M. Morris (lost ball; steal by P. Beverley)
10:43.0,C. Brewer makes 2-pt shot at rim (assist by P. Beverley),2,63-59,,
10:43.0,,,63-59,,Phoenix full timeout
10:26.0,,,63-59,,P. Tucker misses 3-pt shot from 22 ft
10:24.0,,,63-59,,Offensive rebound by Team
10:22.0,,,63-61,2,T. Chandler makes 2-pt shot from 14 ft (assist by P. Tucker)
10:12.0,T. Ariza makes 2-pt shot from 1 ft (assist by P. Beverley),2,65-61,,
9:55.0,,,65-61,,A. Goodwin misses 3-pt shot from 22 ft
9:52.0,Defensive rebound by J. Harden,,65-61,,
9:50.0,C. Brewer makes 2-pt shot from 1 ft (assist by P. Beverley),2,67-61,,
9:34.0,,,67-64,3,D. Booker makes 3-pt shot from 24 ft (assist by A. Goodwin)
9:15.0,,,67-64,,Personal foul by P. Tucker (drawn by C. Brewer)
9:06.0,P. Beverley misses 2-pt shot from 1 ft,,67-64,,
9:02.0,,,67-64,,Defensive rebound by T. Chandler
9:01.0,,,67-64,,Turnover by P. Tucker (bad pass; steal by C. Brewer)
8:56.0,J. Harden misses 3-pt shot from 24 ft,,67-64,,
8:52.0,,,67-64,,Defensive rebound by T. Chandler
8:34.0,,,67-64,,Turnover by M. Morris (bad pass; steal by J. Harden)
8:29.0,Offensive foul by D. Howard,,67-64,,
8:29.0,Turnover by D. Howard (offensive foul),,67-64,,
8:05.0,,,67-64,,Turnover by P. Tucker (3 sec)
7:56.0,J. Harden makes 3-pt shot from 26 ft,3,70-64,,
7:37.0,,,70-64,,D. Booker misses 3-pt shot from 22 ft
7:35.0,,,70-64,,Offensive rebound by T. Chandler
7:31.0,,,70-66,2,A. Goodwin makes 2-pt shot from 16 ft (assist by P. Tucker)
7:15.0,Turnover by J. Harden (lost ball; steal by P. Tucker),,70-66,,
7:12.0,,,70-66,,Turnover by M. Morris (bad pass; steal by P. Beverley)
7:09.0,C. Brewer makes 3-pt shot from 23 ft (assist by P. Beverley),3,73-66,,
6:49.0,,,73-66,,M. Morris misses 2-pt shot from 15 ft
6:49.0,,,73-66,,Offensive rebound by Team
6:49.0,Loose ball foul by J. Harden (drawn by T. Chandler),,73-66,,
6:49.0,T. Lawson enters the game for P. Beverley,,73-66,,
6:44.0,,,73-66,,P. Tucker misses 3-pt shot from 23 ft
6:42.0,Defensive rebound by D. Howard,,73-66,,
6:23.0,J. Harden misses 3-pt shot from 24 ft,,73-66,,
6:21.0,,,73-66,,Defensive rebound by T. Chandler
6:09.0,,,73-66,,Turnover by D. Booker (bad pass; steal by C. Brewer)
6:07.0,Shooting foul by M. Morris (drawn by C. Brewer),,73-66,,
6:07.0,C. Brewer makes free throw 1 of 2,1,74-66,,
6:07.0,,,74-66,,A. Len enters the game for T. Chandler
6:07.0,C. Brewer makes free throw 2 of 2,1,75-66,,
5:53.0,,,75-66,,Turnover by D. Booker (lost ball; steal by C. Brewer)
5:48.0,T. Ariza makes 2-pt shot from 1 ft (assist by C. Brewer),2,77-66,,
5:22.0,,,77-66,,A. Goodwin misses 3-pt shot from 25 ft
5:20.0,,,77-66,,Offensive rebound by A. Len
5:19.0,,,77-66,,Shooting foul by T. Lawson (drawn by A. Goodwin)
5:19.0,,,77-67,1,A. Goodwin makes free throw 1 of 2
5:19.0,,,77-67,,S. Weems enters the game for D. Booker
5:19.0,,,77-67,,M. Teletovic enters the game for M. Morris
5:19.0,,,77-68,1,A. Goodwin makes free throw 2 of 2
5:06.0,J. Harden misses 3-pt shot from 24 ft,,77-68,,
5:04.0,,,77-68,,Defensive rebound by A. Len
4:41.0,,,77-71,3,M. Teletovic makes 3-pt shot from 24 ft (assist by S. Weems)
4:25.0,Turnover by T. Ariza (bad pass; steal by P. Tucker),,77-71,,
4:11.0,,,77-71,,M. Teletovic misses 3-pt shot from 25 ft
4:09.0,Defensive rebound by D. Howard,,77-71,,
4:09.0,Turnover by D. Howard (step out of bounds),,77-71,,
4:09.0,J. Smith enters the game for C. Brewer,,77-71,,
4:03.0,,,77-71,,A. Len misses 2-pt shot from 14 ft
4:00.0,Defensive rebound by T. Ariza,,77-71,,
3:48.0,T. Lawson makes 3-pt shot from 23 ft (assist by J. Harden),3,80-71,,
3:29.0,,,80-71,,Turnover by P. Tucker (traveling)
3:29.0,C. Capela enters the game for D. Howard,,80-71,,
3:19.0,T. Lawson makes 3-pt shot from 26 ft,3,83-71,,
3:03.0,,,83-71,,M. Teletovic misses 2-pt shot from 5 ft
3:02.0,,,83-71,,Offensive rebound by A. Len
3:02.0,,,83-71,,A. Len misses 2-pt shot at rim
3:02.0,,,83-71,,Offensive rebound by A. Len
3:02.0,,,83-73,2,A. Len makes 2-pt shot at rim
3:02.0,,,83-73,,Shooting foul by C. Capela (drawn by A. Len)
3:02.0,,,83-74,1,A. Len makes free throw 1 of 1
2:48.0,T. Ariza misses 3-pt shot from 23 ft,,83-74,,
2:47.0,Offensive rebound by C. Capela,,83-74,,
2:38.0,Turnover by J. Harden (traveling),,83-74,,
2:38.0,Houston full timeout,,83-74,,
2:38.0,C. Brewer enters the game for T. Ariza,,83-74,,
2:25.0,,,83-74,,M. Teletovic misses 3-pt shot from 24 ft
2:23.0,Defensive rebound by T. Lawson,,83-74,,
2:17.0,C. Capela makes 2-pt shot from 1 ft (assist by T. Lawson),2,85-74,,
2:07.0,,,85-74,,Offensive foul by P. Tucker
2:07.0,,,85-74,,Turnover by P. Tucker (offensive foul)
1:57.0,Turnover by C. Brewer (bad pass; steal by S. Weems),,85-74,,
1:51.0,,,85-74,,P. Tucker misses 2-pt shot from 2 ft (block by C. Capela)
1:49.0,Defensive rebound by J. Harden,,85-74,,
1:48.0,,,85-74,,Personal foul by M. Teletovic (drawn by J. Harden)
1:36.0,J. Harden misses 3-pt shot from 23 ft,,85-74,,
1:34.0,,,85-74,,Defensive rebound by P. Tucker
1:26.0,,,85-74,,Shooting foul by C. Capela (drawn by A. Len)
1:26.0,,,85-75,1,A. Len makes free throw 1 of 2
1:26.0,,,85-75,,A. Len misses free throw 2 of 2
1:25.0,Defensive rebound by J. Harden,,85-75,,
1:13.0,T. Lawson misses 2-pt shot from 17 ft,,85-75,,
1:10.0,,,85-75,,Defensive rebound by A. Len
0:56.0,,,85-77,2,A. Len makes 2-pt shot at rim (assist by A. Goodwin)
0:50.0,C. Brewer misses 2-pt shot from 4 ft,,85-77,,
0:46.0,,,85-77,,Defensive rebound by A. Len
0:41.0,,,85-77,,S. Weems misses 3-pt shot from 23 ft
0:38.0,Defensive rebound by J. Harden,,85-77,,
0:36.0,,,85-77,,Shooting block foul by A. Len (drawn by C. Capela)
0:36.0,C. Capela misses free throw 1 of 2,,85-77,,
0:36.0,Offensive rebound by Team,,85-77,,
0:36.0,C. Capela misses free throw 2 of 2,,85-77,,
0:35.0,,,85-77,,Defensive rebound by A. Len
0:14.0,,,85-77,,Turnover by A. Goodwin (bad pass; steal by C. Brewer)
0:04.0,J. Harden makes 2-pt shot from 11 ft,2,87-77,,
0:04.0,,,87-77,,Shooting block foul by P. Tucker (drawn by J. Harden)
0:04.0,,,87-77,,D. Booker enters the game for P. Tucker
0:04.0,T. Ariza enters the game for C. Capela,,87-77,,
0:04.0,P. Beverley enters the game for T. Lawson,,87-77,,
0:04.0,J. Harden makes free throw 1 of 1,1,88-77,,
0:00.0,,,88-80,3,A. Goodwin makes 3-pt shot from 25 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,88-83,3,M. Teletovic makes 3-pt shot from 25 ft (assist by D. Booker)
11:32.0,C. Brewer misses 3-pt shot from 23 ft,,88-83,,
11:31.0,,,88-83,,Defensive rebound by S. Weems
11:23.0,,,88-83,,Shooting foul by D. Howard (drawn by M. Teletovic)
11:23.0,,,88-84,1,M. Teletovic makes free throw 1 of 2
11:23.0,,,88-85,1,M. Teletovic makes free throw 2 of 2
11:10.0,Turnover by T. Ariza (bad pass; steal by A. Len),,88-85,,
11:06.0,,,88-85,,Turnover by D. Booker (bad pass)
11:06.0,J. Terry enters the game for C. Brewer,,88-85,,
10:44.0,T. Lawson makes 3-pt shot from 24 ft (assist by D. Howard),3,91-85,,
10:34.0,,,91-88,3,M. Teletovic makes 3-pt shot from 24 ft (assist by J. McRae)
10:21.0,J. Smith misses 3-pt shot from 26 ft,,91-88,,
10:19.0,Offensive rebound by J. Terry,,91-88,,
10:16.0,T. Ariza misses 3-pt shot from 24 ft,,91-88,,
10:14.0,,,91-88,,Defensive rebound by A. Len
10:07.0,,,91-90,2,M. Teletovic makes 2-pt shot from 1 ft (assist by S. Weems)
10:07.0,Houston full timeout,,91-90,,
10:07.0,C. Brewer enters the game for J. Smith,,91-90,,
9:47.0,T. Lawson misses 3-pt shot from 24 ft,,91-90,,
9:45.0,,,91-90,,Defensive rebound by M. Teletovic
9:30.0,,,91-90,,M. Teletovic misses 3-pt shot from 24 ft
9:28.0,Defensive rebound by D. Howard,,91-90,,
9:08.0,Shooting foul by M. Teletovic (drawn by D. Howard),,91-90,,
9:08.0,D. Howard misses free throw 1 of 2,,91-90,,
9:08.0,Offensive rebound by Team,,91-90,,
9:08.0,D. Howard misses free throw 2 of 2,,91-90,,
9:07.0,,,91-90,,Defensive rebound by S. Weems
8:52.0,,,91-90,,D. Booker misses 2-pt shot from 15 ft
8:49.0,,,91-90,,Offensive rebound by A. Len
8:36.0,,,91-92,2,A. Len makes 2-pt shot from 4 ft (assist by S. Weems)
8:18.0,,,91-92,,Personal foul by A. Len (drawn by D. Howard)
8:18.0,P. Beverley enters the game for T. Lawson,,91-92,,
8:18.0,J. Harden enters the game for C. Brewer,,91-92,,
8:08.0,Shooting foul by M. Teletovic (drawn by T. Ariza),,91-92,,
8:08.0,T. Ariza misses free throw 1 of 2,,91-92,,
8:08.0,Offensive rebound by Team,,91-92,,
8:08.0,T. Ariza misses free throw 2 of 2,,91-92,,
8:07.0,,,91-92,,Defensive rebound by M. Teletovic
7:49.0,,,91-92,,J. McRae misses 3-pt shot from 25 ft
7:47.0,,,91-92,,Offensive rebound by M. Teletovic
7:46.0,,,91-92,,M. Teletovic misses 2-pt shot from 8 ft
7:44.0,,,91-92,,Offensive rebound by A. Len
7:29.0,,,91-92,,D. Booker misses 2-pt shot from 19 ft
7:26.0,Defensive rebound by J. Harden,,91-92,,
7:21.0,J. Terry misses 3-pt shot from 24 ft,,91-92,,
7:18.0,,,91-92,,Defensive rebound by D. Booker
6:58.0,,,91-92,,J. McRae misses 2-pt shot from 21 ft
