time,Charlotte,pts.away,score,pts.home,Washington
5:43.0,,,42-41,2,J. Dudley makes 2-pt shot at rim (assist by J. Wall)
5:28.0,Turnover by J. Lin (traveling),,42-41,,
5:28.0,,,42-41,,G. Temple enters the game for R. Sessions
5:16.0,,,42-41,,J. Wall misses 2-pt shot from 19 ft
5:15.0,Defensive rebound by J. Lin,,42-41,,
4:59.0,K. Walker makes 2-pt shot from 16 ft,2,44-41,,
4:57.0,,,44-41,,Technical foul by J. Wall
4:57.0,K. Walker makes technical free throw,1,45-41,,
4:47.0,Personal foul by P. Hairston (drawn by K. Oubre),,45-41,,
4:38.0,,,45-41,,J. Dudley misses 2-pt shot from 21 ft
4:37.0,,,45-41,,Offensive rebound by M. Gortat
4:36.0,,,45-43,2,M. Gortat makes 2-pt shot from 2 ft
4:15.0,J. Lin makes 2-pt shot at rim,2,47-43,,
4:09.0,,,47-45,2,J. Wall makes 2-pt shot at rim
3:57.0,K. Walker misses 2-pt shot from 9 ft,,47-45,,
3:56.0,,,47-45,,Defensive rebound by G. Temple
3:51.0,,,47-45,,J. Wall misses 2-pt shot from 1 ft
3:47.0,Defensive rebound by P. Hairston,,47-45,,
3:37.0,T. Hansbrough enters the game for C. Zeller,,47-45,,
3:37.0,M. Williams enters the game for F. Kaminsky,,47-45,,
3:31.0,K. Walker misses 3-pt shot from 27 ft,,47-45,,
3:30.0,,,47-45,,Defensive rebound by M. Gortat
3:18.0,,,47-48,3,G. Temple makes 3-pt shot from 23 ft (assist by J. Wall)
2:58.0,T. Hansbrough misses 2-pt shot from 4 ft,,47-48,,
2:57.0,,,47-48,,Defensive rebound by K. Oubre
2:47.0,,,47-50,2,J. Wall makes 2-pt shot at rim
2:28.0,Turnover by K. Walker (bad pass; steal by J. Wall),,47-50,,
2:25.0,,,47-50,,Turnover by J. Wall (lost ball)
2:25.0,Official timeout,,47-50,,
2:25.0,N. Batum enters the game for P. Hairston,,47-50,,
2:09.0,Turnover by T. Hansbrough (offensive goaltending),,47-50,,
1:57.0,,,47-53,3,K. Oubre makes 3-pt shot from 24 ft (assist by J. Wall)
1:31.0,M. Williams makes 2-pt shot from 3 ft (assist by J. Lin),2,49-53,,
1:24.0,,,49-53,,Shooting foul by T. Hansbrough (drawn by J. Wall)
1:24.0,,,49-53,,J. Wall misses free throw 1 of 2
1:24.0,,,49-53,,Offensive rebound by Team
1:24.0,,,49-54,1,J. Wall makes free throw 2 of 2
1:03.0,J. Lin makes 2-pt shot from 20 ft (assist by K. Walker),2,51-54,,
0:51.0,,,51-54,,M. Gortat misses 2-pt shot from 1 ft (block by M. Williams)
0:49.0,Defensive rebound by T. Hansbrough,,51-54,,
0:46.0,Turnover by T. Hansbrough (bad pass; steal by J. Wall),,51-54,,
0:44.0,,,51-54,,J. Wall misses 3-pt shot from 23 ft
0:42.0,,,51-54,,Offensive rebound by M. Gortat
0:38.0,,,51-56,2,M. Gortat makes 2-pt shot from 4 ft (assist by J. Dudley)
0:21.0,N. Batum misses 3-pt shot from 25 ft,,51-56,,
0:20.0,Offensive rebound by M. Williams,,51-56,,
0:05.0,K. Walker makes 2-pt shot from 15 ft,2,53-56,,
0:00.0,,,53-59,3,G. Temple makes 3-pt shot from 24 ft (assist by J. Wall)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,N. Batum misses 3-pt shot from 25 ft,,53-59,,
11:48.0,,,53-59,,Defensive rebound by Team
11:48.0,Loose ball foul by M. Williams (drawn by M. Gortat),,53-59,,
11:31.0,,,53-59,,Turnover by M. Gortat (traveling)
11:16.0,P. Hairston makes 3-pt shot from 25 ft (assist by N. Batum),3,56-59,,
10:57.0,,,56-59,,Turnover by M. Gortat (bad pass; steal by N. Batum)
10:51.0,Turnover by N. Batum (bad pass; steal by J. Dudley),,56-59,,
10:45.0,,,56-61,2,G. Temple makes 2-pt shot from 1 ft (assist by J. Wall)
10:29.0,K. Walker misses 2-pt shot from 4 ft,,56-61,,
10:28.0,,,56-61,,Defensive rebound by J. Wall
10:14.0,,,56-61,,M. Gortat misses 2-pt shot from 1 ft (block by N. Batum)
10:12.0,Defensive rebound by P. Hairston,,56-61,,
10:04.0,P. Hairston misses 2-pt shot from 2 ft,,56-61,,
10:03.0,Offensive rebound by P. Hairston,,56-61,,
9:56.0,N. Batum makes 3-pt shot from 24 ft (assist by M. Williams),3,59-61,,
9:50.0,,,59-61,,G. Temple misses 2-pt shot from 2 ft (block by C. Zeller)
9:47.0,Defensive rebound by C. Zeller,,59-61,,
9:28.0,P. Hairston misses 2-pt shot from 12 ft,,59-61,,
9:27.0,Offensive rebound by C. Zeller,,59-61,,
9:20.0,N. Batum misses 3-pt shot from 25 ft,,59-61,,
9:19.0,,,59-61,,Defensive rebound by J. Dudley
9:12.0,J. Lin enters the game for P. Hairston,,59-61,,
8:57.0,,,59-64,3,J. Wall makes 3-pt shot from 26 ft
8:36.0,C. Zeller misses 2-pt shot at rim (block by K. Oubre),,59-64,,
8:33.0,,,59-64,,Defensive rebound by G. Temple
8:29.0,,,59-66,2,G. Temple makes 2-pt shot at rim
8:19.0,M. Williams misses 3-pt shot from 25 ft,,59-66,,
8:18.0,,,59-66,,Defensive rebound by K. Oubre
8:11.0,,,59-66,,J. Dudley misses 3-pt shot from 27 ft
8:10.0,,,59-66,,Offensive rebound by M. Gortat
8:06.0,,,59-66,,Turnover by J. Wall (bad pass; steal by C. Zeller)
8:00.0,C. Zeller makes 2-pt shot from 1 ft (assist by N. Batum),2,61-66,,
7:39.0,,,61-66,,Turnover by J. Wall (bad pass; steal by N. Batum)
7:37.0,,,61-66,,Violation by J. Wall (kicked ball)
7:34.0,,,61-66,,Personal foul by K. Oubre (drawn by N. Batum)
7:31.0,Shooting foul by K. Oubre (drawn by N. Batum),,61-66,,
7:31.0,N. Batum misses free throw 1 of 2,,61-66,,
7:31.0,Offensive rebound by Team,,61-66,,
7:31.0,,,61-66,,G. Neal enters the game for K. Oubre
7:31.0,N. Batum makes free throw 2 of 2,1,62-66,,
7:23.0,Personal foul by C. Zeller (drawn by M. Gortat),,62-66,,
7:19.0,,,62-66,,Shooting foul by C. Zeller (drawn by M. Gortat)
7:19.0,,,62-67,1,M. Gortat makes free throw 1 of 2
7:19.0,,,62-68,1,M. Gortat makes free throw 2 of 2
7:00.0,J. Lin makes 3-pt shot from 26 ft (assist by N. Batum),3,65-68,,
6:38.0,,,65-68,,J. Wall misses 2-pt shot from 17 ft
6:37.0,Defensive rebound by N. Batum,,65-68,,
6:29.0,N. Batum makes 2-pt shot from 16 ft,2,67-68,,
6:28.0,,,67-68,,Washington full timeout
6:11.0,,,67-68,,Shooting foul by J. Lin (drawn by G. Neal)
6:11.0,,,67-69,1,G. Neal makes free throw 1 of 2
6:11.0,,,67-70,1,G. Neal makes free throw 2 of 2
5:54.0,K. Walker misses 3-pt shot from 25 ft,,67-70,,
5:53.0,,,67-70,,Defensive rebound by J. Wall
5:47.0,,,67-70,,Turnover by J. Wall (bad pass; steal by N. Batum)
5:42.0,M. Williams makes 2-pt shot from 1 ft (assist by N. Batum),2,69-70,,
5:25.0,,,69-72,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
5:11.0,Turnover by J. Lin (lost ball; steal by M. Gortat),,69-72,,
5:07.0,,,69-72,,Shooting foul by M. Williams (drawn by G. Temple)
5:07.0,,,69-72,,G. Temple misses free throw 1 of 2
5:07.0,,,69-72,,Offensive rebound by Team
5:07.0,F. Kaminsky enters the game for M. Williams,,69-72,,
5:07.0,,,69-73,1,G. Temple makes free throw 2 of 2
4:44.0,C. Zeller misses 2-pt shot from 19 ft,,69-73,,
4:43.0,,,69-73,,Defensive rebound by J. Dudley
4:31.0,,,69-73,,Turnover by J. Wall (bad pass)
4:19.0,Turnover by N. Batum (bad pass; steal by G. Temple),,69-73,,
4:11.0,,,69-76,3,J. Dudley makes 3-pt shot from 22 ft (assist by G. Neal)
3:46.0,F. Kaminsky misses 3-pt shot from 27 ft,,69-76,,
3:45.0,,,69-76,,Defensive rebound by M. Gortat
3:29.0,,,69-76,,M. Gortat misses 2-pt shot from 10 ft
3:28.0,Defensive rebound by N. Batum,,69-76,,
3:21.0,Shooting foul by J. Dudley (drawn by F. Kaminsky),,69-76,,
3:21.0,F. Kaminsky misses free throw 1 of 2,,69-76,,
3:21.0,Offensive rebound by Team,,69-76,,
3:21.0,S. Hawes enters the game for C. Zeller,,69-76,,
3:21.0,,,69-76,,R. Sessions enters the game for J. Wall
3:21.0,,,69-76,,K. Humphries enters the game for J. Dudley
3:21.0,F. Kaminsky makes free throw 2 of 2,1,70-76,,
2:59.0,,,70-78,2,K. Humphries makes 2-pt shot from 19 ft (assist by G. Neal)
2:43.0,,,70-78,,Personal foul by G. Neal (drawn by J. Lin)
2:43.0,Charlotte full timeout,,70-78,,
2:28.0,K. Walker misses 3-pt shot from 25 ft,,70-78,,
2:27.0,,,70-78,,Defensive rebound by R. Sessions
2:10.0,,,70-78,,G. Neal misses 3-pt shot from 26 ft
2:10.0,Defensive rebound by S. Hawes,,70-78,,
1:55.0,Turnover by N. Batum (bad pass),,70-78,,
1:39.0,,,70-80,2,K. Humphries makes 2-pt shot at rim (assist by G. Temple)
1:39.0,,,70-80,,Shooting foul by F. Kaminsky (drawn by K. Humphries)
1:39.0,J. Lamb enters the game for N. Batum,,70-80,,
1:39.0,,,70-81,1,K. Humphries makes free throw 1 of 1
1:16.0,J. Lamb makes 2-pt shot from 9 ft (assist by J. Lin),2,72-81,,
1:02.0,,,72-83,2,R. Sessions makes 2-pt shot from 12 ft (assist by G. Temple)
1:02.0,,,72-83,,Shooting foul by F. Kaminsky (drawn by R. Sessions)
1:02.0,,,72-84,1,R. Sessions makes free throw 1 of 1
0:47.0,J. Lamb misses 3-pt shot from 25 ft,,72-84,,
0:46.0,,,72-84,,Defensive rebound by R. Sessions
0:36.0,,,72-86,2,G. Neal makes 2-pt shot from 8 ft (assist by G. Temple)
0:21.0,F. Kaminsky makes 3-pt shot from 22 ft (assist by K. Walker),3,75-86,,
0:03.0,,,75-86,,Turnover by M. Gortat (3 sec)
0:01.0,J. Lin misses 2-pt shot at rim (block by M. Gortat),,75-86,,
0:00.0,Offensive rebound by Team,,75-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,75-88,2,M. Gortat makes 2-pt shot from 6 ft (assist by J. Wall)
11:29.0,S. Hawes misses 3-pt shot from 25 ft,,75-88,,
11:28.0,,,75-88,,Defensive rebound by J. Wall
11:21.0,,,75-88,,J. Wall misses 2-pt shot from 19 ft
11:20.0,Defensive rebound by J. Lamb,,75-88,,
11:05.0,S. Hawes misses 2-pt shot from 12 ft,,75-88,,
11:04.0,,,75-88,,Defensive rebound by K. Humphries
10:59.0,,,75-88,,G. Neal misses 3-pt shot from 27 ft
10:57.0,Defensive rebound by J. Lamb,,75-88,,
10:54.0,J. Lin misses 2-pt shot from 2 ft,,75-88,,
10:53.0,Offensive rebound by Team,,75-88,,
10:53.0,,,75-88,,J. Dudley enters the game for M. Gortat
10:48.0,,,75-88,,Def 3 sec tech foul by J. Dudley
10:48.0,J. Lin makes technical free throw,1,76-88,,
10:41.0,J. Lamb misses 3-pt shot from 25 ft,,76-88,,
10:40.0,Offensive rebound by P. Hairston,,76-88,,
10:40.0,Shooting foul by J. Dudley (drawn by P. Hairston),,76-88,,
10:40.0,P. Hairston makes free throw 1 of 2,1,77-88,,
10:40.0,P. Hairston makes free throw 2 of 2,1,78-88,,
10:22.0,,,78-90,2,J. Dudley makes 2-pt shot from 15 ft (assist by G. Neal)
10:07.0,S. Hawes misses 2-pt shot from 2 ft,,78-90,,
10:06.0,,,78-90,,Defensive rebound by R. Sessions
9:50.0,,,78-93,3,J. Dudley makes 3-pt shot from 26 ft (assist by J. Wall)
9:50.0,Charlotte full timeout,,78-93,,
9:50.0,M. Williams enters the game for P. Hairston,,78-93,,
9:50.0,N. Batum enters the game for F. Kaminsky,,78-93,,
9:50.0,K. Walker enters the game for J. Lamb,,78-93,,
9:36.0,J. Lin makes 2-pt shot from 1 ft,2,80-93,,
9:11.0,,,80-93,,G. Neal misses 3-pt shot from 25 ft
9:10.0,Defensive rebound by J. Lin,,80-93,,
8:54.0,N. Batum misses 2-pt shot from 19 ft,,80-93,,
8:53.0,Offensive rebound by M. Williams,,80-93,,
8:44.0,J. Lin misses 2-pt shot from 15 ft,,80-93,,
8:42.0,,,80-93,,Defensive rebound by K. Humphries
8:28.0,,,80-93,,Turnover by J. Wall (bad pass; steal by K. Walker)
8:25.0,,,80-93,,Personal take foul by J. Dudley (drawn by K. Walker)
8:25.0,,,80-93,,K. Oubre enters the game for G. Neal
8:12.0,K. Walker makes 2-pt shot from 1 ft (assist by N. Batum),2,82-93,,
8:02.0,,,82-93,,K. Humphries misses 2-pt shot from 21 ft
8:00.0,Defensive rebound by K. Walker,,82-93,,
7:55.0,K. Walker misses 2-pt shot from 3 ft,,82-93,,
7:54.0,,,82-93,,Defensive rebound by K. Humphries
7:44.0,,,82-93,,R. Sessions misses 2-pt shot at rim
7:43.0,Defensive rebound by J. Lin,,82-93,,
7:23.0,N. Batum misses 3-pt shot from 25 ft,,82-93,,
7:21.0,,,82-93,,Defensive rebound by J. Dudley
7:04.0,,,82-93,,R. Sessions misses 2-pt shot at rim
7:03.0,Defensive rebound by S. Hawes,,82-93,,
6:54.0,Shooting foul by K. Humphries (drawn by K. Walker),,82-93,,
6:54.0,K. Walker makes free throw 1 of 2,1,83-93,,
6:54.0,,,83-93,,M. Gortat enters the game for K. Humphries
6:54.0,K. Walker makes free throw 2 of 2,1,84-93,,
6:41.0,,,84-95,2,M. Gortat makes 2-pt shot from 4 ft (assist by J. Dudley)
6:13.0,N. Batum makes 2-pt shot from 18 ft,2,86-95,,
5:57.0,Personal foul by K. Walker (drawn by J. Wall),,86-95,,
5:57.0,Official timeout,,86-95,,
5:57.0,C. Zeller enters the game for S. Hawes,,86-95,,
5:57.0,,,86-95,,G. Temple enters the game for R. Sessions
5:49.0,,,86-95,,J. Dudley misses 3-pt shot from 25 ft
5:48.0,Defensive rebound by C. Zeller,,86-95,,
5:32.0,N. Batum misses 3-pt shot from 26 ft,,86-95,,
5:30.0,Offensive rebound by J. Lin,,86-95,,
5:28.0,J. Lin misses 2-pt shot from 2 ft,,86-95,,
5:28.0,Offensive rebound by C. Zeller,,86-95,,
5:26.0,C. Zeller makes 2-pt shot from 1 ft,2,88-95,,
5:04.0,,,88-95,,M. Gortat misses 2-pt shot from 14 ft
5:03.0,Defensive rebound by N. Batum,,88-95,,
4:55.0,J. Lin misses 2-pt shot from 18 ft,,88-95,,
4:54.0,,,88-95,,Defensive rebound by G. Temple
4:46.0,,,88-95,,J. Wall misses 2-pt shot from 15 ft
4:45.0,Defensive rebound by Team,,88-95,,
4:34.0,N. Batum makes 2-pt shot from 1 ft,2,90-95,,
4:16.0,,,90-95,,M. Gortat misses 2-pt shot from 1 ft
4:15.0,Defensive rebound by J. Lin,,90-95,,
4:10.0,K. Walker makes 2-pt shot at rim (assist by J. Lin),2,92-95,,
4:10.0,,,92-95,,Washington full timeout
4:10.0,,,92-95,,R. Sessions enters the game for K. Oubre
3:55.0,,,92-97,2,G. Temple makes 2-pt shot from 3 ft (assist by J. Dudley)
3:37.0,M. Williams misses 2-pt shot from 16 ft,,92-97,,
3:36.0,,,92-97,,Defensive rebound by R. Sessions
3:25.0,,,92-97,,J. Wall misses 3-pt shot from 27 ft
3:24.0,Defensive rebound by N. Batum,,92-97,,
3:11.0,N. Batum makes 2-pt shot at rim,2,94-97,,
3:10.0,,,94-97,,Shooting foul by K. Walker (drawn by G. Temple)
3:10.0,,,94-98,1,G. Temple makes free throw 1 of 2
3:10.0,,,94-99,1,G. Temple makes free throw 2 of 2
2:49.0,K. Walker misses 2-pt shot from 1 ft (block by M. Gortat),,94-99,,
2:47.0,Offensive rebound by C. Zeller,,94-99,,
2:44.0,C. Zeller makes 2-pt shot at rim,2,96-99,,
2:41.0,,,96-99,,Offensive foul by G. Temple
2:41.0,,,96-99,,Turnover by G. Temple (offensive foul)
2:24.0,C. Zeller makes 2-pt shot from 4 ft (assist by N. Batum),2,98-99,,
2:07.0,,,98-101,2,J. Wall makes 2-pt shot from 19 ft
1:52.0,K. Walker misses 3-pt shot from 25 ft,,98-101,,
1:51.0,,,98-101,,Defensive rebound by M. Gortat
1:34.0,,,98-103,2,M. Gortat makes 2-pt shot from 11 ft (assist by J. Wall)
1:34.0,Charlotte full timeout,,98-103,,
1:30.0,Turnover by K. Walker (lost ball; steal by G. Temple),,98-103,,
1:30.0,Personal take foul by K. Walker,,98-103,,
1:11.0,,,98-105,2,J. Dudley makes 2-pt shot at rim (assist by J. Wall)
1:01.0,Shooting foul by J. Wall (drawn by C. Zeller),,98-105,,
1:01.0,C. Zeller misses free throw 1 of 2,,98-105,,
1:01.0,Offensive rebound by Team,,98-105,,
1:01.0,C. Zeller makes free throw 2 of 2,1,99-105,,
0:41.0,,,99-105,,J. Wall misses 3-pt shot from 28 ft
