time,Minnesota,pts.away,score,pts.home,Memphis
6:49.0,,,17-14,,J. Green misses 2-pt shot from 2 ft
6:48.0,,,17-14,,Offensive rebound by J. Green
6:46.0,,,17-16,2,J. Green makes 2-pt shot at rim
6:26.0,A. Wiggins makes 3-pt shot from 25 ft (assist by R. Rubio),3,20-16,,
6:19.0,Personal foul by R. Rubio,,20-16,,
6:12.0,,,20-16,,M. Barnes misses 2-pt shot at rim
6:10.0,Defensive rebound by A. Wiggins,,20-16,,
5:59.0,Turnover by R. Rubio (bad pass),,20-16,,
5:48.0,Personal foul by A. Wiggins,,20-16,,
5:43.0,,,20-16,,Turnover by B. Weber (lost ball; steal by R. Rubio)
5:37.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,22-16,,
5:20.0,,,22-16,,T. Allen misses 2-pt shot from 2 ft (block by G. Dieng)
5:18.0,,,22-16,,Offensive rebound by R. Hollins
5:15.0,,,22-16,,T. Allen misses 3-pt shot from 23 ft
5:14.0,Defensive rebound by R. Rubio,,22-16,,
5:02.0,Shooting foul by J. Green (drawn by G. Dieng),,22-16,,
5:02.0,G. Dieng makes free throw 1 of 2,1,23-16,,
5:02.0,,,23-16,,J. Martin enters the game for R. Hollins
5:02.0,G. Dieng misses free throw 2 of 2,,23-16,,
5:01.0,,,23-16,,Defensive rebound by J. Martin
4:45.0,,,23-16,,Shooting foul by R. Rubio (drawn by M. Barnes)
4:45.0,,,23-17,1,M. Barnes makes free throw 1 of 2
4:45.0,,,23-17,,R. McCallum enters the game for B. Weber
4:45.0,T. Jones enters the game for R. Rubio,,23-17,,
4:45.0,,,23-17,,L. Stephenson enters the game for T. Allen
4:45.0,G. Smith enters the game for K. Towns,,23-17,,
4:45.0,,,23-17,,M. Barnes misses free throw 2 of 2
4:45.0,Defensive rebound by G. Dieng,,23-17,,
4:25.0,G. Smith misses 2-pt shot from 1 ft (block by J. Martin),,23-17,,
4:25.0,Offensive rebound by Team,,23-17,,
4:22.0,A. Wiggins makes 2-pt shot from 6 ft (assist by Z. LaVine),2,25-17,,
3:55.0,,,25-17,,M. Barnes misses 3-pt shot from 24 ft
3:55.0,Defensive rebound by A. Wiggins,,25-17,,
3:44.0,G. Dieng misses 2-pt shot at rim,,25-17,,
3:42.0,,,25-17,,Defensive rebound by J. Martin
3:37.0,,,25-19,2,J. Martin makes 2-pt shot from 2 ft (assist by R. McCallum)
3:21.0,Z. LaVine makes 3-pt shot from 24 ft (assist by G. Dieng),3,28-19,,
3:01.0,,,28-19,,J. Green misses 2-pt shot from 6 ft
2:59.0,Defensive rebound by G. Smith,,28-19,,
2:54.0,T. Jones makes 2-pt shot from 1 ft,2,30-19,,
2:54.0,Shooting foul by R. McCallum (drawn by T. Jones),,30-19,,
2:54.0,,,30-19,,Memphis full timeout
2:54.0,,,30-19,,A. Stepheson enters the game for J. Green
2:54.0,K. Towns enters the game for A. Wiggins,,30-19,,
2:54.0,T. Prince enters the game for G. Dieng,,30-19,,
2:54.0,T. Jones makes free throw 1 of 1,1,31-19,,
2:33.0,,,31-19,,L. Stephenson misses 2-pt shot from 13 ft
2:31.0,,,31-19,,Offensive rebound by J. Martin
2:31.0,,,31-19,,Shooting foul by Z. LaVine (drawn by J. Martin)
2:31.0,,,31-20,1,J. Martin makes free throw 1 of 2
2:31.0,,,31-20,,J. Martin misses free throw 2 of 2
2:30.0,Defensive rebound by G. Smith,,31-20,,
2:14.0,T. Prince misses 2-pt shot from 19 ft,,31-20,,
2:14.0,Offensive rebound by K. Towns,,31-20,,
2:07.0,Z. LaVine misses 3-pt shot from 28 ft,,31-20,,
2:06.0,Offensive rebound by T. Prince,,31-20,,
1:52.0,Z. LaVine makes 2-pt shot from 20 ft (assist by K. Towns),2,33-20,,
1:38.0,,,33-20,,M. Barnes misses 2-pt shot from 1 ft
1:38.0,Defensive rebound by Team,,33-20,,
1:38.0,S. Muhammad enters the game for Z. LaVine,,33-20,,
1:38.0,,,33-20,,T. Allen enters the game for M. Barnes
1:20.0,K. Towns makes 2-pt shot from 7 ft,2,35-20,,
1:12.0,,,35-20,,Shooting foul by G. Smith (drawn by L. Stephenson)
1:12.0,,,35-21,1,L. Stephenson makes free throw 1 of 2
1:12.0,,,35-22,1,L. Stephenson makes free throw 2 of 2
1:00.0,G. Smith makes 2-pt shot from 7 ft (assist by T. Jones),2,37-22,,
0:48.0,,,37-24,2,L. Stephenson makes 2-pt shot from 5 ft
0:48.0,,,37-24,,Shooting foul by T. Prince (drawn by L. Stephenson)
0:48.0,,,37-25,1,L. Stephenson makes free throw 1 of 1
0:26.0,Shooting foul by A. Stepheson (drawn by T. Prince),,37-25,,
0:26.0,T. Prince makes free throw 1 of 2,1,38-25,,
0:26.0,,,38-25,,M. Barnes enters the game for A. Stepheson
0:26.0,A. Wiggins enters the game for G. Smith,,38-25,,
0:26.0,T. Prince makes free throw 2 of 2,1,39-25,,
0:03.0,,,39-25,,M. Barnes misses 2-pt shot from 5 ft (block by T. Jones)
0:02.0,,,39-25,,Offensive rebound by L. Stephenson
0:02.0,,,39-25,,Turnover by Team (shot clock)
0:01.0,Shooting foul by M. Barnes (drawn by T. Jones),,39-25,,
0:01.0,T. Jones makes free throw 1 of 3,1,40-25,,
0:01.0,T. Jones makes free throw 2 of 3,1,41-25,,
0:01.0,T. Jones makes free throw 3 of 3,1,42-25,,
0:00.0,,,42-25,,J. Martin misses 3-pt shot from 57 ft
0:00.0,,,42-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,S. Muhammad misses 2-pt shot from 1 ft,,42-25,,
11:41.0,Offensive rebound by S. Muhammad,,42-25,,
11:41.0,Shooting foul by L. Stephenson (drawn by S. Muhammad),,42-25,,
11:41.0,S. Muhammad misses free throw 1 of 2,,42-25,,
11:41.0,Offensive rebound by Team,,42-25,,
11:41.0,S. Muhammad misses free throw 2 of 2,,42-25,,
11:39.0,,,42-25,,Defensive rebound by T. Allen
11:19.0,,,42-25,,L. Stephenson misses 2-pt shot from 16 ft
11:18.0,Defensive rebound by K. Towns,,42-25,,
11:06.0,Turnover by K. Towns (traveling),,42-25,,
10:58.0,,,42-25,,Memphis full timeout
10:46.0,,,42-28,3,R. McCallum makes 3-pt shot from 25 ft (assist by J. Martin)
10:31.0,K. Towns misses 2-pt shot from 21 ft,,42-28,,
10:31.0,,,42-28,,Defensive rebound by L. Stephenson
10:27.0,Personal foul by G. Smith,,42-28,,
10:21.0,,,42-28,,Shooting foul by K. Towns (drawn by L. Stephenson)
10:21.0,,,42-29,1,L. Stephenson makes free throw 1 of 2
10:21.0,,,42-30,1,L. Stephenson makes free throw 2 of 2
10:09.0,G. Smith misses 2-pt shot at rim (block by T. Allen),,42-30,,
10:07.0,,,42-30,,Defensive rebound by A. Stepheson
9:57.0,,,42-30,,R. McCallum misses 3-pt shot from 23 ft
9:56.0,Defensive rebound by K. Towns,,42-30,,
9:50.0,S. Muhammad makes 2-pt shot at rim (assist by T. Prince),2,44-30,,
9:30.0,,,44-30,,J. Martin misses 2-pt shot from 17 ft
9:29.0,Defensive rebound by K. Towns,,44-30,,
9:21.0,G. Smith makes 2-pt shot at rim (assist by T. Jones),2,46-30,,
9:01.0,Def 3 sec tech foul by K. Towns,,46-30,,
9:01.0,,,46-31,1,L. Stephenson makes technical free throw
9:01.0,,,46-31,,R. Hollins enters the game for A. Stepheson
9:01.0,,,46-31,,B. Weber enters the game for R. McCallum
8:46.0,,,46-31,,Turnover by Team (shot clock)
8:31.0,Shooting foul by R. Hollins (drawn by K. Towns),,46-31,,
8:31.0,K. Towns makes free throw 1 of 2,1,47-31,,
8:31.0,K. Towns makes free throw 2 of 2,1,48-31,,
8:19.0,,,48-31,,Shooting foul by S. Muhammad (drawn by T. Allen)
8:19.0,,,48-32,1,T. Allen makes free throw 1 of 2
8:19.0,,,48-33,1,T. Allen makes free throw 2 of 2
8:11.0,Turnover by T. Jones (bad pass),,48-33,,
7:47.0,,,48-33,,T. Allen misses 2-pt shot from 11 ft
7:46.0,,,48-33,,Offensive rebound by R. Hollins
7:46.0,,,48-35,2,R. Hollins makes 2-pt shot at rim
7:35.0,K. Towns makes 2-pt shot from 19 ft (assist by T. Jones),2,50-35,,
7:16.0,,,50-35,,L. Stephenson misses 2-pt shot at rim
7:16.0,,,50-35,,Offensive rebound by J. Martin
7:16.0,,,50-37,2,J. Martin makes 2-pt shot at rim
7:03.0,K. Towns makes 2-pt shot from 1 ft (assist by T. Jones),2,52-37,,
6:46.0,,,52-37,,Shooting foul by G. Smith (drawn by L. Stephenson)
6:46.0,,,52-37,,L. Stephenson misses free throw 1 of 2
6:46.0,,,52-37,,Offensive rebound by Team
6:46.0,,,52-37,,J. Green enters the game for J. Martin
6:46.0,G. Dieng enters the game for G. Smith,,52-37,,
6:46.0,A. Wiggins enters the game for S. Muhammad,,52-37,,
6:46.0,Z. LaVine enters the game for T. Prince,,52-37,,
6:46.0,,,52-38,1,L. Stephenson makes free throw 2 of 2
6:35.0,Shooting foul by T. Allen (drawn by K. Towns),,52-38,,
6:35.0,K. Towns makes free throw 1 of 2,1,53-38,,
6:35.0,K. Towns makes free throw 2 of 2,1,54-38,,
6:19.0,,,54-38,,B. Weber misses 2-pt shot from 1 ft (block by T. Jones)
6:19.0,Defensive rebound by Team,,54-38,,
5:56.0,Z. LaVine makes 2-pt shot from 17 ft,2,56-38,,
5:32.0,,,56-40,2,L. Stephenson makes 2-pt shot at rim
5:23.0,T. Jones misses 3-pt shot from 25 ft,,56-40,,
5:23.0,Offensive rebound by Team,,56-40,,
5:23.0,Minnesota full timeout,,56-40,,
5:23.0,R. Rubio enters the game for T. Jones,,56-40,,
5:23.0,,,56-40,,M. Barnes enters the game for T. Allen
5:23.0,,,56-40,,Violation by Team (jump ball)
5:12.0,A. Wiggins makes 3-pt shot from 26 ft (assist by K. Towns),3,59-40,,
4:50.0,,,59-42,2,R. Hollins makes 2-pt shot from 5 ft (assist by L. Stephenson)
4:36.0,K. Towns misses 2-pt shot from 21 ft,,59-42,,
4:36.0,,,59-42,,Defensive rebound by L. Stephenson
4:27.0,,,59-45,3,J. Green makes 3-pt shot from 24 ft (assist by L. Stephenson)
4:19.0,Minnesota full timeout,,59-45,,
4:15.0,Offensive foul by G. Dieng,,59-45,,
4:15.0,Turnover by G. Dieng (offensive foul),,59-45,,
4:00.0,,,59-47,2,M. Barnes makes 2-pt shot from 16 ft
3:43.0,Turnover by K. Towns (lost ball),,59-47,,
3:19.0,,,59-47,,M. Barnes misses 2-pt shot from 20 ft
3:19.0,,,59-47,,Offensive rebound by L. Stephenson
3:16.0,,,59-47,,L. Stephenson misses 2-pt shot at rim
3:16.0,,,59-47,,Offensive rebound by L. Stephenson
3:16.0,,,59-49,2,L. Stephenson makes 2-pt shot at rim
2:58.0,Z. LaVine makes 3-pt shot from 24 ft (assist by R. Rubio),3,62-49,,
2:32.0,,,62-49,,J. Green misses 2-pt shot at rim (block by G. Dieng)
2:29.0,,,62-49,,Offensive rebound by J. Green
2:29.0,,,62-49,,J. Green misses 2-pt shot from 1 ft
2:28.0,Defensive rebound by K. Towns,,62-49,,
2:22.0,Turnover by R. Rubio (lost ball),,62-49,,
2:07.0,,,62-49,,B. Weber misses 2-pt shot from 9 ft
2:06.0,,,62-49,,Offensive rebound by M. Barnes
2:02.0,,,62-51,2,R. Hollins makes 2-pt shot at rim (assist by L. Stephenson)
1:37.0,Z. LaVine misses 2-pt shot from 21 ft,,62-51,,
1:36.0,,,62-51,,Defensive rebound by L. Stephenson
1:31.0,,,62-53,2,L. Stephenson makes 2-pt shot from 1 ft
1:23.0,Minnesota full timeout,,62-53,,
1:11.0,R. Rubio misses 2-pt shot from 19 ft,,62-53,,
1:11.0,,,62-53,,Defensive rebound by M. Barnes
0:47.0,,,62-53,,L. Stephenson misses 2-pt shot from 20 ft
0:47.0,,,62-53,,Offensive rebound by Team
0:45.0,,,62-53,,Turnover by Team (shot clock)
0:30.0,Turnover by A. Wiggins (lost ball; steal by R. Hollins),,62-53,,
0:25.0,,,62-53,,Memphis full timeout
0:08.0,,,62-55,2,L. Stephenson makes 2-pt shot from 2 ft
0:05.0,G. Dieng makes 2-pt shot at rim (assist by R. Rubio),2,64-55,,
0:00.0,,,64-55,,B. Weber misses 2-pt shot from 19 ft
0:00.0,Defensive rebound by Team,,64-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio),2,66-55,,
11:43.0,Shooting foul by R. Hollins (drawn by K. Towns),,66-55,,
11:43.0,K. Towns makes free throw 1 of 1,1,67-55,,
11:25.0,,,67-55,,J. Green misses 3-pt shot from 26 ft
11:24.0,Defensive rebound by G. Dieng,,67-55,,
11:19.0,R. Rubio makes 2-pt shot from 1 ft,2,69-55,,
11:03.0,,,69-55,,M. Barnes misses 2-pt shot from 2 ft (block by A. Wiggins)
11:00.0,Defensive rebound by K. Towns,,69-55,,
10:48.0,A. Wiggins makes 2-pt shot from 19 ft (assist by G. Dieng),2,71-55,,
10:45.0,,,71-55,,Memphis full timeout
10:24.0,,,71-58,3,M. Barnes makes 3-pt shot from 25 ft (assist by J. Green)
10:03.0,R. Rubio makes 3-pt shot from 24 ft (assist by G. Dieng),3,74-58,,
9:42.0,,,74-58,,B. Weber misses 3-pt shot from 25 ft
9:41.0,Defensive rebound by G. Dieng,,74-58,,
9:30.0,Z. LaVine makes 2-pt shot from 20 ft (assist by G. Dieng),2,76-58,,
9:11.0,,,76-58,,M. Barnes misses 3-pt shot from 25 ft
9:11.0,,,76-58,,Offensive rebound by R. Hollins
9:06.0,,,76-58,,T. Allen misses 3-pt shot from 24 ft
9:05.0,,,76-58,,Offensive rebound by M. Barnes
9:03.0,,,76-58,,M. Barnes misses 2-pt shot at rim
9:01.0,,,76-58,,Offensive rebound by M. Barnes
9:01.0,,,76-60,2,M. Barnes makes 2-pt shot at rim
8:46.0,Z. LaVine makes 2-pt shot from 21 ft (assist by R. Rubio),2,78-60,,
8:25.0,,,78-60,,M. Barnes misses 3-pt shot from 22 ft
8:25.0,,,78-60,,Offensive rebound by R. Hollins
8:21.0,,,78-60,,J. Green misses 2-pt shot at rim (block by K. Towns)
8:18.0,,,78-60,,Offensive rebound by M. Barnes
8:18.0,,,78-60,,M. Barnes misses 2-pt shot from 1 ft
8:17.0,,,78-60,,Offensive rebound by Team
8:16.0,,,78-60,,Turnover by M. Barnes (lost ball; steal by K. Towns)
8:00.0,G. Dieng makes 2-pt shot from 8 ft (assist by A. Wiggins),2,80-60,,
7:47.0,,,80-62,2,B. Weber makes 2-pt shot from 20 ft
7:25.0,G. Dieng makes 2-pt shot at rim (assist by R. Rubio),2,82-62,,
7:10.0,,,82-62,,J. Green misses 2-pt shot from 7 ft
7:07.0,Defensive rebound by A. Wiggins,,82-62,,
7:04.0,,,82-62,,L. Stephenson enters the game for R. Hollins
6:57.0,Z. LaVine misses 3-pt shot from 25 ft,,82-62,,
6:57.0,,,82-62,,Defensive rebound by B. Weber
6:48.0,,,82-64,2,B. Weber makes 2-pt shot from 20 ft
6:24.0,R. Rubio misses 3-pt shot from 24 ft,,82-64,,
6:23.0,,,82-64,,Defensive rebound by J. Green
6:12.0,,,82-64,,Offensive foul by J. Green
6:12.0,,,82-64,,Turnover by J. Green (offensive foul)
6:12.0,T. Prince enters the game for G. Dieng,,82-64,,
5:56.0,A. Wiggins misses 2-pt shot from 5 ft (block by M. Barnes),,82-64,,
5:55.0,,,82-64,,Defensive rebound by T. Allen
5:53.0,,,82-66,2,T. Allen makes 2-pt shot at rim (assist by B. Weber)
5:32.0,A. Wiggins misses 3-pt shot from 23 ft,,82-66,,
5:31.0,,,82-66,,Defensive rebound by M. Barnes
5:27.0,,,82-68,2,J. Green makes 2-pt shot from 1 ft (assist by B. Weber)
5:27.0,,,82-68,,Shooting foul by R. Rubio (drawn by J. Green)
5:27.0,,,82-68,,J. Green misses free throw 1 of 1
5:26.0,,,82-68,,Offensive rebound by M. Barnes
5:24.0,,,82-68,,Turnover by M. Barnes (traveling)
5:15.0,A. Wiggins misses 3-pt shot from 25 ft,,82-68,,
5:15.0,,,82-68,,Defensive rebound by J. Green
5:03.0,,,82-68,,L. Stephenson misses 2-pt shot from 11 ft (block by A. Wiggins)
5:01.0,,,82-68,,Offensive rebound by J. Green
5:00.0,Personal foul by A. Wiggins,,82-68,,
4:53.0,,,82-68,,M. Barnes misses 2-pt shot from 1 ft
4:51.0,Defensive rebound by Z. LaVine,,82-68,,
4:39.0,Turnover by K. Towns (lost ball; steal by B. Weber),,82-68,,
4:34.0,,,82-70,2,J. Green makes 2-pt shot at rim (assist by B. Weber)
4:34.0,Minnesota full timeout,,82-70,,
4:34.0,S. Muhammad enters the game for A. Wiggins,,82-70,,
4:10.0,Turnover by Team (shot clock),,82-70,,
3:56.0,,,82-70,,L. Stephenson misses 3-pt shot from 25 ft
3:54.0,,,82-70,,Offensive rebound by J. Green
3:54.0,,,82-70,,J. Green misses 2-pt shot at rim
3:54.0,,,82-70,,Offensive rebound by J. Green
3:54.0,,,82-72,2,J. Green makes 2-pt shot at rim
3:54.0,,,82-72,,Shooting foul by K. Towns (drawn by J. Green)
3:54.0,G. Dieng enters the game for K. Towns,,82-72,,
3:54.0,,,82-73,1,J. Green makes free throw 1 of 1
3:37.0,Z. LaVine misses 2-pt shot from 18 ft,,82-73,,
3:36.0,,,82-73,,Defensive rebound by B. Weber
3:29.0,,,82-73,,B. Weber misses 2-pt shot from 20 ft
3:27.0,,,82-73,,Offensive rebound by Team
3:15.0,,,82-73,,L. Stephenson misses 2-pt shot from 14 ft
3:13.0,Defensive rebound by R. Rubio,,82-73,,
2:53.0,R. Rubio makes 3-pt shot from 26 ft (assist by G. Dieng),3,85-73,,
2:27.0,,,85-73,,M. Barnes misses 3-pt shot from 25 ft
2:27.0,Defensive rebound by T. Prince,,85-73,,
2:19.0,Shooting foul by B. Weber (drawn by R. Rubio),,85-73,,
2:19.0,R. Rubio makes free throw 1 of 2,1,86-73,,
2:19.0,,,86-73,,J. Martin enters the game for J. Green
2:19.0,R. Rubio misses free throw 2 of 2,,86-73,,
2:18.0,,,86-73,,Defensive rebound by M. Barnes
1:57.0,Personal foul by R. Rubio,,86-73,,
1:57.0,T. Jones enters the game for R. Rubio,,86-73,,
1:46.0,,,86-75,2,M. Barnes makes 2-pt shot at rim (assist by B. Weber)
1:22.0,Z. LaVine makes 2-pt shot from 19 ft,2,88-75,,
1:13.0,,,88-77,2,J. Martin makes 2-pt shot from 4 ft (assist by M. Barnes)
1:13.0,,,88-77,,Shooting foul by G. Dieng (drawn by J. Martin)
1:13.0,,,88-77,,R. McCallum enters the game for B. Weber
1:13.0,,,88-78,1,J. Martin makes free throw 1 of 1
0:56.0,Z. LaVine misses 3-pt shot from 23 ft,,88-78,,
0:55.0,,,88-78,,Defensive rebound by J. Martin
0:45.0,,,88-78,,Turnover by L. Stephenson (lost ball; steal by T. Prince)
0:39.0,,,88-78,,Personal take foul by M. Barnes
0:28.0,T. Prince makes 2-pt shot from 9 ft (assist by T. Jones),2,90-78,,
0:09.0,,,90-78,,L. Stephenson misses 2-pt shot from 1 ft
0:07.0,,,90-78,,Offensive rebound by M. Barnes
0:05.0,,,90-78,,M. Barnes misses 2-pt shot from 1 ft
0:04.0,Defensive rebound by S. Muhammad,,90-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,90-80,2,B. Weber makes 2-pt shot at rim
11:06.0,S. Muhammad misses 3-pt shot from 25 ft,,90-80,,
11:05.0,Offensive rebound by S. Muhammad,,90-80,,
11:04.0,Turnover by S. Muhammad (traveling),,90-80,,
10:46.0,,,90-80,,J. Martin misses 2-pt shot from 1 ft
10:44.0,Defensive rebound by Z. LaVine,,90-80,,
10:32.0,S. Muhammad misses 3-pt shot from 22 ft,,90-80,,
10:31.0,,,90-80,,Defensive rebound by J. Martin
10:24.0,,,90-80,,R. McCallum misses 2-pt shot from 9 ft
10:21.0,Defensive rebound by T. Prince,,90-80,,
10:08.0,Z. LaVine makes 3-pt shot from 25 ft (assist by T. Prince),3,93-80,,
9:47.0,,,93-80,,J. Martin misses 2-pt shot from 19 ft
9:47.0,Defensive rebound by G. Dieng,,93-80,,
9:28.0,S. Muhammad misses 2-pt shot from 5 ft (block by M. Barnes),,93-80,,
9:28.0,K. Towns enters the game for G. Dieng,,93-80,,
9:28.0,Jump ball: M. Barnes vs. S. Muhammad (T. Jones gains possession),,,,Jump ball: M. Barnes vs. S. Muhammad (T. Jones gains possession)
9:28.0,Offensive rebound by Team,,93-80,,
9:18.0,T. Jones makes 2-pt shot from 5 ft,2,95-80,,
9:05.0,,,95-82,2,L. Stephenson makes 2-pt shot from 19 ft
8:52.0,,,95-82,,Personal foul by M. Barnes
8:52.0,Minnesota full timeout,,95-82,,
8:52.0,,,95-82,,R. Hollins enters the game for M. Barnes
8:48.0,K. Towns misses 2-pt shot from 6 ft,,95-82,,
8:46.0,,,95-82,,Defensive rebound by L. Stephenson
8:34.0,,,95-82,,Turnover by R. Hollins (lost ball)
8:34.0,G. Smith enters the game for S. Muhammad,,95-82,,
8:17.0,Z. LaVine misses 2-pt shot from 11 ft (block by B. Weber),,95-82,,
8:17.0,Offensive rebound by Team,,95-82,,
8:13.0,Z. LaVine misses 3-pt shot from 23 ft,,95-82,,
8:12.0,Offensive rebound by K. Towns,,95-82,,
8:01.0,Turnover by T. Jones (bad pass),,95-82,,
7:41.0,,,95-84,2,B. Weber makes 2-pt shot from 16 ft
7:27.0,T. Prince makes 2-pt shot at rim (assist by K. Towns),2,97-84,,
7:09.0,,,97-84,,Turnover by B. Weber (lost ball; steal by T. Jones)
7:06.0,Shooting foul by J. Martin (drawn by T. Jones),,97-84,,
7:06.0,T. Jones misses free throw 1 of 2,,97-84,,
7:06.0,Offensive rebound by Team,,97-84,,
7:06.0,A. Wiggins enters the game for T. Prince,,97-84,,
7:06.0,T. Jones misses free throw 2 of 2,,97-84,,
7:04.0,,,97-84,,Defensive rebound by L. Stephenson
6:51.0,,,97-87,3,R. McCallum makes 3-pt shot from 25 ft (assist by L. Stephenson)
6:34.0,T. Jones makes 2-pt shot from 12 ft,2,99-87,,
6:12.0,,,99-87,,Turnover by R. McCallum (lost ball; steal by K. Towns)
6:08.0,Shooting foul by L. Stephenson (drawn by K. Towns),,99-87,,
6:08.0,K. Towns misses free throw 1 of 2,,99-87,,
6:08.0,Offensive rebound by Team,,99-87,,
6:08.0,R. Rubio enters the game for Z. LaVine,,99-87,,
6:08.0,,,99-87,,T. Allen enters the game for J. Martin
6:08.0,T. Prince enters the game for T. Jones,,99-87,,
6:08.0,K. Towns makes free throw 2 of 2,1,100-87,,
5:49.0,,,100-89,2,T. Allen makes 2-pt shot from 1 ft (assist by R. Hollins)
5:33.0,,,100-89,,Personal foul by T. Allen
5:33.0,,,100-89,,Memphis full timeout
5:33.0,,,100-89,,J. Green enters the game for R. Hollins
5:33.0,,,100-89,,J. Martin enters the game for B. Weber
5:33.0,,,100-89,,M. Barnes enters the game for R. McCallum
5:33.0,Z. LaVine enters the game for G. Smith,,100-89,,
5:22.0,T. Prince misses 2-pt shot from 18 ft,,100-89,,
5:21.0,,,100-89,,Defensive rebound by J. Martin
5:05.0,,,100-89,,Turnover by J. Green (bad pass)
5:05.0,,,100-89,,Loose ball foul by L. Stephenson
5:05.0,R. Rubio makes free throw 1 of 2,1,101-89,,
5:05.0,R. Rubio makes free throw 2 of 2,1,102-89,,
4:55.0,,,102-91,2,L. Stephenson makes 2-pt shot from 1 ft
4:55.0,,,102-91,,Shooting foul by K. Towns (drawn by L. Stephenson)
4:55.0,Minnesota full timeout,,102-91,,
4:55.0,,,102-92,1,L. Stephenson makes free throw 1 of 1
4:41.0,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio),2,104-92,,
4:21.0,,,104-94,2,J. Green makes 2-pt shot from 1 ft (assist by L. Stephenson)
4:05.0,Offensive charge foul by A. Wiggins,,104-94,,
4:05.0,Turnover by A. Wiggins (offensive foul),,104-94,,
4:01.0,,,104-96,2,M. Barnes makes 2-pt shot at rim (assist by J. Green)
4:01.0,,,104-96,,Shooting foul by R. Rubio (drawn by M. Barnes)
4:01.0,G. Dieng enters the game for T. Prince,,104-96,,
4:01.0,,,104-96,,M. Barnes misses free throw 1 of 1
4:00.0,Defensive rebound by K. Towns,,104-96,,
3:44.0,A. Wiggins misses 2-pt shot from 2 ft (block by M. Barnes),,104-96,,
3:43.0,,,104-96,,Defensive rebound by L. Stephenson
3:39.0,,,104-98,2,T. Allen makes 2-pt shot at rim (assist by L. Stephenson)
