time,LA Lakers,pts.away,score,pts.home,Indiana
6:58.0,Defensive rebound by K. Bryant,,9-11,,
6:49.0,,,9-11,,Shooting block foul by M. Turner (drawn by J. Randle)
6:49.0,J. Randle misses free throw 1 of 2,,9-11,,
6:49.0,Offensive rebound by Team,,9-11,,
6:49.0,J. Randle makes free throw 2 of 2,1,10-11,,
6:37.0,,,10-13,2,M. Ellis makes 2-pt shot from 18 ft
6:20.0,Shooting foul by G. Hill (drawn by K. Bryant),,10-13,,
6:20.0,K. Bryant misses free throw 1 of 2,,10-13,,
6:20.0,Offensive rebound by Team,,10-13,,
6:20.0,K. Bryant makes free throw 2 of 2,1,11-13,,
6:08.0,Shooting block foul by R. Sacre (drawn by M. Turner),,11-13,,
6:08.0,,,11-14,1,M. Turner makes free throw 1 of 2
6:08.0,B. Bass enters the game for R. Sacre,,11-14,,
6:08.0,D. Russell enters the game for L. Williams,,11-14,,
6:08.0,,,11-14,,M. Turner misses free throw 2 of 2
6:08.0,,,11-14,,Offensive rebound by J. Hill
6:02.0,,,11-17,3,P. George makes 3-pt shot from 25 ft (assist by J. Hill)
5:49.0,K. Bryant misses 3-pt shot from 26 ft,,11-17,,
5:49.0,,,11-17,,Defensive rebound by M. Turner
5:43.0,Shooting block foul by J. Clarkson (drawn by P. George),,11-17,,
5:43.0,,,11-17,,Indiana full timeout
5:43.0,,,11-17,,P. George misses free throw 1 of 2
5:43.0,,,11-17,,Offensive rebound by Team
5:43.0,,,11-18,1,P. George makes free throw 2 of 2
5:33.0,K. Bryant misses 2-pt shot from 10 ft,,11-18,,
5:31.0,,,11-18,,Defensive rebound by J. Hill
5:27.0,,,11-18,,P. George misses 3-pt shot from 27 ft
5:25.0,Defensive rebound by J. Randle,,11-18,,
5:09.0,J. Randle makes 2-pt shot from 6 ft,2,13-18,,
4:59.0,,,13-18,,Turnover by M. Ellis (bad pass; steal by D. Russell)
4:48.0,D. Russell makes 2-pt shot from 17 ft (assist by B. Bass),2,15-18,,
4:29.0,,,15-18,,M. Turner misses 2-pt shot from 19 ft
4:28.0,Defensive rebound by K. Bryant,,15-18,,
4:23.0,,,15-18,,Personal foul by P. George (drawn by K. Bryant)
4:23.0,A. Brown enters the game for J. Clarkson,,15-18,,
4:16.0,D. Russell misses 2-pt shot from 19 ft,,15-18,,
4:16.0,,,15-18,,Defensive rebound by M. Turner
4:07.0,,,15-20,2,P. George makes 2-pt shot from 2 ft
3:58.0,Shooting foul by J. Hill (drawn by K. Bryant),,15-20,,
3:58.0,K. Bryant makes free throw 1 of 2,1,16-20,,
3:58.0,T. Black enters the game for J. Randle,,16-20,,
3:58.0,K. Bryant makes free throw 2 of 2,1,17-20,,
3:41.0,,,17-20,,Shooting foul by T. Black (drawn by J. Hill)
3:41.0,,,17-20,,J. Hill misses free throw 1 of 2
3:41.0,,,17-20,,Offensive rebound by Team
3:41.0,N. Young enters the game for K. Bryant,,17-20,,
3:41.0,,,17-21,1,J. Hill makes free throw 2 of 2
3:30.0,N. Young misses 3-pt shot from 24 ft,,17-21,,
3:28.0,Offensive rebound by B. Bass,,17-21,,
3:24.0,N. Young misses 2-pt shot from 20 ft,,17-21,,
3:24.0,,,17-21,,Defensive rebound by M. Turner
3:15.0,,,17-21,,J. Hill misses 2-pt shot from 14 ft
3:14.0,Defensive rebound by D. Russell,,17-21,,
3:08.0,D. Russell misses 3-pt shot from 25 ft,,17-21,,
3:05.0,Offensive rebound by Team,,17-21,,
3:05.0,,,17-21,,L. Allen enters the game for M. Turner
3:05.0,,,17-21,,J. Young enters the game for G. Hill
2:52.0,B. Bass makes 2-pt shot at rim (assist by D. Russell),2,19-21,,
2:34.0,,,19-21,,P. George misses 2-pt shot from 1 ft
2:33.0,Defensive rebound by T. Black,,19-21,,
2:27.0,A. Brown makes 3-pt shot from 27 ft (assist by D. Russell),3,22-21,,
2:11.0,,,22-21,,J. Young misses 3-pt shot from 24 ft
2:10.0,Defensive rebound by A. Brown,,22-21,,
1:55.0,T. Black misses 2-pt shot from 5 ft,,22-21,,
1:51.0,Offensive rebound by B. Bass,,22-21,,
1:51.0,LA Lakers full timeout,,22-21,,
1:51.0,,,22-21,,C. Miles enters the game for P. George
1:51.0,Jump ball: L. Allen vs. B. Bass (T. Black gains possession),,,,Jump ball: L. Allen vs. B. Bass (T. Black gains possession)
1:29.0,A. Brown misses 3-pt shot from 24 ft,,22-21,,
1:28.0,,,22-21,,Defensive rebound by J. Hill
1:12.0,,,22-21,,C. Miles misses 2-pt shot from 7 ft
1:09.0,,,22-21,,Offensive rebound by C. Miles
1:09.0,,,22-23,2,C. Miles makes 2-pt shot at rim
0:49.0,D. Russell misses 2-pt shot from 9 ft,,22-23,,
0:48.0,,,22-23,,Defensive rebound by J. Hill
0:30.0,,,22-23,,Turnover by J. Young (bad pass; steal by B. Bass)
0:23.0,D. Russell misses 2-pt shot from 6 ft,,22-23,,
0:22.0,Offensive rebound by D. Russell,,22-23,,
0:19.0,D. Russell misses 2-pt shot from 1 ft,,22-23,,
0:18.0,,,22-23,,Defensive rebound by J. Hill
0:00.0,,,22-23,,J. Young misses 2-pt shot from 19 ft
0:00.0,Defensive rebound by T. Black,,22-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,L. Williams misses 2-pt shot from 16 ft,,22-23,,
11:45.0,,,22-23,,Defensive rebound by C. Miles
11:30.0,,,22-23,,J. Young misses 3-pt shot from 26 ft
11:29.0,Defensive rebound by N. Young,,22-23,,
11:20.0,D. Russell misses 3-pt shot from 26 ft,,22-23,,
11:19.0,,,22-23,,Defensive rebound by L. Allen
11:04.0,,,22-23,,C. Miles misses 3-pt shot from 24 ft
11:03.0,Defensive rebound by T. Black,,22-23,,
10:49.0,N. Young misses 3-pt shot from 26 ft,,22-23,,
10:47.0,,,22-23,,Defensive rebound by G. Robinson
10:29.0,,,22-23,,Shooting foul by B. Bass (drawn by I. Mahinmi)
10:29.0,,,22-23,,I. Mahinmi misses free throw 1 of 2
10:29.0,,,22-23,,Offensive rebound by Team
10:29.0,,,22-24,1,I. Mahinmi makes free throw 2 of 2
10:20.0,L. Williams misses 3-pt shot from 26 ft,,22-24,,
10:19.0,,,22-24,,Defensive rebound by Team
10:01.0,Personal foul by N. Young (drawn by C. Miles),,22-24,,
9:53.0,,,22-24,,J. Young misses 2-pt shot from 21 ft
9:50.0,Defensive rebound by L. Williams,,22-24,,
9:44.0,,,22-24,,Personal foul by G. Robinson
9:35.0,B. Bass misses 2-pt shot from 18 ft,,22-24,,
9:33.0,,,22-24,,Defensive rebound by Team
9:19.0,,,22-24,,C. Miles misses 3-pt shot from 26 ft
9:18.0,Defensive rebound by T. Black,,22-24,,
9:10.0,Shooting foul by J. Young (drawn by L. Williams),,22-24,,
9:10.0,L. Williams makes free throw 1 of 3,1,23-24,,
9:10.0,L. Williams makes free throw 2 of 3,1,24-24,,
9:10.0,L. Williams makes free throw 3 of 3,1,25-24,,
8:56.0,,,25-24,,Shooting foul by N. Young (drawn by L. Allen)
8:56.0,Official timeout,,25-24,,
8:56.0,,,25-25,1,L. Allen makes free throw 1 of 2
8:56.0,,,25-26,1,L. Allen makes free throw 2 of 2
8:44.0,D. Russell misses 2-pt shot from 1 ft (block by I. Mahinmi),,25-26,,
8:44.0,,,25-26,,Defensive rebound by Team
8:31.0,,,25-26,,Shooting foul by T. Black (drawn by I. Mahinmi)
8:31.0,,,25-26,,I. Mahinmi misses free throw 1 of 2
8:31.0,,,25-26,,Offensive rebound by Team
8:31.0,K. Bryant enters the game for N. Young,,25-26,,
8:31.0,,,25-27,1,I. Mahinmi makes free throw 2 of 2
8:11.0,K. Bryant misses 2-pt shot from 20 ft,,25-27,,
8:10.0,,,25-27,,Defensive rebound by I. Mahinmi
8:03.0,,,25-27,,C. Miles misses 3-pt shot from 25 ft
8:02.0,Defensive rebound by D. Russell,,25-27,,
7:58.0,K. Bryant makes 2-pt shot at rim (assist by D. Russell),2,27-27,,
7:43.0,,,27-27,,I. Mahinmi misses 2-pt shot from 1 ft
7:42.0,Defensive rebound by T. Black,,27-27,,
7:29.0,,,27-27,,G. Hill enters the game for J. Young
7:29.0,R. Sacre enters the game for T. Black,,27-27,,
7:29.0,J. Randle enters the game for B. Bass,,27-27,,
7:20.0,J. Randle makes 2-pt shot from 10 ft,2,29-27,,
7:07.0,,,29-27,,G. Robinson misses 2-pt shot from 18 ft
7:05.0,,,29-27,,Offensive rebound by I. Mahinmi
7:05.0,,,29-29,2,I. Mahinmi makes 2-pt shot at rim
6:53.0,,,29-29,,Personal foul by G. Robinson
6:53.0,,,29-29,,P. George enters the game for C. Miles
6:46.0,Turnover by J. Randle (lost ball),,29-29,,
6:42.0,,,29-29,,Indiana full timeout
6:42.0,,,29-29,,M. Turner enters the game for L. Allen
6:30.0,Shooting block foul by R. Sacre (drawn by P. George),,29-29,,
6:30.0,,,29-31,2,P. George makes 2-pt shot from 10 ft
6:30.0,B. Bass enters the game for R. Sacre,,29-31,,
6:30.0,,,29-32,1,P. George makes free throw 1 of 1
6:16.0,Turnover by L. Williams (bad pass; steal by G. Robinson),,29-32,,
6:13.0,,,29-34,2,G. Robinson makes 2-pt shot at rim
5:59.0,J. Randle misses 2-pt shot from 15 ft,,29-34,,
5:58.0,,,29-34,,Defensive rebound by G. Robinson
5:52.0,,,29-34,,G. Robinson misses 2-pt shot from 14 ft
5:51.0,Defensive rebound by J. Randle,,29-34,,
5:41.0,D. Russell makes 2-pt shot from 9 ft (assist by J. Randle),2,31-34,,
5:26.0,,,31-37,3,P. George makes 3-pt shot from 25 ft (assist by G. Hill)
5:18.0,L. Williams misses 2-pt shot from 16 ft,,31-37,,
5:17.0,,,31-37,,Defensive rebound by P. George
5:10.0,,,31-37,,P. George misses 3-pt shot from 25 ft
5:10.0,Defensive rebound by J. Randle,,31-37,,
4:56.0,K. Bryant misses 2-pt shot from 13 ft,,31-37,,
4:56.0,,,31-37,,Defensive rebound by P. George
4:51.0,,,31-39,2,G. Hill makes 2-pt shot from 1 ft
4:49.0,LA Lakers full timeout,,31-39,,
4:49.0,J. Clarkson enters the game for D. Russell,,31-39,,
4:49.0,,,31-39,,M. Ellis enters the game for G. Robinson
4:39.0,Turnover by J. Randle (bad pass; steal by G. Hill),,31-39,,
4:36.0,,,31-41,2,G. Hill makes 2-pt shot at rim
4:19.0,K. Bryant misses 3-pt shot from 24 ft,,31-41,,
4:19.0,,,31-41,,Defensive rebound by M. Ellis
4:10.0,,,31-41,,P. George misses 2-pt shot from 17 ft
4:09.0,Defensive rebound by J. Randle,,31-41,,
4:00.0,J. Clarkson misses 3-pt shot from 23 ft,,31-41,,
3:59.0,,,31-41,,Defensive rebound by M. Turner
3:44.0,,,31-43,2,M. Turner makes 2-pt shot from 10 ft (assist by P. George)
3:26.0,J. Clarkson makes 2-pt shot from 11 ft,2,33-43,,
3:11.0,,,33-43,,Shooting foul by J. Clarkson (drawn by G. Hill)
3:11.0,,,33-44,1,G. Hill makes free throw 1 of 2
3:11.0,D. Russell enters the game for J. Clarkson,,33-44,,
3:11.0,,,33-45,1,G. Hill makes free throw 2 of 2
2:59.0,Turnover by D. Russell (traveling),,33-45,,
2:44.0,,,33-45,,G. Hill misses 2-pt shot from 2 ft (block by D. Russell)
2:44.0,Defensive rebound by Team,,33-45,,
2:27.0,L. Williams misses 3-pt shot from 25 ft,,33-45,,
2:26.0,,,33-45,,Defensive rebound by P. George
2:22.0,,,33-45,,Turnover by P. George (lost ball; steal by D. Russell)
2:15.0,D. Russell misses 3-pt shot from 22 ft,,33-45,,
2:14.0,,,33-45,,Defensive rebound by M. Turner
1:56.0,,,33-45,,Turnover by M. Turner (bad pass; steal by L. Williams)
1:53.0,Turnover by L. Williams (lost ball; steal by M. Ellis),,33-45,,
1:45.0,,,33-45,,P. George misses 3-pt shot from 24 ft
1:44.0,Defensive rebound by J. Randle,,33-45,,
1:37.0,,,33-45,,Shooting block foul by M. Turner (drawn by J. Randle)
1:37.0,J. Randle makes free throw 1 of 2,1,34-45,,
1:37.0,J. Randle misses free throw 2 of 2,,34-45,,
1:37.0,,,34-45,,Defensive rebound by P. George
1:20.0,,,34-45,,G. Hill misses 2-pt shot from 16 ft
1:20.0,Defensive rebound by D. Russell,,34-45,,
1:17.0,,,34-45,,Personal foul by I. Mahinmi (drawn by B. Bass)
1:17.0,B. Bass misses free throw 1 of 2,,34-45,,
1:17.0,Offensive rebound by Team,,34-45,,
1:17.0,,,34-45,,L. Allen enters the game for M. Turner
1:17.0,B. Bass makes free throw 2 of 2,1,35-45,,
1:02.0,,,35-45,,Shooting foul by B. Bass (drawn by I. Mahinmi)
1:02.0,,,35-45,,I. Mahinmi misses free throw 1 of 2
1:02.0,,,35-45,,Offensive rebound by Team
1:02.0,,,35-46,1,I. Mahinmi makes free throw 2 of 2
0:50.0,K. Bryant makes 3-pt shot from 27 ft,3,38-46,,
0:41.0,,,38-46,,G. Hill misses 3-pt shot from 25 ft
0:40.0,Defensive rebound by J. Randle,,38-46,,
0:22.0,Offensive foul by J. Randle,,38-46,,
0:22.0,Turnover by J. Randle (offensive foul),,38-46,,
0:22.0,,,38-46,,Indiana full timeout
0:01.0,,,38-46,,Turnover by P. George (bad pass; steal by B. Bass)
0:00.0,D. Russell misses 3-pt shot from 47 ft (block by P. George),,38-46,,
0:00.0,Offensive rebound by Team,,38-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Turnover by L. Williams (bad pass; steal by P. George),,38-46,,
11:26.0,,,38-46,,P. George misses 3-pt shot from 26 ft
11:25.0,Defensive rebound by J. Clarkson,,38-46,,
11:09.0,K. Bryant misses 2-pt shot from 21 ft,,38-46,,
11:08.0,,,38-46,,Defensive rebound by M. Turner
10:53.0,,,38-48,2,M. Turner makes 2-pt shot from 1 ft (assist by P. George)
10:32.0,J. Clarkson misses 2-pt shot from 19 ft,,38-48,,
10:30.0,,,38-48,,Defensive rebound by M. Turner
10:20.0,,,38-48,,Turnover by G. Hill (step out of bounds)
10:08.0,L. Williams misses 2-pt shot at rim,,38-48,,
10:07.0,Offensive rebound by L. Williams,,38-48,,
10:07.0,L. Williams makes 2-pt shot at rim,2,40-48,,
9:51.0,,,40-48,,P. George misses 3-pt shot from 26 ft
9:50.0,Defensive rebound by J. Randle,,40-48,,
9:43.0,Turnover by J. Randle (bad pass; steal by M. Ellis),,40-48,,
9:39.0,,,40-50,2,M. Ellis makes 2-pt shot from 1 ft (assist by G. Hill)
9:20.0,R. Sacre misses 2-pt shot from 9 ft,,40-50,,
9:19.0,,,40-50,,Defensive rebound by I. Mahinmi
9:09.0,,,40-50,,Shooting foul by R. Sacre (drawn by I. Mahinmi)
9:09.0,,,40-51,1,I. Mahinmi makes free throw 1 of 2
9:09.0,,,40-52,1,I. Mahinmi makes free throw 2 of 2
8:55.0,Turnover by L. Williams (bad pass; steal by G. Hill),,40-52,,
8:51.0,,,40-54,2,G. Hill makes 2-pt shot at rim
8:37.0,Shooting foul by M. Turner (drawn by L. Williams),,40-54,,
8:37.0,L. Williams makes 2-pt shot from 6 ft,2,42-54,,
8:37.0,L. Williams makes free throw 1 of 1,1,43-54,,
8:23.0,,,43-57,3,G. Hill makes 3-pt shot from 22 ft (assist by I. Mahinmi)
8:21.0,Turnover by J. Randle (bad pass; steal by G. Hill),,43-57,,
8:15.0,,,43-60,3,G. Hill makes 3-pt shot from 22 ft
8:05.0,J. Clarkson misses 3-pt shot from 26 ft,,43-60,,
8:04.0,,,43-60,,Defensive rebound by M. Turner
8:02.0,,,43-60,,Turnover by M. Turner (bad pass)
7:48.0,J. Clarkson makes 2-pt shot from 9 ft,2,45-60,,
7:39.0,,,45-60,,M. Ellis misses 3-pt shot from 24 ft
7:38.0,Defensive rebound by J. Randle,,45-60,,
7:19.0,R. Sacre misses 2-pt shot from 17 ft,,45-60,,
7:19.0,,,45-60,,Defensive rebound by P. George
6:58.0,,,45-60,,Turnover by M. Ellis (bad pass; steal by J. Clarkson)
6:50.0,L. Williams misses 3-pt shot from 24 ft,,45-60,,
6:48.0,Offensive rebound by J. Randle,,45-60,,
6:46.0,J. Randle misses 2-pt shot at rim,,45-60,,
6:45.0,,,45-60,,Defensive rebound by M. Turner
6:27.0,,,45-60,,G. Hill misses 3-pt shot from 26 ft
6:26.0,Defensive rebound by Team,,45-60,,
6:12.0,Turnover by J. Clarkson (lost ball),,45-60,,
6:03.0,,,45-60,,M. Ellis misses 3-pt shot from 24 ft
6:02.0,Defensive rebound by K. Bryant,,45-60,,
5:57.0,K. Bryant misses 3-pt shot from 25 ft,,45-60,,
5:55.0,,,45-60,,Defensive rebound by I. Mahinmi
5:46.0,,,45-60,,P. George misses 3-pt shot from 23 ft
5:45.0,Defensive rebound by J. Randle,,45-60,,
5:38.0,Shooting foul by P. George (drawn by L. Williams),,45-60,,
5:38.0,,,45-60,,Indiana full timeout
5:38.0,L. Williams makes free throw 1 of 2,1,46-60,,
5:38.0,L. Williams makes free throw 2 of 2,1,47-60,,
5:19.0,,,47-60,,P. George misses 2-pt shot from 15 ft
5:18.0,Defensive rebound by J. Randle,,47-60,,
5:09.0,J. Randle misses 2-pt shot from 3 ft,,47-60,,
5:08.0,,,47-60,,Defensive rebound by M. Ellis
4:58.0,,,47-62,2,I. Mahinmi makes 2-pt shot at rim (assist by G. Hill)
4:42.0,J. Clarkson misses 2-pt shot from 5 ft,,47-62,,
4:42.0,,,47-62,,Defensive rebound by I. Mahinmi
4:27.0,,,47-62,,Turnover by P. George (bad pass; steal by J. Clarkson)
4:21.0,L. Williams misses 3-pt shot from 25 ft,,47-62,,
4:19.0,,,47-62,,Defensive rebound by P. George
4:05.0,,,47-64,2,I. Mahinmi makes 2-pt shot from 4 ft
3:50.0,,,47-64,,Personal foul by I. Mahinmi (drawn by K. Bryant)
3:50.0,,,47-64,,J. Hill enters the game for I. Mahinmi
3:50.0,B. Bass enters the game for R. Sacre,,47-64,,
3:50.0,D. Russell enters the game for L. Williams,,47-64,,
3:38.0,K. Bryant misses 3-pt shot from 35 ft,,47-64,,
3:38.0,,,47-64,,Defensive rebound by G. Hill
3:21.0,,,47-64,,Turnover by P. George (bad pass; steal by D. Russell)
3:13.0,B. Bass misses 2-pt shot from 12 ft,,47-64,,
3:12.0,Offensive rebound by B. Bass,,47-64,,
3:08.0,K. Bryant misses 2-pt shot from 14 ft,,47-64,,
3:05.0,Offensive rebound by J. Clarkson,,47-64,,
3:04.0,Shooting foul by P. George (drawn by J. Clarkson),,47-64,,
3:04.0,J. Clarkson makes free throw 1 of 2,1,48-64,,
3:04.0,,,48-64,,L. Allen enters the game for M. Turner
3:04.0,,,48-64,,C. Miles enters the game for P. George
3:04.0,J. Clarkson makes free throw 2 of 2,1,49-64,,
2:49.0,,,49-64,,M. Ellis misses 3-pt shot from 26 ft
2:48.0,Defensive rebound by J. Randle,,49-64,,
2:36.0,D. Russell makes 3-pt shot from 25 ft (assist by J. Clarkson),3,52-64,,
2:15.0,,,52-64,,Turnover by J. Hill (traveling)
2:15.0,LA Lakers full timeout,,52-64,,
2:15.0,,,52-64,,G. Robinson enters the game for M. Ellis
2:01.0,Shooting foul by J. Hill (drawn by J. Randle),,52-64,,
2:01.0,J. Randle makes free throw 1 of 2,1,53-64,,
2:01.0,J. Randle makes free throw 2 of 2,1,54-64,,
1:39.0,,,54-64,,C. Miles misses 3-pt shot from 26 ft
1:36.0,,,54-64,,Offensive rebound by G. Robinson
1:36.0,,,54-64,,G. Robinson misses 2-pt shot from 1 ft
1:36.0,Defensive rebound by K. Bryant,,54-64,,
1:33.0,D. Russell makes 2-pt shot from 1 ft,2,56-64,,
1:33.0,Shooting foul by C. Miles (drawn by D. Russell),,56-64,,
1:33.0,D. Russell makes free throw 1 of 1,1,57-64,,
1:15.0,,,57-64,,J. Hill misses 2-pt shot from 5 ft
1:15.0,Defensive rebound by J. Randle,,57-64,,
0:56.0,J. Clarkson makes 2-pt shot from 17 ft,2,59-64,,
0:44.0,Personal foul by J. Clarkson (drawn by G. Hill),,59-64,,
0:31.0,,,59-64,,Turnover by G. Hill (lost ball; steal by D. Russell)
0:22.0,D. Russell misses 2-pt shot from 15 ft,,59-64,,
0:21.0,Offensive rebound by J. Randle,,59-64,,
0:03.0,K. Bryant misses 3-pt shot from 27 ft,,59-64,,
0:02.0,,,59-64,,Defensive rebound by G. Robinson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,Personal block foul by T. Black,,59-64,,
11:26.0,,,59-64,,G. Robinson misses 2-pt shot from 20 ft
11:25.0,Defensive rebound by N. Young,,59-64,,
11:02.0,B. Bass misses 2-pt shot from 15 ft,,59-64,,
11:02.0,,,59-64,,Defensive rebound by C. Miles
10:48.0,,,59-66,2,J. Young makes 2-pt shot from 19 ft
10:22.0,D. Russell misses 2-pt shot from 1 ft (block by L. Allen),,59-66,,
10:21.0,,,59-66,,Defensive rebound by L. Allen
10:05.0,,,59-66,,J. Hill misses 2-pt shot at rim
10:05.0,Defensive rebound by B. Bass,,59-66,,
9:54.0,B. Bass makes 2-pt shot from 4 ft (assist by D. Russell),2,61-66,,
9:39.0,,,61-66,,G. Robinson misses 2-pt shot from 1 ft (block by T. Black)
9:37.0,Defensive rebound by D. Russell,,61-66,,
9:35.0,,,61-66,,Shooting block foul by C. Miles (drawn by D. Russell)
9:35.0,D. Russell makes free throw 1 of 2,1,62-66,,
9:35.0,D. Russell misses free throw 2 of 2,,62-66,,
9:35.0,,,62-66,,Defensive rebound by J. Hill
9:15.0,,,62-66,,C. Miles misses 2-pt shot from 8 ft
9:14.0,,,62-66,,Offensive rebound by G. Robinson
9:10.0,,,62-68,2,G. Robinson makes 2-pt shot from 3 ft
8:57.0,J. Clarkson misses 2-pt shot from 16 ft,,62-68,,
8:56.0,,,62-68,,Defensive rebound by G. Robinson
8:51.0,,,62-68,,Shooting foul by B. Bass (drawn by C. Miles)
8:51.0,Official timeout,,62-68,,
8:51.0,,,62-68,,P. George enters the game for G. Robinson
8:51.0,,,62-68,,C. Miles misses free throw 1 of 2
8:51.0,,,62-68,,Offensive rebound by Team
8:51.0,,,62-69,1,C. Miles makes free throw 2 of 2
8:36.0,N. Young makes 2-pt shot from 19 ft (assist by B. Bass),2,64-69,,
8:13.0,,,64-71,2,J. Hill makes 2-pt shot from 4 ft
7:47.0,Shooting foul by L. Allen (drawn by B. Bass),,64-71,,
7:47.0,B. Bass makes free throw 1 of 2,1,65-71,,
7:47.0,B. Bass makes free throw 2 of 2,1,66-71,,
7:33.0,,,66-71,,Turnover by P. George (bad pass)
7:20.0,N. Young misses 3-pt shot from 25 ft,,66-71,,
7:19.0,Offensive rebound by B. Bass,,66-71,,
7:15.0,N. Young misses 3-pt shot from 25 ft,,66-71,,
7:14.0,,,66-71,,Defensive rebound by C. Miles
7:14.0,Loose ball foul by B. Bass (drawn by C. Miles),,66-71,,
7:14.0,,,66-71,,M. Turner enters the game for L. Allen
7:05.0,,,66-71,,J. Young misses 2-pt shot from 6 ft
7:04.0,,,66-71,,Offensive rebound by J. Hill
7:01.0,,,66-73,2,J. Hill makes 2-pt shot at rim
6:36.0,J. Clarkson misses 2-pt shot at rim,,66-73,,
6:36.0,,,66-73,,Defensive rebound by P. George
6:22.0,,,66-73,,J. Hill misses 2-pt shot from 12 ft
6:20.0,Defensive rebound by N. Young,,66-73,,
6:08.0,D. Russell makes 2-pt shot from 18 ft,2,68-73,,
6:07.0,,,68-73,,Indiana full timeout
6:07.0,J. Randle enters the game for T. Black,,68-73,,
6:07.0,,,68-73,,M. Ellis enters the game for J. Hill
6:07.0,,,68-73,,G. Hill enters the game for J. Young
6:07.0,,,68-73,,I. Mahinmi enters the game for C. Miles
5:55.0,,,68-75,2,M. Turner makes 2-pt shot from 6 ft (assist by G. Hill)
5:35.0,D. Russell makes 2-pt shot from 14 ft,2,70-75,,
5:35.0,Shooting foul by M. Ellis (drawn by D. Russell),,70-75,,
5:35.0,D. Russell makes free throw 1 of 1,1,71-75,,
5:23.0,,,71-77,2,M. Turner makes 2-pt shot from 20 ft (assist by G. Hill)
5:02.0,D. Russell misses 2-pt shot from 11 ft,,71-77,,
4:59.0,,,71-77,,Defensive rebound by M. Ellis
4:44.0,,,71-77,,Turnover by M. Turner (offensive foul)
4:44.0,,,71-77,,Offensive foul by M. Turner
4:44.0,K. Bryant enters the game for N. Young,,71-77,,
4:33.0,K. Bryant misses 3-pt shot from 25 ft,,71-77,,
4:31.0,Offensive rebound by Team,,71-77,,
4:19.0,K. Bryant misses 2-pt shot from 6 ft,,71-77,,
4:18.0,Offensive rebound by K. Bryant,,71-77,,
4:15.0,K. Bryant makes 2-pt shot from 14 ft,2,73-77,,
