time,Minnesota,pts.away,score,pts.home,Milwaukee
6:25.0,,,17-21,3,O. Mayo makes 3-pt shot from 24 ft (assist by G. Antetokounmpo)
6:07.0,G. Dieng makes 2-pt shot from 5 ft (assist by K. Towns),2,19-21,,
6:07.0,Shooting foul by K. Middleton (drawn by G. Dieng),,19-21,,
6:07.0,G. Dieng makes free throw 1 of 1,1,20-21,,
5:53.0,,,20-21,,J. Parker misses 2-pt shot from 6 ft
5:52.0,Defensive rebound by G. Dieng,,20-21,,
5:42.0,R. Rubio misses 3-pt shot from 25 ft,,20-21,,
5:41.0,Offensive rebound by K. Towns,,20-21,,
5:37.0,K. Towns makes 2-pt shot from 2 ft,2,22-21,,
5:15.0,,,22-21,,G. Antetokounmpo misses 2-pt shot from 7 ft (block by K. Towns)
5:14.0,,,22-21,,Offensive rebound by G. Antetokounmpo
5:13.0,,,22-21,,G. Antetokounmpo misses 2-pt shot from 5 ft
5:12.0,,,22-21,,Offensive rebound by G. Antetokounmpo
5:10.0,,,22-21,,Turnover by G. Antetokounmpo (lost ball; steal by T. Prince)
5:01.0,K. Towns makes 2-pt shot from 2 ft (assist by R. Rubio),2,24-21,,
5:00.0,,,24-21,,Milwaukee full timeout
5:00.0,,,24-21,,G. Monroe enters the game for M. Plumlee
4:42.0,,,24-21,,J. Parker misses 2-pt shot from 13 ft
4:40.0,Defensive rebound by T. Prince,,24-21,,
4:24.0,R. Rubio makes 3-pt shot from 25 ft (assist by K. Towns),3,27-21,,
4:13.0,,,27-21,,K. Middleton misses 2-pt shot from 10 ft
4:13.0,Defensive rebound by K. Towns,,27-21,,
4:13.0,,,27-21,,Loose ball foul by K. Middleton (drawn by K. Towns)
4:13.0,G. Smith enters the game for G. Dieng,,27-21,,
4:13.0,,,27-21,,J. Bayless enters the game for K. Middleton
3:51.0,T. Prince misses 2-pt shot from 19 ft,,27-21,,
3:49.0,,,27-21,,Defensive rebound by G. Monroe
3:43.0,,,27-21,,J. Parker misses 2-pt shot from 1 ft
3:43.0,,,27-21,,Offensive rebound by Team
3:42.0,,,27-21,,Turnover by J. Parker (bad pass)
3:42.0,A. Payne enters the game for K. Towns,,27-21,,
3:29.0,A. Wiggins misses 2-pt shot from 14 ft,,27-21,,
3:27.0,,,27-21,,Defensive rebound by G. Antetokounmpo
3:14.0,,,27-24,3,O. Mayo makes 3-pt shot from 23 ft (assist by G. Monroe)
2:56.0,A. Payne misses 3-pt shot from 25 ft,,27-24,,
2:54.0,,,27-24,,Defensive rebound by J. Parker
2:48.0,,,27-24,,Turnover by J. Parker (bad pass; steal by T. Prince)
2:41.0,A. Payne misses 2-pt shot from 6 ft,,27-24,,
2:40.0,Offensive rebound by G. Smith,,27-24,,
2:37.0,G. Smith makes 2-pt shot from 1 ft,2,29-24,,
2:18.0,Def 3 sec tech foul by A. Payne,,29-24,,
2:18.0,Z. LaVine enters the game for A. Wiggins,,29-24,,
2:18.0,S. Muhammad enters the game for R. Rubio,,29-24,,
2:18.0,,,29-24,,R. Vaughn enters the game for J. Parker
2:18.0,,,29-25,1,J. Bayless makes technical free throw
2:09.0,,,29-25,,G. Antetokounmpo misses 2-pt shot from 17 ft
2:07.0,Defensive rebound by A. Payne,,29-25,,
1:58.0,S. Muhammad makes 2-pt shot at rim,2,31-25,,
1:41.0,,,31-27,2,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Monroe)
1:41.0,,,31-27,,Shooting foul by A. Payne (drawn by G. Antetokounmpo)
1:41.0,T. Jones enters the game for T. Prince,,31-27,,
1:41.0,,,31-28,1,G. Antetokounmpo makes free throw 1 of 1
1:22.0,A. Payne misses 2-pt shot from 7 ft,,31-28,,
1:21.0,,,31-28,,Defensive rebound by G. Antetokounmpo
1:14.0,,,31-28,,O. Mayo misses 3-pt shot from 25 ft
1:12.0,Defensive rebound by A. Payne,,31-28,,
1:02.0,T. Jones misses 2-pt shot from 9 ft,,31-28,,
1:01.0,,,31-28,,Defensive rebound by G. Monroe
0:58.0,Personal foul by A. Payne (drawn by G. Antetokounmpo),,31-28,,
0:58.0,,,31-28,,G. Antetokounmpo misses free throw 1 of 2
0:58.0,,,31-28,,Offensive rebound by Team
0:58.0,,,31-28,,T. Ennis enters the game for O. Mayo
0:58.0,,,31-29,1,G. Antetokounmpo makes free throw 2 of 2
0:39.0,Z. LaVine makes 2-pt shot from 18 ft,2,33-29,,
0:32.0,,,33-29,,R. Vaughn misses 2-pt shot from 17 ft
0:30.0,Defensive rebound by Z. LaVine,,33-29,,
0:14.0,Turnover by Z. LaVine (bad pass),,33-29,,
0:05.0,,,33-29,,J. Bayless misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by S. Muhammad,,33-29,,
0:00.0,Z. LaVine makes 2-pt shot from 1 ft (assist by S. Muhammad),2,35-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,35-29,,T. Ennis misses 2-pt shot from 13 ft
11:46.0,Defensive rebound by G. Smith,,35-29,,
11:31.0,S. Muhammad misses 2-pt shot from 20 ft,,35-29,,
11:29.0,,,35-29,,Defensive rebound by J. Parker
11:09.0,,,35-29,,J. Parker misses 2-pt shot from 20 ft
11:07.0,Defensive rebound by G. Smith,,35-29,,
11:01.0,Z. LaVine misses 2-pt shot from 17 ft,,35-29,,
10:58.0,,,35-29,,Defensive rebound by J. Parker
10:47.0,,,35-31,2,G. Monroe makes 2-pt shot from 7 ft
10:27.0,A. Payne makes 2-pt shot from 19 ft (assist by T. Jones),2,37-31,,
10:15.0,,,37-33,2,G. Monroe makes 2-pt shot from 1 ft (assist by J. Parker)
9:58.0,S. Muhammad makes 3-pt shot from 23 ft (assist by T. Jones),3,40-33,,
9:43.0,,,40-33,,J. Parker misses 2-pt shot from 7 ft
9:43.0,,,40-33,,Offensive rebound by G. Monroe
9:43.0,Personal foul by A. Payne (drawn by G. Monroe),,40-33,,
9:43.0,K. Towns enters the game for A. Payne,,40-33,,
9:34.0,,,40-33,,R. Vaughn misses 3-pt shot from 24 ft
9:32.0,Defensive rebound by T. Jones,,40-33,,
9:22.0,Turnover by K. Towns (bad pass; steal by R. Vaughn),,40-33,,
9:13.0,,,40-36,3,J. Bayless makes 3-pt shot from 26 ft (assist by T. Ennis)
8:57.0,S. Muhammad makes 2-pt shot from 1 ft (assist by T. Jones),2,42-36,,
8:42.0,,,42-36,,Shooting foul by G. Smith (drawn by G. Monroe)
8:42.0,Official timeout,,42-36,,
8:42.0,,,42-36,,K. Middleton enters the game for R. Vaughn
8:42.0,G. Dieng enters the game for G. Smith,,42-36,,
8:42.0,R. Rubio enters the game for T. Jones,,42-36,,
8:42.0,,,42-36,,G. Monroe misses free throw 1 of 2
8:42.0,,,42-36,,Offensive rebound by Team
8:42.0,,,42-37,1,G. Monroe makes free throw 2 of 2
8:23.0,G. Dieng makes 2-pt shot from 1 ft (assist by R. Rubio),2,44-37,,
8:23.0,Shooting foul by J. Parker (drawn by G. Dieng),,44-37,,
8:23.0,G. Dieng makes free throw 1 of 1,1,45-37,,
8:00.0,,,45-37,,K. Middleton misses 2-pt shot from 21 ft
7:58.0,,,45-37,,Offensive rebound by J. Parker
7:48.0,,,45-37,,J. Bayless misses 3-pt shot from 23 ft
7:47.0,Defensive rebound by K. Towns,,45-37,,
7:41.0,Turnover by S. Muhammad (bad pass; steal by J. Parker),,45-37,,
7:36.0,,,45-37,,J. Parker misses 2-pt shot from 2 ft (block by R. Rubio)
7:35.0,Defensive rebound by Team,,45-37,,
7:21.0,S. Muhammad misses 2-pt shot from 9 ft,,45-37,,
7:19.0,,,45-37,,Defensive rebound by T. Ennis
7:05.0,,,45-37,,K. Middleton misses 2-pt shot from 18 ft
7:04.0,Defensive rebound by G. Dieng,,45-37,,
6:59.0,Turnover by R. Rubio (bad pass),,45-37,,
6:59.0,A. Wiggins enters the game for S. Muhammad,,45-37,,
6:49.0,,,45-39,2,G. Monroe makes 2-pt shot at rim (assist by K. Middleton)
6:34.0,Offensive foul by K. Towns,,45-39,,
6:34.0,Turnover by K. Towns (offensive foul),,45-39,,
6:16.0,,,45-39,,J. Bayless misses 3-pt shot from 25 ft
6:15.0,Defensive rebound by G. Dieng,,45-39,,
6:06.0,K. Towns misses 2-pt shot at rim,,45-39,,
6:01.0,Offensive rebound by K. Towns,,45-39,,
6:01.0,K. Towns makes 2-pt shot from 1 ft,2,47-39,,
5:44.0,,,47-39,,Milwaukee full timeout
5:44.0,,,47-39,,G. Antetokounmpo enters the game for J. Bayless
5:44.0,,,47-39,,O. Mayo enters the game for T. Ennis
5:40.0,,,47-39,,Turnover by G. Monroe (bad pass)
5:27.0,A. Wiggins makes 2-pt shot from 13 ft (assist by R. Rubio),2,49-39,,
5:19.0,,,49-41,2,J. Parker makes 2-pt shot from 17 ft (assist by G. Antetokounmpo)
4:55.0,K. Towns misses 2-pt shot from 21 ft,,49-41,,
4:53.0,,,49-41,,Defensive rebound by G. Antetokounmpo
4:48.0,,,49-43,2,K. Middleton makes 2-pt shot from 17 ft (assist by G. Antetokounmpo)
4:34.0,R. Rubio misses 2-pt shot from 13 ft,,49-43,,
4:34.0,,,49-43,,Defensive rebound by Team
4:18.0,,,49-46,3,O. Mayo makes 3-pt shot from 23 ft (assist by G. Monroe)
3:56.0,Turnover by R. Rubio (bad pass; steal by O. Mayo),,49-46,,
3:50.0,,,49-49,3,K. Middleton makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
3:47.0,Minnesota full timeout,,49-49,,
3:25.0,Turnover by R. Rubio (bad pass; steal by G. Antetokounmpo),,49-49,,
3:20.0,,,49-49,,Turnover by K. Middleton (bad pass; steal by Z. LaVine)
3:16.0,Shooting foul by G. Antetokounmpo (drawn by A. Wiggins),,49-49,,
3:16.0,A. Wiggins makes free throw 1 of 2,1,50-49,,
3:16.0,A. Wiggins makes free throw 2 of 2,1,51-49,,
2:54.0,,,51-51,2,G. Antetokounmpo makes 2-pt shot from 1 ft
2:39.0,K. Towns makes 2-pt shot from 5 ft (assist by A. Wiggins),2,53-51,,
2:27.0,,,53-51,,K. Middleton misses 2-pt shot from 3 ft
2:25.0,Defensive rebound by G. Dieng,,53-51,,
2:15.0,Turnover by Z. LaVine (bad pass; steal by O. Mayo),,53-51,,
2:07.0,,,53-51,,O. Mayo misses 3-pt shot from 26 ft
2:06.0,,,53-51,,Offensive rebound by G. Monroe
2:02.0,,,53-54,3,K. Middleton makes 3-pt shot from 23 ft (assist by G. Monroe)
1:45.0,,,53-54,,Def 3 sec tech foul by G. Monroe
1:45.0,R. Rubio makes technical free throw,1,54-54,,
1:34.0,A. Wiggins misses 2-pt shot from 16 ft,,54-54,,
1:31.0,Offensive rebound by A. Wiggins,,54-54,,
1:29.0,Turnover by A. Wiggins (bad pass; steal by G. Antetokounmpo),,54-54,,
1:22.0,,,54-54,,J. Parker misses 3-pt shot from 24 ft
1:20.0,,,54-54,,Offensive rebound by G. Monroe
1:17.0,,,54-56,2,G. Monroe makes 2-pt shot from 1 ft
1:07.0,,,54-56,,Personal foul by O. Mayo (drawn by R. Rubio)
0:58.0,Turnover by R. Rubio (bad pass; steal by K. Middleton),,54-56,,
0:48.0,,,54-56,,O. Mayo misses 3-pt shot from 23 ft
0:46.0,Defensive rebound by K. Towns,,54-56,,
0:39.0,G. Dieng makes 2-pt shot from 5 ft (assist by R. Rubio),2,56-56,,
0:34.0,,,56-59,3,K. Middleton makes 3-pt shot from 24 ft
0:18.0,A. Wiggins misses 3-pt shot from 24 ft,,56-59,,
0:16.0,Offensive rebound by A. Wiggins,,56-59,,
0:14.0,Turnover by A. Wiggins (offensive foul),,56-59,,
0:14.0,Offensive foul by A. Wiggins,,56-59,,
0:02.0,,,56-62,3,K. Middleton makes 3-pt shot from 24 ft
0:00.0,R. Rubio misses 3-pt shot from 68 ft,,56-62,,
0:00.0,Offensive rebound by Team,,56-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,56-64,2,J. Parker makes 2-pt shot from 1 ft
11:27.0,Turnover by R. Rubio (bad pass; steal by O. Mayo),,56-64,,
11:22.0,,,56-66,2,J. Parker makes 2-pt shot at rim
11:18.0,Minnesota full timeout,,56-66,,
11:10.0,K. Towns makes 2-pt shot from 7 ft (assist by R. Rubio),2,58-66,,
10:54.0,,,58-66,,Offensive foul by O. Mayo
10:54.0,,,58-66,,Turnover by O. Mayo (offensive foul)
10:34.0,Turnover by G. Dieng (step out of bounds),,58-66,,
10:21.0,,,58-66,,J. Parker misses 2-pt shot from 22 ft
10:19.0,Defensive rebound by T. Prince,,58-66,,
10:07.0,G. Dieng misses 2-pt shot from 15 ft,,58-66,,
10:05.0,,,58-66,,Defensive rebound by J. Parker
9:59.0,,,58-69,3,K. Middleton makes 3-pt shot from 24 ft (assist by J. Parker)
9:43.0,K. Towns misses 2-pt shot from 17 ft,,58-69,,
9:42.0,,,58-69,,Defensive rebound by K. Middleton
9:36.0,,,58-71,2,G. Antetokounmpo makes 2-pt shot from 20 ft (assist by K. Middleton)
9:34.0,Minnesota full timeout,,58-71,,
9:27.0,,,58-71,,Personal foul by O. Mayo (drawn by R. Rubio)
9:22.0,Turnover by K. Towns (lost ball; steal by G. Antetokounmpo),,58-71,,
9:17.0,,,58-73,2,G. Antetokounmpo makes 2-pt shot at rim
9:00.0,R. Rubio makes 2-pt shot from 21 ft,2,60-73,,
8:46.0,,,60-73,,J. Bayless enters the game for O. Mayo
8:34.0,,,60-76,3,K. Middleton makes 3-pt shot from 24 ft
8:17.0,T. Prince misses 2-pt shot from 16 ft,,60-76,,
8:16.0,Offensive rebound by K. Towns,,60-76,,
8:12.0,K. Towns misses 2-pt shot from 1 ft,,60-76,,
8:11.0,,,60-76,,Defensive rebound by M. Plumlee
8:09.0,,,60-76,,Shooting foul by G. Dieng (drawn by G. Antetokounmpo)
8:09.0,,,60-77,1,G. Antetokounmpo makes free throw 1 of 2
8:09.0,Z. LaVine enters the game for A. Wiggins,,60-77,,
8:09.0,S. Muhammad enters the game for G. Dieng,,60-77,,
8:09.0,A. Payne enters the game for K. Towns,,60-77,,
8:09.0,G. Smith enters the game for T. Prince,,60-77,,
8:09.0,,,60-78,1,G. Antetokounmpo makes free throw 2 of 2
8:04.0,Z. LaVine misses 2-pt shot from 3 ft,,60-78,,
8:02.0,Offensive rebound by R. Rubio,,60-78,,
7:56.0,Turnover by Z. LaVine (lost ball; steal by J. Bayless),,60-78,,
7:56.0,Personal foul by R. Rubio (drawn by J. Bayless),,60-78,,
7:43.0,,,60-80,2,G. Antetokounmpo makes 2-pt shot at rim
7:17.0,A. Payne misses 3-pt shot from 23 ft (block by G. Antetokounmpo),,60-80,,
7:16.0,,,60-80,,Defensive rebound by M. Plumlee
7:06.0,Personal foul by R. Rubio (drawn by G. Antetokounmpo),,60-80,,
7:06.0,T. Jones enters the game for R. Rubio,,60-80,,
6:58.0,,,60-82,2,M. Plumlee makes 2-pt shot at rim (assist by J. Parker)
6:40.0,A. Payne makes 2-pt shot from 1 ft,2,62-82,,
6:19.0,,,62-82,,Turnover by G. Antetokounmpo (bad pass; steal by T. Jones)
6:13.0,Turnover by Z. LaVine (bad pass),,62-82,,
6:00.0,Personal foul by S. Muhammad (drawn by M. Plumlee),,62-82,,
5:49.0,,,62-84,2,K. Middleton makes 2-pt shot at rim (assist by G. Antetokounmpo)
5:28.0,A. Payne misses 2-pt shot from 19 ft,,62-84,,
5:26.0,,,62-84,,Defensive rebound by M. Plumlee
5:26.0,Personal foul by G. Smith (drawn by M. Plumlee),,62-84,,
5:26.0,,,62-84,,M. Plumlee misses free throw 1 of 2
5:26.0,,,62-84,,Offensive rebound by Team
5:26.0,,,62-85,1,M. Plumlee makes free throw 2 of 2
5:09.0,,,62-85,,Shooting block foul by M. Plumlee (drawn by S. Muhammad)
5:09.0,S. Muhammad makes free throw 1 of 2,1,63-85,,
5:09.0,S. Muhammad misses free throw 2 of 2,,63-85,,
5:08.0,,,63-85,,Defensive rebound by M. Plumlee
4:56.0,,,63-88,3,K. Middleton makes 3-pt shot from 25 ft (assist by J. Bayless)
4:29.0,S. Muhammad makes 2-pt shot from 2 ft (assist by Z. LaVine),2,65-88,,
4:29.0,Shooting foul by M. Plumlee (drawn by S. Muhammad),,65-88,,
4:29.0,D. Rudez enters the game for A. Payne,,65-88,,
4:29.0,S. Muhammad misses free throw 1 of 1,,65-88,,
4:28.0,,,65-88,,Defensive rebound by G. Antetokounmpo
4:05.0,,,65-88,,J. Parker misses 2-pt shot from 13 ft
4:03.0,Defensive rebound by G. Smith,,65-88,,
3:42.0,Z. LaVine makes 3-pt shot from 25 ft,3,68-88,,
3:25.0,,,68-90,2,J. Parker makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
3:10.0,Turnover by T. Jones (bad pass; steal by J. Parker),,68-90,,
3:06.0,,,68-92,2,G. Antetokounmpo makes 2-pt shot from 10 ft (assist by J. Parker)
3:06.0,,,68-92,,Shooting foul by G. Smith (drawn by G. Antetokounmpo)
3:06.0,,,68-93,1,G. Antetokounmpo makes free throw 1 of 1
2:54.0,Z. LaVine makes 2-pt shot from 3 ft,2,70-93,,
2:39.0,,,70-93,,G. Antetokounmpo misses 2-pt shot from 20 ft
2:38.0,Defensive rebound by T. Jones,,70-93,,
2:34.0,Turnover by T. Jones (bad pass),,70-93,,
2:34.0,,,70-93,,Milwaukee full timeout
2:34.0,,,70-93,,G. Monroe enters the game for M. Plumlee
2:31.0,Personal foul by D. Rudez (drawn by G. Antetokounmpo),,70-93,,
2:31.0,,,70-94,1,G. Antetokounmpo makes free throw 1 of 2
2:31.0,,,70-95,1,G. Antetokounmpo makes free throw 2 of 2
2:11.0,S. Muhammad misses 3-pt shot from 24 ft,,70-95,,
2:10.0,,,70-95,,Defensive rebound by G. Antetokounmpo
1:58.0,,,70-97,2,K. Middleton makes 2-pt shot from 15 ft
1:46.0,T. Jones makes 2-pt shot from 1 ft,2,72-97,,
1:38.0,,,72-97,,K. Middleton misses 3-pt shot from 24 ft
1:36.0,Defensive rebound by G. Smith,,72-97,,
1:31.0,Z. LaVine misses 2-pt shot at rim (block by G. Antetokounmpo),,72-97,,
1:30.0,Offensive rebound by D. Rudez,,72-97,,
1:29.0,D. Rudez misses 2-pt shot at rim (block by G. Monroe),,72-97,,
1:29.0,,,72-97,,Defensive rebound by G. Monroe
1:27.0,,,72-97,,Turnover by G. Monroe (lost ball; steal by D. Rudez)
1:26.0,Z. LaVine makes 2-pt shot from 1 ft,2,74-97,,
1:26.0,Shooting foul by G. Monroe (drawn by Z. LaVine),,74-97,,
1:26.0,Z. LaVine makes free throw 1 of 1,1,75-97,,
1:13.0,,,75-97,,G. Antetokounmpo misses 2-pt shot from 17 ft
1:12.0,Defensive rebound by Z. LaVine,,75-97,,
1:06.0,G. Smith makes 2-pt shot at rim (assist by Z. LaVine),2,77-97,,
0:45.0,,,77-97,,Turnover by J. Parker (bad pass; steal by Z. LaVine)
0:42.0,,,77-97,,Flagrant foul type 1 by G. Antetokounmpo (drawn by S. Muhammad)
0:42.0,S. Muhammad misses flagrant free throw 1 of 2,,77-97,,
0:42.0,Offensive rebound by Team,,77-97,,
0:42.0,S. Muhammad makes flagrant free throw 2 of 2,1,78-97,,
0:36.0,Turnover by Z. LaVine (traveling),,78-97,,
0:28.0,Personal foul by G. Smith (drawn by G. Monroe),,78-97,,
0:28.0,,,78-98,1,G. Monroe makes free throw 1 of 2
0:28.0,,,78-98,,G. Monroe misses free throw 2 of 2
0:27.0,Defensive rebound by T. Jones,,78-98,,
0:07.0,Z. LaVine misses 2-pt shot at rim,,78-98,,
0:05.0,Offensive rebound by D. Rudez,,78-98,,
0:04.0,Z. LaVine makes 2-pt shot at rim (assist by D. Rudez),2,80-98,,
0:04.0,Shooting foul by G. Monroe (drawn by Z. LaVine),,80-98,,
0:04.0,Z. LaVine makes free throw 1 of 1,1,81-98,,
0:01.0,,,81-98,,G. Antetokounmpo misses 2-pt shot from 15 ft
0:00.0,,,81-98,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,S. Muhammad makes 2-pt shot from 1 ft,2,83-98,,
11:20.0,,,83-98,,J. Bayless misses 2-pt shot from 5 ft
11:18.0,Defensive rebound by G. Smith,,83-98,,
11:14.0,Turnover by Z. LaVine (bad pass; steal by R. Vaughn),,83-98,,
10:54.0,,,83-98,,J. O'Bryant misses 2-pt shot from 17 ft
10:53.0,,,83-98,,Offensive rebound by Team
10:53.0,Loose ball foul by G. Smith (drawn by G. Monroe),,83-98,,
10:43.0,,,83-100,2,J. Bayless makes 2-pt shot from 3 ft
10:35.0,S. Muhammad makes 2-pt shot at rim (assist by T. Jones),2,85-100,,
10:35.0,,,85-100,,Milwaukee full timeout
10:16.0,,,85-100,,O. Mayo misses 3-pt shot from 24 ft
10:14.0,Defensive rebound by S. Muhammad,,85-100,,
10:13.0,Turnover by S. Muhammad (lost ball),,85-100,,
9:59.0,,,85-102,2,G. Monroe makes 2-pt shot from 4 ft
9:43.0,D. Rudez misses 3-pt shot from 25 ft,,85-102,,
9:42.0,,,85-102,,Defensive rebound by R. Vaughn
9:26.0,Personal foul by G. Smith (drawn by G. Monroe),,85-102,,
9:26.0,G. Dieng enters the game for G. Smith,,85-102,,
9:24.0,,,85-102,,Turnover by G. Monroe (bad pass; steal by T. Jones)
9:12.0,D. Rudez misses 3-pt shot from 24 ft,,85-102,,
9:11.0,,,85-102,,Defensive rebound by J. Bayless
8:55.0,,,85-102,,Turnover by G. Monroe (lost ball)
8:43.0,S. Muhammad misses 2-pt shot from 6 ft (block by G. Monroe),,85-102,,
8:41.0,Offensive rebound by S. Muhammad,,85-102,,
8:38.0,S. Muhammad misses 2-pt shot from 1 ft,,85-102,,
8:37.0,,,85-102,,Defensive rebound by G. Monroe
8:32.0,,,85-102,,J. Bayless misses 2-pt shot from 2 ft (block by G. Dieng)
8:28.0,,,85-102,,Offensive rebound by J. O'Bryant
8:15.0,,,85-102,,Turnover by Team (shot clock)
8:15.0,Minnesota full timeout,,85-102,,
7:59.0,,,85-102,,Personal foul by J. O'Bryant (drawn by Z. LaVine)
7:54.0,Z. LaVine misses 2-pt shot from 3 ft,,85-102,,
7:52.0,,,85-102,,Defensive rebound by G. Monroe
7:37.0,,,85-102,,R. Vaughn misses 2-pt shot from 16 ft
7:36.0,Defensive rebound by G. Dieng,,85-102,,
7:30.0,Z. LaVine makes 2-pt shot from 1 ft,2,87-102,,
7:05.0,,,87-102,,J. Bayless misses 2-pt shot from 1 ft (block by G. Dieng)
7:00.0,Defensive rebound by G. Dieng,,87-102,,
6:55.0,Z. LaVine makes 3-pt shot from 23 ft (assist by T. Jones),3,90-102,,
6:33.0,,,90-102,,Turnover by G. Monroe (bad pass)
6:22.0,D. Rudez misses 3-pt shot from 24 ft,,90-102,,
6:21.0,Offensive rebound by S. Muhammad,,90-102,,
6:17.0,S. Muhammad misses 2-pt shot from 1 ft,,90-102,,
6:14.0,Offensive rebound by S. Muhammad,,90-102,,
6:14.0,S. Muhammad makes 2-pt shot from 2 ft,2,92-102,,
5:54.0,,,92-102,,J. Bayless misses 2-pt shot from 20 ft
5:53.0,Defensive rebound by G. Dieng,,92-102,,
5:34.0,Z. LaVine misses 3-pt shot from 25 ft,,92-102,,
5:31.0,Offensive rebound by T. Jones,,92-102,,
5:17.0,S. Muhammad misses 2-pt shot from 2 ft (block by G. Monroe),,92-102,,
5:17.0,Offensive rebound by Team,,92-102,,
5:17.0,,,92-102,,Loose ball foul by J. O'Bryant (drawn by G. Dieng)
5:17.0,,,92-102,,Milwaukee full timeout
5:17.0,,,92-102,,G. Antetokounmpo enters the game for J. Bayless
5:17.0,,,92-102,,K. Middleton enters the game for R. Vaughn
5:17.0,,,92-102,,J. Parker enters the game for J. O'Bryant
5:10.0,D. Rudez makes 3-pt shot from 26 ft (assist by S. Muhammad),3,95-102,,
4:48.0,,,95-102,,Turnover by G. Antetokounmpo (step out of bounds)
4:36.0,Turnover by G. Dieng (traveling),,95-102,,
4:29.0,Violation by G. Dieng (def goaltending),,95-102,,
4:29.0,,,95-104,2,G. Antetokounmpo makes 2-pt shot from 1 ft
4:20.0,D. Rudez misses 3-pt shot from 25 ft,,95-104,,
4:18.0,,,95-104,,Defensive rebound by G. Antetokounmpo
4:10.0,,,95-104,,Offensive foul by O. Mayo
4:10.0,,,95-104,,Turnover by O. Mayo (offensive foul)
3:59.0,S. Muhammad misses 3-pt shot from 24 ft,,95-104,,
3:58.0,,,95-104,,Defensive rebound by J. Parker
