time,Brooklyn,pts.away,score,pts.home,Charlotte
7:52.0,Turnover by H. Sims (bad pass),,34-32,,
7:52.0,Official timeout,,34-32,,
7:34.0,,,34-32,,A. Jefferson misses 2-pt shot from 8 ft
7:32.0,,,34-32,,Offensive rebound by F. Kaminsky
7:28.0,,,34-32,,M. Williams misses 3-pt shot from 24 ft
7:27.0,Defensive rebound by R. Hollis-Jefferson,,34-32,,
7:13.0,Turnover by D. Sloan (lost ball; steal by A. Jefferson),,34-32,,
7:05.0,,,34-35,3,T. Daniels makes 3-pt shot from 23 ft (assist by J. Lin)
6:52.0,,,34-35,,Personal foul by M. Williams
6:52.0,,,34-35,,C. Zeller enters the game for A. Jefferson
6:52.0,,,34-35,,N. Batum enters the game for M. Williams
6:38.0,H. Sims misses 2-pt shot from 2 ft,,34-35,,
6:38.0,Offensive rebound by Team,,34-35,,
6:29.0,Turnover by Team (shot clock),,34-35,,
6:29.0,,,34-35,,Offensive foul by N. Batum
6:29.0,,,34-35,,Turnover by N. Batum (offensive foul)
6:29.0,C. McCullough enters the game for R. Hollis-Jefferson,,34-35,,
6:16.0,S. Kilpatrick misses 3-pt shot from 25 ft,,34-35,,
6:15.0,,,34-35,,Defensive rebound by J. Lin
6:02.0,,,34-37,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by N. Batum)
5:48.0,Turnover by M. Brown (lost ball; steal by F. Kaminsky),,34-37,,
5:48.0,Personal foul by M. Brown,,34-37,,
5:48.0,,,34-37,,Charlotte full timeout
5:48.0,,,34-37,,K. Walker enters the game for J. Lin
5:48.0,,,34-37,,S. Hawes enters the game for F. Kaminsky
5:37.0,,,34-39,2,N. Batum makes 2-pt shot from 11 ft (assist by K. Walker)
5:14.0,S. Kilpatrick makes 2-pt shot from 11 ft,2,36-39,,
4:59.0,,,36-39,,Turnover by N. Batum (lost ball; steal by C. McCullough)
4:54.0,W. Ellington enters the game for M. Brown,,36-39,,
4:54.0,T. Robinson enters the game for H. Sims,,36-39,,
4:41.0,W. Ellington makes 3-pt shot from 25 ft (assist by D. Sloan),3,39-39,,
4:20.0,,,39-39,,T. Daniels misses 2-pt shot from 1 ft
4:19.0,Defensive rebound by T. Robinson,,39-39,,
4:13.0,Turnover by D. Sloan (lost ball; steal by C. Zeller),,39-39,,
4:08.0,,,39-39,,Turnover by N. Batum (bad pass)
3:51.0,C. McCullough misses 3-pt shot from 24 ft,,39-39,,
3:49.0,Offensive rebound by D. Sloan,,39-39,,
3:40.0,T. Robinson misses 2-pt shot from 8 ft,,39-39,,
3:39.0,,,39-39,,Defensive rebound by C. Zeller
3:35.0,,,39-39,,Turnover by C. Zeller (lost ball; steal by T. Robinson)
3:31.0,T. Robinson misses 2-pt shot from 1 ft,,39-39,,
3:30.0,Offensive rebound by T. Robinson,,39-39,,
3:30.0,T. Robinson makes 2-pt shot from 1 ft,2,41-39,,
3:11.0,,,41-42,3,T. Daniels makes 3-pt shot from 24 ft (assist by N. Batum)
3:11.0,Brooklyn full timeout,,41-42,,
3:11.0,B. Bogdanovic enters the game for S. Kilpatrick,,41-42,,
2:46.0,W. Ellington misses 3-pt shot from 25 ft,,41-42,,
2:46.0,Offensive rebound by Team,,41-42,,
2:46.0,,,41-42,,Loose ball foul by C. Zeller
2:46.0,S. Larkin enters the game for D. Sloan,,41-42,,
2:36.0,B. Bogdanovic misses 2-pt shot from 18 ft,,41-42,,
2:34.0,,,41-42,,Defensive rebound by T. Daniels
2:19.0,,,41-42,,N. Batum misses 3-pt shot from 25 ft
2:18.0,Defensive rebound by C. McCullough,,41-42,,
2:04.0,S. Larkin misses 3-pt shot from 25 ft,,41-42,,
2:02.0,,,41-42,,Defensive rebound by C. Zeller
1:47.0,,,41-45,3,T. Daniels makes 3-pt shot from 28 ft
1:18.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,43-45,,
1:04.0,,,43-47,2,N. Batum makes 2-pt shot at rim (assist by K. Walker)
0:40.0,C. McCullough misses 2-pt shot at rim (block by C. Zeller),,43-47,,
0:39.0,,,43-47,,Defensive rebound by T. Daniels
0:33.0,,,43-50,3,K. Walker makes 3-pt shot from 24 ft
0:24.0,W. Ellington misses 2-pt shot from 17 ft,,43-50,,
0:23.0,,,43-50,,Defensive rebound by N. Batum
0:10.0,Personal foul by S. Larkin,,43-50,,
0:00.0,,,43-50,,K. Walker misses 3-pt shot from 26 ft
0:00.0,,,43-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,B. Bogdanovic misses 2-pt shot from 6 ft (block by C. Zeller),,43-50,,
11:48.0,Offensive rebound by T. Robinson,,43-50,,
11:48.0,T. Robinson makes 2-pt shot at rim,2,45-50,,
11:48.0,Shooting foul by M. Williams (drawn by T. Robinson),,45-50,,
11:48.0,T. Robinson misses free throw 1 of 1,,45-50,,
11:37.0,Offensive rebound by T. Robinson,,45-50,,
11:35.0,T. Robinson misses 2-pt shot at rim (block by N. Batum),,45-50,,
11:32.0,Offensive rebound by T. Robinson,,45-50,,
11:32.0,B. Bogdanovic misses 2-pt shot at rim,,45-50,,
11:29.0,Offensive rebound by T. Robinson,,45-50,,
11:26.0,T. Robinson misses 2-pt shot from 1 ft (block by C. Zeller),,45-50,,
11:26.0,,,45-50,,Defensive rebound by Team
11:26.0,,,45-50,,Shooting foul by T. Robinson (drawn by C. Zeller)
11:26.0,,,45-50,,C. Zeller misses free throw 1 of 2
11:26.0,,,45-50,,Offensive rebound by Team
11:26.0,,,45-51,1,C. Zeller makes free throw 2 of 2
11:09.0,Shooting foul by K. Walker (drawn by T. Robinson),,45-51,,
11:09.0,T. Robinson misses free throw 1 of 2,,45-51,,
11:09.0,Offensive rebound by Team,,45-51,,
11:09.0,T. Robinson misses free throw 2 of 2,,45-51,,
11:07.0,,,45-51,,Defensive rebound by N. Batum
10:53.0,,,45-51,,K. Walker misses 3-pt shot from 25 ft
10:52.0,,,45-51,,Offensive rebound by M. Williams
10:42.0,,,45-53,2,C. Lee makes 2-pt shot from 16 ft
10:26.0,Turnover by C. McCullough (lost ball; steal by M. Williams),,45-53,,
10:22.0,,,45-55,2,M. Williams makes 2-pt shot at rim
10:00.0,W. Ellington makes 2-pt shot from 19 ft,2,47-55,,
9:56.0,,,47-55,,Shooting foul by S. Larkin (drawn by K. Walker)
9:56.0,,,47-56,1,K. Walker makes free throw 1 of 2
9:56.0,,,47-57,1,K. Walker makes free throw 2 of 2
9:44.0,Turnover by S. Larkin (lost ball; steal by M. Williams),,47-57,,
9:20.0,,,47-59,2,M. Williams makes 2-pt shot from 9 ft (assist by C. Lee)
9:13.0,Brooklyn full timeout,,47-59,,
9:03.0,Turnover by S. Larkin (lost ball; steal by C. Lee),,47-59,,
8:57.0,,,47-61,2,C. Lee makes 2-pt shot from 1 ft
8:43.0,C. McCullough misses 2-pt shot from 18 ft,,47-61,,
8:40.0,Offensive rebound by T. Robinson,,47-61,,
8:40.0,T. Robinson misses 2-pt shot at rim (block by M. Williams),,47-61,,
8:39.0,Offensive rebound by T. Robinson,,47-61,,
8:39.0,T. Robinson makes 2-pt shot at rim,2,49-61,,
8:39.0,Shooting foul by M. Williams (drawn by T. Robinson),,49-61,,
8:39.0,R. Hollis-Jefferson enters the game for C. McCullough,,49-61,,
8:39.0,D. Sloan enters the game for S. Larkin,,49-61,,
8:39.0,T. Robinson misses free throw 1 of 1,,49-61,,
8:38.0,,,49-61,,Defensive rebound by N. Batum
8:15.0,,,49-61,,K. Walker misses 3-pt shot from 28 ft
8:13.0,Defensive rebound by B. Bogdanovic,,49-61,,
8:06.0,T. Robinson makes 2-pt shot at rim (assist by D. Sloan),2,51-61,,
7:37.0,,,51-61,,K. Walker misses 3-pt shot from 25 ft
7:36.0,Defensive rebound by R. Hollis-Jefferson,,51-61,,
7:27.0,W. Ellington misses 2-pt shot from 19 ft,,51-61,,
7:27.0,,,51-61,,Defensive rebound by Team
7:15.0,,,51-61,,K. Walker misses 2-pt shot from 12 ft
7:14.0,,,51-61,,Offensive rebound by M. Williams
7:14.0,,,51-61,,Shooting foul by T. Robinson (drawn by M. Williams)
7:14.0,,,51-62,1,M. Williams makes free throw 1 of 2
7:14.0,,,51-63,1,M. Williams makes free throw 2 of 2
7:01.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by C. Zeller),,51-63,,
7:01.0,Offensive rebound by Team,,51-63,,
6:53.0,D. Sloan makes 2-pt shot from 17 ft,2,53-63,,
6:36.0,,,53-66,3,N. Batum makes 3-pt shot from 26 ft (assist by K. Walker)
6:21.0,R. Hollis-Jefferson misses 2-pt shot from 18 ft,,53-66,,
6:20.0,,,53-66,,Defensive rebound by N. Batum
6:11.0,,,53-66,,C. Zeller misses 2-pt shot from 2 ft (block by B. Bogdanovic)
6:11.0,Defensive rebound by D. Sloan,,53-66,,
6:11.0,,,53-66,,Personal foul by N. Batum
5:55.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft,,53-66,,
5:53.0,Offensive rebound by T. Robinson,,53-66,,
5:53.0,T. Robinson misses 2-pt shot at rim (block by C. Zeller),,53-66,,
5:52.0,,,53-66,,Defensive rebound by K. Walker
5:47.0,,,53-68,2,K. Walker makes 2-pt shot from 1 ft
5:35.0,Turnover by D. Sloan (lost ball; steal by M. Williams),,53-68,,
5:29.0,,,53-70,2,K. Walker makes 2-pt shot at rim
5:29.0,Brooklyn full timeout,,53-70,,
5:29.0,S. Kilpatrick enters the game for B. Bogdanovic,,53-70,,
5:29.0,M. Brown enters the game for W. Ellington,,53-70,,
5:19.0,S. Kilpatrick misses 2-pt shot from 1 ft,,53-70,,
5:19.0,Offensive rebound by T. Robinson,,53-70,,
5:19.0,Shooting foul by M. Williams (drawn by T. Robinson),,53-70,,
5:19.0,T. Robinson makes free throw 1 of 2,1,54-70,,
5:19.0,,,54-70,,F. Kaminsky enters the game for M. Williams
5:19.0,,,54-70,,J. Lin enters the game for C. Lee
5:19.0,T. Robinson makes free throw 2 of 2,1,55-70,,
5:00.0,,,55-73,3,K. Walker makes 3-pt shot from 23 ft (assist by F. Kaminsky)
4:45.0,S. Kilpatrick misses 3-pt shot from 24 ft,,55-73,,
4:44.0,,,55-73,,Defensive rebound by C. Zeller
4:35.0,,,55-73,,Turnover by J. Lin (lost ball; steal by M. Brown)
4:31.0,S. Kilpatrick misses 2-pt shot from 1 ft (block by K. Walker),,55-73,,
4:28.0,Offensive rebound by S. Kilpatrick,,55-73,,
4:28.0,S. Kilpatrick makes 2-pt shot from 1 ft,2,57-73,,
4:16.0,,,57-73,,N. Batum misses 3-pt shot from 25 ft
4:15.0,,,57-73,,Offensive rebound by J. Lin
4:04.0,,,57-76,3,F. Kaminsky makes 3-pt shot from 23 ft (assist by K. Walker)
4:04.0,Brooklyn full timeout,,57-76,,
4:04.0,,,57-76,,A. Jefferson enters the game for C. Zeller
3:48.0,D. Sloan makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson),2,59-76,,
3:30.0,,,59-76,,F. Kaminsky misses 2-pt shot from 1 ft
3:29.0,Defensive rebound by R. Hollis-Jefferson,,59-76,,
3:22.0,T. Robinson misses 2-pt shot from 16 ft,,59-76,,
3:19.0,,,59-76,,Defensive rebound by K. Walker
3:13.0,,,59-76,,K. Walker misses 2-pt shot from 1 ft (block by R. Hollis-Jefferson)
3:13.0,,,59-76,,Offensive rebound by Team
3:13.0,H. Sims enters the game for T. Robinson,,59-76,,
2:59.0,,,59-76,,A. Jefferson misses 2-pt shot from 7 ft
2:58.0,,,59-76,,Offensive rebound by N. Batum
2:58.0,,,59-78,2,N. Batum makes 2-pt shot from 1 ft
2:44.0,D. Sloan misses 2-pt shot from 20 ft,,59-78,,
2:43.0,,,59-78,,Defensive rebound by A. Jefferson
2:34.0,,,59-78,,T. Daniels enters the game for N. Batum
2:27.0,,,59-78,,J. Lin misses 3-pt shot from 25 ft
2:26.0,Defensive rebound by M. Brown,,59-78,,
2:05.0,D. Sloan makes 2-pt shot from 1 ft,2,61-78,,
1:49.0,Personal foul by M. Brown,,61-78,,
1:42.0,,,61-80,2,J. Lin makes 2-pt shot from 1 ft
1:27.0,M. Brown misses 3-pt shot from 25 ft,,61-80,,
1:25.0,Offensive rebound by Team,,61-80,,
1:12.0,S. Kilpatrick makes 3-pt shot from 27 ft (assist by D. Sloan),3,64-80,,
0:52.0,,,64-80,,J. Lin misses 2-pt shot from 3 ft (block by D. Sloan)
0:50.0,Defensive rebound by H. Sims,,64-80,,
0:47.0,D. Sloan misses 2-pt shot at rim,,64-80,,
0:46.0,,,64-80,,Defensive rebound by A. Jefferson
0:40.0,,,64-80,,Shooting foul by H. Sims (drawn by K. Walker)
0:40.0,,,64-81,1,K. Walker makes free throw 1 of 2
0:40.0,,,64-82,1,K. Walker makes free throw 2 of 2
0:29.0,H. Sims misses 2-pt shot from 18 ft,,64-82,,
0:28.0,,,64-82,,Defensive rebound by F. Kaminsky
0:07.0,,,64-82,,K. Walker misses 3-pt shot from 26 ft
0:06.0,,,64-82,,Offensive rebound by A. Jefferson
0:06.0,,,64-84,2,A. Jefferson makes 2-pt shot from 1 ft
0:02.0,Turnover by M. Brown (lost ball; steal by A. Jefferson),,64-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,64-84,,A. Jefferson misses 2-pt shot from 7 ft
11:38.0,Defensive rebound by H. Sims,,64-84,,
11:22.0,R. Hollis-Jefferson makes 2-pt shot from 18 ft (assist by D. Sloan),2,66-84,,
11:10.0,,,66-84,,J. Lin misses 3-pt shot from 24 ft
11:09.0,Defensive rebound by S. Kilpatrick,,66-84,,
10:55.0,H. Sims makes 2-pt shot from 15 ft (assist by M. Brown),2,68-84,,
10:33.0,,,68-87,3,T. Daniels makes 3-pt shot from 27 ft (assist by A. Jefferson)
10:12.0,Turnover by H. Sims (bad pass),,68-87,,
9:56.0,,,68-89,2,A. Jefferson makes 2-pt shot from 15 ft (assist by J. Lin)
9:35.0,H. Sims makes 2-pt shot at rim (assist by M. Brown),2,70-89,,
9:16.0,,,70-91,2,J. Lin makes 2-pt shot from 1 ft (assist by A. Jefferson)
9:16.0,,,70-91,,Shooting foul by R. Hollis-Jefferson (drawn by J. Lin)
9:16.0,,,70-92,1,J. Lin makes free throw 1 of 1
9:01.0,H. Sims misses 2-pt shot from 2 ft,,70-92,,
8:59.0,,,70-92,,Defensive rebound by A. Jefferson
8:58.0,,,70-92,,Turnover by J. Lin (bad pass)
8:58.0,Official timeout,,70-92,,
8:41.0,R. Hollis-Jefferson misses 2-pt shot from 12 ft,,70-92,,
8:40.0,,,70-92,,Defensive rebound by A. Jefferson
8:32.0,,,70-92,,F. Kaminsky misses 3-pt shot from 27 ft
8:31.0,Defensive rebound by M. Brown,,70-92,,
8:20.0,R. Hollis-Jefferson makes 3-pt shot from 25 ft (assist by M. Brown),3,73-92,,
7:56.0,,,73-92,,A. Jefferson misses 2-pt shot from 6 ft (block by H. Sims)
7:56.0,,,73-92,,Offensive rebound by Team
7:56.0,T. Robinson enters the game for H. Sims,,73-92,,
7:52.0,,,73-94,2,T. Daniels makes 2-pt shot from 20 ft (assist by A. Jefferson)
7:42.0,S. Kilpatrick misses 3-pt shot from 22 ft,,73-94,,
7:40.0,,,73-94,,Defensive rebound by A. Jefferson
7:31.0,,,73-97,3,T. Daniels makes 3-pt shot from 22 ft (assist by C. Lee)
7:31.0,Brooklyn full timeout,,73-97,,
7:31.0,,,73-97,,S. Hawes enters the game for A. Jefferson
7:31.0,S. Larkin enters the game for D. Sloan,,73-97,,
7:13.0,S. Kilpatrick makes 3-pt shot from 23 ft (assist by S. Larkin),3,76-97,,
6:58.0,,,76-99,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by S. Hawes)
6:36.0,M. Brown misses 3-pt shot from 24 ft,,76-99,,
6:34.0,,,76-99,,Defensive rebound by T. Daniels
6:23.0,,,76-99,,S. Hawes misses 2-pt shot from 17 ft
6:21.0,Defensive rebound by R. Hollis-Jefferson,,76-99,,
6:18.0,Shooting foul by T. Daniels (drawn by M. Brown),,76-99,,
6:18.0,M. Brown makes free throw 1 of 2,1,77-99,,
6:18.0,C. McCullough enters the game for R. Hollis-Jefferson,,77-99,,
6:18.0,M. Brown makes free throw 2 of 2,1,78-99,,
6:05.0,,,78-101,2,F. Kaminsky makes 2-pt shot from 4 ft (assist by J. Lin)
6:05.0,,,78-101,,Shooting foul by T. Robinson (drawn by F. Kaminsky)
6:05.0,W. Ellington enters the game for M. Brown,,78-101,,
6:05.0,,,78-102,1,F. Kaminsky makes free throw 1 of 1
5:50.0,Shooting foul by S. Hawes (drawn by S. Kilpatrick),,78-102,,
5:50.0,S. Kilpatrick makes free throw 1 of 2,1,79-102,,
5:50.0,,,79-102,,T. Hansbrough enters the game for F. Kaminsky
5:50.0,S. Kilpatrick makes free throw 2 of 2,1,80-102,,
5:38.0,,,80-105,3,J. Lin makes 3-pt shot from 24 ft (assist by S. Hawes)
5:22.0,Shooting foul by T. Daniels (drawn by S. Kilpatrick),,80-105,,
5:22.0,S. Kilpatrick makes free throw 1 of 2,1,81-105,,
5:22.0,,,81-105,,J. Gutierrez enters the game for C. Lee
5:22.0,S. Kilpatrick makes free throw 2 of 2,1,82-105,,
5:12.0,,,82-105,,T. Daniels misses 3-pt shot from 28 ft
5:11.0,Defensive rebound by T. Robinson,,82-105,,
4:58.0,W. Ellington makes 3-pt shot from 25 ft (assist by S. Larkin),3,85-105,,
4:43.0,,,85-105,,Turnover by J. Lin (lost ball; steal by S. Larkin)
4:39.0,W. Ellington makes 2-pt shot from 1 ft (assist by S. Larkin),2,87-105,,
4:39.0,,,87-105,,Charlotte full timeout
4:25.0,,,87-105,,Shooting foul by C. McCullough (drawn by S. Hawes)
4:25.0,,,87-106,1,S. Hawes makes free throw 1 of 2
4:25.0,,,87-107,1,S. Hawes makes free throw 2 of 2
4:04.0,S. Kilpatrick misses 3-pt shot from 25 ft,,87-107,,
4:01.0,Offensive rebound by W. Ellington,,87-107,,
3:57.0,W. Ellington makes 3-pt shot from 24 ft,3,90-107,,
3:42.0,,,90-107,,Turnover by T. Daniels (lost ball; steal by C. McCullough)
3:35.0,C. McCullough makes 2-pt shot at rim (assist by S. Kilpatrick),2,92-107,,
3:17.0,,,92-107,,J. Lin misses 2-pt shot from 2 ft (block by S. Larkin)
3:15.0,,,92-107,,Offensive rebound by J. Lin
3:15.0,,,92-107,,Shooting foul by T. Robinson (drawn by T. Hansbrough)
