time,LA Clippers,pts.away,score,pts.home,Atlanta
1:07.0,J. Crawford misses 2-pt shot from 20 ft,,15-17,,
1:06.0,,,15-17,,Defensive rebound by D. Schroder
0:57.0,,,15-20,3,K. Bazemore makes 3-pt shot from 24 ft (assist by D. Schroder)
0:37.0,A. Rivers misses 3-pt shot from 25 ft,,15-20,,
0:35.0,,,15-20,,Defensive rebound by A. Horford
0:30.0,,,15-23,3,D. Schroder makes 3-pt shot from 26 ft
0:11.0,J. Crawford makes 2-pt shot from 3 ft,2,17-23,,
0:01.0,,,17-23,,Turnover by D. Schroder (bad pass; steal by W. Johnson)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,17-23,,D. Schroder misses 2-pt shot from 1 ft (block by C. Aldrich)
11:43.0,Defensive rebound by W. Johnson,,17-23,,
11:28.0,C. Aldrich misses 2-pt shot from 5 ft,,17-23,,
11:26.0,,,17-23,,Defensive rebound by T. Hardaway
11:15.0,,,17-23,,Turnover by T. Sefolosha (bad pass)
11:05.0,Turnover by W. Johnson (bad pass; steal by T. Sefolosha),,17-23,,
10:57.0,,,17-23,,Turnover by T. Sefolosha (bad pass; steal by W. Johnson)
10:45.0,J. Crawford makes 2-pt shot from 17 ft,2,19-23,,
10:23.0,,,19-25,2,A. Horford makes 2-pt shot from 15 ft (assist by D. Schroder)
10:03.0,J. Crawford misses 2-pt shot from 2 ft,,19-25,,
10:01.0,Offensive rebound by C. Aldrich,,19-25,,
10:01.0,C. Aldrich misses 2-pt shot at rim,,19-25,,
10:00.0,,,19-25,,Defensive rebound by M. Scott
10:00.0,,,19-25,,Turnover by D. Schroder (lost ball)
9:53.0,A. Rivers makes 2-pt shot from 1 ft,2,21-25,,
9:42.0,,,21-27,2,D. Schroder makes 2-pt shot from 17 ft
9:18.0,J. Crawford makes 3-pt shot from 24 ft (assist by P. Prigioni),3,24-27,,
9:08.0,,,24-27,,Shooting foul by W. Johnson (drawn by M. Scott)
9:08.0,,,24-27,,M. Scott misses free throw 1 of 2
9:08.0,,,24-27,,Offensive rebound by Team
9:08.0,,,24-28,1,M. Scott makes free throw 2 of 2
8:53.0,J. Crawford misses 2-pt shot from 19 ft,,24-28,,
8:52.0,,,24-28,,Defensive rebound by D. Schroder
8:44.0,,,24-28,,T. Hardaway misses 3-pt shot from 24 ft
8:42.0,Defensive rebound by W. Johnson,,24-28,,
8:32.0,Turnover by C. Aldrich (3 sec),,24-28,,
8:32.0,Official timeout,,24-28,,
8:32.0,,,24-28,,K. Korver enters the game for T. Sefolosha
8:22.0,,,24-28,,Turnover by K. Korver (bad pass; steal by W. Johnson)
8:04.0,A. Rivers misses 2-pt shot from 4 ft,,24-28,,
8:00.0,,,24-28,,Defensive rebound by M. Scott
7:53.0,,,24-28,,D. Schroder misses 2-pt shot from 18 ft
7:51.0,Defensive rebound by W. Johnson,,24-28,,
7:39.0,J. Crawford makes 2-pt shot from 2 ft (assist by C. Aldrich),2,26-28,,
7:19.0,,,26-28,,D. Schroder misses 2-pt shot from 7 ft
7:17.0,Defensive rebound by J. Crawford,,26-28,,
7:07.0,W. Johnson makes 3-pt shot from 22 ft (assist by P. Prigioni),3,29-28,,
7:06.0,,,29-28,,Atlanta full timeout
7:06.0,,,29-28,,J. Teague enters the game for A. Horford
7:06.0,,,29-28,,T. Splitter enters the game for D. Schroder
7:06.0,,,29-28,,K. Bazemore enters the game for M. Scott
7:06.0,,,29-28,,P. Millsap enters the game for T. Hardaway
6:55.0,Personal foul by P. Prigioni (drawn by J. Teague),,29-28,,
6:42.0,,,29-28,,K. Bazemore misses 2-pt shot at rim (block by C. Aldrich)
6:38.0,Defensive rebound by A. Rivers,,29-28,,
6:29.0,J. Crawford makes 2-pt shot from 15 ft,2,31-28,,
6:20.0,,,31-28,,Turnover by K. Bazemore (bad pass; steal by W. Johnson)
6:17.0,W. Johnson makes 2-pt shot at rim,2,33-28,,
6:02.0,,,33-28,,K. Bazemore misses 2-pt shot from 1 ft
6:00.0,,,33-28,,Offensive rebound by T. Splitter
6:00.0,,,33-30,2,T. Splitter makes 2-pt shot at rim
5:44.0,Turnover by J. Crawford (bad pass; steal by J. Teague),,33-30,,
5:43.0,Personal foul by P. Prigioni (drawn by J. Teague),,33-30,,
5:43.0,J. Redick enters the game for W. Johnson,,33-30,,
5:43.0,C. Paul enters the game for A. Rivers,,33-30,,
5:43.0,D. Jordan enters the game for P. Prigioni,,33-30,,
5:43.0,P. Pierce enters the game for C. Aldrich,,33-30,,
5:25.0,,,33-32,2,P. Millsap makes 2-pt shot from 11 ft
5:08.0,Turnover by J. Crawford (lost ball; steal by K. Bazemore),,33-32,,
5:00.0,,,33-32,,K. Bazemore misses 2-pt shot from 19 ft
4:59.0,Defensive rebound by C. Paul,,33-32,,
4:41.0,P. Pierce makes 2-pt shot from 15 ft (assist by C. Paul),2,35-32,,
4:22.0,,,35-32,,T. Splitter misses 2-pt shot from 3 ft
4:21.0,Defensive rebound by D. Jordan,,35-32,,
4:14.0,,,35-32,,Personal foul by J. Teague (drawn by P. Pierce)
4:14.0,L. Mbah a Moute enters the game for J. Crawford,,35-32,,
4:14.0,LA Clippers full timeout,,35-32,,
4:06.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,37-32,,
3:51.0,,,37-34,2,P. Millsap makes 2-pt shot from 1 ft
3:51.0,Violation by D. Jordan (def goaltending),,37-34,,
3:51.0,Technical foul by D. Jordan,,37-34,,
3:51.0,,,37-35,1,K. Korver makes technical free throw
3:51.0,,,37-35,,A. Horford enters the game for T. Splitter
3:42.0,Shooting foul by K. Bazemore (drawn by D. Jordan),,37-35,,
3:42.0,D. Jordan misses free throw 1 of 2,,37-35,,
3:42.0,Offensive rebound by Team,,37-35,,
3:42.0,D. Jordan misses free throw 2 of 2,,37-35,,
3:40.0,,,37-35,,Defensive rebound by K. Bazemore
3:24.0,,,37-38,3,K. Korver makes 3-pt shot from 25 ft (assist by P. Millsap)
3:07.0,J. Redick misses 3-pt shot from 24 ft,,37-38,,
3:05.0,,,37-38,,Defensive rebound by P. Millsap
2:56.0,,,37-38,,J. Teague misses 2-pt shot from 18 ft
2:54.0,Defensive rebound by C. Paul,,37-38,,
2:45.0,Shooting foul by K. Bazemore (drawn by J. Redick),,37-38,,
2:45.0,J. Redick makes free throw 1 of 2,1,38-38,,
2:45.0,,,38-38,,T. Sefolosha enters the game for K. Bazemore
2:45.0,J. Redick makes free throw 2 of 2,1,39-38,,
2:21.0,,,39-38,,T. Sefolosha misses 3-pt shot from 24 ft
2:20.0,Defensive rebound by D. Jordan,,39-38,,
2:11.0,C. Paul misses 3-pt shot from 24 ft,,39-38,,
2:09.0,Offensive rebound by L. Mbah a Moute,,39-38,,
2:09.0,Shooting foul by P. Millsap (drawn by L. Mbah a Moute),,39-38,,
2:09.0,L. Mbah a Moute misses free throw 1 of 2,,39-38,,
2:09.0,Offensive rebound by Team,,39-38,,
2:09.0,L. Mbah a Moute makes free throw 2 of 2,1,40-38,,
1:54.0,,,40-38,,Turnover by P. Millsap (lost ball; steal by L. Mbah a Moute)
1:49.0,Turnover by L. Mbah a Moute (bad pass; steal by A. Horford),,40-38,,
1:42.0,,,40-38,,P. Millsap misses 3-pt shot from 23 ft
1:41.0,Defensive rebound by D. Jordan,,40-38,,
1:36.0,C. Paul makes 2-pt shot from 17 ft,2,42-38,,
1:15.0,,,42-40,2,A. Horford makes 2-pt shot from 17 ft (assist by J. Teague)
1:05.0,,,42-40,,Personal take foul by T. Sefolosha (drawn by D. Jordan)
1:05.0,D. Jordan makes free throw 1 of 2,1,43-40,,
1:05.0,D. Jordan misses free throw 2 of 2,,43-40,,
1:04.0,,,43-40,,Defensive rebound by T. Sefolosha
0:45.0,,,43-42,2,J. Teague makes 2-pt shot from 2 ft
0:36.0,C. Paul misses 2-pt shot from 1 ft,,43-42,,
0:35.0,Offensive rebound by L. Mbah a Moute,,43-42,,
0:35.0,L. Mbah a Moute misses 2-pt shot from 1 ft,,43-42,,
0:33.0,,,43-42,,Defensive rebound by K. Korver
0:29.0,,,43-45,3,K. Korver makes 3-pt shot from 25 ft (assist by A. Horford)
0:27.0,LA Clippers full timeout,,43-45,,
0:27.0,W. Johnson enters the game for L. Mbah a Moute,,43-45,,
0:27.0,J. Crawford enters the game for D. Jordan,,43-45,,
0:27.0,,,43-45,,D. Schroder enters the game for K. Korver
0:06.0,C. Paul misses 2-pt shot from 7 ft,,43-45,,
0:05.0,,,43-45,,Defensive rebound by P. Millsap
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,43-45,,P. Millsap misses 2-pt shot from 4 ft
11:36.0,,,43-45,,Offensive rebound by P. Millsap
11:30.0,,,43-48,3,A. Horford makes 3-pt shot from 24 ft (assist by P. Millsap)
11:16.0,J. Redick misses 3-pt shot from 23 ft,,43-48,,
11:14.0,Offensive rebound by L. Mbah a Moute,,43-48,,
11:10.0,J. Redick makes 3-pt shot from 23 ft (assist by L. Mbah a Moute),3,46-48,,
11:02.0,,,46-48,,Turnover by A. Horford (bad pass)
10:53.0,Turnover by L. Mbah a Moute (bad pass),,46-48,,
10:39.0,,,46-50,2,K. Bazemore makes 2-pt shot from 2 ft (assist by A. Horford)
10:19.0,P. Pierce misses 3-pt shot from 25 ft,,46-50,,
10:17.0,Offensive rebound by Team,,46-50,,
10:14.0,P. Pierce misses 3-pt shot from 24 ft,,46-50,,
10:12.0,,,46-50,,Defensive rebound by K. Bazemore
10:05.0,,,46-50,,A. Horford misses 3-pt shot from 24 ft
10:04.0,Defensive rebound by C. Paul,,46-50,,
9:48.0,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul),3,49-50,,
9:31.0,,,49-52,2,K. Bazemore makes 2-pt shot from 1 ft
9:23.0,Turnover by C. Paul (lost ball; steal by J. Teague),,49-52,,
9:19.0,,,49-52,,Shooting foul by D. Jordan (drawn by K. Bazemore)
9:19.0,,,49-52,,K. Bazemore misses free throw 1 of 2
9:19.0,,,49-52,,Offensive rebound by Team
9:19.0,,,49-53,1,K. Bazemore makes free throw 2 of 2
9:04.0,J. Redick makes 2-pt shot from 21 ft (assist by C. Paul),2,51-53,,
8:53.0,Personal foul by J. Redick (drawn by P. Millsap),,51-53,,
8:47.0,,,51-53,,Turnover by J. Teague (bad pass; steal by C. Paul)
8:40.0,P. Pierce misses 2-pt shot from 1 ft (block by P. Millsap),,51-53,,
8:38.0,,,51-53,,Defensive rebound by A. Horford
8:34.0,,,51-56,3,K. Korver makes 3-pt shot from 24 ft (assist by A. Horford)
8:18.0,C. Paul misses 3-pt shot from 24 ft,,51-56,,
8:16.0,,,51-56,,Defensive rebound by K. Bazemore
8:02.0,,,51-56,,K. Bazemore misses 3-pt shot from 23 ft
8:01.0,,,51-56,,Offensive rebound by P. Millsap
7:56.0,,,51-56,,A. Horford misses 3-pt shot from 24 ft
7:56.0,Defensive rebound by D. Jordan,,51-56,,
7:56.0,LA Clippers full timeout,,51-56,,
7:41.0,J. Redick misses 2-pt shot from 20 ft,,51-56,,
7:41.0,,,51-56,,Defensive rebound by Team
7:26.0,,,51-56,,K. Bazemore misses 2-pt shot at rim
7:25.0,,,51-56,,Offensive rebound by A. Horford
7:21.0,,,51-58,2,P. Millsap makes 2-pt shot from 7 ft (assist by K. Korver)
7:07.0,,,51-58,,Def 3 sec tech foul by A. Horford
7:07.0,C. Paul makes technical free throw,1,52-58,,
7:07.0,,,52-58,,T. Sefolosha enters the game for K. Bazemore
7:07.0,W. Johnson enters the game for P. Pierce,,52-58,,
6:52.0,W. Johnson misses 3-pt shot from 24 ft,,52-58,,
6:52.0,Offensive rebound by Team,,52-58,,
6:52.0,Turnover by Team (shot clock),,52-58,,
6:40.0,Def 3 sec tech foul by D. Jordan,,52-58,,
6:40.0,,,52-59,1,K. Korver makes technical free throw
6:36.0,,,52-59,,Turnover by J. Teague (bad pass; steal by C. Paul)
6:32.0,,,52-59,,T. Splitter enters the game for A. Horford
6:24.0,C. Paul makes 2-pt shot from 19 ft,2,54-59,,
6:11.0,,,54-61,2,J. Teague makes 2-pt shot from 2 ft (assist by P. Millsap)
6:00.0,W. Johnson misses 2-pt shot from 2 ft (block by P. Millsap),,54-61,,
5:58.0,,,54-61,,Defensive rebound by J. Teague
5:51.0,,,54-61,,Turnover by P. Millsap (bad pass; steal by W. Johnson)
5:44.0,W. Johnson misses 3-pt shot from 24 ft,,54-61,,
5:42.0,,,54-61,,Defensive rebound by P. Millsap
5:26.0,,,54-63,2,J. Teague makes 2-pt shot from 1 ft (assist by P. Millsap)
5:08.0,L. Mbah a Moute makes 2-pt shot from 18 ft (assist by C. Paul),2,56-63,,
4:50.0,,,56-63,,Turnover by T. Sefolosha (lost ball; steal by J. Redick)
4:38.0,C. Paul makes 2-pt shot from 16 ft,2,58-63,,
4:11.0,,,58-63,,T. Sefolosha misses 2-pt shot at rim
4:11.0,,,58-63,,Offensive rebound by P. Millsap
4:11.0,,,58-63,,Turnover by Team (shot clock)
4:11.0,,,58-63,,K. Bazemore enters the game for K. Korver
4:11.0,,,58-63,,D. Schroder enters the game for J. Teague
4:11.0,J. Crawford enters the game for J. Redick,,58-63,,
3:57.0,L. Mbah a Moute misses 2-pt shot from 18 ft,,58-63,,
3:55.0,,,58-63,,Defensive rebound by T. Sefolosha
3:35.0,,,58-66,3,P. Millsap makes 3-pt shot from 24 ft (assist by K. Bazemore)
3:15.0,,,58-66,,Personal foul by P. Millsap (drawn by L. Mbah a Moute)
3:15.0,A. Rivers enters the game for L. Mbah a Moute,,58-66,,
3:15.0,,,58-66,,M. Scott enters the game for P. Millsap
3:07.0,J. Crawford misses 2-pt shot from 20 ft,,58-66,,
3:06.0,,,58-66,,Defensive rebound by K. Bazemore
2:59.0,,,58-66,,T. Splitter misses 2-pt shot from 1 ft (block by W. Johnson)
2:58.0,,,58-66,,Offensive rebound by Team
2:58.0,,,58-66,,Atlanta full timeout
2:46.0,,,58-66,,T. Sefolosha misses 2-pt shot from 22 ft
2:44.0,,,58-66,,Offensive rebound by M. Scott
2:35.0,,,58-66,,D. Schroder misses 3-pt shot from 23 ft
2:34.0,Defensive rebound by D. Jordan,,58-66,,
2:17.0,,,58-66,,Personal foul by D. Schroder (drawn by C. Paul)
2:17.0,,,58-66,,A. Horford enters the game for T. Splitter
2:08.0,C. Paul makes 2-pt shot from 7 ft,2,60-66,,
1:40.0,,,60-66,,A. Horford misses 2-pt shot from 18 ft
1:39.0,Defensive rebound by Team,,60-66,,
1:39.0,P. Prigioni enters the game for C. Paul,,60-66,,
1:19.0,J. Crawford misses 2-pt shot from 11 ft,,60-66,,
1:18.0,,,60-66,,Defensive rebound by M. Scott
1:10.0,,,60-66,,M. Scott misses 3-pt shot from 24 ft
1:08.0,,,60-66,,Offensive rebound by A. Horford
1:07.0,,,60-66,,Turnover by K. Bazemore (step out of bounds)
1:05.0,,,60-66,,Personal take foul by M. Scott (drawn by D. Jordan)
1:05.0,C. Aldrich enters the game for D. Jordan,,60-66,,
0:56.0,A. Rivers misses 2-pt shot from 21 ft,,60-66,,
0:55.0,,,60-66,,Defensive rebound by T. Sefolosha
0:50.0,,,60-66,,Turnover by D. Schroder (bad pass; steal by W. Johnson)
0:35.0,A. Rivers makes 2-pt shot at rim (assist by J. Crawford),2,62-66,,
0:28.0,Personal foul by A. Rivers (drawn by D. Schroder),,62-66,,
0:19.0,,,62-66,,Turnover by A. Horford (lost ball; steal by A. Rivers)
0:15.0,J. Crawford makes 2-pt shot from 1 ft (assist by A. Rivers),2,64-66,,
0:03.0,,,64-66,,K. Bazemore misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by P. Prigioni,,64-66,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,W. Johnson misses 3-pt shot from 24 ft,,64-66,,
11:41.0,,,64-66,,Defensive rebound by D. Schroder
11:36.0,,,64-66,,D. Schroder misses 2-pt shot from 9 ft
11:35.0,Defensive rebound by C. Aldrich,,64-66,,
11:22.0,C. Aldrich misses 2-pt shot from 6 ft,,64-66,,
11:21.0,,,64-66,,Defensive rebound by D. Schroder
11:08.0,,,64-66,,A. Horford misses 2-pt shot from 19 ft
11:06.0,Defensive rebound by A. Rivers,,64-66,,
10:53.0,W. Johnson misses 3-pt shot from 23 ft,,64-66,,
10:51.0,Offensive rebound by C. Aldrich,,64-66,,
10:47.0,Turnover by W. Johnson (bad pass),,64-66,,
10:32.0,,,64-66,,Turnover by D. Schroder (bad pass; steal by A. Rivers)
10:19.0,J. Crawford makes 2-pt shot from 5 ft,2,66-66,,
9:57.0,,,66-66,,Shooting foul by C. Aldrich (drawn by A. Horford)
9:57.0,,,66-67,1,A. Horford makes free throw 1 of 2
9:57.0,,,66-67,,A. Horford misses free throw 2 of 2
9:56.0,Defensive rebound by C. Aldrich,,66-67,,
9:38.0,A. Rivers makes 2-pt shot from 2 ft,2,68-67,,
9:16.0,,,68-69,2,A. Horford makes 2-pt shot from 3 ft (assist by M. Scott)
9:16.0,,,68-69,,Shooting foul by C. Aldrich (drawn by A. Horford)
9:16.0,,,68-69,,A. Horford misses free throw 1 of 1
9:15.0,Defensive rebound by A. Rivers,,68-69,,
9:01.0,Shooting foul by T. Sefolosha (drawn by C. Aldrich),,68-69,,
9:01.0,C. Aldrich makes free throw 1 of 2,1,69-69,,
9:01.0,,,69-69,,P. Millsap enters the game for A. Horford
9:01.0,C. Aldrich misses free throw 2 of 2,,69-69,,
9:00.0,,,69-69,,Defensive rebound by T. Hardaway
8:48.0,,,69-69,,D. Schroder misses 2-pt shot from 1 ft
8:46.0,Defensive rebound by A. Rivers,,69-69,,
8:32.0,C. Aldrich makes 2-pt shot at rim (assist by J. Crawford),2,71-69,,
8:13.0,,,71-69,,T. Sefolosha misses 3-pt shot from 22 ft
8:12.0,Defensive rebound by Team,,71-69,,
8:12.0,Official timeout,,71-69,,
8:12.0,,,71-69,,K. Bazemore enters the game for T. Sefolosha
8:12.0,,,71-69,,K. Korver enters the game for D. Schroder
8:12.0,,,71-69,,J. Teague enters the game for M. Scott
8:12.0,,,71-69,,A. Horford enters the game for T. Hardaway
7:53.0,W. Johnson misses 3-pt shot from 23 ft,,71-69,,
7:51.0,,,71-69,,Defensive rebound by K. Bazemore
7:33.0,,,71-69,,Turnover by K. Bazemore (lost ball; steal by P. Prigioni)
7:12.0,P. Prigioni misses 3-pt shot from 24 ft,,71-69,,
7:11.0,,,71-69,,Defensive rebound by Team
7:11.0,C. Paul enters the game for P. Prigioni,,71-69,,
7:11.0,D. Jordan enters the game for C. Aldrich,,71-69,,
7:00.0,,,71-69,,Offensive charge foul by J. Teague
7:00.0,,,71-69,,Turnover by J. Teague (offensive foul)
7:00.0,,,71-69,,Inbound foul by A. Horford
7:00.0,D. Jordan misses free throw 1 of 2,,71-69,,
7:00.0,Offensive rebound by Team,,71-69,,
7:00.0,D. Jordan makes free throw 2 of 2,1,72-69,,
6:41.0,,,72-69,,Turnover by K. Bazemore (bad pass; steal by C. Paul)
6:33.0,C. Paul misses 2-pt shot from 19 ft,,72-69,,
6:30.0,,,72-69,,Defensive rebound by K. Korver
6:25.0,,,72-69,,Turnover by K. Bazemore (bad pass; steal by J. Crawford)
6:04.0,A. Rivers misses 3-pt shot from 25 ft,,72-69,,
6:03.0,Offensive rebound by D. Jordan,,72-69,,
6:03.0,D. Jordan misses 2-pt shot from 1 ft,,72-69,,
6:03.0,,,72-69,,Defensive rebound by Team
6:03.0,J. Redick enters the game for A. Rivers,,72-69,,
5:49.0,Personal foul by W. Johnson (drawn by P. Millsap),,72-69,,
5:49.0,,,72-69,,Atlanta full timeout
5:49.0,L. Mbah a Moute enters the game for W. Johnson,,72-69,,
5:38.0,,,72-69,,P. Millsap misses 2-pt shot from 15 ft
5:37.0,Defensive rebound by D. Jordan,,72-69,,
5:14.0,J. Crawford makes 2-pt shot from 4 ft,2,74-69,,
4:48.0,,,74-69,,P. Millsap misses 2-pt shot from 18 ft
4:46.0,Defensive rebound by D. Jordan,,74-69,,
4:26.0,Turnover by C. Paul (bad pass; steal by P. Millsap),,74-69,,
4:24.0,Personal foul by J. Crawford (drawn by K. Bazemore),,74-69,,
4:10.0,,,74-72,3,J. Teague makes 3-pt shot from 24 ft
3:51.0,Shooting foul by K. Bazemore (drawn by D. Jordan),,74-72,,
3:51.0,D. Jordan makes free throw 1 of 2,1,75-72,,
3:51.0,D. Jordan misses free throw 2 of 2,,75-72,,
3:50.0,,,75-72,,Defensive rebound by P. Millsap
3:39.0,,,75-72,,A. Horford misses 3-pt shot from 25 ft
3:38.0,,,75-72,,Offensive rebound by P. Millsap
3:38.0,Personal foul by L. Mbah a Moute (drawn by P. Millsap),,75-72,,
3:38.0,,,75-72,,P. Millsap misses free throw 1 of 2
3:38.0,,,75-72,,Offensive rebound by Team
3:38.0,,,75-73,1,P. Millsap makes free throw 2 of 2
3:37.0,,,75-73,,Personal take foul by K. Korver (drawn by D. Jordan)
3:36.0,,,75-73,,Personal take foul by K. Korver (drawn by D. Jordan)
3:36.0,D. Jordan makes free throw 1 of 2,1,76-73,,
3:36.0,D. Jordan makes free throw 2 of 2,1,77-73,,
