time,Charlotte,pts.away,score,pts.home,Golden State
5:03.0,Shooting foul by S. Curry (drawn by K. Walker),,16-17,,
5:03.0,K. Walker makes free throw 1 of 2,1,17-17,,
5:03.0,F. Kaminsky enters the game for P. Hairston,,17-17,,
5:03.0,J. Lamb enters the game for M. Williams,,17-17,,
5:03.0,,,17-17,,S. Livingston enters the game for S. Curry
5:03.0,K. Walker makes free throw 2 of 2,1,18-17,,
4:51.0,,,18-17,,Turnover by K. Thompson (bad pass; steal by J. Lamb)
4:36.0,C. Zeller misses 2-pt shot at rim,,18-17,,
4:35.0,,,18-17,,Defensive rebound by A. Bogut
4:26.0,,,18-17,,S. Livingston misses 2-pt shot from 15 ft
4:25.0,Defensive rebound by J. Lamb,,18-17,,
4:08.0,K. Walker misses 2-pt shot from 3 ft,,18-17,,
4:07.0,Offensive rebound by C. Zeller,,18-17,,
4:04.0,J. Lamb misses 3-pt shot from 26 ft,,18-17,,
4:03.0,Offensive rebound by F. Kaminsky,,18-17,,
4:02.0,F. Kaminsky makes 2-pt shot from 1 ft,2,20-17,,
3:52.0,,,20-20,3,D. Green makes 3-pt shot from 24 ft (assist by A. Iguodala)
3:34.0,Turnover by K. Walker (bad pass; steal by D. Green),,20-20,,
3:22.0,,,20-20,,D. Green misses 3-pt shot from 24 ft
3:22.0,Defensive rebound by J. Lamb,,20-20,,
3:13.0,Turnover by C. Zeller (traveling),,20-20,,
3:13.0,,,20-20,,M. Speights enters the game for A. Bogut
3:13.0,,,20-20,,Golden State full timeout
3:13.0,S. Hawes enters the game for C. Zeller,,20-20,,
3:03.0,Personal foul by J. Lin (drawn by K. Thompson),,20-20,,
2:58.0,,,20-23,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green)
2:41.0,J. Lamb misses 3-pt shot from 24 ft,,20-23,,
2:40.0,,,20-23,,Defensive rebound by D. Green
2:25.0,,,20-23,,K. Thompson misses 3-pt shot from 24 ft
2:25.0,Defensive rebound by S. Hawes,,20-23,,
2:11.0,Turnover by J. Lin (lost ball),,20-23,,
2:11.0,,,20-23,,H. Barnes enters the game for D. Green
1:55.0,,,20-25,2,M. Speights makes 2-pt shot from 17 ft (assist by K. Thompson)
1:36.0,J. Lin misses 3-pt shot from 25 ft,,20-25,,
1:36.0,Offensive rebound by K. Walker,,20-25,,
1:30.0,S. Hawes misses 2-pt shot from 2 ft (block by M. Speights),,20-25,,
1:25.0,,,20-25,,Defensive rebound by M. Speights
1:21.0,Personal foul by J. Lin (drawn by S. Livingston),,20-25,,
1:21.0,B. Roberts enters the game for J. Lin,,20-25,,
1:14.0,,,20-27,2,M. Speights makes 2-pt shot from 18 ft (assist by K. Thompson)
0:51.0,Shooting foul by M. Speights (drawn by J. Lamb),,20-27,,
0:51.0,J. Lamb makes free throw 1 of 2,1,21-27,,
0:51.0,M. Williams enters the game for K. Walker,,21-27,,
0:51.0,J. Lamb makes free throw 2 of 2,1,22-27,,
0:43.0,,,22-30,3,K. Thompson makes 3-pt shot from 25 ft (assist by A. Iguodala)
0:39.0,Offensive foul by S. Hawes,,22-30,,
0:39.0,Turnover by S. Hawes (offensive foul),,22-30,,
0:26.0,,,22-30,,H. Barnes misses 2-pt shot from 4 ft
0:25.0,,,22-30,,Offensive rebound by M. Speights
0:25.0,,,22-32,2,M. Speights makes 2-pt shot from 2 ft
0:05.0,B. Roberts makes 2-pt shot from 1 ft,2,24-32,,
0:01.0,,,24-32,,S. Livingston misses 2-pt shot from 9 ft
0:00.0,,,24-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,F. Kaminsky misses 2-pt shot from 12 ft,,24-32,,
11:41.0,,,24-32,,Defensive rebound by A. Iguodala
11:27.0,,,24-34,2,H. Barnes makes 2-pt shot from 20 ft (assist by S. Livingston)
11:07.0,B. Roberts makes 2-pt shot from 20 ft (assist by S. Hawes),2,26-34,,
10:44.0,,,26-37,3,I. Clark makes 3-pt shot from 25 ft (assist by A. Iguodala)
10:26.0,M. Williams makes 3-pt shot from 23 ft (assist by B. Roberts),3,29-37,,
10:05.0,,,29-39,2,H. Barnes makes 2-pt shot from 20 ft
9:48.0,J. Lamb makes 2-pt shot from 2 ft (assist by S. Hawes),2,31-39,,
9:48.0,Shooting foul by A. Iguodala (drawn by J. Lamb),,31-39,,
9:48.0,J. Lamb makes free throw 1 of 1,1,32-39,,
9:34.0,,,32-41,2,H. Barnes makes 2-pt shot from 18 ft
9:21.0,Offensive foul by J. Lamb,,32-41,,
9:21.0,Turnover by J. Lamb (offensive foul),,32-41,,
9:10.0,,,32-41,,Turnover by I. Clark (lost ball)
8:50.0,B. Roberts makes 2-pt shot from 2 ft (assist by S. Hawes),2,34-41,,
8:49.0,,,34-41,,Golden State full timeout
8:49.0,,,34-41,,S. Curry enters the game for S. Livingston
8:49.0,,,34-41,,D. Green enters the game for H. Barnes
8:34.0,,,34-43,2,M. Speights makes 2-pt shot from 16 ft (assist by S. Curry)
8:34.0,,,34-43,,Shooting foul by S. Hawes (drawn by M. Speights)
8:34.0,,,34-44,1,M. Speights makes free throw 1 of 1
8:19.0,J. Lamb makes 2-pt shot from 7 ft,2,36-44,,
7:52.0,,,36-44,,I. Clark misses 2-pt shot from 21 ft
7:51.0,Defensive rebound by M. Williams,,36-44,,
7:44.0,,,36-44,,Personal foul by I. Clark (drawn by J. Lamb)
7:44.0,,,36-44,,A. Bogut enters the game for M. Speights
7:34.0,B. Roberts misses 2-pt shot from 16 ft (block by D. Green),,36-44,,
7:33.0,,,36-44,,Defensive rebound by D. Green
7:29.0,,,36-46,2,S. Curry makes 2-pt shot from 1 ft (assist by D. Green)
7:08.0,J. Lamb misses 2-pt shot from 6 ft,,36-46,,
7:07.0,Offensive rebound by F. Kaminsky,,36-46,,
7:03.0,B. Roberts makes 3-pt shot from 26 ft (assist by F. Kaminsky),3,39-46,,
6:55.0,,,39-49,3,S. Curry makes 3-pt shot from 27 ft
6:30.0,F. Kaminsky makes 2-pt shot from 8 ft,2,41-49,,
6:24.0,,,41-49,,Turnover by A. Iguodala (bad pass; steal by B. Roberts)
6:04.0,S. Hawes misses 3-pt shot from 25 ft,,41-49,,
6:03.0,,,41-49,,Defensive rebound by A. Iguodala
5:45.0,,,41-49,,Turnover by S. Curry (lost ball; steal by J. Lamb)
5:39.0,J. Lamb makes 2-pt shot at rim,2,43-49,,
5:22.0,,,43-49,,I. Clark misses 3-pt shot from 28 ft
5:22.0,Defensive rebound by S. Hawes,,43-49,,
5:17.0,Charlotte full timeout,,43-49,,
5:17.0,,,43-49,,K. Thompson enters the game for A. Iguodala
5:17.0,P. Hairston enters the game for F. Kaminsky,,43-49,,
5:17.0,K. Walker enters the game for J. Lamb,,43-49,,
5:17.0,C. Zeller enters the game for S. Hawes,,43-49,,
5:17.0,J. Lin enters the game for B. Roberts,,43-49,,
5:16.0,Turnover by P. Hairston (bad pass; steal by I. Clark),,43-49,,
4:57.0,,,43-52,3,K. Thompson makes 3-pt shot from 25 ft (assist by A. Bogut)
4:37.0,M. Williams misses 2-pt shot from 12 ft,,43-52,,
4:37.0,,,43-52,,Defensive rebound by D. Green
4:27.0,,,43-54,2,K. Thompson makes 2-pt shot from 12 ft (assist by D. Green)
4:15.0,Charlotte full timeout,,43-54,,
4:15.0,,,43-54,,H. Barnes enters the game for I. Clark
4:06.0,J. Lin makes 2-pt shot from 9 ft (assist by K. Walker),2,45-54,,
3:45.0,,,45-54,,K. Thompson misses 2-pt shot from 6 ft
3:45.0,,,45-54,,Offensive rebound by Team
3:36.0,,,45-56,2,D. Green makes 2-pt shot from 7 ft (assist by S. Curry)
3:19.0,K. Walker makes 3-pt shot from 26 ft,3,48-56,,
3:12.0,,,48-58,2,K. Thompson makes 2-pt shot from 12 ft (assist by D. Green)
2:58.0,K. Walker misses 2-pt shot from 3 ft (block by A. Bogut),,48-58,,
2:57.0,,,48-58,,Defensive rebound by S. Curry
2:50.0,,,48-58,,H. Barnes misses 3-pt shot from 22 ft
2:49.0,Defensive rebound by M. Williams,,48-58,,
2:26.0,C. Zeller misses 2-pt shot from 15 ft,,48-58,,
2:25.0,,,48-58,,Defensive rebound by D. Green
2:18.0,,,48-60,2,A. Bogut makes 2-pt shot from 1 ft (assist by D. Green)
1:59.0,K. Walker misses 2-pt shot from 16 ft,,48-60,,
1:57.0,,,48-60,,Defensive rebound by A. Bogut
1:50.0,,,48-60,,S. Curry misses 3-pt shot from 26 ft
1:50.0,Defensive rebound by Team,,48-60,,
1:50.0,Official timeout,,48-60,,
1:50.0,J. Lamb enters the game for M. Williams,,48-60,,
1:50.0,F. Kaminsky enters the game for J. Lin,,48-60,,
1:50.0,,,48-60,,A. Iguodala enters the game for A. Bogut
1:35.0,,,48-60,,Violation by D. Green (kicked ball)
1:21.0,J. Lamb misses 2-pt shot from 21 ft (block by A. Iguodala),,48-60,,
1:21.0,Offensive rebound by Team,,48-60,,
1:21.0,Turnover by Team (shot clock),,48-60,,
1:05.0,,,48-60,,K. Thompson misses 3-pt shot from 23 ft
1:05.0,Defensive rebound by C. Zeller,,48-60,,
0:53.0,P. Hairston makes 3-pt shot from 27 ft (assist by F. Kaminsky),3,51-60,,
0:40.0,,,51-60,,K. Thompson misses 2-pt shot from 2 ft
0:39.0,Defensive rebound by C. Zeller,,51-60,,
0:32.0,J. Lamb makes 2-pt shot from 9 ft,2,53-60,,
0:32.0,Shooting foul by D. Green (drawn by J. Lamb),,53-60,,
0:32.0,J. Lamb makes free throw 1 of 1,1,54-60,,
0:14.0,,,54-62,2,S. Curry makes 2-pt shot from 9 ft
0:02.0,K. Walker misses 2-pt shot from 8 ft,,54-62,,
0:00.0,,,54-62,,Defensive rebound by D. Green
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,J. Lin misses 2-pt shot from 18 ft,,54-62,,
11:48.0,Offensive rebound by C. Zeller,,54-62,,
11:45.0,C. Zeller makes 2-pt shot from 7 ft,2,56-62,,
11:25.0,,,56-64,2,K. Thompson makes 2-pt shot from 1 ft
10:58.0,J. Lin makes 2-pt shot from 19 ft,2,58-64,,
10:44.0,,,58-64,,Turnover by S. Curry (bad pass; steal by K. Walker)
10:38.0,K. Walker misses 2-pt shot from 17 ft,,58-64,,
10:38.0,,,58-64,,Defensive rebound by K. Thompson
10:25.0,,,58-64,,B. Rush misses 3-pt shot from 26 ft
10:24.0,Defensive rebound by P. Hairston,,58-64,,
10:17.0,Shooting foul by S. Curry (drawn by P. Hairston),,58-64,,
10:17.0,P. Hairston misses free throw 1 of 2,,58-64,,
10:17.0,Offensive rebound by Team,,58-64,,
10:17.0,P. Hairston makes free throw 2 of 2,1,59-64,,
10:04.0,,,59-64,,Shooting foul by C. Zeller (drawn by D. Green)
10:04.0,,,59-65,1,D. Green makes free throw 1 of 2
10:04.0,,,59-66,1,D. Green makes free throw 2 of 2
9:47.0,C. Zeller misses 2-pt shot from 3 ft (block by A. Bogut),,59-66,,
9:47.0,Offensive rebound by Team,,59-66,,
9:47.0,Turnover by Team (5 sec inbounds),,59-66,,
9:40.0,,,59-66,,S. Curry misses 2-pt shot from 11 ft
9:38.0,Defensive rebound by J. Lin,,59-66,,
9:18.0,P. Hairston makes 3-pt shot from 25 ft (assist by K. Walker),3,62-66,,
9:06.0,,,62-66,,S. Curry misses 2-pt shot from 18 ft
9:05.0,Defensive rebound by J. Lin,,62-66,,
8:56.0,J. Lin makes 3-pt shot from 25 ft,3,65-66,,
8:35.0,,,65-68,2,K. Thompson makes 2-pt shot from 15 ft (assist by A. Bogut)
8:19.0,K. Walker misses 2-pt shot from 16 ft,,65-68,,
8:18.0,,,65-68,,Defensive rebound by B. Rush
8:12.0,,,65-71,3,K. Thompson makes 3-pt shot from 27 ft (assist by D. Green)
7:51.0,P. Hairston misses 2-pt shot from 17 ft,,65-71,,
7:51.0,,,65-71,,Defensive rebound by Team
7:46.0,,,65-71,,K. Thompson misses 2-pt shot from 16 ft
7:45.0,Defensive rebound by M. Williams,,65-71,,
7:34.0,Turnover by K. Walker (bad pass; steal by S. Curry),,65-71,,
7:29.0,,,65-73,2,D. Green makes 2-pt shot from 1 ft (assist by S. Curry)
7:28.0,Charlotte full timeout,,65-73,,
7:16.0,M. Williams misses 2-pt shot from 14 ft,,65-73,,
7:15.0,,,65-73,,Defensive rebound by D. Green
7:01.0,,,65-76,3,S. Curry makes 3-pt shot from 26 ft (assist by B. Rush)
6:48.0,J. Lin misses 3-pt shot from 26 ft,,65-76,,
6:48.0,,,65-76,,Defensive rebound by A. Bogut
6:34.0,,,65-76,,D. Green misses 2-pt shot from 2 ft
6:34.0,Defensive rebound by Team,,65-76,,
6:34.0,,,65-76,,Loose ball foul by D. Green (drawn by M. Williams)
6:23.0,J. Lin misses 3-pt shot from 24 ft,,65-76,,
6:22.0,,,65-76,,Defensive rebound by A. Bogut
6:13.0,,,65-78,2,S. Curry makes 2-pt shot from 2 ft
5:58.0,K. Walker makes 2-pt shot from 12 ft,2,67-78,,
5:41.0,,,67-78,,B. Rush misses 2-pt shot from 20 ft
5:40.0,Defensive rebound by M. Williams,,67-78,,
5:27.0,M. Williams makes 2-pt shot from 18 ft,2,69-78,,
5:18.0,,,69-81,3,S. Curry makes 3-pt shot from 24 ft
4:54.0,Turnover by C. Zeller (bad pass; steal by S. Curry),,69-81,,
4:47.0,,,69-84,3,B. Rush makes 3-pt shot from 26 ft (assist by S. Curry)
4:45.0,Charlotte full timeout,,69-84,,
4:45.0,,,69-84,,A. Iguodala enters the game for B. Rush
4:45.0,F. Kaminsky enters the game for M. Williams,,69-84,,
4:32.0,,,69-84,,Personal foul by D. Green (drawn by F. Kaminsky)
4:21.0,P. Hairston misses 2-pt shot from 2 ft (block by D. Green),,69-84,,
4:20.0,Offensive rebound by P. Hairston,,69-84,,
4:16.0,P. Hairston misses 2-pt shot from 13 ft,,69-84,,
4:16.0,,,69-84,,Defensive rebound by A. Bogut
4:09.0,,,69-84,,Turnover by K. Thompson (offensive foul)
4:09.0,,,69-84,,Offensive foul by K. Thompson
4:09.0,,,69-84,,M. Speights enters the game for A. Bogut
3:58.0,,,69-84,,Personal foul by S. Curry (drawn by J. Lin)
3:58.0,J. Lamb enters the game for P. Hairston,,69-84,,
3:42.0,K. Walker makes 2-pt shot from 2 ft (assist by F. Kaminsky),2,71-84,,
3:27.0,,,71-86,2,D. Green makes 2-pt shot from 2 ft
3:13.0,Shooting foul by M. Speights (drawn by C. Zeller),,71-86,,
3:13.0,C. Zeller makes free throw 1 of 2,1,72-86,,
3:13.0,C. Zeller makes free throw 2 of 2,1,73-86,,
3:01.0,,,73-86,,A. Iguodala misses 3-pt shot from 23 ft
2:59.0,,,73-86,,Offensive rebound by D. Green
2:57.0,S. Hawes enters the game for C. Zeller,,73-86,,
2:57.0,,,73-86,,I. Clark enters the game for S. Curry
2:57.0,Personal foul by J. Lin (drawn by A. Iguodala),,73-86,,
2:41.0,,,73-88,2,K. Thompson makes 2-pt shot from 22 ft (assist by I. Clark)
2:29.0,Shooting foul by K. Thompson (drawn by S. Hawes),,73-88,,
2:29.0,S. Hawes makes free throw 1 of 2,1,74-88,,
2:29.0,S. Hawes makes free throw 2 of 2,1,75-88,,
2:20.0,,,75-90,2,M. Speights makes 2-pt shot from 1 ft (assist by K. Thompson)
1:51.0,S. Hawes misses 2-pt shot from 17 ft,,75-90,,
1:51.0,,,75-90,,Defensive rebound by D. Green
1:36.0,,,75-90,,A. Iguodala misses 3-pt shot from 26 ft
1:35.0,Defensive rebound by F. Kaminsky,,75-90,,
1:25.0,K. Walker misses 3-pt shot from 25 ft,,75-90,,
1:25.0,,,75-90,,Defensive rebound by D. Green
1:14.0,,,75-90,,M. Speights misses 2-pt shot from 5 ft
1:14.0,,,75-90,,Offensive rebound by Team
1:14.0,,,75-90,,H. Barnes enters the game for D. Green
1:14.0,B. Roberts enters the game for K. Walker,,75-90,,
1:01.0,,,75-93,3,K. Thompson makes 3-pt shot from 29 ft (assist by I. Clark)
0:47.0,J. Lamb makes 2-pt shot from 1 ft,2,77-93,,
0:36.0,,,77-93,,K. Thompson misses 2-pt shot from 19 ft
0:35.0,Defensive rebound by S. Hawes,,77-93,,
0:29.0,Turnover by B. Roberts (offensive foul),,77-93,,
0:29.0,Offensive foul by B. Roberts,,77-93,,
0:16.0,,,77-95,2,M. Speights makes 2-pt shot from 17 ft
0:02.0,S. Hawes misses 3-pt shot from 25 ft,,77-95,,
0:00.0,,,77-95,,Defensive rebound by K. Thompson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,77-95,,H. Barnes misses 2-pt shot from 7 ft
11:40.0,Defensive rebound by K. Walker,,77-95,,
11:23.0,Shooting foul by A. Iguodala (drawn by S. Hawes),,77-95,,
11:23.0,S. Hawes makes free throw 1 of 2,1,78-95,,
11:23.0,S. Hawes makes free throw 2 of 2,1,79-95,,
11:02.0,,,79-97,2,B. Rush makes 2-pt shot from 13 ft (assist by H. Barnes)
10:49.0,Turnover by S. Hawes (bad pass),,79-97,,
10:34.0,,,79-99,2,H. Barnes makes 2-pt shot from 17 ft (assist by A. Iguodala)
10:20.0,K. Walker misses 2-pt shot from 18 ft,,79-99,,
10:19.0,,,79-99,,Defensive rebound by H. Barnes
10:10.0,,,79-101,2,M. Speights makes 2-pt shot from 15 ft (assist by I. Clark)
10:07.0,Charlotte full timeout,,79-101,,
9:53.0,F. Kaminsky misses 2-pt shot from 7 ft (block by H. Barnes),,79-101,,
9:53.0,Offensive rebound by Team,,79-101,,
9:48.0,K. Walker misses 2-pt shot from 16 ft,,79-101,,
9:48.0,,,79-101,,Defensive rebound by A. Iguodala
9:40.0,,,79-101,,M. Speights misses 2-pt shot from 16 ft
9:39.0,Defensive rebound by F. Kaminsky,,79-101,,
9:27.0,J. Lamb makes 2-pt shot from 11 ft,2,81-101,,
9:05.0,,,81-101,,B. Rush misses 3-pt shot from 22 ft
9:05.0,Defensive rebound by K. Walker,,81-101,,
8:52.0,K. Walker makes 2-pt shot from 1 ft (assist by S. Hawes),2,83-101,,
8:26.0,,,83-101,,M. Speights misses 3-pt shot from 26 ft
8:25.0,Defensive rebound by B. Roberts,,83-101,,
8:07.0,F. Kaminsky makes 2-pt shot from 7 ft,2,85-101,,
8:04.0,,,85-101,,Golden State full timeout
8:04.0,,,85-101,,K. Thompson enters the game for B. Rush
8:04.0,,,85-101,,D. Green enters the game for H. Barnes
7:50.0,Personal foul by B. Roberts (drawn by M. Speights),,85-101,,
7:42.0,,,85-101,,Turnover by M. Speights (3 sec)
7:18.0,S. Hawes makes 2-pt shot from 10 ft (assist by J. Lamb),2,87-101,,
7:02.0,,,87-101,,A. Bogut enters the game for M. Speights
7:02.0,,,87-101,,S. Curry enters the game for A. Iguodala
7:00.0,,,87-101,,K. Thompson misses 2-pt shot from 16 ft
7:00.0,Defensive rebound by F. Kaminsky,,87-101,,
6:41.0,F. Kaminsky misses 2-pt shot from 9 ft,,87-101,,
6:41.0,,,87-101,,Defensive rebound by I. Clark
6:30.0,,,87-101,,I. Clark misses 2-pt shot from 1 ft
6:29.0,Defensive rebound by S. Hawes,,87-101,,
6:17.0,S. Hawes misses 2-pt shot from 6 ft,,87-101,,
6:17.0,,,87-101,,Defensive rebound by D. Green
6:05.0,,,87-101,,K. Thompson misses 3-pt shot from 26 ft
6:03.0,Defensive rebound by K. Walker,,87-101,,
5:56.0,,,87-101,,Personal foul by A. Bogut (drawn by B. Roberts)
5:42.0,F. Kaminsky misses 2-pt shot from 9 ft,,87-101,,
5:42.0,,,87-101,,Defensive rebound by D. Green
5:34.0,,,87-104,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
5:09.0,J. Lamb makes 2-pt shot from 17 ft,2,89-104,,
4:53.0,,,89-106,2,S. Curry makes 2-pt shot from 11 ft
4:50.0,Charlotte full timeout,,89-106,,
4:50.0,,,89-106,,H. Barnes enters the game for I. Clark
4:50.0,C. Zeller enters the game for F. Kaminsky,,89-106,,
4:50.0,J. Lin enters the game for S. Hawes,,89-106,,
4:50.0,M. Williams enters the game for B. Roberts,,89-106,,
4:31.0,J. Lamb makes 2-pt shot from 10 ft,2,91-106,,
4:18.0,,,91-106,,K. Thompson misses 2-pt shot from 10 ft
4:16.0,Defensive rebound by C. Zeller,,91-106,,
4:08.0,,,91-106,,Personal foul by H. Barnes (drawn by K. Walker)
4:04.0,K. Walker misses 3-pt shot from 26 ft,,91-106,,
4:03.0,,,91-106,,Defensive rebound by D. Green
3:49.0,,,91-106,,K. Thompson misses 2-pt shot from 10 ft
3:49.0,Defensive rebound by Team,,91-106,,
3:49.0,,,91-106,,Loose ball foul by A. Bogut (drawn by C. Zeller)
3:27.0,Shooting foul by A. Bogut (drawn by J. Lin),,91-106,,
3:27.0,J. Lin makes free throw 1 of 2,1,92-106,,
3:27.0,J. Lin makes free throw 2 of 2,1,93-106,,
3:04.0,,,93-106,,S. Curry misses 3-pt shot from 27 ft
3:04.0,Defensive rebound by C. Zeller,,93-106,,
2:44.0,M. Williams misses 2-pt shot from 3 ft,,93-106,,
2:42.0,Offensive rebound by C. Zeller,,93-106,,
2:42.0,C. Zeller misses 2-pt shot from 2 ft,,93-106,,
2:41.0,,,93-106,,Defensive rebound by K. Thompson
2:34.0,,,93-106,,S. Curry misses 2-pt shot from 1 ft
2:34.0,Defensive rebound by K. Walker,,93-106,,
2:18.0,K. Walker makes 2-pt shot from 18 ft,2,95-106,,
1:55.0,,,95-106,,S. Curry misses 2-pt shot from 2 ft
1:55.0,Defensive rebound by M. Williams,,95-106,,
1:52.0,J. Lin makes 2-pt shot from 2 ft (assist by K. Walker),2,97-106,,
1:52.0,,,97-106,,Golden State full timeout
1:40.0,,,97-108,2,S. Curry makes 2-pt shot from 2 ft (assist by H. Barnes)
1:40.0,,,97-108,,Shooting foul by C. Zeller (drawn by S. Curry)
1:40.0,,,97-109,1,S. Curry makes free throw 1 of 1
1:32.0,Shooting foul by A. Bogut (drawn by C. Zeller),,97-109,,
1:32.0,C. Zeller makes free throw 1 of 2,1,98-109,,
1:32.0,C. Zeller makes free throw 2 of 2,1,99-109,,
1:22.0,,,99-109,,Turnover by D. Green (bad pass; steal by J. Lamb)
1:18.0,J. Lamb makes 2-pt shot from 10 ft,2,101-109,,
1:05.0,,,101-111,2,D. Green makes 2-pt shot at rim
1:05.0,,,101-111,,Violation by Team (delay of game)
0:57.0,C. Zeller misses 2-pt shot from 2 ft,,101-111,,
0:56.0,,,101-111,,Defensive rebound by K. Thompson
0:43.0,,,101-111,,S. Curry misses 3-pt shot from 26 ft
0:41.0,Defensive rebound by J. Lamb,,101-111,,
0:33.0,J. Lin misses 3-pt shot from 26 ft,,101-111,,
0:32.0,,,101-111,,Defensive rebound by K. Thompson
0:18.0,,,101-111,,K. Thompson misses 3-pt shot from 25 ft
0:17.0,Defensive rebound by M. Williams,,101-111,,
0:03.0,J. Lamb misses 3-pt shot from 26 ft,,101-111,,
0:03.0,,,101-111,,Defensive rebound by S. Curry
0:00.0,End of 4th quarter,,,,End of 4th quarter
