time,Houston,pts.away,score,pts.home,Dallas
0:09.0,,,22-17,,C. Villanueva enters the game for R. Felton
0:09.0,M. Beasley enters the game for D. Howard,,22-17,,
0:09.0,,,22-18,1,D. Nowitzki makes free throw 2 of 2
0:01.0,J. Harden misses 2-pt shot from 6 ft,,22-18,,
0:00.0,Offensive rebound by Team,,22-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,22-21,3,D. Harris makes 3-pt shot from 23 ft (assist by D. Nowitzki)
11:28.0,Turnover by J. Terry (lost ball; steal by R. Felton),,22-21,,
11:24.0,,,22-23,2,R. Felton makes 2-pt shot from 1 ft
11:10.0,Shooting foul by D. Nowitzki (drawn by D. Howard),,22-23,,
11:10.0,D. Howard misses free throw 1 of 2,,22-23,,
11:10.0,Offensive rebound by Team,,22-23,,
11:10.0,D. Howard misses free throw 2 of 2,,22-23,,
11:10.0,Offensive rebound by K. McDaniels,,22-23,,
11:02.0,T. Ariza misses 3-pt shot from 23 ft,,22-23,,
11:02.0,,,22-23,,Defensive rebound by S. Mejri
11:02.0,Loose ball foul by D. Howard,,22-23,,
10:38.0,,,22-23,,D. Nowitzki misses 2-pt shot from 9 ft
10:37.0,,,22-23,,Offensive rebound by S. Mejri
10:37.0,,,22-23,,Turnover by Team (shot clock)
10:29.0,J. Terry misses 2-pt shot from 2 ft,,22-23,,
10:28.0,,,22-23,,Defensive rebound by Team
10:19.0,,,22-25,2,D. Nowitzki makes 2-pt shot from 15 ft (assist by J. Barea)
10:18.0,Houston full timeout,,22-25,,
10:18.0,M. Beasley enters the game for K. McDaniels,,22-25,,
10:18.0,P. Beverley enters the game for A. Goudelock,,22-25,,
10:06.0,P. Beverley makes 2-pt shot from 5 ft,2,24-25,,
9:47.0,,,24-25,,Turnover by D. Harris (bad pass)
9:27.0,D. Howard makes 2-pt shot from 6 ft (assist by T. Ariza),2,26-25,,
9:16.0,,,26-27,2,J. Barea makes 2-pt shot from 15 ft
9:08.0,T. Ariza misses 2-pt shot from 21 ft,,26-27,,
9:06.0,Offensive rebound by M. Beasley,,26-27,,
9:01.0,P. Beverley makes 3-pt shot from 25 ft (assist by M. Beasley),3,29-27,,
8:38.0,Violation by D. Howard (def goaltending),,29-27,,
8:38.0,,,29-29,2,S. Mejri makes 2-pt shot from 2 ft (assist by R. Felton)
8:27.0,M. Beasley makes 2-pt shot from 10 ft (assist by P. Beverley),2,31-29,,
8:27.0,Shooting foul by D. Harris (drawn by M. Beasley),,31-29,,
8:27.0,,,31-29,,J. Anderson enters the game for D. Harris
8:27.0,M. Beasley makes free throw 1 of 1,1,32-29,,
8:09.0,,,32-29,,Turnover by J. Anderson (traveling)
8:00.0,P. Beverley misses 2-pt shot from 16 ft,,32-29,,
7:59.0,,,32-29,,Defensive rebound by S. Mejri
7:57.0,Personal block foul by P. Beverley,,32-29,,
7:57.0,,,32-29,,W. Matthews enters the game for R. Felton
7:57.0,J. Harden enters the game for J. Terry,,32-29,,
7:49.0,,,32-31,2,S. Mejri makes 2-pt shot at rim (assist by J. Barea)
7:27.0,M. Beasley makes 2-pt shot from 12 ft (assist by J. Harden),2,34-31,,
7:03.0,,,34-34,3,W. Matthews makes 3-pt shot from 24 ft (assist by J. Anderson)
6:35.0,D. Howard misses 2-pt shot from 2 ft,,34-34,,
6:34.0,,,34-34,,Defensive rebound by Team
6:34.0,,,34-34,,Dallas full timeout
6:34.0,,,34-34,,D. Lee enters the game for D. Nowitzki
6:17.0,,,34-34,,Turnover by S. Mejri (bad pass)
5:55.0,M. Beasley makes 2-pt shot from 9 ft (assist by T. Ariza),2,36-34,,
5:41.0,,,36-34,,J. Anderson misses 2-pt shot from 17 ft
5:40.0,Defensive rebound by M. Beasley,,36-34,,
5:26.0,M. Beasley misses 2-pt shot from 4 ft (block by S. Mejri),,36-34,,
5:25.0,,,36-34,,Defensive rebound by W. Matthews
5:20.0,,,36-34,,W. Matthews misses 3-pt shot from 24 ft
5:19.0,,,36-34,,Offensive rebound by S. Mejri
5:14.0,,,36-37,3,J. Barea makes 3-pt shot from 23 ft (assist by S. Mejri)
5:02.0,Turnover by J. Harden (lost ball; steal by D. Lee),,36-37,,
4:46.0,,,36-40,3,J. Barea makes 3-pt shot from 24 ft
4:45.0,Houston full timeout,,36-40,,
4:45.0,,,36-40,,R. Felton enters the game for J. Anderson
4:45.0,,,36-40,,D. Harris enters the game for J. Barea
4:45.0,C. Capela enters the game for D. Howard,,36-40,,
4:33.0,,,36-40,,Personal foul by D. Lee
4:27.0,Turnover by J. Harden (lost ball; steal by W. Matthews),,36-40,,
4:26.0,Personal foul by J. Harden,,36-40,,
4:16.0,,,36-43,3,W. Matthews makes 3-pt shot from 22 ft (assist by R. Felton)
3:59.0,Turnover by J. Harden (lost ball; steal by D. Lee),,36-43,,
3:51.0,,,36-46,3,W. Matthews makes 3-pt shot from 22 ft (assist by R. Felton)
3:41.0,Houston full timeout,,36-46,,
3:41.0,,,36-46,,Z. Pachulia enters the game for S. Mejri
3:41.0,K. McDaniels enters the game for M. Beasley,,36-46,,
3:33.0,T. Ariza makes 2-pt shot from 1 ft (assist by C. Capela),2,38-46,,
3:14.0,,,38-48,2,D. Lee makes 2-pt shot from 1 ft (assist by Z. Pachulia)
2:59.0,C. Capela makes 2-pt shot from 4 ft (assist by K. McDaniels),2,40-48,,
2:36.0,,,40-48,,W. Matthews misses 2-pt shot from 21 ft
2:35.0,Defensive rebound by T. Ariza,,40-48,,
2:26.0,P. Beverley misses 2-pt shot from 8 ft,,40-48,,
2:25.0,,,40-48,,Defensive rebound by D. Lee
2:10.0,,,40-48,,R. Felton misses 2-pt shot from 7 ft
2:09.0,,,40-48,,Offensive rebound by Z. Pachulia
2:00.0,,,40-48,,R. Felton misses 2-pt shot from 18 ft
1:59.0,,,40-48,,Offensive rebound by D. Lee
1:59.0,,,40-48,,D. Lee misses 2-pt shot from 1 ft
1:58.0,,,40-48,,Offensive rebound by D. Lee
1:58.0,,,40-50,2,D. Lee makes 2-pt shot from 1 ft
1:42.0,Offensive foul by T. Ariza,,40-50,,
1:42.0,Turnover by T. Ariza (offensive foul),,40-50,,
1:42.0,D. Howard enters the game for C. Capela,,40-50,,
1:42.0,,,40-50,,J. Barea enters the game for D. Lee
1:42.0,,,40-50,,D. Nowitzki enters the game for R. Felton
1:23.0,,,40-52,2,J. Barea makes 2-pt shot from 1 ft
1:10.0,P. Beverley misses 3-pt shot from 22 ft,,40-52,,
1:09.0,,,40-52,,Defensive rebound by D. Harris
1:04.0,,,40-52,,Turnover by D. Harris (lost ball; steal by T. Ariza)
0:42.0,J. Harden makes 2-pt shot from 19 ft,2,42-52,,
0:33.0,,,42-52,,J. Barea misses 3-pt shot from 24 ft
0:32.0,Defensive rebound by J. Harden,,42-52,,
0:24.0,J. Harden makes 2-pt shot from 13 ft,2,44-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,Personal foul by P. Beverley,,44-52,,
11:40.0,,,44-52,,W. Matthews misses 3-pt shot from 24 ft
11:40.0,Defensive rebound by D. Howard,,44-52,,
11:33.0,T. Ariza makes 3-pt shot from 23 ft (assist by P. Beverley),3,47-52,,
11:23.0,,,47-54,2,J. Anderson makes 2-pt shot from 1 ft (assist by J. Barea)
10:57.0,J. Harden makes 3-pt shot from 22 ft,3,50-54,,
10:47.0,,,50-54,,Shooting foul by J. Harden (drawn by Z. Pachulia)
10:47.0,,,50-55,1,Z. Pachulia makes free throw 1 of 2
10:47.0,,,50-56,1,Z. Pachulia makes free throw 2 of 2
10:30.0,D. Howard makes 2-pt shot at rim (assist by T. Ariza),2,52-56,,
10:05.0,,,52-59,3,W. Matthews makes 3-pt shot from 24 ft (assist by J. Barea)
9:52.0,Turnover by D. Howard (bad pass),,52-59,,
9:27.0,,,52-59,,Z. Pachulia misses 2-pt shot from 13 ft
9:26.0,Defensive rebound by J. Harden,,52-59,,
9:18.0,T. Ariza misses 2-pt shot from 20 ft,,52-59,,
9:17.0,,,52-59,,Defensive rebound by J. Barea
8:53.0,,,52-61,2,J. Anderson makes 2-pt shot from 10 ft
8:38.0,,,52-61,,Personal foul by D. Nowitzki
8:38.0,C. Brewer enters the game for K. McDaniels,,52-61,,
8:24.0,C. Brewer misses 3-pt shot from 23 ft,,52-61,,
8:23.0,,,52-61,,Defensive rebound by J. Barea
8:14.0,Personal foul by P. Beverley,,52-61,,
7:59.0,,,52-61,,Turnover by W. Matthews (bad pass)
7:40.0,C. Brewer misses 2-pt shot from 7 ft,,52-61,,
7:40.0,Offensive rebound by D. Howard,,52-61,,
7:40.0,,,52-61,,Personal foul by Z. Pachulia
7:33.0,T. Ariza makes 2-pt shot from 1 ft (assist by D. Howard),2,54-61,,
7:22.0,,,54-61,,J. Barea misses 2-pt shot from 22 ft
7:20.0,,,54-61,,Offensive rebound by Z. Pachulia
7:19.0,,,54-63,2,Z. Pachulia makes 2-pt shot from 1 ft
7:05.0,J. Harden misses 3-pt shot from 24 ft,,54-63,,
7:04.0,Offensive rebound by D. Howard,,54-63,,
7:02.0,D. Howard makes 2-pt shot at rim,2,56-63,,
6:33.0,,,56-63,,D. Nowitzki misses 3-pt shot from 24 ft
6:32.0,Defensive rebound by P. Beverley,,56-63,,
6:18.0,D. Howard misses 2-pt shot from 7 ft,,56-63,,
6:18.0,,,56-63,,Defensive rebound by D. Nowitzki
6:02.0,,,56-65,2,W. Matthews makes 2-pt shot from 16 ft (assist by Z. Pachulia)
5:47.0,J. Harden misses 2-pt shot from 7 ft,,56-65,,
5:46.0,Offensive rebound by D. Howard,,56-65,,
5:46.0,D. Howard makes 2-pt shot at rim,2,58-65,,
5:45.0,,,58-65,,Dallas full timeout
5:45.0,,,58-65,,D. Harris enters the game for J. Anderson
5:45.0,,,58-65,,D. Lee enters the game for D. Nowitzki
5:45.0,M. Beasley enters the game for P. Beverley,,58-65,,
5:22.0,,,58-65,,Z. Pachulia misses 2-pt shot from 1 ft
5:21.0,Defensive rebound by D. Howard,,58-65,,
5:11.0,M. Beasley misses 2-pt shot from 11 ft,,58-65,,
5:10.0,Offensive rebound by D. Howard,,58-65,,
5:09.0,D. Howard makes 2-pt shot at rim,2,60-65,,
4:46.0,,,60-65,,Turnover by J. Barea (lost ball; steal by J. Harden)
4:38.0,J. Harden misses 2-pt shot from 2 ft,,60-65,,
4:37.0,Offensive rebound by D. Howard,,60-65,,
4:29.0,M. Beasley makes 2-pt shot from 10 ft,2,62-65,,
4:09.0,,,62-67,2,W. Matthews makes 2-pt shot from 22 ft
3:54.0,Turnover by D. Howard (bad pass),,62-67,,
3:54.0,,,62-67,,R. Felton enters the game for J. Barea
3:41.0,,,62-67,,W. Matthews misses 3-pt shot from 24 ft
3:40.0,Defensive rebound by D. Howard,,62-67,,
3:30.0,M. Beasley misses 2-pt shot from 6 ft,,62-67,,
3:29.0,Offensive rebound by M. Beasley,,62-67,,
3:28.0,M. Beasley makes 2-pt shot at rim,2,64-67,,
3:27.0,,,64-67,,Dallas full timeout
3:27.0,,,64-67,,S. Mejri enters the game for Z. Pachulia
3:27.0,K. McDaniels enters the game for T. Ariza,,64-67,,
3:27.0,C. Capela enters the game for D. Howard,,64-67,,
3:08.0,,,64-67,,W. Matthews misses 2-pt shot from 18 ft
3:07.0,Defensive rebound by Team,,64-67,,
2:56.0,Turnover by K. McDaniels (traveling),,64-67,,
2:56.0,Houston full timeout,,64-67,,
2:56.0,J. Terry enters the game for K. McDaniels,,64-67,,
2:31.0,,,64-67,,W. Matthews misses 3-pt shot from 23 ft
2:30.0,Defensive rebound by C. Brewer,,64-67,,
2:24.0,J. Terry misses 3-pt shot from 24 ft,,64-67,,
2:23.0,,,64-67,,Defensive rebound by W. Matthews
2:00.0,,,64-67,,R. Felton misses 2-pt shot from 8 ft
1:58.0,Defensive rebound by C. Brewer,,64-67,,
1:51.0,Shooting foul by R. Felton (drawn by M. Beasley),,64-67,,
1:51.0,M. Beasley makes free throw 1 of 2,1,65-67,,
1:51.0,,,65-67,,D. Nowitzki enters the game for W. Matthews
1:51.0,,,65-67,,J. Barea enters the game for D. Lee
1:51.0,M. Beasley makes free throw 2 of 2,1,66-67,,
1:37.0,,,66-69,2,D. Harris makes 2-pt shot from 1 ft (assist by J. Barea)
1:21.0,J. Terry makes 2-pt shot from 13 ft (assist by J. Harden),2,68-69,,
1:00.0,Def 3 sec tech foul by C. Capela,,68-69,,
1:00.0,,,68-70,1,D. Nowitzki makes technical free throw
1:00.0,T. Ariza enters the game for M. Beasley,,68-70,,
0:46.0,,,68-70,,R. Felton misses 3-pt shot from 24 ft
0:45.0,Defensive rebound by C. Brewer,,68-70,,
0:33.0,Shooting foul by R. Felton (drawn by J. Harden),,68-70,,
0:33.0,J. Harden makes free throw 1 of 2,1,69-70,,
0:33.0,K. McDaniels enters the game for J. Terry,,69-70,,
0:33.0,J. Harden misses free throw 2 of 2,,69-70,,
0:32.0,,,69-70,,Defensive rebound by D. Nowitzki
0:15.0,,,69-70,,D. Harris misses 3-pt shot from 23 ft
0:14.0,Defensive rebound by Team,,69-70,,
0:13.0,J. Terry enters the game for K. McDaniels,,69-70,,
0:13.0,M. Beasley enters the game for C. Capela,,69-70,,
0:13.0,,,69-70,,J. Anderson enters the game for D. Nowitzki
0:00.0,J. Harden misses 2-pt shot from 9 ft (block by S. Mejri),,69-70,,
0:00.0,Offensive rebound by Team,,69-70,,
0:00.0,,,69-70,,Technical foul by S. Mejri
0:00.0,Technical foul by J. Harden,,69-70,,
0:00.0,D. Howard enters the game for C. Brewer,,69-70,,
0:00.0,D. Howard makes 2-pt shot from 1 ft (assist by J. Terry),2,71-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,J. Harden makes 3-pt shot from 24 ft,3,74-70,,
11:15.0,,,74-73,3,J. Barea makes 3-pt shot from 24 ft (assist by D. Harris)
10:50.0,C. Brewer misses 2-pt shot from 17 ft,,74-73,,
10:49.0,Offensive rebound by J. Terry,,74-73,,
10:45.0,J. Harden makes 3-pt shot from 24 ft (assist by J. Terry),3,77-73,,
10:29.0,Personal foul by J. Harden,,77-73,,
10:29.0,,,77-73,,W. Matthews enters the game for R. Felton
10:18.0,,,77-73,,W. Matthews misses 3-pt shot from 24 ft
10:17.0,Defensive rebound by J. Harden,,77-73,,
9:56.0,J. Harden misses 2-pt shot from 9 ft (block by S. Mejri),,77-73,,
9:54.0,,,77-73,,Defensive rebound by J. Barea
9:47.0,,,77-76,3,D. Harris makes 3-pt shot from 22 ft (assist by J. Barea)
9:26.0,J. Terry misses 2-pt shot from 12 ft,,77-76,,
9:25.0,Offensive rebound by Team,,77-76,,
9:25.0,,,77-76,,Personal foul by S. Mejri
9:16.0,Shooting foul by S. Mejri (drawn by J. Harden),,77-76,,
9:16.0,J. Harden makes 2-pt shot from 2 ft,2,79-76,,
9:16.0,J. Harden makes free throw 1 of 1,1,80-76,,
9:08.0,,,80-76,,J. Barea misses 3-pt shot from 26 ft
9:07.0,,,80-76,,Offensive rebound by S. Mejri
9:02.0,,,80-78,2,J. Barea makes 2-pt shot from 2 ft
8:40.0,T. Ariza misses 3-pt shot from 22 ft,,80-78,,
8:39.0,,,80-78,,Defensive rebound by W. Matthews
8:24.0,,,80-78,,D. Harris misses 3-pt shot from 22 ft
8:23.0,Defensive rebound by D. Howard,,80-78,,
8:14.0,J. Harden misses 3-pt shot from 24 ft,,80-78,,
8:12.0,,,80-78,,Defensive rebound by D. Nowitzki
7:57.0,,,80-78,,W. Matthews misses 3-pt shot from 25 ft
7:56.0,Defensive rebound by D. Howard,,80-78,,
7:54.0,Houston full timeout,,80-78,,
7:54.0,,,80-78,,D. Lee enters the game for D. Nowitzki
7:54.0,,,80-78,,Z. Pachulia enters the game for S. Mejri
7:54.0,M. Beasley enters the game for C. Brewer,,80-78,,
7:36.0,J. Terry misses 3-pt shot from 23 ft,,80-78,,
7:34.0,,,80-78,,Defensive rebound by D. Harris
7:10.0,,,80-80,2,Z. Pachulia makes 2-pt shot from 2 ft
6:46.0,T. Ariza misses 2-pt shot from 2 ft,,80-80,,
6:44.0,,,80-80,,Defensive rebound by W. Matthews
6:42.0,Personal foul by M. Beasley,,80-80,,
6:42.0,P. Beverley enters the game for J. Terry,,80-80,,
6:26.0,,,80-82,2,J. Barea makes 2-pt shot from 19 ft
6:10.0,,,80-82,,Violation by D. Lee (kicked ball)
5:56.0,P. Beverley misses 2-pt shot from 18 ft,,80-82,,
5:55.0,Offensive rebound by D. Howard,,80-82,,
5:44.0,Turnover by M. Beasley (lost ball; steal by W. Matthews),,80-82,,
5:30.0,,,80-82,,D. Harris misses 3-pt shot from 24 ft
5:29.0,,,80-82,,Offensive rebound by D. Lee
5:26.0,,,80-82,,J. Barea misses 3-pt shot from 24 ft
5:24.0,Defensive rebound by P. Beverley,,80-82,,
5:19.0,J. Harden makes 2-pt shot from 2 ft (assist by T. Ariza),2,82-82,,
5:19.0,Shooting foul by D. Lee (drawn by J. Harden),,82-82,,
5:19.0,Official timeout,,82-82,,
5:19.0,,,82-82,,R. Felton enters the game for Z. Pachulia
5:19.0,,,82-82,,D. Nowitzki enters the game for J. Barea
5:19.0,C. Capela enters the game for D. Howard,,82-82,,
5:19.0,J. Harden makes free throw 1 of 1,1,83-82,,
5:08.0,,,83-82,,R. Felton misses 2-pt shot from 13 ft
5:07.0,,,83-82,,Offensive rebound by D. Nowitzki
5:07.0,,,83-82,,D. Nowitzki misses 2-pt shot from 2 ft
5:06.0,,,83-82,,Offensive rebound by D. Nowitzki
5:03.0,,,83-82,,D. Harris misses 3-pt shot from 24 ft
5:03.0,Defensive rebound by Team,,83-82,,
4:39.0,M. Beasley misses 2-pt shot from 21 ft,,83-82,,
4:38.0,,,83-82,,Defensive rebound by D. Harris
4:14.0,,,83-82,,D. Harris misses 3-pt shot from 23 ft
4:13.0,Defensive rebound by P. Beverley,,83-82,,
4:12.0,,,83-82,,Personal take foul by W. Matthews
4:12.0,,,83-82,,J. Anderson enters the game for D. Harris
4:12.0,,,83-82,,J. Barea enters the game for R. Felton
3:54.0,J. Harden misses 2-pt shot from 14 ft,,83-82,,
3:53.0,,,83-82,,Defensive rebound by J. Anderson
3:44.0,Personal foul by M. Beasley,,83-82,,
3:44.0,D. Howard enters the game for C. Capela,,83-82,,
3:44.0,C. Brewer enters the game for M. Beasley,,83-82,,
3:31.0,,,83-82,,Dallas full timeout
3:28.0,,,83-82,,W. Matthews misses 2-pt shot from 15 ft (block by J. Harden)
3:27.0,Defensive rebound by D. Howard,,83-82,,
3:22.0,,,83-82,,Personal take foul by J. Barea
3:22.0,D. Howard misses free throw 1 of 2,,83-82,,
3:22.0,Offensive rebound by Team,,83-82,,
3:22.0,D. Howard misses free throw 2 of 2,,83-82,,
3:20.0,Offensive rebound by P. Beverley,,83-82,,
3:20.0,P. Beverley makes 2-pt shot at rim,2,85-82,,
3:06.0,,,85-84,2,J. Barea makes 2-pt shot from 6 ft
3:06.0,,,85-84,,Shooting foul by P. Beverley (drawn by J. Barea)
3:06.0,M. Beasley enters the game for D. Howard,,85-84,,
3:06.0,,,85-84,,D. Harris enters the game for D. Lee
3:06.0,,,85-85,1,J. Barea makes free throw 1 of 1
2:52.0,C. Brewer misses 2-pt shot from 17 ft,,85-85,,
2:51.0,,,85-85,,Defensive rebound by J. Anderson
2:51.0,Loose ball foul by M. Beasley,,85-85,,
2:51.0,,,85-85,,J. Anderson misses free throw 1 of 2
2:51.0,,,85-85,,Offensive rebound by Team
2:51.0,,,85-86,1,J. Anderson makes free throw 2 of 2
2:28.0,J. Harden misses 3-pt shot from 28 ft,,85-86,,
2:27.0,,,85-86,,Defensive rebound by Team
2:15.0,,,85-86,,Turnover by J. Barea (lost ball; steal by T. Ariza)
1:53.0,J. Harden misses 3-pt shot from 25 ft,,85-86,,
1:52.0,,,85-86,,Defensive rebound by J. Barea
1:41.0,,,85-86,,D. Nowitzki misses 3-pt shot from 25 ft
1:40.0,Defensive rebound by J. Harden,,85-86,,
1:35.0,T. Ariza misses 2-pt shot from 1 ft (block by J. Anderson),,85-86,,
1:33.0,,,85-86,,Defensive rebound by J. Barea
1:19.0,,,85-86,,Offensive foul by W. Matthews
1:19.0,,,85-86,,Turnover by W. Matthews (offensive foul)
1:19.0,Houston full timeout,,85-86,,
